"","Table 5#7#6AU# Change in Real Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"70","59","        Other nondurable goods","KCB5190",500,349,-41,1624,-363,-581,1141,389,1911,2168,3116,-1420,1744,706,1148,348,-817,180,343,3422,-719,670,-1132,-2106,-1931,-2687,-260,547,-1236,1152,-1678,-1807,-674,613,-319,656,-401,-135,1517,3367,-1307,-1543,4580,-1345,3300,928,-650,1863,2216,-1702,-487,-981,-1713,2427,47,-770,-237,-594,1325,2293,-457,902,803,-1934,910,-205,-288,1288,4834,-904,1461,3492,-503,2456,609,-2646,-43,387,4948,-265,2695,2091,2434,6788,1447,3330,-1924,2425,73,-248,778,-2064,-3191,5552,1191,499,580,78,-1597,2640,431,-2739,-240,5240,68,-257,3633,-2899,930,2452,1811,-523,3211,3971,-1119,3455,-3399,5153,-3356,-1449,3759,-2382,3908,499
"71","60","    Nonmerchant wholesale","A152RX0",4041,2109,1363,2003,-48,2525,1266,839,2207,1890,1579,867,-573,1593,393,975,421,-823,-1129,-616,-709,225,2077,-183,679,2508,159,2134,1035,1407,1557,6240,3934,-3289,958,-65,275,3550,4466,-1113,2177,238,-1935,-448,-3285,-4283,221,3407,-2579,3614,1179,2526,5844,4023,-9461,-6651,8049,-2014,-608,1982,1836,-7123,2986,-64,-4718,-1685,4792,-101,699,4743,3944,-397,-103,22,-4519,-226,-734,1398,-1257,1887,-1803,-3398,-634,2989,1526,523,300,3630,763,3488,2592,-3102,4075,1869,-1465,-131,105,-3214,1787,872,-1844,164,3690,-2834,-267,-736,38,1439,2602,-596,2276,4670,3389,4685,2572,3214,4097,-1287,994,-393,1284,3474,1449,6302
"72","61","      Durable goods","C628RX0",1828,1042,646,782,176,565,426,318,1187,873,728,580,-370,67,199,-164,-423,-579,-605,-317,94,342,795,525,773,1858,1303,-380,650,-1288,1476,2945,1533,660,-109,-1032,-133,1500,1998,2698,-948,-631,-1146,-89,963,284,-226,1574,2864,1114,-160,-704,-268,564,-1977,-530,880,652,1926,1275,542,300,465,-2618,-1996,193,44,439,-464,1734,2038,1130,245,681,-1295,-1626,-123,-587,7,232,-412,-917,-586,1252,613,-49,546,2306,153,819,1554,-765,1196,1361,-1034,-353,-717,-1350,1704,-534,-1479,-177,1494,-2562,-591,-394,390,1827,1740,-111,1471,2537,1890,2278,1807,2482,2258,-354,1221,-666,843,1856,572,4173
"73","62","      Nondurable goods","C629RX0",2352,1059,735,1398,-414,2602,1025,607,870,1043,872,87,-87,2341,174,1902,1615,0,-422,-254,-1343,-416,1506,-1457,-586,-27,-2348,3902,268,4337,-488,3434,2759,-5814,1540,1769,649,2289,2668,-6544,4815,1490,-623,-455,-6426,-6549,718,1930,-8426,3249,2010,4391,7307,3894,-8581,-7101,7964,-3057,-2993,597,1473,-9371,3050,3809,-3003,-2540,6264,-865,1725,3505,1916,-2472,-575,-1176,-4008,2580,-868,3330,-2077,2438,-1932,-3294,239,1978,1066,903,-670,778,834,3547,778,-3081,3649,97,-167,436,1452,-2090,-645,2269,140,574,2504,709,733,-306,-672,-1418,430,-660,501,1949,1322,2459,321,0,1690,-1151,-757,615,312,1549,1016,1380
"74","63","Retail trade","A153RX0",1712,-3440,-4016,5623,9091,9474,-656,17103,5124,5005,13379,7408,-3395,7039,5686,-9022,26951,13460,24649,-473,7356,10977,7793,15791,13095,16909,112,16787,-4213,-2655,-7882,5407,-25501,-7879,6217,-4006,21797,11012,7860,4732,8680,8078,10637,9106,17562,9833,3319,14019,870,15574,-11839,-5086,-8299,-4785,-3522,-3730,3470,15038,12758,7265,-18583,1444,13690,-13271,8322,18373,14562,17138,40173,15112,3017,36280,5716,12441,15018,33895,28850,2546,-14867,-1618,43739,21475,-4571,31758,-9179,11963,12626,17888,33156,2739,-874,28114,-16367,15729,1288,-7740,-24133,5149,13835,7518,-4782,10975,3155,10806,42112,8896,3089,13118,17297,32477,16496,23143,24401,19401,5605,3682,-15917,17079,25162,5970,4649,22899,17296,12474
"75","64","  Durable goods","C630RX0",-3729,-4718,-2909,2977,5126,8403,-3125,13472,1897,-392,8534,4574,-3257,2702,2325,-12874,18015,10572,17893,-6555,3489,4029,3396,11235,7925,13342,4985,5957,353,-4146,-4958,12494,-17788,1539,8093,-4812,8026,5844,8988,4277,6597,4474,7923,6169,9715,982,-43,12222,5609,11628,-11250,-7411,-10049,-11057,-7838,-2155,-2749,11232,1919,1174,-12838,-534,12487,-13185,5303,8115,7028,9474,18352,3655,-3311,24254,4093,7645,4431,25062,18861,2467,-18671,-2275,33627,12830,-6858,22781,-14449,10521,8609,16398,22186,-7596,-6799,20296,-15489,11673,4064,-5272,-25473,2055,8599,-4571,-2358,6095,-2675,3908,24342,5961,-2754,8928,14716,12637,11149,14668,16440,11725,3035,4629,-11551,14552,15909,260,1988,11672,10921,10297
"76","65","    Automotives","KCB550",-3768,-7452,-4464,3548,4944,6712,-5344,13412,692,-1612,6384,4012,-4224,2972,2144,-16520,17980,10544,17752,-10344,-288,-148,-980,5360,6624,9280,4260,6940,-3028,-5588,-3464,12940,-16040,2780,7660,-8704,6864,1516,6020,1664,6292,4448,6284,7152,5572,-3644,-1992,13436,6848,12876,-12860,-6492,-11508,-12208,-6944,-508,-8892,11956,-460,-2380,-7664,444,11512,-14928,2508,5080,6312,6848,13932,-1560,-4412,19368,1016,6236,420,25540,12740,1792,-24536,3596,34452,3596,-8348,16836,-19352,9248,4116,14532,21812,-10240,-12124,20592,-20432,9804,6712,-1308,-21804,2144,6676,-4980,112,4660,-1620,2448,22184,3672,-7948,-1280,12104,3684,6724,9664,14296,7232,-4596,6660,-14780,13276,14632,-612,316,6244,5096,7080
"77","66","    Lumber and building materials","KCBI520",-847,1116,707,-109,-312,-366,276,-445,-441,648,401,-553,-1780,-284,866,1620,2520,1426,614,2786,1126,772,1540,2307,4378,3151,2884,-8538,6005,-2577,-3725,-3271,-2331,867,-74,1308,911,556,3276,519,1280,524,1024,1063,844,1395,-1075,395,-818,1106,675,-1163,804,-893,856,-74,1354,496,-568,-624,-3327,-191,-1632,2059,2384,781,2498,2798,2402,2277,1279,1170,-84,167,3771,704,1821,-930,3387,-3267,1055,4080,-1517,-31,2236,-1199,1560,3376,1012,167,327,378,110,1456,-1923,-1389,-2719,-1382,-474,839,959,189,1128,-1980,1485,-1398,1191,2517,2178,3372,1348,2565,263,1095,4342,240,1145,1739,-2075,1851,423,1920,2341,848
"78","67","    Furniture and furnishings","KCBI570",-158,312,142,20,300,275,100,151,198,-171,402,362,12,171,167,148,141,125,185,234,924,656,721,836,287,490,-149,220,390,218,155,-205,-1180,55,551,909,-213,307,305,301,403,-47,-212,474,752,780,803,448,705,156,820,-470,-50,482,-289,-420,917,-273,-295,267,-999,-250,567,-145,1692,400,706,142,300,1443,-354,911,895,608,152,919,524,709,111,-123,-1040,842,1022,566,924,748,1326,-528,566,497,517,407,1227,379,343,-1345,-116,1080,60,-210,40,-25,-478,1422,60,1744,1506,2258,-481,3011,1952,1863,436,1118,1336,11,769,822,1101,-1279,1110,1054,603,584
"79","68","    Other durable goods","KCB59X0",686,30,92,-90,176,2479,1267,2165,1245,1320,1897,479,1834,-250,-727,273,27,-79,1515,67,541,2227,1519,3195,-2081,1951,-506,6318,-2697,2358,491,4634,1190,-1910,-31,-341,2109,3958,485,2020,-1258,177,2306,-2672,2751,1623,892,-1310,-1564,-1174,-2130,327,-292,-555,-1595,-711,2508,427,3506,3545,-1387,-366,1755,-198,-2261,2116,-2323,780,3136,706,814,3534,1514,364,1237,-1805,4977,-43,2263,-3510,2274,5386,218,6067,741,1167,1124,1287,-479,1194,3740,-323,1614,672,-1608,-603,-2654,-970,2566,-19,-3364,1580,-1163,545,1845,495,1550,4717,2304,1597,377,246,1626,2137,2278,-2245,963,-1183,1460,1556,2111,3600,3183,1188
"80","69","  Nondurable goods","C633RX0",6166,1854,-863,2516,3664,246,2945,2434,3227,5760,4300,2549,159,4331,3339,5448,7560,1918,5258,7210,3738,6963,4313,3739,4763,2907,-5212,10701,-4597,1804,-2657,-8187,-6629,-10021,-2605,1239,13806,4942,-1983,82,1578,3388,2108,2491,7396,9374,3631,588,-5670,3023,547,3268,3024,7913,5503,-1341,7054,2814,11528,6493,-4623,2227,-315,1678,2591,10157,7313,7119,21459,12113,7464,9797,1203,4186,11068,6141,8249,-304,7035,1066,6173,7688,3517,6634,7886,71,3200,-690,8976,12370,7401,5876,1005,2945,-3507,-2060,4536,3105,4608,13746,-2338,4539,6696,7019,16163,2376,6838,3258,562,20111,4157,7056,6177,6656,2378,-1826,-3015,511,7797,6295,3124,10660,6279,1248
"81","70","    Food stores","KCB540",1776,464,532,400,520,100,600,64,1616,-64,856,-560,-492,1148,280,1844,1780,1080,1152,936,228,216,1388,-904,-1788,940,-512,1620,1492,324,-1448,1176,-1376,-2168,808,-776,2776,1400,1100,1412,-880,1012,-352,704,92,732,572,-576,588,-712,3452,1604,648,3004,-1428,1304,4676,-484,3828,760,184,-1048,-960,2808,-276,1740,4708,-1588,160,3580,-56,3924,1740,3120,3052,3236,1932,-676,1564,-828,1680,72,-1696,24,4212,640,1088,1276,928,2056,2504,2888,440,2208,1152,600,2132,880,-1084,776,-1936,792,428,1016,880,-340,1376,484,1944,488,1328,396,84,340,1940,720,-684,-392,1584,1664,1212,916,2016,-952
"82","71","    Apparel stores","KCBI560",150,-361,-99,311,-184,-97,1489,-280,1795,1089,300,597,-1194,90,-704,326,744,608,422,1296,769,773,1306,-154,920,1168,-741,2476,-866,-673,-74,-308,-488,-525,-408,-234,1993,954,134,-1608,1753,1940,603,2823,776,3615,2672,221,-666,602,-1753,944,-1258,193,1551,-514,-490,1157,1752,2077,-191,124,-152,-1132,-1403,2149,1796,2090,5126,971,-907,74,-1047,-34,2370,2968,-59,-184,-1007,830,2924,-200,-295,-1218,-130,251,1796,-285,3095,1561,361,-1040,353,1156,-1583,-1227,-205,506,190,864,707,428,1789,3507,881,501,863,-1499,-1235,2825,1252,886,1460,-449,-1076,-2522,-471,-2568,132,2650,-1577,2949,1406,1203
"83","72","    Department stores","KCB5310",1279,663,1218,170,1042,-23,-1124,2432,-365,1271,592,513,865,1021,2585,1164,1632,412,1328,1903,1170,2266,-395,1618,1795,-879,-1433,3269,1368,1854,-747,-5383,-3198,-889,2059,1199,4157,1519,-1086,1617,-398,-74,-474,-353,2247,2759,-610,-968,401,1055,1009,2263,3064,3649,3449,2561,2068,4077,4716,960,-795,140,213,1066,1949,3959,1226,1509,9375,6425,4842,2424,-2596,-2060,1236,1930,760,835,1319,316,636,3264,3393,736,4197,-1325,189,1955,2699,6959,2552,3370,418,-2156,-478,272,1084,994,2868,5918,258,3429,3717,1798,10280,927,1374,760,-2345,11572,846,2500,2579,4489,1416,2993,1393,1825,3612,373,-2379,2868,-1480,1943
"84","73","    Other general merchandise","KCB53X0",-306,-892,-254,-265,742,612,658,112,368,1105,402,1240,-469,-168,828,540,1404,1091,943,1886,864,403,758,718,1838,194,-1475,3839,-1597,218,-1680,-3707,-1882,-2299,-1515,57,1395,431,-1170,-54,-517,1636,669,-357,283,275,1665,514,27,917,-176,120,760,-1184,-342,-2030,975,-149,179,-271,-877,1358,-57,415,660,466,431,606,1740,1071,1593,1851,-963,1808,1179,137,461,-714,907,-360,1245,200,-664,2937,-460,-66,-1210,-2364,373,-359,540,491,-1479,-502,1258,-1610,828,720,250,1145,-1230,2015,2358,1416,2113,-595,760,725,-691,1941,-1127,1399,2494,-959,-1686,80,-1617,-123,443,-1219,-875,725,135,-194
"85","74","    Other nondurable goods","KCB5Y0",4344,2772,-3312,2580,1768,-528,1868,-640,-368,2392,2780,444,2044,2960,-256,1936,2132,-2032,1468,556,328,3700,1616,2896,2088,1996,-1112,-1764,-7200,-128,1868,1316,1072,-5316,-4932,1060,3680,504,-1040,-1644,1848,-1604,2112,-736,4644,1676,-1036,1884,-7676,1276,-2124,-2172,-432,2528,1948,-3236,112,-2660,1024,3252,-3304,1792,596,-1384,1760,1704,-628,4724,4460,-344,1740,2008,5364,2324,3856,-2488,6200,280,5216,1072,-528,4780,2640,4992,168,916,1488,-1564,1688,1848,1692,312,1412,2996,-4028,-4,1028,4,2280,5228,-572,-2624,-2224,-1164,1392,1916,2784,3320,3968,2344,2080,1864,-852,3296,2260,-3452,-2048,1984,2188,3120,3004,3700,4292,2660
"86","75","Other","A154RX0",3031,5674,8710,7024,3195,20,3017,347,2914,4916,3672,817,-462,-1097,458,3903,2813,4248,-941,3068,3575,4666,2087,2660,3088,1538,4000,5538,13122,-1782,498,7046,-4415,1889,3689,7071,4918,4534,-4970,-1129,11715,-412,12810,-45,6534,4817,10150,-857,2535,880,-1412,-2267,-12507,5164,-3718,4982,7624,-3507,19659,16542,3494,1672,-5985,-11508,9259,-1908,-7096,-4814,-26,-2090,1991,5830,5930,4497,7172,4513,7033,10949,2789,-5609,2715,1788,-491,6833,-2168,-1989,-2166,-276,-3832,-9780,11,-5695,2400,980,-4595,-14573,2941,9100,445,3366,7294,33,-104,5214,-3089,10093,1703,6274,4627,7254,-817,10221,4343,-1125,118,7521,-228,1684,3545,2735,9208,9163,7713,5170
"87","76","  Durable goods","C636RX0",-614,921,1256,1057,-1176,-1742,-1212,-1143,-2006,-86,2486,-450,-194,-878,-872,917,212,-629,-2266,-1448,1903,508,-598,249,3389,-1114,2625,1323,1096,-2095,1270,42,-2196,-1021,1614,292,1410,-270,-2061,236,253,2752,-131,-1653,2318,2454,1314,-1346,1516,855,-78,-2457,-676,-4185,72,3200,1846,-339,520,-859,2188,1167,-83,1653,820,-728,490,-4745,4320,555,-1835,-2387,261,-1775,-1539,711,-955,-1285,-1883,-231,-273,655,502,532,-669,-1444,-1316,1724,395,272,366,1785,2023,19,-637,-1635,-3703,-918,2718,-107,3313,578,-2010,844,-2929,1180,466,2736,2235,99,750,17,827,-1048,-81,527,2377,-1985,1034,489,1109,1388,1555,925
"88","77","  Nondurable goods","C637RX0",3759,4804,7542,6034,4563,1972,4486,1685,5367,5138,924,1292,-259,-187,1382,3027,2633,5009,1511,4754,1526,4213,2815,2445,-713,2904,1100,4209,12228,387,-798,7112,-2287,2957,2118,6899,3552,4897,-2935,-1391,11644,-3197,13146,1649,4238,2327,8966,547,1042,66,-1310,95,-11999,8841,-3808,2263,6133,-3214,19249,17222,1767,756,-5909,-12748,8583,-1344,-7511,-982,-3552,-2543,3478,7794,5716,5990,8489,3918,7862,12144,4521,-5457,2980,1203,-954,6391,-1553,-619,-910,-1954,-4255,-10135,-340,-7424,548,982,-4031,-13183,6312,10043,-2083,3505,4227,-509,1797,4477,-273,9069,1287,3645,2423,7241,-1606,10345,3547,-57,204,7086,-2616,3699,2555,2289,8302,7885,6214,4401
