"","Table 5#5#4U# Price Indexes for Private Fixed Investment in Equi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209"
"26","18","      Internal combustion engines","BA14RG3",16.826,16.814,16.924,17.087,16.903,16.899,16.951,17.05,17.107,17.045,17.071,17.359,16.924,17.23,17.258,17.618,17.216,17.213,17.177,17.228,17.152,17.329,17.525,17.691,17.64,17.715,17.823,17.742,17.914,17.964,18.028,18.001,18.189,18.192,18.281,18.404,18.53,18.76,18.931,19.009,19.253,19.405,19.82,20.034,20.294,20.653,20.959,21.255,21.594,21.936,21.994,22.303,22.467,22.602,22.737,22.853,22.773,22.972,23.199,23.261,23.43,24.172,25.411,27.233,28.97,30.333,31.523,32.307,32.927,33.72,34.525,35.058,36.406,37.387,36.991,35.841,38.717,39.644,40.92,42.051,42.874,43.587,44.921,46.167,48.153,50.312,51.939,53.142,54.499,56.079,57.595,58.609,58.769,60.37,62.016,63.632,63.689,63.873,63.477,64.08,64.164,64.134,64.204,64.498,64.301,64.287,64.465,65.201,65.949,66.297,67.033,67.269,67.287,67.832,68.083,70.446,68.725,69.956,70.866,71.798,71.802,72.655,73.772,74.511,74.903,75.201,75.582,76.305,77.479,77.776,78.82,79.38,79.955,80.189,81.399,80.988,81.166,81.926,82.678,83.04,83.578,83.948,84.534,85.492,85.975,87.065,87.629,87.536,88.279,89.068,89.509,89.877,90.462,90.46,90.465,90.707,90.593,90.399,90.874,90.966,91.861,92.098,92.299,92.669,92.882,93.052,93.344,93.512,93.874,93.96,93.906,94.635,95.332,95.447,95.612,96.082,96.202,96.511,96.902,97.181,97.769,98.109,98.22,98.688,99.401,99.651,100.305,100.644,101.866,102.498,103.21,103.334,103.992,104.284,104.25,104.614,104.745,105.289,105.958,106.638,108.331,108.463,109.095,109.109,108.555,108.809
"27","19","    Metalworking machinery","B271RG3",15.401,15.591,15.824,16.024,16.223,16.329,16.479,16.601,16.58,16.536,16.49,16.452,16.614,16.838,16.986,17.048,16.951,16.894,16.899,16.923,16.97,17.081,17.199,17.364,17.493,17.572,17.608,17.68,17.847,18.073,18.264,18.482,18.644,18.765,18.882,19.053,19.268,19.548,19.858,20.128,20.217,20.237,20.36,20.617,21.032,21.39,21.617,21.697,21.645,21.835,22.028,22.153,22.25,22.341,22.445,22.566,22.711,23.017,23.306,23.477,23.88,24.618,25.942,27.781,29.48,30.467,31.03,31.507,31.967,32.521,33.099,33.772,34.783,35.801,36.736,37.678,38.43,39.475,40.423,41.392,42.933,44.21,45.485,46.909,48.998,50.667,52.085,53.809,54.576,55.693,56.9,57.52,57.784,59.698,60.259,60.025,60.259,60.153,60.131,60.164,60.438,61.238,61.219,61.194,61.099,61.759,62.75,63.748,65.04,65.875,66.669,67.298,68.406,69.043,69.525,70.594,71.288,72.113,72.36,73.527,73.83,73.739,74.613,75.199,76.26,76.792,77.778,79.238,80.576,80.396,80.77,81.59,82.239,82.67,83.246,83.1,83.513,84.244,84.872,85.386,85.758,86.684,87.14,87.633,88.167,89.887,90.774,90.909,91.517,91.775,92.094,92.496,92.509,92.397,92.625,92.897,93.183,93.22,93.355,93.625,93.754,93.583,93.689,94.116,94.281,94.27,94.524,94.691,94.977,94.571,94.479,94.845,94.337,94.212,94.885,94.66,94.602,94.603,94.672,94.843,95.82,95.83,96.311,97.292,98.388,100.287,100.537,100.789,100.788,101.182,101.363,101.623,101.999,102.315,102.717,103.406,103.744,105.14,107.149,107.337,106.859,107.16,106.638,106.595,106.678,107.124
"28","20","    Special industry machinery, n.e.c.","B272RG3",13.707,13.859,14.016,14.074,14.145,14.256,14.347,14.347,14.389,14.279,14.281,14.333,14.361,14.425,14.457,14.564,14.654,14.735,14.828,14.95,15.035,15.108,15.164,15.213,15.285,15.377,15.448,15.488,15.577,15.699,15.934,16.219,16.49,16.683,16.785,16.876,17.11,17.352,17.581,17.796,17.932,18.117,18.359,18.613,18.86,19.064,19.24,19.437,19.723,19.993,20.193,20.367,20.47,20.557,20.663,20.743,20.859,21.12,21.562,21.996,22.518,23.479,24.881,26.492,28.019,29.083,29.782,30.263,30.768,31.434,32.202,32.967,34.427,34.998,35.33,35.752,37.128,37.982,38.973,39.891,40.946,41.984,43.058,44.271,45.346,47.137,48.717,49.813,51.65,52.369,53.397,54.311,54.405,55.189,55.723,56.212,56.341,57.081,57.451,57.737,58.152,58.693,58.69,58.771,58.598,59.521,59.925,61.047,62.398,63.372,64.588,65.042,66.924,67.378,67.375,69.105,70.199,71.198,71.058,72.412,72.78,72.94,73.534,74.341,75.564,76.277,77.63,79.273,80.618,80.19,80.35,81.383,82.216,82.557,84.163,83.604,83.836,84.458,84.729,85.232,85.382,85.923,86.866,87.667,88.25,89.744,90.325,90.493,91.418,91.565,92.04,92.449,92.72,92.489,92.6,92.759,92.834,93.093,93.446,93.902,94.342,94.234,94.219,94.389,94.542,94.374,94.414,94.235,94.75,95.048,94.822,94.263,94.142,94.046,94.055,94.399,94.326,94.509,95.207,95.517,96.446,97.411,97.777,98.616,99.362,99.928,100.033,100.677,101.287,101.774,103.013,103.679,104.772,105.295,105.848,106.631,107.31,108.621,109.257,109.505,109.017,109.026,109.32,109.675,109.14,109.543
"29","21","    General industrial, including materials handling, equipment","B273RG3",17.371,17.611,17.822,17.947,18.081,18.071,18.04,18.03,18.039,18.089,18.124,18.136,18.069,18.075,18.177,18.222,18.23,18.241,18.266,18.346,18.402,18.413,18.473,18.524,18.665,18.764,18.914,19.083,19.218,19.377,19.645,19.869,20.104,20.241,20.37,20.516,20.745,20.996,21.248,21.46,21.649,21.809,22.031,22.341,22.684,23.061,23.428,23.757,24.027,24.319,24.576,24.745,24.827,24.929,24.966,25.121,25.247,25.398,25.586,25.845,26.212,26.645,27.511,28.899,30.737,32.521,33.787,34.563,35.082,35.553,36.177,36.892,37.666,38.534,39.333,39.97,40.687,41.354,42.086,42.963,43.861,44.895,46.107,47.373,48.87,50.378,51.896,53.311,54.633,55.786,56.623,57.145,56.904,57.775,57.95,58.232,58.542,58.612,58.383,58.675,58.999,59.095,59.06,59.233,59.276,59.388,60.264,61.012,62.239,63.235,63.917,63.919,65.325,66.441,66.566,68.214,69.064,70.002,69.758,71.415,71.641,71.762,72.375,73.108,74.303,75.09,76.172,77.266,78.092,77.747,78.106,78.974,79.256,79.595,81.012,80.696,80.979,81.411,81.788,82.437,82.872,83.237,83.703,84.312,84.935,85.902,86.426,86.774,87.287,87.456,87.743,88.037,88.209,88.368,88.428,88.636,88.791,88.984,89.301,89.462,89.776,89.751,89.768,90.076,90.129,90.201,90.513,90.705,90.995,91.243,91.437,91.808,91.87,91.899,92.317,92.474,92.854,93.151,93.421,93.745,94.366,95.441,96.342,97.224,98.564,99.697,100.457,101.283,101.849,102.441,103.383,103.963,104.935,106.085,106.985,107.791,109.031,110.53,112.394,112.814,113.199,113.242,113.472,113.647,113.755,113.99
"30","22","    Electrical transmission, distribution, and industrial apparatus","B276RG3",30.13,30.133,30.293,30.43,30.404,30.232,30.076,29.769,29.534,29.227,29.018,28.858,28.738,28.727,28.721,28.596,28.387,28.117,27.89,27.736,27.745,27.795,27.872,27.876,27.744,27.725,27.747,27.79,27.772,27.866,28.132,28.562,29.018,29.462,29.863,30.157,30.451,30.687,31.018,31.271,31.211,31.161,31.098,31.119,31.369,31.663,32.004,32.431,32.713,32.918,33.019,32.923,32.615,32.427,32.415,32.54,32.639,32.833,33.091,33.386,33.793,34.39,35.627,37.611,39.991,42.258,43.75,44.75,45.364,45.963,46.628,47.356,48.12,49.109,50.161,51.084,51.408,51.962,52.597,53.239,54.119,54.977,55.917,57.03,58.465,60.54,62.602,64.492,65.958,67.067,67.776,68.715,69.836,71.207,71.338,71.416,72.301,72.987,73.151,72.602,72.477,73.232,73.683,74.028,74.338,74.323,74.781,75.117,75.55,75.97,76.386,76.717,77.865,78.557,78.53,78.515,78.897,79.358,79.55,80.251,81.898,82.861,83.606,84.767,85.98,86.918,87.822,88.556,89.82,89.648,89.456,89.953,90.195,90.511,90.625,90.651,90.926,90.944,91.072,91.393,91.302,91.767,92.398,92.876,93.307,94.414,94.948,96.597,95.533,95.573,95.519,95.721,95.525,95.658,95.679,95.49,95.525,95.718,95.703,95.349,95.286,95.108,96.027,96.259,96.543,97.297,97.285,97.072,97.547,97.836,97.616,97.68,96.674,96.169,96.072,96.047,96.076,96.172,96.311,96.194,96.516,96.742,97.217,97.917,98.948,99.782,100.134,101.136,102.507,103.872,105.941,107.034,108.916,110.108,110.935,112.301,113.085,116.135,117.791,117.192,115.252,115.26,115.731,117.329,118.836,118.86
"31","23","  Transportation equipment","B681RG3",26.09,26.152,26.138,26.147,25.897,26.086,26.222,26.16,26.181,26.038,26.039,25.88,25.855,25.719,25.792,25.651,25.718,25.654,25.64,25.525,25.437,25.421,25.437,25.341,25.311,25.398,25.391,25.265,25.179,25.267,25.324,25.489,25.482,25.588,25.765,26.068,26.123,26.327,26.51,26.793,26.787,27,27.456,27.723,28.057,28.311,28.606,29.214,29.831,30.122,30.008,29.89,30.375,30.649,30.912,30.487,30.361,30.726,31.181,31.483,32.234,33.169,34.32,35.547,36.485,37.514,37.8,38.579,39.501,39.776,40.491,41.394,41.825,42.546,43.813,45.494,46.43,46.922,47.656,48.326,49.734,50.955,51.722,53.166,54.813,56.152,57.724,58.47,59.146,60.879,61.559,62.502,63.144,63.537,64.166,64.282,64.623,64.638,64.728,64.966,65.248,65.332,65.456,65.614,66.106,66.874,67.616,68.957,69.824,71.489,71.869,73.241,73.184,72.604,72.629,72.525,72.571,73.285,74.212,75.335,75.341,76.008,76.466,77.978,78.183,78.468,79.212,80.818,82.309,82.673,83.244,84.498,85.426,85.662,85.098,85.306,86.132,86.097,86.051,86.487,88.288,89.144,89.193,87.934,87.464,87.891,88.635,89.012,88.864,89.814,90.606,90.768,90.752,91.09,92.185,91.737,90.87,90.539,90.723,91.14,92.147,92.185,91.027,91.138,91.547,91.701,92.147,91.496,90.395,90.324,91.842,91.244,91.975,91.923,90.516,92.8,92.995,91.961,94.525,99.056,99.124,99.847,98.993,99.006,100.27,100.553,99.166,100.011,100.559,100.729,100.839,101.359,102.084,102.643,102.713,102.062,101.246,101.647,103.33,105.462,110.216,112.977,110.986,105.729,101.206,100.622
"32","24","    Trucks, buses, and truck trailers","B279RG3",22.519,22.624,22.634,22.469,22.042,21.991,22.039,21.999,21.942,22.014,22.038,22.094,22.032,21.931,21.914,21.895,21.766,21.716,21.678,21.669,21.642,21.585,21.635,21.659,21.713,21.885,22.051,22.129,21.946,21.919,22.038,22.199,22.269,22.369,22.514,22.828,22.971,23.035,23.194,23.295,23.392,23.584,23.911,24.125,24.428,24.791,24.986,25.232,25.98,26.547,26.813,26.965,27.237,27.531,27.709,27.455,27.229,27.645,28.091,28.331,29.026,29.905,30.965,32.396,33.548,34.201,34.657,35.457,36.111,36.884,37.985,38.958,39.784,40.606,41.719,43.112,43.865,44.562,45.668,45.844,47.244,48.819,48.977,50.149,51.517,52.46,54.568,56.465,58.343,60.432,61.563,63.271,62.779,64.119,65.532,66.045,66.344,65.757,66.223,67.284,67.995,68.959,69.12,68.871,69.096,69.511,69.454,71.707,72.55,73.624,72.175,73.942,73.479,72.971,72.614,72.147,72.983,73.665,74.369,76.525,76.868,77.43,77.304,78.929,77.884,78.422,79.301,81.207,81.958,81.476,82.499,85.4,85.786,86.585,85.851,87.315,88.878,89.183,89.496,90.005,92.047,93.292,93.672,92.187,92.695,93.263,93.812,93.999,93.838,94.47,94.76,94.52,94.701,94.734,95.534,94.513,93.25,92.838,93.385,94.728,95.846,96.344,95.069,95.192,95.099,94.995,95.377,94.739,92.159,91.264,94.074,91.934,93.266,92.853,89.869,93.081,94.408,91.963,95.023,100.878,100.489,100.975,99.442,99.596,100.798,100.833,98.869,99.5,99.605,99.662,99.315,99.566,100.034,100.904,100.874,100.042,99.145,98.803,98.801,100.606,108.551,116.506,113.598,102.778,96.989,96.734
"33","25","      Light trucks (including utility vehicles) \2\","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.562,74.482,74.63,73.312,74.865,75.969,77.309,77.843,78.731,79.269,78.968,82.02,79.819,80.205,82.05,84.009,86.281,85.419,87.345,91.088,92.862,92.879,90.61,91.871,95.119,95.131,94.557,94.786,98.369,100.334,100.357,96.968,95.924,95.969,96.588,96.723,96.361,97.535,98.482,98.629,98.482,98.535,99.636,98.327,96.24,94.928,95.414,97.022,98.708,99.318,97.071,97.141,96.85,96.653,96.964,95.569,92.205,91.003,94.939,91.867,93.712,92.915,88.176,92.777,94.493,91.076,95.673,104.417,103.428,103.674,101.008,100.345,101.84,101.58,98.086,98.494,98.442,97.758,97.036,96.661,96.727,97.222,97.355,96.572,95.607,94.435,92.728,92.548,125.78,156.132,138.293,80.28,69.125,68.253
"34","26","      Other trucks, buses, and truck trailers \2\","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.192,68.819,67.86,67.829,68.426,68.974,69.327,72.439,72.364,72.854,72.8,73.552,73.244,73.862,74.088,75.86,75.548,75.36,75.699,77.967,77.556,78.823,78.944,80.413,80.971,81.395,82.23,82.918,83.774,84.384,85.054,85.323,87.204,88.224,88.727,89.032,89.206,89.208,88.598,87.684,88.357,88.292,88.509,88.008,88.158,89.259,89.908,90.841,91.066,91.364,91.579,91.78,92.005,92.059,92.57,93.322,92.262,92.008,92.48,92.452,92.661,93.086,93.292,94.007,94.488,94.039,93.911,94.161,95.01,96.021,96.627,98.322,98.952,99.438,100.293,101.317,101.689,103.177,103.574,105.081,105.938,107.628,107.761,108.028,109.202,110.056,110.786,112.493,113.417,113.688,114.125,114.831,115.49,116.488
"35","27","    Autos \2\","B280RG3",48.039,48.083,47.942,48.066,47.503,48.24,48.562,48.366,48.489,47.775,47.607,46.773,46.742,46.299,46.471,45.684,46.107,45.855,45.915,45.476,45.195,45.258,45.281,44.668,44.335,44.327,43.95,43.137,43.023,43.394,43.237,43.527,42.983,43.015,43.3,43.971,43.598,44.217,44.545,45.434,44.808,45.011,46.095,46.277,46.62,46.404,46.885,48.95,49.998,49.871,48.584,47.562,48.762,49.008,49.329,47.41,47.051,47.468,48.246,48.584,49.644,50.611,51.745,52.225,52.117,54.155,53.717,54.665,56.195,55.134,55.232,56.252,55.94,56.621,58.682,61.86,63.755,63.66,63.781,65.099,66.973,67.607,69.225,71.909,74.326,76.194,77.397,75.5,73.937,76.013,75.346,74.907,74.409,74.126,74.24,73.616,73.88,74.069,73.558,72.952,72.786,71.899,71.803,72.233,73.243,74.782,76.826,77.636,78.985,82.145,84.693,86.594,86.555,85.561,86.038,86.369,85.411,85.899,87.304,87.644,86.654,87.501,88.579,90.407,91.29,91.137,91.514,93.741,96.302,96.972,97.061,97.91,99.198,98.582,97.494,96.492,96.798,95.971,95.239,95.364,97.666,98.269,97.713,95.813,92.95,92.723,93.618,94.06,93.678,95.535,97.327,98.074,97.539,99.087,101.709,101.969,101.16,100.437,100.083,98.847,100.54,99.276,96.765,96.22,97.028,96.862,96.542,93.78,93.004,93.496,93.66,94.348,95.247,95.389,94.528,96.645,94.865,94.427,96.75,102.104,102.507,103.663,101.261,99.517,100.479,100.558,98.751,100.212,101.089,100.569,101.259,102.049,102.843,103.229,102.382,100.927,99.284,100.288,104.074,107.131,114.302,118.887,114.538,105.398,96.292,94.463
"36","28","    Aircraft","B281RG3",13.628,13.699,13.751,13.827,13.805,13.762,13.8,13.776,13.842,13.857,13.97,14.01,14.073,14.161,14.4,14.867,15.012,15.187,15.032,14.897,14.732,14.679,14.644,14.76,14.923,15.037,15.08,15.088,15.099,15.139,15.254,15.413,15.617,15.777,15.894,15.975,16.122,16.214,16.325,16.424,16.551,16.71,16.92,17.262,17.5,17.802,18.04,18.282,18.495,18.682,18.731,18.85,18.961,18.914,19.064,19.402,19.513,19.618,19.873,20.202,20.899,21.759,22.378,22.798,23.014,23.201,23.62,24.27,25.273,26.157,26.914,27.524,27.74,28.067,28.746,29.674,29.787,30.311,31.023,31.821,32.701,33.678,34.699,35.673,36.752,37.844,38.841,39.791,40.55,41.458,42.46,43.586,46.011,46.338,46.694,47.222,47.647,47.872,48.105,48.315,48.585,48.833,49.149,49.5,49.775,50.012,50.391,50.928,51.141,51.739,51.798,51.931,52.536,52.483,52.614,52.57,52.411,53.531,54.087,54.506,55.256,55.584,56.142,57.053,58.288,58.863,60.072,60.699,61.78,62.719,63.563,63.618,64.973,65.641,65.881,66.071,66.704,67.092,67.153,67.831,68.453,68.899,69.697,70.066,70.795,71.799,72.766,73.593,73.791,74.284,75.116,75.621,75.715,75.741,75.911,75.835,75.8,75.954,75.801,75.971,76.302,76.619,76.672,77.483,78.688,79.804,81.147,82.377,83.424,84.258,85.465,85.695,85.366,85.499,86.256,87.171,87.595,88.769,91.108,91.75,92.152,92.56,95.888,97.529,98.616,99.533,100.547,101.304,102.729,104.213,104.908,105.969,106.715,106.71,107.938,109.156,109.826,111.039,113.047,116.055,116.936,114.443,114.018,114.646,115.225,115.63
"37","29","    Ships and boats","B282RG3",14.964,14.904,14.873,14.915,15.156,15.353,15.592,15.603,15.509,15.404,15.398,15.437,15.349,15.405,15.518,15.696,15.693,15.71,15.71,15.788,15.854,15.905,15.946,16.158,16.122,16.149,16.138,16.255,16.355,16.529,16.628,16.708,16.849,16.896,17.071,17.351,17.463,17.606,17.771,17.99,18.161,18.457,18.715,18.975,19.273,19.542,19.788,20.098,20.323,20.445,20.663,20.936,21.161,21.405,21.681,21.975,22.359,22.96,23.16,23.578,24.107,25.285,27.063,28.222,28.896,29.188,29.166,29.656,30.211,30.581,31.078,31.78,32.176,32.611,33.526,34.458,34.908,35.571,36.262,36.939,37.732,39,39.843,40.602,41.78,42.654,43.4,44.325,45.309,46.285,47.748,49.341,53.424,52.651,52.604,52.564,52.875,54.49,55.051,55.373,56.232,55.673,56.738,58.266,57.768,58.595,58.639,58.674,60.198,60.338,60.782,60.811,61.727,61.971,61.766,61.522,62.332,62.671,63.363,64.618,64.978,65.301,66.258,67.269,67.89,68.293,68.703,69.074,69.833,70.137,70.553,70.727,71.175,71.628,71.864,72.239,73.067,73.975,74.714,74.946,75.787,76.338,75.451,76.387,76.746,77.006,77.417,77.802,78.204,78.653,79.532,80.471,80.682,80.837,81.217,81.577,81.794,82.168,82.394,82.439,82.832,83.02,83.203,83.773,84.562,84.765,85.863,86.617,87.04,87.428,87.745,88.365,88.783,89.414,90.592,91.182,92.772,93.404,94.031,95.147,96.075,97.152,97.526,97.729,98.432,99.483,100.625,101.461,101.848,102.868,103.972,105.284,107.55,106.986,108.142,108.656,109.334,109.822,111.253,112.205,113.237,114.226,114.255,114.4,114.516,116.251
"38","30","    Railroad equipment","B283RG3",16.076,16.139,16.238,16.364,16.503,16.617,16.709,16.728,16.796,16.884,16.973,17.02,17.011,16.929,16.881,16.851,16.895,16.922,16.932,16.924,16.948,16.939,16.898,16.889,16.904,16.92,16.92,16.929,16.966,17.001,17.001,17.001,17.063,17.144,17.259,17.357,17.456,17.603,17.677,17.826,18.065,18.288,18.511,18.85,19.286,19.631,19.81,19.847,19.81,19.886,20.16,20.459,20.921,21.529,22.108,22.618,22.758,22.906,23.095,23.31,23.696,24.47,26.072,28.437,31.122,33.062,34.402,35.085,35.675,36.368,37.143,37.949,39.147,40.44,41.207,41.542,42.35,43.284,44.005,44.918,46.147,47.236,47.928,48.863,50.681,52.351,53.789,55.074,56.287,57.654,58.784,59.489,60.113,60.107,60.42,60.833,60.876,61.559,62.25,62.271,62.11,62.017,62.231,62.251,62.828,63.061,63.134,63.014,63.159,62.669,62.498,62.48,62.653,62,62.274,62.569,62.95,64.259,65.227,65.927,67.294,68.945,69.358,70.131,70.504,70.656,71.261,71.985,72.468,72.608,72.793,72.536,72.786,72.961,72.831,72.493,72.355,72.727,73.523,74.462,74.847,75.439,75.928,76.506,78.157,79.558,81.047,82.014,82.287,82.397,82.258,81.82,82.184,80.314,80.204,80.588,80.794,81.434,81.477,80.963,80.853,81.063,81.655,81.395,81.48,81.643,81.699,81.739,81.757,81.654,81.229,81.228,81.232,81.676,81.651,81.471,81.933,82.722,83.37,83.663,85.712,88.05,88.25,91.608,97.721,100.368,100.824,101.088,103.752,106.16,107.008,107.57,109.755,109.887,112.107,111.758,110.915,112.196,114.984,113.58,113.643,112.295,111.106,111.187,112.054,111.853
"39","31","  Other equipment","B682RG3",18.341,18.433,18.512,18.525,18.54,18.663,18.703,18.738,18.674,18.667,18.705,18.695,18.789,18.808,18.82,18.779,18.859,18.862,18.938,19.028,19.1,19.175,19.243,19.224,19.306,19.379,19.438,19.505,19.619,19.767,19.881,20.082,20.226,20.319,20.463,20.652,20.809,20.968,21.246,21.489,21.639,21.893,22.089,22.306,22.54,22.776,22.947,23.245,23.573,23.771,23.908,23.93,24.256,24.519,24.546,24.59,24.804,25.168,25.515,25.814,26.348,27.275,28.979,30.777,32.16,33.046,33.577,34.198,34.837,35.432,35.995,36.671,37.497,38.199,38.957,39.754,40.414,41.366,42.263,43.123,43.975,44.942,46.141,47.254,48.841,50.295,51.738,53.128,54.539,55.98,57.268,58.445,59.585,60.151,60.552,61.036,61.434,61.662,61.661,62.016,62.385,62.83,63.134,63.168,63.476,63.812,64.388,64.748,65.221,65.835,66.388,66.725,67.319,67.802,68.189,68.939,69.928,70.627,71.191,72.135,72.804,73.297,74.038,74.652,75.495,75.978,76.802,77.578,78.163,78.344,78.749,79.117,79.528,79.947,80.457,80.689,81.068,81.518,81.865,82.194,82.717,83.385,83.932,84.307,84.839,85.513,86.045,86.64,87.017,87.3,87.637,88.078,88.435,88.581,88.579,88.937,89.111,89.263,89.499,89.638,89.923,90.204,90.385,90.629,90.84,90.98,91.184,91.383,91.842,92.038,92.174,92.538,92.601,92.678,93.132,93.434,93.742,94.068,94.299,94.589,94.994,95.813,96.791,97.714,98.821,99.732,100.409,101.038,101.825,102.408,103.299,104.11,105.024,105.519,105.845,106.766,107.735,109.369,111.476,112.765,113.068,112.728,112.651,112.802,112.535,112.871
"40","32","    Furniture and fixtures","B667RG3",20.309,20.324,20.377,20.303,20.42,20.473,20.393,20.34,20.385,20.341,20.26,20.244,20.295,20.273,20.307,20.431,20.285,20.215,20.271,20.405,20.504,20.561,20.594,20.55,20.611,20.64,20.618,20.745,20.824,20.978,21.104,21.319,21.584,21.776,21.961,22.084,22.324,22.55,22.8,23.054,23.324,23.704,24.009,24.348,24.596,24.725,24.969,25.174,25.445,25.743,25.893,26.041,26.179,26.319,26.406,26.724,27.138,27.727,28.565,29.028,29.867,31.027,32.824,34.655,35.248,35.198,35.339,35.777,36.197,36.766,37.371,38.166,39.031,39.844,40.753,41.549,42.655,43.982,44.741,45.2,46.493,47.65,48.052,48.58,49.499,50.361,51.323,52.493,53.439,54.185,54.915,55.779,56.417,57.279,57.662,57.738,58.52,58.797,59.097,59.456,60.03,60.534,60.833,61.166,61.797,62.471,63.327,63.703,64.276,64.911,65.161,65.74,66.347,66.796,67.231,67.837,69.303,70.375,71.438,71.983,72.456,72.988,74.01,74.409,75.314,75.965,76.43,77.156,77.655,77.669,77.976,77.822,78.284,78.429,78.783,78.807,79.204,79.698,80.114,80.277,80.958,82.418,83.06,83.243,83.675,84.533,85.173,86.019,86.441,86.474,86.671,87.457,87.709,88.098,88.227,88.401,88.562,88.573,88.472,88.431,88.46,88.603,88.969,89.075,89.183,89.309,89.608,89.847,90.394,90.619,90.679,90.964,91.11,90.818,91.712,92.288,92.462,92.731,92.886,93.08,93.521,94.588,95.839,97.196,98.702,99.955,100.54,100.802,101.066,101.539,102.331,102.834,103.792,104.137,104.077,104.774,105.829,108.498,111.363,112.679,112.917,112.26,112.153,112.333,111.386,112.085
"41","33","      Household furniture","BA15RG3",23,22.931,23.233,22.946,22.921,23.078,23.095,23.338,23.372,23.493,23.455,23.726,23.561,23.543,23.523,24.029,23.83,23.81,23.939,24.044,24.041,24.053,24.192,23.983,24.137,24.145,24.089,24.256,24.519,24.794,24.998,25.185,25.394,25.599,25.696,26.033,26.314,26.482,26.942,27.179,27.436,27.671,28.019,28.274,28.45,28.687,28.827,28.984,29.174,29.503,29.67,29.829,29.839,29.994,30.149,30.422,30.595,31.069,31.691,32.228,32.861,33.783,35.008,36.21,37.185,37.495,37.484,37.823,38.34,38.77,39.271,40.073,40.806,41.548,42.188,42.456,43.303,44.313,45.449,46.466,47.169,47.981,48.951,49.82,51.572,53.201,54.701,55.902,56.825,57.589,58.581,59.352,60.923,61.398,61.326,61.502,61.705,62.074,62.785,63.131,63.566,64.095,64.428,64.897,65.269,66.022,66.383,66.669,67.438,67.55,68.066,68.522,69.795,70.018,70.316,69.795,72.176,72.868,73.367,74.179,74.688,75.384,75.957,76.578,76.975,77.53,78.117,78.7,79.142,79.437,79.67,80.063,80.498,80.57,81.151,81.084,81.421,82.057,82.49,83.181,83.568,84.094,84.5,85.004,85.436,86.291,86.86,87.385,87.82,88.141,88.434,88.694,88.954,89.264,89.379,89.525,89.732,89.811,89.678,89.641,89.718,89.66,89.796,89.97,90.037,90.108,90.482,90.821,90.998,91.161,91.028,91.325,91.566,91.608,91.937,92.366,92.636,93.099,93.279,93.252,93.789,94.853,95.502,97.34,99.278,99.803,99.993,100.925,102.09,102.38,102.7,103.008,103.356,103.711,103.856,104.297,105.526,108.841,110.791,111.398,111.616,111.467,110.839,110.438,109.404,109.085
