"","Table 5#4#4U# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"26","18","      Other power","W029RG3",13.642,13.728,13.869,13.864,13.821,13.73,13.775,13.767,13.77,13.77,13.728,13.818,13.729,13.739,13.548,13.351,13.418,13.302,13.272,13.095,12.911,12.729,12.68,12.59,12.638,12.638,12.727,12.91,13.135,13.225,13.185,13.187,13.14,13.181,13.181,13.228,13.275,13.55,13.728,13.996,14.222,14.455,14.64,14.864,15.048,15.318,15.597,15.858,16.225,16.68,17.095,17.279,17.554,17.733,17.821,17.812,17.908,18.272,18.816,19.557,20.186,20.935,21.646,22.696,23.699,24.36,24.853,25.273,25.858,26.228,26.573,26.795,27.46,28.113,28.789,29.542,30.105,30.847,31.716,32.266,33.054,33.322,33.553,34.207,34.62,35.9,36.706,37.928,38.849,39.898,41.317,41.644,42.832,43.392,43.982,44.377,44.288,44.29,44.581,45.071,45.4,45.958,46.159,46.228,46.323,46.141,45.847,45.453,44.812,44.54,44.373,44.496,45.133,45.659,46.144,46.809,47.318,48.039,49.25,50.167,49.433,50.82,51.549,52.172,52.079,52.251,52.43,52.724,53.061,53.259,53.453,53.38,54.122,54.113,54.213,54.375,54.577,55.234,55.988,56.817,58.204,58.308,58.794,60.25,59.97,60.13,60.303,60.419,60.781,60.802,60.826,61.046,61.588,62.159,62.574,63.078,63.187,63.381,63.48,63.563,64.009,64.595,65.237,66.24,66.846,67.737,68.258,68.601,68.762,69.134,69.339,69.316,69.1,70.049,71.066,71.979,72.635,72.877,72.905,72.93,75.402,83.012,88.577,92.915,97.508,99.994,100.396,102.102,103.234,104.154,104.659,104.161,102.215,101.775,101.818,102.625,106.016,112.878,119.172,121.087,117.509,112.991,111.19,111.162,113.335,117.196,118.354
"27","19","    Communication","B314RG3",22.05,22.036,22.408,22.423,22.604,22.726,22.783,23.041,23.336,23.457,23.342,22.979,22.666,22.366,22.351,22.539,22.712,23.03,23.329,23.26,23.393,23.281,23.279,23.405,23.576,23.704,24.067,24.434,24.626,25.183,25.306,25.613,25.986,26.17,26.607,26.914,27.038,27.094,26.96,27.007,27.306,27.722,28.331,29.493,30.292,31.341,31.903,31.603,31.132,31.203,31.394,31.585,32.017,32.618,32.725,32.837,33.672,34.413,35.1,36.73,38.366,40.119,41.797,42.167,42.189,42.339,42.494,42.53,42.967,43.955,44.451,45.441,47.809,47.526,47.571,48.381,49.278,50.316,51.363,52.537,54.143,55.681,58.252,60.196,61.571,63.02,64.164,64.916,64.145,64.569,64.509,65.107,66.135,65.774,65.965,65.412,65.277,64.257,63.662,62.781,61.488,61.824,61.27,61.383,62.496,62.708,62.876,62.85,62.293,62.157,62.056,61.928,61.858,61.832,62.346,62.364,61.635,62.03,62.974,64.255,66.522,67.712,69.097,70.089,69.731,69.972,70.419,70.579,70.47,70.472,71.298,70.995,70.436,70.743,71.036,70.98,71.006,72.529,72.201,72.199,72.319,72.803,73.363,74.304,76.096,76.986,78.686,79.616,79.835,80.567,81.654,82.68,82.657,83.289,83.292,82.851,83.069,82.889,83.008,83.008,81.865,81.49,82.033,82.109,82.576,83.413,83.618,84.435,84.986,85.523,86.9,86.784,87.119,87.037,87.897,87.529,88.366,89.108,90.119,90.969,91.738,93.784,95.454,96.887,96.188,98.005,100.859,105.297,110.13,113.253,115.777,119.089,118.539,118.839,119.72,120.161,119.76,119.403,123.287,122.594,119.223,118.247,116.386,117.264,118.054,119.143,120.578
"28","20","  Mining exploration, shafts, and wells","E318RG3",5.775,5.953,6.095,6.131,6.064,5.956,5.848,5.809,5.809,5.774,5.74,5.777,5.884,5.922,5.923,5.819,5.785,5.716,5.647,5.58,5.648,5.689,5.688,5.731,5.731,5.77,5.841,5.885,5.987,6.139,6.244,6.323,6.322,6.36,6.397,6.509,6.551,6.659,6.733,6.855,6.866,6.979,7.09,7.137,7.244,7.475,7.538,7.486,7.411,7.599,7.788,7.906,8.029,8.207,8.357,8.418,8.529,8.655,8.821,9.074,9.458,10.611,11.52,12.163,12.791,13.201,13.492,13.948,13.944,14.206,14.661,15.116,15.824,16.68,17.531,18.209,18.728,19.765,20.562,21.445,22.494,23.114,23.82,23.874,23.349,23.506,23.758,24.902,28.136,30.751,32.877,35.65,36.909,37.081,36.369,34.94,31.603,29.658,28.724,27.643,26.813,27.185,26.956,26.954,27.214,26.904,26.995,26.988,26.824,26.412,25.646,24.734,22.82,21.95,21.551,21.922,23.3,24.031,24.558,24.976,25.137,25.295,25.512,25.619,25.58,26.008,26.605,27.46,29.179,28.949,27.918,25.798,25.691,25.749,25.883,26.118,25.812,25.908,26.075,26.215,26.198,26.065,26.556,26.927,27.248,27.38,29.211,30.508,29.099,28.933,30.521,31.073,32.399,33.415,34.245,35.646,37.989,39.374,38.846,38.326,38.041,37.322,36.962,37.523,37.433,37.737,39.416,41.202,44.27,47.996,50.284,49.952,53.31,56.623,59.273,60.952,61.992,62.54,64.854,66.917,69.571,71.515,75.344,80.911,88.518,93.837,102.668,114.978,121.043,127.854,131.484,137.216,139.168,139.604,139.892,140.849,143.486,146.816,150.744,152.26,143.165,131.328,127.83,126.324,127.72,129.287,131.34
"29","21","    Petroleum and natural gas","B319RG3",5.384,5.558,5.699,5.733,5.664,5.559,5.453,5.418,5.419,5.384,5.348,5.383,5.489,5.524,5.524,5.418,5.383,5.313,5.243,5.174,5.243,5.277,5.278,5.313,5.314,5.351,5.422,5.456,5.561,5.701,5.805,5.876,5.874,5.91,5.944,6.049,6.084,6.188,6.258,6.361,6.36,6.463,6.568,6.605,6.712,6.925,6.997,6.927,6.823,6.996,7.17,7.272,7.375,7.549,7.689,7.724,7.829,7.936,8.07,8.304,8.674,9.847,10.752,11.385,12.031,12.463,12.781,13.267,13.264,13.512,13.987,14.468,15.212,16.102,16.961,17.622,18.08,19.121,19.927,20.845,21.977,22.621,23.339,23.359,22.757,22.841,22.997,24.042,27.229,29.839,32.007,34.915,36.361,36.651,35.973,34.501,31.022,28.994,28.016,26.89,26.03,26.406,26.163,26.16,26.428,26.088,26.134,26.051,25.787,25.313,24.513,23.613,21.741,20.902,20.519,20.888,22.238,22.947,23.454,23.854,23.999,24.14,24.354,24.459,24.414,24.838,25.42,26.258,27.959,27.698,26.634,24.472,24.407,24.489,24.634,24.861,24.514,24.59,24.735,24.852,24.806,24.646,25.14,25.511,25.846,25.985,27.883,29.205,27.692,27.483,29.101,29.662,31.03,32.067,32.896,34.303,36.67,38.06,37.509,36.97,36.675,35.922,35.521,36.039,35.866,36.128,37.81,39.626,42.76,46.538,48.838,48.491,51.902,55.339,58.123,59.837,60.845,61.399,63.754,65.824,68.484,70.446,74.408,80.251,88.314,93.885,103.028,115.758,121.733,128.606,132.269,138.242,140.416,140.971,141.301,142.271,144.959,148.321,152.259,153.64,144.002,131.633,128.037,126.468,127.985,129.674,131.796
"30","22","    Mining","B320RG3",11.975,11.976,11.923,11.925,12.029,11.974,11.922,11.82,11.815,11.87,11.921,11.973,11.972,12.025,12.027,12.133,12.185,12.238,12.29,12.34,12.295,12.506,12.505,12.766,12.773,12.878,12.88,13.192,13.086,13.454,13.456,13.669,13.709,13.765,13.815,14.031,14.22,14.377,14.483,14.962,15.225,15.489,15.698,16.013,16.13,16.706,16.602,16.922,17.387,17.809,18.23,18.592,19.034,19.245,19.554,20.077,20.311,20.731,21.315,21.69,22.066,22.814,23.766,24.69,25.366,25.668,25.726,25.89,25.925,26.453,26.784,27.044,27.504,28.026,28.686,29.281,30.041,30.778,31.436,32.234,32.857,34.004,35.099,36.012,36.831,37.746,38.754,39.866,40.796,41.547,42.228,42.943,43.77,44.417,44.94,45.284,45.48,45.728,46.018,46.451,46.954,47.386,47.961,48.363,48.771,49.047,49.393,49.824,50.232,50.76,51.274,51.854,52.173,52.62,53.009,53.507,54.121,54.514,54.927,55.439,55.913,56.58,56.935,57.326,57.915,58.3,58.74,58.958,59.172,59.328,59.534,59.311,59.235,59.48,59.769,60.307,60.909,61.325,61.907,62.507,63.07,63.517,64.348,65.309,66.096,66.479,66.815,67.104,67.377,67.714,68.441,68.846,69.371,69.863,70.681,71.449,71.905,72.474,73.245,74.05,74.832,75.591,76.277,76.981,78.111,78.903,79.69,80.527,81.587,82.438,83.539,84.134,83.918,84.124,84.272,85.24,86.648,86.598,86.824,87.816,89.511,91.245,93.185,95.093,96.667,98.531,100.985,103.228,105.752,107.752,109.161,111.131,112.454,113.196,114.199,115.161,115.518,116.017,116.357,116.516,115.448,112.226,109.143,108.124,107.087,105.812,105.877
"31","23","  Other structures","W004RG3",12.536,12.524,12.473,12.495,12.587,12.541,12.486,12.385,12.385,12.431,12.475,12.517,12.528,12.575,12.59,12.707,12.746,12.785,12.832,12.868,12.828,13.027,13.044,13.281,13.297,13.395,13.406,13.697,13.637,13.949,13.965,14.177,14.223,14.285,14.364,14.541,14.818,14.962,15.059,15.519,15.764,16.08,16.296,16.62,16.741,17.255,17.269,17.657,18.077,18.449,18.841,19.224,19.635,19.851,20.114,20.594,20.907,21.318,21.878,22.307,22.918,23.906,25.114,26.205,26.79,27.209,27.371,27.561,27.725,28.17,28.396,28.66,29.721,30.022,30.581,31.052,31.618,32.295,32.945,33.666,34.455,35.519,36.659,37.582,38.746,39.617,40.546,41.69,42.651,43.64,44.404,45.193,45.973,46.687,47.25,47.639,48.067,48.337,48.597,48.848,49.215,49.739,50.237,50.625,50.928,51.193,51.441,51.811,52.154,52.527,52.943,53.451,53.9,54.409,54.843,55.392,55.977,56.344,56.716,57.171,57.598,58.256,58.649,59.112,59.718,60.104,60.552,60.782,61.029,61.325,61.553,61.405,61.394,61.667,61.942,62.375,62.924,63.523,64.015,64.522,65.056,65.477,66.231,67.1,67.857,68.339,68.793,69.194,69.627,69.941,70.581,70.999,71.488,72.005,72.712,73.458,73.831,74.402,75.128,75.871,76.601,77.313,77.97,78.664,79.702,80.474,81.21,82.106,83.037,83.801,84.85,85.532,85.53,85.857,86.07,86.966,88.13,88.079,88.304,89.245,90.744,92.319,94.115,95.836,97.231,98.859,100.997,102.913,104.668,106.44,107.8,109.901,111.889,112.432,113.384,114.349,114.75,115.349,116.166,117.358,117.22,114.929,112.41,111.674,111.291,110.679,110.646
"32","24","    Religious","C309RG3",12.007,12.007,11.954,11.957,12.059,12.005,11.952,11.85,11.847,11.903,11.953,12.006,12.006,12.059,12.061,12.167,12.219,12.273,12.325,12.375,12.325,12.537,12.536,12.797,12.8,12.906,12.907,13.221,13.12,13.489,13.491,13.704,13.752,13.808,13.858,14.074,14.281,14.437,14.543,15.023,15.286,15.55,15.76,16.076,16.188,16.767,16.662,16.983,17.456,17.88,18.302,18.666,19.096,19.308,19.618,20.143,20.414,20.835,21.419,21.792,22.215,22.962,23.917,24.845,25.444,25.747,25.804,25.968,26.018,26.546,26.877,27.137,27.583,28.107,28.768,29.365,30.016,30.745,31.396,32.188,32.91,34.059,35.156,36.071,37.094,38.004,39.006,40.111,40.942,41.694,42.377,43.096,43.806,44.445,44.957,45.288,45.574,45.821,46.111,46.546,47.098,47.53,48.107,48.509,48.845,49.12,49.462,49.885,50.276,50.789,51.286,51.85,52.296,52.743,53.133,53.632,54.298,54.691,55.105,55.617,56.091,56.76,57.115,57.507,58.088,58.474,58.914,59.133,59.333,59.489,59.696,59.472,59.4,59.646,59.936,60.475,61.089,61.519,62.108,62.704,63.247,63.679,64.499,65.455,66.24,66.626,66.966,67.26,67.554,67.89,68.607,68.994,69.483,69.963,70.782,71.565,72.01,72.606,73.408,74.237,75.082,75.858,76.555,77.265,78.378,79.159,79.925,80.736,81.756,82.585,83.685,84.299,84.141,84.379,84.534,85.489,86.858,86.812,87.072,88.115,89.789,91.491,93.415,95.323,96.915,98.792,101.259,103.562,106.004,107.94,109.288,111.218,112.468,113.168,114.153,115.121,115.505,116.015,116.354,116.502,115.399,112.149,109.052,108.026,106.99,105.716,105.781
"33","25","    Educational and vocational","W044RG3",12.16,12.161,12.107,12.109,12.216,12.161,12.107,12.004,11.999,12.055,12.106,12.159,12.159,12.212,12.214,12.321,12.371,12.426,12.478,12.529,12.486,12.7,12.699,12.964,12.969,13.076,13.076,13.394,13.294,13.669,13.671,13.888,13.929,13.986,14.036,14.256,14.469,14.628,14.736,15.222,15.481,15.749,15.961,16.281,16.4,16.986,16.88,17.206,17.66,18.088,18.516,18.883,19.341,19.556,19.87,20.402,20.694,21.121,21.714,22.095,22.528,23.289,24.262,25.201,25.774,26.079,26.138,26.304,26.382,26.918,27.256,27.525,27.949,28.48,29.15,29.755,30.417,31.152,31.81,32.613,33.262,34.429,35.542,36.471,37.491,38.409,39.424,40.546,41.486,42.249,42.944,43.674,44.377,45.023,45.54,45.877,46.185,46.436,46.732,47.173,47.714,48.152,48.734,49.144,49.475,49.75,50.095,50.524,50.935,51.454,51.959,52.528,52.976,53.428,53.825,54.328,55,55.401,55.821,56.339,56.798,57.475,57.834,58.231,58.826,59.217,59.663,59.883,60.109,60.268,60.481,60.251,60.188,60.436,60.733,61.286,62.089,62.446,62.981,62.984,64.196,64.255,65.227,66.657,67.073,67.658,67.916,67.904,68.402,68.743,69.469,69.861,70.294,70.838,71.702,72.507,73.189,73.931,74.81,75.649,76.343,77.05,77.683,78.338,79.512,80.21,80.847,81.486,82.206,82.879,83.991,84.79,85.178,85.799,86.132,87.062,88.062,87.685,87.687,88.55,90.09,91.761,93.681,95.615,97.308,99.051,101.136,102.775,103.307,105.427,107.046,110.502,116.4,116.592,117.294,118.317,118.922,119.906,122.989,128.994,132.786,132.06,129.558,129.281,130.108,130.903,130.528
"34","26","    Lodging","W045RG3",12.082,12.065,12.011,12.019,12.115,12.057,12.01,11.917,11.915,11.96,12,12.055,12.06,12.112,12.135,12.251,12.285,12.334,12.394,12.424,12.38,12.598,12.608,12.859,12.858,12.97,12.969,13.278,13.218,13.557,13.549,13.77,13.811,13.881,13.948,14.142,14.42,14.556,14.651,15.13,15.359,15.696,15.939,16.247,16.39,16.945,16.936,17.336,17.714,18.067,18.456,18.807,19.248,19.464,19.72,20.228,20.528,20.948,21.551,22.001,22.606,23.529,24.648,25.68,26.211,26.506,26.681,26.777,26.923,27.364,27.563,27.823,28.564,28.969,29.695,30.305,30.748,31.368,31.907,32.642,33.185,34.305,35.412,36.352,37.493,38.479,39.49,40.588,41.469,42.339,43.13,43.947,44.761,45.378,45.88,46.202,46.317,46.648,46.871,47.136,47.582,47.988,48.544,48.942,49.285,49.555,49.878,50.308,50.718,51.12,51.578,52.154,52.628,53.164,53.561,54.019,54.549,54.899,55.272,55.745,56.193,56.833,57.2,57.657,58.272,58.648,59.136,59.402,59.606,59.874,60.115,59.985,59.973,60.255,60.519,60.928,61.37,61.762,62.234,62.972,63.338,63.867,64.647,65.405,66.222,66.635,67.111,67.508,67.758,68.08,68.723,69.1,69.708,70.157,70.859,71.703,71.952,72.403,73.141,73.995,74.911,75.759,76.498,77.219,78.284,79.063,79.831,80.645,81.671,82.504,83.603,84.213,84.043,84.275,84.429,85.384,86.771,86.719,86.941,87.932,89.609,91.35,93.295,95.205,96.78,98.644,101.1,103.398,105.802,107.702,109.048,110.973,112.245,112.981,114,115.012,115.48,116.023,116.36,116.445,115.204,111.901,108.752,107.701,106.668,105.398,105.463
"35","27","    Amusement and recreation","W046RG3",12.1,12.083,12.028,12.034,12.126,12.065,12.017,11.924,11.923,11.971,12.012,12.071,12.079,12.133,12.156,12.269,12.298,12.346,12.408,12.445,12.411,12.633,12.639,12.879,12.861,12.962,12.96,13.277,13.235,13.584,13.578,13.794,13.822,13.889,13.963,14.172,14.478,14.624,14.715,15.175,15.368,15.679,15.907,16.211,16.364,16.932,16.942,17.366,17.772,18.143,18.538,18.883,19.303,19.505,19.754,20.265,20.575,20.985,21.553,21.944,22.465,23.342,24.456,25.526,26.138,26.498,26.72,26.844,27.002,27.437,27.612,27.831,28.508,28.883,29.609,30.253,30.766,31.439,32.01,32.755,33.284,34.399,35.513,36.473,37.65,38.654,39.665,40.746,41.587,42.426,43.192,43.994,44.803,45.418,45.923,46.251,46.573,46.746,46.868,47.093,47.571,48.003,48.577,48.985,49.33,49.607,49.942,50.39,50.822,51.232,51.684,52.239,52.677,53.189,53.576,54.036,54.582,54.949,55.338,55.828,56.291,56.94,57.31,57.763,58.366,58.73,59.204,59.455,59.644,59.906,60.152,60.033,60.041,60.334,60.597,60.997,61.418,61.801,62.275,63.027,63.42,63.967,64.754,65.509,66.313,66.723,67.209,67.629,67.917,68.248,68.871,69.196,69.718,70.163,70.948,71.965,71.912,72.502,73.319,74.183,75.033,75.848,76.577,77.307,78.421,79.207,79.969,80.776,81.759,82.563,83.65,84.262,84.12,84.366,84.52,85.468,86.815,86.755,87.007,88.053,89.719,91.459,93.406,95.318,96.895,98.762,101.222,103.518,105.908,107.798,109.128,111.06,112.323,113.055,114.075,115.085,115.523,116.055,116.379,116.474,115.29,111.994,108.862,107.818,106.784,105.513,105.577
"36","28","    Transportation","W047RG3",14.635,14.607,14.618,14.779,14.824,14.866,14.776,14.598,14.61,14.584,14.611,14.549,14.611,14.564,14.518,14.66,14.634,14.621,14.566,14.586,14.588,14.663,14.734,14.879,14.878,14.905,14.942,15.116,15.143,15.166,15.289,15.424,15.412,15.462,15.662,15.681,16.139,16.28,16.37,16.705,16.854,17.239,17.362,17.746,17.752,17.924,18.241,18.718,19.058,19.293,19.606,20.074,20.335,20.55,20.647,20.872,21.338,21.667,22.14,22.803,24.066,25.879,27.952,29.456,29.701,30.658,30.965,31.369,31.844,32.182,32.277,32.605,35.903,35.459,35.495,35.24,35.774,36.416,37.191,37.692,39.002,39.779,41.204,42.067,43.995,44.259,44.59,45.937,47.019,48.705,49.368,49.838,50.49,51.579,52.478,53.248,54.719,55.601,56.555,56.745,56.662,57.986,58.321,58.614,58.785,59.022,58.69,58.577,58.324,58.142,58.064,58.11,58.173,58.403,58.955,60.411,61.316,61.747,61.844,61.972,62.334,63.172,63.704,63.907,64.362,64.792,65.018,64.9,65.551,65.938,66.189,65.912,65.941,66.13,66.567,67.34,68.428,70.646,71.707,72.184,72.395,72.692,73.06,73.803,74.599,74.811,75.088,75.766,77.067,77.411,78.254,79.311,79.41,79.545,79.848,80.167,80.83,81.406,81.916,82.414,82.892,83.167,83.62,84.17,85.044,85.719,86.446,87.175,88.218,89.252,90.464,91.287,91.284,91.55,91.822,92.611,93.543,93.986,94.425,95.243,96.396,97.077,97.816,98.267,98.706,99.323,100.431,101.541,102.1,102.747,103.662,104.8,105.188,105.172,106.384,107.472,108.358,109.189,109.941,110.58,110.943,110.738,110.325,110.198,111.029,111.193,111.359
"37","29","      Air","W048RG3",12.109,12.092,12.036,12.042,12.135,12.074,12.025,11.932,11.931,11.979,12.021,12.079,12.088,12.143,12.165,12.278,12.306,12.354,12.417,12.454,12.421,12.644,12.65,12.889,12.871,12.971,12.969,13.285,13.243,13.592,13.586,13.802,13.831,13.899,13.973,14.183,14.49,14.637,14.728,15.188,15.381,15.693,15.923,16.23,16.386,16.956,16.964,17.385,17.785,18.15,18.543,18.886,19.307,19.509,19.762,20.276,20.592,21.006,21.577,21.97,22.492,23.37,24.484,25.552,26.161,26.518,26.737,26.86,27.017,27.453,27.63,27.852,28.535,28.913,29.64,30.281,30.787,31.455,32.025,32.772,33.304,34.422,35.537,36.495,37.668,38.672,39.686,40.773,41.626,42.471,43.239,44.038,44.839,45.448,45.949,46.277,46.621,46.776,46.89,47.117,47.608,48.049,48.627,49.035,49.374,49.645,49.975,50.419,50.847,51.256,51.71,52.268,52.713,53.229,53.617,54.077,54.619,54.984,55.374,55.868,56.338,56.991,57.362,57.813,58.411,58.772,59.245,59.496,59.686,59.95,60.197,60.08,60.09,60.382,60.642,61.036,61.448,61.826,62.3,63.058,63.463,64.017,64.809,65.565,66.368,66.774,67.254,67.667,67.945,68.27,68.896,69.233,69.775,70.229,71.019,72.055,72.061,72.643,73.447,74.25,75.032,75.792,76.479,77.2,78.245,79.035,79.841,80.732,81.893,82.794,83.884,84.465,84.232,84.411,84.54,85.503,86.896,86.859,87.138,88.206,89.788,91.508,93.446,95.35,96.957,98.803,101.263,103.535,106.175,108.219,109.563,111.339,112.48,113.097,114.04,115.025,115.508,116.046,116.352,116.459,115.206,111.878,108.742,107.7,106.684,105.45,105.517
"38","30","      Land \3\","W049RG3",15.238,15.207,15.229,15.419,15.455,15.516,15.417,15.222,15.238,15.197,15.221,15.135,15.21,15.141,15.08,15.227,15.189,15.163,15.085,15.104,15.117,15.164,15.247,15.375,15.372,15.381,15.427,15.569,15.62,15.575,15.724,15.843,15.82,15.864,16.093,16.075,16.564,16.709,16.801,17.129,17.273,17.669,17.781,18.18,18.172,18.302,18.661,19.153,19.491,19.714,20.023,20.51,20.756,20.975,21.057,21.254,21.745,22.071,22.541,23.244,24.602,26.54,28.744,30.312,30.525,31.55,31.869,32.306,32.821,33.155,33.244,33.585,37.159,36.641,36.622,36.284,36.833,37.485,38.291,38.779,40.167,40.929,42.408,43.282,45.336,45.525,45.796,47.189,48.307,50.101,50.76,51.198,51.84,52.999,53.958,54.794,56.458,57.457,58.554,58.734,58.563,60.04,60.338,60.61,60.751,60.988,60.544,60.337,59.95,59.638,59.442,59.359,59.31,59.45,60.033,61.777,62.795,63.248,63.253,63.269,63.605,64.493,65.066,65.206,65.619,66.062,66.216,65.998,66.771,67.188,67.439,67.121,67.155,67.324,67.8,68.654,69.882,72.508,73.724,74.135,74.311,74.551,74.814,75.548,76.33,76.488,76.711,77.448,79.015,79.362,80.254,81.481,81.471,81.529,81.721,81.886,82.688,83.261,83.702,84.128,84.531,84.668,85.035,85.503,86.28,86.895,87.587,88.254,89.268,90.384,91.642,92.542,92.586,92.856,93.164,93.903,94.72,95.283,95.754,96.509,97.556,98.022,98.525,98.715,98.967,99.404,100.329,101.3,101.614,102.088,102.944,104.007,104.304,104.2,105.439,106.54,107.477,108.34,109.132,109.814,110.31,110.345,110.117,110.045,110.989,111.232,111.402
"39","31","    Farm","B316RG3",11.973,11.973,11.92,11.922,12.023,11.968,11.916,11.815,11.813,11.868,11.918,11.971,11.968,12.021,12.024,12.129,12.183,12.236,12.287,12.337,12.291,12.502,12.501,12.762,12.77,12.875,12.876,13.189,13.075,13.443,13.445,13.658,13.709,13.765,13.815,14.03,14.237,14.392,14.497,14.976,15.224,15.488,15.697,16.012,16.128,16.705,16.6,16.921,17.41,17.832,18.254,18.617,19.022,19.232,19.542,20.066,20.297,20.721,21.305,21.678,22.102,22.846,23.797,24.72,25.366,25.667,25.725,25.888,25.944,26.471,26.801,27.06,27.492,28.013,28.673,29.268,29.98,30.707,31.355,32.145,32.887,34.036,35.136,36.055,37.009,37.918,38.919,40.023,40.836,41.586,42.268,42.987,43.743,44.387,44.904,45.241,45.461,45.706,45.994,46.427,46.989,47.422,47.999,48.404,48.764,49.047,49.397,49.826,50.113,50.624,51.121,51.684,52.149,52.595,52.984,53.481,54.126,54.518,54.93,55.441,55.916,56.583,56.937,57.327,57.919,58.304,58.743,58.961,59.158,59.314,59.52,59.296,59.203,59.448,59.738,60.275,60.886,61.318,61.904,62.499,63.083,63.515,64.331,65.288,66.049,66.433,66.774,67.07,67.383,67.719,68.432,68.814,69.285,69.76,70.577,71.364,71.843,72.447,73.243,74.061,74.831,75.592,76.279,76.989,78.09,78.872,79.647,80.463,81.542,82.412,83.527,84.132,83.912,84.111,84.25,85.209,86.558,86.523,86.812,87.907,89.497,91.229,93.167,95.075,96.649,98.512,100.967,103.283,105.942,108.017,109.436,111.342,112.478,113.106,114.063,115.044,115.47,116.035,116.413,116.585,115.51,112.278,109.186,108.164,107.127,105.852,105.916
"40","32","    Other \4\","W050RG3",13.23,13.083,12.972,12.939,12.922,12.838,12.831,12.828,12.875,12.878,12.877,12.954,13.018,13.074,13.226,13.372,13.389,13.415,13.522,13.494,13.445,13.643,13.712,13.799,13.895,13.994,13.986,14.195,14.311,14.518,14.558,14.778,14.877,15.033,15.197,15.276,15.752,15.816,15.824,16.211,16.369,16.906,17.145,17.499,17.79,18.181,18.662,19.21,19.391,19.619,19.868,20.262,20.656,20.843,21.039,21.488,21.856,22.249,22.676,23.344,24.509,26.156,27.902,29.322,30.06,30.423,30.877,31.066,31.485,31.561,31.328,31.395,33.133,33.136,33.545,33.914,33.897,34.276,34.647,35.208,35.828,36.756,37.875,39.045,40.332,41.758,43.176,44.552,45.998,47.419,48.702,49.95,51.066,51.767,52.242,52.406,52.853,52.247,51.643,51.274,51.25,51.455,51.634,51.747,51.904,52.096,52.384,52.77,53.244,53.586,54.02,54.55,55.083,55.725,56.177,56.431,56.655,56.84,57.065,57.387,57.617,58.07,58.528,59.203,59.867,60.271,60.879,61.269,61.467,62.123,62.337,62.435,62.534,62.824,62.889,62.893,63.079,63.38,63.422,64.039,64.321,64.938,65.665,66.226,67.011,67.757,68.64,69.46,70.092,70.333,70.621,70.82,71.51,72.76,73.466,73.386,73.515,74.039,74.715,75.216,75.685,76.172,76.783,77.814,78.454,79.699,80.564,81.407,82.123,82.557,82.935,83.507,84.004,84.479,84.958,85.396,85.825,86.241,86.794,87.528,88.194,89.942,92.582,95.401,97.047,99.067,101.129,102.757,104.488,106.365,108.359,111.713,112.747,114.474,116.547,118.907,118.898,120.978,123.469,125.621,125.207,122.987,120.593,119.617,119.563,119.969,120.843
