"","Table 7#18B# Chain-Type Quantity Indexes for Motor Vehicle Outpu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145"
"25","17","  Gross government investment","AB64RA",46.53,47.48,46.95,45.45,43.23,42.34,41.7,41.38,41.33,41.55,40.99,40.66,40.58,41.72,41.95,40.51,42.32,40.71,40.53,40.93,41.11,42.58,45.06,49.59,51.13,53.41,58.6,65.21,55.74,63.95,68.09,65.44,61.9,59.52,59.81,60.16,59.97,64.34,66.41,68.84,72.29,69.9,65.36,67.93,67.1,74.33,72.54,77.56,77.96,72.2,79.32,79.22,77.12,70.73,76.61,75.63,78.27,75.5,71.95,67.01,70.49,66.42,64.63,69.79,61.14,74.84,82.74,88,95.9,114.25,97.78,102.55,109.01,111.32,103.3,97.39,91.6,102.62,111.13,86.75,87.31,85.37,105.18,78.48,102.1,89.81,98.13,87.94,109.03,113.19,135.24,102.59,123.39,107.25,122.79,121.02,142.74,97.74,102.38,91.43,106.37,113.49,97.63,140.57,95,121.03,108.65,94.99,92.12,93.41,113.39,93.48,88.91,101.83,95.99,113.49,111.62,92.76,91.37,104.25,100.59,104.83,119.49,96.97,100.99,125.97,104.66,120.45,111.55,102.79,119.24,134.79,125.77,116.11,116.2,127.71,125.71,126.21,122.42,131.08,125.94,117.17
"26","18","    Autos","B144RA",39.69,39.71,40.24,41.8,41.33,41.32,41.7,42,41.92,43.25,43.3,43.99,43.4,45.46,44.32,39.09,46.45,44.63,45.57,46.28,46.22,47.06,46.97,49.3,47.29,45.95,44.71,42.83,45.66,48.33,51.29,47.82,46.08,46.59,48.6,46.82,47.89,49.09,50.44,52.75,62.13,60.8,57.52,57.77,60.2,67.05,69.15,68.75,68.66,63.23,67.61,60.34,63.42,58.79,61.85,64.85,73.08,65.54,60.21,57.44,60.04,60.65,64.03,67.97,60.71,57.89,64.14,64.29,67.76,73.91,73.86,70.09,78.18,68.89,62.1,63.32,72.51,58.27,60.48,65.05,61.29,66.76,62.51,64.81,83.02,70.23,73.86,80.97,84.84,95,87.86,74.37,94.17,87.43,89.75,115.44,105.32,82.38,80.14,77.89,88.35,106.12,108.4,109.01,98.03,101.35,101.27,86.79,98.41,100.16,105.34,92.2,91.65,110.78,97.12,115.61,105.39,87.51,88.26,118.84,92.89,86.34,98.2,87.34,86.37,104.69,93.1,98.68,95.68,90.61,92.14,114.84,92.03,93.05,99.44,97.56,83.76,100.92,102.36,102.43,101.19,92.55
"27","19","    New trucks","B708RA",49.96,51.43,50.3,47.07,43.87,42.49,41.27,40.59,40.56,40.12,39.21,38.27,38.49,39.07,40.12,40.96,39.44,37.96,37.11,37.32,37.62,39.45,43.54,49.42,53.23,57.81,67.1,79.11,61.81,73.52,78.39,76.25,71.57,67.42,66.65,68.29,67.34,73.64,76.15,78.66,78.69,75.65,70.35,74.25,71.57,79.07,75.08,83.21,83.88,77.87,86.6,90.57,85.5,78.06,85.61,82.4,82.04,81.83,79.17,73.02,77,70.39,65.83,71.7,62.18,84.85,93.73,101.74,112.06,136.99,111.78,121.03,126.7,135.24,126.46,116.65,102.69,127.64,139.7,98.93,102.01,95.79,129.58,85.99,112.69,100.76,111.77,91.77,122.55,123.35,161.87,118.44,139.75,118.24,141.37,123.87,163.76,106.22,114.82,98.92,116.32,117.5,91.48,158.2,93.29,131.86,112.72,99.51,88.67,89.73,117.79,94.19,87.42,96.97,95.36,112.33,115.01,95.63,93.08,96.29,104.87,115.11,131.34,102.24,109.12,137.88,110.98,132.62,120.37,109.54,134.45,145.87,144.77,129.04,125.5,144.65,149.4,140.37,133.64,147.13,139.76,130.97
"28","20","  Net exports"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","21","    Exports","AB69RA",22.07,23.91,23.66,22.1,26.27,25.86,24.2,27.09,26.84,28.79,27.59,27.33,21.79,28.88,26.67,20.06,28.46,31.06,31.79,25.38,27.79,30.11,32.6,36.63,40.2,39.47,37.97,43.67,48.02,47.95,49.46,51.83,52.37,57.43,62.71,61.77,54.57,57.17,56.19,58.85,59.02,56.28,53.73,51.62,55.02,59.56,58.51,66.91,64.79,67.03,65.6,73.08,59.49,53.7,48.06,54.46,50.12,48.74,50.93,41.88,34.28,38.47,34.41,31.34,32.02,36.51,39.7,42.73,42.33,40.42,43,44.39,45.22,46.76,51.52,51.37,51.26,55.97,48.47,48.02,50.05,56.13,49.78,63.89,61.5,62.45,69.11,67.34,68.58,62.82,56.78,64.86,66.41,69.47,62,54.97,67.94,71.46,75.02,68.37,70.09,79.33,83.84,88.09,77.67,83.28,75.52,90.62,91.87,92.45,92.6,90.72,100.31,91.69,95.14,94.1,98.85,95,103.05,103.1,99.84,103.3,108.62,109.37,108.79,98.02,87.51,96.13,93.13,95.75,92.47,95.33,100,99.07,92.72,91.09,82.75,93.67,97.95,95.81,94.07,102.26
"30","22","      Autos","B142RA",25.26,27.2,26.55,27.56,34.61,30.61,28.77,32.01,33.04,30.22,31.14,30.7,19.79,33.7,28.37,18.42,31.78,36.46,35.91,28.67,30.8,34.15,37.52,40.03,45.2,44.96,43.77,49.56,51.48,51.64,51.22,52.6,49.77,50.02,57.7,62.03,57.35,57.67,56.44,57.82,62.3,62.26,55.19,52.53,53.54,58.19,57.67,62.79,62.94,64.27,64.1,70.87,61.19,49.31,41.27,49.88,44.8,43.87,48.51,35.09,27.4,34.71,34.22,26.88,33.59,39.27,42.1,45.32,44.9,42.76,44.11,45.81,49.85,49.54,55.08,53.72,56.71,56.94,51.46,49.48,50.69,59.57,50.32,65.98,64.5,66.69,76.39,73.7,79.41,73.23,66.79,77.46,75.48,76.84,69.08,56.66,72.95,70.54,80.92,73.36,78.63,83.28,95.81,98.78,87.55,92.57,83.09,97.62,101.09,101.63,103.75,95.89,106.81,96.57,97.96,99.55,103.76,92.86,103.52,99.86,95.82,100.42,99.79,97.22,100.62,91.24,87.33,98.5,94.64,97.99,91.47,95.84,99.76,98.62,91.97,91.18,87.25,100.61,109.8,107.12,104.95,116.09
"31","23","      Trucks","B706RA",17.62,19.29,19.56,14.6,14.98,19.3,17.86,20.22,18.32,26.62,22.56,22.5,24.37,22.18,24.07,21.97,23.68,23.52,25.98,20.75,23.46,24.38,25.65,31.81,33.13,31.69,29.71,35.32,43.32,42.9,47.22,51.06,56.79,69.4,70.93,61.91,50.77,56.8,56.21,60.97,54.35,47.41,51.93,50.67,57.8,62.2,60.3,74.04,68.33,72.09,68.45,77.05,56.6,61.49,60.3,62.6,59.72,57.51,55.23,54.22,46.79,45.25,34.64,39.43,29.05,31.33,35.18,37.84,37.47,36.03,40.81,41.66,36.61,41.53,44.83,46.92,41.13,54.03,42.83,45.2,48.73,49.64,48.63,59.87,55.82,54.48,55.54,55.46,48.53,43.54,38.26,41.55,49.57,55.77,48.83,51.74,58.62,73.05,63.95,59.01,54.25,71.94,61.6,68.21,59.32,66.01,61.42,77.55,74.71,75.35,71.86,81.02,88.16,82.55,89.86,83.89,89.63,99.03,102.14,109.21,107.42,108.73,125.13,131.97,124.01,110.65,88,91.97,90.57,91.88,94.48,94.6,100.66,100.1,94.26,91.12,74.82,81.34,76.81,75.64,74.65,77.57
"32","24","    Imports","AB70RA",14.63,15.67,16.64,18.82,21.23,24.6,28.06,29.66,24.56,32.39,34.3,31.99,29.98,32.03,30.58,30.79,34.35,36.41,42.28,38.97,40.01,40.47,38.37,43.22,42.75,41.3,39.16,40.49,45.11,44.17,42.26,37.01,30.7,30.59,35.4,37.47,42.27,43.38,40.26,40.49,41.39,44.84,47.42,50.79,50.12,53.55,50.65,51.8,47.41,51.83,50.62,52.48,54.7,52.43,53.13,51.72,48.99,51.1,50.73,51.36,53.85,56.38,57.1,49.53,55.55,61.4,60.64,68.75,75.53,77.24,78.18,79.21,79.92,85.95,90.65,93.5,89.46,95.44,100.09,92.63,92.19,95.35,91.22,93.57,88.21,84.61,85.39,86.97,87.27,82.66,78.55,76.91,79.37,86.5,85.67,82.51,78.23,73.85,83.37,79.76,79.78,80.34,79.58,81.08,86.84,86.59,84.61,86.87,84.45,94.21,98.23,104.28,103.78,100.41,93.04,91.63,96.49,100.25,104.12,99.14,110.32,109.73,111.95,106.97,112.5,114.24,111.61,127.56,136.53,139.75,145.82,147.94,157.03,155.5,157.7,154.57,153.24,154.63,154.3,150.61,150.99,164.52
"33","25","      Autos","B143RA",16.39,17.03,18.44,21.93,23.25,28,32.1,33.23,25.89,35.88,37.78,34,32.67,35.5,32.6,33.67,38.33,40.45,47.5,42.83,43.91,42.77,40.35,46.13,45.4,42.74,40.65,42.46,48.38,46.74,43.47,37.17,31.28,31.66,37.48,39.26,42.83,43.52,39.84,41.02,41.02,44.51,47.57,49.44,48.58,49.86,48.47,49.08,43.74,49.07,50.63,50.93,54.01,51.71,51.84,49.61,47.31,49.62,47.78,48.11,50.66,53.51,56.22,49.14,55.4,59.56,59.02,65.82,73.69,73.15,74.99,75.53,75.59,82.27,88.98,89.98,86.36,93.68,98.96,93.88,89.41,93.36,90.86,93.27,87.53,83.47,85.2,85.22,85.2,81.43,77.38,74.64,78.94,86.1,85.2,84.61,80.35,74.6,84.56,78.49,77.91,79.31,78.88,80.01,85.46,84.78,84.84,87.63,84.37,95.74,99.47,105.79,104.83,101.69,93.11,91.24,97.41,99.59,103.56,99.45,109.6,109.39,109.82,105.78,113.47,118.03,113.64,130.47,136.73,139.01,147.18,147.92,158.11,160.45,164.35,163.89,162.21,159.18,156.19,152.16,155,171.4
"34","26","      Trucks","B707RA",8.33,10.41,10.03,8.3,13.64,12.71,14.05,16.85,18.63,19.61,21.39,23.62,19.65,19.21,22.38,19.89,19.72,21.5,23.23,24.48,25.37,31.23,30.32,31.76,32.27,35.49,33.15,32.54,31.85,33.75,37.41,36.54,28.54,26.37,26.84,30.3,40.42,43.33,42.62,38.74,43.47,46.81,47.41,57.34,57.6,70.97,60.92,64.61,65,64.84,50.58,59.69,58,55.91,59.21,61.68,56.89,58.11,64.5,66.51,68.72,69.81,61.33,51.52,56.46,70.11,68.3,82.45,84.25,96.33,93.18,96.43,100.18,103.24,98.65,110.08,104.07,103.89,105.59,86.86,105.65,104.97,92.89,94.95,91.44,90.08,86.28,95.44,97.26,88.58,84.16,87.78,81.44,88.43,87.96,72.54,68.17,70.3,77.72,85.87,88.84,85.35,82.94,86.3,93.53,95.36,83.5,83.22,84.86,86.8,92.19,96.96,98.72,94.24,92.67,93.51,92.06,103.45,106.82,97.67,113.74,111.37,122.24,112.75,107.81,95.99,101.8,113.58,135.44,143.21,139.23,147.87,151.74,131.88,126.08,110.41,110.81,132.89,145.02,142.97,131.76,131.82
"35","27","Change in private inventories"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","  Autos"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","    New"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","      Domestic"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","31","      Foreign"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","32","    Used"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","  New trucks"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","34","    Domestic"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","    Foreign"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","36","  Final sales of motor vehicles to domestic purchasers","AB75RA",34.85,37.49,36.69,35.4,40.64,41.23,43.69,43.67,44.71,44.08,44.35,43.37,39.57,40.26,39.77,31.02,42.17,43.55,46.08,49.36,49.57,51.04,51.22,56.17,61.3,59.38,57.34,53.46,50.29,50.18,51.68,43.36,42.56,42.1,48.13,50.19,54.89,55.62,57.1,57.23,64.08,64.38,63.88,64.9,62.66,71.53,68.67,69.33,68.21,62.09,64.49,59.96,58.88,46.14,51.45,51.97,57.09,52.32,55.95,48.34,53.67,52.34,52.27,56.12,55.87,63.62,67.52,73.77,76.74,79.53,77.96,80.65,85.02,86.43,94.59,84.8,84.87,88.61,98.64,88.96,79.51,85.94,92.17,84.27,92.42,90.27,87.03,89.85,88.08,89.15,91.67,82.14,89.45,85.05,85.04,80.11,74.57,72.83,76.71,74.96,78.02,79.61,80.1,84.7,81.1,87.91,87.6,92.55,95.96,94.43,96.11,98.65,95.95,95.03,96.74,97.8,98.93,100.09,100.29,100.69,103.65,99.76,107.44,108.45,109.29,117.11,111.32,124.33,122.83,126.17,130.62,131.14,135.76,128.94,130.26,122.52,127.23,126.49,125.81,139.68,127.6,129.04
"46","37","  Private fixed investment in new autos and new light trucks","AB76RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.38,56.29,59.47,56.94,62.21,61.87,62.02,62.33,56.33,60.64,59.19,52.88,58.26,58.39,62.27,60.98,59.99,62.17,65.68,62.53,62.05,65.73,63.78,68.39,65.11,74.85,70.54,76.19,84.28,83.73,86.85,91.58,88.32,85.27,89.91,90.24,93.94,98.78,104.02,103.27,108.26,106.39,109.06,110.25,110.91,118.61,104.62,120.38,119.38,119.56,127.32,126.19,129.59,120.51,120.88,114.09,117.1,113.4,109.35,109.79,101.87,107.57
"47","38","  Domestic output of new autos \2\","B148RA",56.53,63.06,62.63,62.05,73.72,77.44,75.16,76.18,77.71,68.73,76.37,66.63,57.27,67.16,62.76,34.9,79.3,71.72,72.22,75.55,80.29,77.84,71.62,89,101,90.8,86.37,80.62,66.5,66.41,75.77,67.63,51.78,62.21,73.9,71.27,85.16,84.69,79.85,86.59,95.63,94.57,93.15,90.83,87.51,97.28,91.42,96.44,99.02,89.88,80.7,74.98,73.68,58.33,63.25,76.11,74.75,78.49,75.81,59.8,51.53,66.37,73.36,58.8,75.05,76.34,90.09,99.24,102.58,95.01,96.57,106.89,104.47,104.29,110.84,106.36,105.49,103.6,105.7,100.27,106.47,96.5,90.45,100.27,92.12,103.68,98.34,106.33,109.14,103.09,90.85,92.94,87.4,94.72,97.32,82.13,80.04,80.3,88.96,84.23,82.01,90.05,91.67,94.05,92.44,93.69,88.17,101.58,112.15,104.56,106.41,108.03,113.05,98.89,98.75,100.23,91.78,106.41,106.92,94.89,98.26,99.4,101.26,99.71,99.48,91.27,96.91,104.87,99.63,99.45,102.04,101.35,106.37,102.47,102.08,93.96,91.26,93.27,94.79,92.11,96.57,101.17
"48","39","  Sales of imported new autos \3\","B149RA",12.1,14.48,15.75,15.77,17.11,18.23,20.39,21.56,20.92,23.73,25.12,28.3,27.08,27.61,25.39,28.83,29.17,31.26,34.69,32.23,32.74,34.59,36.92,40.94,41.4,42.72,39.18,41.58,42.52,35.58,39.94,35.72,41.61,38.87,43.22,40.65,39.21,41.27,44.17,45.54,49.36,57.46,52.73,51.57,49.6,55.16,55.65,54.96,58.05,59.56,58.34,59.64,67.36,53.64,61,65.08,68.15,65.08,65.4,65.88,71.58,68.71,72.86,79.72,75.55,82.74,81.68,93.46,91.9,95.13,91.64,97.41,95.85,103.81,115.86,109.89,111.78,118.91,130.43,132.69,107.53,115.57,126.42,119.96,131.52,128.37,121.16,118.13,111.77,116.68,120,107.25,118.63,114.57,113.51,109.67,92.22,100.73,103.25,95.13,100.42,103.35,99.01,103.23,97.55,107.71,111.59,106.02,100.95,109.05,107.38,108.27,102.48,101.44,101.81,104.92,98.33,98.53,101.28,101.86,106.84,102.14,111.41,112.65,117.79,126.24,117.73,132.02,133.1,141.58,148.79,154.41,156.38,154.02,154.68,152.62,149.14,154.45,148.62,159,151.28,153.87
"49"," 1. Except for exports and imports, consists of new trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50"," 2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
