"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"21","13","    Durable goods","B690RA3",6.647,7.716,7.718,7.392,7.12,5.993,7.196,8.232,6.325,6.647,7.468,6.933,8.867,8.322,8.785,9.121,9.692,10.649,10.966,11.567,13.982,15.487,13.744,12.632,11.56,11.354,12.527,13.134,13.629,13.404,14.668,15.12,14.451,14.488,15.559,14.624,16.955,19.758,17.548,18.68,17.677,18.069,17.497,20.406,28.397,20.673,19.155,19.961,19.527,20.146,19.228,18.056,16.252,17.104,17.257,14.211,13.815,14.069,13.338,14.15,14.013,13.987,13.579,13.978,13.362,13.767,12.729,13.572,13.362,14.819,15.173,17.333,16.318,18.791,18.472,20.488,22.056,25.214,25.308,27.943,33.077,36.454,34.536,37.467,39.619,41.909,43.204,40.864,41.543,40.676,41.809,42.685,43.576,44.254,45.522,45.298,45.791,47.446,48.989,48.221,48.004,50.565,52.047,53.446,53.931,54.221,54.302,54.521,55.364,56.751,58.206,60.621,61.575,65.464,65.867,65.415,65.162,66.825,67.87,67.281,64.877,67.521,69.367,73.801,76.529,75.261,78.042,75.937,80.482,79.461,73.099,70.228,71.178,72.372,73.417,71.076,71.069,73.067,76.329,80.352,81.523,86.79,89.698,92.867,96.087,98.113,101.952,103.848,108.28,112.507,113.334,119.7,124.415,128.438,131.861,137.867,143.1,147.806,145.535,125.49,112.481,111.056,118.618,125.424,128.754,136.471,139.997,144.949,146.968,151.144,151.112
"22","14","    Nondurable goods","B691RA3",6.388,7.686,7.18,6.778,7.947,7.974,7.787,8.204,8.228,8.083,9.788,7.012,9.134,8.15,9.474,9.082,10.355,11.226,11.081,10.943,12.786,13.094,12.976,12.892,11.986,11.527,13.124,13.814,13.158,14.143,13.19,14.473,14.313,14.779,16.792,15.754,14.887,16.764,17.245,17.825,17.448,17.723,18.497,19.612,22.604,22.986,21.778,22.677,24.471,24.907,23.658,22.845,22.213,23.869,22.8,23.2,22.781,21.674,22.203,22.779,21.46,22.057,22.278,22.572,22.144,21.14,21.08,22.018,22.694,23.105,23.783,23.936,24.483,26.197,27.665,28.258,29.433,31.565,33.172,34.603,34.683,37.908,38.07,38.548,41.067,45.067,43.663,45.836,48.775,46.31,46.063,46.889,48.559,50.312,52.064,52.638,51.867,51.651,53.092,53.967,54.471,56.955,61.27,62.152,60.013,60.905,63.709,63.516,65.732,65.883,65.636,67.938,71.25,72.107,71.546,73.391,72.744,74.536,74.681,73.89,75.715,73.884,74.741,75.712,78.253,81.85,83.906,82.939,83.899,83.338,78.077,78.97,76.361,78.582,79.207,80.764,84.202,83.477,85.641,85.684,91.246,94.387,92.886,96.873,97.804,100.087,99.19,102.92,105.63,105.009,106.98,111.121,113.917,112.433,114.587,111.08,115.735,120.434,127.448,129.208,127.322,129.176,127.777,134.352,136.378,125.506,127.753,134.613,124.43,130.133,131.304
"23","15","  Other","B643RA3",26.712,25.933,25.018,28.575,31.388,28.981,31.876,29.88,31.582,32.361,31.549,30.685,34.014,34.388,36.025,36.319,36.815,37.117,34.73,35.78,35.677,36.924,32.484,36.376,37.003,33.929,32.09,36.991,34.267,29.591,35.336,32.829,35.989,36.629,42.69,38.997,31.158,32.906,26.767,33.378,35.095,29.283,27.721,31.233,39.455,31.359,32.397,32.597,36.962,42.862,40.328,41.605,32.95,31.506,36.057,36.828,38.178,37.296,38.626,44.221,47.118,49.278,50.654,52.373,58.943,59.97,56.767,57.661,54.421,56.904,57.223,60.629,70.768,68.461,69.838,74.516,75.038,76.965,75.532,79.103,75.304,78.421,73.403,84.853,67.93,66.927,67.681,74.352,74.692,72.547,69.44,72.149,70.55,70.757,69.481,71.228,62.877,70.837,69.106,72.023,66.284,71.617,70.36,73.785,73.717,70.619,70.92,73.377,72.035,75.332,76.429,82.784,81.107,83.725,86.122,86.854,86.883,88.885,95.294,99.667,99.305,98.646,96.375,100.936,98.722,94.25,104.192,106.322,101.789,98.45,93.88,91.065,101.587,102.637,104.938,99.468,92.199,89.547,88.607,89.515,89.254,93.079,90.198,86.454,95.54,99.009,102.904,102.547,105.018,98.579,102.981,104.683,120.954,117.119,115.49,122.798,119.404,119.269,99.611,110.175,110.04,104.296,97.862,113.24,103.326,110.405,110.019,95.871,112.556,105.262,101.619
"24","16","Exports of services \1\","B646RA3",13.303,14.853,14.546,15.068,14.743,16.278,15.949,15.945,17.041,16.997,16.365,17.364,16.989,16.232,17.262,16.859,17.204,17.971,18.282,18.644,18.511,19.974,18.972,20.269,21.281,22.04,18.941,20.243,20.481,20.457,21.843,22.162,22.103,22.788,22.775,22.759,24.031,23.895,24.569,25.49,25.513,25.142,25.039,25.308,25.652,26.242,27.892,27.518,29.124,30.034,30.333,29.24,29.589,29.246,28.502,28.102,28.663,28.447,28.706,27.704,30.547,31.394,31.067,30.638,31.508,31.329,30.667,31.611,35.09,34.783,36.175,37.233,38.28,39.559,39.693,40.029,41.647,42.789,43.938,43.383,46.197,46.491,47.998,48.814,50.74,52.091,52.792,53.864,51.652,55.266,56.432,58.671,58.908,58.471,58.674,57.932,59.798,60.467,60.822,60.659,62.607,64.264,64.763,65.464,65.855,66.257,70.015,71.136,70.545,72.82,71.53,77.509,76.082,77.753,78.356,77.551,78.335,79.871,78.249,80.757,82.5,83.493,84.445,84.989,85.405,87.216,85.437,86.35,85.265,85.229,81.497,78.146,82.584,83.326,84.373,86.177,82.783,82,85.725,89.921,93.587,94.828,94.433,98.1,99.508,99.094,99.795,101.603,104.897,106.339,106.729,113.773,111.753,113.108,119.127,123.554,122.72,125.544,123.54,121.774,117.044,118.392,118.433,122.297,121.464,123.262,126.961,128.433,128.977,130.926,131.809
"25","17","  Transfers under U.S. military agency sales contracts","B267RA3",60.012,69.539,65.78,73.475,58.724,80.974,72.973,73.278,90.053,87.467,75.131,89.286,77.308,64.465,74.459,62.823,51.935,66.066,60.254,67.568,48.855,66.523,49.835,61.013,73.799,87.178,41.508,53.935,50.011,47.592,59.716,64.278,66.407,68.119,67.176,69.096,74.663,67.259,65.495,70.018,63.286,56.123,52.483,50.162,56.115,61.002,78.376,68.583,63.248,77.593,84.408,63.591,77.816,81.868,76.304,78.448,91.366,77.525,74.598,61.538,64.131,59.641,61.311,51.561,61.792,54.994,47.336,46.241,47.897,49.46,54.306,68.156,82.122,86.966,71.374,60.247,67.32,70.173,70.714,49.05,59.175,58.574,65.42,50.537,57.732,62.434,77.512,64.29,68.446,65.13,63.094,77.464,85.479,74.658,77.526,61.631,80.6,79.146,86.245,63.986,66.337,72.707,81.378,66.161,74.801,76.887,87.506,79.275,75.254,86.191,94.596,102.521,86.572,105.415,98.611,85.557,104.265,103.103,91.259,99.963,87.822,99.75,85.74,74.334,70.468,81.501,68.553,75.174,58.538,78.003,73.934,66.198,62.405,60.229,76.483,66.311,63.288,64.888,85.698,77.341,89.068,88.017,84.595,76.26,100.375,98.85,108.99,91.784,113.611,124.644,120.447,129.193,89.242,58.705,67.672,116.309,67.725,80.048,60.975,60.399,61.993,78.229,102.937,65.391,77.13,79.419,81.287,75.518,75.335,80.227,73.809
"26","18","  Travel","B493RA3",12.469,12.559,12.357,12.187,13.423,13.331,13.138,13.571,13.916,13.453,13.683,14.759,14.544,14.912,15.082,15.405,17.317,16.636,17.218,17.703,18.77,18.241,18.749,19.178,20.899,19.612,19.623,20.893,21.775,23.41,24.233,22.893,22.228,23.051,23.184,24.048,23.96,25.067,25.134,25.218,26.893,26.599,25.72,27.325,29.722,28.839,30.398,30.04,32.814,31.962,32.314,34.271,31.772,30.198,28.337,26.795,24.341,24.218,26.957,23.37,33.733,39.208,36.831,37.699,36.632,38.068,35.812,35.499,40.59,38.783,41.793,41.739,41.301,44.201,46.193,48.08,49.844,52.559,56.789,57.685,62.007,62.372,65.707,69.133,72.806,72.796,70.552,76.243,67.629,77.572,80.157,84.446,85.819,86.339,84.924,86.605,88.758,90.132,90.332,91.29,89.324,91.089,90,91.873,92.107,92.066,99.917,104.338,101.466,106.303,96.557,113.42,108.445,107.155,108.599,105.492,104.349,105.534,99.973,102.81,103.977,103.817,105.37,108.307,111.715,113.514,108.949,109.254,110.24,104.18,93.234,77.16,87.902,87.196,87.909,96.412,83.926,76.652,85.373,94.427,92.765,95.889,95.267,96.954,99.301,103.666,98.917,98.116,98.556,99.249,100.035,104.121,101.842,104.865,113.244,118.152,119.293,120.962,121.526,115.983,108.153,105.875,105.291,105.921,111.364,111.703,114.41,115.979,117.257,120.994,122.008
"27","19","  Passenger fares","B533RA3",9.13,9.41,9.937,9.25,10.946,11.591,11.174,11.674,12.092,11.348,11.188,12.256,11.757,12.421,12.283,14.134,16.525,16.986,18.537,17.785,18.509,17.432,16.94,16.625,14.837,13.573,15.579,14.768,14.944,16.56,17.328,16.601,16.391,18.45,17.915,18.333,18.621,19.116,21.281,24.405,26.5,28.403,28.83,30.937,30.759,30.726,31.504,29.592,32.334,34.894,34.35,32.35,33.428,32.682,31.819,32.562,36.96,37.001,36.138,38.317,41.128,44.482,42.358,43.486,43.338,46.824,49.594,53.375,57.6,52.07,63.727,62.122,63.237,69.973,71.049,73.179,79.89,83.004,88.612,83.306,93.902,91.099,99.38,103.938,125.839,130.689,126.442,138.221,103.982,123.015,130.703,132.854,126.787,125.373,121.803,125.917,123.876,121.332,122.687,120.234,121.715,124.999,123.209,120.029,125.606,120.199,132.957,137.588,137.668,141.039,133.413,145.33,151.913,146.526,146.721,153.048,145.139,152.016,150.748,138.281,133.043,132.994,138.181,130.967,132.32,139.675,136.271,136.558,131.936,127.895,118.03,90.378,111.283,109.925,104.796,106.38,92.261,83.08,91.187,93.953,95.016,97.885,100.657,94.153,91.929,98.98,104.033,105.057,105.183,104.051,105.912,103.317,106.203,104.021,114.381,122.655,122.992,125.323,123.203,120.711,119.193,121.033,120.121,113.639,117.785,118.745,123.112,123.906,126.773,129.029,132.586
"28","20","  Other transportation","B683RA3",20.116,26.736,26.271,26.157,27.502,28.294,28.938,27.854,27.346,28.631,29.265,25.503,30.234,30.129,31.211,33.01,37.921,36.525,36.744,35.956,36.085,38.72,38.227,40.911,38.804,37.366,37.208,38.573,41.472,39.054,40.668,42.907,41.003,43.64,42.413,38.827,42.112,43.518,44.73,45.773,48.953,48.143,50.512,50.931,48.463,48.76,49.381,50.671,50.627,49.198,49.386,49.098,49.555,48.463,46.84,45.538,42.883,44.848,46.837,49.015,54.587,55.544,55.886,55.841,57.111,55.524,55.566,57.942,53.994,54.492,56.318,56.99,58.642,60.425,63.031,65.507,68.946,71.288,70.612,71.094,71.98,72.53,69.472,71.508,71.821,73.282,73.552,67.621,68.295,72.474,73.159,74.138,69.756,68.515,67.107,67.398,68.767,68.379,67.377,69.605,69.669,74.435,74.841,78.97,77.888,80.001,80.372,83.068,76.092,78.122,77.15,81.259,79.316,80.91,80.679,82.023,78.876,77.604,78.208,82.409,82.7,82.461,81.053,84.609,83.961,85.082,82.165,80.899,83.016,81.419,79.095,76.824,81.478,81.901,83.602,86.221,83.004,85.994,86.363,91.451,97.405,99.261,96.998,99.669,101.162,101.031,97.54,100.267,103.251,105.894,106.279,109.586,90.494,91.087,93.544,92.127,97.199,94.263,93.09,85.861,75.98,77.059,79.352,83.156,84.742,86.059,85.853,85.201,86.508,85.292,86.338
"29","21","  Royalties and license fees","B684RA3",15.14,15.856,15.185,15.672,16.346,16.971,17.296,17.243,17.207,17.271,17.142,18.419,17.762,18.017,18.506,18.852,19.925,18.804,21.135,20.226,21.659,21.864,22.385,22.893,22.993,23.074,22.671,22.711,22.091,21.829,21.762,21.268,21.767,22.38,23.597,23.419,25.159,24.376,25.001,26.381,23.953,24.122,24.279,24.71,24.598,25.563,24.977,25.237,24.176,23.694,23.444,23.237,18.023,17.26,17.458,14.603,16.646,16.991,16.633,16.277,16.798,16.948,16.998,17.447,16.737,17.036,16.88,20.461,19.573,20.872,21.26,22.255,24.14,24.5,26.13,26.831,28.014,28.775,28.849,31.127,31.642,31.245,31.75,32.629,34.12,36.098,37.816,38.355,37.232,37.179,37.51,39.188,42.907,43.003,43.517,42.407,42.608,44.357,43.174,44.385,51.943,52.559,52.271,53.416,55.9,57.184,59.929,59.608,59.906,59.561,61.459,63.074,61.036,61.8,61.847,60.655,63.006,64.596,63.813,69.477,70.878,70.264,72.69,72.323,75.725,76.631,76.623,75.177,70.163,70.607,68,71.759,71.297,76.799,78.566,75.682,75.574,77.06,78.353,80.992,88.502,88.411,90.112,98.19,99.926,99.143,100.149,100.783,101.275,102.908,105.856,114.911,116.346,119.554,127.083,131.007,144.277,144.546,146.109,143.198,126.062,134.027,134.089,156.701,143.605,147.015,149.55,150.515,149.877,151.811,153.165
"30","22","  Other private services","B720RA3",1.951,2.044,2.16,2.214,2.217,2.192,2.261,2.302,2.428,2.537,2.659,2.772,2.856,2.893,2.895,2.952,2.996,3.084,3.202,3.372,5.094,5.096,5.145,5.314,5.587,5.949,6.1,6.329,6.548,6.784,7.14,7.25,7.188,7.126,7.039,7.215,7.831,7.933,8.921,9.145,9.297,9.441,9.357,9.604,9.342,9.996,10.293,10.66,14.014,14.481,14.282,14.83,17.036,17.188,17.3,17.945,16.862,17.255,17.035,17.499,17.818,17.303,17.443,17.043,17.21,16.987,17.305,17.974,24.618,24.654,24.451,24.675,24.372,24.516,24.658,25.079,25.437,25.468,25.863,26.476,28.439,29.495,30.397,30.985,30.336,30.715,31.393,32.979,34.146,35.66,36.18,36.76,35.965,35.988,36.885,36.42,36.985,37.25,37.919,39.27,41.137,42.168,42.398,44.131,43.177,43.829,45.025,45.836,47.199,48.535,49.175,51.665,52.815,55.166,56.721,57.552,58.392,60.827,61.422,62.667,67.895,69.072,71.059,72.385,70.642,71.734,72.518,74.915,75.539,76.734,76.154,78.788,81.512,82.084,82.153,84.155,84.958,86.223,87.04,91.018,94.898,95.535,94.806,100.897,99.817,96.309,99.049,104.825,109.247,109.973,109.44,119.45,124.267,128.305,132.731,133.187,128.918,133.811,130.556,132.69,134.846,134.09,131.607,136.09,133.938,136.551,142.923,146.206,146.34,147.964,149.3
"31","23","  Other","B980RA3",47.028,47.16,48.16,48.181,49.507,49.402,51.284,50.983,50.904,51.467,50.781,51.73,52.352,53.636,56.168,58.097,60.186,62.496,68.788,65.887,67.24,68.477,70.64,71.616,72.785,75.996,75.014,75.429,76.704,76.64,78.005,79.233,81.947,81.255,83.305,84.034,84.458,87.533,89.041,90.8,92.42,95.767,96.813,91.522,89.126,88.083,90.546,93.377,97.967,99.54,96.128,91.61,77.145,72.248,75.803,75.039,89.617,99.948,97.022,99.402,94.133,97.855,97.666,102.892,113.057,116.214,117.863,112.749,108.329,103.618,102.024,102.602,102.705,99.582,99.345,97.297,95.681,94.668,92.829,90.634,90.227,86.884,87.028,91.313,91.409,102.149,100.432,100.153,110.877,107.93,111.046,110.19,111.455,116.852,122.578,118.665,124.268,132.429,128.45,124.369,130.445,124.289,133.038,130.339,122.725,117.233,121.772,118.848,126.66,122.112,123.714,124.316,127.623,123.749,123.147,119.518,118.336,114.395,112.243,118.43,112.314,113.778,114.51,113.789,116.683,112.518,109.218,105.487,106.408,108.779,110.415,111.715,111.564,107.244,103.318,98.932,97.768,97.923,98.095,99.445,100.251,102.693,102.386,102.258,100.671,98.825,100.223,100.28,101.72,102.577,103.387,107.45,104.308,104.977,108.123,112.908,116.159,120.149,119.832,118.313,112.754,109.141,104.507,101.588,105.376,101.543,98.951,98.275,99.314,99.923,96.408
"32","24","    Imports of goods and services","B021RA3",9.834,11.774,11.622,11.494,11.456,11.683,11.656,11.837,11.697,12.58,12.858,11.986,13.738,13.25,13.526,14.135,14.788,14.362,13.965,14.069,13.592,14.312,14.062,13.922,12.526,11.523,12.481,13.147,13.971,14.576,15.171,15.673,16.415,16.566,16.335,16.567,17.679,17.735,17.966,18.213,18.163,18.261,17.982,18.375,18.389,17.054,15.828,16.677,17.389,17.416,17.217,17.711,17.206,16.925,17.71,17.015,17.405,18.743,20.203,21.194,22.897,23.857,24.474,25.191,24.635,25.846,25.596,26.599,26.575,27.707,28.475,28.694,28.522,29.234,29.802,30.487,30.345,29.996,30.704,31.64,31.786,31.937,31.893,32.471,33.5,33.444,33.31,32.416,32.047,32.617,33.535,34.275,34.525,35.092,35.646,36.499,37.289,38.06,38.561,40.11,41.045,42.574,43.772,45.003,45.99,46.427,46.587,47.182,48.716,49.806,51.421,52.436,54.675,56.511,58.593,59.858,62.103,63.526,64.382,66.465,68.158,70.33,72.881,74.629,77.656,80.023,82.818,82.757,81.55,79.121,77.205,76.285,78.196,80.837,82.17,83.647,82.638,83.817,84.803,87.966,90.207,93.828,95.199,97.613,98.181,99.265,99.876,102.677,104.622,105.792,107.058,106.924,108.48,109.019,109.282,107.828,108.203,107.511,105.698,101.518,91.492,87.838,91.215,94.941,97.789,102.695,105.708,105.091,107.207,107.573,107.718
"33","25","Imports of goods \1\","B255RA3",8.059,10.206,9.998,9.744,9.761,9.84,9.81,10.084,10.035,11.003,11.391,10.379,12.199,11.624,12.119,12.688,13.347,13.008,12.807,12.901,12.291,13.001,12.777,12.548,11.086,10.138,11.192,11.822,12.667,13.301,13.888,14.384,15.166,15.278,15.095,15.311,16.376,16.444,16.637,16.851,16.819,16.925,16.639,17.063,17.086,15.717,14.41,15.225,15.872,15.881,15.73,16.242,15.634,15.197,16.072,15.221,15.677,16.982,18.436,19.467,20.895,21.75,22.206,22.782,22.069,23.369,23.286,24.392,24.203,25.736,26.275,26.447,26.026,26.547,27.184,27.664,27.578,27.303,27.981,28.908,28.996,29.116,28.936,29.536,30.413,30.3,30.082,29.182,29.003,29.484,30.65,31.385,31.834,32.62,33.284,34.145,35.07,35.865,36.321,37.825,38.757,40.473,41.874,43.35,44.186,44.795,44.891,45.396,47.012,48.194,49.828,51.039,53.236,55.26,57.272,58.561,60.727,62.15,62.86,65.171,66.948,69.299,72.011,73.936,76.798,79.218,82.017,82.04,80.804,77.569,76.083,75.401,76.887,80.153,81.635,82.688,81.779,83.909,84.262,87.257,89.336,93.238,94.761,97.215,98.066,99.234,99.903,102.797,104.38,105.68,107.122,106.496,108.673,109.126,109.211,107.685,107.516,106.907,104.396,99.182,88.34,84.079,87.919,92.357,95.522,101.199,104.206,104.065,106.464,106.875,106.945
"34","26","  Foods, feeds, and beverages","B647RA3",23.104,31.492,31.418,30.977,31.186,30.637,31.446,31.687,29.884,32.711,40.538,25.86,35.822,31.658,35.186,34.654,35.386,34.772,34.449,36.212,37.102,33.212,30.331,29.639,24.81,24.641,32.522,33.262,31.537,31.615,34.177,33.824,33.383,33.318,30.715,32.427,36.656,35.973,34.963,38.189,37.767,39.322,35.081,37.467,33.989,32.317,30.591,33.343,34.843,32.99,32.472,35.207,30.512,34.831,37.069,35.723,36.008,37.317,38.279,38.32,41.867,40.669,42.858,44.434,44.924,44.449,44.526,43.284,44.707,45.94,44.996,45.727,47.121,47.426,46.461,44.89,46.524,42.741,44.994,44.264,44.123,43.506,47.368,47.544,49.82,47.332,46.66,45.717,44.524,46.056,45.287,45.08,44.365,49.566,49.121,47.976,48.007,48.02,48.49,48.768,49.406,49.891,49.938,48.474,50.811,49.918,50.722,51.231,53.712,54.613,56.996,57.611,58.48,60.426,63.459,63.139,65.274,65.494,66.143,66.574,69.261,72.051,72.811,73.807,74.404,76.382,78.413,78.429,77.32,78.883,83.638,81.865,82.306,84.267,86.092,86.008,88.425,90.12,92.068,94.315,95.182,97.32,96.093,97.407,96.954,98.842,101.553,102.651,105.679,104.846,106.009,107.699,109.205,107.005,107.675,105.763,107.977,107.357,106.989,108.434,102.306,101.36,101.659,101.385,103.38,104.682,105.791,101.858,103.978,104.963,106.14
"35","27","  Industrial supplies and materials, except petroleum and products","B649RA3",18.741,24.386,22.612,21.998,21.583,21.856,21.809,23.402,23.147,25.896,25.425,22.16,25.854,25.769,26.176,28.231,28.562,26.876,25.545,25.727,24.32,25.392,26.87,27.382,24.283,20.348,20.205,22.729,24.796,26.489,27.291,28.067,26.349,28.868,29.727,29.801,30.792,31.824,31.592,31.441,29.822,31,29.961,29.927,29.466,26.781,23.857,25.236,27.2,28.964,29.002,29.192,26.41,25.449,26.082,25.725,27.872,29.536,31.586,34.127,37.285,38.385,37.886,39.13,37.617,39.179,37.953,38.802,40.048,40.319,39.495,41.847,40.326,38.958,39.193,41.639,41.665,39.7,39.788,40.709,40.149,39.395,38.933,39.716,40.214,39.44,40.62,40.404,37.716,38.764,39.678,41.544,42.364,42.961,43.473,44.548,45.161,45.806,47.526,49.593,51.021,52.994,54.891,57.153,57.26,57.793,55.515,55.665,57.364,58.673,60.685,62.382,62.385,64.205,65.316,66.929,69.87,72.233,72.492,72.856,71.978,74.084,76.086,79.252,80.272,80.309,81.174,80.009,80.675,76.727,76.898,76.351,77.191,79.025,80.67,82.622,78.966,80.312,82.639,82.677,85.953,93.111,97.575,98.43,99.254,98.879,98.32,103.547,104.334,104.456,106.308,101.99,99.605,102.396,102.545,96.195,95.265,94.377,95.849,88.07,74.245,65.447,69.683,73.878,77.973,81.935,83.847,80.931,84.753,89.352,88.764
"36","28","    Durable goods","B820RA3",22.965,30.695,27.645,26.957,26.046,26.927,27.028,28.963,28.341,32.137,31.333,27.477,31.322,31.938,32.793,35.988,36.195,33.762,32.476,32.523,30.191,31.853,33.732,35.106,30.504,24.415,23.415,25.743,27.887,30.236,31.804,31.737,30.257,34.433,35.369,36.318,37.151,37.086,38.203,38.23,36.105,36.192,35.322,34.97,34.374,29.008,25.614,28.18,28.903,32.102,31.697,31.143,27.333,25.051,24.713,24.052,27.362,29.924,33.593,35.18,39.003,40.475,39.493,40.015,38.407,39.877,38.857,38.767,41.203,42.2,39.72,42.769,39.533,38.316,37.762,40.394,40.51,37.242,36.923,38.664,37.356,36.601,36.279,36.723,36.987,35.696,37.401,36.974,34.179,34.295,35.387,36.376,38.291,38.159,38.106,39.452,40.082,39.92,42.847,46.32,46.958,49.797,51.72,54.314,54.73,53.887,50.458,51.081,53.563,55.376,57.234,58.897,58.456,59.919,60.63,63.351,66.961,70.008,70.777,71.994,70.614,71.542,72.096,76.801,78.563,77.749,77.005,76.932,76.296,72.203,71.995,71.697,75.438,75.599,77.074,79.306,77.344,75.849,76.594,80.787,83.628,91.28,97.342,101.398,100.292,100.069,96.197,103.442,111.491,109.361,111.114,105.417,101.987,101.683,98.311,92.875,94.855,91.795,91.953,86.015,70.28,59.12,60.426,65.982,70.622,74.723,74.908,72.748,80.124,82.41,80.647
"37","29","    Nondurable goods","B696RA3",14.417,17.966,17.459,16.923,16.996,16.673,16.483,17.724,17.831,19.527,19.387,16.734,20.245,19.474,19.437,20.349,20.798,19.863,18.492,18.809,18.334,18.811,19.882,19.532,17.955,16.193,16.909,19.618,21.599,22.629,22.665,24.274,22.327,23.183,23.962,23.161,24.306,26.431,24.849,24.519,23.413,25.683,24.477,24.763,24.438,24.474,22.027,22.205,25.418,25.727,26.215,27.157,25.423,25.801,27.413,27.364,28.329,29.085,29.497,32.994,35.474,36.195,36.187,38.158,36.746,38.4,36.965,38.785,38.775,38.264,39.245,40.828,41.197,39.66,40.778,43.012,42.936,42.506,43.082,42.993,43.357,42.609,41.982,43.17,43.946,43.772,44.338,44.376,41.812,43.916,44.631,47.494,47.066,48.498,49.664,50.429,51.025,52.613,52.921,53.338,55.687,56.624,58.487,60.36,60.117,62.257,61.313,60.912,61.706,62.426,64.611,66.344,66.866,69.108,70.707,70.974,73.1,74.623,74.256,73.582,73.304,76.844,80.628,81.887,81.984,83.057,85.791,83.477,85.466,81.665,82.291,81.492,78.948,82.771,84.642,86.306,80.925,85.101,89.087,84.722,88.519,95.173,97.843,95.099,98.243,97.674,100.528,103.554,96.829,99.075,100.841,98.112,97.047,103.55,108.017,100.501,96.235,97.682,100.6,90.811,78.966,72.748,80.508,83.022,86.483,90.279,94.353,90.526,89.881,97.312,98.177
"38","30","  Petroleum and products","B648RA3",19.722,21.538,21.086,22.703,23.577,22.717,21.663,23.916,21.148,25.372,28.1,30.448,30.251,29.943,33.142,34.978,39.989,45.732,46.511,50.05,37.24,45.798,45.269,47.174,42.726,39.615,44.138,46.105,46.814,50.561,53.578,57.146,67.981,62.551,61.21,58.623,60.156,56.124,60.517,59.904,62.772,59.252,58.529,58.874,57.734,49.167,42.166,44.294,46.579,42.39,40.372,40.084,38.373,31.842,39.021,36.486,29.019,36.009,41.92,37.265,37.961,38.604,37.268,38.497,30.311,37.223,35.348,40.161,35.623,43.563,50.914,46.75,41.686,42.765,51.417,48.844,48.866,50.36,51.082,54.004,57.823,53.141,54.463,55.505,65.742,57.46,53.89,46.192,52.37,54.34,58.323,57.444,56.585,55.032,57.932,62.977,62.894,62.405,61.576,67.842,67.095,66.123,71.232,67.513,66.992,64.056,67.767,68.211,70.315,71.731,72.927,74.575,74.812,73.84,74.878,78.003,79.394,79.696,81.169,82.058,82.887,81.427,81.679,78.921,84.861,84.028,85.746,88.278,92.795,88.194,84.178,87.851,83.551,85.478,85.292,90.411,86.709,94.218,95.229,91.598,98.358,95.773,96.59,101.388,99.492,98.896,98.872,102.741,96.928,98.112,103.136,94.3,100.606,102.944,99.645,100.067,97.932,95.658,93.428,100.661,98.21,89.1,86.856,84.915,87.105,92.271,92.93,88.093,90.876,88.191,86.684
"39","31","  Capital goods, except automotive","B650RA3",0.698,0.905,0.913,0.902,0.936,0.931,0.833,0.859,0.819,0.907,0.912,0.886,1.151,1.085,1.096,1.173,1.289,1.31,1.438,1.52,1.426,1.463,1.549,1.483,1.52,1.291,1.343,1.474,1.601,1.638,1.706,1.871,1.721,1.814,1.764,1.977,2.273,2.266,2.3,2.551,2.648,2.829,2.924,3.093,3.374,3.395,3.27,3.499,3.6,3.857,4.072,4.425,4.415,4.526,4.363,4.059,4.601,4.759,5.422,6.219,6.84,7.658,8.328,8.558,8.58,8.779,8.718,9.295,9.379,10.124,10.272,10.379,10.328,11.159,11.982,12.379,12.384,12.963,13.556,13.94,13.934,14.906,15.105,15.832,15.732,16.124,16.2,16.519,16.62,17.156,17.743,17.908,18.569,19.87,20.692,21.304,21.882,23.269,23.634,25.053,26.549,27.955,29.328,31.249,32.39,34.47,36.502,38.292,39.345,40.237,42.102,44.778,47.876,51.196,54.094,55.736,58.356,59.65,60.209,62.037,63.479,67.63,70.804,73.501,75.832,82.206,86.364,86.395,82.106,73.439,69.286,68.294,70.198,72.459,72.639,73.092,73.434,75.193,75.791,80.776,84.101,88.888,91.792,94.571,95.275,99.927,100.774,104.024,107.987,110.338,112.741,113.675,116.368,117.962,119.697,120.295,124.032,125.666,122.796,113.291,99.632,94.938,99.865,107.77,111.003,121.186,126.323,130.216,133.771,139.072,139.756
