"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"1034","200","            Taxicabs","DTAXRA3",104.77,105.681,106.263,105.853,105.786,105.549,105.205,104.718,104.091,103.853,102.56,100.758,100.603,100.455,100.304,100.148,99.999,99.853,99.711,99.578,99.477,99.384,99.253,99.112,98.675,98.476,96.521,96.526,97.361,97.946,98.206,98.67,99.392,100.453,101.386,103.76,105.183,106.411,107.466,108.363,109.078,109.602,109.936,110.08,110.009,109.751,109.291,108.627,107.781,106.9,106.008,105.124,104.235,103.342,102.441,101.524,100.61,99.693,98.742,97.778,96.808,95.993,95.34,94.863,94.534,94.36,94.346,94.478,94.761,95.197,95.778,96.512,97.401,98.245,99.058,99.833,100.576,101.278,101.931,102.554,103.137,103.671,104.162,104.602,105.032,105.198,105.126,104.836,104.306,103.557,102.57,101.358,99.934,98.288,96.448,94.402,92.275,90.44,88.916,87.711,86.828,86.318,86.157,86.339,86.862,87.733,88.948,90.51,92.291,93.989,95.491,96.811,97.94,98.86,99.582,100.106,100.424,100.545,100.451,100.145,99.631,99.223,98.958,98.843,98.87,99.029,99.332,99.776,100.363,101.09,101.94,102.945,104.034,105.03,105.87,106.57,107.121,107.533,107.8,107.919,107.897,107.714,107.374,106.891,106.244,105.606,104.984,104.388,103.81,103.259,102.735,102.226,101.739,101.266,100.812,100.374,99.948,99.542,99.165,98.805,98.483,98.185,97.918,97.683,97.472,97.282,97.117,96.969,95.94,95.147,94.604,94.303,94.052,93.85,93.695,93.622,93.637,93.73,93.946,94.275,94.737,95.058,95.236,95.272,95.224,95.091,94.874,94.582,94.209,93.754,93.103,92.26,91.237,90.493,90.038,89.885,89.566,89.076,88.425,88.117,88.147,88.52,88.733,88.787,88.678,88.635,88.637,90.535,91.436,91.916,92.501,92.806,92.989,93.053,93.109,93.162
"1035","201","            Intracity mass transit","DIMTRA3",92.628,91.925,92.285,91.008,91.355,90.022,88.556,88.613,88.792,87.01,86.911,87.202,85.209,85.921,83.623,83.592,82.954,83.3,83.868,81.304,81.235,80.319,78.684,79.075,82.058,80.464,78.564,80.303,78.968,78.615,80.322,79.435,81.767,80.252,77.453,82.103,83.38,84.132,84.757,85.302,84.762,85.272,89.177,88.534,90.653,92.182,90.953,94.436,91.174,91.592,93.365,94.071,93.29,95.52,94.443,94.495,95.82,96.343,97.789,100.215,98.249,100.618,101.632,99.379,102.026,103.192,101.127,102.056,101.536,101.471,101.824,102.53,104.788,104.132,103.76,103.936,104.742,104.717,102.6,105.602,95.189,102.488,101.009,97.429,103.654,101.518,98.465,102.107,101.474,97.711,100.008,100.547,95.559,101.152,100.045,97.311,101.459,98.397,99.573,101.013,99.597,98.802,100.749,95.034,98.905,98.053,92.587,100.337,96.41,100.541,101.19,99.061,96.136,100.958,100.134,98.72,99.457,99.964,101.296,101.001,97.775,99.462,99.039,99.409,97.223,99.985,98.47,101.229,102.921,99.938,101.646,102.903,103.774,102.794,104.728,102.607,107.289,106.259,105.034,107.807,105.409,106.462,107.66,105.819,108.687,105.641,105.202,100.741,105.196,101.92,101.893,103.293,96.625,103.964,102.647,98.729,103.44,104.146,97.001,108.377,106.467,106.193,111.842,106.792,108.531,105.883,99.646,104.759,103.805,105.446,102.809,105.168,103.092,105.063,107.243,102.305,103.378,104.463,101.641,104.29,102.936,100.993,103.897,103.588,100.029,101.222,100.141,100.021,99.333,99.901,102.063,100.879,101.356,102.767,103.463,100.724,104.432,103.036,101.433,103.858,103.397,103.07,105.515,105.87,106.996,111.883,104.663,103.172,107.578,102.266,103.185,107.894,100.913,97.008,96.44,98.339
"1036","202","            Other road transportation service","DORTRA3",68.327,69.045,70.35,71.961,73.363,75.439,73.861,75.538,77.248,77.912,78.961,77.75,77.286,76.039,78.506,79.789,78.559,80.064,81.467,83.497,86.279,86.905,86.183,92.454,92.129,91.874,91.704,91.611,91.58,91.633,91.754,91.963,92.239,92.584,92.995,93.465,94.022,94.553,95.075,95.595,96.117,96.627,97.122,97.624,98.109,98.586,99.052,99.487,99.92,100.27,100.56,100.809,101.004,101.144,101.227,101.251,101.21,101.108,100.912,100.667,100.368,100.083,99.857,99.703,99.578,99.511,99.501,99.535,99.624,99.76,99.939,100.164,100.435,100.703,100.992,101.29,101.601,101.933,102.269,102.628,103,103.372,103.758,104.138,104.574,104.847,104.988,105.014,104.919,104.711,104.375,103.9,103.296,102.553,101.666,100.68,99.445,98.358,97.436,96.687,96.111,95.74,95.547,95.523,95.664,95.977,96.456,97.104,97.788,98.511,99.154,99.732,100.235,100.647,100.98,101.231,101.396,101.478,101.462,101.355,101.16,100.941,100.727,100.526,100.326,100.117,99.911,99.701,99.489,99.273,99.031,98.798,98.504,98.323,98.195,98.137,98.139,98.214,98.357,98.567,98.85,99.19,99.591,100.067,100.601,101.033,101.369,101.622,101.784,101.86,101.854,101.752,101.56,101.268,100.883,100.399,100.045,99.673,99.289,98.882,98.473,98.047,97.611,97.164,96.7,96.216,95.713,95.184,94.085,93.187,92.493,91.995,91.569,91.212,90.925,90.726,90.62,90.598,90.684,90.871,91.18,91.451,91.681,91.872,92.06,92.243,92.424,92.617,92.817,93.025,93.132,93.142,93.066,93.137,93.356,93.739,93.696,93.219,92.317,91.918,92.018,92.608,93.122,93.555,93.938,94.161,94.297,95.703,96.378,96.748,97.529,97.943,98.182,98.25,98.309,98.365
"1037","203","        Air transportation (64)","DAITRA3",65.105,63.269,61.861,62.762,62.661,62.009,61.838,63.269,62.997,64.681,65.79,66.409,66.995,70.926,70.696,70.562,72.807,68.646,71.166,71.573,72.922,73.015,69.309,77.908,75.116,75.009,76.583,75.412,74.502,75.923,76.255,74.411,75.816,73.763,74.06,76.606,76.375,77.473,77.305,79.495,79.257,81.182,81.481,80.239,82.208,81.283,82.369,84.843,85.386,85.074,81.193,84.026,82.36,83.983,86.917,86.557,87.745,87.839,89.436,88.065,89.113,91.293,91.865,90.894,94.447,94.428,93.603,94.231,96.961,93.868,97.793,93.324,96.744,94.638,92.695,93.405,92.035,91.824,93.108,98.248,67.223,77.668,81.749,82.766,86.915,88.911,89.607,87.348,89.339,88.656,90.169,94.77,90.577,93.293,88.116,100.701,100.104,96.464,92.425,92.297,95.577,95.645,96.434,99.29,98.62,100.005,97.05,102.459,102.167,105.228,102.813,106.968,104.435,105.993,103.543,103.691,100.775,102.442,104.209,99.438,100.925,98.621,101.459,99.238,102.136,102.9,102.608,101.507,100.994,96.988,97.19,95.433,94.289,92.318,92.674,96.884,96.503,98.095,96.867,93.309,98.312,98.232,99.263,101.335,100.653,99.639,101.392,98.706,101.518,98.802,96.72,99.86,99.92,100.357,100.99,96.586,97.666,99.095,95.02,91.952,93.127,91.572,89.796,90.272,85.905,83.785,79.648,85.979,84.074,85.357,82.821,87.719,87.302,87.078,89.173,86.275,84.937,85.511,86.071,85.967,84.321,81.78,82.77,82.223,80.786,82.573,81.688,83.052,83.89,82.948,81.362,80.061,80.23,80.578,80.839,81.108,82.497,82.949,83.541,82.121,82.473,78.549,79.347,76.937,76.304,77.648,77.331,77.032,77.63,76.686,75.548,75.268,73.579,75.004,75.691,74.992
"1038","204","        Water transportation (65)","DWATRA3",25.976,27.121,28.314,29.45,30.605,31.947,32.96,33.973,35.014,36.182,37.217,38.003,38.744,39.782,40.725,41.777,42.875,43.914,44.837,45.885,46.894,47.971,48.928,49.934,50.627,50.511,51.063,51.597,51.818,52.06,52.059,52.718,52.65,53.511,54.018,54.556,54.568,54.59,54.632,54.703,54.796,54.911,55.048,55.211,55.397,55.602,55.824,56.065,56.337,56.671,57.049,57.486,57.993,58.559,59.188,59.907,60.701,61.539,62.452,63.475,64.546,65.616,66.741,67.831,68.912,69.976,71.066,72.177,73.278,74.352,75.421,76.445,77.473,78.419,79.27,80.054,80.71,81.266,81.722,82.067,82.311,82.438,82.452,82.371,82.212,82.14,82.187,82.366,82.678,83.117,83.683,84.376,85.193,86.127,87.182,88.388,89.295,90.164,91.011,91.843,92.66,93.494,94.317,95.12,95.898,96.657,97.389,98.096,98.643,99.23,99.737,100.179,100.544,100.819,101.011,101.123,101.149,101.093,100.936,100.687,100.35,100.053,99.829,99.683,99.607,99.589,99.642,99.759,99.945,100.195,100.489,100.861,101.24,101.664,102.072,102.481,102.88,103.283,103.684,104.078,104.476,104.857,105.226,105.598,105.952,106.302,106.655,107.021,107.393,107.777,108.177,108.578,108.989,109.399,109.815,110.233,110.635,110.991,111.306,111.571,111.806,111.997,112.15,112.266,112.336,112.358,112.334,112.256,111.515,111.004,110.733,110.692,110.737,110.864,111.073,111.387,111.812,112.334,112.988,113.765,114.689,115.578,116.429,117.242,118.057,118.87,119.686,120.548,121.449,122.39,123.135,123.685,124.063,125.086,126.773,129.143,130.367,130.445,129.383,129.142,129.72,131.109,132.748,134.635,136.805,138.228,138.975,142.541,144.224,145.118,148.939,150.745,151.703,151.808,151.899,151.986
"1039","205","    Recreation services","DRCARA3",71.693,72.31,73.348,73.187,74.498,75.34,74.929,75.77,75.715,76.079,77.008,76.89,76.419,76.701,77.477,77.227,77.442,78.36,79.749,78.42,78.43,78.687,78.938,79.455,79.121,80.3,79.961,80.278,80.628,80.174,80.565,80.89,80.599,81.354,81.369,81.822,82.941,82.26,82.352,82.565,82.465,82.744,83.395,83.854,83.61,84.238,84.289,84.566,84.477,85.053,85.808,86.473,86.2,86.77,87.443,88.141,89.508,89.244,89.657,89.258,88.498,89.369,90.148,90.341,90.126,89.916,91.024,90.001,89.811,90.032,90.428,89.791,91.531,90.392,90.504,89.898,90.11,89.64,90.013,90.249,87.936,88.737,89.494,89.773,90.038,89.938,89.842,90.551,90.341,89.353,89.834,90.23,90.901,91.057,90.991,91.956,91.462,90.745,91.335,91.747,92.725,93.02,93.375,94.257,94.301,95.074,95.322,95.883,96.076,97.241,97.712,98.065,97.826,98.311,98.301,98.877,98.835,99.063,98.882,98.378,98.615,99.694,100.418,99.617,100.044,100.048,100.268,99.979,99.324,100.424,101.074,100.494,102.311,101.704,102.012,103.005,102.869,102.429,103.154,103.498,103.865,104.827,106.541,106.589,106.012,106.256,107.477,106.982,107.944,107.409,108.74,108.259,107.844,108.228,107.311,108.781,107.905,108.56,107.702,107.263,107.535,107.702,106.76,105.571,104.246,104.149,103.896,103.17,103.842,102.813,101.689,102.205,102.019,101.185,100.948,101.079,100.889,100.821,101.639,101.762,102.133,102.453,102.394,102.01,101.519,101.76,102.184,103.202,103.408,104.349,104.199,103.934,103.318,103.748,104.588,105.074,105.229,106.082,106.232,105.676,106.111,106.066,106.086,106.336,106.125,106.526,105.353,105.887,106.723,107.649,107.615,106.355,106.88,106.627,107.064,107.845
"1040","206","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRA3",79.982,81.267,83.393,82.306,84.825,85.311,84.45,85.089,85.211,85.208,86.125,86.537,85.763,85.792,86.341,86.061,86.654,88.26,91.818,87.413,86.454,86.491,87.353,87.963,87.421,89.098,89.243,88.732,88.89,88.817,89.594,89.253,90.051,90.682,90.726,91.414,92.865,92.042,91.642,91.859,91.184,92.04,92.104,93.061,92.413,92.637,91.822,91.563,91.066,91.069,91.673,91.964,91.172,92.121,91.929,93.037,94.325,93.202,92.683,92.506,91.435,92.521,92.677,93.709,93.668,92.744,94.941,91.899,91.462,91.741,92.72,93.923,94.606,93.244,91.395,92.25,92.074,92.639,92.874,92.767,86.411,89.774,91.334,90.934,92.155,91.357,92.459,91.796,92.486,91.803,91.336,91.879,92.589,92.866,93.561,93.122,92.907,93.059,92.094,92.782,93.667,93.164,92.994,94.54,94.343,95.137,94.74,95.597,94.351,94.85,96.585,96.668,95.919,97.468,97.532,97.946,97.423,97.79,97.729,96.69,97.608,98.889,99.924,98.703,99.168,99.197,99.471,100.122,101.415,100.872,102.46,102.17,102.338,101.911,101.538,103.216,102.344,102.606,103.734,103.406,103.732,104.325,104.358,104.725,104.762,105.265,106.914,106.106,107.444,105.914,107.587,109.206,108.083,107.262,106.756,108.619,108.559,108.183,107.119,106.226,108.372,108.528,108.126,105.001,105.72,106.329,105.149,104.305,105.072,103.932,101.383,103.339,102.287,102.162,101.113,101.542,101.612,102.034,102.306,104.169,104.356,103.481,104.838,103.074,101.659,103.485,104.096,104.834,106.623,107.84,108.25,107.086,105.663,106.137,107.233,109.277,110.09,110.041,111.475,111.301,111.457,110.908,111.44,109.837,110.079,111.894,112.138,113.47,115.5,114.481,114.946,113.282,113.426,113.982,116.083,114.54
"1041","207","        Membership clubs and participant sports centers","DMDFRA3",73.972,74.588,74.824,73.896,74.43,77.16,76.736,77.175,76.039,75.887,76.066,76.573,76.296,76.407,76.644,76.887,76.757,77.331,76.563,79.499,81.948,82.948,87.415,89.849,89.971,91.155,91.051,90.704,90.273,91.173,92.622,93.363,93.354,92.916,94.148,93.72,93.768,93.554,93.186,93.172,93.035,91.386,91.267,90.75,90.911,91.229,90.486,90.545,91.011,91.248,91.952,91.557,91.408,91.757,92.778,93.643,94.29,94.184,92.139,92.414,92.402,92.331,91.935,91.975,92.367,91.988,91.283,90.33,90.214,90.203,91.164,91.054,90.645,90.266,90.569,89.92,90.229,91.076,91.282,91.438,88.253,88.215,88.424,89.119,90.627,90.876,91.3,91.315,91.218,91.912,92.255,92.668,92.692,92.288,92.288,92.048,92.464,91.736,91.398,91.058,91.237,91.075,91.288,91.738,92.149,92.469,93.532,94.015,94.118,94.351,94.424,96.325,96.262,96.43,97.708,98.414,98.613,97.64,96.045,95.441,96.736,98.72,100.77,100.729,100.151,99.509,99.388,100.546,100.313,100.543,101.125,101.469,101.786,100.786,100.667,100.916,101.083,101.63,101.996,101.963,101.858,102.345,102.738,103.511,104.482,105.662,106.234,106.317,106.367,106.968,107.502,107.862,108.056,108.72,107.575,106.999,106.364,106.923,107.103,107.338,107.404,107.26,107.343,106.915,106.359,105.138,104.487,104.294,102.925,101.085,100.381,101.396,100.24,99.523,99.888,100.201,99.253,99.664,99.643,101.471,101.785,101.945,104.412,103.292,103.928,104.683,104.029,103.528,105.074,104.01,102.61,102.057,102.909,103.853,104.74,105.284,105.395,106.585,109.374,109.312,109.783,112.182,110.334,109.122,109.442,110.868,109.891,111.245,112.586,113.063,114.122,113.862,114.876,116.104,117.249,118.186
"1042","208","        Amusement parks, campgrounds, and related recreational services","DORSRA3",100.689,105.784,107.173,108.417,107.861,108.101,108.283,108.681,108.75,108.613,109.38,109.32,109.478,110.435,110.595,110.749,111.259,111.389,111.475,109.556,107.537,105.526,103.268,100.814,101.024,101.224,101.421,101.623,101.815,102.008,102.198,102.395,102.581,102.755,102.912,103.052,103.102,103.184,103.226,103.248,103.231,103.18,103.092,102.975,102.815,102.609,102.361,102.061,101.732,101.408,101.115,100.873,100.665,100.495,100.356,100.252,100.176,100.131,100.104,100.1,100.13,100.131,100.123,100.118,100.089,100.058,100.023,99.971,99.912,99.835,99.741,99.633,99.509,99.322,99.083,98.803,98.461,98.066,97.62,97.132,94.077,93.488,93.367,93.161,93.034,92.343,91.734,91.214,90.759,90.387,90.088,89.863,89.712,89.633,89.617,89.663,90.525,91.198,91.698,92.03,92.355,92.703,93.046,93.345,93.596,93.802,93.932,93.988,93.841,93.875,93.976,94.158,94.384,94.639,94.936,95.278,95.66,96.087,96.565,97.103,97.706,98.235,98.723,99.173,99.603,99.999,100.375,100.71,101.01,101.267,101.489,101.71,101.856,102.084,102.332,102.617,102.924,103.265,103.636,104.026,104.442,104.867,105.337,105.866,106.435,106.971,107.48,107.974,108.483,109.016,109.575,110.104,110.607,111.077,111.54,111.992,112.309,112.557,112.742,112.853,112.887,112.828,112.683,112.441,112.092,111.633,111.005,110.198,108.756,107.614,106.789,106.273,105.954,105.831,105.907,106.05,106.268,106.549,107.227,108.291,109.761,110.504,110.517,109.801,109.486,109.571,110.061,110.837,111.894,113.23,113.972,114.119,113.688,113.882,114.706,116.178,117.362,118.252,118.862,119.564,120.354,121.234,121.776,121.978,121.934,121.881,121.886,128.571,131.679,133.286,133.035,132.969,132.979,133.071,133.151,133.227
"1043","209","        Admissions to specified spectator amusements","DADMRA3",69.015,67.192,72.051,68.272,76.036,74.775,72.386,73.522,74.918,75.192,77.125,78.068,75.734,74.943,76.291,75.168,76.607,80.781,91.792,78.018,74.912,75.902,76.605,78.609,76.817,80.581,80.862,79.451,80.057,78.814,79.623,77.83,79.865,81.93,80.645,82.901,87,84.663,83.743,84.342,82.42,86.309,86.601,90.013,88.007,88.539,86.878,86.211,84.576,84.691,86.119,87.561,85.624,88.322,86.938,89.459,92.742,89.478,89.611,88.719,85.422,88.483,89.208,92.073,91.515,89.201,96.249,88.318,87.243,88.162,90.302,94.009,96.467,92.995,87.542,90.843,90.2,91.381,92.041,92.048,79.153,89.343,93.739,91.91,94.093,91.826,95.051,93.507,95.725,93.498,92.077,93.448,95.428,96.601,98.593,97.457,95.738,96.159,93.225,95.131,97.452,95.853,94.905,98.712,97.613,99.339,97.205,99.219,95.756,96.996,101.714,100.351,97.828,101.673,100.379,100.503,98.463,99.872,100.456,97.429,98.368,99.712,100.297,96.4,97.869,98.22,98.755,99.345,102.711,100.699,104.414,103.209,103.435,102.932,101.898,106.228,103.492,103.67,106.263,105.137,105.882,106.943,106.445,106.584,105.63,105.697,109.442,106.877,110.13,104.985,108.711,112.321,108.755,105.739,104.853,109.936,109.979,108.28,105.076,102.261,108.007,108.545,107.574,99.718,102.403,105.328,103.235,101.817,106.131,105.416,99.764,104.505,102.843,103.422,100.296,101.263,101.838,102.473,102.743,105.534,104.491,101.394,103.294,100.028,96.17,100.584,102.24,103.822,106.482,109.171,110.502,107.635,103.603,103.999,105.524,109.168,110.325,108.589,110.019,109.075,108.472,104.577,106.641,102.959,103.609,107.405,108.701,105.643,107.463,103.431,104.059,99.778,99.329,99.927,104.518,99.781
"1044","210","          Motion picture theaters","DMOVRA3",83.469,66.46,73.225,85.591,94.83,92.866,82.511,82.192,86.694,86.41,90.705,93.869,90.402,85.745,89.123,84.421,91.301,107.448,81.779,73.119,80.937,85.136,89.94,96.017,87.782,102.995,105.055,96.355,96.244,87.238,90.93,84.874,94.514,94.285,83.785,88.579,105.852,98.121,100.623,96.067,85.219,99.769,99.078,108.186,102.305,104.595,97.036,94.298,95.658,91.307,92.787,101.003,95.942,106.77,103.597,113.967,126.64,107.988,103.792,94.077,92.765,102.674,102.092,110.622,111.656,100.553,124.254,97.829,95.041,97.458,100.481,121.147,126.262,111.63,88.019,101.052,96.448,102.719,109.269,111.505,97.489,98.633,115.562,107.181,117.236,106.455,116.026,108.317,118.021,105.508,99.241,99.318,106.65,111.128,112.27,109.302,103.039,105.51,93.736,101.815,111.467,104.568,100.217,115.368,110.072,116.287,106.278,113.126,97.432,101.028,119.263,112.282,100.161,114.256,106.651,106.358,98.487,106.424,109.772,96.736,99.078,103.457,104.917,87.808,93.489,94.806,97.198,98.41,109.929,97.232,110.172,103.503,104.396,101.53,95.936,112.39,99.296,98.442,107.846,101.394,102.662,105.14,101.47,100.869,96.127,95.774,110.991,99.619,113.027,91.009,106.744,122.085,107.031,94.402,90.944,113.046,114.637,108.788,96.479,85.781,111.807,115.487,112.685,80.261,93.194,107.175,99.717,95.348,113.811,111.091,87.612,109.385,103.372,106.863,94.249,99.188,102.366,105.774,107.688,120.58,116.977,105.841,117.61,108.428,92.027,106.771,104.862,102.274,103.985,105.466,107.13,96.738,87.3,92.403,97.812,107.729,110.048,103.078,112.744,111.703,111.614,96.849,107.881,94.347,99.491,117.369,123.629,107.965,114.593,96.413,109.333,95.342,95.542,97.907,117.52,96.845
"1045","211","          Live entertainment, excluding sports","DLIGRA3",66.583,65.603,72.295,67.577,71.736,68.889,66.587,67.84,68.157,68.371,70.612,71.253,68.427,69.536,70.946,70.361,69.447,69.878,72.246,69.857,70.04,69.647,67.936,68.795,68.874,68.679,67.617,68.94,70.098,72.022,71.218,69.71,68.283,73.307,75.957,78.219,77.336,75.443,70.821,74.886,76.341,77.048,78.039,81.146,79.494,79.456,79.993,80.173,75.177,78.534,81.6,80.271,78.382,78.61,76.86,76.763,77.124,80.176,82.893,86.441,78.058,79.429,81.401,83.22,80.837,81.662,85.064,80.801,79.687,80.611,84.48,81.22,84.721,85.038,85.769,86.263,87.48,86.569,84.023,82.443,78.601,82.502,82.911,82.67,82.47,82.838,85.002,85.351,84.658,86.24,85.989,89.199,89.363,89.189,93.373,91.776,91.352,90.95,90.586,90.268,90.042,89.94,89.933,90.007,90.158,90.391,90.747,91.229,91.712,92.29,92.853,93.413,93.991,94.574,95.172,95.784,96.405,97.039,97.626,98.174,98.687,99.112,99.477,99.79,100.067,100.297,100.492,100.543,100.452,100.214,100.256,100.612,101.212,101.948,102.757,103.657,104.448,105.139,105.725,106.318,106.928,107.534,107.801,107.739,107.326,106.964,106.66,106.426,106.207,106.014,105.847,105.705,105.597,105.512,105.413,105.296,105.381,105.372,105.274,105.075,104.834,104.534,104.184,103.801,103.376,102.908,102.253,101.403,101.548,101.614,101.612,101.536,101.524,101.575,101.691,102.064,102.707,103.604,103.633,102.777,101.055,100.153,100.071,100.812,101.431,101.923,102.29,103.435,105.357,108.052,109.459,109.58,108.426,107.827,107.789,108.329,108.637,108.707,108.55,108.606,108.87,109.346,109.168,108.34,106.866,105.902,105.447,102.066,100.562,99.831,95.74,93.891,92.996,93.06,93.116,93.169
"1046","212","          Spectator sports","DSPERA3",62.373,69.218,71.117,58.162,68.497,69.207,71.708,73.638,74.14,74.82,74.98,74.828,73.676,73.458,73.481,74.069,74.387,74.71,116.996,89.01,75.897,76.22,76.698,77.264,77.687,78.132,78.603,79.098,79.618,80.159,80.727,81.32,81.956,82.593,83.257,83.922,84.615,85.216,85.741,86.204,86.589,86.901,87.13,87.283,87.353,87.338,87.234,87.038,86.773,86.542,86.365,86.263,86.222,86.246,86.331,86.48,86.687,86.95,87.279,87.63,88.066,88.442,88.764,89.054,89.281,89.462,89.6,89.683,89.717,89.692,89.608,89.467,89.264,89.101,88.994,88.946,88.94,88.992,89.092,89.249,68.499,90.109,90.654,91.307,90.956,91.361,91.754,92.158,92.577,93.001,93.422,93.85,94.29,94.72,95.162,95.583,95.416,95.362,95.438,95.652,95.874,96.138,96.414,96.717,97.043,97.397,97.796,98.243,98.601,99.004,99.335,99.604,100.055,100.675,101.474,101.391,100.416,98.545,97.445,97.137,97.631,97.994,98.258,98.428,98.462,98.345,98.086,98.805,100.511,103.206,104.837,105.437,104.924,104.689,104.67,104.886,105.144,105.459,105.825,106.281,106.837,107.474,108.166,108.929,109.743,110.458,111.083,111.627,112.047,112.352,112.544,112.657,112.698,112.658,112.565,112.414,111.524,110.717,110,109.364,108.791,108.266,107.799,107.366,106.959,106.577,106.263,106.011,105.956,105.681,105.2,104.502,103.846,103.229,102.653,101.88,100.912,99.739,99.287,99.552,100.556,100.096,98.159,94.733,94.022,96.05,100.845,105.172,109.026,112.406,113.489,112.273,108.781,107.379,108.072,110.885,112.132,111.802,109.912,108.136,106.469,104.913,103.848,103.266,103.223,103.208,103.228,107.57,109.599,110.657,108.461,107.541,107.117,107.191,107.256,107.317
"1047","213","        Museums and libraries","DMUSRA3",59.103,60.702,60.912,61.723,61.157,61.516,61.563,61.605,60.984,60.913,60.495,59.827,60.546,59.668,59.229,58.817,58.573,58.264,58.846,58.747,58.837,59.483,59.382,59.168,58.326,58.226,58.621,58.649,59.182,59.331,59.566,59.145,60.298,60.625,61.749,62.047,62.917,62.981,63.098,63.318,63.716,64.911,65.524,65.928,66.313,66.646,67.432,68.242,68.463,68.369,68.535,68.567,67.949,67.7,68.132,68.73,68.826,69.523,70.359,71.273,72.336,73.449,73.955,74.707,75.593,75.425,75.304,74.777,74.495,74.347,74.215,74.043,73.844,73.9,74.35,74.141,75.421,76.086,77.723,77.682,77.747,78.077,78.297,80.258,81.66,84.261,85.332,85.973,87.675,87.958,88.534,88.873,89.919,89.994,89.978,90.248,90.289,90.19,90.217,90.42,88.867,88.695,88.557,88.454,88.307,88.97,89.144,89.127,88.957,88.695,89.02,88.624,90.338,91.416,92.875,94.159,94.667,94.635,94.959,95.64,96.354,98.098,100.272,101.2,100.428,99.508,99.386,99.772,100.528,101.336,101.73,101.389,100.549,99.666,98.781,98.168,97.471,96.396,95.988,95.342,94.464,93.382,92.587,91.496,90.472,90.365,89.8,88.891,88.425,88.718,88.631,89.452,88.768,87.998,87.55,87.765,87.621,87.999,88.115,88.972,89.103,89.414,88.999,88.174,87.881,87.763,87.089,86.858,86.548,85.953,85.623,87.577,86.896,84.832,84.6,83.544,84.23,84.087,83.406,83.687,84.287,84.38,84.562,84.063,83.36,82.474,82.531,83.066,84.234,85.206,85.833,85.985,86.206,86.662,87.314,88.539,88.08,88.524,88.501,88.053,88.263,89.068,89.858,90.253,89.049,89.889,90.049,90.517,90.983,88.791,89.433,90.263,91.234,91.049,91.982,91.731
