"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"25","17","    Food manufacturing","S3110",31571,31780,32072,32124,32029,32104,31846,32014,32173,32398,32469,32388,32051,32184,31899,31944,32041,32074,32021,31798,31892,31856,31752,31854,32165,31947,31765,31988,32120,32076,32162,32394,33000,33253,33212,33169,33500,34016,34420,34475,34615,34409,34115,33969,34169,34442,34656,35149,36331,34995,35179,35438,35621,35413,35465,35173,35422,34978,35077,35007,35392,35161,34652,34679,34625,35200,35673,36155,36543,36338,36224,36274,36669,37028,37166,36953,37467,37116,36861,37423,38159,39179,39903,39567,39314,39552,40103,40270,40664,40094,39410,38972,39172,38959,38582,38792,38557,38817,39309,39968,39709,39645,39721,39747,40039,40371,40555,40817,41148,40708,40514,40519,40544,41018,41388,41698,42349,43215,43850,44156,44439,44997,45170,45525,46870,47434,47057,47984,49166,49537,50238,51862,52838,53266,54005,53904,54148,54813,54305,53490,52122,50481,49131,48059,47905,47365,47287,47828,48735,47939,47495,47604,47372,48770,49455,50386,50045,49886,49607,49637,49471,49007,49565,50819,52194,53455,53730,53978
"26","18","    Beverage and tobacco product manufacturing","S3120",11384,11391,11359,11628,11637,11660,11727,11671,11493,11496,11634,11710,12042,11769,11879,11811,11793,11657,11643,11255,11219,11500,11666,11694,11659,11797,11521,11670,11798,11632,11480,11509,11318,11459,11376,11702,11782,11938,11858,11917,11848,11942,11891,11878,12074,12074,12151,12134,12134,12176,12341,12505,12599,12597,12723,12649,12765,12661,12843,13214,13140,12904,12839,12909,12959,13221,13035,13049,13278,13259,13067,13000,12790,12814,12598,12958,12991,12891,12857,12883,13023,13105,13407,13284,13265,13417,13009,13090,13081,13190,13108,13603,13889,13696,13650,13575,13779,13638,13481,13597,13581,13526,13600,13509,13459,13813,13923,13821,13810,13795,13646,13673,13562,13652,13960,14241,14334,14348,14284,14414,14619,14639,14599,14649,14654,14512,14393,14250,14221,14278,14526,14756,15068,15136,14910,14902,14962,14911,14628,14590,14694,14701,14861,14902,14778,14804,14942,14910,14887,14831,14828,14835,14950,15146,15239,15465,15408,15363,15042,14830,14862,14665,14588,14465,14361,14625,14780,15108
"27","19","    Textile mills","S3130",7005,6962,6974,6992,6978,6990,6977,7056,6970,6966,6944,6940,6921,6997,7007,7036,7087,7038,7052,7031,7041,7012,6949,6931,6875,6900,6904,6829,6846,6832,6830,6817,6830,6782,6786,6829,6805,6767,6766,6826,6823,6781,6828,6800,6746,6799,6850,6746,6878,6703,6542,6442,6291,6193,6141,5987,5981,5934,5897,5714,5768,5657,5656,5524,5493,5519,5538,5579,5538,5547,5517,5568,5554,5606,5656,5739,5731,5724,5688,5639,5693,5700,5777,5701,5630,5613,5607,5640,5670,5646,5573,5569,5557,5534,5530,5472,5509,5511,5553,5589,5627,5568,5593,5542,5601,5695,5679,5693,5763,5760,5720,5691,5668,5678,5724,5725,5715,5652,5620,5638,5580,5591,5525,5500,5476,5558,5524,5600,5629,5637,5666,5758,5695,5653,5708,5654,5662,5566,5652,5691,5700,5664,5602,5527,5377,5211,5102,5102,5047,4996,4915,4847,4807,4796,4774,4782,4729,4779,4796,4804,4828,4835,4896,4916,4979,5023,5059,5156
"28","20","    Textile product mills","S3140",3771,3824,3861,3879,3935,3976,3978,3995,4025,3999,4046,4033,4041,4069,4099,4047,4046,3971,3924,3932,3871,3800,3755,3712,3644,3684,3780,3788,3799,3837,3820,3839,3837,3893,3890,3909,3908,3935,3983,4029,4090,4137,4208,4218,4277,4311,4390,4439,4476,4459,4498,4424,4378,4401,4344,4304,4335,4351,4326,4316,4264,4086,3991,3940,3881,3817,3800,3740,3658,3582,3479,3376,3448,3486,3480,3511,3499,3473,3439,3460,3439,3401,3470,3416,3411,3419,3430,3476,3482,3497,3504,3499,3544,3540,3529,3505,3559,3591,3632,3619,3629,3621,3599,3610,3586,3667,3665,3795,3805,3796,3794,3800,3754,3839,3894,3935,3916,3934,3921,3889,3899,3890,3864,3825,3887,3918,3917,3890,3906,3894,3916,3960,3954,3966,3966,3963,3945,3910,4005,4025,4043,4039,3983,3909,3715,3601,3545,3499,3454,3452,3392,3394,3394,3381,3378,3383,3384,3420,3448,3488,3525,3547,3605,3611,3631,3648,3662,3714
"29","21","    Apparel manufacturing","S3150",8589,8594,8642,8646,8762,8877,8916,9020,8973,9020,8901,8971,9018,8994,9093,9054,9021,8949,8897,8866,8852,8875,8858,8752,8694,8724,8891,8900,8954,8995,8979,9029,9107,9134,9067,9084,9137,9128,8980,8908,8830,8770,8876,8802,8793,8826,8964,8918,8979,8868,8659,8450,8279,8187,7974,7684,7504,7445,7372,7108,7022,6963,6964,6894,6908,6910,6917,6894,6961,7031,7032,6965,6962,6990,7111,7191,7227,7057,7055,7037,6920,6926,6949,6964,6953,6881,6800,6810,6798,6850,6866,6935,6929,6919,6945,6896,6861,6979,6971,7014,6998,6821,6910,6932,6982,6961,6924,6835,6919,6932,6829,6867,6849,6805,6949,7043,6981,6809,6962,6993,7105,7067,7050,7050,7137,7213,7289,7230,7245,7230,7176,7336,7206,7413,7423,7438,7448,7463,7498,7602,7609,7737,7893,7972,7749,7606,7723,7648,7677,7553,7552,7601,7537,7252,7190,7173,7439,7449,7463,7435,7465,7565,7689,7768,7835,7912,7922,8060
"30","22","    Leather and allied product manufacturing","S3160",1597,1600,1588,1632,1676,1646,1649,1625,1638,1663,1664,1656,1621,1620,1624,1655,1683,1682,1691,1691,1681,1687,1677,1584,1591,1583,1588,1585,1577,1615,1594,1622,1628,1652,1661,1614,1629,1658,1644,1641,1627,1644,1652,1653,1668,1675,1674,1596,1631,1648,1652,1756,1687,1620,1616,1592,1565,1527,1512,1449,1457,1432,1423,1371,1355,1361,1414,1414,1390,1394,1439,1419,1433,1498,1452,1458,1425,1424,1429,1400,1412,1426,1428,1429,1413,1407,1402,1412,1405,1386,1378,1367,1369,1391,1406,1459,1401,1421,1444,1444,1424,1424,1450,1430,1477,1498,1492,1509,1505,1490,1455,1486,1497,1510,1530,1573,1592,1570,1611,1641,1653,1662,1656,1666,1659,1660,1677,1669,1700,1714,1747,1757,1742,1733,1832,1896,1883,1893,1818,1803,1775,1787,1724,1717,1717,1718,1684,1686,1671,1633,1623,1645,1626,1570,1549,1561,1606,1620,1639,1624,1627,1636,1624,1643,1654,1708,1735,1748
"31","23","    Paper manufacturing","S3220",15088,15132,15517,15556,15822,15690,15719,15863,16060,16117,16249,16531,16622,16601,16608,16553,16470,16501,16528,16592,16469,16386,16319,15938,15915,15637,15696,15520,15465,15418,15254,15433,15710,15769,15786,15918,16142,16295,16302,16510,16785,16844,17008,17128,16989,17167,17108,17036,17150,17065,16965,16913,16747,16708,16379,16095,15988,15777,15675,15589,15558,15522,15509,15471,15370,15583,15525,15679,15976,16211,16386,16470,16516,16502,16217,16422,16479,16510,16310,16385,16392,16395,16429,16306,16256,16304,16303,16505,16798,16905,17225,17379,17450,17704,17856,17786,17968,17987,17972,18029,18033,18056,18131,18150,18289,18401,18391,18574,18673,18924,19036,19118,19208,19221,19333,19361,19446,19460,19639,19459,19646,19598,19495,19422,19308,19200,19296,19283,19275,19328,19363,19783,19736,19778,20152,20452,20789,21085,21313,21625,21766,22139,22042,21344,20953,20541,20233,19777,19179,19016,18717,18622,18576,18394,18429,18307,18295,18460,18561,18829,19286,19498,19471,19521,19588,19596,19497,19555
"32","24","    Printing and related support activities","S3230",6279,6205,6281,6529,6734,6667,6384,6670,6632,6675,6731,6912,6677,6704,6710,6642,6713,6615,6817,6693,6781,6575,6409,6446,6479,6425,6386,6458,6374,6306,6145,6132,6216,6211,6411,6551,6587,6719,6726,6486,6484,6563,6520,6662,6756,6928,6957,6857,6903,6901,7055,7097,7023,6907,6850,6804,6542,6425,6234,6122,6314,6177,6082,6207,6126,6248,6267,6193,6142,6246,6313,6251,6306,6245,6217,6178,6189,6097,6137,6154,6144,6110,6140,6167,6102,6226,6185,6212,6378,6335,6352,6485,6466,6548,6548,6524,6367,6443,6531,6531,6582,6646,6752,6684,6828,6767,6822,6866,6910,6881,6915,6961,6936,7048,7115,7089,7160,7219,7181,7159,7096,7115,7040,7007,6875,6909,6876,6863,6935,6961,6905,7160,7231,7267,7363,7379,7454,7386,7287,7306,7296,7226,7401,7346,7104,6917,6694,6478,6294,6080,5861,5869,5816,5809,5815,5768,5772,5775,5728,5714,5816,5871,5859,5848,5812,5890,5852,5896
"33","25","    Petroleum and coal product manufacturing","S3240",13579,12859,12196,11512,11550,11576,11386,11627,11649,11750,11837,11484,10693,10104,9871,9703,9494,9215,9124,8893,8765,8818,8889,8252,8086,7973,8803,9445,9727,10011,10629,11285,11790,12393,13398,14192,14692,15057,14942,14537,14772,15675,15607,15217,15670,16408,16635,15630,15992,15578,15096,14864,14832,14669,14000,13858,13429,12342,11719,11650,10819,10805,12152,13156,13346,13659,13980,14215,14893,14988,14944,15974,17502,18755,18057,16389,15104,15922,15521,15804,15704,16120,16792,17564,18836,19118,18796,18863,19681,19992,20819,21419,22503,24812,25512,22858,24134,25173,26306,25923,24157,25747,28238,29891,31570,32939,31366,32052,33773,33055,32869,35257,37100,37971,38084,37817,35016,32307,32959,33524,32856,33801,34340,35704,35523,35448,35906,35923,42400,48719,54744,58379,67469,71320,74935,75996,78216,83397,81250,75589,67879,54404,42155,29694,29572,29463,31551,33097,35691,38262,39966,42572,45956,53540,59146,63977,58080,60517,58337,55207,45947,40686,43494,43653,48517,53931,61166,67597
"34","26","    Chemical manufacturing","S3250",44943,45059,44975,45077,45198,45562,45533,45672,46331,46889,47277,47394,47371,47431,47491,47520,47454,47581,47775,47934,47594,47746,48130,47710,48124,48087,47929,48319,49417,49344,49814,49884,50132,50591,51419,52081,52358,52754,52806,52879,53423,54000,55238,55307,55667,56034,56262,56219,57006,56380,56530,56609,56290,55784,55112,54372,54963,54933,53970,53427,53346,53492,53469,53678,53398,52934,54476,55053,55297,55856,56422,55639,55448,56836,57058,57249,57250,56989,56800,57291,56933,56976,57691,57437,57137,58254,58836,59844,60171,60523,61013,61928,61783,62051,62827,64403,64730,65721,66840,66994,66945,67471,67268,67245,68425,69256,68852,70965,72469,72378,72985,72429,72564,73777,74049,74560,75786,76136,76231,76658,76419,76763,77174,77485,78331,79285,79817,79773,80582,81615,83720,83860,85516,86254,86381,86869,88061,89105,91594,93281,92424,90629,89227,86451,84872,83478,83521,81333,80582,79518,79355,79306,79386,79693,80068,79485,79442,79782,80869,80938,81332,80841,81116,81375,81487,82749,82921,84219
"35","27","    Plastics and rubber product manufacturing","S3260",16062,16084,16174,16226,16352,16469,16387,16380,16343,16395,16417,16400,16490,16496,16506,16412,16464,16519,16454,16363,16195,16084,16168,16052,16153,16079,16202,16362,16572,16636,16850,17083,17377,17551,17667,17666,17599,17822,17680,18080,18343,18379,18534,18493,18322,18390,18373,18297,18514,18480,18490,18361,17993,17738,17339,17204,17095,16918,16859,16627,16866,15761,15970,16107,16288,15862,16037,16199,16633,17010,17192,17509,17512,18041,18271,18622,18659,18531,18241,18068,17918,17941,17927,17877,17862,18024,18102,18320,18443,18716,19095,19439,19815,20299,20550,20664,21295,21411,21635,21526,21485,21302,21148,21232,21175,21767,22275,22353,22763,22815,22891,23094,23170,23320,23597,23745,23850,23997,23876,23239,23253,23190,23274,23378,23709,23949,24085,24118,24184,24078,24535,24931,25062,25365,25671,25946,26130,26475,27230,27824,27285,26838,26127,24352,23777,23303,22708,22413,22216,22294,22052,22059,22128,22129,22209,21784,22210,22705,23356,23667,23886,23924,23779,23775,23682,23823,23959,23752
"36","28","Merchant wholesale industries","S42W0",244185,244551,246541,247173,248016,251990,250830,252096,254611,255810,257847,259338,259106,261670,263579,263299,264903,264077,263974,265637,266746,267665,268896,269436,269874,272019,273107,273670,274234,274335,277211,278366,280262,283165,286596,287571,289833,291446,293244,295280,296512,297924,298016,298825,299548,302518,304863,305173,304184,303596,302978,303527,304254,301353,298236,297419,296541,294814,292028,291053,291061,289351,290521,289905,290631,292241,295492,296646,297820,296611,295722,297150,297178,298341,298674,298180,296522,296015,296285,295785,297664,301523,302864,305393,306302,310943,313716,314271,317525,319418,324580,327546,327432,332293,335638,335900,341421,343832,346403,348600,347807,349024,350453,352198,354667,357719,358419,361950,363231,366427,368565,374188,378791,381677,384295,386591,387745,391487,397883,395516,396338,399603,402437,403592,405003,406274,407657,409586,415622,418872,424472,431242,437362,442589,443830,451463,454713,460149,466825,468702,462850,448463,436310,427020,424980,418876,411240,406670,404728,397660,392542,388265,386720,390527,396076,393801,394322,396036,398736,401150,401944,400829,407902,415063,426444,438979,439973,445284
"37","29","  Durable goods merchant wholesale industries","S42WD0",153498,153914,155642,156210,157129,160508,158977,159377,161341,161188,161911,163670,164140,165882,167317,167423,168470,167651,167759,169829,170577,171319,170813,171856,172344,173692,174479,173866,175345,176184,177569,177287,178520,180188,182873,183575,184201,184999,185742,187365,188455,190154,190355,191097,190721,191531,192550,192178,191731,190594,189754,189064,188352,184742,182818,181094,180017,179715,176468,175210,174746,173431,173782,173794,174064,174544,175778,176469,176627,175560,175434,175315,174958,176377,176739,177100,176333,176132,175492,174849,175162,175735,175890,178396,179330,182317,184812,185457,188396,190681,194148,198098,198985,201322,203459,204349,207496,209115,209699,210423,210396,211717,212693,212952,212905,216013,216896,218424,219274,221548,222937,227523,230062,231449,232980,233794,235889,237549,238271,237497,238944,240254,241827,241319,242475,241990,240840,240883,241704,241470,242555,244478,247630,249634,251951,257166,259346,260778,264617,267199,266868,261924,257990,253843,251549,244601,238139,232868,229485,226229,223057,219601,217754,217765,217234,214457,214225,215565,218352,219550,220879,220771,222777,224849,227136,230318,231791,234446
"38","30","    Motor vehicles, parts, and supplies wholesalers","S42110",21658,21110,21431,20958,21406,22295,22216,22429,22674,22276,22058,22229,22552,22856,23335,22401,22326,22312,22246,22797,22999,23320,22543,23055,22989,23154,23546,23652,24125,24255,24725,24998,25328,25376,25857,25882,26115,26224,26694,27151,27321,27511,27217,27241,26669,26669,26838,27175,26717,26710,26494,26579,26088,25814,25945,25878,25917,26347,25886,25598,25714,25538,25739,25514,26319,26640,26876,26557,27498,27769,28338,27781,27966,28180,28183,28392,28143,28720,28304,28278,27943,28564,27925,28862,28440,28648,29107,28744,28961,28911,29651,30696,30478,29922,30468,30456,31427,31254,30473,31171,31449,32549,32699,32723,32387,32813,32512,32819,32188,33333,34171,36093,35599,34805,34822,33933,34138,34981,34855,34051,34750,34118,35004,33902,34707,35218,34660,35169,35327,34481,35030,35295,35742,36033,35304,37006,36452,36652,37049,37767,38015,37518,38005,38751,37538,34522,33097,31950,31408,30648,29840,28832,28662,29191,29359,28341,27968,28078,28419,28268,28373,28715,29238,29263,29474,29486,30148,30794
"39","31","    Furniture and home furnishings wholesalers","S42120",4836,4729,4641,4866,4933,4833,4775,4886,4939,4893,4974,4988,5026,5014,4967,5108,5176,5195,5226,5237,5250,5355,5288,5312,5302,5395,5431,5380,5424,5542,5578,5543,5564,5734,5573,5689,5682,5714,5774,5861,5936,6065,6177,6297,6115,6252,6371,6342,6437,6356,6394,6310,6258,6104,6069,5969,6047,6017,6016,5896,5882,5923,5822,5897,5930,5981,6096,6112,6147,6097,6089,6151,6092,6150,6221,6282,6326,6341,6249,6276,6254,6293,6358,6424,6584,6477,6512,6474,6476,6565,6648,6668,6691,6703,6791,6818,6835,6893,6941,7008,7030,6893,6943,7063,7090,7279,7268,7294,7326,7323,7216,7140,7413,7479,7505,7559,7623,7624,7632,7712,7773,7780,7897,7792,7819,7883,7917,7890,7874,7770,7815,7742,7955,8070,7911,7982,7804,7777,7872,7824,7695,7733,7709,7556,7341,7153,6985,6773,6642,6493,6301,6208,6194,6089,5967,5970,5918,5885,5858,5953,6078,6129,6222,6347,6407,6466,6488,6456
"40","32","    Lumber and other construction materials wholesalers","S42130",5184,5387,5446,5559,5606,5662,5674,5720,5693,5656,5818,5822,5848,5825,5737,5786,5657,5621,5715,5870,5446,5489,5544,5545,5599,5608,5713,5797,5940,5995,6171,6029,6011,6090,6074,6202,6284,6313,6327,6316,6312,6374,6337,6195,6198,6240,6327,6463,6311,6319,6354,6277,6315,6148,6189,6301,6365,6554,6422,6428,6469,6408,6493,6536,6536,6526,6587,6665,6760,6819,6837,6894,7026,7230,7269,7350,7357,7488,7536,7692,7804,7996,8332,8560,8778,8977,9274,9723,10487,10279,10551,10858,11097,11153,10890,11199,11697,12183,12418,11912,12049,11933,12035,11994,11555,12095,12088,12344,12444,12398,12455,12639,12611,12759,12715,12738,12884,12648,12648,12466,12422,12493,12378,12144,11879,11707,11652,11762,11573,11568,11532,11520,11379,11156,10868,11132,11511,11740,12013,12086,11986,11708,11298,11016,10715,10397,10102,9704,9394,8987,8891,8669,8568,8587,8758,8560,8673,9041,9281,9492,9551,9443,9250,9114,8942,8937,8987,9112
"41","33","    Professional and commercial equipment wholesalers","S42140",23813,24138,24172,24713,24847,25682,25828,25305,26158,26364,26145,26077,26256,26147,26591,26565,26428,25469,25252,25202,24816,24447,24670,24301,24168,24941,24840,23894,24434,24699,24496,24314,24392,24854,25316,25348,25727,25162,24665,24604,24551,24420,24387,24310,25050,25353,25288,24654,23963,23735,23106,23354,22806,22343,22146,21807,21148,20896,20289,20712,20372,19931,20341,20903,20658,20876,20885,21362,21052,20532,20736,20970,20917,20828,20915,20389,20504,20322,20555,20517,20561,20570,20757,20757,20749,21141,21193,20919,21190,21663,21557,21912,21852,22244,22603,22232,22323,22125,22056,22425,22125,22372,22260,22152,22085,22429,22306,22432,22798,23385,22880,23043,23440,23237,23561,23728,24116,24329,24491,24711,24722,24674,24772,24986,24993,25092,25139,25198,25239,24960,25001,25268,25303,25380,25798,25756,26296,26270,26166,26631,26660,26769,26468,25874,25339,25069,24269,23954,23497,23068,22753,22433,22525,22318,22624,23172,22985,22881,23408,23766,23956,24141,24369,24543,24340,24650,24769,25153
"42","34","      Computers and software wholesalers","S42430",14392,14567,14543,14738,15004,15742,15795,15367,16123,16185,15726,15859,15676,15401,16078,15774,15753,15206,14712,14848,14413,14235,14388,14564,14412,15225,14574,13677,14525,14632,14485,14408,14198,14604,14773,14818,14850,14868,13840,13701,13397,13399,13405,13282,13887,14484,13797,13069,12665,12376,11994,12036,11722,11080,11126,10683,10304,10291,9948,9966,9652,9574,9788,10148,9947,9990,9842,10102,9895,9477,9385,9601,9666,9704,9710,9571,9811,9684,9821,9667,9522,9627,9621,9918,9846,9861,10037,10032,10013,10436,10273,10452,10172,10297,10662,10332,10259,10305,10350,10303,10092,10186,9893,9977,10128,10062,9921,9941,10091,10211,10095,9980,10120,9891,9983,9900,10228,10400,10341,10371,10315,10243,10115,10141,10129,10196,10223,10320,10420,10268,10091,10073,10069,9871,10165,10046,10430,10177,10227,10439,10282,10593,10393,9705,9347,9263,8933,8919,8789,8753,8703,8599,8721,8806,8967,9461,9309,9548,9823,10208,10360,10522,10744,10804,10690,10920,10712,10783
"43","35","      Other professional and commercial equipment wholesalers","S424X0",9421,9571,9629,9975,9843,9940,10033,9938,10035,10179,10419,10218,10580,10746,10513,10791,10675,10263,10540,10354,10403,10212,10282,9737,9756,9716,10266,10217,9909,10067,10011,9906,10194,10250,10543,10530,10877,10294,10825,10903,11154,11021,10982,11028,11163,10869,11491,11585,11298,11359,11112,11318,11084,11263,11020,11124,10844,10605,10341,10746,10720,10357,10553,10755,10711,10886,11043,11260,11157,11055,11351,11369,11251,11124,11205,10818,10693,10638,10734,10850,11039,10943,11136,10839,10903,11280,11156,10887,11177,11227,11284,11460,11680,11947,11941,11900,12064,11820,11706,12122,12033,12186,12367,12175,11957,12367,12385,12491,12707,13174,12785,13063,13320,13346,13578,13828,13888,13929,14150,14340,14407,14431,14657,14845,14864,14896,14916,14878,14819,14692,14910,15195,15234,15509,15633,15710,15866,16093,15939,16192,16378,16176,16075,16169,15992,15806,15336,15035,14708,14315,14050,13834,13804,13512,13657,13711,13676,13333,13585,13558,13596,13619,13625,13739,13650,13730,14057,14370
"44","36","    Metal and mineral (except petroleum) wholesalers","S42150",13257,13582,13676,13787,13795,13964,13965,13991,13979,13960,13990,14028,14092,14116,14184,14167,14245,14096,13944,14176,14095,14042,14088,13926,14032,13745,13489,13605,13827,13926,13857,13810,13952,14152,14357,14432,14761,15015,15244,15497,15306,15372,15405,15336,15195,14958,14797,14568,14530,14358,14122,13894,13850,13759,13660,13622,13333,13239,12945,12888,12810,12889,12919,12982,13117,13278,13515,13611,13861,13664,13647,13582,13306,13489,13522,13479,13222,13262,13192,13162,13277,13370,13692,14214,15043,16017,17135,17251,17782,18052,18911,20005,20200,21540,22190,22318,22695,22617,22851,22629,22189,21719,21554,21587,21735,22218,22469,22565,23209,23661,23945,25092,26251,27198,27834,28642,29214,29276,29241,29079,28934,29324,30040,30137,30414,30040,29652,28930,28594,28361,28048,28924,29922,31369,33276,35649,37017,38425,38733,38689,36738,33953,31478,28795,28650,28083,26332,24973,24257,23687,23731,23809,23638,23600,23482,22773,24327,24751,25741,26377,26414,25579,25766,25787,26310,27204,27776,27898
"45","37","    Electrical goods wholesalers","S42160",21116,20989,21338,20955,20892,21218,21030,21099,21036,20859,20700,21033,20779,20995,21449,21770,21978,22060,21929,22141,22422,22318,22474,22763,22856,23223,23059,22840,23183,23348,23975,23976,24191,24460,24984,25539,25521,25774,25948,25958,26402,27093,27651,27862,27985,28636,28875,28818,29072,28762,28872,28945,28277,27694,26592,26048,25823,25523,24630,23988,23709,23535,23347,23211,23306,22986,23198,23755,23386,23398,22958,22647,22698,22554,22641,22866,22631,22649,22336,22213,22291,21890,21333,21782,21388,22002,22364,22678,23015,23110,23138,23231,23300,23376,23612,23760,24051,24406,24490,24371,24293,24696,25123,24995,24764,24504,24651,24889,24730,25241,25478,25973,26243,26224,26928,27123,27411,27943,27936,27869,27913,27841,28075,27957,28533,28645,28649,28668,28655,28935,29297,29732,29844,29557,29872,30099,30259,30648,30706,31346,31887,32359,31699,30664,29950,29175,28255,27617,26962,26528,26029,25794,25863,25903,25663,26188,26381,26631,27285,27353,27850,28749,29497,30100,30341,30822,30485,30936
"46","38","    Hardware and plumbing and heating equipment wholesalers","S42170",9281,9314,9125,9389,9422,9415,9313,9366,9498,9461,9498,9490,9610,9897,9801,9943,9959,10045,10007,10073,10044,10115,10207,10343,10444,10362,10410,10413,10455,10474,10605,10380,10468,10526,10689,10619,10569,10770,10755,11031,11112,11296,11362,11448,11370,11475,11515,11621,11537,11483,11438,11336,11189,11260,11207,11377,11325,11228,11125,11020,11076,10914,10956,10871,11009,10994,11085,11073,11113,10964,10936,11027,10985,11348,11482,11433,11260,11157,11177,10969,10959,11013,11076,11145,11171,11208,11321,11356,11624,11729,11892,12048,12202,12365,12404,12444,12704,12817,12866,12887,12920,12953,12814,12902,12919,13130,13128,13310,13687,13518,13564,13589,13600,13806,13902,14080,14129,14161,14436,14499,14470,14488,14866,15316,15222,15230,15271,15184,15311,15245,15275,15271,15129,15013,14870,14743,14849,14798,15122,15333,15432,15251,15104,14667,14740,14370,14355,14309,13959,13821,13480,13137,12849,12746,12609,12518,12477,12416,12371,12240,12246,12276,12371,12664,12840,12964,13033,13175
"47","39","    Machinery, equipment, and supplies wholesalers","S42180",39245,39475,40109,40796,41526,42215,40907,40942,41567,42182,42655,43531,43587,44358,44747,45075,45940,46149,46808,47321,48045,48673,48647,49406,49671,49993,50327,50856,50478,50523,50794,50721,50778,50999,51612,51527,51109,51239,51522,51975,52304,52493,52085,52866,52990,52733,53184,52960,53346,53365,53524,53057,53895,53216,52681,52027,52121,52142,51337,51037,51221,50785,50682,50267,49823,49637,50100,49724,49310,48693,48461,48749,48363,48644,48576,48659,48589,47901,47785,47564,47556,47339,47678,47481,48117,48897,48626,48944,49536,50485,51067,51622,51793,52425,52869,53606,53810,54693,55508,56025,56158,56738,57056,57954,57988,58336,59130,59341,59280,59130,59541,60062,60740,61733,62001,62412,62954,63856,63867,63528,64782,65460,64308,64384,64844,64448,64548,64657,65064,65615,66023,66381,67097,67683,68154,68728,68801,68326,70600,71254,72538,72017,72146,72717,73498,72227,71667,70629,70259,69278,67952,67026,66170,65676,64729,63400,62529,62319,61895,61909,62946,62703,63533,64121,64462,64987,65244,65486
"48","40","    Miscellaneous durable goods wholesalers","S42190",15108,15190,15704,15187,14702,15224,15269,15639,15797,15537,16073,16472,16390,16674,16506,16608,16761,16704,16632,17012,17460,17560,17352,17205,17283,17271,17664,17429,17479,17422,17368,17516,17836,17997,18411,18337,18433,18788,18813,18972,19211,19530,19734,19542,19149,19215,19355,19577,19818,19506,19450,19312,19674,18404,18329,18065,17938,17769,17818,17643,17493,17508,17483,17613,17366,17626,17436,17610,17500,17624,17432,17514,17605,17954,17930,18250,18301,18292,18358,18178,18517,18700,18739,19171,19060,18950,19280,19368,19325,19887,20733,21058,21372,21594,21632,21516,21954,22127,22096,21995,22183,21864,22209,21582,22382,23209,23344,23430,23612,23559,23687,23892,24165,24208,23712,23579,23420,22731,23165,23582,23178,24076,24487,24701,24064,23727,23352,23425,24067,24535,24534,24345,25259,25373,25898,26071,26357,26142,26356,26269,25917,24616,24083,23803,23778,23605,23077,22959,23107,23719,24080,23693,23285,23655,24043,23535,22967,23563,24094,24192,23465,23036,22531,22910,24020,24802,24861,25436
"49","41","  Nondurable goods merchant wholesale industries","S42WN0",90687,90637,90899,90963,90887,91482,91853,92719,93270,94622,95936,95668,94966,95788,96262,95876,96433,96426,96215,95808,96169,96346,98083,97580,97530,98327,98628,99804,98889,98151,99642,101079,101742,102977,103723,103996,105632,106447,107502,107915,108057,107770,107661,107728,108827,110987,112313,112995,112453,113002,113224,114463,115902,116611,115418,116325,116524,115099,115560,115843,116315,115920,116739,116111,116567,117697,119714,120177,121193,121051,120288,121835,122220,121964,121935,121080,120189,119883,120793,120936,122502,125788,126974,126997,126972,128626,128904,128814,129129,128737,130432,129448,128447,130971,132179,131551,133925,134717,136704,138177,137411,137307,137760,139246,141762,141706,141523,143526,143957,144879,145628,146665,148729,150228,151315,152797,151856,153938,159612,158019,157394,159349,160610,162273,162528,164284,166817,168703,173918,177402,181917,186764,189732,192955,191879,194297,195367,199371,202208,201503,195982,186539,178320,173177,173431,174275,173101,173802,175243,171431,169485,168664,168966,172762,178842,179344,180097,180471,180384,181600,181065,180058,185125,190214,199308,208661,208182,210838
