ProdLine,NAICS,PCEcode,SeasSource,NAICS_Desc,PCEcode_Desc
0602,454100,HDW,Census,Electronic Shopping & Mail-Order Houses,"Tools, hardware, and supplies"
0631,444110,LWN,Census,Home Centers,Outdoor equipment and supplies
0631,444130,LWN,Census,Hardware Stores,Outdoor equipment and supplies
0631,444220,LWN,Census,Nursery & Garden Centers,Outdoor equipment and supplies
0631,445110,LWN,BEA,Grocery (except Convenience) Stores,Outdoor equipment and supplies
0631,452110,LWN,Census,Department Stores (exc Discount) (2002),Outdoor equipment and supplies
0631,452910,LWN,Census,Warehouse Clubs & Superstores,Outdoor equipment and supplies
0631,452990,LWN,Census,All Other General Merchandise Stores,Outdoor equipment and supplies
0631,454100,LWN,Census,Electronic Shopping & Mail-Order Houses,Outdoor equipment and supplies
0321,442100,TVS,BEA,Furniture Stores,Televisions
0321,443111,TVS,BEA,Household Appliance Stores,Televisions
0321,443112,TVS,BEA,Radio & Television & Other Electronics Stores,Televisions
0321,452110,TVS,Census,Department Stores (exc Discount) (2002),Televisions
0321,452910,TVS,Census,Warehouse Clubs & Superstores,Televisions
0321,454100,TVS,Census,Electronic Shopping & Mail-Order Houses,Televisions
0322,443111,OVA,BEA,Household Appliance Stores,Other video equipment
0322,443112,OVA,BEA,Radio & Television & Other Electronics Stores,Other video equipment
0322,443120,OVA,Census,Computer & Software Stores,Other video equipment
0324,452110,OVA,Census,Department Stores (exc Discount) (2002),Other video equipment
0324,452910,OVA,Census,Warehouse Clubs & Superstores,Other video equipment
0324,452990,OVA,Census,All Other General Merchandise Stores,Other video equipment
0324,454100,OVA,Census,Electronic Shopping & Mail-Order Houses,Other video equipment
0331,441310,AUD,BEA,Automotive Parts & Accessories Stores,Audio equipment
0331,443112,AUD,BEA,Radio & Television & Other Electronics Stores,Audio equipment
0331,443120,AUD,Census,Computer & Software Stores,Audio equipment
0331,451140,AUD,BEA,Musical Instrument & Supplies Stores,Audio equipment
0331,451211,AUD,BEA,Book Stores,Audio equipment
0331,452110,AUD,Census,Department Stores (exc Discount) (2002),Audio equipment
0331,452910,AUD,Census,Warehouse Clubs & Superstores,Audio equipment
0331,454100,AUD,Census,Electronic Shopping & Mail-Order Houses,Audio equipment
0335,443112,RTD,BEA,Radio & Television & Other Electronics Stores,Prerecorded and blank audio discs/tapes/digital files/downloads
0335,451211,RTD,BEA,Book Stores,Prerecorded and blank audio discs/tapes/digital files/downloads
