"Code","sumril2004q1","sumril2004q2","sumril2004q3","sumril2004q4","sumril2005q1","sumril2005q2","sumril2005q3","sumril2005q4","sumril2006q1","sumril2006q2","sumril2006q3","sumril2006q4","sumril2007q1","sumril2007q2","sumril2007q3","sumril2007q4","sumril2008q1","sumril2008q2","sumril2008q3","sumril2008q4","sumril2009q1","sumril2009q2","sumril2009q3","sumril2009q4","sumril2010q1","sumril2010q2","sumril2010q3","sumril2010q4","sumril2011q1","sumril2011q2","sumril2011q3","sumril2011q4","sumril2012q1","sumril2012q2","sumril2012q3","sumril2012q4","sumril2013q1","sumril2013q2","sumril2013q3","sumril2013q4","sumril2014q1","sumril2014q2","sumril2014q3","sumril2014q4","sumril2015q1","sumril2015q2","sumril2015q3","sumril2015q4"
"MEF",-18,3,-22,-3,11,-68,35,11,41,38,26,0,-5,8,-16,76,32,12,29,-19,-3,7,15,10,-11,-5,21,-5,-11,-11,-16,-17,-22,0,6,7,-36,-12,-10,-12,-112,19,-28,-10,-13,34,-44,45
"MEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,-85,-34,5,-7,1,3,8,10,3,-5,26,-2,-112,-1,10,16,-1,9,8,-6,7,6,-9,-17,-38
"MFD",0,0,0,0,0,0,0,0,-128,0,0,0,-82,0,0,0,0,0,0,0,0,1,-1,-5,0,2,-2,4,2,1,0,2,0,0,-1,-4,0,-3,-2,-2,0,-1,-1,-5,-1,0,-1,-7
"MFL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,-3153,-11718,-1104,1899,5986,-5329,-4897,-1255,-5171,4031,2471,-5404,-3486,4503,8459,-5068,4046,3627,1730,621,3656,-286,492,-409,1665,4336
"MFX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1775,-2155,723,-362,-601,-1080,-259,553,1079,-495,-1656,-250,-259,-2076,148,2569,560,-6,-1045,-3830,256,2309,2736,5493,-186,838,2430
"MGZ",121,163,6,-12,4,46,97,-62,60,-43,-110,0,69,30,-16,-220,-98,16,34,247,-119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MHA",126,96,67,54,31,99,-15,78,104,-59,-22,-312,126,56,-90,-247,183,46,-28,206,285,55,165,99,140,-112,-159,-62,-425,130,445,145,-109,122,-268,69,344,170,313,90,250,6,-292,40,516,-89,100,313
"MHO",-1,0,1,0,0,0,0,-2,0,0,0,1,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MHP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-21,-27,121,-3,38,-33,-83,-17,18,-53,16,15,-23,17,27,-39,-147,-81,-60,0,72,32,178,-2,26,50
"MHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
