"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"28","20","          Services","W116RA3",24.21,26.467,24.15,27.575,27.139,25.816,25.95,24.925,28.116,28.237,26.517,26.994,27.388,30.075,25.419,24.48,25.168,27.273,24.2,23.228,26.283,26.337,25.838,25.749,25.068,25.201,25.278,24.238,23.013,24.35,23.406,22.332,23.023,24.197,25.396,23.247,23.521,24.343,23.294,23.459,25.137,26.231,23.023,25.213,25.655,28.279,26.807,26.356,27.006,26.437,27.085,26.04,29.381,27.418,30.397,32.191,32.259,31.517,30.256,32.473,32.991,32.378,33.433,32.374,33.822,34.905,37.867,37.908,36.98,38.333,40.392,35.516,39.878,40.408,39.692,39.277,40.235,40.139,40.269,42.052,36.4,41.439,40.851,43.581,45.649,45.089,42.696,43.717,46.311,47.443,47.785,44.91,46.072,45.084,49.552,48.629,43.465,40.864,46.395,47.504,44.869,46.778,49.976,47.106,44.999,47.399,45.021,44.684,42.796,45.473,45.044,48.593,43.204,49.134,46.69,48.25,40.35,45.188,45.058,45.426,44.827,44.52,47.386,53.957,43.042,50.54,47.972,48.679,52.454,52.741,54.49,57.228,61.413,62.761,65.292,69.086,66.504,77.118,73.982,78.8,78.314,79.534,82.391,79.955,81.302,80.68,85.12,79.893,86.337,84.289,82.374,83.67,79.091,81.609,85.077,85.765,88.501,88.118,95.386,96.656,94.748,100.031,102.129,103.092,105.213,107.297,111.299,105.428,99.657,101.141,101.742,93.345,95.196,94.299,102.599,90.205,86.931,85.675,87.472,81.45,83.082,82.241,91.147,82.649
"29","21","      Less: Own-account investment \4\","W117RA3",54.018,55.272,55.726,55.231,54.817,54.438,53.957,53.678,53.355,53.085,53.516,53.916,55.572,55.351,55.419,56.25,55.386,54.963,55.177,55.582,54.18,55.515,55.342,55.355,54.29,53.943,54.282,54.712,54.256,54.529,54.28,54.106,52.844,52.622,52.822,52.615,53.139,54.008,55.011,55.13,55.601,56.331,57.177,57.365,57.589,58.095,58.532,58.444,58.233,58.306,58.436,58.473,58.493,59.093,60.119,60.872,62.245,63.45,64.739,65.202,65.951,66.967,68.322,69.528,70.814,72.123,73.529,74.373,75.299,76.288,77.103,77.811,78.561,79.493,79.84,80.292,80.362,80.722,81.236,81.327,81.696,82.751,84.381,85.877,86.987,86.912,86.381,85.457,84.77,85.004,84.834,84.704,85.512,84.531,84.077,82.431,82.961,83.109,83.106,81.869,80.695,80.217,81.183,79.96,80.63,79.454,79.936,77.319,76.896,76.99,77.611,76.09,77.429,76.125,74.459,72.862,75.462,77.182,75.914,72.261,69.265,76.485,76.347,75.196,73.034,74.588,76.281,77.851,81.926,83.813,84.326,85.268,86.46,87.391,88.85,89.401,89.691,90.575,90.245,91.205,89.286,89.696,90.373,90.606,91.179,92.182,93.08,93.508,93.438,94.165,95.263,96.219,96.7,97.405,98.093,97.918,98.417,98.506,98.926,99.424,99.268,99.402,100.303,101.027,100.607,99.258,99.645,99.451,100.688,101.951,103.065,104.465,106.124,107.216,107.382,106.275,104.125,101.994,99.825,97.204,96.07,94.267,93.516,93.547
"30","22","      Less: Sales to other sectors","W118RA3",50.331,59.149,58.132,54.196,60.538,53.994,45.999,49.769,45.396,49.168,54.02,52.062,84.228,98.582,87.571,102.361,95.87,124.037,106.947,97.452,132.112,131.811,112.265,110.042,129.967,117.493,62.882,71.113,63.371,95.512,106.321,53.282,95.265,108.688,123.017,85.93,94.308,108.771,126.364,120.056,116.39,115.202,110.683,156.596,106.632,118.375,125.064,111.774,108.188,99.493,126.496,91.875,103.97,95.849,95.337,106.618,86.931,81.298,100.538,106.758,94.528,97.865,113.905,92.443,94.938,97.138,105.032,102.592,94.333,108.396,104.801,110.672,112.915,109.853,119.549,110.763,117.506,126.815,143.374,109.098,119.988,127.437,128.243,105.071,114.816,103.533,132.149,156.137,153.139,115.221,161.228,120.779,140.825,135.034,145.819,87.842,119.04,122.878,124.87,86.543,138.59,186.941,115.727,148.557,114.642,91.054,89.967,124.607,96.229,104.866,130.279,109.24,77.849,83.138,70.165,76.426,76.783,47.378,193.576,51.801,53.985,76.194,81.614,65.034,96.823,75.5,82.006,112.391,77.344,58.32,61.954,79.051,71.73,49.818,82.66,56.698,66.785,79.62,70.542,68.771,64.867,66.202,81.516,91.601,104.432,84.478,112.066,129.517,101.603,102.537,102.071,90.249,78.671,84.418,80.258,79.689,82.868,85.042,114.476,88.704,95.788,99.891,102.297,102.024,104.101,117.36,122.767,95.765,84.024,97.736,226.917,101.584,89.948,101.98,84.179,79.508,81.731,81.313,81.542,78.657,78.683,102.662,89.879,94.94
"31","23","    Defense consumption expenditures \1\","A997RA3",82.217,83.022,82.199,82.391,78.664,75.615,74.925,73.995,73.141,70.78,68.487,68,67.713,67.448,64.129,63.431,62.802,62.284,59.499,60.061,59.98,60.685,58.577,58.782,58.513,58.524,58.086,57.968,57.156,57.824,56.637,56.577,56.839,57.628,58.094,57.006,57.533,58.153,58.171,57.423,58.135,59.276,57.524,58.412,59.359,60.105,60.212,60.462,61.942,63.104,62.919,64.127,65.052,65.834,67.307,67.898,68.364,69.865,69.626,70.283,70.61,71.334,71.169,72.02,72.87,73.976,76.499,76.892,76.905,79.798,81.129,78.429,80.252,81.769,82.489,83.13,83.513,83.414,82.907,85.36,82.171,85.135,84.958,85.028,85.591,85.061,83.033,84.94,87.624,87.339,85.608,83.23,82.025,81.721,83.261,82.561,79.984,79.317,79.813,79.393,75.975,75.924,78.044,74.578,73.644,74.076,73.518,71.204,70.655,72.635,71.886,72.14,69.661,72.045,70.441,70.949,66.858,69.422,69.52,69.601,68.519,68.6,70.369,72.552,67.206,70.94,68.941,68.967,70.152,70.826,71.334,71.63,73.358,74.288,74.938,76.76,76.315,82.384,80.66,83.253,83.799,84.386,86.609,84.322,85.346,85.543,87.439,84.555,86.325,86.145,86.022,87.817,85.774,86.988,89.477,89.616,91.162,91.657,95.979,97.34,95.787,99.808,102.169,102.235,101.966,103.324,105.511,104.018,101.202,102.839,103.811,100.595,99.492,98.634,102.417,96.367,94.176,93.86,93.98,90.895,91.686,91.233,95.671,91.626
"32","24","      Gross output of general government","W085RA3",80.492,81.374,80.553,80.69,77.217,74.238,73.515,72.576,71.736,69.489,67.431,66.913,66.996,66.965,63.673,63.116,62.457,62.357,59.668,59.975,60.216,60.926,58.799,58.853,58.914,58.622,57.481,57.441,56.642,57.309,56.161,56.018,56.368,57.287,57.618,56.39,56.971,57.602,57.712,57.091,57.725,58.745,57.05,58.022,58.904,59.589,59.865,60.161,61.632,62.537,62.639,63.602,64.697,65.385,66.719,67.717,67.86,69.32,69.071,69.92,70.258,70.977,71.137,71.721,72.575,73.789,76.382,76.71,76.658,79.592,80.948,78.367,80.132,81.582,82.369,82.795,83.268,83.22,82.976,84.994,82.046,84.887,84.754,84.763,85.422,84.839,83.168,85.198,87.31,87.088,85.472,82.809,81.941,81.841,83.215,82.104,79.896,79.264,79.965,79.025,76.304,76.505,78.051,75.183,73.672,73.845,73.264,71.185,70.539,72.516,71.943,72.057,69.494,71.872,70.204,70.637,66.838,68.943,69.494,69.084,67.917,68.329,70.283,72.135,67.306,70.533,68.855,68.709,70.411,70.75,71.358,71.779,73.462,74.324,75.509,76.892,76.622,82.44,80.752,83.252,83.705,84.3,86.478,84.354,85.351,85.627,87.544,84.863,86.637,86.531,86.456,88.211,86.197,87.364,89.769,89.941,91.481,91.98,96.151,97.467,95.947,99.803,102.096,102.154,101.873,103.132,105.263,103.865,101.244,102.914,103.944,100.94,99.964,99.197,102.856,96.992,94.796,94.387,94.433,91.376,92.065,91.552,95.806,91.913
"33","25","        Value added","W086RA3",104.451,105.087,105.636,104.991,101.737,100.303,99.203,97.83,95.988,94.446,93.112,91.752,89.355,87.688,87.555,87.564,85.709,84.428,83.482,83.275,83.175,82.919,82.549,82.738,82.329,81.764,81.51,81.221,80.977,80.617,80.286,80.191,79.989,79.975,80.127,80.142,80.332,80.483,80.673,80.478,80.284,80.169,80.308,80.373,80.406,80.76,81.326,81.703,82.475,83.038,83.806,84.33,84.849,85.633,86.143,86.722,87.607,88.074,88.722,89.23,90.132,91.036,91.915,92.786,93.864,94.955,96.179,96.83,97.665,98.346,99.297,100.192,100.894,102.039,103.326,103.873,103.94,104.11,104.477,104.796,105.141,105.853,106.55,106.77,106.697,106.76,106.929,107.445,109.067,108.159,106.878,105.429,104.744,104.289,103.591,102.834,102.341,101.348,100.619,99.291,98.476,97.702,96.882,95.599,94.701,93.869,93.007,91.538,90.961,90.693,90.138,89.061,88.475,87.793,87.447,86.595,86.05,85.386,85.148,84.342,83.798,83.4,83.381,83.144,82.519,82.65,82.517,82.298,82.464,82.486,82.538,82.472,83.142,83.602,83.886,83.757,85.047,85.892,86.233,86.473,87.323,87.38,88.188,88.776,89.115,89.148,89.457,89.835,89.258,89.381,90.284,90.675,90.433,90.543,91.529,92.008,92.823,93.785,95.554,96.963,97.912,99.513,100.904,101.67,102.394,102.982,103.486,103.963,104.232,104.53,104.81,105.184,104.399,104.006,103.758,103.223,102.633,102.256,100.555,100.551,100.937,100.677,100.397,99.921
"34","26","          Compensation of general government employees","B237RA3",153.255,154.691,155.798,154.346,147.235,144.296,142.127,139.582,136.133,133.404,131.147,128.988,124.377,121.447,121.622,122.04,118.643,116.342,114.752,114.628,114.702,114.495,113.931,114.524,113.896,112.876,112.5,111.982,111.488,110.752,110.153,109.902,109.506,109.443,109.696,109.69,110.132,110.363,110.729,110.267,109.756,109.351,109.452,109.41,109.236,109.699,110.582,111.031,112.282,113.018,114.144,114.69,115.165,116.134,116.45,116.812,117.766,117.78,118.121,118.05,118.757,119.406,119.885,120.243,120.957,121.626,122.52,122.211,122.291,122.014,122.33,122.498,122.316,123.091,124.228,123.956,122.765,121.912,121.605,121.287,121.144,121.777,122.446,122.184,121.356,120.913,120.772,121.394,124.284,122.261,119.548,116.616,115.281,114.481,113.252,111.968,111.258,109.586,108.478,106.282,105.118,104.083,102.952,100.933,99.709,98.586,97.37,94.931,94.248,94.185,93.578,91.98,91.2,90.285,90.018,88.784,88.191,87.317,87.251,86.048,85.292,84.875,85.133,85.01,84.161,84.655,84.61,84.353,84.763,84.925,85.116,85.121,86.45,87.292,87.695,87.285,89.255,90.387,90.622,90.605,91.622,91.248,92.104,92.562,92.582,92.086,92.061,92.119,90.624,90.265,91.187,91.263,90.29,89.883,90.888,91.061,91.751,92.675,94.87,96.446,97.26,99.3,101.196,102.243,102.72,103.081,103.398,103.774,103.928,104.137,104.34,104.713,103.237,102.48,102.045,101.234,100.408,99.866,97.067,96.963,97.418,96.802,96.147,95.189
"35","27","          Consumption of general government fixed capital \2\","B432RA3",57.591,57.577,57.648,57.656,57.629,57.483,57.309,56.973,56.569,56.114,55.636,55.03,54.68,54.21,53.803,53.438,53.046,52.732,52.398,52.12,51.867,51.577,51.392,51.225,51.027,50.882,50.745,50.668,50.65,50.629,50.542,50.582,50.555,50.582,50.64,50.673,50.642,50.718,50.752,50.788,50.869,50.999,51.158,51.306,51.509,51.75,52.021,52.316,52.639,53.025,53.448,53.923,54.45,55.033,55.674,56.404,57.182,58.008,58.877,59.844,60.863,61.94,63.12,64.39,65.739,67.159,68.619,70.107,71.6,73.134,74.64,76.182,77.685,79.144,80.531,81.831,83.092,84.243,85.255,86.179,86.989,87.763,88.472,89.155,89.82,90.381,90.85,91.246,91.569,91.789,91.964,92.04,92.045,91.965,91.841,91.646,91.382,91.095,90.763,90.338,89.89,89.396,88.904,88.38,87.828,87.305,86.815,86.347,85.89,85.42,84.929,84.401,84.026,83.598,83.176,82.734,82.25,81.821,81.406,81.033,80.73,80.36,80.042,79.686,79.315,79.046,78.818,78.644,78.534,78.397,78.29,78.141,78.004,77.985,78.121,78.357,78.727,79.173,79.662,80.256,80.865,81.54,82.272,83.037,83.838,84.662,85.47,86.325,87.146,88.017,88.892,89.762,90.659,91.587,92.542,93.504,94.515,95.539,96.633,97.784,98.948,99.85,100.442,100.76,101.873,102.824,103.626,104.265,104.723,105.164,105.568,105.945,106.264,106.449,106.502,106.406,106.192,106.079,106.113,106.269,106.544,106.851,107.166,107.46
"36","28","        Intermediate goods and services purchased \3\","W087RA3",51.674,52.856,50.41,51.522,47.75,42.654,42.415,42.02,42.496,39.158,36.004,36.61,40.199,42.569,34.38,32.935,33.97,35.559,30.219,31.243,31.952,33.984,29.516,29.398,30.049,30.1,27.857,28.127,26.633,28.565,26.425,26.228,27.245,29.27,29.81,27.123,28.16,29.349,29.354,28.243,29.811,32.095,28.411,30.333,32.088,33.078,33.039,33.223,35.317,36.498,35.898,37.244,38.878,39.414,41.54,42.926,42.259,44.703,43.504,44.674,44.376,44.851,44.209,44.437,44.987,46.274,50.283,50.227,49.17,54.594,56.374,49.836,52.778,54.523,54.706,54.973,55.895,55.593,54.633,58.583,51.822,57.124,55.997,55.751,57.25,55.923,52.166,55.875,58.493,59.113,57.154,53.122,52.032,52.355,56.22,54.703,50.48,50.301,52.71,52.266,47.298,48.688,53.078,48.353,46.123,47.528,47.304,44.526,43.808,48.501,47.917,49.472,44.55,50.654,47.376,49.385,41.606,47.145,48.67,48.762,46.818,48.263,52.711,57.179,47.066,54.197,50.576,50.529,54.16,54.901,56.209,57.249,60.245,61.627,63.984,67.36,64.965,77.617,73.129,78.731,78.638,79.98,84.046,78.206,80.093,80.695,84.848,77.916,82.981,82.546,81.099,84.748,80.231,82.906,87.332,87.072,89.629,89.486,96.955,98.143,93.14,100.223,103.791,102.845,101.129,103.341,107.787,103.734,97.051,100.634,102.703,95.02,93.776,92.488,101.556,88.325,83.92,83.464,85.912,78.635,79.743,78.882,89.358,80.741
"37","29","          Durable goods","A998RA3",49.486,45.865,45.683,42.822,42.371,41.147,40.42,40.692,33.742,29.859,28.713,26.196,38.944,39.498,35.09,33.669,35.948,35.769,30.484,32.153,29.051,32.325,25.221,29.807,30.309,30.786,30.54,31.091,26.667,30.112,25.842,28.507,32.474,39.007,33.483,34.102,37.148,40.058,38.383,37.686,38.77,43.884,39.882,44.373,44.058,44.574,46.117,41.353,48.676,53.219,49.28,55.044,51.37,55.64,57.553,62.452,65.778,68.895,68.034,68.854,70.713,71.333,64.344,69.714,69.363,72.807,79.941,76.805,71.739,82.97,85.998,80.124,80.388,83.224,89.973,87.525,87.63,86.211,85.974,91.741,84.32,87.991,85.797,79.865,83.044,81.144,79.827,81.811,79.427,80.628,77.335,73.571,70.925,68.209,70.207,70.433,63.729,73.943,58.872,57.825,54.371,53.447,57.946,52.376,51.578,46.527,55.923,44.717,46.13,52.367,51.903,46.813,48.374,52.067,48.145,49.407,47.367,48.461,52.633,51.173,47.673,54.189,57.953,52.281,53.162,52.859,53.112,50.864,49.63,53.818,57.168,50.857,51.699,54.625,58.413,55.439,53.618,61.559,63.152,63.541,64.056,66.5,70.202,66.796,64.776,66.617,69.086,69.138,70.976,71.391,73.723,77.434,74.509,78.164,83.632,86.061,87.757,92.696,97.562,98.818,90.786,99.552,106.438,103.224,95.104,100.077,104.934,109.837,91.296,96.336,99.05,102.74,92.967,93.595,97.338,94.126,81.586,84.132,83.269,80.416,74.302,73.73,71.815,77.478
"38","30","          Nondurable goods","A725RA3",271.686,273.764,260.111,245.012,203.888,170.331,167.69,189.403,167.807,154.608,140.212,135.248,165.689,163.559,144.89,135.064,129.519,126.763,95.106,101.243,98.971,110.529,92.647,89.003,89.705,90.277,64.769,79.242,68.63,64.615,67.548,59.257,60.405,55.113,67.371,62.621,58.461,60.988,69.599,59.803,60.524,64.016,66.869,64.952,73.075,65.345,70.724,71.159,71.354,75.064,72.619,77.415,72.4,74.104,73.782,74.821,69.882,84.201,81.434,73.545,66.401,74.311,74.191,77.651,77.936,68.868,71.185,67.152,83.053,97.568,88.318,92.487,81.047,84.548,91.336,97.136,88.774,90.008,78.611,85.61,85.936,85.492,84.998,75.758,72.618,75.018,64.745,84.137,86.933,73.366,71.858,69.788,66.548,76.576,72.204,63.973,64.059,64.779,67.251,60.024,57.094,55.035,57.739,63.161,48.812,49.705,48.909,43.437,51.228,55.152,55.133,49.217,54.558,50.621,54.064,52.992,53.003,51.972,58.938,55.35,53.852,59.5,71.79,59.904,71.279,68.228,59.271,58.314,61.027,67.73,64.2,71.473,71.362,77.09,72.89,80.718,83.16,87.672,71.746,84.496,95.27,93.626,102.877,80.257,86.151,97.436,98.814,92.099,89.674,87.899,95.598,92.938,94.321,92.614,94.56,88.739,93.091,95.119,94.992,99.08,93.421,101.192,107.835,97.552,98.295,98.691,93.887,94.78,98.75,95.494,98.891,101.931,98.048,95.141,94.077,90.306,85.313,81.197,81.99,75.662,75.568,74.942,83.846,78.194
"39","31","          Services","A489RA3",28.824,31.858,29.684,33.695,32.107,28.294,28.506,25.935,31.549,29.597,26.803,29.024,26.41,29.587,21.616,20.982,21.981,24.499,21.955,22.19,24.697,25.16,23.317,21.855,22.544,22.348,22.269,20.596,21.393,23.529,21.567,21.297,21.178,22.419,23.75,20.072,21.005,21.388,20.973,20.79,22.671,23.763,19.228,20.806,22.287,25.084,23.421,25.318,26.044,25.639,26.577,25.788,30.666,29.65,32.4,32.586,31.035,31.425,30.255,33.049,32.92,32.214,34.077,31.721,32.719,34.737,37.964,39.75,37.908,40.137,42.7,34.617,40.227,41.412,38.343,39.016,41.312,41.234,41.224,44.203,36.823,43.39,42.549,45.294,46.796,45.24,41.494,43.735,48.037,50.186,48.641,44.309,43.944,44.2,49.548,48.211,44.369,40.687,48.773,49.226,43.603,46.074,50.557,45.122,43.671,47.147,43.973,44.119,41.875,46.122,45.449,49.825,41.866,49.697,45.98,48.502,38.347,45.74,45.978,46.834,45.316,44.895,48.764,57.685,42.326,52.576,48.461,49.125,54.157,53.311,54.537,56.953,60.784,61.339,63.928,68.512,65.49,80.098,75.165,81.334,79.979,81.309,84.871,80.404,82.819,81.817,86.737,78.045,84.899,84.425,80.777,85.232,79.561,82.576,87.083,86.99,89.486,87.767,97.215,97.911,93.679,100.253,102.626,103.442,102.893,104.704,110.356,103.518,97.958,102.331,104.025,91.984,93.132,91.682,103.599,86.565,84.106,83.572,87.032,78.614,81.54,80.577,94.053,81.798
"40","32","      Less: Own-account investment \4\","W088RA3",45.21,46.431,46.979,46.661,46.375,45.758,45.072,44.931,44.331,44.323,44.707,45.478,46.528,47.432,48.022,48.804,47.975,47.853,47.786,48.041,47.252,47.242,46.878,46.212,45.884,45.051,44.894,45.178,45.318,44.892,44.582,44.592,44.04,43.811,43.189,43.269,43.507,44.017,44.376,44.729,45.574,45.974,46.234,46.121,46.206,46.424,46.979,47.304,47.507,47.77,48.531,48.942,49.805,51.222,53.03,54.771,56.707,58.846,60.664,62.019,63.425,65.203,67.036,68.519,70.207,72.037,74.352,75.725,77.122,77.991,78.771,79.161,79.292,79.751,80.104,80.299,80.568,80.705,80.74,80.741,80.961,81.972,82.802,84.177,84.616,82.614,82.662,81.197,79.276,78.496,77.595,76.632,77.115,75.885,75.065,73.036,72.983,72.357,71.653,70.091,68.837,68.212,68.513,67.627,68.049,67.028,66.784,65.397,64.857,64.437,64.554,63.656,64.435,63.488,62.077,61.197,62.28,63.278,62.052,59.788,57.796,62.385,62.177,62.091,61.364,62.906,64.681,66.928,70.957,72.186,74.073,77.019,79.341,80.664,81.783,83.188,83.587,84.286,83.934,84.401,82.414,82.887,83.416,84.452,84.719,86.06,87.281,88.453,88.898,90.396,92.275,94.705,96.848,98.532,99.691,100.166,100.571,100.476,100.193,100.064,99.549,99.726,100.02,100.705,100.583,99.187,99.749,100.527,103.301,106.131,108.973,112.172,115.405,117.38,117.876,116.951,114.373,111.768,109.119,106.452,104.511,102.352,101.684,102.214
"41","33","      Less: Sales to other sectors","W089RA3",24.626,34.777,24.69,19.18,34.787,27.032,21.156,13.278,13.7,14.21,32.72,16.299,77.109,119.018,84.119,102.488,97.525,193.918,188.366,130.363,212.581,219.81,198.043,172.708,243.328,185.676,31.389,44.752,39.243,48.596,48.744,30.243,56.038,93.615,74.159,32.71,47.474,51.529,68.305,85.829,68.836,50.174,44.512,71.096,64.899,56.844,89.39,99.014,108.443,61.947,115.319,70.227,108.277,84.304,53.737,131.846,52.911,40.992,23.39,59.161,53.745,45.576,98.438,39.237,34.845,52.757,71.421,51.248,28.164,54.133,64.262,63.159,65.75,61.275,78.307,38.747,58.102,66.665,115.681,47.132,68.236,60.563,62.022,41.709,61.751,60.898,112.908,162.062,85.994,100.498,114.387,51.461,99.819,141.471,128.767,64.873,110.498,115.726,158.597,75.53,178.627,225.745,139.644,223.979,113.796,78.255,71.698,104.602,87.071,103.6,127.648,110.966,74.024,95.963,82.105,78.277,92.333,26.856,111.175,42.932,32.8,61.644,106.26,66.198,120.829,51.792,81.793,39.788,110.714,52.799,61.998,67.864,58.966,46.493,133.087,64.303,88.908,82.446,79.4,78.013,76.694,79.204,82.962,90.1,90.73,98.235,107.441,117.559,127.082,130.721,128.228,119.933,100.85,91.62,86.62,90.585,97.298,101.519,103.404,104.664,103.388,99.373,100.859,96.381,93.388,92.324,93.451,96.298,97.458,98.572,99.705,99.509,97.382,97.354,97.162,96.137,95.098,90.82,92.66,92.289,89.771,87.935,87.478,85.635
"42","34","    Nondefense consumption expenditures \1\","A542RA3",31.009,31.669,32.652,31.12,31.957,33.106,33.034,33.311,33.367,35.976,37.567,36.118,38.589,39.179,39.199,38.936,38.962,38.914,39.4,38.858,41.517,38.444,42.888,43.591,43.037,43.606,43.394,43.679,43.597,42.901,42.822,43.694,43.977,44.628,44.84,46.523,45.968,46.931,46.245,47.78,47.716,47.468,47.476,47.599,49.216,53.877,50.361,49.855,50.945,53.311,52.062,51.918,51.479,49.484,50.388,52.998,54.864,55.714,60.402,47.542,48.802,54.078,54.179,54.368,55.157,56.508,56.689,55.37,55.657,56.697,58.905,60.083,58.27,56.237,53.302,57.541,53.232,51.742,51.862,55.6,56.415,57.638,57.677,58.445,60.417,61.485,62.816,61.689,61.838,61.764,61.706,62.573,64.944,65.072,65.596,66.856,65.007,64.726,64.824,65.249,66.139,64.947,65.221,66.214,65.798,65.837,66.02,62.367,63.159,63.968,63.374,64.212,65.634,66.547,67.082,66.343,66.499,66.704,63.344,67.599,67.614,66.294,66.427,66.942,68.726,71.066,69.721,68.503,71.607,73.685,73.992,74.623,76.494,78.733,79.807,81.138,81.225,82.114,82.878,83.455,83.954,84.394,83.706,85.505,85.635,84.657,85.291,86.516,89.285,87.729,88.734,86.973,86.915,87.325,88.384,89.789,91.584,93.091,93.371,96.169,98.53,100.828,100.129,100.513,104.299,107.377,106.148,105.614,103.83,101.81,97.089,101.063,102.88,102.81,103.178,103.51,101.494,99.999,99.065,96.652,99.155,98.218,98.431,98.48
"43","35","      Gross output of general government","W128RA3",33.409,34.239,35.245,33.726,34.475,35.462,35.246,35.649,35.596,38.092,39.546,38.289,41.004,41.485,41.46,41.481,41.341,41.253,41.34,41.053,43.69,40.919,44.724,45.585,44.884,45.597,45.329,45.723,45.422,45.602,45.806,45.328,46.415,47.075,47.902,48.731,48.375,49.725,49.549,50.626,50.592,50.541,50.54,51.912,51.88,56.698,53.399,52.376,53.143,55.446,54.656,53.79,53.368,51.456,52.552,54.578,56.461,57.181,62.305,50.17,51.011,56.087,56.186,56.332,57.216,58.399,58.619,57.517,57.791,58.936,60.861,62.181,60.595,58.733,56.105,60.25,56.211,55.022,55.171,58.391,59.273,60.749,60.93,61.284,63.302,64.118,65.542,64.668,65.548,64.371,65.469,65.873,68.197,67.668,68.611,68.798,67.519,67.363,67.08,67.249,68.391,68.128,67.391,68.26,68.145,67.832,68.113,65.1,65.229,66.085,66.062,66.309,67.231,67.919,68.101,67.508,67.738,67.944,67.914,68.41,68.383,67.974,67.763,68.084,69.855,72.257,70.941,71.145,72.484,74.659,74.886,75.808,77.435,79.078,80.134,81.385,81.484,82.794,83.279,83.862,84.15,84.586,84.36,86.207,86.722,85.197,86.479,87.983,89.662,88.177,89.137,87.205,86.964,87.585,88.522,89.733,91.456,92.896,94.031,95.986,98.42,100.735,100.204,100.641,104.251,107.461,106.45,105.107,103.054,101.493,100.615,100.784,102.173,102.45,102.283,102.413,100.524,99.089,98.129,95.675,98.048,97.815,97.617,97.801
"44","36","        Value added","W129RA3",45.735,46.086,46.495,46.773,47.561,47.837,47.823,48.168,49.671,49.738,49.924,50.128,51.311,51.598,51.737,52.123,52.486,52.533,52.372,52.834,54.764,55.004,55.313,55.276,55.748,56.286,56.659,57.234,58.092,58.857,59.606,60.081,60.347,60.734,61.248,61.413,62.307,63.027,63.391,63.483,63.757,64.102,64.32,64.218,65.407,67.317,66.923,65.797,66.15,66.19,66.148,66.048,65.932,65.832,66.365,66.686,66.959,67.534,67.966,67.66,67.854,68.243,68.632,68.488,68.784,69.209,69.421,69.201,69.423,69.381,69.253,69.192,70.451,70.194,70.741,71.967,72.535,72.004,72.591,73.807,73.731,73.489,73.717,74.318,76.5,76.975,77.646,76.737,77.222,77.32,77.787,79.103,79.717,79.471,79.65,79.705,80.534,80.729,80.408,80.048,80.63,79.86,79.605,78.931,79.019,79.593,79.668,75.822,76.838,78.816,78.589,78.118,78.447,78.768,78.702,78.053,78.874,79.645,80.036,81.115,81.918,81.107,80.639,80.93,82.977,86.169,83.216,82.745,84.089,84.875,85.12,84.698,85.485,86.046,86.937,88.022,88.492,88.896,88.868,88.928,88.814,89.015,88.954,89.651,89.85,89.817,89.687,90.324,90.457,90.851,91.479,91.414,91.957,92.046,92.696,93.147,94.157,95.158,95.961,97.399,98.589,100.789,100.223,100.398,102.133,105.485,103.811,103.606,104.378,104.386,104.027,104.156,105.43,105.542,105.448,105.7,105.592,104.969,104.573,101.097,105.268,105.364,105.615,105.848
