"","Table 5#8#4A# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"49","42","  Federal","B872RG3",27.239,26.094,24.686,24.874,23.134,24.129,27.227,25.335,24.746,23.792,23.852,24.973,28.419,25.047,24.484,22.756,20.859,22.954,25.199,26.539,27.227,28.231,30.096,30.508,29.63,30.21,31.249,33.958,35.845,36.227,37.048,37.146,37.688,38.197,38.628,38.912,38.453,38.796,39.613,40.64,42.353,45.636,48.089,62.803,62.711,64.292,67.995,72.942,77.444,82.018,84.877,89.555,96.674,102.897,105.182,106.212,104.007,99.522,95.865,95.461,96.512,98.254,100.054,100.299,102.14,104.231,106.092,105.329,102.505
"50","43","    National defense","B873RG3",21.064,19.597,17.636,17.924,16.385,18.057,19.216,18.602,21.078,21.418,21.362,20.809,23.751,20.251,19.867,18.411,16.897,18.956,21.533,22.894,23.5,24.374,26.083,26.395,25.631,26.202,27.126,29.562,31.214,31.524,32.118,32.126,32.638,33.024,33.307,33.215,33.309,33.6,34.131,34.885,36.489,39.102,41.297,59.294,58.745,59.584,62.746,67.963,72.6,78.002,80.611,85.289,92.474,99.009,101.839,103.085,100.537,95.481,91.362,90.591,91.497,93.247,95.14,95.899,98.135,100.957,103.319,103.483,100.862
"51","44","      Aircraft","B874RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.494,67.499,67.084,69.136,70.086,73.383,76.749,80.399,84.978,89.417,100.235,105.585,106.173,95.648,83.904,71.804,67.245,66.196,70.607,75.482,77.934,80.946,90.746,96.674,100.721,91.651
"52","45","      Missiles","B875RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.69,104.837,104.725,107.801,139.792,154.983,166.71,136.344,121.098,127.114,123.063,129.344,134.809,136.295,128.383,124.928,123.236,121.187,117.774,113.759,112.061,115.716,114.029,110.506,107.244,101.913
"53","46","      Ships","B876RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.455,29.216,32.134,35.557,37.775,42.06,47.076,50.557,55.694,60.46,62.943,65.008,69.181,70.311,71.967,73.388,75.774,79.087,81.133,85.397,87.339,88.969,91.916,96.995,97.248,98.958
"54","47","      Vehicles","B877RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.347,31.196,30.59,32.896,40.035,43.718,47.169,48.716,56.574,76.859,94.03,91.807,83.205,82.407,77.263,83.784,84.394,85.47,86.86,88.998,92.249,96.254,100.127,101.411,102.486,102.616
"55","48","      Electronics and software","B878RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.63,109.225,117.311,123.727,125.982,129.875,128.812,135.511,139.291,145.73,148.287,146.164,142.802,139.524,134.841,132.05,131.564,131.129,130.377,129.91,125.025,124.668,122.453,121.033,115.592,110.326
"56","49","      Other equipment","B879RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.993,36.72,79.015,40.877,43.937,46.27,50.846,54.638,59.974,66.478,72.089,73.928,75.977,76.9,77.865,79.079,81.837,85.161,87.55,89.237,91.517,93.804,95.168,97.182,98.598,99.314
"57","50","    Nondefense","B880RG3",31.45,31.008,31.424,31.235,29.767,30.041,34.226,31.544,28.751,26.845,27,29.926,34.142,38.899,32.812,38.656,32.841,32.481,33.196,34.12,34.97,36.188,37.555,39.364,38.354,35.908,36.191,35.874,37.518,38.916,47.25,52.201,51.274,53.542,55.92,60.833,55.557,56.105,58.997,61.972,63.185,70.247,73.283,73.96,75.901,81.079,87.341,89.552,92.282,91.883,95.798,99.761,105.557,109.064,108.018,107.802,107.912,107.94,108.071,109.961,111.667,113.181,114.375,112.435,112.752,112.241,112.439,109.103,105.828
"58","51","  State and local","B881RG3",20.716,20.166,18.894,18.492,18.09,18.655,18.407,18.287,20.092,19.995,19.734,20.287,21.593,23.251,22.846,23.031,23.778,26.326,31.498,34.222,34.362,35.469,39.169,39.391,39.408,40.168,43.992,46.076,44.527,44.098,42.378,42.539,42.588,42.445,42.535,42.721,42.969,43.686,44.782,46.302,47.715,49.799,51.651,52.686,54.398,59.801,67.828,71.986,75.896,80.922,86.855,93.084,100.195,104.787,106.328,106.945,107.685,108.724,109.931,111.289,113.33,114.683,116.653,116.059,116.327,116.383,115.693,113.073,109.052
"59",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","52","  Government enterprise gross fixed investment","A882RG3",6.579,6.402,5.922,5.098,5.392,6.64,6.183,6.784,7.264,7.384,7.17,7.203,7.806,7.124,7.02,7.163,8.34,9.104,10.429,11.616,11.78,11.862,12.877,13.271,13.483,13.457,13.696,14.758,15.438,15.488,15.233,15.223,15.232,21.145,21.383,21.72,17.909,21.524,22.192,22.007,23.412,25.203,27.108,28.843,30.86,35.765,40.749,42.733,44.993,48.294,52.975,58.793,64.055,67.126,68.443,69.593,70.784,72.327,73.954,76.394,78.841,81.229,82.232,82.904,85.003,87.189,89.874,91.677,93.146
"61","53","    Federal","A883RG3",19.127,17.491,15.352,13.08,12.723,14.526,14.566,15.3,16.95,16.982,16.821,16.875,18.812,14.683,14.37,14.571,17.837,20.057,23.004,24.283,24.644,24.405,25.415,26.227,25.893,24.855,23.948,25.802,27.482,26.724,28.251,28.675,28.483,28.781,29.513,31.151,30.642,31.557,32.594,34.103,36.08,39.181,41.189,42.282,44.294,48.473,55.065,58.337,61.486,64.926,69.815,76.505,83.213,87.749,88.644,89.269,90.334,91.357,92.499,94.705,97.774,100.742,102.454,101.251,101.453,102.456,104.297,103.952,102.57
"62","54","      Structures","B884RG3",8.221,7.518,6.59,5.516,5.358,6.109,6.126,6.435,7.129,7.142,7.074,7.098,7.511,7.67,7.861,8.557,8.515,9.979,12.274,13.375,13.456,12.953,14.121,14.934,15.268,15.013,14.777,16.039,17.031,16.647,16.825,16.793,16.883,17.125,17.307,17.555,17.948,18.521,19.245,20.064,21.388,22.791,24.642,26.49,28.163,30.898,36.169,38.912,41.362,44.03,48.084,53.408,58.574,62.663,64.016,65.099,66.461,67.659,68.865,71.207,74.003,76.655,78.447,79.347,81.005,83.829,86.696,89.003,90.515
"63","55","      Equipment and software","B885RG3",39.726,35.957,32.087,32.14,32.21,38.308,39.507,38.433,39.657,34.739,32.748,32.668,43.319,29.916,29.235,29.605,41.011,41.822,41.209,40.703,42.229,43.933,43.645,44.401,42.966,40.184,37.539,39.997,42.806,41.289,46.954,48.855,47.753,47.908,51.4,62.479,52.58,53.749,54.692,57.61,60.236,67.139,68.013,66.121,68.175,74.417,81.98,85.218,88.782,92.656,97.223,104.145,111.595,114.947,114.121,113.111,112.987,113.162,113.418,114.496,117.506,120.482,121.849,118.314,117.14,116.01,116.293,113.512,110.012
"64","56","    State and local","A886RG3",5.399,5.26,4.875,4.202,4.5,5.591,5.174,5.696,6.085,6.191,6.005,6.033,6.517,6.977,7.014,7.505,7.536,8.191,9.378,10.494,10.643,10.742,11.735,12.093,12.341,12.367,12.637,13.617,14.224,14.311,13.973,13.937,13.959,19.99,20.179,20.387,16.493,20.181,20.801,20.506,21.83,23.472,25.334,27.121,29.126,34.084,38.853,40.671,42.814,46.093,50.732,56.415,61.48,64.362,65.723,66.93,68.13,69.722,71.392,73.841,76.203,78.51,79.423,80.366,82.76,85.106,87.892,89.97,91.787
"65","57","      Structures","B887RG3",6.348,6.173,5.723,4.881,5.293,6.712,6.187,6.828,7.276,7.422,7.175,7.214,7.783,8.351,8.403,9.053,9.048,9.77,11.148,12.54,12.685,12.804,13.987,14.426,14.729,14.759,15.032,16.215,17.007,17.123,16.726,16.689,16.714,16.935,17.099,17.28,17.663,18.287,18.849,19.678,20.973,22.572,24.42,26.235,28.286,33.285,37.804,39.452,41.488,44.665,49.218,54.779,59.648,62.392,63.655,64.777,65.871,67.409,69.081,71.604,73.87,76.152,76.812,77.665,80.134,82.558,85.648,87.971,90.194
"66","58","      Equipment and software","A888RG3",5.873,5.932,5.455,5.595,5.184,4.87,4.849,5.001,5.788,5.507,5.835,5.729,6.448,6.446,6.342,6.144,6.548,7.862,9.581,9.765,10.406,10.482,11.457,11.582,11.682,11.728,12.756,13.478,13.062,12.974,12.549,12.459,12.501,57.053,57.385,57.68,15.181,50.067,51.616,28.161,29.317,30.988,32.245,33.107,34.138,37.491,44.625,48.424,51.66,55.612,60.287,66.327,72.975,77.063,79.271,81.144,83.165,85.117,86.663,88.218,91.258,93.649,96.636,98.296,100.007,101.786,102.687,103.111,101.786
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","auditoriums, garages, and passenger terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6. Excludes highways and streets associated with hospitals, other buildings, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","nondefense structures, which are included in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","7. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","8. Excludes the value of construction for educational facilities built at hospital sites.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","9. Excludes highways and streets associated with other nonbuilding structures, which are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","included in that category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
