"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"37","30","      Land \3\","W049RG3",6.445,6.095,5.551,5.227,5.019,4.941,4.896,4.994,5.532,5.355,5.408,5.507,5.812,6.358,6.467,6.293,6.593,7.121,8.539,9.777,9.919,10.458,11.208,11.622,12.204,12.595,13.009,14.041,14.73,14.949,15.273,15.403,15.198,15.164,15.135,15.226,15.437,15.69,15.963,16.801,17.726,18.572,19.934,21.01,22.4,27.55,31.563,33.201,36.676,37.847,41.697,45.961,50.091,53.398,57.801,59.888,60.655,59.597,60.142,63.141,64.593,65.974,67.13,67.733,72.562,74.806,76.744,80.028,81.652,83.445,84.934,87.254,90.959,93.127,95.567,98.204,100,102.663,105.114,108.672
"38","31","    Farm","B316RG3",4.453,4.139,3.558,3.086,2.853,3.517,3.584,3.582,3.684,3.681,3.461,3.186,3.627,4.497,5.329,6.001,6.326,7.289,8.813,9.813,9.545,9.49,10.762,11.04,11.093,10.799,10.977,11.924,12.399,12.049,11.945,11.931,11.893,12.037,12.26,12.514,12.926,13.411,13.829,14.517,15.609,16.591,18.002,19.476,21.041,23.374,25.664,26.57,28.372,31.067,34.483,38.396,41.873,44.519,45.897,47.671,49.211,50.922,52.801,54.749,56.688,58.477,59.321,59.677,61.679,64.023,66.584,68.088,70.268,72.887,75.949,79.312,82.855,84.387,86.952,92.083,100,108.574,113.698,115.525
"39","32","    Other \4\","W050RG3",5.547,5.396,4.897,4.174,4.228,4.753,4.708,4.953,5.274,5.343,5.248,5.485,5.831,6.326,6.703,6.766,7.18,8.151,9.837,10.92,10.785,10.23,11.584,12.046,12.067,11.7,11.604,12.686,13.347,13.385,13.056,12.855,12.896,13.173,13.455,13.65,14.017,14.541,15.096,15.901,16.98,18.461,19.785,21.006,22.531,26.972,30.607,31.442,33.432,34.507,37.376,42.454,48.017,51.87,52.004,51.522,52.288,53.85,55.854,56.987,58.355,60.571,62.09,62.785,63.48,65.288,68.217,70.466,72.781,74.371,76.613,80.031,82.781,84.709,86.597,91.53,100,107.731,115.669,122.196
"40","33","    Brokers' commissions on sale of structures","B321RG3",5.361,5.079,4.41,3.732,3.596,4.085,4.072,4.325,4.952,4.904,4.817,5.048,5.509,6.276,6.904,6.791,7.136,8.487,10.534,11.732,11.459,11.391,12.874,13.207,13.307,12.921,13.16,14.269,14.886,14.475,14.306,14.297,14.26,14.401,14.669,14.942,15.341,16,16.459,17.175,18.802,20.014,21.737,23.421,25.365,28.22,30.887,32.076,34.592,37.705,41.956,46.417,50.395,54.1,56.695,59.451,62.423,65.685,69.225,73.223,76.036,78.857,80.009,80.467,81.777,84.002,86.371,87.876,89.54,91.551,91.326,93.128,97.485,98.544,99.011,99.582,100,100.338,100.224,96.23
"41","34","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RG3",5.022,4.912,4.448,3.62,3.563,3.973,3.922,4.118,4.528,4.675,4.711,4.858,5.311,5.698,6.181,6.789,7.237,7.852,9.422,10.219,10.366,10.627,11.39,11.71,11.796,11.848,12.105,12.43,12.465,12.438,12.465,12.554,12.579,12.604,12.507,12.611,12.981,13.467,13.945,14.695,15.728,16.241,17.201,18.269,19.923,22.002,24.043,25.597,28.224,31.727,35.326,39.19,42.398,44.657,45.679,47.019,48.272,50.343,52.436,54.281,56.061,57.402,58.182,58.911,61.344,63.525,65.885,67.321,69.071,70.954,73.746,77.055,80.683,82.729,86.773,93.238,100,106.142,107.587,105.832
"43","36","  Permanent site","B943RG3",4.779,4.675,4.228,3.438,3.389,3.789,3.737,3.924,4.31,4.447,4.482,4.616,5.049,5.421,5.898,6.501,6.925,7.494,8.993,9.766,9.91,10.163,10.893,11.199,11.287,11.343,11.599,11.911,11.956,11.946,11.946,12.026,12.029,12.088,11.974,12.061,12.482,13.012,13.481,14.232,15.128,15.484,16.421,17.585,19.262,21.164,23.123,24.593,27.116,30.725,34.242,38.017,41.098,43.291,44.138,45.34,46.442,48.527,50.541,52.323,53.965,55.115,55.517,56.123,58.744,61.323,63.795,65.028,67.029,69.228,72.29,75.641,79.27,81.506,85.882,92.962,100,106.832,108.258,105.756
"44","37","    Single-family structures","B944RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.06,12.06,12.146,12.148,12.21,12.095,12.178,12.597,13.137,13.606,14.366,15.267,15.65,16.585,17.761,19.446,21.391,23.379,24.845,27.432,31.063,34.806,38.773,41.846,43.522,43.857,45.03,45.924,47.824,49.835,51.679,53.578,55.031,55.31,55.869,58.607,61.344,63.914,65.087,66.975,68.732,71.856,75.176,78.966,81.149,85.655,92.972,100,106.361,107.501,103.358
"45","38","    Multifamily structures","B292RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.618,12.619,12.675,12.68,12.733,12.613,12.72,13.181,13.722,14.234,15.023,15.974,16.303,17.314,18.539,20.324,22.279,24.316,25.972,28.398,32.293,35.057,38.451,41.78,45.614,48.125,49.507,51.393,54.283,56.423,57.928,58.09,57.467,58.68,59.687,60.996,61.62,63.157,64.898,67.823,73.659,76.19,79.823,82.049,84.743,87.988,92.875,100,110.908,114.454,121.226
"46","39","  Other structures","A863RG3",5.464,5.345,4.86,3.961,3.889,4.326,4.275,4.487,4.954,5.13,5.168,5.354,5.84,6.25,6.737,7.368,7.859,8.559,10.267,11.103,11.246,11.521,12.341,12.689,12.766,12.804,13.048,13.394,13.404,13.33,13.431,13.541,13.618,13.56,13.511,13.656,13.871,14.228,14.716,15.443,16.804,17.691,18.677,19.419,20.913,23.381,25.562,27.259,30.055,33.254,36.959,40.949,44.349,46.707,48.015,49.607,51.139,53.159,55.375,57.316,59.324,60.984,62.373,63.293,65.43,66.985,69.172,70.916,72.294,73.706,76.079,79.323,82.951,84.702,88.231,93.701,100,104.996,106.467,105.572
"47","40","    Manufactured homes","B945RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.703,40.4,40.896,40.341,42.431,43.94,43.859,43.1,41.329,39.672,39.338,37.843,35.374,34.004,32.722,31.811,27.751,24.504,24.021,23.733,22.51,22.065,22.197,23.76,24.685,24.672,24.195,25.37,27.867,31.083,32.893,35.566,38.518,42.102,45.769,47.851,49.404,49.867,49.833,50.247,50.758,51.538,53.982,56.37,58.246,59.753,60.631,63.353,68.093,72.466,74.553,75.778,76.79,78.856,80.291,81.688,82.917,84.442,92.092,100,103.926,105.047,108.904
