"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"21","13","      Other nondurable goods","DONGRA3",30.984,31.229,31.58,31.633,32.057,32.142,32.481,32.925,32.7,32.281,32.487,32.687,33.15,33.946,34.392,34.972,35.695,36.105,36.702,37.201,37.655,36.897,35.789,34.855,34.477,34.745,35.426,35.829,36.192,36.565,36.727,36.909,36.992,36.866,37.074,37.757,38.342,39.464,40.316,41.089,41.316,41.862,42.433,42.825,42.986,42.291,42.615,43.494,43.776,43.682,43.928,43.875,43.629,43.479,43.717,43.809,43.766,44.43,45.221,45.655,46.277,47.291,47.497,47.775,48.305,48.305,48.446,48.857,49.004,49.223,49.72,50.347,50.721,51.502,51.597,51.803,51.952,52.43,52.72,53.236,53.626,53.982,54.553,55.219,55.892,55.632,55.768,55.615,55.485,55.325,55.319,55.554,56.242,56.184,56.47,57.265,57.726,58.206,58.922,59.527,60.243,61.151,62.07,62.773,63.213,63.979,64.241,64.866,65.256,66.409,67.363,68.638,69.2,69.757,71.272,72.156,72.744,73.713,74.883,76.253,77.701,78.136,78.518,81.694,80.779,82.764,83.674,85.019,84.471,85.161,86.135,87.262,88.198,88.06,88.509,89.578,91.122,91.793,93.697,94.976,95.17,96.149,97.332,98.081,98.86,99.655,100.177,101.309,102.848,103.282,103.592,105.48,105.927,106.548,107.101,107.284,106.715,107.724,107.737,105.954,105.399,104.384,104.728,105.595,106.686,108,109.223,110.625,112.061,112.808,113.523,114.515
"22","14","  Services","DSERRA3",29.814,30.18,30.42,30.797,31.124,31.319,31.673,31.833,32.051,32.373,32.68,33.193,33.761,34.174,34.638,35.257,35.712,36.011,36.252,36.389,36.334,36.689,36.869,37.241,37.588,38.054,38.238,38.776,39.229,39.488,39.969,40.522,41.005,41.164,41.61,42.01,42.681,43.324,43.634,43.862,44.308,44.584,44.762,45.148,45.199,44.894,45.391,46.07,45.985,46.289,46.25,46.287,46.457,46.762,47.202,47.992,48.622,49.243,49.949,50.458,50.707,51.134,51.801,52.391,53.338,53.822,54.546,54.985,55.175,55.487,55.935,56.538,57.205,57.748,58.24,58.835,59.545,60.06,60.858,61.412,61.728,61.958,62.437,63.081,63.356,64.146,64.639,64.461,64.505,65.076,65.237,65.624,66.542,66.969,67.714,68.499,68.783,69.188,69.96,70.427,70.976,71.441,71.961,72.286,72.63,73.287,73.809,74.226,74.953,75.451,75.854,76.301,76.921,77.443,78.364,79.162,80.042,81.018,82.003,82.574,83.271,84.213,85.224,86.269,87.574,88.591,89.413,90.197,90.621,91.006,91.251,91.657,92.251,92.738,93.063,93.428,93.811,94.312,94.921,95.399,96.164,96.707,97.372,98.293,98.917,99.689,100.439,100.955,101.612,102.362,102.841,103.582,104.107,104.457,104.75,105.081,105.465,105.344,104.884,104.576,103.958,103.524,103.493,103.599,103.853,104.496,104.912,105.25,105.453,105.941,106.449,106.506
"23","15","    Household consumption expenditures (for services)","DHCERA3",31.219,31.609,31.855,32.243,32.582,32.781,33.136,33.323,33.547,33.874,34.176,34.688,35.306,35.739,36.252,36.853,37.371,37.686,37.991,38.131,38.074,38.463,38.675,39.069,39.461,39.957,40.139,40.692,41.145,41.424,41.945,42.539,43.068,43.239,43.71,44.086,44.808,45.487,45.826,46.04,46.476,46.779,47.036,47.414,47.444,47.107,47.574,48.266,48.165,48.502,48.395,48.35,48.464,48.736,49.155,49.943,50.547,51.193,51.873,52.331,52.56,52.949,53.594,54.139,55.173,55.652,56.397,56.858,56.965,57.18,57.623,58.242,58.928,59.48,59.954,60.552,61.2,61.664,62.424,62.947,63.263,63.401,63.804,64.39,64.623,65.306,65.667,65.418,65.42,65.983,66.069,66.392,67.204,67.526,68.204,68.933,69.238,69.652,70.396,70.854,71.365,71.788,72.265,72.576,72.922,73.581,74.112,74.494,75.161,75.646,76.044,76.578,77.37,77.93,78.89,79.683,80.513,81.442,82.363,82.856,83.56,84.516,85.545,86.594,87.849,88.895,89.625,90.341,90.763,91.09,91.283,91.627,92.177,92.592,92.778,93.056,93.474,93.945,94.588,95.096,95.87,96.468,97.188,98.143,99.014,99.739,100.448,100.798,101.429,102.096,102.415,103.167,103.744,104.161,104.304,104.481,104.729,104.533,103.977,103.482,102.924,102.574,102.51,102.54,102.775,103.4,103.908,104.345,104.548,105.043,105.466,105.472
"24","16","      Housing and utilities","DHUTRA3",34.451,34.791,35.342,35.769,35.982,36.199,36.618,36.94,37.346,37.767,38.152,38.753,39.203,39.766,40.191,40.986,41.141,41.652,42.263,42.578,42.884,43.698,44.252,44.723,44.717,45.304,45.579,45.58,45.901,46.193,46.729,47.487,47.587,47.348,48.117,48.443,49.385,49.937,50.341,50.945,51.616,51.781,51.894,52.441,52.986,53.353,53.827,54.297,53.809,54.677,54.636,54.889,55.124,54.728,54.709,54.903,54.972,55.609,56.555,57.204,57.176,57.968,58.27,58.875,59.886,59.58,60.422,61.196,60.847,61.265,61.777,62.34,62.53,63.176,63.746,64.261,64.932,65.169,65.856,66.294,66.702,66.793,67.206,68.276,67.493,68.411,68.886,69.011,69.074,70.087,70.34,70.421,70.556,71.206,71.536,72.22,72.505,72.645,73.668,74.267,75.14,75.947,76.256,76.592,76.919,77.846,78.621,78.706,79.506,79.661,79.495,80.207,80.475,81.185,81.682,82.783,82.915,83.942,84.621,84.594,85.565,86.447,87.355,87.325,87.707,88.853,89.633,91.089,91.582,91.511,91.903,91.845,91.851,92.25,92.414,92.979,93.171,93.438,93.478,94.025,94.472,95.099,95.7,97.092,98.328,99.705,100.868,101.099,100.871,102.212,102.964,102.615,102.636,102.715,102.98,102.787,103.456,103.436,103.053,104.014,104.26,104.344,104.68,104.989,105.118,105.253,105.859,105.664,105.274,105.464,106.183,105.347
"25","17","      Health care","DHLCRA3",29.002,29.368,29.546,29.866,30.399,30.564,31.15,31.991,32.311,32.92,33.621,34.181,34.709,35.301,35.794,36.34,37.344,38.014,38.376,38.63,38.976,39.352,39.489,39.785,40.81,41.442,41.25,42.216,42.621,43.048,43.447,43.859,44.325,45.317,45.791,45.93,46.751,47.482,47.569,47.871,48.143,48.824,49.325,49.768,49.847,49.472,50.668,51.714,52.22,53.149,53.28,52.776,52.445,52.804,53.063,53.625,54.005,54.603,54.731,54.929,55.268,55.273,55.509,55.753,56.205,56.636,57.493,58.241,58.532,58.593,58.997,59.589,60.291,61.02,61.86,62.341,63.071,63.557,64.172,64.362,64.519,64.305,64.32,64.938,65.751,66.546,67.158,67.313,67.257,67.653,68.128,68.842,69.422,69.986,70.375,70.305,70.413,70.303,70.377,70.414,70.542,70.771,71.011,71.387,71.845,72.177,72.611,72.954,72.987,73.705,73.978,74.906,75.309,75.715,76.501,77.227,78.191,78.563,78.923,78.975,79.145,79.459,80.103,80.862,81.333,82.407,82.968,83.843,85.052,86.016,87.285,88.679,90.427,91.715,92.423,92.906,93.276,93.487,94.04,94.577,95.263,96.29,97.516,98.263,99.509,99.799,100.302,100.391,101.459,101.788,101.601,102.507,103.625,103.97,104.283,104.974,105.87,106.632,107.109,107.154,107.657,108.609,109.181,109.469,108.799,109.876,110.545,111.719,111.877,112.655,112.483,112.796
"26","18","      Transportation services","DTRSRA3",30.334,30.797,31.263,31.814,31.812,31.94,32.405,32.395,32.672,33.271,33.744,34.304,34.918,35.225,35.603,35.941,36.042,36.039,36.015,35.948,36.365,36.335,36.174,35.975,35.989,36.346,36.995,37.47,38.093,38.399,38.52,39.123,40.345,40.998,41.812,41.868,41.77,42.487,42.527,42.22,43.309,43.772,43.621,43.405,42.238,40.554,40.685,40.311,40.185,39.234,39.385,38.887,38.295,38.205,38.506,39.254,40.274,40.677,41.844,43.091,44.488,45.763,46.83,48.253,49.795,51.071,51.634,52.255,52.9,53.008,53.795,53.961,54.562,55.463,56.04,56.362,57.367,58.345,59.315,60.247,60.097,60.127,60.243,60.097,60.237,60.396,60.151,59.527,57.573,57.248,56.882,57.194,58.259,59.218,61.475,61.525,61.833,62.842,63.958,65.459,67.102,68.71,70.344,72.021,72.985,73.801,75.37,76.992,78.907,80.144,81.489,83.123,85.489,86.53,87.848,88.211,89.012,90.112,91.135,92.308,93.595,94.727,96.6,97.669,98.941,99.989,100.596,100.881,100.91,100.413,98.533,96.863,97.132,96.297,96.195,96.26,96.598,96.141,97.025,97.541,98.5,99.352,99.288,99.786,99.872,100.148,100.322,99.658,99.203,99.746,99.643,100.702,101.142,101.062,100.629,99.877,98.481,96.71,94.46,90.82,88.07,86.886,86.091,85.989,86.594,87.391,87.969,87.999,87.898,87.858,87.922,88.009
"27","19","      Recreation services","DRCARA3",17.468,17.773,17.578,17.767,18.177,18.209,18.333,18.376,18.475,18.725,18.889,19.505,19.48,19.706,20.003,20.423,21.119,21.549,21.672,22.048,22.31,22.744,23.302,23.876,24.031,23.906,24.295,24.757,25.018,25.485,26.333,26.841,26.724,27.221,27.86,28.429,28.567,28.634,29.149,29.231,29.818,30.141,30.488,30.763,31.029,30.796,31.236,32.246,32.742,33.847,34.666,34.684,35.132,35.383,35.793,36.223,37.175,38.357,39.265,39.907,40.418,40.845,41.522,42.197,43.054,43.905,44.551,45.402,45.644,45.833,46.291,47.329,47.631,47.966,48.501,49.405,50.859,52.438,53.796,54.792,55.647,56.156,56.606,56.693,57.782,58.777,58.991,59.312,58.23,57.946,58.137,58.868,60.939,61.615,62.367,63.682,64.587,65.524,66.994,67.173,67.834,68.965,70.24,70.751,72.45,74.342,75.472,76.659,76.865,77.676,78.866,79.027,79.794,80.36,80.684,81.515,82.518,82.591,83.62,84.364,85.113,86.481,88.364,89.386,89.338,90.128,90.279,90.084,90.809,89.883,89.399,89.335,89.939,90.082,90.322,91.335,91.181,92.497,93.978,95.426,97.009,98.067,98.671,98.775,99.576,99.903,99.857,100.664,102.009,102.768,103.506,105.986,106.582,107.445,108.281,108.106,108.056,107.5,105.526,103.738,102.984,102.134,101.232,101.699,102.343,103.399,105.339,105.018,104.487,106.816,108.767,109.449
"28","20","      Food services and accommodations","DFSARA3",38.179,39.007,38.732,38.955,39.814,40.255,40.313,39.857,39.444,39.729,40.117,40.776,42.093,42.712,43.497,43.989,45.291,44.872,45.407,45.314,44.609,44.849,44.715,45.055,45.484,46.558,46.515,48.123,48.918,49.22,50.004,49.798,51.878,51.089,50.24,50.025,51.221,52.656,53.812,54.156,54.821,54.003,54.202,55.387,54.88,54.172,54.3,55.16,55.709,55.544,54.887,54.552,54.501,55.349,55.916,56.385,56.895,57.029,57.777,57.752,58.679,58.391,59.375,59.358,59.507,60.093,59.762,59.584,60.679,61.291,61.525,62.358,63.527,64.298,64.563,66.241,66.288,67.803,69.487,70.437,70.143,69.98,70.607,70.855,72.456,73.051,73.562,72.542,71.959,73.35,73.223,73.263,75.112,73.514,74.002,76.598,75.896,76.386,77.089,76.699,76.68,77.645,78.248,78.354,77.807,77.937,78.044,77.893,77.908,78.298,78.411,79.121,79.903,79.879,80.727,80.169,81.063,82.065,82.376,83.528,83.247,83.751,84.089,86.065,87.468,88.238,88.55,88.265,88.923,88.06,87.585,87.46,88.742,89.432,89.602,89.751,90.399,92.121,93.687,94.63,95.662,95.814,96.717,97.701,98.386,99.746,100.426,101.441,103.148,102.463,103.078,104.593,104.3,104.419,104.587,105.547,104.274,104.74,103.684,102.275,100.886,99.904,99.703,99.775,101.799,102.865,103.621,104.542,106.309,106.592,107.288,108.943
"29","21","      Financial services and insurance","DIFSRA3",23.089,23.377,23.513,23.948,23.871,24.144,24.512,24.867,25.278,25.245,25.208,25.225,26.118,26.339,27.009,27.361,27.906,28.141,28.311,28.607,27.957,28.37,29.27,30.095,31.276,31.576,31.692,32.209,32.721,33.087,33.594,34.259,34.718,35.083,35.714,36.476,36.712,37.58,37.46,37.447,37.339,38.773,38.993,38.665,39.027,38.099,38.845,39.748,39.075,38.72,38.136,38.533,39.238,40.317,42.044,44.951,46.852,47.408,48.286,47.953,47.149,47.558,48.617,48.961,51.75,52.769,53.982,54.169,54.426,54.667,54.784,55.52,55.59,55.161,54.773,54.869,54.834,54.919,54.882,55.453,56.204,56.64,57.474,58.157,57.977,58.34,58.587,58.831,61.745,62.631,62.177,62.753,63.617,63.133,64.139,65.419,67.52,69.069,69.806,70.873,70.85,69.639,69.505,69.19,69.082,69.884,70.558,71.03,72.211,72.891,72.593,73.371,74.113,74.273,76.143,76.549,77.434,79.254,80.903,82.638,83.529,85.691,87.481,90.463,94.927,95.184,95.516,95.793,94.459,94.42,94.09,95.786,94.918,94.283,94.493,93.686,93.19,93.937,94.908,95.475,96.077,96.149,96.467,98.161,98.378,99.554,100.801,101.267,102.04,102.276,102.298,103.691,104.546,105.829,106.464,106.866,106.847,105.702,104.84,102.013,99.238,97.325,96.01,94.636,95.507,96.04,95.346,95.583,96.6,96.923,97.761,97.031
"30","22","      Other services","DOTSRA3",34.318,34.608,34.867,35.33,35.805,35.875,36.114,35.808,35.878,35.971,35.916,36.422,37.025,37.228,37.742,38.465,38.7,38.896,38.715,38.409,37.859,37.686,37.014,37.193,37.267,37.539,37.843,38.327,38.786,38.689,39.134,40.126,40.473,40.716,41.184,42.051,42.896,43.286,43.609,43.336,43.419,43.357,43.82,44.068,43.589,43.257,43.041,43.797,43.493,43.292,43.05,42.985,43.208,43.824,44.22,45.163,45.787,46.856,47.141,48.135,48.458,48.578,49.668,50.642,51.473,52.61,53.532,53.42,53.09,52.829,53.46,53.991,56.081,56.834,57.435,58.013,59.057,58.837,59.651,60.1,60.496,61.106,61.635,61.858,62.379,62.85,62.897,61.249,60.355,60.082,59.978,59.97,61.111,62.083,63.1,63.434,62.918,63.217,64.109,64.738,65.493,65.748,66.618,66.828,67.238,67.578,67.277,67.771,68.935,69.139,71.01,69.881,71.828,72.941,74.483,76.239,78.111,79.185,81.209,81.493,82.82,83.966,84.977,86.286,88.146,89.985,91.869,92.46,92.822,94.936,94.92,94.433,94.875,95.17,94.595,94.744,96.616,96.831,97.487,97.111,98.256,98.56,99.236,99.492,100.03,99.653,99.835,100.482,101.373,102.544,102.864,103.683,104.893,105.55,104.617,104.425,104.742,103.711,102.932,102.976,102.441,101.358,101.235,101.354,101.219,101.61,101.968,102.732,102.794,103.175,102.956,103.331
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",7.987,8.029,8.135,8.28,8.394,8.49,8.699,8.602,8.695,8.858,9.073,9.405,9.387,9.495,9.415,9.929,9.747,9.812,9.49,9.543,9.529,9.503,9.395,9.456,9.355,9.422,9.546,9.762,10.028,10.049,10.051,10.088,10.058,10.071,10.16,10.576,10.615,10.748,10.727,10.962,11.3,11.276,10.825,11.121,11.292,11.336,11.851,12.163,12.234,12.178,12.655,13.3,13.861,14.338,14.814,15.367,16.041,16.241,16.991,17.874,18.249,18.962,19.695,20.637,20.404,20.844,21.176,21.261,22.375,23.786,24.209,24.492,24.796,25.138,25.79,26.227,27.65,28.768,29.96,30.874,31.153,32.716,34.312,35.811,36.739,39.283,42.087,43.246,44.103,44.827,46.483,48.157,51.299,54.031,56.296,58.405,58.262,58.455,59.924,60.637,62.117,63.643,65.251,65.928,66.239,66.86,67.159,68.5,70.806,71.666,72.215,70.381,66.516,66.041,65.981,66.941,69.118,71.314,73.889,76.405,76.945,77.511,78.11,79.064,81.59,81.953,84.959,87.399,87.863,89.627,91.083,92.947,94.606,96.795,100.475,102.966,102.554,103.817,103.582,103.291,103.857,102.925,102.198,102.236,96.344,98.366,100.222,105.068,106.393,109.335,114.028,114.509,113.619,112.192,116.514,120.993,125.083,127.063,129.251,134.153,131.919,129.124,130.057,132.405,133.224,134.409,132.034,129.39,129.577,129.829,132.863,134.456
"32","24","      Gross output of nonprofit institutions \2\","DNPERA3",25.819,26.177,26.422,26.826,27.197,27.28,27.795,28.099,28.581,29.264,29.856,30.371,30.831,31.173,31.306,31.81,32.104,32.429,31.902,32.271,32.243,32.652,32.554,32.775,33.2,33.702,33.591,34.649,35.272,35.329,35.687,35.962,36.335,36.884,36.842,37.559,38.177,39.069,39.188,39.509,39.823,40.19,39.893,40.475,40.678,40.522,41.676,42.215,42.387,42.862,43.118,43.518,43.875,44.613,44.98,45.599,45.994,46.287,46.463,46.978,47.328,47.767,48.175,48.812,48.936,49.262,49.994,50.644,51.443,52.205,52.379,52.74,53.277,53.94,54.704,55.154,56.136,56.871,57.835,58.201,58.41,58.949,59.562,60.37,61.192,62.471,63.715,63.916,64.035,64.677,65.44,66.457,67.445,68.356,69.221,69.615,69.904,70.088,70.654,70.751,71.058,71.577,72.153,72.561,72.357,72.604,72.852,73.361,73.685,74.518,74.978,75.761,75.239,75.446,76.118,76.887,78.341,79.142,80.225,81.048,81.589,82.029,82.671,83.558,84.289,85.114,86.081,87.184,88.174,89.116,90.335,91.656,93.25,94.701,95.892,96.395,96.303,96.473,96.598,96.809,97.375,97.917,98.819,99.557,99.139,99.675,100.17,101.016,102.163,102.896,103.481,104.352,105.477,105.52,105.829,106.846,107.993,108.817,109.638,110.442,110.483,110.69,111.169,111.755,111.441,113.03,113.554,114.56,114.062,114.447,114.357,114.985
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",36.982,37.625,37.918,38.459,38.992,38.98,39.625,40.415,41.21,42.28,43.068,43.483,44.441,44.926,45.341,45.401,46.326,46.859,46.399,47.043,47.011,47.889,47.897,48.226,49.276,50.163,49.705,51.43,52.188,52.264,52.977,53.46,54.257,55.332,55.086,55.761,56.925,58.463,58.739,58.952,58.974,59.743,59.964,60.589,60.686,60.297,61.677,62.2,62.413,63.434,63.148,62.909,62.758,63.471,63.502,63.912,63.777,64.062,63.489,63.405,63.611,63.618,63.568,63.722,64.178,64.316,65.253,66.284,66.587,66.584,66.503,66.865,67.507,68.323,69.05,69.435,69.905,70.23,70.886,70.802,70.94,70.725,70.642,70.958,71.661,72.139,72.475,72.181,71.947,72.545,72.872,73.569,73.593,73.734,74.034,73.773,74.24,74.432,74.679,74.556,74.444,74.608,74.827,75.143,74.766,74.89,75.122,75.355,75.021,75.848,76.281,77.938,78.533,78.973,79.899,80.612,81.828,82.147,82.705,82.929,83.468,83.863,84.521,85.387,85.473,86.47,86.695,87.314,88.5,89.138,90.27,91.392,92.962,94.147,94.447,94.258,94.287,94.094,94.347,94.728,95.297,96.316,97.742,98.706,100.027,100.094,100.157,99.722,100.816,100.854,100.156,101.15,102.898,103.394,102.468,102.427,102.687,103.165,103.575,103.161,103.881,104.954,105.312,105.409,104.787,106.475,107.777,109.765,109.083,109.502,108.565,108.928
"34","26","Gross private domestic investment","B006RA3",23.515,23.328,23.867,22.582,21.875,21.943,22.318,21.026,23.756,24.492,24.814,24.038,25.738,27.313,27.702,27.846,29.614,30.998,29.786,30.926,28.952,28.809,27.184,27.442,22.622,21.836,23.686,24.337,26.857,28.002,28.054,28.249,29.639,31.93,33.67,32.719,33.368,35.659,36.76,37.596,37.59,37.503,36.773,36.089,35.827,32.595,30.11,33.172,36.468,34.732,36.888,35.457,31.763,31.735,31.365,28.572,29.589,32.445,34.626,38.272,42.278,43.704,44.72,43.986,42.536,43.27,42.792,44.465,44.373,43.389,42.028,42.094,43.38,43.44,43.484,46.875,44.234,45.31,45.601,46.205,47.975,47.415,46.858,46.377,46.833,46.846,45.744,42.851,41.106,40.9,41.918,43.523,42.555,45.358,45.827,47.277,48.388,48.768,48.734,51.306,53.519,56.639,55.621,58.214,58.805,57.224,56.673,58.269,59.036,62.094,65.225,65.048,66.567,70.817,72.076,73.227,76.723,75.805,77.977,80.485,83.019,82.729,84.805,87.814,86.586,92.581,91.135,91.181,86.364,86.084,84.259,79.386,82.028,83.018,83.23,83.242,83.343,83.865,86.932,90.222,90.693,94.634,95.849,97.82,99.893,98.113,99.207,102.787,104.33,104.183,102.714,99.741,98.75,100.953,100.184,97.759,94.633,93.176,89.061,80.314,68.61,64.317,64.782,70.067,75.037,79.562,81.333,79.848,80.6,81.869,82.135,85.964
"35","27","  Fixed investment","B007RA3",23.122,23.223,23.61,23.013,22.931,22.421,22.82,22.842,23.353,24.319,24.779,25.456,26.601,27.07,27.368,28.641,29.851,30.11,30.022,29.72,29.018,28.601,28.097,26.504,24.881,24.531,25.144,25.613,26.674,27.13,27.414,28.825,29.867,31.534,31.942,32.518,32.791,35.171,36.182,36.953,37.234,36.945,37.616,37.265,36.739,33.543,33.874,35.22,35.478,35.712,35.716,35.586,34.507,33.301,32.373,32.321,33.027,34.302,36.352,38.482,39.689,41.321,42.202,42.96,43.292,43.836,43.483,44.304,44.368,44.262,44.013,44.306,43.428,44.205,45.146,45.14,45.081,45.963,46.14,46.603,47.067,47.131,47.951,47.162,47.748,46.644,46.14,44.826,43.291,43.226,43.37,43.452,43.902,45.628,46.321,47.764,48.042,49.117,49.988,52.208,52.902,54.174,54.712,56.21,57.493,57.275,58.031,59.241,60.738,62.713,64.164,65.236,66.51,67.943,70.56,71.166,73.308,75.863,77.307,79.67,81.148,83.047,84.979,85.457,87.955,90.167,90.487,90.764,90.227,88.816,87.875,85.649,84.863,84.535,84.429,83.82,83.937,86.121,88.919,90.584,90.405,93.193,95.158,96.765,97.949,99.692,100.977,101.381,103.749,103.277,101.952,100.52,100.223,101.096,100.749,99.491,97.363,96.078,92.989,86.48,78.473,74.91,75.041,74.327,74.541,77.935,78.38,79.812,80.052,81.829,84.362,85.046
"36","28","    Nonresidential","B008RA3",19.672,19.885,20.422,20.3,20.182,20.072,20.174,19.423,19.6,19.89,19.97,20.397,21.083,21.432,21.767,22.905,23.975,24.954,25.373,25.572,25.544,25.487,25.19,24.486,22.984,22.383,22.589,22.799,23.211,23.494,24.008,24.487,25.438,26.172,26.72,27.615,27.888,30.24,31.32,32.353,33.057,32.958,33.985,34.07,34.444,32.696,32.942,33.635,34.177,34.866,35.715,36.574,35.709,34.432,33.269,32.6,31.99,32.381,33.845,36.037,37.212,39.062,40.349,41.322,41.802,42.397,41.749,42.465,41.882,40.834,40.236,40.65,39.532,40.479,41.783,41.686,42.007,43.039,43.265,43.721,44.46,45.092,46.384,45.7,46.307,45.507,45.797,44.922,43.763,43.343,42.933,42.707,42.515,44.201,45.094,46.451,46.746,47.99,48.525,50.562,51.065,52.097,53.073,55.424,57.689,58.089,58.479,59.655,61.136,62.893,64.986,66.744,68.447,70.146,73.722,74.315,76.885,79.699,80.9,83.57,85.509,87.906,90.432,90.714,94.085,97.556,98.638,99.027,98.096,95.517,93.924,90.921,88.755,87.33,86.944,85.419,85.193,87.543,89.572,90.851,90.128,92.565,95.089,97.178,98.055,99.498,100.921,101.526,105.886,107.797,108.938,109.488,111.223,114.118,116.631,118.185,117.944,117.269,114.238,107.05,97.447,93.341,92.556,91.678,93.023,97.081,99.725,101.822,102.342,104.889,108.782,109.244
"37","29","      Structures","B009RA3",72.087,72.659,76.085,75.553,74.959,74.192,74.462,73.588,73.404,73.214,72.951,72.76,74.662,75.081,75.247,76.445,78.942,81.408,83.248,82.482,82.018,81.68,78.135,77.186,73.213,70.455,70.853,70.901,72.812,72.592,73.329,73.558,73.307,76.049,77.201,77.757,77.607,85.196,90.815,94.614,94.087,95.449,99.899,102.958,104.548,102.253,102.762,105.785,105.721,109.705,112.472,120.746,116.906,113.096,106.861,104.435,100.175,95.42,97.652,100.37,106.076,111.401,114.917,116.107,121.028,120.962,118.457,119.932,116.932,105.913,102.136,102.76,100.357,101.537,105.766,107.774,103.705,105.858,104.428,104.166,105.845,104.65,108.318,107.653,110.021,109.482,109.081,104.163,101.92,99.143,92.709,90.827,89.684,89.69,90.466,91.574,89.242,89.101,89.531,91.2,87.474,92.472,92.365,93.307,95.652,97.565,98.275,97.447,99.185,101.358,102.607,107.828,108.777,107.813,111.88,112.649,111.433,117.435,117.481,117.294,116.811,115.395,115.306,116.684,118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,115.08,122.401,129.246,131.584,131.86,134.869,133.594,130.057,118.078,106.721,100.894,92.013,85.704,87.261,88.169,90.399,86.974,91.511,94.631,92.874
"38","30","      Equipment and software","B010RA3",11.332,11.474,11.655,11.593,11.539,11.508,11.575,10.972,11.148,11.43,11.527,11.941,12.395,12.68,12.979,13.934,14.697,15.378,15.587,15.861,15.882,15.862,15.968,15.383,14.356,14.074,14.231,14.429,14.622,14.919,15.338,15.778,16.73,17.144,17.553,18.369,18.655,20.112,20.535,21.119,21.884,21.621,22.115,21.825,22.009,20.527,20.716,21.049,21.613,21.813,22.329,22.13,21.735,20.906,20.524,20.15,20.082,21.114,22.342,24.262,24.734,25.957,26.832,27.691,27.531,28.166,27.824,28.376,28.169,28.574,28.461,28.813,27.965,28.804,29.599,29.213,30.124,30.919,31.364,31.89,32.442,33.297,34.153,33.513,33.819,33.032,33.405,33.19,32.266,32.224,32.744,32.781,32.744,34.575,35.43,36.743,37.427,38.816,39.338,41.324,42.484,42.818,43.922,46.393,48.538,48.66,48.977,50.456,51.83,53.442,55.606,56.653,58.432,60.58,63.946,64.486,67.764,69.84,71.257,74.486,76.91,80.111,83.187,83.219,86.812,89.896,90.113,90.46,90.18,86.853,84.67,84.048,82.967,82.74,83.495,81.954,81.943,84.144,86.818,88.603,87.837,90.666,93.663,96.385,96.951,99.015,101.699,102.334,106.721,107.314,107.855,108.471,109.728,110.781,111.475,112.69,112.22,109.945,106.148,97.33,88.76,87.812,89.194,91.7,96.309,101.463,104.873,106.925,109.174,110.839,115.077,116.546
