"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"48","40","    Farm","B018RX1",-5.9,-13.6,-26.4,-6.2,-2.9,7.4,27.4,1.3,-10.8,8.2,10.1,7.2,6.3,-3,2.6,0.7,-2.1,1.4,-11.2,-2.9,-20.1,7.2,-2.2,8,5.9,-3.4,2.7,-4.9,5.1,-13.3,-3.1,-0.9,4,-1.3,0.4,-2.5,3.2,17.7,7,3.7,-6.9,0.2,4.6,2.6,3.8,-8.2,-6.3,-4.1,5.2,-5,-2.5,-0.9,-6.9,3.5,5.1,2.3,0.2,-0.9,-4.9,-0.3,4.5,0.8,-5.7,-5.2,-7.8,-8.7,-6,-4.9
"49","41","    Nonfarm","A015RX1",71.2,50.1,32.8,22.9,6.2,19.8,35,31.7,53.3,95.7,65.5,79.8,110.6,45.6,57.6,64,90,39.3,53.5,100.3,36.5,93.7,64.3,50.5,-40.1,-7.4,-33.1,-85.5,-19.5,25.5,22.6,33.6,27.5,-2.3,2.5,41.3,49.4,60.2,55.7,68.1,98.4,15.3,7.2,78.4,62.3,80.4,73.9,36.2,12,50.3,38.9,13.7,-4.8,-18.1,-44.2,-83.3,-162.6,-182.7,-173.9,-56,35.5,64,98.8,44.7,59.7,51,5.5,63.6
"50","42","Net exports of goods and services","A019RX1",-117,-114.6,-81.9,-81.5,-101.6,-108.9,-134.3,-97.9,-125,-123.2,-141.7,-169.3,-209.9,-250.8,-273,-276.3,-318.8,-350.7,-374.2,-382,-423.8,-439.2,-467,-475.3,-466.6,-456.1,-476.3,-488.4,-510.2,-534.6,-553.9,-595.2,-584.9,-612.4,-602.8,-614.6,-632.2,-686.9,-705.7,-726.6,-714.8,-709.3,-721.4,-745.4,-732.8,-733.2,-756.8,-694.7,-703.2,-689.4,-638.1,-564.6,-550.2,-486.2,-464.6,-478,-404.2,-331.8,-352.4,-346.9,-376.8,-437.4,-458.7,-414.2,-424.4,-416.4,-402.8,-405.8
"51","43","  Exports","B020RX1",815.6,826.8,862.8,875.2,886.2,901.1,908.4,965.3,983.7,1022.7,1046.4,1044.5,1049.5,1037.4,1032.6,1071.5,1063.3,1075.5,1103.7,1131.3,1150.8,1183.5,1212.4,1202.9,1187.1,1148.3,1089.2,1058.5,1075.4,1104.6,1112.3,1101,1090.8,1087.3,1116.8,1169.1,1197,1215.7,1224.7,1252.8,1276.2,1303.6,1303.9,1336.6,1388.7,1412.1,1414.2,1473.5,1496.5,1521.3,1578,1621.9,1643.9,1693.9,1678.7,1580.6,1451.1,1449.4,1497.3,1578.3,1606.2,1645,1684.8,1716.8,1749.6,1765,1785.2,1805.6
"52","44","    Goods","A253RX1",555,564.3,585.9,594,606.5,612.9,624.3,658.2,680.9,712.6,733.5,734.6,736.6,719.2,720.5,749.3,734.6,742.9,767,792.2,809.9,835.2,870.7,857.7,846.3,808,763.9,746.5,745.9,772,775.6,757.3,760.5,760,774.7,810.4,823.6,837.4,848,861.4,879.2,908.2,905.7,931.3,970.2,987.8,988.3,1019.6,1050.7,1070.1,1102.7,1129,1154.3,1193,1185.9,1094.8,983.4,976.1,1024.4,1090.5,1122.1,1153.8,1178.8,1204.9,1235.6,1243.2,1258.3,1273.8
"53","45","    Services","A646RX1",262.7,264.3,279.3,283.8,281.5,290.5,285.4,309.2,303.5,310.2,312.6,309.4,312.5,318.7,312.2,322.2,329.2,333.1,336.9,339.1,340.7,348,340.9,344.5,340.2,340,325.2,311.8,329.5,332.4,336.6,343.8,330.3,327.2,342,358.8,373.4,378.3,376.8,391.4,397,395.4,398.2,405.4,418.5,424.3,425.8,453.9,445.9,451.3,475.3,492.9,489.6,500.9,492.9,485.8,467,472.3,472.5,487.9,484.6,491.8,506.5,512.4,514.6,522.4,527.5,532.5
"54","46","  Imports","B021RX1",932.6,941.5,944.7,956.8,987.9,1010,1042.7,1063.3,1108.7,1145.9,1188.1,1213.8,1259.3,1288.2,1305.5,1347.8,1382.1,1426.1,1477.9,1513.3,1574.7,1622.7,1679.4,1678.1,1653.7,1604.4,1565.6,1546.9,1585.7,1639.2,1666.2,1696.2,1675.7,1699.6,1719.6,1783.8,1829.2,1902.6,1930.4,1979.4,1990.9,2012.9,2025.3,2082.1,2121.5,2145.2,2170.9,2168.2,2199.8,2210.7,2216,2186.5,2194.1,2180.1,2143.3,2058.6,1855.3,1781.2,1849.7,1925.2,1983,2082.4,2143.5,2131,2173.9,2181.4,2187.9,2211.5
"55","47","    Goods","A255RX1",754.7,765.1,766.7,775.4,803,823.2,851,871.7,909.3,943.8,978.2,1000.2,1037.2,1061.5,1073.6,1113.1,1143.5,1183.6,1229.9,1262.8,1311.7,1353,1400.8,1401.2,1380.1,1324.9,1299.5,1287.8,1313.2,1369,1394.3,1412.3,1396.8,1433.2,1439.2,1490.3,1525.8,1592.5,1618.5,1660.4,1674.9,1694.9,1706.3,1755.7,1782.8,1805,1829.6,1818.9,1856.1,1863.8,1865.3,1839.2,1836.4,1825.9,1783.1,1694,1508.8,1436.1,1501.6,1577.4,1631.5,1728.5,1779.8,1777.4,1818.4,1825.4,1827.9,1846.5
"56","48","    Services","B656RX1",180.8,178.5,180.3,184,187,188.5,193.2,192.5,200.4,202.6,210.5,214,222.7,227.2,232.6,235,238.9,242.6,247.8,250.2,262.8,269.4,278.2,276.4,273,280.1,266.2,259,272.5,270,271.8,283.8,278.9,266.6,280.3,293.2,303.1,310.1,311.9,319,316,318,318.9,326.2,338.6,340.1,341.3,349.5,343.8,346.9,350.6,347.1,357.8,354,361.1,366.1,347,344.8,348.4,348.8,352.8,355.6,365.5,355.6,357.5,357.9,362.2,367.1
"57","49","Government consumption expenditures and gross investment","A822RX1",1891.6,1897.9,1893.7,1872.5,1884.5,1911.6,1909.7,1925.9,1929.4,1946,1948.2,1951.5,1939.7,1981.9,2000.2,2018.1,2028.4,2036.9,2063.3,2095.9,2078.7,2106.4,2099.8,2106.2,2137.3,2181.7,2177.8,2216.4,2250.4,2272,2290.4,2305.7,2300.9,2335.1,2342,2343.7,2354.9,2363.5,2372.1,2357.6,2359.9,2362.4,2383.9,2373.4,2397.1,2399.1,2402.7,2409.4,2406.7,2426.8,2447.9,2455.3,2473.9,2484.5,2510.7,2520.5,2509.6,2546,2554.2,2548.5,2540.6,2564,2570.3,2552.1,2513.9,2508.2,2507.6,2478.5
"58","50","  Federal","A823RX1",715.3,712.5,707.6,681.1,695.3,705.2,692.7,690.7,681.4,693.5,691.3,690.3,668.8,687.2,681.5,688.1,683.6,683.6,697.9,713.4,685.2,712.6,698.8,695.6,710.4,725.6,730.5,739.3,756.9,774.4,786.7,800,800.2,838.8,839.6,845.7,856.6,861.4,876.4,865.6,869.2,870,890.4,875.6,900.5,892.8,892,894.4,883.6,898.9,919.7,922.2,943.8,955.1,982,1003.5,995.2,1029.2,1043.9,1049.6,1056.9,1079.4,1087.8,1079.6,1053.3,1058.3,1063.7,1043.7
"59","51","    National defense","A824RX1",484,483.2,477.4,462.4,471.4,477.8,467.7,464.7,449.7,460.3,458.1,460.6,433.2,449.8,455.4,451.8,446.3,446.6,459.8,470.7,442.8,463.3,453.7,454.1,462.1,468.5,472.8,479.3,489.7,500.9,509.4,521.2,517.1,560.7,554.1,565.1,573.5,576.5,593.2,578.4,583.6,588,603.7,580.9,595.6,597.2,594.3,606.5,595.3,607.3,622.3,622.4,634.7,643.1,669.7,683.2,669.9,695.7,709.5,707.3,708.2,718.6,728.6,717.7,694,705.9,714.6,691.1
"60","52","      Consumption expenditures","A997RX1",430,428.8,427.1,412.1,416.6,423,415.7,418.8,407.8,418.1,410.2,412.8,390.5,404.6,405,404.8,402.7,397.9,408.3,421.4,393.4,414.4,403.4,404.3,413.3,416.4,419.2,425.3,435.7,441.6,446.5,459.6,455.4,496.2,487.6,497.1,505.6,507,518.9,505.9,512.5,513.6,526.9,506.4,519.2,515.9,516.7,524.5,515.9,522.3,536.8,537,547.3,545.6,567.2,578.4,570.7,590.3,601.9,603,602.7,609.8,618.1,605.3,594,607.1,613.1,594.7
"61","53","      Gross investment","A788RX1",54.3,54.5,51.4,50.9,54.5,54.7,52.3,47.7,44.3,44.8,49.1,49,44.4,46.7,50.9,48.2,45.5,49.3,51.9,50.4,49.9,49.9,50.9,50.5,49.8,52.7,54,54.5,54.5,59.5,62.8,61.7,61.8,64.8,66.6,68.1,68,69.6,74.3,72.5,71.1,74.5,76.8,74.5,76.4,81.4,77.6,82.1,79.5,85.3,85.7,85.5,87.6,98.2,103.3,105.6,99.8,106.2,108.5,104.9,106.2,109.6,111.4,113.6,100.3,98.8,101.6,96.4
"62","54","    Nondefense","A825RX1",231.4,229.5,230.3,218.9,224,227.5,225.2,226.2,231.7,233.2,233.1,229.7,235.3,237.3,226.2,236.3,237.1,236.9,238.1,242.7,242.1,249.1,244.9,241.3,248.1,256.8,257.4,259.7,267,273.2,277,278.6,282.8,278,285.4,280.6,283.1,284.9,283.2,287.1,285.6,282,286.7,294.7,305,295.7,297.7,287.8,288.2,291.5,297.3,299.8,309.1,312.1,312,320.2,325.3,333.4,334.3,342.2,348.7,360.8,359.2,361.9,359.4,352.4,349,352.6
"63","55","      Consumption expenditures","A542RX1",204.2,203.9,204.1,192.5,194.9,197.4,194.8,197.8,202.3,203.7,203.5,203,203.1,204.2,193.5,204.2,203.5,201.1,202.9,203.9,209.2,217,212.8,210.7,217,225.5,226.4,227.9,232.9,239.2,242.4,244.3,249.1,242.9,250.4,246.2,249.1,249.8,248.8,253,251.4,247.9,249.9,254.8,264.4,257.3,259,249.2,249.7,252.2,257.1,259.8,268,270,269.2,276.7,282.3,290.5,289.8,296.1,301.2,310.3,308.3,310.3,308.4,302.1,298.3,303.3
"64","56","      Gross investment","A798RX1",27.9,26.6,27.1,26.8,29,29.9,30,28.5,29.4,29.6,29.7,27.3,31.8,32.5,31.9,31.7,32.9,34.7,34.2,37.4,32.4,31.9,31.8,30.5,31,31.3,31.1,31.9,33.9,33.9,34.5,34.3,33.8,35.1,35,34.4,34,35.1,34.5,34.2,34.2,34.1,36.8,39.9,40.5,38.4,38.7,38.7,38.5,39.4,40.2,40,41.1,42.2,42.9,43.6,42.9,42.7,44.4,46.2,47.6,50.8,51.2,52,51.3,50.6,51.2,49.5
"65","57","  State and local","A829RX1",1174.8,1184.1,1184.8,1190.7,1188.2,1205.4,1216.3,1234.6,1247.6,1252.1,1256.6,1260.9,1271.1,1294.7,1319,1330.2,1345.2,1353.7,1365.7,1382.7,1394,1394.2,1401.4,1411,1427.3,1456.5,1447.7,1477.6,1494,1498.1,1504.2,1506.3,1501.2,1496.6,1502.7,1498.2,1498.4,1502.2,1495.7,1492,1490.7,1492.4,1493.5,1497.7,1496.6,1506.3,1510.8,1515,1522.9,1527.8,1528.4,1533.3,1530.9,1530.5,1530.8,1520.1,1517.2,1520.7,1514.9,1503.9,1489.2,1490.8,1488.9,1478.9,1466.4,1456.1,1450.4,1440.7
"66","58","    Consumption expenditures","A991RX1",976.3,981,984.9,989.9,989.5,1000.7,1004.1,1009.9,1014.8,1022.5,1031.9,1041.7,1053.8,1065.9,1077.2,1086.2,1096.7,1105.2,1114,1122,1125,1130.8,1136.1,1142.9,1154,1166.1,1178.8,1191.7,1203.3,1211.1,1215.6,1215.1,1211.4,1208.8,1205.7,1204.1,1206,1207.2,1207.2,1209.1,1210.2,1210.7,1213.7,1213.5,1214.1,1216.5,1222.3,1230,1235.5,1239.8,1240.6,1243.4,1240.7,1236.6,1237.2,1233.9,1232.6,1231.7,1227.1,1224.3,1219.1,1214.8,1210.8,1207.4,1207.4,1203.2,1197.2,1188.4
"67","59","    Gross investment","A799RX1",199.9,204.3,201.3,202.2,200.2,206.1,213.1,225.1,232.9,230,225.4,220.1,218.5,229.6,242.2,244.4,248.8,249,252,261,269.1,263.6,265.4,268.2,273.5,290.3,269.2,286,290.7,287.1,288.7,291.3,289.9,287.8,297.1,294.2,292.5,295.1,288.5,282.9,280.5,281.7,279.8,284.2,282.5,289.7,288.4,285.1,287.4,288,287.9,290,290.2,293.8,293.5,286.3,284.8,289,287.7,279.8,270.5,276.4,278.4,271.9,259.6,253.6,253.9,252.9
"68","60","Residual","AR05RX1",-308.4,-301.3,-286.4,-268.9,-268.2,-257.4,-241.4,-231.9,-222.1,-207.4,-187.2,-180.7,-160.7,-160.1,-153.3,-132,-116.3,-96.7,-80.3,-78.1,-54.9,-52.3,-46.6,-43.8,-44.2,-52.4,-59.3,-43.5,-42.2,-36.4,-29.9,-30.3,-25.9,-22.6,-17.7,-13.3,-10.3,-7.2,-4.4,-1.7,-1.6,0.3,0.6,0.2,-4.1,-3.5,-4.2,-6.5,-9.4,-7,-9.8,-16.6,-15.6,-15.9,-2.8,17,12.1,14,4,-8.9,-20.4,-34.6,-42,-61.2,-74.8,-86.5,-94.7,-106.4
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. The quantity index for computers can be used to accurately measure the real growth of this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","component.  However, because computers exhibit rapid changes in prices relative to other prices in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","economy, the chained-dollar estimates should not be used to measure the component's relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","importance or its contribution to the growth rate of more aggregate series; accurate estimates of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","contributions are shown in table 1.5.2 and real growth rates are shown in table 1.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Note. The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
