"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"45","37","  Automotive vehicles, engines, and parts","B651RA3",17.591,22.39,24.174,21.537,20.859,22.751,22.022,21.991,24.677,25.739,29.303,27.164,29.254,28.709,27.895,29.955,31.303,29.776,28.934,29.488,32.983,33.698,32.476,27.765,22.214,22.983,27.312,28.218,32.412,34.054,34.095,32.911,32.983,35.308,35.832,37.264,37.563,39.798,37.675,37.964,35.716,37.923,37.012,37.291,38.173,36.211,35.865,36.323,34.48,35.862,35.376,36.131,36.454,39.552,40.901,34.915,40.635,45.135,46.314,53.755,57.896,58.698,60.47,61.711,62.369,65.753,69.115,70.308,68.769,72.721,75.498,72.639,73.856,75.022,72.957,75.361,72.837,71.453,71.225,74.218,75.498,72.422,67.217,67.225,68.795,73.396,71.811,68.74,64.987,62.286,68.338,68.039,68.464,68.784,68.433,71.514,76.062,75.84,74.459,78.256,78.636,84.267,87.581,91.07,91.776,89.215,84.067,82.417,86.07,90.914,93.156,89.118,96.788,96.985,97.807,96.707,100.09,101.175,99.591,112.531,117.537,120.515,126.083,128.186,135.269,132.628,133.521,131.13,128.174,129.355,130.126,127.455,131.108,137.919,141.356,141.306,138.552,142.751,138.095,146.638,148.279,152.588,152.345,152.568,152.329,153.987,157.312,164.894,168.416,168.003,164.23,170.601,166.261,168.011,172.653,164.3,165.173,160.052,144.641,121.769,81.846,81.622,109.474,127.058,127.193,141.298,146.181,148.799,155.324,140.193,157.658,164.488,177.424,176.236,177.84,177.622,174.996,182.748,189.718,190.88,187.037,198.157,200.689,202.277,204.522,215.539
"46","38","  Consumer goods, except food and automotive","B652RA3",5.24,6.395,6.129,6.149,6.278,6.264,6.615,6.551,6.606,7.139,6.316,6.994,8.469,7.771,8.284,8.453,9.099,8.491,8.19,8.061,7.501,8.006,7.775,7.173,5.855,5.521,5.9,6.338,6.918,7.348,7.858,8.346,9.141,9.222,9.131,9.298,10.863,11.512,11.566,11.26,11.128,11.278,11.352,11.783,11.762,11.766,10.873,11.483,12.149,12.347,12.445,13.3,13.316,12.62,13.353,13.223,14.851,14.829,15.879,17.646,19.063,19.899,20.451,20.372,21.273,21.37,21.727,22.718,23.145,23.935,24.329,25.089,24.736,25.274,24.781,24.826,25.211,24.443,25.389,26.046,25.986,26.905,26.448,26.457,26.365,26.304,25.853,25.391,25.393,25.43,26.378,28.5,28.361,29.04,29.556,29.751,30.722,31.264,32.201,32.203,32.569,33.748,34.652,35.97,36.954,37.13,37.238,36.389,38.118,38.657,40.504,41.774,42.786,44.816,46.494,48.091,49.875,51.637,52.445,52.784,54.847,56.277,59.275,61.792,64.402,67.875,69.579,71.543,70.786,69.838,69.071,68.138,70.73,75.756,78.606,79.481,80.948,81.434,83,86.42,87.837,92.926,92.232,95.873,99.018,100.168,99.146,100.635,104.322,106.138,108.447,112.141,115.567,113.619,112.405,114.298,114.8,115.337,114.665,105.566,98.589,97.611,99.26,104.54,105.918,111.226,117.228,117.325,118.3,119.366,117.412,117.075,115.728,116.694,117.837,117.754,119.295,120.351,121.062,121.869,123.089,126.139,125.095,129.457,133.921,135.227
"47","39","    Durable goods","B697RA3",4.946,5.713,5.589,5.754,5.803,5.77,5.932,5.962,6.057,6.722,5.735,6.728,8.038,7.601,7.736,7.902,8.88,8.366,8.075,7.758,7.677,8.211,8.109,7.223,6.103,5.541,5.928,5.999,6.381,6.569,7.183,8.237,9.676,9.319,9.424,9.72,11.092,11.951,11.824,11.562,10.964,11.365,11.706,12.139,12.319,12.623,11.736,11.995,12.805,13.061,13.206,13.864,14.278,12.972,13.321,13.466,15.374,14.614,15.772,18.023,18.966,19.532,20.732,21.114,22.156,22.028,22.289,22.739,23.157,24.38,24.246,24.848,23.985,24.215,24.111,24.187,24.198,23.384,24.597,25.413,25.728,26.398,25.7,25.047,24.738,24.598,24.277,23.814,23.419,23.703,24.658,26.547,26.281,26.946,27.43,27.232,28.652,28.536,29.865,30.102,30.324,31.609,32.184,33.777,34.343,34.37,34.339,33.949,35.733,36.33,38.222,38.57,39.761,41.465,42.894,44.721,46.865,48.658,49.416,50.458,51.341,54.522,57.308,59.444,63.761,66.099,67.473,69.936,67.97,65.866,65.655,65.465,68.891,74.769,76.453,76.104,75.968,77.256,80.828,85.395,86.744,92.63,92.835,97.776,100.584,101.334,103.79,104.396,108.374,108.142,111.007,116.381,119.003,116.515,118.099,120.928,119.452,120.621,120.779,107.949,98.214,98.572,99.111,104.102,107.614,114.604,122.411,122.003,122.693,121.499,119.593,120.765,120.306,121.398,123.067,125.635,126.94,129.493,130.71,132.244,132.591,136.175,134.527,143.097,145.133,141.76
"48","40","    Nondurable goods","B698RA3",5.782,7.697,7.147,6.883,7.169,7.196,7.906,7.664,7.646,7.936,7.402,7.511,9.292,8.096,9.324,9.499,9.522,8.748,8.431,8.636,7.239,7.697,7.262,7.124,5.505,5.498,5.873,6.823,7.697,8.497,8.845,8.486,8.346,9.063,8.683,8.661,10.508,10.845,11.168,10.798,11.371,11.137,10.809,11.239,10.929,10.519,9.626,10.712,11.176,11.294,11.33,12.447,11.925,12.057,13.299,12.801,14.037,15.013,15.905,17.01,19.038,20.223,19.927,19.257,19.968,20.355,20.835,22.515,22.957,23.169,24.267,25.23,25.557,26.491,25.488,25.494,26.362,25.663,26.256,26.705,26.155,27.394,27.253,28.114,28.304,28.346,27.732,27.274,27.791,27.506,28.439,30.849,30.877,31.57,32.124,32.823,33.209,34.601,35.025,34.72,35.271,36.306,37.63,38.584,40.102,40.47,40.757,39.321,40.97,41.433,43.213,45.653,46.431,48.863,50.846,52.151,53.484,55.203,56.068,55.554,59.045,58.354,61.608,64.581,65.138,69.974,72.072,73.434,74.123,74.559,73.128,71.315,72.924,76.945,81.168,83.474,86.806,86.354,85.59,87.683,89.183,93.368,91.647,93.806,97.336,98.938,94.004,96.485,99.849,103.979,105.658,107.45,111.787,110.442,106.086,106.933,109.651,109.489,107.891,102.94,98.997,96.554,99.424,105.025,104.067,107.552,111.623,112.263,113.546,117.01,115.007,113.081,110.799,111.627,112.223,109.412,111.196,110.733,110.933,111.005,113.087,115.591,115.146,115.38,122.158,127.948
"49","41","  Other","B653RA3",12.271,14.508,14.751,13.925,14.054,13.667,14.246,13.666,13.992,14.735,14.874,14.152,15.344,13.964,15.658,15.487,15.841,15.39,14.709,9.848,16.819,15.07,9.278,9.795,9.801,9.352,11.888,9.137,12.948,11.174,11.08,10.565,14.434,14.386,13.202,14.013,15.074,14.064,15.498,15.638,18.067,13.682,14.003,16.314,18.586,16.53,18.54,20.649,22.11,25.449,24.57,25.955,26.257,29.897,25.317,26.062,27.053,28.452,27.838,27.962,29.366,31.816,32.326,35.545,36.101,40.202,38.537,38.901,37.622,40.156,38.193,40.482,40.527,40.466,40.394,42.059,40.493,40.629,42.308,46.078,42.987,44.278,46.126,49.209,51.294,52.445,54.607,53.134,51.496,56.288,54.279,54.362,58.405,55.294,55.883,54.775,55.04,57.011,57.287,59.674,61.091,65.516,62.561,64.142,64.042,66.835,62.026,65.849,67.553,68.507,66.084,66.142,71.172,75.002,80.763,82.501,82.878,85.195,92.984,99.535,99.948,102.535,104.264,102.237,109.059,106.214,122.979,119.288,112.537,118.821,118.009,118.092,116.988,120.122,122.133,122.636,112.53,116.662,110.43,116.988,109.366,111.552,118.403,116.303,123.737,114.066,119.806,115.764,121.421,128.409,114.011,111.457,126.653,119.259,120.22,109.346,109.152,110.518,102.868,99.929,103.013,102.504,98.767,95.716,110.696,101.981,106.649,133.428,109.072,122.867,110.158,112.729,119.499,123.831,120.603,112.029,124.505,135.519,116.141,113.375,127.057,129.959,123.439,131.5,141.047,134.839
"50","42","Imports of services \1\","B656RA3",18.682,19.326,19.49,20.067,19.725,20.755,20.752,20.378,19.755,20.085,19.745,19.701,20.932,20.978,19.983,20.756,21.314,20.441,18.983,19.124,19.559,20.164,19.761,20.29,19.748,18.597,18.602,19.364,19.844,20.103,20.604,21.029,21.303,21.698,21.18,21.466,22.639,22.596,23.047,23.471,23.312,23.33,23.172,23.204,23.125,22.459,22.253,23.102,24.146,24.314,23.795,24.01,24.474,25.491,25.357,26.06,25.822,27.041,28.143,28.57,31.911,33.406,35.077,36.658,37.435,37.617,36.196,36.235,37.378,35.678,37.792,38.283,39.796,41.666,41.647,43.603,43.102,42.313,43.079,43.871,44.39,44.716,45.656,45.953,47.827,48.171,48.606,47.913,46.344,47.375,46.561,47.226,46.19,45.319,45.123,45.813,45.683,46.202,46.91,48.518,49.34,49.558,49.379,49.007,50.779,50.127,50.64,51.683,52.546,52.966,54.273,54.066,56.27,56.875,59.128,60.167,62.662,63.912,65.328,65.827,61.356,61.157,62.867,64.506,67.33,70.254,72.791,71.035,70.453,71.961,70.112,67.073,72.541,70.772,70.635,74.783,72.854,70.006,74.823,77.157,80.709,84.014,83.067,84.523,85.061,86.615,86.981,88.628,92.825,93.601,92.823,97.938,98.939,100.275,100.709,100.701,103.794,102.88,103.535,105.429,99.934,99.277,99.76,101.029,101.097,102.511,105.522,106.029,104.015,107.781,110.057,110.051,110.494,111.455,111.648,111.405,111.244,112.887,113.319,114.067,112.327,114.558,114.385,117.644,119.575,120.521
"51","43","  Transport","Y804RA3",28.944,32.922,32.96,34.25,32.525,35.187,37.328,34.849,35.265,38.013,37.513,35.725,42.215,39.685,38.82,40.344,47.109,44.5,43.522,42.363,40.712,43.86,44.739,48.786,45.236,40.977,42.341,44.071,47.087,46.614,48.87,50.6,51.459,53.369,52.083,52.37,56.022,54.875,55.215,55.391,56.696,56.797,57.126,56.953,53.168,52.195,49.709,50.049,54.303,54.077,52.745,51.323,50.7,49.589,47.755,48.005,50.055,51.925,55.605,58.253,57.712,60.931,61.346,62.632,63.061,66.016,62.96,64.594,63.04,61.179,66.544,67.539,67.573,73.227,73.868,78.615,78.372,78.357,77.08,77.275,79.847,80.824,83.108,81.675,88.889,90.889,91.266,86.972,80.45,85.21,85.929,86.754,83.941,81.01,82.557,83.737,84.183,85.777,86.379,89.302,90.921,93.432,96.421,94.187,95.012,95.484,97.042,95.36,93.484,97.8,99.24,97.383,101.417,105.361,105.618,106.829,109.152,111.668,113.502,116.659,105.113,100.917,103.556,105.475,108.662,111.852,117.046,111.954,109.368,107.904,100.733,93.541,95.172,99.348,98.722,104.059,103.829,99.454,102.253,102.912,111.496,113.881,115.421,116.964,122.896,119.803,117.226,120.848,119.627,123.832,125.765,126.849,122.811,128.211,128.131,124.67,125.926,122.606,119.636,116.05,101.895,98.162,100.16,99.783,103.069,106.743,110.247,105.848,108.943,108.581,110.397,111.833,112.921,113.487,113.454,112.605,118.998,119.094,119.308,118.945,117.844,118.784,118.21,122.662,125.884,123.833
"52","44","  Travel (for all purposes including education)","Y805RA3",18.961,19.261,19.58,20.046,21.715,22.671,22.672,22.763,23.216,22.526,21.633,22.35,23.946,23.926,24.296,24.878,24.074,23.899,22.511,21.068,20.613,20.72,20.355,20.499,20.033,19.229,19.766,20.259,20.69,20.395,21.096,22.154,22.018,21.988,21.415,21.473,21.872,21.693,23.362,22.827,22.039,22.255,21.722,21.548,22.38,21.127,21.814,22.137,24.465,23.046,23.921,23.9,25.654,28.156,28.322,30.957,29.124,31.77,34.005,33.199,51.988,54.91,61.836,62.786,66.392,67.629,64.19,57.227,62.177,52.789,60.726,62.005,67.272,70.516,69.643,73.911,73.604,69.718,72.182,73.932,73.154,72.49,75.036,77.843,80.409,81.768,79.506,77.247,68.547,75.652,72.553,72.891,74.611,74.566,72.951,76.576,76.008,75.268,78.162,84.135,81.74,82.732,81.156,79.385,83.394,81.371,79.596,84.149,86.398,83.884,85.469,85.849,91.078,90.301,94.012,95.875,103.023,104.967,106.343,105.763,104.659,102.458,105.048,108.482,113.357,121.669,122.955,116.641,114.889,118.642,112.571,95.059,111.411,105.194,96.289,106.965,100.088,89.659,105.946,103.972,110.512,119.503,113.326,108.13,115.757,117.089,113.802,114.017,115.365,115.364,113.425,117.201,117.164,112.755,111.479,110.242,115.324,108.859,107.531,107.906,101.679,96.065,101.803,100.454,102.75,103.876,105.19,104.762,100.218,105.699,105.315,108.599,114.718,116.386,117.2,116.8,117.711,120.38,121.225,123.078,121.822,128.871,129.378,135.342,137.891,143.3
"53","45","  Charges for the use of intellectual property n.e.c.","B908RA3",3.873,3.688,3.707,4.139,3.681,3.888,3.595,3.618,3.552,3.497,3.824,4.088,4.17,4.376,4.157,4.745,5.532,5.203,5.112,5.724,6.273,5.958,5.622,5.439,7.389,7.416,5.935,6.558,7.228,7.054,5.809,6.002,6.516,5.981,5.924,6.848,7.8,7.271,7.397,7.54,8.321,8.266,7.878,8.861,6.928,5.375,4.848,9.534,7.547,3.818,5.974,5.741,5.227,5.403,5.31,5.597,5.444,5.949,6.189,6.913,6.947,6.747,7.585,7.842,6.894,6.759,7.525,6.993,7.705,8.525,8.447,8.036,8.958,10.737,10.415,11.723,13.597,14.056,14.505,14.33,13.124,13.484,12.017,13.897,14.799,14.206,15.749,17.453,17.694,19.844,20.239,19.411,26.146,21.199,27.754,20.894,20.898,22.871,23.551,23.982,28.877,23.375,25.129,26.531,27.408,28.72,30.644,33.071,30.646,30.826,38.745,32.633,36.913,36.463,40.516,38.677,45.256,44.005,46.807,49.55,51.604,53.517,54.361,56.96,60.701,61.673,73.836,67.268,64.854,63.704,63.82,66.683,76.107,73.389,77.305,71.818,68.328,70.175,74.497,75.348,78.485,82.494,92.56,90.649,85.219,90.415,94.337,88.369,85.379,79.615,77.335,97.061,87.022,86.602,85.82,89.218,92.991,90.343,101.791,92.567,97.187,98.602,97.805,106.407,107.527,95.072,100.9,106.208,108.098,104.226,113.426,117.274,112.101,116.581,118.462,119.467,116.84,114.906,111.192,121.737,123.968,121.495,123.805,125.618,127.807,129.148
"54","46","  Other business services \3\","Y806RA3",0.991,1.013,0.998,1,0.997,1.063,1.082,1.056,1.135,1.162,1.184,1.157,1.187,1.219,1.164,1.206,1.307,1.313,1.32,1.408,2.718,2.704,2.644,2.681,2.843,3.028,3.084,3.195,3.407,3.516,3.798,3.878,3.85,3.777,3.753,3.907,4.279,4.409,4.456,4.728,5.01,5.105,5.051,5.075,4.92,5.258,5.299,5.185,5.53,5.669,5.844,6.107,6.424,6.621,6.552,6.537,5.897,6.077,6.136,6.124,6.232,6.398,6.788,7.672,7.104,7.066,7.667,8.403,10.344,11.113,11.276,11.322,12.199,12.746,12.696,12.844,12.972,13.123,13.518,14.232,14.958,15.46,16.391,16.18,16.695,16.825,17.414,17.406,18.684,18.776,18.714,20.097,17.281,17.738,18.05,17.959,17.78,18.638,19.186,19.693,20.672,21.214,21.154,22.009,22.689,23.059,23.874,23.977,25.001,25.55,25.569,26.526,26.317,26.786,28.019,28.861,29.193,30.776,31.148,31.568,27.769,28.594,29.814,30.889,32.437,33.413,33.881,35.541,36.307,38.133,38.693,39.112,41.166,39.472,41.513,44.299,44.105,43.911,44.638,48.83,50.975,52.236,51.142,56.414,53.634,56.009,58.718,61.871,70.798,73.293,72.466,78.202,83.416,86.655,89.114,91.069,94.924,98.425,99.347,103.793,98.387,100.79,99.295,101.528,98.76,101.428,104.599,108.081,104.366,112.07,114.945,112.12,111.256,112.069,112.287,112.496,110.272,113.16,114.36,114.299,111.458,113.267,112.145,114.567,115.251,115.536
"55","47","  Government goods and services n.e.c.","Y807RA3",191.751,190.512,192.585,197.992,186.718,194.429,185.715,186.246,165.028,166.564,164.326,165.291,161.033,170.051,147.63,155.227,144.58,134.643,112.28,125.753,124.144,126.886,117.76,114.612,111.927,102.254,96.021,102.246,96.271,104.143,101.768,98.283,101.782,106.056,102.327,103.685,108.797,111.242,110.124,117.284,110.103,108.129,107.786,108.21,117.6,112.029,112.388,121.525,117.804,132.04,116.944,123.487,123.935,134.033,137.342,139.199,142.371,146.976,146.667,149.035,138.018,144.179,142.559,156,164.865,153.404,140.015,155.068,141.556,141.161,131.337,132.504,130.528,128.392,129.896,133.361,122.451,119.315,122.971,123.53,123.041,123.099,118.321,117.103,116.63,112.07,117.315,121.388,128.575,108.696,103.074,99.853,99.247,95.586,83.635,89.494,88.932,86.003,81.73,77.631,79.678,76.167,68.827,64.268,71.345,62.493,63.536,65.591,71.083,70.168,71.747,71.603,76.188,75.232,83.27,86.418,86.291,82.445,90.046,85.491,75.536,78.752,79.539,77.128,80.907,85.449,89.045,84.2,82.332,85.036,86.444,99.736,106.477,103.712,105.3,109.438,105.642,101.507,111.223,116.138,108.898,112.513,107.399,104.445,102.844,107.07,105.716,105.597,109.067,99.746,97.268,95.537,96.65,95.349,91.32,87.746,85.852,82.839,85.064,99.761,103.085,101.525,98.057,97.332,99.921,104.653,108.182,100.929,99.353,94.962,95.476,94.753,91.91,89.311,86.438,84.17,79.723,79.29,79.325,74.607,71.971,72.534,74.284,74.438,78.771,79.139
"56","48","  Other","B910RA3",50.558,50.731,51.181,51.717,52.482,52.403,53.057,52.812,52.542,52.413,52.451,52.903,53.734,54.625,55.752,56.613,57.601,57.784,58.001,58.104,57.254,56.651,55.997,55.742,55.911,56.084,56.334,56.085,56.283,56.593,56.925,57.064,57.114,57.629,58.257,58.924,59.96,60.441,60.966,61.343,61.869,61.969,61.855,61.679,61.432,61.304,61.102,60.676,60.074,59.898,60.015,59.715,60.007,60.464,60.59,60.753,60.964,61.168,61.63,62.608,63.375,63.928,64.303,64.351,64.001,63.759,63.722,63.562,62.458,64.716,66.503,68.295,69.821,71.365,72.767,74.078,75.366,76.27,77.036,77.722,78.217,78.696,79.555,80.342,75.958,79.441,82.862,84.062,80.303,80.84,82.854,85.525,85.709,84.768,84.29,84.278,87.368,87.55,86.293,82.516,83.201,84.764,87.675,92.377,90.13,88.356,88.088,88.755,89.916,91.499,92.997,94.043,95.227,95.963,96.714,96.87,97.47,97.318,97.643,98.184,99.246,98.579,99.341,101.818,103.851,106.013,107.334,108.424,109.628,110.164,111.128,112.578,111.676,111.273,111.575,111.744,110.867,110.973,111.259,113.458,113.654,114.959,116.185,116.178,109.747,109.744,108.384,107.849,107.207,107.528,109.084,112.28,113.247,113.638,113.47,111.929,108.703,105.321,101.281,102.143,102.355,101.802,99.254,96.589,97.013,95.617,94.351,93.178,91.68,90.424,90.77,92.176,90.972,90.796,91.112,91.144,91.172,91.388,90.872,89.379,88.408,87.225,86.657,86.6,87.41,86.9
"57",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","49","  Exports of durable goods","B332RA3",6.904,8.131,8.187,8.299,8.37,8.74,8.678,8.653,8.539,8.613,8.918,8.208,9.179,9.121,9.55,10.048,11.006,11.78,12.117,12.82,13.251,14.248,13.589,14.175,13.592,13.541,13.366,13.736,13.582,13.622,13.974,14.048,13.783,14.178,13.932,13.52,13.942,15.356,15.47,16.624,16.983,16.671,16.99,18.557,19.882,19.611,18.787,19.131,18.791,19.634,18.446,18.075,16.989,17.091,16.34,15.144,15.546,15.767,15.832,16.847,16.887,17.263,17.796,18.458,18.709,19.242,18.789,19.16,19.245,20.164,19.935,21.129,21.296,22.523,23.451,25.276,26.949,28.291,28.539,30.126,30.931,32.273,32.931,33.328,35.52,35.771,36.184,35.948,36.495,38.174,39.296,39.927,40.834,40.566,42.025,42.767,42.672,43.266,43.336,45.512,46.115,47.814,50.351,51.442,53.349,54.583,57.105,58.41,59.443,61.052,62.616,66.13,69.231,73.423,76.037,75.69,76.571,74.279,74.695,78.197,76.781,77.614,80.304,83.204,85.545,88.933,91.737,90.673,88.999,84.089,78.437,75.739,75.075,78.171,79.008,76.656,76.145,76.852,78.35,83.095,85.164,86.947,88.022,88.857,91.194,94.405,95.949,100.209,103.713,105.051,105.214,108.913,110.605,112.995,116.394,119.054,120.753,125.086,124.458,112.235,97.53,94.79,100,107.681,110.913,116.359,118.443,121.699,123.386,126.477,127.927,129.634,133.26,132.55,132.628,132.097,132.424,136.008,135.171,137.52,136.715,140.006,142.476,142.758,136.736,137.861
"59","50","  Exports of nondurable goods","B339RA3",12.904,18.365,17.005,18.188,18.649,18.69,18.991,19.68,19.299,18.962,21.213,16.896,20.775,19.844,21.195,23.222,25.079,26.211,25.195,27.746,26.842,27.265,25.211,24.824,26.092,23.3,24.858,27.441,27.118,27.425,28.152,29.109,28.559,29.195,30.222,28.473,28.315,33.241,33.305,33.024,31.817,32.943,35.674,37.226,36.899,38.964,40.584,39.002,40.678,38.639,39.593,41.306,39.953,40.721,38.054,37.442,37.805,36.485,37.884,37.136,37.134,37.732,39.348,39.78,38.817,36.471,36.537,38.124,37.948,37.275,39.896,41.375,40.077,41.34,44.043,42.847,45.504,45.159,46.388,46.667,47.104,50.526,49.837,50.066,50.709,51.496,51.797,52.425,54.726,53.421,53.967,55.827,57.24,57.896,59.006,58.224,57.698,58.32,56.732,58.168,56.641,59.155,62.12,63.696,63.74,63.267,65.434,64.816,66.207,65.041,65.825,69.43,69.214,71.241,71.88,72.458,71.93,70.455,69.657,72.243,71.399,73.005,73.355,74.994,74.857,75.336,79.121,77.615,77.177,77.098,75.128,75.656,76.738,78.379,78.136,77.506,79.277,77.792,79.695,80.393,81.094,81.333,81.594,84.705,85.046,86.902,83.601,83.137,88.539,90.108,90.217,92.186,92.982,93.27,95.896,97.976,102.604,104.87,103.95,99.486,94.757,97.632,101.417,106.194,108.974,107.637,110.611,114.016,113.506,112.623,113.05,116.432,112.687,117.182,118.74,116.53,116.385,116.848,121.823,129.551,122.779,127.321,128.563,131.449,130.073,133.859
"60","51","  Exports of agricultural goods \4\","B181RA3",16.593,28.715,25.441,28.474,27.247,28.437,29.228,30.761,29.575,27.973,31.166,26.774,31.492,30.805,32.93,37.488,42.498,43.3,39.26,43.316,40.583,40.526,36.628,36.651,40.627,34.684,38.627,42.718,42.111,43.709,44.369,45.219,44.433,44.617,45.29,45.315,46.425,57.894,56.284,52.097,47.675,53.048,58.539,62.869,59.07,63.518,66.561,60.899,64.153,59.736,60.854,65.103,60.477,65.377,57.541,55.245,56.882,55.543,59.588,55.989,55.965,53.856,56.77,59.601,52.877,47.337,47.189,49.918,49.175,45.072,51.727,52.86,47.433,48.79,59.611,52.994,58.868,56.005,56.646,58.004,58.195,61.68,58.924,60.082,63.535,61.442,61.106,57.516,59.623,58.086,62.182,63.774,65.631,66.526,71.238,69.715,67.489,68.931,64.228,65.253,62.283,65.398,70.793,76.415,77.95,76.807,78.249,73.506,77.719,72.285,72.199,76.854,74.361,75.028,76.857,79.199,78.786,75.103,72.107,79.287,71.546,76.419,81.503,77.99,80.862,80.559,86.833,81.878,84.149,85.166,84.419,86.508,86.131,85.029,81.16,79.21,82.953,82.507,86.582,83.959,79.727,74.591,78.088,85.857,83.606,84.118,81.552,84.91,90.129,91.888,90.339,89.967,90.703,93.366,101.162,102.496,105.298,104.852,102.129,101.032,95.749,99.246,98.822,106.183,111.03,104.59,110.45,116.809,113.472,109.334,105.248,108.937,104.359,112.873,119.156,104.014,107.828,101.931,110.271,126.455,121.526,115.795,115.714,125.013,118.425,124.919
"61","52","  Exports of nonagricultural goods","B182RA3",10.237,12.389,12.248,12.514,12.751,13.086,12.816,12.873,12.79,12.885,13.584,11.749,13.671,13.22,13.902,14.751,15.864,16.935,17.328,18.397,18.769,19.908,18.821,19.342,18.616,18.233,18.187,18.848,18.626,18.645,19.142,19.375,18.856,19.514,19.317,18.34,18.754,20.695,21.079,22.418,22.663,22.146,22.891,24.315,25.642,25.703,24.927,25.269,25.012,25.64,24.364,24.104,22.926,22.59,21.415,20.188,20.48,20.18,19.96,20.731,20.488,20.915,21.184,21.645,21.814,21.99,21.632,22.16,22.239,23.09,23.147,24.43,24.575,25.808,26.58,28.145,29.8,30.96,31.453,32.684,33.43,35.202,35.726,36.02,37.68,38.247,38.678,38.914,39.849,40.902,41.651,42.557,43.536,43.448,44.579,45.049,44.985,45.524,45.463,47.502,47.755,49.572,52.009,52.911,54.269,55.14,57.612,58.786,59.647,60.962,62.406,65.822,68.284,72.033,74.039,73.777,74.294,72.401,72.693,75.58,74.85,75.614,77.349,80.294,81.765,84.437,87.297,86.376,84.838,81.131,76.368,74.382,74.262,77.177,78.017,76.234,76.175,76.22,77.627,81.54,83.641,85.471,86.015,87.099,89.093,92.028,92.098,94.623,98.675,100.055,100.338,103.716,105.162,106.692,109.347,111.872,114.674,118.621,118.1,108.082,96.559,95.469,100.719,107.252,110.133,113.94,116.008,118.983,120.261,122.368,123.992,126.248,127.415,128.041,128.039,128.566,128.211,131.523,132.237,135.391,132.311,137.31,139.53,139.913,135.963,137.592
