"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"45","37","    Equipment","Y070RA3",10.014,10.199,10.345,10.354,10.597,10.446,10.694,10.577,10.536,10.589,10.754,11.018,11.487,11.779,12.138,12.43,12.797,13.112,13.493,14.075,14.499,14.758,14.64,14.312,14.143,14.131,14.153,14.095,13.933,13.851,13.755,13.656,13.341,13.304,13.354,13.46,13.642,13.881,14.144,14.419,14.714,15.016,15.339,15.648,15.97,16.151,16.187,16.087,15.851,15.727,15.725,15.858,16.101,16.369,16.737,17.178,17.889,18.478,19.15,19.884,20.756,21.624,22.507,23.383,24.326,25.187,25.975,26.699,27.447,27.946,28.226,28.477,28.691,29.008,29.342,29.631,29.836,30.539,31.449,32.52,33.974,35.405,36.527,37.61,38.474,38.707,38.666,38.641,37.59,37.173,36.995,37.1,37.459,37.91,38.242,38.357,38.295,38.58,39.62,40.518,42.391,43.607,44.745,46.043,47.191,48.319,48.796,49.455,49.125,49.32,49.828,50.44,51.852,53.375,55.237,56.612,58.807,60.971,62.699,64.794,67.011,69.131,70.351,70.849,71.637,73.096,73.815,74.369,75.033,74.795,74.332,74.926,76.649,76.226,76.365,75.994,76.183,76.396,77.244,78.035,77.483,77.009,76.189,76.816,77.275,78.013,78.297,78.633,79.852,82.27,86.149,91.206,90.365,95.926,99.058,103.47,102.499,103.214,104.094,98.693,99.224,99.515,99.4,101.861,98.637,94.861,92.39,93.043,89.808,90.479,90.703,87.619,87.046,88.439,87.768,88.288,88.636,91.163,92.516,93.247,92.167,92.56,93.36,95.755,94.006,93.601,95.982,95.699
"46","38","    Intellectual property products","Y071RA3",6.644,6.831,7.078,7.319,7.528,7.701,7.75,7.726,7.764,7.883,8.021,8.188,8.256,8.37,8.476,8.539,8.722,8.872,8.996,9.104,9.069,9.078,9.25,9.509,9.843,9.911,9.9,9.949,10.092,10.375,10.619,10.855,10.837,10.925,11.004,11.162,11.565,11.943,12.338,12.774,12.985,13.251,13.462,13.725,13.885,14.053,14.311,14.594,14.764,14.932,15.19,15.513,15.995,16.187,16.237,16.221,16.673,17.229,17.902,18.358,18.58,18.987,19.59,20.346,20.952,21.568,21.923,22.618,23.31,24.052,24.438,24.822,25.113,25.621,26.182,26.738,27.387,28.201,29.202,30.301,31.838,33.392,35.035,36.426,37.038,37.735,38.224,38.981,39.744,40.545,41.096,42.09,42.994,44.011,44.827,45.691,45.561,45.34,45.41,45.329,45.806,45.928,45.989,45.797,45.303,45.436,45.699,46.237,46.908,47.576,48.25,49.316,51.54,52.822,54.489,56.213,57.565,58.481,59.396,60.203,60.576,61.946,63.154,63.915,65.196,66.439,66.723,68.618,69.883,69.827,69.908,69.186,69.808,71.07,72.344,71.574,72.61,73.134,75.425,76.818,77.022,77.239,78.379,79.358,79.484,80.746,81.662,82.696,84.338,86.045,87.886,89.642,91.149,91.403,92.021,93.032,95.412,96.663,97.593,97.787,98.466,99.584,100.532,101.418,101.562,101.492,102.449,103.045,102.332,102.18,102.62,103.383,103.49,104.172,104.268,105.307,106.503,105.325,106.146,106.39,106.895,107.555,108.345,108.774,110.662,112.117,112.558,113.274
"47","39","      Software","Y072RA3",1.929,2.075,2.294,2.489,2.62,2.716,2.643,2.477,2.417,2.491,2.604,2.775,2.806,2.889,2.943,2.913,3.049,3.182,3.323,3.485,3.466,3.47,3.689,4.002,4.395,4.372,4.22,4.162,4.248,4.575,4.823,5.056,4.858,4.799,4.691,4.677,5.013,5.35,5.767,6.3,6.501,6.805,7.032,7.345,7.527,7.688,7.979,8.304,8.409,8.556,8.852,9.313,10.035,10.22,10.117,9.881,10.414,11.144,12.139,12.767,13.028,13.486,14.227,15.124,15.691,16.19,16.137,16.595,16.964,17.528,17.54,17.653,17.711,18.184,18.767,19.397,20.227,21.35,22.805,24.465,26.982,29.502,32.151,34.301,34.916,35.752,36.236,37.245,38.39,39.676,40.551,42.3,43.961,45.935,47.54,49.308,49.005,48.485,48.41,48.048,48.605,48.582,48.58,48.199,47.396,47.553,47.833,48.373,49.088,49.68,50.194,51.426,55.094,56.919,59.657,62.575,64.852,66.147,67.315,68.216,67.972,69.888,71.345,71.932,73.535,75.116,74.679,77.741,79.453,78.187,77.09,74.146,74.007,75.447,77.169,74.609,76.254,76.876,81.451,84.05,83.948,83.857,85.841,87.56,87.265,89.025,89.365,89.458,90.312,91.454,93.201,95.101,96.825,95.634,95.238,95.613,99.436,100.45,100.704,98.98,98.209,99.125,100.298,102.368,100.855,99.356,100.157,101.147,102.627,104.416,106.553,108.351,108.28,109.568,109.547,111.529,114.047,111.32,113.433,114.493,116.08,117.981,120.331,121.688,124.288,125.776,125.497,126.089
"48","40","      Research and development","Y073RA3",13.029,13.243,13.483,13.751,14.043,14.308,14.547,14.76,14.949,15.118,15.268,15.4,15.515,15.658,15.831,16.03,16.256,16.407,16.486,16.494,16.437,16.452,16.532,16.673,16.873,17.075,17.278,17.484,17.694,17.874,18.083,18.297,18.552,18.852,19.199,19.595,20.051,20.449,20.775,21.035,21.246,21.439,21.613,21.788,21.907,22.076,22.274,22.488,22.738,22.927,23.125,23.257,23.41,23.607,23.856,24.126,24.46,24.777,25.022,25.249,25.418,25.759,26.183,26.758,27.41,28.171,29.032,30.019,31.108,32.067,32.913,33.63,34.205,34.757,35.289,35.756,36.19,36.638,37.105,37.552,37.966,38.434,38.963,39.534,40.161,40.726,41.235,41.733,42.094,42.379,42.584,42.777,42.886,42.917,42.932,42.89,42.94,43.024,43.245,43.446,43.85,44.117,44.241,44.229,44.028,44.14,44.393,44.939,45.581,46.33,47.163,48.085,48.991,49.784,50.491,51.157,51.702,52.294,52.996,53.73,54.647,55.55,56.551,57.47,58.481,59.439,60.362,61.247,62.138,63.143,64.25,65.446,66.733,67.846,68.739,69.482,69.993,70.43,70.843,71.266,71.726,72.198,72.676,73.076,73.533,74.408,75.775,77.542,79.798,81.949,83.868,85.516,86.857,88.23,89.628,91.123,92.41,93.837,95.272,96.9,98.656,99.922,100.703,100.718,102.084,103.06,104.129,104.436,102.133,100.584,99.809,99.837,100.074,100.328,100.508,100.882,101.144,101.059,100.968,100.638,100.388,100.186,99.898,99.689,101.088,102.517,103.443,104.24
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Government consumption expenditures are services (such as education and national defense) produced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","by government that are valued at their cost of production. Excludes government sales to other sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and government own-account investment (construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","for fixed assets; inventory investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
