"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"25","17","S3 PN4452ZZMG     Specialty food stores","T070173",74.241,74.528,74.76,74.688,74.466,74.762,74.704,75.305,75.465,75.417,75.311,75.318,75.374,75.551,75.554,75.773,76.436,76.21,76.142,76.393,76.441,76.766,76.841,77.125,77.242,77.201,76.983,77.214,77.413,77.786,77.991,77.945,78.016,77.793,77.856,78.29,78.239,78.521,78.455,79.115,79.179,79.169,79.324,79.37,79.593,79.894,79.774,80.027,80.25,80.665,81.092,81.42,81.373,81.966,82.365,82.595,83.006,83.481,83.671,83.646,83.482,83.95,83.745,83.752,83.659,83.859,83.886,84.064,84.127,84.166,84.401,84.368,84.76,84.645,84.785,84.872,85.05,85.085,85.277,85.618,85.421,85.854,85.983,85.966,86.36,86.361,86.223,86.388,86.487,86.48,86.538,86.673,86.967,87.05,87.295,87.287,87.299,87.531,87.766,87.858,88.383,88.383,88.843,89.176,89.247,89.323,89.242,89.928,89.895,90.604,90.809,90.904,91.084,91.464,91.791,91.97,91.98,92.444,92.307,92.221,92.681,92.982,93.184,93.452,92.796,92.741,92.869,92.823,92.862,92.749,93.115,93.031,93.17,93.717,94.017,93.929,94.006,94.762,94.856,95.315,95.577,95.916,96.503,97.034,96.709,96.836,97.259,97.391,98.333,98.486,98.602,98.66,98.339,99.158,99.622,99.409,99.068,98.785,99.043,100.131,100.138,99.92,100.128,100.098,100.289,100.483,100.862,101.054,101.351,101.113,101.202,100.996,101.055,101.392,101.67,101.981,102.388,102.643,102.471,102.346,103.035,104.032,104.499,104.969,105.328,105.832,106.079,106.403,106.866,107.288,107.854,108.077,108.869,109.33,109.628,111.073,111.682,112.589,114.034,114.793,115.414,115.719,115.881,115.685,115.626,115.176,114.629,114.242,113.632,113.745,113.238,113.156,112.791,112.924,112.986,113.295
"26","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",79.347,79.548,79.785,79.713,80.079,80.137,80.178,80.235,80.484,80.626,80.621,80.691,80.924,81.093,80.956,80.979,80.825,80.871,80.834,80.625,80.479,80.389,80.581,80.647,80.752,80.683,80.644,80.621,80.597,80.755,80.83,80.662,80.585,80.547,80.718,80.711,80.614,80.714,80.824,81.081,81.225,81.224,81.101,81.507,81.497,81.603,81.759,81.525,81.998,82.237,82.583,82.652,82.884,83.13,83.345,83.483,83.74,83.978,84.073,84.292,84.423,84.684,84.738,84.954,85.121,85.036,85.138,85.414,85.443,85.613,85.518,85.623,85.65,85.644,85.462,85.849,86.023,86.072,86.062,86.174,86.568,86.742,86.76,87.569,87.886,88.176,87.94,88.375,88.472,88.528,88.968,89.062,89.63,89.615,89.874,90.33,90.514,90.782,91.246,91.571,91.466,91.795,92.097,92.191,92.3,92.372,92.661,92.713,92.948,93.119,93.146,93.508,93.648,93.798,94.224,94.141,94.604,94.546,94.72,94.519,94.817,95.157,94.889,95.313,95.394,95.684,95.759,96.014,95.953,96.113,96.091,96.178,96.332,96.309,96.482,96.473,96.602,96.703,96.859,97.034,97.262,97.286,97.533,97.889,98.06,97.644,97.985,98.616,98.369,98.61,98.571,98.783,99.183,99.286,99.623,99.665,99.562,99.701,99.715,99.911,99.684,99.745,99.812,100.059,100.368,100.365,100.526,100.478,100.893,101.216,101.196,101.197,101.407,101.748,101.602,101.482,101.427,101.701,101.784,101.95,102.189,102.645,103.182,103.209,103.475,103.963,103.96,104.165,104.02,104.478,104.586,104.869,105.821,106.506,106.361,107.205,107.205,107.151,107.592,107.962,108.597,108.965,109.223,109.376,109.796,109.822,110.328,110.347,110.782,111.134,111.37,111.746,111.428,111.766,112.342,111.991
"27","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",119.837,119.689,119.718,119.35,119.981,119.961,120.28,120.09,120.047,120.209,120.517,120.682,120.086,120.24,119.501,119.814,119.358,118.989,118.951,119.756,119.384,118.971,119.604,119.25,118.315,117.951,118.583,118.485,118.597,118.927,118.736,118.07,118.054,117.397,117.729,117.321,117.139,115.889,116.218,116.373,115.445,115.152,115.317,115.929,116.007,115.866,115.404,115.455,115.548,115.161,115.711,115.169,114.896,114.234,113.761,112.234,113.667,113.439,113.502,113.325,113.708,113.397,113.533,114.344,114.736,114.397,114.079,112.833,112.998,112.706,112.583,112.722,112.314,111.5,110.984,110.865,111.311,110.991,111.011,112.272,110.903,110.968,111.171,110.264,109.915,109.288,108.805,109.955,109.992,109.951,109.834,109.532,109.59,109.686,109.416,109.511,109.068,108.887,108.897,108.538,108.203,107.826,107.6,107.418,107.902,107.937,107.952,107.749,108.302,108.365,108.462,107.388,106.538,106.843,106.792,105.988,105.346,105.517,105.144,104.849,104.499,104.401,105.017,104.86,104.39,103.948,103.561,104.101,103.503,103.205,103.133,102.828,102.255,102.07,101.152,100.969,100.717,101.099,101.496,101.399,101.302,101.352,101.086,100.439,100.652,100.642,100.883,101.085,101.301,101.497,101.291,100.67,100.411,100.69,100.94,100.47,100.505,100.493,100.706,100.214,100.216,99.732,99.463,99.973,99.915,99.615,99.758,99.41,99.566,98.805,99.526,100.137,100.422,100.583,99.829,100.573,100.773,100.49,100.217,100.498,100.954,101.446,100.99,100.237,100.284,100.247,99.864,99.398,99.59,100.139,100.52,100.934,101.248,100.777,100.275,100.608,100.59,100.509,101.148,101.69,101.553,100.98,100.887,100.259,100.3,101.529,101.798,101.788,101.614,101.998,101.983,101.872,102.48,102.285,101.828,102.139
"28","20","S2 PN4481ZZMG     Clothing stores","T070203",121.154,120.486,120.615,120.432,121.026,120.864,120.951,120.746,120.992,121.086,121.534,121.53,120.575,121.39,120.78,120.564,119.895,119.525,119.617,120.831,119.85,119.386,120.281,120.063,118.859,118.026,118.492,118.854,118.772,119.213,118.986,118.031,118.282,117.844,117.972,117.501,117.109,115.617,115.923,115.988,115.509,114.544,114.997,115.467,115.554,115.666,115.098,115.022,115.535,115.191,115.452,115.261,114.855,114.031,113.404,111.956,113.568,113.233,113.434,113.655,114.072,113.613,113.705,115.24,115.714,115.237,114.704,113.172,113.445,112.935,113.135,113.137,112.589,111.678,111.386,111.224,111.804,111.591,111.676,113.28,111.562,111.811,111.975,111.136,110.837,110.032,109.613,110.749,110.909,111.105,110.826,110.644,110.92,111.197,110.774,111.172,110.637,110.258,110.237,109.633,109.555,109.377,109.314,109.18,109.388,109.486,109.252,108.977,109.329,109.667,109.637,108.728,107.725,107.724,107.378,106.617,106.49,106.127,105.919,105.485,105.23,105.516,105.657,105.584,105.028,104.587,104.255,105.124,104.199,103.789,103.819,103.462,102.843,102.592,101.806,101.609,101.373,101.631,101.977,101.936,101.949,102.086,101.764,101.228,101.278,101.183,101.394,101.459,101.617,101.927,101.859,101.102,100.701,101.299,101.523,100.404,100.841,100.578,100.997,100.571,100.437,100.002,99.598,99.777,99.178,99.183,99.625,99.214,99.059,98.281,99.406,99.852,99.913,100.188,99.348,100.027,100.19,99.828,99.347,99.53,99.866,100.248,100.132,99.259,99.092,98.476,98.111,97.745,97.858,98.364,98.813,99.322,99.483,98.489,97.655,97.803,97.764,97.53,98.093,98.919,98.782,97.911,97.871,97.074,97.228,98.578,98.781,98.732,98.62,99.092,98.916,98.908,99.434,99.051,98.294,98.732
"29","21","S2 PN4482ZZMG     Shoe stores","T070213",109.038,109.169,109.835,109.689,109.881,110.201,110.572,111.039,110.609,110.999,110.573,111.296,110.83,110.512,110.274,110.529,110.981,110.466,110.013,109.711,110.382,110.318,110.89,110.54,110.606,109.694,109.496,109.921,110.576,110.959,109.876,109.451,108.594,107.647,108.224,107.928,108.267,108.251,108.23,108.441,107.629,107.384,107.345,107.584,108.801,108.068,107.627,106.635,106.298,107.589,108.815,107.355,107.8,107.746,106.973,105.672,106.877,106.432,106.587,106.64,106.492,106.58,106.582,107.004,107.426,106.315,106.548,106.918,107.281,107.765,106.773,107.278,107.399,105.846,104.883,104.686,105.774,106.49,106.191,106.751,106.335,104.99,105.59,104.897,104.872,103.736,103.686,104.311,103.498,103.363,103.937,102.85,102.456,102.172,102.427,102.112,102.011,101.909,102.194,102.283,102.44,102.125,100.546,100.32,102.405,101.322,101.559,101.987,101.707,102.002,102.034,100.723,100.921,100.621,101.543,101.182,100.484,100.712,100.019,99.296,97.951,99.13,100.348,100.255,100.701,99.705,99.77,99.597,98.933,99.044,99.269,99.234,99.75,98.999,97.205,96.647,96.895,97.864,98.773,97.883,97.637,97.865,97.854,97.303,96.71,96.786,97.298,97.51,97.534,97.653,96.764,97.484,98.7,97.957,98.285,98.699,99.245,99.748,99.264,99.466,99.606,99.911,99.779,100.702,101.715,101.142,99.947,99.411,101.239,100.726,101.088,101.079,101.351,100.855,99.724,99.985,100.431,100.385,100.053,100.523,102.112,103.659,101.317,100.533,101.352,104.079,103.051,102.189,103.136,104.014,104.318,104.488,104.72,104.893,104.918,105.673,105.704,105.826,106.523,105.621,105.427,105.549,106.019,105.711,105.392,106.495,107.058,107.263,107.318,107.349,107.874,108.089,108.221,108.564,108.853,109.201
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",123.639,125.826,124.482,122.862,124.239,124.555,126.08,125.144,123.991,124.234,124.703,125.067,126.319,123.38,121.351,124.602,124.186,123.995,123.786,123.874,125.268,124.723,124.108,123.104,122.354,124.964,127.49,124.396,124.859,124.56,125.61,126.118,125.772,124.399,125.413,125.176,125.404,123.967,124.789,125.286,122.123,124.951,123.97,125.678,124.4,123.74,123.76,125.595,124.212,121.74,122.851,121.752,121.273,120.69,121.274,119.149,119.991,120.495,119.81,117.543,118.344,118.285,118.759,116.627,116.582,117.762,117.848,116.189,115.618,115.526,114.827,115.219,114.921,115.353,114.266,114.414,113.541,111.685,111.738,112.135,111.401,112.08,112.046,110.629,109.734,110.43,109.246,110.971,111.289,110.284,110.21,110.132,109.661,109.335,109.227,108.453,108.068,108.627,108.507,108.803,106.926,105.653,105.924,105.585,105.822,106.57,107.489,107.037,109.243,107.864,108.577,106.969,105.82,108.158,108.555,107.113,104.074,106.757,105.91,106.682,106.839,103.738,105.963,105.364,104.464,104.532,103.474,103.139,104.095,103.963,103.149,102.855,101.565,102.17,101.417,101.621,100.837,101.287,101.48,101.827,101.351,100.842,100.61,99.385,101.019,101.333,101.487,102.317,102.957,102.682,102.404,101.288,100.459,100.089,100.388,102.237,99.947,100.685,100.496,99.13,99.653,98.271,98.522,100.291,101.989,100.413,100.241,100.361,100.61,99.718,98.847,100.726,102.098,102.248,102.232,103.71,103.876,103.773,104.606,105.232,105.338,105.515,104.873,104.755,105.249,105.92,105.967,105.312,105.291,105.8,105.892,106.007,107.173,108.922,109.745,110.723,110.785,111.369,112.36,112.621,112.548,113.053,112.151,112.328,112.015,112.58,112.989,113.034,112.269,112.435,112.923,111.862,113.416,113.892,114.649,114.106
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",99.79,100.001,100.156,100.294,100.316,100.216,100.473,100.549,100.529,100.563,100.816,100.723,100.498,100.652,100.641,100.715,100.774,100.633,100.669,100.997,100.761,100.888,101.281,101.262,100.966,100.732,100.898,101.14,101.223,101.513,101.55,101.305,101.338,101.187,101.381,101.291,101.266,100.914,100.928,101.141,100.95,100.647,100.926,101.365,101.525,101.657,101.458,101.442,101.743,101.938,102.143,102.236,102.022,101.812,101.799,101.521,102.143,102.085,102.138,102.129,102.332,102.345,102.37,102.745,102.825,102.686,102.539,102.033,102.14,102.057,102.092,102.004,102.073,101.901,101.739,101.902,102.064,101.836,101.99,102.362,101.874,102.069,101.98,101.888,102.174,101.789,101.479,102.026,101.975,102.052,102.091,102.004,102.223,102.212,102.107,102.136,102.064,101.973,102.209,102.205,102.289,102.181,102.366,102.276,102.419,102.336,102.363,102.384,102.619,102.799,102.638,102.571,102.147,102.386,102.485,102.179,102.242,102.196,102.144,101.809,101.792,101.855,101.812,102.038,101.608,101.424,101.275,101.37,101.121,100.895,100.856,100.578,100.375,100.332,100.116,100.052,99.732,99.888,100.076,100.044,99.995,100.012,99.988,99.838,99.871,99.967,100.116,100.152,100.281,100.28,100.136,99.858,99.746,100.107,100.208,99.867,99.929,99.848,99.87,100.158,100.157,99.844,99.876,99.967,100.12,100.128,100.055,100.049,100.146,99.955,100.133,100.173,100.196,100.169,100.018,100.18,100.225,100.167,99.848,99.846,99.867,100.113,100.141,99.93,99.866,99.88,99.775,99.399,99.384,99.715,99.916,99.934,100.16,100.125,100.049,100.339,100.433,100.628,101.096,101.343,101.502,101.181,100.302,99.459,99.514,99.852,99.675,99.599,99.374,99.658,99.2,98.999,98.786,98.344,98.078,97.883
"32","24","S1 PN4521ZZMG     Department stores","T070243",108.051,108.248,108.398,108.551,108.597,108.435,108.719,108.732,108.719,108.754,109.052,108.928,108.589,108.755,108.723,108.754,108.698,108.574,108.637,109.107,108.838,108.883,109.383,109.291,108.866,108.549,108.767,109.061,109.126,109.436,109.42,109.082,109.116,108.901,109.151,108.945,108.873,108.313,108.333,108.467,108.184,107.755,108.054,108.579,108.733,108.841,108.546,108.483,108.794,108.936,109.133,109.169,108.872,108.483,108.333,107.883,108.679,108.485,108.522,108.543,108.813,108.724,108.769,109.266,109.402,109.214,108.966,108.256,108.364,108.211,108.22,108.14,108.131,107.822,107.612,107.727,107.913,107.624,107.749,108.261,107.525,107.723,107.638,107.213,107.388,106.892,106.55,107.204,107.163,107.254,107.217,107.092,107.224,107.238,107.054,107.105,106.922,106.702,106.904,106.768,106.766,106.628,106.691,106.492,106.623,106.546,106.501,106.442,106.738,106.844,106.615,106.333,105.672,105.897,105.855,105.447,105.435,105.345,105.231,104.873,104.724,104.685,104.679,104.76,104.386,104.087,103.812,103.995,103.595,103.39,103.257,102.873,102.51,102.317,101.903,101.844,101.465,101.556,101.782,101.655,101.537,101.52,101.303,100.898,100.982,101.051,101.143,101.159,101.159,101.151,100.901,100.461,100.337,100.665,100.721,100.206,100.414,100.35,100.383,100.375,100.439,100.051,99.815,99.812,99.609,99.584,99.617,99.551,99.593,99.252,99.574,99.712,99.718,99.631,99.287,99.499,99.532,99.386,98.959,98.982,98.942,99.123,99.024,98.683,98.523,98.361,98.221,97.762,97.699,98.022,98.16,98.163,98.264,97.883,97.504,97.547,97.503,97.352,97.569,97.861,97.885,97.538,97.318,96.827,96.886,97.418,97.416,97.328,97.129,97.093,96.71,96.358,96.355,95.827,95.291,95.141
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",89.137,89.388,89.564,89.683,89.652,89.679,89.896,90.11,90.074,90.107,90.284,90.25,90.242,90.381,90.411,90.578,90.875,90.689,90.674,90.733,90.549,90.85,91.052,91.176,91.119,91.038,91.11,91.262,91.387,91.653,91.797,91.72,91.754,91.718,91.815,91.942,92.004,92.033,92.036,92.408,92.381,92.303,92.557,92.856,93.035,93.22,93.191,93.262,93.557,93.859,94.089,94.29,94.216,94.321,94.551,94.573,94.909,95.092,95.178,95.113,95.206,95.397,95.388,95.563,95.547,95.488,95.512,95.342,95.449,95.483,95.566,95.461,95.664,95.715,95.624,95.868,95.995,95.854,96.058,96.224,96.102,96.297,96.197,96.602,97.056,96.825,96.552,96.956,96.889,96.947,97.094,97.06,97.406,97.358,97.359,97.362,97.435,97.517,97.802,97.969,98.166,98.098,98.439,98.481,98.642,98.553,98.668,98.788,98.952,99.22,99.139,99.31,99.146,99.402,99.652,99.452,99.595,99.592,99.602,99.285,99.398,99.561,99.478,99.847,99.36,99.283,99.251,99.265,99.154,98.908,98.956,98.774,98.712,98.799,98.749,98.682,98.411,98.623,98.779,98.827,98.834,98.88,99.009,99.058,99.052,99.167,99.361,99.412,99.64,99.643,99.581,99.426,99.324,99.709,99.845,99.635,99.59,99.496,99.512,100.011,99.963,99.705,99.923,100.08,100.473,100.502,100.356,100.389,100.522,100.43,100.511,100.487,100.52,100.532,100.502,100.633,100.685,100.682,100.43,100.415,100.474,100.76,100.865,100.733,100.728,100.845,100.762,100.435,100.448,100.784,101.023,101.05,101.349,101.504,101.593,102.019,102.186,102.565,103.168,103.39,103.618,103.308,102.084,101.059,101.111,101.354,101.089,101.018,100.779,101.219,100.723,100.595,100.278,99.877,99.742,99.524
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",73.622,73.713,73.951,74.119,74.309,74.904,75.222,75.145,75.128,75.48,75.698,75.859,75.854,75.951,75.873,75.786,75.293,74.959,74.886,74.84,74.502,75.688,75.428,75.145,74.944,75.514,75.473,75.425,75.042,75.294,76.136,77.13,77.021,76.961,77.221,77.224,77.143,77.06,76.84,76.923,77.161,77.294,77.238,77.132,76.929,76.975,76.637,77.125,78.085,78.21,79.002,80.217,80.317,79.463,79.449,79.263,79.433,80.11,80.493,81.021,81.188,81.244,80.82,80.286,79.426,79.153,79.048,79.917,80.268,80.217,79.754,79.63,78.844,78.137,77.161,76.925,77.416,77.606,77.677,77.268,77.121,77.338,76.969,76.803,76.859,76.407,76.93,79.608,79.341,79.188,80.16,81.264,82.29,82.387,82.177,83.339,83.933,85.444,87.494,86.318,85.859,87.729,87.718,86.472,88.289,88.048,88.085,87.861,87.93,87.674,86.941,87.485,89.341,89.04,86.805,86.136,88.14,85.592,83.161,81.896,82.123,82.064,83.563,85.391,85.393,85.513,85.852,86.126,86.3,87.257,87.152,87.067,89.38,91.535,91.519,88.818,85.927,85.965,86.999,88.917,90.38,88.966,88.895,89.602,91.277,91.731,91.91,91.385,92.694,93.663,93.361,93.302,93.969,96.091,97.158,96.534,95.603,96.465,97.082,98.015,96.109,96.123,98.862,101.902,108.194,106.904,102.76,101.98,103.772,103.359,103.063,104.785,105.28,105.297,106.898,108.044,104.735,101.604,101.846,103.812,103.166,104.053,106.274,107.292,108.806,108.774,109.22,108.567,109.87,110.421,114.165,115.103,115.804,116.349,117.38,117.524,118.953,122.444,124.939,122.94,122.7,116.929,104.208,98.13,99.295,101.85,100.485,100.753,101.922,107.603,107.495,109.435,109.961,110.433,111.708,111.748
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",71.23,71.756,72.182,72.694,72.54,72.638,72.906,72.983,73.225,73.442,73.679,73.843,73.997,74.214,74.389,74.172,74.321,74.505,74.816,74.94,75.042,75.09,75.191,75.344,75.444,75.596,75.719,76.032,76.194,76.288,76.401,76.59,76.66,76.8,76.983,77.09,76.961,76.872,76.805,76.744,76.762,76.884,77.109,77.327,77.356,77.639,77.85,77.938,78.145,78.342,78.495,78.666,78.646,78.723,78.985,79.128,79.191,79.539,79.309,79.313,79.516,79.717,79.94,80.058,80.171,80.172,80.164,79.997,80.057,80.085,80.252,80.548,80.703,80.843,80.862,81.335,81.717,81.745,81.853,82.145,82.513,82.704,82.69,82.955,83.234,83.437,83.696,84.17,84.393,84.719,85.04,85.44,85.698,85.918,86.24,86.471,86.628,86.665,86.994,87.212,87.286,87.466,87.718,88.015,88.174,88.304,88.562,88.941,89.254,89.657,90.012,90.272,90.476,90.906,91.174,91.343,91.693,91.901,92.075,92.296,92.532,92.861,93.01,93.355,93.541,93.767,94.008,94.055,94.177,94.388,94.67,94.808,95,94.924,95.18,95.188,95.158,95.211,95.609,95.826,96.079,96.119,96.007,96.417,96.545,96.771,97.045,97.361,97.64,97.719,97.864,97.86,98.12,98.429,98.495,98.578,98.653,98.881,98.943,99.082,99.522,99.781,100.118,100.242,100.586,100.986,101.484,101.724,101.968,102.182,102.516,102.778,103.136,103.223,103.444,103.683,103.886,103.822,103.367,103.333,103.84,103.653,103.587,103.87,104.06,104.112,104.615,104.868,104.946,105.237,105.672,105.92,106.188,106.213,106.657,106.677,106.222,106.43,106.51,106.571,106.686,106.915,107.405,107.726,107.943,108.213,108.449,108.902,109.224,109.353,109.332,109.848,110.294,110.525,110.558,110.642
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",53.759,53.617,53.738,53.669,54.105,55.057,55.383,55.173,55.087,55.649,55.814,56.055,56.097,56.166,55.776,55.531,54.539,53.884,53.57,53.311,52.671,54.798,54.155,53.612,53.233,53.938,53.676,53.556,52.616,52.929,54.442,56.393,56.135,56.021,56.371,56.374,56.06,55.943,55.558,55.593,56.043,56.257,55.876,55.405,54.889,55,54.147,54.966,56.37,56.426,57.699,59.783,60.213,58.65,58.481,58.077,58.091,58.955,59.741,60.82,61.159,61.187,60.206,59.162,57.353,56.806,56.73,58.846,59.654,59.55,58.548,58.126,56.337,54.893,52.911,51.998,52.912,53.477,53.508,52.492,52.287,52.673,52.057,51.559,51.46,50.594,51.749,57.084,56.303,55.884,57.918,60.265,62.221,62.359,61.818,64.267,65.198,67.265,72.705,69.859,68.705,73.377,73.005,69.93,73.563,72.849,72.721,72.022,72.159,71.579,70.07,71.268,75.901,74.7,69.142,67.804,72.444,66.497,60.867,58.442,59.096,58.846,62.432,66.284,66.296,66.601,67.367,68.005,68.485,70.782,70.445,70.321,75.581,80.434,79.926,74.223,67.831,68.168,70.449,75.367,79.371,75.731,75.541,77.051,80.702,81.772,81.919,80.334,83.275,85.568,84.89,84.726,86.181,90.826,93.275,92.152,89.756,92.007,93.285,95.41,90.084,90.074,96.858,104.842,120.881,117.091,105.901,103.811,108.434,107.43,106.515,110.934,112.055,112.278,116.801,119.629,110.905,102.543,103.682,108.929,106.666,108.337,114.167,116.599,120.519,120.074,120.753,118.592,121.774,122.39,131.053,133.143,134.468,135.845,137.729,137.851,141.74,150.932,157.932,152.484,152.061,135.59,100.431,84.802,88.141,94.799,91.002,91.128,94.337,109.997,110.211,115.718,116.981,117.968,121.407,121.872
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",107.069,107.094,107.378,107.602,107.772,107.642,107.681,107.767,107.807,108.081,108.451,108.027,107.945,108.011,108.107,108.094,107.762,107.742,107.864,108.244,108.313,108.932,108.838,108.659,108.427,108.475,108.839,108.94,109.078,109.242,109.566,109.476,109.263,109.136,109.543,108.887,109.484,109.385,109.16,109.411,109.281,108.824,108.938,109.18,109.339,109.167,109.105,109.222,109.367,109.963,110.228,110.132,109.961,109.974,109.837,109.569,109.594,109.745,109.908,109.748,109.723,109.75,109.792,109.01,108.924,109.188,108.96,109.32,109.261,109.081,109.001,108.913,108.742,108.582,108.674,108.568,108.415,108.193,108.098,108.019,107.746,107.645,107.46,107.242,107.22,106.914,106.661,106.996,106.917,106.378,106.152,105.888,105.45,105.445,105.021,104.558,104.954,104.983,105.204,105.149,105.366,105.21,105.18,104.982,105.181,105.087,105.075,105.066,105.004,104.699,104.376,104.678,104.704,104.902,104.921,104.746,104.703,104.674,104.382,103.829,103.71,104.051,103.817,103.775,103.713,103.156,102.963,103.167,103.005,102.794,102.776,102.559,102.607,102.508,102.22,102.003,101.683,101.698,101.9,101.953,101.865,101.78,101.716,101.615,101.473,101.589,101.925,101.792,101.5,101.601,101.209,100.928,100.843,101.062,101.193,100.696,100.677,100.394,100.208,100.195,100.266,100.134,99.875,99.739,99.871,99.859,99.575,99.207,99.323,99.243,99.234,99.411,99.4,99.183,99.111,99.06,98.43,98.572,98.64,98.53,98.312,98.269,98.363,97.658,97.713,97.663,97.136,97.14,96.683,96.86,97.023,96.791,96.936,97.074,96.766,96.72,96.767,96.645,96.741,96.883,97.07,97.135,96.71,96.028,96.046,96.665,96.778,96.737,96.656,96.649,96.529,96.473,96.511,96.269,95.964,95.665
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",117.292,117.166,117.461,117.821,117.834,117.695,117.699,117.785,117.629,117.957,118.574,118.04,117.743,117.861,117.938,117.794,117.354,117.273,117.435,117.651,118.001,118.738,118.647,118.338,118.003,117.97,118.484,118.657,118.838,119.145,119.477,119.266,118.785,118.755,119.411,118.431,119.198,118.958,118.683,118.764,118.533,118.276,118.368,118.66,118.858,118.512,118.051,118.214,118.26,119.035,119.378,119.216,119.156,119.108,118.739,118.169,118.396,118.399,118.651,118.319,118.324,118.232,118.288,117.977,117.6,117.617,117.448,117.595,117.576,117.394,117.12,117.011,116.912,116.501,116.234,115.842,115.605,115.42,115.31,115.074,114.299,114.139,114.079,113.693,113.478,113.019,112.845,113.11,112.648,112.348,112.308,111.839,111.36,111.147,110.69,110.077,110.226,110.005,110.366,110.37,110.389,109.922,109.849,109.563,109.784,109.712,109.433,109.341,109.151,108.769,108.294,108.431,108.428,108.396,108.242,107.955,107.98,107.838,107.289,106.742,106.619,106.739,106.59,106.528,106.023,105.339,105.212,105.04,104.693,104.456,104.142,103.918,103.943,103.811,103.473,103.106,102.745,103.067,103.236,103.076,102.936,102.796,102.874,102.709,102.421,102.659,102.839,102.517,102.139,102.195,101.681,101.425,101.316,101.387,101.582,100.947,100.908,100.68,100.347,100.291,100.327,100.069,99.786,99.697,99.751,99.761,99.327,99.055,99.202,98.977,99.034,99.284,99.219,98.949,98.898,98.797,98.065,98.053,98.162,98.071,97.665,97.486,97.568,96.58,96.615,96.578,95.772,95.703,95.05,95.23,95.373,95.093,95.246,95.349,94.96,94.89,95.038,94.72,94.896,94.839,94.999,95.035,94.539,93.687,93.686,94.475,94.657,94.614,94.572,94.568,94.318,94.166,94.283,94.004,93.57,93.357
