"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"21","13","      Other \3\","B937RG3",64.692,65.016,65.62,66.171,66.812,67.477,68.042,68.7,69.3,69.912,70.469,71.026,71.607,71.714,72.05,72.308,72.745,73.301,73.605,73.696,74.415,76.836,79.164,81.58,83.763,85.157,85.673,86.662,88.098,89.26,89.991,89.753,89.832,89.836,89.991,90.321,91.779,93.387,94.494,95.069,95.353,96.064,96.563,97.638,99.619,102.165,104.967,107.247,108.991,110.133,111.006,112.655,113.334,115.765,116.951,117.649,118.672,118.738,119.421,119.784,120.746,121.6,122.117,122.507,123.161,123.429,123.422,124.202,125.375,126.294,127.599,127.417,129.1,129.568,129.425,130.907,131.987,131.176,130.832,132.028,132.775,133.299,133.124,133.536,134.637,134.359,134.737,135.418,136.433,136.284,136.537,136.651,137.623,137.511,138.562,137.837,137.688,137.708,137.537,137.342,137.63,137.197,136.579,135.899,136.035,136.089,135.679,134.81,134.442,133.497,133.194,133.113,132.873,132.264,131.802,130.605,128.557,126.664,125.192,123.961,122.727,121.33,119.993,118.992,118.675,117.964,117.477,116.64,115.575,114.114,112.878,111.858,111.671,110.639,109.511,108.182,106.582,105.335,103.866,102.022,101.302,100.793,100.658,100.496,100.493,100.13,99.876,99.5,98.716,98.481,98.819,99.345,99.764,99.95,97.759,95.199,96.111,95.891,96.006,95.812,94.646,93.848,94.306,93.806,93.206,93.02,92.747,93.234,93.645,93.073,92.638,92.117,92.216,92.153
"22","14","    Industrial equipment","B680RG3",21.499,21.584,21.746,22.003,22.315,22.646,22.951,23.234,23.441,23.712,23.954,24.11,24.164,24.245,24.31,24.441,24.577,24.81,25.101,25.402,25.827,26.489,27.668,29.304,31.121,32.624,33.643,34.323,34.805,35.334,35.954,36.652,37.627,38.533,39.372,40.162,41.087,41.897,42.737,43.617,44.735,45.853,47.121,48.252,50.104,51.81,53.397,54.849,56.124,57.157,58.074,58.875,59.101,60.302,60.763,61.029,61.343,61.605,61.575,61.624,61.861,62.265,62.329,62.442,62.475,62.875,63.474,64.204,65.198,65.927,66.592,66.834,68.126,68.797,68.929,70.113,70.991,71.981,72.062,73.334,73.89,74.177,74.962,75.818,76.973,77.687,78.659,79.85,80.919,80.708,80.979,81.727,82.247,82.589,83.483,83.204,83.43,83.853,84.172,84.6,84.849,85.396,85.989,86.67,87.252,88.538,89.18,89.637,90.123,90.296,90.618,90.928,91.039,91.029,91.123,91.242,91.371,91.514,91.725,91.877,92.102,92.004,92.133,92.378,92.486,92.595,92.773,92.82,93.139,93.328,93.265,93.355,93.15,93.109,93.422,93.551,93.695,93.877,94.138,94.343,95.108,95.979,96.736,97.646,98.785,99.845,100.305,101.066,101.749,102.557,103.838,104.626,105.896,106.926,107.714,108.73,109.915,111.96,114.034,114.101,113.856,113.664,113.901,114.257,114.55,115.116,115.486,116.151,117.43,118.589,119.46,119.657,120.377,120.943
"23","15","    Transportation equipment","B681RG3",26.787,27,27.456,27.723,28.057,28.311,28.606,29.214,29.831,30.122,30.008,29.89,30.375,30.649,30.912,30.487,30.361,30.726,31.181,31.483,32.234,33.169,34.32,35.547,36.485,37.514,37.8,38.579,39.501,39.776,40.491,41.394,41.825,42.546,43.813,45.494,46.43,46.922,47.656,48.326,49.734,50.955,51.722,53.166,54.813,56.152,57.724,58.47,59.146,60.879,61.559,62.502,63.144,63.537,64.166,64.282,64.623,64.638,64.728,64.966,65.248,65.332,65.456,65.614,66.106,66.874,67.616,68.957,69.824,71.489,71.869,73.241,73.184,72.604,72.629,72.525,72.571,73.285,74.212,75.335,75.341,76.008,76.466,77.978,78.183,78.468,79.212,80.818,82.309,82.673,83.244,84.498,85.426,85.662,85.098,85.306,86.132,86.097,86.051,86.487,88.288,89.144,89.193,87.934,87.464,87.891,88.635,89.012,88.864,89.814,90.606,90.768,90.752,91.09,92.185,91.737,90.87,90.539,90.723,91.14,92.147,92.185,91.027,91.138,91.547,91.701,92.147,91.496,90.395,90.324,91.842,91.244,91.975,91.923,90.516,92.8,92.995,91.961,94.525,99.056,99.124,99.847,98.993,99.006,100.27,100.553,99.166,100.011,100.559,100.729,100.839,101.359,102.084,102.643,102.713,102.062,101.394,101.791,103.537,105.093,109.755,112.752,111.34,105.913,102.621,102.752,103.122,103.606,104.284,105.229,105.206,105.515,106.581,106.384
"24","16","    Other equipment \4\","B862RG3",21.887,22.075,22.19,22.358,22.54,22.782,23.005,23.38,23.768,24.007,24.16,24.182,24.514,24.771,24.773,24.778,24.926,25.224,25.455,25.342,25.578,26.235,27.952,30.128,32.151,33.219,33.821,34.409,35.026,35.483,35.997,36.941,37.776,38.539,39.415,40.335,40.822,41.838,42.72,43.588,44.226,45.162,46.542,47.691,49.072,51.155,52.532,53.283,55.158,56.636,57.951,59.393,60.662,61.187,61.561,62.042,62.49,62.717,62.695,63.044,63.419,63.868,64.193,64.227,64.561,64.906,65.52,65.906,66.183,67.053,67.752,68.13,68.626,68.966,69.005,69.356,70.065,70.72,71.172,72.146,72.782,73.426,74.408,75.145,76.09,76.337,77.101,77.974,78.78,79.134,79.631,80.042,80.518,80.867,81.405,81.702,81.96,82.511,82.785,82.919,83.247,83.948,84.295,84.225,84.665,85.412,85.88,86.677,87.318,87.595,88.179,88.735,88.922,89.044,88.995,89.273,89.717,90.044,90.61,91.135,91.437,91.594,91.595,91.569,91.702,92.033,92.284,92.536,93.036,93.29,93.49,93.973,94.079,93.918,94.311,94.603,94.798,95.122,95.26,95.254,94.791,95.973,96.337,97.085,98.662,99.914,100.575,100.849,101.444,101.614,102.604,103.617,103.942,104.356,104.783,105.463,105.543,105.338,107.771,113.772,114.315,114.064,112.796,112.467,110.537,110.133,111.147,110.859,110.361,111.721,112.84,114.09,114.63,115.514
"25","17","Residential","B011RG3",15.879,16.112,16.172,16.415,16.399,17.011,16.558,16.694,17.138,17.487,17.815,18.088,18.345,18.427,18.733,19.308,19.565,20.048,20.73,21.093,21.569,22.073,22.788,23.411,24.004,24.427,24.657,25.098,25.244,25.984,26.4,26.867,27.51,28.258,29.194,30.074,30.96,31.885,32.707,33.571,34.231,35.405,36.544,37.43,38.412,39.318,40.219,41.207,42.108,42.77,43.313,43.951,44.599,45.261,45.643,45.858,46.079,46.193,46.419,46.83,47.111,47.487,47.945,48.311,48.557,48.662,48.994,49.562,50.157,50.639,51.291,51.89,52.436,52.834,53.286,53.762,54.246,54.737,55.077,55.591,55.991,56.669,56.858,57.202,57.675,57.909,58.18,58.278,58.444,58.706,59.07,58.864,58.671,59.215,59.636,60.421,61.114,61.685,62.244,62.517,63.24,63.604,64.292,65.138,65.942,66.254,66.526,66.89,67.138,67.447,68.194,68.532,68.879,69.21,69.807,70.33,70.53,71.011,71.718,72.387,73.096,73.889,74.516,75.102,76.397,77.133,77.738,78.391,79.446,80.421,81.772,82.338,82.164,82.601,82.916,84.326,86.229,86.279,86.84,88.464,90.544,92.464,94.378,95.802,97.026,98.639,101.224,103.11,104.892,105.941,106.295,107.197,107.791,107.478,107.499,107.68,107.25,106.941,106.196,104.799,104.065,102.494,101.716,102.576,102.573,102.064,102.421,103.02,102.861,103.3,103.65,103.812,103.439,103.722
"26","18","  Structures","B012RG3",15.466,15.697,15.755,15.995,15.978,16.588,16.133,16.267,16.709,17.056,17.383,17.655,17.912,17.993,18.299,18.873,19.13,19.612,20.294,20.657,21.131,21.626,22.324,22.926,23.509,23.927,24.151,24.586,24.722,25.458,25.871,26.337,26.979,27.724,28.658,29.534,30.416,31.336,32.15,33.004,33.655,34.828,35.969,36.85,37.826,38.721,39.614,40.599,41.491,42.138,42.665,43.3,43.931,44.58,44.956,45.164,45.384,45.496,45.717,46.12,46.407,46.786,47.257,47.624,47.871,47.986,48.33,48.902,49.506,49.983,50.639,51.244,51.789,52.188,52.639,53.129,53.615,54.102,54.447,54.959,55.367,56.057,56.238,56.582,57.066,57.3,57.574,57.666,57.846,58.127,58.47,58.287,58.086,58.637,59.059,59.863,60.569,61.136,61.697,61.972,62.698,63.056,63.743,64.602,65.416,65.734,66.012,66.379,66.625,66.942,67.69,68.025,68.371,68.72,69.33,69.862,70.057,70.553,71.262,71.944,72.672,73.484,74.117,74.71,76.026,76.765,77.382,78.047,79.109,80.105,81.471,82.047,81.87,82.321,82.647,84.076,86.019,86.09,86.663,88.319,90.436,92.389,94.342,95.788,96.998,98.62,101.234,103.147,104.939,106.003,106.358,107.267,107.868,107.543,107.576,107.769,107.352,107.053,106.259,104.827,104.079,102.484,101.755,102.685,102.719,102.236,102.628,103.294,103.164,103.606,103.935,104.102,103.67,103.971
"27","19","    Permanent site","B943RG3",14.962,15.113,15.11,15.324,15.235,15.96,15.323,15.417,15.893,16.261,16.623,16.908,17.205,17.278,17.623,18.234,18.475,18.902,19.635,20.036,20.438,20.827,21.425,21.966,22.529,23.039,23.253,23.671,23.666,24.511,24.905,25.29,25.796,26.612,27.597,28.461,29.42,30.409,31.128,31.941,32.498,33.77,34.95,35.75,36.703,37.42,38.373,39.572,40.306,40.878,41.328,41.881,42.538,43.164,43.638,43.826,43.977,44.016,44.115,44.443,44.865,45.08,45.6,45.814,46.055,46.169,46.51,47.035,47.536,48.225,48.836,49.508,50.068,50.389,50.628,51.079,51.867,52.121,52.404,52.9,53.32,54.06,54.166,54.314,54.811,55.01,55.34,55.3,55.336,55.448,55.804,55.48,55.364,55.813,56.256,57.058,57.873,58.308,59.031,59.763,60.326,60.68,61.597,62.688,63.438,63.657,63.926,64.159,64.331,64.521,65.464,65.795,66.256,66.478,67.347,68.034,68.257,68.748,69.545,70.363,71.204,72.021,72.661,73.275,74.732,75.392,75.909,76.532,77.577,78.44,80.09,80.973,80.665,81.067,81.3,82.993,85.358,85.135,85.563,87.472,89.984,92.144,94.101,95.621,96.771,98.594,101.322,103.313,105.504,106.66,106.874,108.29,108.86,108.252,108.282,108.307,107.287,106.69,105.642,104.872,104.976,102.654,101.397,102.586,101.835,100.986,101.993,102.866,101.647,101.584,102.633,103.45,102.427,102.808
"28","20","      Single family","B944RG3",15.1,15.25,15.25,15.5,15.399,16.147,15.499,15.598,16.047,16.396,16.745,17.044,17.343,17.443,17.792,18.439,18.689,19.137,19.885,20.284,20.682,21.08,21.678,22.227,22.775,23.274,23.473,23.872,23.872,24.719,25.118,25.516,26.124,26.89,27.848,28.704,29.675,30.699,31.474,32.362,33.008,34.374,35.638,36.498,37.451,38.199,39.188,40.423,41.204,41.751,42.129,42.561,43.02,43.465,43.76,43.788,43.781,43.732,43.781,44.089,44.575,44.793,45.298,45.476,45.626,45.68,45.957,46.417,46.844,47.491,48.085,48.761,49.225,49.668,49.975,50.445,51.187,51.446,51.76,52.307,52.809,53.637,53.844,54.083,54.698,54.95,55.301,55.246,55.186,55.249,55.566,55.218,55.096,55.537,55.978,56.783,57.638,58.118,58.89,59.675,60.292,60.695,61.655,62.782,63.551,63.782,64.051,64.274,64.404,64.58,65.511,65.828,66.276,66.463,67.282,67.867,67.877,68.227,68.945,69.75,70.677,71.567,72.261,72.889,74.275,74.928,75.455,76.097,77.218,78.136,79.811,80.694,80.331,80.693,80.908,82.601,84.984,84.815,85.315,87.308,89.898,92.115,94.103,95.625,96.782,98.587,101.273,103.191,105.239,106.29,106.44,107.83,108.213,107.392,107.177,106.913,105.551,104.64,103.32,102.307,102.231,99.721,98.288,99.272,99.02,97.524,97.928,98.693,98.716,98.742,98.971,99.469,98.76,99.294
"29","21","      Multifamily","B292RG3",15.802,15.973,15.972,16.143,16.086,16.825,16.143,16.2,16.711,17.109,17.507,17.792,18.133,18.189,18.587,19.212,19.497,19.952,20.747,21.202,21.657,22.055,22.68,23.192,23.76,24.272,24.498,25.012,24.953,25.86,26.259,26.603,26.554,27.795,29.075,30.096,31.104,32.033,32.597,33.207,33.518,34.588,35.588,36.252,37.261,37.928,38.857,40.066,40.762,41.469,42.152,43.031,44.171,45.254,46.206,46.86,47.543,47.906,48.213,48.655,48.905,49.15,49.778,50.135,50.695,51.016,51.581,52.335,53.092,53.959,54.683,55.423,56.514,56.314,56.238,56.616,57.657,57.873,57.988,58.202,58.18,58.456,58.022,57.662,57.447,57.318,57.535,57.578,58.145,58.54,59.17,59.019,58.928,59.452,59.902,60.659,60.969,60.826,60.99,61.188,61.222,61.107,61.609,62.354,62.886,62.972,63.214,63.519,64.044,64.348,65.406,65.875,66.458,66.951,68.186,69.626,71.432,73.071,74.577,75.557,75.714,75.984,76.236,76.797,78.945,79.694,80.114,80.541,80.869,81.205,82.6,83.477,83.629,84.352,84.689,86.305,88.391,87.622,87.396,88.545,90.382,92.04,93.693,95.129,96.09,98.075,101.336,104.288,108.277,110.676,111.548,113.134,114.77,115.317,116.686,118.186,118.689,119.567,119.868,120.41,121.765,120.274,119.834,122.112,117.127,121.897,128.599,130.269,117.131,116.256,124.45,127.992,124.368,123.514
"30","22","    Other structures \5\","B863RG3",16.301,16.736,16.942,17.237,17.39,17.724,17.71,17.942,18.296,18.583,18.803,19.028,19.154,19.255,19.421,19.845,20.132,20.769,21.246,21.506,22.178,22.937,23.848,24.562,25.148,25.392,25.623,26.084,26.464,27.012,27.465,28.094,29.001,29.578,30.378,31.264,31.956,32.713,33.712,34.635,35.465,36.418,37.464,38.49,39.499,40.671,41.473,42.155,43.274,44.033,44.671,45.419,46.021,46.7,46.941,47.167,47.482,47.712,48.157,48.709,48.72,49.436,49.799,50.471,50.722,50.831,51.177,51.827,52.613,52.694,53.428,53.899,54.414,54.952,55.788,56.346,56.29,57.177,57.628,58.167,58.552,59.147,59.46,60.136,60.592,60.888,61.071,61.386,61.797,62.33,62.661,62.702,62.365,63.076,63.462,64.268,64.803,65.574,65.887,65.458,66.435,66.796,67.11,67.599,68.524,69.002,69.298,69.866,70.222,70.735,71.183,71.525,71.699,72.237,72.468,72.774,72.925,73.426,74,74.472,75.021,75.827,76.453,77.014,78.102,78.97,79.745,80.475,81.562,82.77,83.688,83.785,83.816,84.345,84.814,85.834,87.117,87.649,88.451,89.709,91.18,92.8,94.75,96.073,97.377,98.661,101.087,102.876,103.974,104.893,105.486,105.632,106.304,106.379,106.413,106.802,107.053,107.063,106.527,104.533,103.182,102.098,101.71,102.479,102.994,102.736,102.734,103.274,103.811,104.565,104.462,104.236,104.169,104.418
"31","23","  Equipment","B013RG3",54.728,54.986,55.26,55.534,55.785,56.19,56.28,56.536,56.852,57.085,57.295,57.207,57.293,57.34,57.266,57.29,57.372,57.56,57.72,57.933,58.508,59.839,62.08,64.417,65.874,66.686,67.41,68.403,69.407,70.321,70.907,71.402,71.89,72.367,73.005,73.854,74.572,75.557,76.844,78.248,79.551,80.29,80.848,82.021,83.512,85.278,86.862,88.043,89.705,91.489,93.148,94.156,95.981,97.606,98.489,99.141,99.484,99.69,100.425,101.351,101.199,101.338,100.674,100.948,101.118,100.526,99.876,100.205,100.123,101.008,101.27,101.415,101.977,102.364,102.877,102.326,102.635,103.459,103.399,104.111,103.982,103.821,104.595,104.975,104.726,105.042,105.115,105.573,104.834,104.081,105.689,104.048,104.391,104.549,104.939,104.421,104.208,105.101,105.487,105.725,106.169,107.006,107.736,107.591,107.635,107.422,107.353,107.438,107.875,107.464,108.109,108.681,109.163,107.957,107.432,107.046,107.686,106.992,107.458,106.913,106.097,105.265,105.34,105.349,105.018,105.518,105.152,104.89,105.425,104.811,104.979,104.85,104.882,104.198,103.761,103.7,102.492,100.902,100.563,99.649,98.917,98.254,97.178,96.939,99.168,100.127,100.456,100.248,101.292,101.306,101.716,102.304,102.333,102.689,102.046,101.626,100.708,99.996,101.512,101.579,101.334,100.653,97.978,96.201,94.916,93.557,92.698,91.097,90.016,90.325,91.332,91.337,92.916,92.557
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RG3",14.919,15.152,15.279,15.54,15.609,16.148,15.95,16.146,16.531,16.886,17.23,17.513,17.805,17.945,18.222,18.705,18.969,19.416,20.03,20.442,20.944,21.631,22.476,23.253,23.893,24.322,24.544,24.911,25.055,25.663,26.061,26.481,27.208,27.851,28.662,29.425,30.202,31.085,31.873,32.73,33.496,34.601,35.705,36.521,37.318,38.133,38.978,40.084,41.417,42.501,43.42,44.576,45.437,45.971,46.194,46.146,45.774,45.576,45.634,45.804,45.974,46.392,46.774,47.093,47.396,47.507,47.8,48.218,48.616,48.98,49.433,49.875,50.179,50.488,50.852,51.334,51.951,52.442,52.856,53.383,53.805,54.459,54.748,55.123,55.591,55.894,56.254,56.466,56.802,56.986,57.152,56.799,56.69,57.093,57.446,58.081,58.657,59.19,59.71,60.08,60.692,61.047,61.744,62.59,63.36,63.711,64.155,64.584,64.751,65.033,65.801,66.179,66.642,67.094,67.755,68.4,68.916,69.51,70.154,70.783,71.409,72.071,72.645,73.245,74.367,75.071,75.753,76.507,77.562,78.62,79.925,80.462,80.658,81.27,81.739,82.994,84.592,84.653,85.24,86.72,88.72,90.672,92.779,94.649,96.379,98.323,101.304,103.994,106.172,107.883,108.896,110.656,111.607,111.631,112.051,112.768,113.243,113.655,114.439,115.084,113.816,110.977,109.035,109.3,109.505,109.599,110.175,111.052,111.735,112.932,113.965,114.755,114.977,115.575
"34","25","  Private fixed investment in equipment and software","A327RG3",57.833,58.136,58.632,59.131,59.763,60.319,60.754,61.435,62.056,62.415,62.488,62.454,62.851,63.124,63.269,63.14,63.407,64.021,64.518,64.676,65.474,67.096,69.792,73.13,76.377,78.682,79.841,81.051,82.228,82.991,84.01,85.272,86.616,87.833,89.179,90.601,91.586,92.652,93.773,94.883,96.635,98.344,99.915,101.611,104.122,106.689,108.934,110.506,112.687,114.776,116.105,117.435,118.296,119.635,120.352,120.849,120.735,120.276,119.732,119.567,119.325,119.238,118.939,118.735,118.635,118.678,118.92,119.395,119.453,120.388,121.356,121.889,121.881,121.363,120.859,121.688,122.366,122.68,122.813,123.973,124.206,124.185,124.558,125.01,125.341,125.463,126.244,127.321,128.407,127.995,127.562,127.47,127.252,126.537,126.183,125.517,125.653,125.334,124.913,124.565,124.768,124.869,124.522,123.583,123.249,123.433,123.03,122.352,121.368,120.251,119.719,119.027,117.993,117.081,116.203,114.98,113.194,111.822,110.804,109.858,109.369,108.546,107.607,107.175,107.081,106.92,107.016,106.503,105.241,104.729,104.075,103.44,103.133,102.419,101.794,101.686,100.938,100.414,100.275,100.189,99.91,100.074,99.867,99.666,100.148,100.258,99.815,99.78,99.823,99.857,100.139,100.437,100.729,100.902,100.49,100.042,100.076,100.393,101.315,102.217,102.159,101.789,101.236,100.635,99.753,99.631,99.729,99.854,100.037,100.333,100.474,100.567,100.923,101.02
"35","26","  Private fixed investment in new structures \6\","W040RG3",14.931,15.169,15.291,15.554,15.622,16.166,15.973,16.169,16.553,16.907,17.258,17.54,17.837,17.974,18.249,18.732,19.002,19.438,20.053,20.471,20.971,21.66,22.517,23.306,23.947,24.384,24.609,24.97,25.104,25.712,26.107,26.509,27.222,27.868,28.676,29.399,30.198,31.084,31.833,32.692,33.44,34.55,35.668,36.475,37.256,38.066,38.912,40.084,41.395,42.515,43.478,44.603,45.481,46,46.235,46.18,45.766,45.55,45.57,45.741,45.907,46.308,46.693,46.935,47.254,47.357,47.624,47.997,48.358,48.678,49.109,49.566,49.81,50.061,50.375,50.813,51.515,51.999,52.365,52.872,53.326,53.973,54.261,54.574,55.08,55.387,55.794,56.024,56.342,56.501,56.665,56.329,56.24,56.586,56.919,57.541,58.147,58.587,59.123,59.568,60.075,60.385,61.114,61.995,62.791,63.115,63.566,63.977,64.118,64.398,65.228,65.637,66.134,66.583,67.28,67.937,68.47,69.063,69.705,70.362,71.02,71.675,72.254,72.848,73.985,74.654,75.295,76.016,77.025,78.021,79.381,80.013,80.192,80.784,81.22,82.501,84.181,84.139,84.659,86.212,88.357,90.452,92.646,94.498,96.259,98.296,101.315,104.13,106.509,108.397,109.459,111.464,112.484,112.507,112.955,113.807,114.36,114.969,116.089,116.995,115.8,112.663,110.539,110.832,111.117,111.306,112.003,112.957,113.782,115.195,116.397,117.294,117.54,118.234
"36","27","    Nonresidential structures","A771RG3",14.144,14.378,14.576,14.853,15.003,15.472,15.516,15.773,16.099,16.465,16.83,17.124,17.46,17.677,17.907,18.256,18.527,18.922,19.448,19.925,20.462,21.355,22.351,23.294,23.978,24.414,24.633,24.925,25.077,25.529,25.903,26.262,27.093,27.582,28.206,28.798,29.419,30.242,30.982,31.828,32.715,33.719,34.764,35.502,36.114,36.847,37.634,38.813,40.478,41.886,43.073,44.528,45.494,45.945,46.071,45.866,45.077,44.624,44.527,44.46,44.512,44.959,45.249,45.513,45.86,45.965,46.203,46.468,46.659,46.897,47.106,47.352,47.361,47.559,47.813,48.276,49.033,49.52,50.004,50.538,50.97,51.571,51.973,52.371,52.809,53.178,53.621,53.948,54.427,54.517,54.503,53.975,53.974,54.187,54.447,54.858,55.26,55.733,56.191,56.694,57.133,57.482,58.191,59.014,59.72,60.108,60.764,61.27,61.329,61.56,62.35,62.782,63.394,63.97,64.695,65.474,66.4,67.114,67.668,68.225,68.715,69.163,69.652,70.261,71.11,71.766,72.529,73.365,74.405,75.538,76.756,77.221,77.955,78.817,79.535,80.481,81.459,81.512,82.127,83.258,85.01,86.96,89.394,92.169,95.016,97.661,101.453,105.871,108.873,111.857,114.037,117.206,118.65,119.172,120.152,121.595,123.166,124.385,126.735,129.261,127.493,123.419,120.226,119.792,120.164,120.875,121.656,122.774,124.331,126.369,128.144,129.577,130.45,131.363
"37","28","    Residential structures","A756RG3",15.592,15.832,15.88,16.124,16.103,16.728,16.267,16.402,16.847,17.193,17.532,17.804,18.068,18.144,18.451,19.031,19.3,19.767,20.457,20.83,21.301,21.79,22.504,23.122,23.702,24.134,24.363,24.794,24.913,25.662,26.076,26.514,27.126,27.891,28.834,29.657,30.593,31.526,32.276,33.138,33.747,34.942,36.119,36.991,37.958,38.853,39.759,40.889,41.693,42.387,42.991,43.506,44.173,44.795,45.218,45.43,45.6,45.699,45.857,46.286,46.576,46.921,47.409,47.621,47.897,47.995,48.291,48.788,49.34,49.745,50.38,51.027,51.487,51.785,52.153,52.563,53.206,53.68,53.93,54.406,54.874,55.557,55.729,55.948,56.515,56.751,57.113,57.233,57.357,57.6,57.962,57.826,57.653,58.115,58.509,59.311,60.085,60.491,61.086,61.48,62.036,62.317,63.059,63.982,64.848,65.119,65.392,65.721,65.928,66.249,67.105,67.493,67.888,68.224,68.892,69.436,69.623,70.105,70.817,71.553,72.346,73.167,73.818,74.397,75.761,76.441,76.973,77.587,78.564,79.433,80.901,81.658,81.398,81.789,82.036,83.532,85.656,85.563,86.028,87.825,90.185,92.358,94.417,95.76,96.929,98.634,101.237,103.201,105.232,106.471,106.805,107.985,108.658,108.272,108.282,108.638,108.207,108.184,107.832,106.618,106.114,104.065,103.197,104.345,104.521,104.121,104.733,105.523,105.528,106.267,106.813,107.078,106.558,107.012
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
