"","Table 7#6# Chain-Type Quantity and Price Indexes for Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"25","16","Residential","B011RA",24.51,23.27,26.82,32,31.62,33.47,32.42,30.04,27.76,27.29,29.62,33.24,37.03,40.61,42.85,40.84,38.66,33.46,31.33,31.61,32.45,33.04,32.7,34.46,34.99,35.1,33.77,33.48,33.83,36.03,38.23,40.63,43.65,44.3,43.35,41.51,40.42,40.17,39.39,38.77,38.21,37.29,36.79,36.74,35.28,35.37,37.95,42,46.82,48.48,47.56,46.17,47.5,43.59,42.27,42.21,42.38,42.53,44.83,46.33,47.17,48.64,48.6,48.54,50.29,53.91,54.91,56.58,60.04,57.02,56.09,55.07,55.26,55.69,55.91,54.7,55.94,51.45,49.78,44.56,43.22,48.13,50.54,53.49,53.81,55.17,56.16,56.86,58.91,58.28,57.8,53.58,53.68,50.11,52.78,58.34,61.45,67.65,70.99,73.74,78.66,80.2,80.39,83.26,86.05,81.68,78.22,74.48,69.02,66,63.83,55.43,52,53.12,56.83,59.31,65.38,67.26,66.16,74.59,76.84,85.63,85.36,84.24,84.72,88.7,89.92,89.68,87.59,86.04,84.9,81.57,75.76,61.17,62.34,68.92,67.74,65.12,59.98,53.9,50.82,49.17,48.55,53.27,61.52,69.49,75.84,77.91,80.69,82.69,81.64,81.23,81.76,81.32,82.93,84.69,88.29,93.35,94.58,94.1,93,93.88,92.36,91.92,91.61,92.24,92.62,92.82,91.62,88.71,87.62,86.16,87.84,83.79,78.91,73.15,68.53,68.83,71.32,73.6,78.2,81.92,82.32,85.94,86.03,85.73,88.01,92.61,94.64,98.16,97.41,96.33,94.42,90.5,92.71,94.89,96.91,101.56,101.3,100.24,100.47,101.73,102.26,103.71,106.32,108.68,111.58,114.1,116.22,117.6,117.86,118.64,121.02,120.09,117.21,117.21,119.55,119.39,119.5,118.44,122.44,123.25,123.59,126.39,129.45,131.53
"26","17","  Structures","B012RA",25.22,23.95,27.63,33.15,32.71,34.71,33.58,31,28.66,28.16,30.68,34.49,38.44,42.09,44.44,42.22,40.05,34.62,32.34,32.67,33.57,34.13,33.87,35.58,36.14,36.26,34.92,34.64,35.02,37.29,39.54,42.03,45.23,45.85,44.88,42.91,41.68,41.43,40.58,40.05,39.35,38.41,37.9,37.87,36.52,36.41,38.97,43.07,48.12,49.87,49.05,47.65,48.97,44.9,43.47,43.45,43.64,43.77,46.15,47.74,48.65,50.15,50.06,49.97,51.79,55.55,56.58,58.33,61.94,58.75,57.75,56.69,56.81,57.25,57.46,56.11,57.42,52.77,50.98,45.57,44.17,49.3,51.77,54.74,55.04,56.45,57.39,58.12,60.21,59.47,58.96,54.5,54.6,50.84,53.59,59.33,62.56,68.97,72.42,75.2,80.21,81.77,81.87,84.79,87.61,83.04,79.43,75.51,69.77,66.61,64.42,55.87,52.32,53.46,57.27,59.83,66.13,68.05,66.88,75.61,78.05,86.98,86.57,85.31,85.88,89.95,91.23,90.93,88.75,87.05,85.78,82.34,76.35,61.36,62.54,69.31,68.07,65.41,60.08,53.82,50.71,48.99,48.35,53.22,61.65,69.81,76.29,78.39,81.2,83.2,82.09,81.65,82.15,81.63,83.25,84.99,88.65,93.86,95.09,94.57,93.43,94.33,92.68,92.2,91.9,92.51,92.9,93.08,91.84,88.85,87.78,86.25,87.97,83.85,78.88,73,68.27,68.53,71.15,73.52,78.17,81.98,82.39,86.05,86.1,85.76,88.03,92.74,94.83,98.38,97.58,96.38,94.4,90.4,92.6,94.8,96.89,101.58,101.32,100.21,100.45,101.71,102.23,103.69,106.33,108.7,111.64,114.19,116.29,117.62,117.82,118.61,120.97,120.02,117.09,117.07,119.46,119.31,119.42,118.3,122.35,123.17,123.51,126.34,129.43,131.44
"27","18","    Single family","B944RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.57,58.33,56.91,54.69,56.45,50.14,47.51,46.16,45.72,45.62,48.19,50.23,50.1,51.15,50.98,50.17,50.77,53.48,54.87,56.99,63.3,58.75,57.87,57.21,56.54,57.38,59.49,58.28,60.23,54.5,49.24,42.37,43.43,47.96,54.02,56.82,55.08,56.18,55.53,55.53,56.96,54.24,51.57,48.31,45.07,41.8,46.04,50.48,56.19,63.2,66.32,68.87,74.01,75.42,75.79,77.38,80.76,78.82,72.22,64.2,58.72,59.18,57.18,52.09,47.46,48.04,53.7,58.21,65.54,70.8,74.22,78.28,84.13,95.6,95.45,95.89,94.19,95.23,97.56,96.41,91.45,86.64,84.1,77.65,66.27,49.83,49.28,58.18,59.17,55.46,48.21,40.63,37.07,36.59,37.06,45.16,55.26,65.75,73.5,74.85,78.1,80.27,77.2,75.46,77.21,75.07,76.25,78.3,82.08,86.25,90.75,90.41,92.11,93.89,94.65,95.14,91.46,92.34,91.82,93.68,93.92,89.72,87,86.34,89.88,84.46,77.45,71.51,65.11,66.54,73.87,76.82,80.94,85.34,86.07,88.84,90.34,90.44,92.9,98.41,102.06,105.76,102.84,99.66,95.94,89.84,90.97,94.46,97.08,101.49,101.68,99.76,98.82,99.72,99.44,100.67,104.1,108.38,113.22,116.56,118.4,117.68,117.77,121.17,124.4,121.81,117.23,116.78,120.69,121.33,121.95,120.22,123.91,124.7,125.53,129.8,134.96,135.85
"28","19","    Multifamily","B292RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.44,77.61,76.14,73.14,70.35,64.26,63.89,66.64,71.71,78.32,87.41,96.57,107.42,118.72,127.4,132.18,145.34,161.55,169.78,175.27,175.38,163.62,158.67,149.9,150.41,148.81,145.2,137.65,142.6,128.45,117.23,99.73,93.11,95.72,109.71,125.36,137.67,148.68,161.23,164.84,182.47,194.9,193.24,191.22,186.85,174.13,186.31,198.39,210.66,227.36,249.27,261.71,284.83,299.88,296.24,307.28,316.23,313.82,309.76,281.79,248.17,213.8,182.86,141.73,114.34,84.24,75.14,77.11,77.1,77.64,85.74,99.34,106.83,116.46,116.36,110.89,111.17,125.58,135.56,135.23,138.88,152.75,160.85,167.43,161.65,136.75,124.58,132.03,146.59,142.09,128.72,116.38,112.75,105.38,106.85,110.11,126.25,141.2,157.15,171.14,175.08,176.95,188.5,187.56,182.99,178.09,176.03,172.16,179.66,190.54,181.94,178.17,156.39,144.38,136.89,138.51,128.02,119.82,120.75,123.07,124.25,126.29,125.39,114.49,111.29,108.74,106.39,101.42,95.11,83.31,75.62,75.68,71.84,80.83,66.47,61.06,55.35,54.15,58.83,57.57,60.93,69.54,78.43,82.97,87.18,86.51,93,95.09,99.39,107.58,95.19,97.84,105.31,109.3,104.83,111.5,111.42,104.26,104.12,106.32,114.36,113.79,116.71,115.05,116.15,116.48,107.36,112.19,118.54,119.45,119.55,123.31,132.84,131.98,129.14,123.51,132.88,131.86
"29","20","    Other structures","B863RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.85,33.31,33.37,33.27,34.71,33.84,33.78,34.94,35.09,34.42,35.4,35.14,35.66,36.04,34.61,34.61,36,38.92,38.27,38.9,39.65,39.63,39.17,38.92,39.96,40.22,38.7,38.25,38.08,36.49,40.77,39.42,35.8,41.99,37.91,38.84,39.68,39.82,40.79,41.92,42.17,41.73,44.1,37.9,42.84,40.09,39.36,45.44,44.1,47.9,48.62,49.98,51.68,51.13,51.51,54.69,55.7,47.49,47.8,53.35,52.11,49.71,52.14,44.92,46.8,53.86,57.43,57.57,63.48,61.42,52.93,66.49,63.77,69.21,68.4,65.73,69.24,75.32,73.71,74.54,74.97,74.72,73.55,72.43,73.57,62.44,68.04,71.78,65.05,64.15,62.78,59.33,56.91,54.59,52.17,53.13,58.05,62.06,65.25,66.21,68.26,70.06,69.16,70.43,70.28,72.54,75.35,77.69,80.53,86.02,84.95,84.8,83.86,86,82.4,80.33,86.05,87.9,89.31,87.02,83.53,81.16,82.14,81.12,81.4,78.65,75.79,69.84,67.42,68.24,66.81,68.85,75.52,77.77,80.23,86.48,85.69,84.96,86.6,91.27,91.19,93.71,94.01,94.39,93.61,91.72,94.6,95.19,96.25,100.72,101.86,101.16,101.73,103.01,105.35,106.23,108.31,109.88,110.96,112.54,113.94,118.23,118.11,115.94,117.41,118.36,118.64,118.32,118.06,116.7,116.16,114.98,118.56,119.71,119.95,122.38,121.7,125.68
"30","21","  Equipment","B013RA",6.99,6.57,7.35,6.83,7.26,6.86,7.02,7.64,6.94,7.01,6.46,6.58,7.16,8.55,8.6,9.69,8.2,7.57,7.98,7.69,7.41,8.11,7.03,8.73,8.72,8.6,7.94,7.64,7.5,8.1,8.91,9.38,9.1,9.84,9.62,10.01,10.97,10.92,11.17,9.63,11.15,10.85,10.58,10.22,7.69,10.53,12.61,14.63,14.84,14.74,12.81,12.11,12.97,12.6,13.05,12.53,12.32,12.78,13.19,13.01,12.65,13.35,14.01,14.36,14.67,15.12,15.39,15.44,15.94,16.21,16.5,16.33,17.58,17.77,18.05,19.2,19.09,18.26,19,17.92,17.92,18.2,19.03,20.99,21.69,21.91,23.54,23.67,24.51,25.87,26.21,26.98,27.25,27.57,28.35,29.58,30.09,31.19,31.68,33.54,35.9,36.76,38.71,40.17,42.15,42.51,42.59,43.28,44.71,45.37,43.84,39.79,39.45,39.94,40.79,41.5,41.62,42.15,42.92,43.44,40.95,45.42,48.74,51.07,49.26,50.88,50.61,51.79,52.36,54.86,57.37,57.32,56.75,54.38,55.07,55.91,56.43,54.98,55.46,54.95,53.03,53.39,53.24,53.55,56.53,58.37,60.95,62.14,63.96,65.87,66.59,67.37,68.41,70.29,71.66,74.22,76.03,76.12,77.53,78.24,78.29,78.61,81.17,82.42,81.4,82.86,83.04,84.04,84.03,84.05,82.04,82.98,83.3,81.44,79.96,78.39,77.6,79.38,77.23,76.25,79.22,79.52,79.76,81.56,83.33,84.43,86.91,87.49,87.48,89.96,90.94,94.24,95.16,94.58,97.23,98.29,97.54,100.79,100.24,101.44,101.27,102.21,103.51,104.56,105.65,107.91,109.02,110.39,113.11,116.95,119.74,120.12,123.38,123.25,122.77,123.77,123.52,122.98,123.07,125.1,126.36,127.32,127.23,128.19,129.85,135.75
"31",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","      Private fixed investment","B007RG",18.32,19.05,19.54,19.95,20.15,20.6,21.23,21.47,21.44,21.41,21.17,21.09,21.08,21.43,22.04,22.44,23.21,23.56,23.74,23.98,24.1,24.2,24.25,24.2,24.21,24.35,24.54,24.49,24.5,24.6,24.59,24.61,24.61,24.78,25.08,25.42,25.95,26.23,26.68,26.88,27.13,27.26,27.45,27.58,27.34,27.46,27.5,27.55,27.58,27.7,27.78,27.82,27.86,27.91,27.89,27.81,27.79,27.81,27.76,27.76,27.8,27.83,27.81,27.78,27.8,27.75,27.65,27.72,27.62,27.87,27.9,28.21,28.24,28.29,28.34,28.68,28.52,29.03,29.03,29.39,29.52,29.66,29.85,30.22,30.53,30.83,31.01,31.72,32.06,32.4,32.67,33.1,33.35,34.1,34,34.4,35,35.52,35.95,36.28,36.74,36.97,37.34,37.88,38.25,38.93,39.76,40.26,41.01,42.2,43.87,45.65,47.28,48.4,48.97,49.71,50.2,51.08,51.8,52.61,53.76,54.79,56.03,57.24,58.34,59.58,60.76,62,63.29,64.93,66.51,67.86,69.45,71.07,72.61,74.2,76.21,77.93,79.25,80.82,81.85,82.88,83.38,83.51,83.06,82.75,82.65,82.77,82.88,83.28,83.54,83.77,84.05,84.16,84.54,85.05,85.45,86.13,86.95,87.52,87.75,87.9,88.06,88.79,89.59,90.18,90.61,91.52,92,92.58,92.97,93.48,94.02,94.32,94.93,95.52,96.24,96.23,96.2,95.89,95.81,95.92,96.12,96.42,97,97.37,97.64,97.82,98.35,98.74,99.16,99.41,99.84,100.2,100.27,100.25,100.04,99.84,100.08,100.05,100,99.91,99.93,99.86,99.34,99.05,98.9,98.83,98.9,98.9,98.79,98.9,99.46,99.78,100.21,100.54,100.97,101.27,101.22,101.19,100.82,100.76,100.52,100.95,101.44,101.21
"33","23","Nonresidential","B008RG",20.49,21.16,21.73,22.13,22.25,22.89,23.71,24.05,23.89,23.85,23.75,23.61,23.62,23.86,24.37,25.18,26.05,26.5,26.75,27.02,27.17,27.21,27.15,27.15,27.16,27.39,27.59,27.56,27.66,27.8,27.59,27.64,27.55,27.72,28.15,28.76,29.57,29.81,30.57,30.99,31.46,31.65,31.88,32.15,31.82,32.01,32.08,32.16,32.2,32.4,32.55,32.61,32.64,32.65,32.62,32.45,32.47,32.44,32.35,32.37,32.41,32.46,32.44,32.39,32.44,32.42,32.44,32.44,32.44,32.59,32.6,32.78,32.84,32.91,33.01,33.18,33.12,33.46,33.54,33.85,34.03,34.21,34.44,34.77,35.03,35.38,35.68,36.24,36.51,36.84,37.22,37.68,38.08,38.74,38.97,39.5,40.05,40.55,40.92,41.17,41.66,41.96,42.22,42.47,42.8,43.42,44.08,44.54,45.31,46.75,48.74,50.98,52.98,54.36,55.04,55.81,56.46,57.17,57.94,58.8,60.03,60.96,62.03,63.12,64.02,65.13,66.23,67.4,68.84,70.37,71.86,73.2,74.85,76.6,78.24,79.89,82.19,84.23,85.76,87.56,88.63,89.7,90.17,90.25,89.5,88.98,88.68,88.56,88.54,88.85,88.93,89.01,89.25,89.34,89.68,90.03,90.2,90.86,91.6,92,91.94,91.86,91.76,92.5,93.34,93.86,94.26,95.23,95.66,96.03,96.47,96.99,97.47,97.76,98.45,99.22,100.1,99.96,99.72,99.42,99.41,99.25,99.27,99.22,99.63,99.8,99.85,99.94,100.24,100.56,100.74,100.6,100.75,101.09,101.04,100.82,100.4,99.97,99.92,99.71,99.44,99.14,98.93,98.55,97.75,97.13,96.65,96.27,96.03,95.67,95.27,95.16,95.33,95.43,95.73,95.86,95.96,95.97,95.69,95.31,94.82,94.48,94.17,94.25,94.15,93.8
"34","24","  Structures","B009RG",11.95,12.14,12.58,13.01,13.35,13.71,14.05,14.17,13.95,13.75,13.68,13.71,13.67,13.63,13.93,14.53,15.12,15.49,15.74,15.88,16.01,15.96,15.92,15.96,16,16.23,16.45,16.42,16.19,16.03,16.03,16.05,16.09,16.23,16.45,16.82,17.57,17.51,17.98,18.15,18.33,18.57,18.69,18.68,18.24,18.36,18.43,18.48,18.36,18.47,18.54,18.55,18.62,18.51,18.42,18.29,18.29,18.33,18.35,18.42,18.45,18.52,18.49,18.55,18.61,18.65,18.7,18.72,18.7,18.9,18.93,19.23,19.26,19.4,19.45,19.84,19.78,20.22,20.25,20.51,20.6,20.71,20.85,21.14,21.43,21.71,21.89,22.44,22.76,23.13,23.44,23.89,24.13,24.88,24.95,25.35,25.89,26.48,27.06,27.54,28.08,28.43,28.82,29.38,29.81,30.45,31.29,32.06,32.91,34.34,35.93,37.44,38.53,39.23,39.56,40.03,40.26,40.99,41.59,42.18,43.49,44.28,45.27,46.21,47.21,48.53,49.74,51.1,52.54,54.13,55.81,57,57.99,59.18,60.43,62.3,65.03,67.31,69.24,71.65,73.18,73.93,74.14,73.78,72.5,71.74,71.57,71.46,71.55,72.26,72.71,73.14,73.68,73.86,74.25,74.67,74.97,75.37,75.71,76.1,76.12,76.41,76.8,77.55,78.77,79.6,80.36,81.21,81.92,82.87,83.49,84.12,84.85,85.44,86.13,86.66,87.46,87.59,87.55,86.7,86.63,87.01,87.41,88.11,88.99,89.84,90.61,91.43,92.15,92.81,93.86,95.17,96.35,97.06,97.79,98.38,98.87,99.42,100.44,101.28,102.47,103.56,104.89,106.02,106.84,107.61,107.97,108.45,108.82,109.3,109.89,110.76,112.2,113.31,114.58,116.07,119.01,120.23,120.14,119.66,118.56,118.77,118.89,119.57,120.79,120.67
"35","25","    Nonresidential buildings, including farm","B941RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.67,17.67,17.59,17.59,17.74,17.66,17.58,17.42,17.42,17.5,17.57,17.66,17.66,17.74,17.73,17.89,17.97,18.05,18.13,18.2,18.13,18.43,18.43,18.82,18.83,18.98,18.98,19.43,19.27,19.81,19.81,20.11,20.19,20.27,20.35,20.67,20.97,21.2,21.36,22.06,22.45,22.84,23.15,23.61,23.75,24.6,24.44,24.91,25.62,26.24,26.86,27.4,28.02,28.32,28.79,29.57,29.96,30.58,31.43,31.96,32.55,33.62,35.01,36.4,37.28,37.76,37.85,38.08,38.15,38.92,39.39,39.78,40.41,41.17,42.15,43.05,44.06,45.16,46.13,47.3,48.32,49.98,51.55,52.85,54.31,55.61,57.05,58.66,59.9,61.02,62.04,63.12,64.18,65.13,65.88,66.37,66.78,67.13,67.55,68.17,68.97,69.6,70.44,71.03,71.54,71.95,72.46,73.08,73.65,74.39,75.11,75.93,76.57,77.21,77.77,78.49,79.46,80.03,80.64,81.39,82.09,83.07,83.6,84.17,85.03,85.59,86.24,86.56,86.86,87.08,87.38,87.05,86.94,87.29,87.72,88.52,89.44,90.08,90.95,91.82,92.59,93.23,94.42,95.83,97,97.58,98.09,98.53,98.96,99.46,100.51,101.08,101.81,102.52,103.71,104.83,105.51,106.33,107.47,108.66,109.88,111.04,112.03,113.09,114.74,115.87,116.97,118.18,119.64,120.7,121.4,122.47,122.43,122.97,122.92,123.91,125.41,125.36
"36","26","    Utilities","B313RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.17,21.3,21.58,21.58,21.6,21.52,21.54,21.48,21.51,21.49,21.42,21.4,21.35,21.32,21.19,21.14,21.23,21.29,21.39,21.34,21.34,21.28,21.38,21.5,21.66,21.76,21.88,22.13,22.27,22.37,22.36,22.47,22.64,22.85,23.2,23.42,23.73,24.11,24.34,24.58,24.82,25.12,25.45,25.98,26.42,27,27.55,27.94,28.3,28.85,29.39,29.75,30.17,30.6,30.78,30.95,31.49,32.27,33.26,34.64,36.06,37.69,39.39,41.05,42.33,43.38,44.03,44.6,45.3,45.99,46.6,47.3,49.73,49.75,50.05,50.6,51.34,52.33,53.5,54.68,56.25,57.64,59.46,60.99,62.28,63.71,64.98,66.44,67.35,68.59,69.56,70.4,71.44,72,72.72,73.08,73.6,73.59,73.76,73.87,73.79,74.46,74.55,74.73,75.21,75.36,75.37,75.33,75.14,75.1,75.05,75.09,75.28,75.4,75.89,76.72,77.36,78.69,79.75,80.92,81.9,83.02,84.01,85.03,85.6,85.83,86.02,86.24,86.49,86.59,86.97,86.95,87.12,87.62,88.01,88.53,89,90.5,91.06,91.9,93.07,93.92,94.5,95.49,96.06,96.77,97.85,98.53,99.17,99.51,100.06,101.27,101.68,102.26,102.62,102.79,103.14,103.43,103.77,103.73,103.02,103,103.48,104.13,105.12,106.39,107.01,107.89,108.48,109.1,109.98,110.23,110.68,111.5,112.82,113.5,114.45,115.34
"37","27","    Mining exploration, shafts, and wells","B318RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.42,18.99,19.44,19.56,19.34,19,18.65,18.52,18.53,18.42,18.31,18.42,18.77,18.89,18.89,18.56,18.45,18.23,18.01,17.8,18.01,18.14,18.14,18.28,18.28,18.4,18.63,18.77,19.1,19.58,19.91,20.16,20.17,20.29,20.41,20.76,20.9,21.24,21.48,21.86,21.9,22.26,22.61,22.77,23.11,23.84,24.05,23.88,23.64,24.24,24.84,25.22,25.61,26.18,26.66,26.86,27.22,27.62,28.14,28.93,30.17,33.84,36.75,38.83,40.8,42.12,43.04,44.48,44.48,45.31,46.76,48.22,50.47,53.2,55.91,58.04,59.7,63,65.57,68.44,71.73,73.72,75.96,76.13,74.53,75.01,75.75,79.3,89.62,97.97,104.86,113.88,117.68,118.28,115.99,111.39,100.84,94.58,91.58,88.12,85.48,86.68,85.97,85.99,86.77,85.81,86.11,86.05,85.6,84.22,81.75,78.86,72.72,70.01,68.76,69.92,74.33,76.63,78.3,79.63,80.14,80.66,81.36,81.72,81.58,82.95,84.85,87.54,93.06,92.31,89.02,82.28,81.91,82.12,82.55,83.29,85.02,86.07,86.92,87.53,87.09,87.6,88.47,89.79,92.21,93.85,95.4,96.87,97.41,98.85,100.71,103.04,108.81,113.29,117.03,119.74,122.61,124.13,118.84,114.89,110.29,105.81,103.49,103.49,104.75,105.3,109.03,112.81,128.61,131.55,125.56,116.1,106.93,104.41,103.41,102.63,102.86,101.02
"38","28","    Other structures","B861RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.52,15.34,15,14.79,14.67,14.64,14.73,15.03,15.38,15.42,15.54,14.85,15.39,14.46,22.12,20.1,20.2,18.74,18.92,19.25,20.43,18.77,19.27,18.63,19.36,19.59,20.09,20.09,20.22,20.52,20.8,20.97,21.21,21.26,21.49,21.64,22.05,22.25,22.35,22.86,23.32,23.91,24.2,24.74,25.21,25.69,26.27,26.86,27.24,27.68,28.04,28.68,29.14,29.39,29.86,30.44,30.96,31.56,32.09,32.96,34.58,36.95,39.26,41.05,42.03,42.42,42.72,43.1,43.62,43.67,43.56,43.77,45.96,46.26,46.56,47.03,47.29,47.89,48.71,49.49,50.49,51.7,53.22,54.96,56.78,58.74,60.79,62.61,64.95,66.73,68.3,70.27,71.78,73.06,73.75,73.98,74.06,73.59,73.28,73.02,72.69,72.74,72.65,72.91,73.21,73.59,74.11,74.67,75.3,76.05,76.81,77.48,78.29,79.17,79.93,80.37,80.9,81.17,81.67,82.12,82.36,82.94,83.62,84.72,85.69,86.36,87.07,87.59,87.93,88.9,89.12,89.13,89.23,89.53,89.57,89.67,89.86,90.51,90.51,90.83,91.67,92.42,93.27,94.11,95.11,96.24,97.34,98.42,99.39,99.74,100.11,100.76,101.7,102.75,103.6,104.43,104.38,104.42,104.72,105.15,104.87,105.8,106.26,107.27,107.8,109.17,109.74,112.04,112.89,112.69,113.15,113.89,115.35,115.93,116.35,116.36,117.13,118.04
"39","29","  Equipment and software","B010RG",26.78,27.91,28.53,28.8,28.65,29.5,30.72,31.27,31.22,31.4,31.29,30.95,31.03,31.57,32.25,33.14,34.18,34.62,34.79,35.18,35.31,35.47,35.39,35.35,35.3,35.47,35.6,35.57,36.1,36.67,36.2,36.26,36.02,36.18,36.8,37.56,38.23,38.84,39.79,40.45,41.22,41.26,41.58,42.19,42.14,42.38,42.43,42.52,42.79,43.07,43.31,43.41,43.38,43.57,43.63,43.46,43.51,43.39,43.13,43.08,43.12,43.13,43.13,42.93,42.95,42.85,42.82,42.8,42.82,42.86,42.86,42.83,42.9,42.87,43.01,42.85,42.8,42.94,43.07,43.38,43.63,43.87,44.15,44.47,44.64,45.03,45.41,45.88,46.05,46.28,46.68,47.06,47.59,48.03,48.4,48.98,49.46,49.78,49.85,49.82,50.2,50.4,50.5,50.4,50.6,51.13,51.56,51.7,52.33,53.65,55.83,58.51,61.15,63,63.93,64.9,65.86,66.5,67.34,68.37,69.46,70.44,71.52,72.66,73.44,74.35,75.31,76.27,77.64,79.05,80.31,81.69,83.76,85.86,87.69,89.02,90.76,92.46,93.55,94.67,95.2,96.46,97.13,97.59,97.35,97.06,96.67,96.55,96.44,96.44,96.23,96.05,96.05,96.07,96.35,96.64,96.73,97.54,98.51,98.9,98.78,98.48,98.08,98.78,99.37,99.69,99.87,100.88,101.14,101.18,101.52,101.95,102.29,102.39,103.07,103.95,104.86,104.59,104.25,104.22,104.24,103.82,103.67,103.29,103.5,103.37,103.14,102.93,103.08,103.26,103.12,102.46,102.25,102.45,102.14,101.64,100.91,100.16,99.74,99.19,98.44,97.69,97,96.14,94.84,93.8,93.07,92.44,92.04,91.46,90.8,90.44,90.27,90.1,90.15,89.91,89.25,88.93,88.6,88.26,87.93,87.46,87.04,87,86.61,86.22
