"","Table 3#11#3# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"40","32","    Aircraft","B874RA3",25.89,27.126,23.836,26.098,24.865,22.869,18.177,24.56,18.749,23.607,23.021,25.223,30.41,34.259,34.203,38.206,33.612,31.999,30.012,32.728,33.232,33.823,34.153,32.884,24.012,31.069,29.327,42.193,37.166,34.984,39.979,46.488,51.161,45.592,41.388,51.684,50.512,51.742,56.897,60.445,53.408,57.205,53.958,56.207,50.665,58.03,70.872,71.265,69.638,59.533,64.081,76.437,72.759,87.985,93.661,113.684,110.598,127.335,154.549,168.777,163.887,157.001,168.921,154.193,137.739,137.943,121.558,131.879,118.081,111.249,118.951,135.696,104.667,120.626,115.646,105.501,77.903,90.017,84.206,68.98,63.971,80.432,73.437,63.224,67.895,65.448,75.943,93.472,61.553,70.186,88.928,81.631,66.513,62.246,54.605,61.084,77.713,68.888,53.285,37.349,30.011,25.097,49.381,60.461,31.16,35.831,49.22,49.829,36.683,41.256,53.904,41.085,58.691,44.754,53.326,44.779,46.091,46.929,72.968,69.528,53.354,69.048,73.405,75.712,70.243,69.838,61.255,71.971,63.2,73.585,88.556,102.589,93.666,102.457,107.342,107.929,100.192,117.103,90.181,111.262,94.417,108.828,101.121,94.735,66.937,108.947,108.891,123.837,92.204,112.375,94.755,100.666,111.834,126.407,117.942,140.731,128.391,145.015,151.913,153.639,141.551,153.686,174.785,146.926,167.382,167.29,189.144
"41","33","    Missiles","B875RA3",32.435,32.96,31.025,25.227,33.857,35.426,29.086,28.81,31.33,37.237,35.348,36.914,29.773,22.925,29.944,20.089,20.057,12.587,31.928,23.011,22.891,17.365,16.66,11.646,11.542,10.596,15.612,18.662,18.053,24.188,32.444,39.101,43.079,37.936,40.812,42.284,38.613,46.453,52.157,53.074,53.284,61.692,61.694,69.031,66.465,66.808,76.447,101.314,92.216,87.582,82.632,111.37,103.08,98.673,109.137,115.325,115.802,139.354,156.714,128.589,132.242,160.392,167.389,154.765,115.999,150.992,142.007,150.6,145.685,159.854,179.231,156.099,192.262,184.286,219.014,236.642,218.267,219.086,208.173,191.409,186.727,220.471,216.588,203.993,167.05,158.96,124.66,150.313,125.754,110.236,113.303,91.954,79.978,115.364,103.336,73.033,85.656,84.372,84.777,76.056,58.891,57.729,63.823,64.266,62.415,55.348,95.126,62.554,60.018,59.705,61.199,68.875,52.249,52.923,45.665,84.502,78.632,77.925,67.95,70.851,78.137,73.787,68.377,74.709,62.108,62.855,77.559,101.342,83.795,75.932,93.101,92.403,66.265,94.014,72.587,101.8,99.443,99.033,70.384,102.943,112.509,92.076,75.543,74.314,87.513,92.811,88.988,74.787,83.692,92.988,127.715,95.605,110.205,111.907,105.771,104.548,98.469,104.344,93.534,84.008,122.25,128.614,121.471,127.164,99.341,120.483,144.496
"42","34","    Ships","B876RA3",69.807,84.942,78.926,61.438,67.369,70.683,55.865,55.049,68.497,80.991,77.278,80.322,73.554,76.075,63.556,61.555,68.269,64.76,74.866,73.722,83.047,78.028,86.636,81.025,83.952,93.55,83.575,108.882,86.14,88.141,123.622,82.843,81.24,84.706,81.406,87.441,80.533,94.014,101.828,105.105,108.262,114.103,109.718,112.768,119.817,125.561,119.498,129.445,123.933,126.511,129.8,143.442,135.109,143.424,151.68,145.395,129.504,146.341,148.644,131.242,131.093,145.592,133.818,129.861,126.524,121.225,122.489,141.936,147.042,132.473,149.461,139.366,140.964,148.221,142.144,168.369,132.615,139.618,133.728,132.092,138.156,134.085,127.986,119.727,117.396,114.05,103.806,103.378,94.89,106.954,107.308,85.687,102.357,98.919,87.569,82.627,81.069,83.748,75.957,73.065,63.961,75.869,72.905,65.737,71.964,68.839,74.486,79.149,79.047,76.798,74.8,81.314,68.727,76.327,74.949,76.922,80.915,83.793,77.519,83.125,92.162,96.15,99.833,100.883,94.523,111.491,110.739,102.221,106.563,96.584,121.127,100.691,103.029,98.907,109.317,93.517,98.439,112.01,105.716,104.613,94.263,97.615,96.567,104.755,91.163,101.162,106.034,106.334,94.407,97.516,97.823,110.253,94.895,98.772,104.275,115.613,89.878,96.916,94.8,109.09,88.607,103.517,95.521,107.229,85.906,104.81,105.523
"43","35","    Vehicles","B877RA3",17.373,13.398,15.764,14.987,15.244,12.906,8.758,10.243,12.54,13.596,8.426,13.218,9.675,8.478,9.177,11.707,8.611,14.456,16.532,16.387,14.446,18.871,18.638,16.62,19.497,18.657,20.763,24.441,21.283,15.622,26.649,24.153,23.773,29.399,22.29,20.946,16.395,17.03,15.556,16.393,16.763,26.629,24.612,34.744,42.391,45.287,39.605,48.147,51.583,67.182,56.722,58.04,57.471,59.732,55.192,39.932,50.525,59.847,54.4,65.982,61.305,60.885,60.11,57.802,54.395,54.149,54.057,42.347,44.378,41.459,50.335,35.602,41.473,44.259,46.66,38.836,38.017,56.763,56.508,29.206,31.46,28.588,42.725,38.406,36.553,21.587,16.714,14.929,12.872,13.798,9.34,12.14,13.442,11.807,13.484,11.352,14.519,12.877,12.669,14.107,14.139,16.373,16.72,15.356,14.822,20.439,18.022,16.39,17.017,20.674,17.451,22.425,20.918,23.537,23.074,18.794,22.456,24.732,20.062,25.116,26.349,30.942,37.282,30.665,42.824,39.175,35.454,30.973,33.265,36.899,30.08,31.305,32.873,50.237,54.728,43.182,54.226,57.604,64.14,56.329,57.408,75.437,79.068,69.762,97.578,96.112,109.638,111.274,96.397,99.466,102.52,101.618,99.422,105.329,104.069,104.933,80.316,76.532,74.485,73.377,56.164,62.122,60.727,57.303,37.535,43.924,39.934
"44","36","    Electronics","Y051RA3",1.607,1.565,1.739,1.793,1.908,1.737,1.546,1.888,1.465,1.776,1.525,1.661,1.803,1.779,1.823,1.968,2.031,2.115,1.833,1.763,2.037,2.244,2.107,2.652,2.858,2.939,3.095,2.589,2.81,2.983,2.86,3.246,3.403,3.718,4.216,3.901,4.305,4.681,4.534,4.627,4.962,5.202,5.45,5.938,6.276,6.757,6.917,7.19,7.632,8.323,7.732,9.392,9.857,10.63,11.792,11.383,11.43,12.114,12.315,12.746,13.601,14.423,14.289,14.162,14.236,14.082,13.148,14.036,12.877,13.153,14.348,12.858,14.247,12.295,14.238,11.971,12.93,13.917,11.758,10.729,13.162,11.188,13.565,12.629,13.967,15.45,13.136,12.141,13.295,12.784,12.979,11.299,12.397,10.577,12.339,11.239,11.366,13.767,13.985,12.525,13.507,14.052,14.797,13.687,14.634,15.01,14.447,14.682,16.466,19.893,21.025,18.722,20.544,21.783,20.118,22.178,21.396,22.837,22.187,22.709,24.488,25.637,27.42,26.059,30.609,29.699,34.565,31.392,32.731,40.601,36.983,38.017,38.113,42.362,49.056,46.739,50.339,53.295,59.733,59.355,65.375,70.398,78.389,77.253,90.242,97.097,103.75,102.554,92.937,101.008,104.93,101.124,92.84,95.766,99.987,96.594,77.092,80.926,81.143,83.608,69.718,73.236,72.988,69.912,60.028,64.214,58.364
"45","37","    Other equipment","B879RA3",-22.055,-8.419,-34.445,-12.668,6.166,-1.148,-7.071,-14.948,7.201,2.003,15.605,11.663,7.679,-3.81,25.871,27.785,28.784,25.872,26.533,27.137,26.159,29.074,24.758,21.674,22.772,22.765,26.001,21.256,26.668,28.229,25.935,23.285,28.298,23.134,20.254,24.545,26.738,28.921,28.509,26.608,24.429,31.429,29.264,32.165,29.896,30.95,31.046,30.923,35.189,39.952,35.667,39.739,38.167,46.08,52.251,45.012,39.701,32.378,49.226,38.697,34.702,41.911,49.164,44.657,45.661,37.203,49.257,40.702,48.242,50.581,50.36,42.159,47.116,49.909,44.489,47.564,57.435,52.715,55.267,57.208,54.104,49.639,52.24,51.847,40.459,45.027,43.727,42.405,39.786,42.417,46.542,42.186,44.643,46.323,42.456,47.003,46.953,50.038,52.634,48.793,45.824,45.541,45.953,45.239,42.577,45.906,45.972,44.827,42.591,47.546,50.372,51.062,46.795,49.301,49.175,46.868,45.313,51.16,48.93,47.538,50.845,55.77,59.879,57.191,56.931,62.694,64.877,66.241,71.51,73.336,74.699,71.177,72.337,70.2,69.611,69.012,73.443,75.773,77.827,76.795,75.996,76.983,82.663,87.899,92.441,95.056,98.274,96.421,97.463,100.731,103.671,98.135,97.312,98.527,101.552,99.571,93.079,94.185,93.926,94.878,90.469,91.699,91.966,86.667,84.492,82.454,79.203
"46","38","  Intellectual property products","Y052RA3",43.812,44.485,44.987,45.221,45.263,45.01,44.497,43.782,42.889,42.165,41.463,40.877,40.538,40.377,40.469,40.878,41.432,41.709,42.085,42.375,42.867,43.112,43.277,43.364,43.521,43.794,44.104,44.5,45.167,45.7,46.227,46.814,47.136,47.924,49.073,50.429,52.05,53.431,55.152,56.516,58.185,59.999,62.03,63.929,66.176,68.489,70.353,72.247,73.886,76.589,79.574,83.377,87.119,90.071,92.063,93.065,93.091,93.708,95.308,97.703,100.763,102.701,103.502,102.67,101.15,99.73,98.564,97.136,95.368,94.216,93.507,93.166,92.937,91.586,90.24,88.42,85.126,82.646,80.562,79.419,79.09,77.629,76.381,74.503,73.39,72.162,71.416,69.713,69.133,68.68,68.417,67.689,66.692,66.402,66.086,66.26,66.144,66.261,66.553,66.847,66.46,65.751,65.228,65.559,65.727,65.849,65.622,64.571,63.372,64.349,64.474,63.771,63.108,63.4,63.601,64.286,64.953,65.9,67.423,69.162,70.574,72.689,74.881,77.545,80.028,82.276,84.217,86.229,88.054,90.079,92.233,93.478,94.66,95.678,96.599,96.668,96.698,97.784,99.089,100.487,101.567,102.244,102.718,103.267,103.348,102.93,102.121,101.458,100.792,100.297,99.962,98.949,99.451,98.775,99.296,98.38,97.654,96.536,95.955,95.788,94.036,92.671,92.026,91.918,91.638,91.578,91.366
"47","39","    Software","Y053RA3",5.592,5.759,6.106,6.347,6.811,7.005,7.29,7.576,7.932,8.257,8.386,8.511,9.254,9.6,9.778,10.169,10.073,10.107,10.176,10.308,10.377,10.375,10.555,10.846,11.507,12.075,12.464,13.021,14.084,14.486,14.911,15.366,15.602,16.27,17.186,18.273,19.109,19.572,20.442,20.988,21.065,21.701,22.356,22.847,23.667,24.676,26.146,27.655,29.895,32.34,35.236,37.269,37.937,39.922,42.532,44.104,46.615,48.04,49.67,51.195,52.739,54.3,55.469,55.949,59.507,62.261,64.936,66.658,67.996,71.006,73.741,77.366,78.973,76.754,79.208,79.378,78.786,80.473,81.539,82.492,87.222,86.957,88.083,86.647,84.069,83.66,83.449,81.568,80.902,81.229,83.522,81.849,82.05,79.691,80.983,78.81,81.465,83.564,85.938,86.955,88.111,86.684,85.397,87.218,89.132,94.208,94.941,92.597,82.24,95.721,96.067,95.396,89.914,92.034,90.842,92.2,88.664,85.116,85.176,86.497,84.222,84.72,85.084,83.948,80.762,81.739,82.801,84.906,83.708,84.878,88.007,89.15,86.799,89.335,90.879,90.951,90.363,91.195,92.659,95.537,96.671,96.346,96.391,96.098,100.655,101.281,101.22,99.431,98.23,98.891,100.474,102.405,105.806,105.525,108.435,109.807,110.698,111.432,111.763,112.877,111.558,112.457,112.251,113.888,114.605,112.122,113.519
"48","40","    Research and development","Y076RA3",50.821,51.581,52.091,52.31,52.246,51.896,51.214,50.293,49.143,48.205,47.338,46.612,46.034,45.761,45.83,46.225,46.906,47.227,47.658,47.973,48.541,48.832,48.987,49.025,49.066,49.268,49.552,49.904,50.47,51.017,51.552,52.151,52.482,53.278,54.45,55.836,57.582,59.119,60.978,62.478,64.427,66.438,68.703,70.841,73.327,75.856,77.776,79.725,81.247,83.981,86.967,91.063,95.325,98.434,100.316,101.219,100.826,101.308,102.903,105.444,108.757,110.758,111.498,110.447,108.097,105.999,104.213,102.28,100.017,98.216,96.976,96.033,95.528,94.3,92.385,90.261,86.547,83.437,80.881,79.429,78.381,76.746,75.167,73.22,72.301,70.956,70.132,68.444,67.872,67.312,66.71,66.104,64.95,64.926,64.402,64.879,64.404,64.27,64.302,64.507,63.931,63.311,62.878,63.03,62.986,62.522,62.18,61.282,61.155,60.669,60.769,60.063,59.962,60.042,60.406,61.011,62.169,63.643,65.337,67.124,68.968,71.272,73.674,76.776,79.912,82.304,84.343,86.344,88.506,90.627,92.672,93.928,95.498,96.349,97.202,97.27,97.367,98.482,99.769,101.008,102.082,102.867,103.387,104.025,103.631,103.104,102.216,101.67,101.06,100.444,99.908,98.587,98.789,98.073,98.349,97.201,96.312,95.01,94.339,94.044,92.25,90.663,89.976,89.698,89.321,89.497,89.128
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","structures, software, and research and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
