"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"25","17","S3 PN4452ZZMG     Specialty food stores","T070173",65.05,65.307,65.517,65.452,65.261,65.514,65.456,65.99,66.128,66.085,65.994,66.011,66.058,66.215,66.218,66.407,66.99,66.791,66.732,66.949,66.988,67.274,67.338,67.586,67.69,67.659,67.459,67.664,67.837,68.168,68.349,68.306,68.374,68.177,68.233,68.614,68.568,68.813,68.763,69.345,69.4,69.395,69.528,69.569,69.765,70.028,69.921,70.144,70.34,70.701,71.078,71.363,71.318,71.84,72.188,72.386,72.754,73.172,73.34,73.316,73.171,73.582,73.403,73.406,73.318,73.495,73.522,73.678,73.728,73.763,73.969,73.941,74.284,74.183,74.306,74.382,74.539,74.57,74.739,75.039,74.865,75.244,75.358,75.345,75.69,75.691,75.571,75.719,75.805,75.8,75.849,75.968,76.227,76.296,76.515,76.505,76.512,76.717,76.923,77,77.465,77.466,77.87,78.164,78.224,78.29,78.219,78.821,78.791,79.412,79.59,79.671,79.83,80.161,80.447,80.606,80.614,81.025,80.902,80.821,81.211,81.463,81.628,81.888,81.304,81.249,81.362,81.342,81.366,81.249,81.585,81.533,81.641,82.141,82.414,82.356,82.442,83.133,83.215,83.642,83.871,84.199,84.742,85.166,84.872,84.993,85.355,85.496,86.39,86.559,86.667,86.695,86.376,87.087,87.462,87.285,87.101,86.818,87.055,87.964,87.965,87.827,87.975,87.951,88.128,88.278,88.62,88.737,89.053,88.811,88.949,88.79,88.797,89.074,89.36,89.607,89.89,90.122,89.994,89.873,90.524,91.326,91.732,92.128,92.476,92.969,93.287,93.577,93.963,94.378,94.886,95.107,95.696,96.131,96.357,97.617,98.181,98.964,100.276,100.9,101.442,101.727,101.884,101.73,101.655,101.29,100.771,100.428,99.857,99.949,99.475,99.441,99.105,99.236,99.262,99.53
"26","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",70.262,70.44,70.65,70.587,70.911,70.962,70.999,71.049,71.269,71.395,71.391,71.453,71.659,71.808,71.688,71.708,71.572,71.613,71.58,71.394,71.265,71.186,71.355,71.414,71.507,71.445,71.411,71.391,71.37,71.509,71.576,71.427,71.359,71.326,71.477,71.47,71.385,71.474,71.571,71.798,71.925,71.925,71.816,72.175,72.166,72.261,72.399,72.191,72.61,72.822,73.128,73.19,73.395,73.613,73.803,73.925,74.153,74.364,74.448,74.641,74.758,74.988,75.036,75.227,75.376,75.301,75.391,75.635,75.661,75.812,75.728,75.821,75.844,75.839,75.678,76.02,76.174,76.218,76.209,76.308,76.657,76.811,76.827,77.544,77.824,78.081,77.872,78.257,78.343,78.393,78.783,78.865,79.368,79.355,79.585,79.988,80.152,80.388,80.799,81.087,80.995,81.285,81.553,81.636,81.733,81.797,82.052,82.099,82.307,82.458,82.482,82.803,82.926,83.059,83.436,83.363,83.773,83.722,83.876,83.698,83.962,84.404,84.012,84.637,84.691,84.984,85.118,85.4,85.303,85.513,85.451,85.62,85.814,85.772,85.915,85.865,85.981,86.056,86.222,86.395,86.686,86.708,86.963,87.322,87.389,87.261,87.625,88.12,88.083,88.337,88.171,88.408,88.939,88.922,89.169,89.321,89.149,89.275,89.265,89.5,89.342,89.369,89.501,89.734,90.016,89.964,90.109,89.961,90.338,90.657,90.77,90.79,91.015,91.218,91.108,91.06,91.028,91.251,91.215,90.995,91.729,92.176,92.73,92.76,93.128,93.648,93.552,93.861,93.803,94.09,94.163,94.235,94.857,95.297,95.298,95.918,96.012,96.101,96.55,96.785,97.311,97.732,98.058,98.513,98.702,98.704,99.258,99.342,99.719,100.064,100.294,100.637,100.439,100.692,101.222,100.96
"27","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",118.025,117.866,117.898,117.533,118.104,118.048,118.423,118.244,118.206,118.358,118.679,118.834,118.379,118.424,117.673,117.973,117.55,117.164,117.127,117.895,117.517,117.112,117.748,117.363,116.437,116.062,116.675,116.569,116.678,117.007,116.801,116.172,116.161,115.515,115.85,115.471,115.317,114.027,114.338,114.477,113.535,113.236,113.399,114.008,114.083,113.92,113.483,113.549,113.618,113.259,113.776,113.254,113.018,112.386,111.876,110.395,111.843,111.59,111.661,111.487,111.864,111.57,111.72,112.486,112.873,112.539,112.225,110.94,111.13,110.857,110.732,110.864,110.475,109.671,109.176,109.077,109.509,109.199,109.252,110.434,109.076,109.136,109.335,108.438,108.13,107.513,107.031,108.167,108.206,108.17,108.045,107.756,107.82,107.917,107.663,107.748,107.34,107.149,107.152,106.793,106.465,106.087,105.863,105.676,106.148,106.201,106.224,106.014,106.577,106.642,106.722,105.668,104.818,105.135,105.08,104.285,103.64,103.808,103.44,103.158,102.824,102.743,103.359,103.2,102.737,102.316,101.886,102.412,101.811,101.543,101.475,101.168,100.617,100.392,99.493,99.275,99.065,99.446,99.831,99.765,99.658,99.706,99.433,98.822,99.015,98.99,99.251,99.47,99.698,99.884,99.665,99.097,98.827,99.08,99.362,98.962,99.068,98.799,99.097,98.609,98.704,98.178,97.924,98.462,98.28,98.014,98.147,97.829,98.005,97.2,97.961,98.563,98.952,99.11,98.317,99.053,99.304,99.026,98.705,99.014,99.264,99.708,99.224,98.811,98.775,98.55,98.285,97.821,97.984,98.392,98.635,99.083,99.273,98.947,98.621,98.908,98.922,98.814,99.286,99.844,99.781,99.16,99.074,98.484,98.458,99.705,100.003,99.952,99.82,100.193,100.051,100.134,100.728,100.461,100.087,100.409
"28","20","S2 PN4481ZZMG     Clothing stores","T070203",122.961,122.268,122.415,122.241,122.807,122.592,122.733,122.521,122.79,122.879,123.372,123.349,122.516,123.204,122.557,122.325,121.696,121.312,121.415,122.623,121.625,121.15,122.072,121.79,120.591,119.748,120.185,120.538,120.432,120.881,120.627,119.676,119.929,119.483,119.619,119.13,118.744,117.212,117.541,117.584,117.088,116.099,116.567,117.03,117.123,117.217,116.644,116.578,117.074,116.743,117.006,116.821,116.416,115.588,114.927,113.472,115.115,114.773,114.969,115.203,115.624,115.16,115.255,116.803,117.269,116.797,116.255,114.684,114.972,114.454,114.657,114.627,114.103,113.163,112.875,112.734,113.324,113.109,113.212,114.841,113.085,113.36,113.518,112.663,112.348,111.53,111.094,112.25,112.411,112.609,112.318,112.136,112.417,112.694,112.278,112.684,112.163,111.758,111.722,111.115,111.038,110.849,110.78,110.643,110.851,110.967,110.741,110.457,110.825,111.17,111.131,110.225,109.197,109.196,108.849,108.079,107.958,107.571,107.357,106.929,106.687,106.974,107.13,107.037,106.466,106.031,105.636,106.494,105.554,105.152,105.159,104.788,104.182,103.917,103.157,102.889,102.699,102.952,103.298,103.299,103.275,103.419,103.09,102.561,102.615,102.505,102.744,102.833,103.004,103.307,103.23,102.525,102.087,102.638,102.895,101.809,102.262,101.846,102.368,101.881,101.761,101.319,100.89,101.04,100.45,100.486,100.92,100.549,100.368,99.567,100.743,101.194,101.335,101.595,100.686,101.393,101.72,101.351,100.815,101.077,101.235,101.52,101.361,100.996,100.791,99.962,99.729,99.255,99.317,99.673,99.855,100.556,100.577,99.753,99.109,99.237,99.205,98.94,99.351,100.173,100.135,99.219,99.152,98.379,98.443,99.864,100.114,99.99,99.892,100.383,100.054,100.272,100.809,100.34,99.686,100.152
"29","21","S2 PN4482ZZMG     Shoe stores","T070213",105.394,105.521,106.165,106.024,106.21,106.519,106.877,107.329,106.913,107.29,106.879,107.577,107.126,106.819,106.589,106.836,107.273,106.774,106.336,106.045,106.693,106.632,107.184,106.846,106.91,106.029,105.837,106.248,106.881,107.251,106.204,105.793,104.965,104.05,104.608,104.322,104.65,104.634,104.613,104.818,104.032,103.796,103.758,103.989,105.166,104.457,104.031,103.071,102.746,103.994,105.179,103.767,104.198,104.146,103.398,102.141,103.306,102.876,103.025,103.076,102.934,103.019,103.021,103.428,103.836,102.763,102.987,103.346,103.696,104.164,103.205,103.693,103.81,102.309,101.378,101.188,102.239,102.932,102.643,103.184,102.782,101.482,102.062,101.391,101.367,100.27,100.221,100.825,100.04,99.909,100.464,99.414,99.032,98.758,99.005,98.7,98.602,98.503,98.779,98.865,99.017,98.713,97.187,96.968,98.983,97.936,98.165,98.579,98.309,98.593,98.624,97.357,97.549,97.259,98.15,97.801,97.127,97.347,96.677,95.978,94.678,95.833,97.031,96.95,97.396,96.441,96.507,96.343,95.707,95.826,96.05,96.025,96.538,95.815,94.08,93.545,93.799,94.746,95.633,94.775,94.54,94.768,94.766,94.238,93.673,93.754,94.258,94.475,94.511,94.632,93.777,94.486,95.673,94.961,95.288,95.694,96.379,96.644,96.325,96.441,96.517,96.961,97.053,97.731,98.519,98.107,96.868,96.28,97.972,97.467,98.129,98.114,98.39,97.922,96.966,97.092,97.349,97.454,97.129,97.588,97.051,97.145,96.89,96.411,96.429,96.223,96.877,96.844,96.637,96.82,97.344,97.069,97.283,97.503,97.638,98.254,98.236,98.31,98.707,98.083,97.98,98.066,98.478,98.193,97.973,99.001,99.543,99.672,99.7,99.724,100.065,100.394,100.576,100.822,101.147,101.419
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",106.73,108.613,107.401,105.935,106.948,107.215,108.706,107.967,106.896,107.089,107.432,107.79,109.144,106.51,104.719,107.553,107.145,106.88,106.65,106.649,107.823,107.389,106.857,106.019,105.262,107.422,109.703,107.009,107.501,107.259,108.155,108.706,108.429,107.244,108.158,108.139,108.462,106.939,107.481,107.935,105.049,107.506,106.606,108.181,107.052,106.404,106.516,108.143,106.902,104.848,105.671,104.744,104.51,104.099,104.428,102.685,103.596,103.868,103.368,101.367,102.068,102.078,102.586,100.555,100.583,101.558,101.638,99.936,99.564,99.583,98.939,99.386,99.083,99.505,98.602,98.744,97.94,96.363,96.525,96.505,95.877,96.345,96.34,95.109,94.583,95.204,94.174,95.679,95.967,95.108,95.031,94.992,94.612,94.345,94.274,93.528,93.278,93.781,93.695,93.905,92.284,91.173,91.412,91.076,91.289,91.963,92.763,92.341,94.306,93.124,93.68,92.251,91.227,93.35,93.654,92.385,89.657,92.044,91.314,91.992,92.119,89.511,91.43,90.956,90.194,90.277,89.305,89.07,89.841,89.806,89.202,88.941,87.797,88.123,87.341,87.58,86.909,87.354,87.499,87.802,87.461,86.986,86.729,85.747,87.063,87.29,87.453,88.188,88.793,88.551,88.238,87.255,86.578,86.337,86.674,88.469,86.724,86.652,86.485,85.561,86.543,84.939,85.143,87.201,88.02,86.576,86.499,86.617,87.129,86.086,85.244,86.888,88.384,88.58,88.412,89.736,89.651,89.461,90.076,90.47,91.743,93.18,91.03,90.46,91.13,93.628,92.497,91.742,92.654,93.482,93.793,93.641,94.584,96.141,96.95,97.737,98.012,98.521,99.354,99.632,99.49,99.744,99.137,99.288,98.959,99.453,99.805,99.993,99.54,99.595,100.036,99.167,100.426,100.795,101.33,100.9
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",94.317,94.474,94.586,94.721,94.684,94.568,94.828,94.85,94.84,94.834,95.067,94.901,94.769,94.869,94.892,94.882,94.92,94.778,94.789,95.065,94.8,94.904,95.258,95.196,94.907,94.693,94.889,95.031,95.071,95.348,95.363,95.127,95.144,95.006,95.161,95.051,95.068,94.711,94.692,94.889,94.715,94.417,94.725,95.085,95.235,95.34,95.164,95.155,95.424,95.64,95.834,95.922,95.695,95.503,95.483,95.235,95.809,95.752,95.789,95.785,95.964,95.955,95.961,96.293,96.361,96.226,96.083,95.62,95.715,95.624,95.659,95.559,95.6,95.451,95.295,95.438,95.581,95.36,95.507,95.852,95.368,95.562,95.475,95.396,95.653,95.29,95.01,95.515,95.461,95.531,95.565,95.472,95.676,95.667,95.563,95.581,95.523,95.45,95.653,95.643,95.715,95.615,95.793,95.7,95.84,95.749,95.766,95.777,96.008,96.195,96.013,95.948,95.55,95.759,95.847,95.563,95.61,95.564,95.522,95.206,95.18,95.338,95.3,95.606,95.214,95.123,95.005,95.139,94.944,94.752,94.766,94.555,94.449,94.48,94.325,94.26,94.017,94.223,94.445,94.556,94.573,94.597,94.618,94.552,94.64,94.788,94.98,95.06,95.346,95.469,95.397,95.2,95.168,95.583,95.794,95.564,95.651,95.579,95.674,95.962,96.046,95.815,95.888,96.036,96.214,96.259,96.249,96.284,96.523,96.357,96.648,96.805,96.934,97.053,97.121,97.366,97.38,97.248,96.958,97.108,97.281,97.683,97.886,97.908,98.017,98.095,98.11,97.942,98.141,98.492,98.815,98.948,99.185,99.258,99.308,99.672,99.876,100.192,100.715,101.016,101.322,101.127,100.376,99.625,99.773,100.22,100.166,100.177,100.06,100.513,100.109,100.057,100.023,99.786,99.604,99.51
"32","24","S1 PN4521ZZMG     Department stores","T070243",105.706,105.864,105.987,106.153,106.142,105.957,106.263,106.221,106.227,106.193,106.495,106.275,106.007,106.116,106.142,106.068,105.996,105.887,105.916,106.344,106.045,106.101,106.577,106.483,106.07,105.795,106.092,106.263,106.284,106.612,106.594,106.265,106.275,106.083,106.295,106.067,105.985,105.444,105.432,105.548,105.281,104.845,105.222,105.661,105.805,105.887,105.625,105.561,105.853,106.054,106.246,106.299,105.975,105.603,105.46,105.041,105.825,105.633,105.653,105.684,105.942,105.82,105.844,106.322,106.449,106.26,106.021,105.325,105.446,105.299,105.308,105.215,105.191,104.921,104.726,104.825,104.993,104.711,104.842,105.34,104.585,104.793,104.712,104.312,104.472,103.986,103.683,104.305,104.263,104.354,104.322,104.185,104.312,104.325,104.149,104.202,104.023,103.83,104.005,103.868,103.86,103.732,103.8,103.596,103.739,103.655,103.595,103.53,103.824,103.957,103.687,103.408,102.762,102.971,102.924,102.54,102.516,102.429,102.321,101.978,101.841,101.921,101.988,102.144,101.837,101.643,101.407,101.64,101.297,101.164,101.098,100.787,100.531,100.393,100.05,100.014,99.782,99.932,100.182,100.182,100.106,100.122,99.955,99.636,99.763,99.878,100.039,100.141,100.255,100.352,100.176,99.824,99.786,100.118,100.267,99.871,100.166,100.067,100.19,100.205,100.338,99.998,99.812,99.884,99.707,99.742,99.839,99.827,99.923,99.602,100.067,100.245,100.366,100.423,100.173,100.457,100.678,100.629,100.22,100.323,100.333,100.602,100.565,100.369,100.248,100.028,99.888,99.541,99.591,99.925,100.039,100.177,100.274,100.004,99.792,99.879,99.885,99.779,99.99,100.345,100.502,100.231,100.101,99.701,99.811,100.471,100.563,100.502,100.372,100.457,100.068,99.88,100.032,99.615,99.15,99.078
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",83.252,83.426,83.529,83.619,83.526,83.535,83.736,83.891,83.846,83.893,84.021,83.938,84.056,84.15,84.171,84.282,84.54,84.315,84.293,84.308,84.079,84.287,84.447,84.441,84.355,84.234,84.26,84.365,84.442,84.655,84.733,84.645,84.676,84.623,84.692,84.783,84.978,84.918,84.886,85.245,85.219,85.137,85.356,85.612,85.787,85.944,85.901,85.987,86.24,86.502,86.718,86.873,86.792,86.885,87.071,87.09,87.359,87.524,87.594,87.529,87.593,87.768,87.746,87.863,87.84,87.783,87.783,87.663,87.723,87.716,87.795,87.675,87.824,87.851,87.744,87.962,88.077,87.931,88.109,88.255,88.13,88.313,88.211,88.578,88.984,88.769,88.504,88.874,88.802,88.848,88.971,88.933,89.244,89.208,89.191,89.167,89.258,89.333,89.579,89.724,89.897,89.828,90.142,90.174,90.318,90.218,90.323,90.422,90.589,90.843,90.752,90.91,90.758,90.973,91.198,91.006,91.124,91.115,91.132,90.833,90.907,91.138,91,91.447,90.969,90.968,90.953,91.002,90.931,90.687,90.771,90.641,90.66,90.828,90.82,90.733,90.481,90.732,90.935,91.133,91.223,91.254,91.414,91.535,91.594,91.766,91.982,92.048,92.458,92.599,92.602,92.514,92.486,92.964,93.22,93.106,93.049,92.997,93.073,93.545,93.599,93.438,93.68,93.879,94.282,94.331,94.252,94.315,94.642,94.571,94.754,94.897,95.031,95.187,95.447,95.669,95.561,95.382,95.164,95.342,95.612,96.093,96.436,96.583,96.823,97.068,97.171,97.103,97.384,97.745,98.181,98.312,98.623,98.875,99.061,99.567,99.872,100.404,101.084,101.356,101.735,101.575,100.514,99.591,99.758,100.103,99.981,100.024,99.913,100.539,100.128,100.14,100.019,99.865,99.816,99.713
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",67.971,67.936,68.217,68.324,68.505,69.019,69.362,69.336,69.306,69.661,69.873,70.007,70.03,70.108,70.026,69.929,69.441,69.149,69.071,69.063,68.77,69.811,69.629,69.314,69.181,69.747,69.643,69.653,69.303,69.554,70.322,71.223,71.167,71.088,71.319,71.371,71.298,71.178,71.028,71.098,71.322,71.497,71.429,71.345,71.119,71.166,70.83,71.257,72.199,72.398,73.125,74.227,74.332,73.484,73.469,73.234,73.424,74.062,74.468,74.926,75.044,75.122,74.783,74.274,73.474,73.244,73.174,73.991,74.294,74.256,73.782,73.705,72.937,72.263,71.331,71.14,71.592,71.79,71.89,71.503,71.372,71.578,71.243,71.108,71.121,70.681,71.156,73.683,73.462,73.292,74.184,75.28,76.24,76.36,76.156,77.3,77.86,79.286,81.16,80.074,79.646,81.408,81.394,80.224,81.958,81.716,81.729,81.512,81.55,81.337,80.668,81.166,82.923,82.643,80.549,79.942,81.815,79.459,77.189,76.061,76.26,76.28,77.656,79.346,79.4,79.556,79.846,80.118,80.307,81.115,81.008,80.962,83.078,85.076,85.129,82.645,80.081,80.119,81.096,82.934,84.297,82.964,82.893,83.532,85.096,85.582,85.753,85.298,86.634,87.606,87.414,87.358,87.987,89.98,91.092,90.586,89.284,90.507,91.05,91.729,90.654,90.775,93.245,95.904,101.512,100.038,95.867,95.456,97.306,96.94,96.889,99.042,99.641,99.846,101.971,103.02,99.264,96.026,95.606,97.851,97.346,97.902,99.799,100.748,102.266,102.465,102.813,102.115,103.29,103.748,106.848,107.382,107.914,108.483,109.213,109.078,110.801,114.849,116.472,114.736,114.702,109.539,98.216,92.37,93.498,95.826,94.635,94.89,96.218,101.565,101.36,103.113,103.643,104.175,105.536,105.542
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",64.329,64.744,65.117,65.622,65.454,65.493,65.812,65.906,66.089,66.392,66.673,66.773,67.03,67.147,67.222,67.09,67.171,67.281,67.603,67.756,67.925,67.955,67.987,68.181,68.269,68.481,68.579,68.775,69.031,69.196,69.25,69.397,69.552,69.623,69.757,69.95,69.777,69.718,69.7,69.635,69.638,69.789,69.989,70.224,70.197,70.454,70.635,70.735,70.914,71.201,71.344,71.501,71.537,71.575,71.773,71.861,71.927,72.255,72.105,72.055,72.188,72.443,72.684,72.793,72.902,72.944,72.963,72.838,72.86,72.907,73.013,73.271,73.401,73.536,73.504,73.944,74.274,74.327,74.452,74.733,75.035,75.204,75.147,75.416,75.57,75.772,75.965,76.41,76.631,76.885,77.213,77.584,77.834,78.062,78.424,78.687,78.819,78.923,79.148,79.321,79.367,79.569,79.77,80.008,80.231,80.292,80.531,80.826,81.124,81.538,81.861,82.106,82.303,82.663,82.884,83.056,83.362,83.529,83.735,84.06,84.152,84.469,84.588,84.906,85.07,85.277,85.492,85.537,85.647,85.82,86.078,86.198,86.369,86.285,86.514,86.529,86.514,86.555,86.918,87.11,87.336,87.385,87.278,87.659,87.767,87.972,88.222,88.526,88.777,88.845,88.991,88.983,89.216,89.469,89.521,89.625,89.697,89.907,89.975,90.071,90.465,90.729,91.002,91.149,91.457,91.814,92.327,92.495,92.72,92.911,93.243,93.433,93.738,93.887,94.073,94.299,94.558,94.544,94.206,94.065,94.608,94.36,94.115,94.405,94.613,94.677,95.189,95.457,95.633,95.953,96.318,96.587,96.83,96.826,97.129,97.177,96.8,97.002,97.053,97.141,97.298,97.557,98.019,98.324,98.561,98.825,99.007,99.492,99.805,99.911,99.896,100.353,100.807,101.054,101.102,101.188
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",49.793,49.663,49.781,49.722,50.128,51.018,51.326,51.134,51.059,51.586,51.743,51.973,52.015,52.086,51.729,51.509,50.592,49.991,49.706,49.471,48.888,50.867,50.276,49.776,49.429,50.091,49.853,49.746,48.878,49.177,50.588,52.408,52.175,52.073,52.406,52.412,52.125,52.022,51.671,51.708,52.133,52.338,51.987,51.554,51.076,51.187,50.406,51.166,52.483,52.541,53.731,55.68,56.088,54.632,54.48,54.108,54.127,54.94,55.678,56.692,57.017,57.048,56.137,55.169,53.487,52.981,52.918,54.894,55.653,55.559,54.629,54.238,52.572,51.225,49.379,48.521,49.377,49.91,49.942,48.996,48.806,49.171,48.601,48.133,48.039,47.239,48.328,53.315,52.602,52.213,54.118,56.324,58.165,58.302,57.806,60.109,60.994,62.938,68.039,65.358,64.303,68.687,68.342,65.471,68.877,68.215,68.093,67.437,67.564,67.025,65.618,66.745,71.095,69.971,64.761,63.516,67.886,62.317,57.052,54.804,55.433,55.242,58.444,62.043,62.121,62.448,63.129,63.729,64.121,66.065,65.727,65.588,70.426,74.908,74.404,69.091,63.256,63.535,65.654,70.243,73.919,70.369,70.156,71.551,74.982,75.979,76.097,74.573,77.52,79.705,79.062,78.893,80.218,84.571,86.929,85.853,82.453,85.42,86.474,87.943,84.945,85.245,91.263,98.029,112.035,107.659,96.561,95.491,100.128,99.214,98.659,104.103,105.346,105.813,111.55,114.033,103.666,95.001,94.217,100.315,98.547,99.875,105.244,107.669,111.711,112.174,112.668,110.692,113.702,114.383,122.118,123.328,124.229,125.632,126.704,125.978,130.586,141.284,145.667,140.893,140.933,126.341,95.167,80.056,83.219,89.14,85.799,85.862,89.419,104.078,103.882,108.672,109.783,110.885,114.507,114.756
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",109.889,109.327,109.726,109.979,110.132,109.952,109.976,110.077,110.065,110.301,110.628,110.616,110.609,110.585,110.601,110.456,110.269,110.393,110.07,110.423,110.493,111.109,111.061,110.982,110.763,110.825,111.289,111.578,111.633,111.747,112.134,112.068,111.862,111.765,112.166,111.388,111.988,111.857,111.72,111.926,111.865,111.43,111.542,112.001,112.009,111.929,111.838,111.842,112.006,112.713,112.993,112.824,112.256,112.661,112.528,112.218,112.476,112.538,112.736,112.655,112.259,112.495,112.677,111.764,111.623,111.906,111.713,112.07,111.976,111.768,111.689,111.74,111.604,111.404,111.47,111.394,111.23,111.029,110.986,110.937,110.567,110.427,110.356,110.146,110.137,109.79,109.456,109.858,109.783,109.18,108.821,108.722,108.265,108.195,107.669,107.183,107.688,107.644,107.819,107.846,108.014,107.843,107.81,107.685,107.887,107.771,107.754,107.735,107.681,107.356,107.067,107.308,107.32,107.589,107.594,107.366,107.305,107.308,107.093,106.485,106.319,106.723,106.725,106.62,106.556,105.935,105.482,105.611,105.44,105.224,105.176,104.88,104.852,104.683,104.467,104.169,103.87,103.75,103.767,103.824,103.661,103.473,103.479,103.263,103.062,103.354,103.625,103.677,103.591,103.675,103.189,102.751,102.737,102.7,102.928,102.555,102.504,102.206,102.09,102.112,102.208,102.065,101.89,101.678,101.823,101.911,101.581,101.164,101.278,101.036,101.275,101.23,101.299,101.216,101.091,101.137,101.032,101.166,100.97,100.695,100.462,100.329,100.34,99.838,99.795,99.61,99.579,99.509,99.25,99.704,99.987,99.823,99.941,100.189,99.939,99.877,99.977,99.882,99.975,100.213,100.404,100.447,100.042,99.375,99.391,100.137,100.294,100.204,100.158,100.229,100.089,100.141,100.246,99.983,99.715,99.414
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",124.479,123.997,124.358,124.829,124.679,124.818,124.666,124.722,124.491,124.772,125.494,125.155,124.55,124.756,124.906,124.542,124.208,124.061,124.513,124.528,124.921,125.477,125.55,125.34,124.92,124.865,125.461,125.648,125.796,126.057,126.435,126.417,125.833,125.899,126.473,125.377,126.192,125.991,125.732,125.903,125.71,125.457,125.488,125.731,125.959,125.57,125.171,125.299,125.266,126.098,126.501,126.28,125.509,126.151,125.816,125.194,125.636,125.726,125.997,125.927,125.376,125.423,125.724,125.126,124.724,124.748,124.527,124.644,124.682,124.421,124.201,124.112,124.077,123.687,123.345,122.932,122.62,122.463,122.429,122.225,121.263,121.019,121.157,120.775,120.561,120.053,119.8,120.128,119.644,119.238,119.018,118.674,118.167,117.883,117.291,116.65,116.873,116.59,116.882,117.029,116.986,116.474,116.383,116.176,116.424,116.319,116.027,115.906,115.565,115.253,114.833,114.852,114.82,114.87,114.681,114.366,114.367,114.254,113.822,113.175,113.052,113.168,113.388,113.206,112.644,111.814,111.282,110.955,110.57,110.35,109.927,109.565,109.418,109.15,108.895,108.381,107.998,108.088,107.975,107.806,107.574,107.232,107.45,106.996,106.636,107.102,107.218,107.138,107.047,107.076,106.406,105.895,105.906,105.599,105.932,105.44,105.386,105.107,104.845,104.831,104.89,104.602,104.413,104.224,104.22,104.378,103.86,103.495,103.623,103.141,103.516,103.456,103.48,103.353,103.22,103.247,103.172,103.124,102.824,102.498,102.146,101.909,101.809,101.15,100.972,100.72,100.594,100.409,100.164,100.519,100.843,100.633,100.742,100.971,100.623,100.501,100.706,100.384,100.56,100.576,100.753,100.73,100.228,99.34,99.318,100.27,100.483,100.357,100.34,100.382,100.073,100.037,100.215,99.864,99.453,99.209
