"","Table 7#2#4U# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194"
"28","20","        Net transactions","W492RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.571,79.846,83.388,87.352,89.442,92.908,94.638,94.652,95.385,94.151,91.84,91.772,91.253,88.597,87.339,87.14,87.57,91.545,93.533,94.089,94.314,95.064,95.832,96.562,98.654,98.435,96.328,95.903,95.9,94.94,94.593,93.62,94.049,94.964,95.757,95.822,95.349,97.675,100.493,102.829,103.421,106.275,109.305,111.288,109.785,111.027,114.608,119.081,124.633,126.234,124.863,125.246,127.261,125.582,124.779,124.235,124.709,122.317,118.428,117.378,118.144,118.205,119.309,119.929,117.426,117.93,120.957,121.648,120.516,121.878,122.291,125.117,125.972,125.159,124.111,123.793,120.87,119.462,120.13,117.425,116.681,116.294,112.154,104.328,103.63,103.079,104.417,108.199,108.846,109.159,110.155,110.261,110.473,110.89,110.335,108.627,106.638,105.939,106.421,108.007,109.108,107.201,104.148,100.845,97.609,96.784,99.174,107.23,111.984,112.768,113.978,113.647,114.246,116.791,119.371,118.924,117.823,120.354,118.827,116.477,117.303,118.484,117.744,118.639,118.166,118.715,117.672
"29","21","  Private fixed investment","AB62RG3",26.617,26.69,26.865,27.259,27.227,27.458,27.655,27.996,27.872,28.048,28.56,28.728,29.019,29.182,29.473,30.283,31.024,31.363,31.113,30.826,31.445,31.631,31.831,31.148,30.849,31.286,31.809,32.042,32.814,33.632,34.619,35.667,36.334,37.368,37.456,38.211,39.114,39.182,39.842,40.733,41.072,41.762,43.087,44.937,45.992,46.353,47.006,47.544,48.978,50.098,50.691,52.231,53.817,54.975,56.615,57.016,57.396,59.292,59.623,60.316,59.926,60.423,61.104,61.072,61.347,61.18,61.177,61.393,61.648,61.732,61.78,61.844,62.357,63.153,63.918,65.332,66.23,68.016,68.44,70.03,69.788,69.04,69.006,69.236,68.905,69.249,70.006,71.159,70.867,71.419,72.141,73.409,74.038,74.335,74.706,76.766,78.279,78.557,78.796,79.901,80.7,80.66,79.861,79.612,80.21,80.02,80.035,80.424,82.054,82.702,82.715,81.92,81.019,81.401,82.253,82.765,82.665,83.715,84.513,85.073,85.131,85.961,87.475,87.639,87.045,86.894,86.957,86.752,87.921,87.722,86.601,86.408,86.563,86.684,86.312,84.641,83.956,84.15,84.24,84.917,85.119,85.309,84.987,86.927,85.709,85.268,86.99,90.705,90.974,91.642,89.979,89.518,90.423,90.429,88.707,89.421,89.569,89.379,89.596,89.844,90.434,90.99,90.715,89.714,88.537,88.685,90.225,91.673,98.67,105.084,102.81,93.436,87.717,87.731,88.007,88.683,88.962,89.971,89.726,90.06,91.045,90.897,91.696,93.018,92.926,92.821,93.415,93.135,93.09,93.344,94.049
"30","22","    New motor vehicles","AB68RG3",29.437,29.588,29.932,30.35,30.416,30.535,30.738,30.956,30.942,31.149,31.433,31.656,31.835,32.108,32.45,33.333,34.145,34.513,34.205,33.863,34.445,34.629,34.842,34.338,34.225,34.692,35.079,35.138,35.684,36.637,38.088,39.57,40.366,41.294,41.697,42.538,43.376,43.966,44.813,45.865,46.477,47.137,48.061,49.606,50.661,51.204,52.2,52.922,54.302,55.805,56.249,57.263,58.812,59.962,61.751,63.052,64,66.149,67.309,68.59,68.519,69.438,70.433,70.604,71.108,71.145,71.719,72.583,73.157,73.874,74.255,74.337,74.958,75.429,75.618,76.865,77.575,78.641,78.726,80.075,79.953,80.132,80.548,80.865,80.673,81.143,81.939,83.085,83.365,83.763,83.76,84.647,85.158,85.118,85.295,86.547,87.779,88.29,88.716,89.522,89.967,90.799,91.244,91.901,92.465,93.181,94.096,94.899,95.722,96.57,97.579,98.052,98.788,99.56,99.903,100.385,100.81,101.153,101.522,101.762,102.031,101.866,101.747,101.468,101.377,101.331,101.735,101.737,101.776,101.793,101.874,101.933,101.662,102.185,102.08,101.762,101.612,101.476,101.139,101.451,100.419,99.952,99.918,100.232,99.319,98.963,98.782,98.582,98.565,98.878,98.214,99.147,100.003,100.044,99.092,99.665,99.853,99.884,99.933,99.579,99.34,99.526,99.542,99.491,99.333,98.971,98.767,97.886,98.437,99.655,100.062,101.846,101.626,101.506,101.906,102.209,102.789,104.47,105.228,105.36,105.759,106.299,106.56,106.924,107.096,107.403,107.698,107.738,107.601,108.022,108.365
"31","23","      Autos","B139RG3",36.427,36.63,37.188,37.709,37.683,37.861,38.106,38.444,38.277,38.493,38.722,38.981,38.977,39.123,39.577,41.115,42.038,42.075,41.103,40.29,41.036,41.204,41.457,40.56,40.724,41.102,41.353,41.192,41.403,42.42,44.309,45.712,46.002,47.177,47.527,48.406,49.382,49.779,50.316,51.405,51.78,52.227,52.907,54.548,55.884,56.212,57.028,58.335,59.602,60.937,61.751,62.551,64.23,65.57,66.918,67.547,67.663,69.743,70.833,71.669,71.854,72.476,73.177,73.095,73.688,74.145,74.713,75.34,75.781,76.236,76.748,77.085,78.003,78.571,79.058,79.532,80.24,81.493,82.725,83.879,83.964,84.553,85.498,85.869,85.443,85.995,87.075,87.555,87.735,88.146,87.913,88.794,89.353,88.932,89.028,89.984,91.595,92.352,92.695,93.178,93.723,94.354,94.913,95.359,95.729,96.397,97.143,97.952,98.682,99.496,100.523,101.049,101.475,102.001,102.012,102.413,102.967,103.302,103.932,104.113,104.031,103.9,103.595,103.187,103.068,102.736,103.009,102.649,102.433,101.997,101.875,101.825,101.798,102.24,102.264,101.829,101.744,101.695,101.331,101.539,100.87,100.333,100.061,100.211,99.001,98.637,98.321,97.986,97.873,98.229,97.518,98.129,98.953,99.076,98.249,99.249,99.76,99.588,99.954,99.658,99.486,99.404,99.328,99.14,98.98,98.936,99.552,98.653,98.944,99.64,99.751,101.665,101.243,100.682,100.663,100.739,101.241,103.616,104.848,104.68,104.627,104.991,105.03,105.442,105.809,105.66,105.539,105.225,105.169,105.317,105.193
"32","24","        Domestic","GAP673",36.417,36.617,37.173,37.692,37.668,37.844,38.085,38.418,38.244,38.467,38.719,39.017,39.068,39.243,39.702,41.222,42.094,42.095,41.1,40.286,41.044,41.219,41.472,40.569,40.722,41.095,41.347,41.194,41.421,42.44,44.318,45.697,45.945,47.093,47.436,48.323,49.328,49.748,50.301,51.401,51.779,52.225,52.898,54.526,55.845,56.17,56.995,58.328,59.635,60.997,61.818,62.603,64.25,65.567,66.912,67.554,67.699,69.797,70.887,71.708,71.863,72.461,73.138,73.037,73.614,74.064,74.637,75.278,75.744,76.218,76.743,77.086,78.003,78.57,79.06,79.537,80.247,81.511,82.736,83.88,83.946,84.526,85.47,85.846,85.433,85.996,87.082,87.566,87.75,88.161,87.923,88.805,89.353,88.927,89.021,89.976,91.58,92.346,92.688,93.169,93.712,94.341,94.896,95.341,95.708,96.374,97.117,97.926,98.654,99.472,100.505,101.035,101.47,102.003,102.015,102.415,102.966,103.296,103.925,104.107,104.025,103.898,103.596,103.19,103.076,102.745,103.019,102.66,102.441,102.002,101.879,101.828,101.802,102.244,102.265,101.826,101.738,101.687,101.323,101.521,100.867,100.346,100.072,100.222,99.004,98.634,98.313,97.98,97.87,98.228,97.518,98.135,98.954,99.079,98.253,99.254,99.763,99.589,99.956,99.658,99.485,99.402,99.329,99.141,98.983,98.927,99.511,98.579,98.723,99.388,99.567,101.472,101.107,100.594,100.597,100.673,101.166,103.508,104.741,104.571,104.522,104.89,104.932,105.346,105.711,105.563,105.443,105.129,105.074,105.222,105.097
"33","25","        Foreign","GAP703",36.419,36.618,37.166,37.692,37.668,37.844,38.103,38.416,38.241,38.467,38.719,39.018,39.068,39.243,39.699,41.226,42.093,42.095,41.22,40.289,41.044,41.219,41.475,40.569,40.723,41.094,41.342,41.188,41.412,42.436,44.349,45.688,45.968,47.1,47.417,48.324,49.328,49.748,50.315,51.399,51.78,52.222,52.9,54.542,55.841,56.173,57.011,58.324,59.678,61.012,61.82,62.607,64.24,65.574,66.906,67.549,67.695,69.773,70.892,71.727,71.877,72.464,73.137,73.036,73.608,74.066,74.629,75.277,75.747,76.219,76.746,77.086,77.998,78.573,79.041,79.538,80.288,81.486,82.725,83.867,83.952,84.532,85.471,85.844,85.431,85.989,87.079,87.573,87.747,88.156,87.932,88.784,89.349,88.928,89.015,89.974,91.636,92.336,92.688,93.168,93.71,94.336,94.902,95.337,95.707,96.367,97.122,97.923,98.658,99.469,100.485,101.034,101.471,102.001,102.015,102.42,102.963,103.303,103.924,104.108,104.025,103.894,103.588,103.189,103.076,102.754,103.032,102.66,102.433,102,101.879,101.833,101.805,102.246,102.268,101.832,101.732,101.685,101.324,101.576,100.901,100.346,100.078,100.22,99.003,98.636,98.319,97.98,97.866,98.222,97.512,98.117,98.956,99.076,98.246,99.246,99.759,99.589,99.952,99.657,99.486,99.407,99.327,99.14,98.982,98.927,99.53,98.586,98.964,99.648,99.679,101.695,101.359,100.837,100.84,100.918,101.388,103.782,104.993,104.824,104.774,105.141,105.182,105.594,105.966,105.818,105.696,105.381,105.326,105.474,105.351
"34","26","      Trucks","B705RG3",23.008,23.116,23.269,23.592,23.737,23.802,23.968,24.078,24.191,24.386,24.708,24.9,25.215,25.581,25.812,26.15,26.825,27.482,27.75,27.8,28.227,28.407,28.577,28.393,28.071,28.587,29.069,29.285,30.03,30.898,31.979,33.471,34.661,35.353,35.822,36.632,37.326,38.113,39.248,40.26,41.105,41.963,43.117,44.555,45.337,46.059,47.21,47.405,48.863,50.479,50.609,51.777,53.184,54.137,56.315,58.304,60.229,62.456,63.692,65.503,65.154,66.415,67.8,68.325,68.716,68.203,68.801,69.988,70.741,71.799,72.009,71.768,72.035,72.404,72.245,74.432,75.206,76.074,74.604,76.241,75.854,75.542,75.331,75.582,75.669,76.038,76.482,78.478,78.887,79.278,79.562,80.461,80.909,81.365,81.665,83.413,84.101,84.244,84.826,86.161,86.456,87.579,87.874,88.808,89.623,90.407,91.524,92.324,93.251,94.142,95.144,95.573,96.635,97.65,98.311,98.861,99.161,99.505,99.646,99.941,100.495,100.312,100.342,100.162,100.092,100.244,100.738,100.988,101.199,101.515,101.729,101.858,101.425,102.004,101.813,101.581,101.384,101.18,100.864,101.25,99.945,99.529,99.682,100.118,99.437,99.085,99.002,98.895,98.943,99.229,98.595,99.717,100.589,100.58,99.559,99.889,99.894,100.04,99.909,99.516,99.228,99.57,99.649,99.698,99.562,99.006,98.204,97.33,98.057,99.661,100.302,101.981,101.921,102.134,102.836,103.278,103.891,105.118,105.581,105.885,106.576,107.24,107.647,107.982,108.024,108.632,109.2,109.469,109.281,109.863,110.48
"35","27","        Light trucks (including utility vehicles)","B196RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.143,80.464,80.836,81.346,81.014,81.306,81.926,82.516,83.444,83.611,84.281,85.303,86.584,86.864,87.227,88.918,90.496,90.913,91.688,92.259,93.138,94.127,94.569,94.969,96.007,97.122,98.49,99.39,100.374,101.483,102.741,103.284,103.641,104.675,105.499,106.28,106.707,107.266,107.813,108.682,109.178,108.916,108.855,108.803,108.641,108.39,108.836,108.75,108.966,109.303,109.522,109.617,108.872,109.688,109.215,108.626,108.728,108.533,107.958,108.464,106.661,105.965,106.096,106.458,105.397,105.063,104.993,104.777,104.565,104.608,103.515,104.481,105.471,105.257,103.516,103.606,103.473,103.152,102.834,101.754,101.165,101.18,101.277,101.276,100.814,99.857,98.544,96.737,97.512,99.679,100.403,102.406,102.163,102.296,102.944,103.343,103.92,105.422,105.862,105.863,106.449,107.146,107.66,108.008,108.065,108.934,109.615,109.648,109.274,110.047,110.781
"36","28","          Domestic","BTRLDP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.608,105.918,106.05,106.418,105.359,105.03,104.96,104.742,104.526,104.571,103.487,104.47,105.481,105.275,103.532,103.592,103.424,103.087,102.776,101.722,101.18,101.19,101.228,101.114,100.49,99.439,98.094,96.331,97.194,99.438,100.222,102.267,102.055,102.21,102.873,103.279,103.853,105.358,105.795,105.796,106.38,107.077,107.593,107.944,108.006,108.878,109.562,109.597,109.223,109.996,110.729
"37","29","          Foreign","BTRLMP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.888,106.173,106.319,106.674,105.624,105.282,105.213,104.996,104.781,104.827,103.749,104.724,105.742,105.53,103.743,103.857,103.674,103.343,103.021,101.973,101.43,101.431,101.47,101.361,100.729,99.683,98.369,96.57,97.442,99.664,100.456,102.514,102.303,102.459,103.125,103.531,104.121,105.605,106.052,106.053,106.638,107.334,107.853,108.207,108.266,109.15,109.832,109.862,109.489,110.26,110.999
"38","30","        Other trucks, buses, and truck trailers","B197RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.105,60.396,59.82,59.842,60.198,60.561,60.804,63.52,63.497,63.957,63.927,64.591,64.31,64.845,65.039,66.594,66.323,66.16,66.458,68.449,68.087,69.199,69.306,70.596,71.086,71.458,72.19,72.792,73.54,74.077,74.67,74.916,76.581,77.454,77.883,78.149,78.311,78.32,77.784,76.977,77.558,77.51,77.709,77.268,77.4,78.367,78.936,79.756,79.952,80.216,80.405,80.582,80.78,80.828,81.276,81.941,81.006,80.786,81.202,81.179,81.366,81.74,81.924,82.547,82.959,82.568,82.469,82.704,83.478,84.395,84.955,86.468,87.042,87.482,88.236,89.129,89.434,90.739,91.104,92.488,93.125,94.522,94.58,94.812,95.876,96.665,97.394,98.89,99.5,99.638,100.031,100.831,101.254,101.686,102.529,103.088,103.808,104.285,104.809,105.915,106.867,107.453,107.591,107.893,107.91,107.746,107.989,108.959,109.329,109.333,109.616
"39","31","    Net purchases of used autos and used light trucks","W242RG3",27.956,28.429,29.415,29.76,30.362,29.79,29.915,29.26,29.901,30.151,28.936,29.358,28.882,29.562,29.988,30.78,31.512,31.832,31.377,30.912,30.794,30.848,31.015,32.083,33.343,33.735,32.967,31.841,30.515,31.859,35.262,38.301,39.2,39.058,40.623,41.417,41.508,44.427,45.859,47.316,49.406,49.505,47.091,45.527,45.807,47.135,49.673,51.035,50.996,53.835,53.124,50.735,51.374,51.992,53.62,58.264,61.299,63.521,68.068,71.547,73.132,75.662,77.639,78.691,80.112,81.275,84.95,89.259,91.244,94.99,96.798,96.819,97.519,96.108,93.56,93.442,92.934,90.174,88.815,88.638,89.127,93.11,95.094,95.584,95.824,96.527,97.149,97.849,99.939,99.671,97.483,97.073,97.158,96.223,95.869,94.94,95.324,96.311,97.113,97.193,96.859,99.397,102.31,104.801,105.236,107.987,111.011,112.779,111.121,112.328,116.05,120.406,126.248,127.98,126.517,126.718,128.59,126.842,125.927,125.168,125.971,122.975,118.403,117.121,118.432,118.731,119.933,120.463,117.624,118.142,121.278,121.976,120.71,122.127,122.651,125.517,126.558,125.679,124.461,123.971,120.336,118.576,119.166,116.298,116.099,115.963,111.538,103.211,102.428,101.823,103.357,107.46,108.153,108.333,109.579,109.642,109.834,110.513,110.164,108.393,106.288,105.554,106.009,107.63,109.126,107.525,104.589,101.248,97.729,96.625,98.739,106.907,111.406,111.863,112.936,112.577,113.18,115.655,118.509,118.076,116.944,119.646,118.194,115.599,116.44,117.851,117.092,118.143,117.753,118.564,117.629
"40","32","      Used autos","B140RG3",28.061,28.546,29.545,29.891,30.499,29.917,30.041,29.373,30.024,30.278,29.041,29.468,28.984,29.673,30.102,30.893,31.629,31.953,31.5,31.035,30.904,30.959,31.128,32.228,33.522,33.921,33.13,31.964,30.587,31.95,35.428,38.537,39.47,39.296,40.907,41.702,41.776,44.798,46.273,47.749,49.912,50.002,47.479,45.792,46.027,47.35,49.901,51.278,51.249,54.116,53.412,51.009,51.654,52.278,53.92,58.593,61.64,63.875,68.459,71.973,73.586,76.142,78.13,79.175,80.569,81.712,85.41,89.78,91.787,95.594,97.432,97.46,98.16,96.727,94.15,94.039,93.541,90.761,89.365,89.166,89.612,93.572,95.549,96.036,96.313,97.034,97.642,98.348,100.446,100.166,97.949,97.531,97.636,96.702,96.337,95.42,95.786,96.792,97.584,97.65,97.256,99.701,102.481,104.933,105.457,108.317,111.31,113.287,111.682,112.924,116.547,121.057,126.733,128.404,126.998,127.344,129.351,127.555,126.659,126.04,126.494,124.19,120.084,118.847,119.682,119.808,120.832,121.401,118.772,119.26,122.34,122.958,121.771,123.15,123.692,126.546,127.54,126.703,125.537,125.071,121.744,120.068,120.667,117.859,117.225,116.842,112.541,104.509,103.688,103.011,104.423,108.452,109.111,109.237,110.263,110.192,110.405,111.001,110.5,108.632,106.494,105.71,106.214,107.946,109.348,107.602,104.524,101.414,97.846,96.713,98.715,106.725,111.175,111.71,112.868,112.522,113.181,115.642,118.431,118.001,116.873,119.464,118.018,115.54,116.388,117.69,116.952,117.928,117.497,118.173,117.2
"41","33","        Margin","GAP733",12.197,12.633,13.523,14.028,13.547,14.107,14.497,14.943,15.206,15.22,15.286,15.367,15.495,15.669,15.872,16.134,17.259,18.15,18.101,18.002,18.563,19.86,20.043,19.94,20.297,21.15,21.393,22.214,22.059,22.654,25.166,26.487,26.483,26.219,27.512,28.081,28.902,30.465,32.869,35.25,34.758,34.802,34.134,34.4,34.24,35.648,36.393,35.26,34.902,34.036,31.655,31.256,30.885,29.841,28.314,29.215,30.083,30.874,30.7,29.984,29.713,29.268,29.036,29.437,32.089,34.86,35.06,33.1,36.818,34.447,33.326,32.06,32.354,33.838,35.286,35.768,34.297,34.865,37.745,40.51,43.588,49.949,53.003,53.358,47.342,46.475,49.878,51.158,54.814,56.196,56.468,55.059,51.695,49.827,49.304,48.169,50.244,50.334,51.72,51.777,49.712,50.456,51.539,52.137,53.765,55.973,58.745,61.33,63.144,65.46,68.657,71.719,72.346,72.506,71.528,72.143,75.666,76.671,78.443,80.353,82.43,78.606,79.982,83.348,82.092,81.295,83.687,84.936,86.544,87.059,88.89,90.186,90.377,90.632,88.382,89.96,90.143,91.516,93.506,96.123,103.78,107.243,108.463,106.495,100.831,99.027,96.897,97.843,104.969,110.208,109.039,107.366,107.249,112.515,112.324,117.519,116.752,112.07,110.069,112.89,116.69,118.35,117.368,113.738,103.681,97.865,98.426,93.808,94.369,96.506,102.249,107.592,114.625,118.324,117.258,116.75,117.614,120.319,119.144,118.399,117.646,117.177,115.076,116.638,117.76,115.507,115.329,113.942,112.262,108.918,106.58
"42","34","        Net transactions","GAP763",27.353,27.843,28.857,29.232,29.768,29.28,29.432,28.838,29.463,29.704,28.558,28.991,28.579,29.262,29.683,30.43,31.181,31.524,31.066,30.599,30.513,30.68,30.85,31.879,33.138,33.584,32.851,31.808,30.473,31.786,35.237,38.272,39.168,39.006,40.649,41.484,41.662,44.681,46.264,47.827,49.814,49.873,47.422,45.838,46.012,47.351,49.811,51.048,51.031,53.724,52.906,50.572,51.136,51.675,53.189,57.781,60.866,63.116,67.492,70.724,72.086,74.372,76.17,77.154,78.675,79.969,83.481,87.458,89.59,93.095,94.816,94.824,95.579,94.339,91.982,91.941,91.425,88.769,87.501,87.324,87.728,91.713,93.719,94.272,94.472,95.243,96.018,96.754,98.872,98.629,96.496,96.061,96.067,95.118,94.752,93.817,94.214,95.162,95.944,95.986,95.515,97.893,100.62,103.031,103.633,106.496,109.492,111.486,109.974,111.238,114.842,119.311,124.83,126.464,125.086,125.451,127.52,125.822,125.012,124.468,124.963,122.593,118.674,117.598,118.361,118.459,119.529,120.124,117.633,118.132,121.187,121.853,120.742,122.095,122.534,125.311,126.216,125.418,124.344,123.99,121.117,119.65,120.311,117.588,116.863,116.463,112.221,104.438,103.793,103.246,104.54,108.37,109.014,109.332,110.332,110.436,110.634,111.064,110.512,108.787,106.815,106.106,106.583,108.184,109.271,107.382,104.32,101.025,97.38,96.247,98.336,106.381,111.132,111.927,113.137,112.814,113.418,115.844,118.495,118.051,116.95,119.449,117.971,115.614,116.441,117.609,116.873,117.766,117.294,117.831,116.81
"43","35","      Used light trucks (including utility vehicles)","W243RG3",30.271,30.336,30.765,31.193,31.37,31.417,31.569,31.874,31.813,31.934,32.071,32.368,32.357,32.481,32.833,34.115,34.867,34.85,34.08,33.372,33.988,34.114,34.295,33.771,33.733,34.061,34.243,34.304,34.372,35.304,36.762,38.128,38.163,39.062,39.376,40.257,40.871,41.214,41.688,42.826,43.082,43.379,43.891,45.707,46.911,48.308,50.78,51.941,51.769,54.428,53.503,51.117,51.713,52.267,53.823,58.427,61.543,63.774,68.125,71.346,72.614,74.93,76.834,78.06,79.982,81.501,85.178,89.132,90.958,94.249,95.823,95.774,96.532,95.264,92.88,92.711,92.103,89.38,88.188,88.138,88.864,93.045,95.118,95.63,95.705,96.345,97.034,97.73,99.828,99.606,97.48,97.08,97.106,96.16,95.827,94.851,95.284,96.234,97.078,97.204,97.02,99.803,103.037,105.644,105.894,108.432,111.55,112.863,111.044,112.163,116.193,120.169,126.535,128.447,126.811,126.662,128.269,126.604,125.645,124.608,126.134,121.665,116.253,114.962,117.066,117.692,119.203,119.688,116.525,117.067,120.271,121.056,119.704,121.167,121.672,124.557,125.651,124.722,123.443,122.929,119.003,117.159,117.736,114.808,115.025,115.13,110.579,101.979,101.225,100.687,102.34,106.517,107.252,107.49,108.952,109.152,109.323,110.082,109.879,108.2,106.118,105.424,105.832,107.359,108.933,107.459,104.654,101.113,97.633,96.551,98.756,107.059,111.603,111.988,112.988,112.617,113.166,115.652,118.571,118.133,116.994,119.805,118.346,115.646,116.48,117.988,117.21,118.334,117.98,118.91,118.008
"44","36","        Margin","W493RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.716,68.791,71.809,75.226,77.049,80.029,81.588,81.553,82.214,81.126,79.122,79.088,78.614,76.38,75.23,75.081,75.449,78.882,80.567,81.089,81.247,81.919,82.595,83.16,84.992,84.804,83.016,82.599,82.621,81.813,81.486,80.661,81.044,81.819,82.502,82.556,78.819,74.557,70.958,68.825,73.721,80.382,81.782,90.982,92.593,94.838,94.269,102.471,101.687,101.297,102.121,106.709,112.173,110.136,109.901,112.258,104.215,115.537,124.468,127.985,118.397,115.588,114.033,116.371,120.712,120.373,121.403,119.745,120.594,120.232,119.76,120.912,119.918,121.068,123.018,125.791,134.503,137.635,138.418,137.074,123.144,116.722,117.008,119.044,121.899,122.907,121.088,120.585,119.92,120.861,115.837,114.974,115.718,112.359,108.112,106.469,105.75,105.134,106.051,107.739,101.796,94.207,88.556,89.871,91.833,97.426,104.953,106.349,111.022,116.204,119.491,119.333,120.696,123.482,122.275,121.509,120.734,120.221,118.099,119.704,120.857,118.542,118.36,116.933,115.216,111.781,109.377
