"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"58","50","      Gross investment","B799RG3",20.049,20.498,20.722,21.179,21.569,22.126,22.557,23.127,23.526,23.915,24.172,24.582,24.894,25.086,25.45,25.926,26.438,27.006,27.539,28.256,29.564,31.433,33.413,34.807,35.565,35.776,35.913,36.161,36.367,36.685,36.764,37.004,37.494,37.861,38.377,38.794,39.284,40.065,40.849,41.581,42.44,43.597,44.876,46.147,47.394,48.745,50.341,51.82,53.269,54.53,55.648,56.622,57.409,58.366,59.055,59.201,59.25,59.149,59.199,59.17,59.22,59.441,59.625,59.725,60.064,60.25,60.494,60.882,61.258,61.901,62.475,63.176,63.575,64.083,64.636,64.948,65.461,65.814,66.237,66.558,66.848,67.377,67.85,68.2,68.672,69.254,69.9,70.055,70.167,70.51,70.686,70.493,70.312,70.639,70.792,71.118,71.669,72.112,72.233,72.619,73.197,73.55,74.212,74.819,75.537,76.071,76.485,76.937,77.226,77.312,77.719,78.027,77.958,78.591,78.948,79.634,79.448,79.436,79.887,80.313,80.614,81.207,81.563,82.281,82.892,83.872,84.544,85.19,85.532,85.768,86.057,86.538,86.954,87.46,87.749,87.922,88.63,88.711,88.83,89.104,89.75,91.475,93.979,96.294,97.176,99.032,101.197,102.594,103.213,105.493,106.965,109.355,112.232,113.46,114.692,116.099,117.441,118.623,120.471,122.983,123.926,122.891,121.559,121.316,121.796,122.431,122.948,123.52,124.337,125.636,126.971,128.306,129.269
"59",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","51","  Final sales of computers to domestic purchasers \2\","W489RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12792.4,11503.997,10565.386,9920.301,9936.841,9684.553,9141.89,8499.421,8072.533,7469.907,6943.411,6608.133,6586.501,6554.743,6389.32,6075.025,5894.836,5762.751,5631.638,5577.514,5135.417,4818.507,4536.484,4359.623,4093.394,3895.824,3736.402,3631.443,3482.047,3343.172,3222.851,3075.098,2852.609,2768.191,2793.181,2770.93,2562.838,2416.317,2312.485,2317.822,2294.053,2234.054,2199.183,2179.668,2164.939,2092.108,2063.052,1993.148,1901.058,1870.768,1865.772,1829.439,1774.459,1710.49,1596.318,1535.972,1492.182,1413.907,1340.428,1290.305,1244.658,1182.315,1131.158,1083.375,1062.327,1042.98,1010.938,959.932,914.925,874.755,819.609,764.989,705.357,643.069,605.729,567.692,520.755,488.547,455.633,426.982,387.516,355.858,323.952,299.328,279.01,263.407,249.715,239.53,231.821,222.51,215.198,207.83,189.915,180.4,170.166,160.819,153.985,149.981,144.589,138.236,132.839,128.511,124.008,121.432,119.568,117.553,114.177,109.968,105.843,102.141,97.898,94.118,91.004,87.269,84.442,82.479,80.517,78.313,75.936,73.664,71.381,69.745,68.099,66.224,64.478,62.665,60.762,59.764,59.284,58.624,58.179,57.435,55.874,54.707,53.403,52.48,52.113
"61","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,37.732,38.403,39.151,39.91,40.936,41.994,43.039,44.239,45.35,46.405,47.655,48.92,49.807,50.589,51.487,52.179,52.75,53.463,54.017,54.385,54.79,55.357,55.698,56.426,56.959,57.38,57.702,58.282,58.639,58.97,59.468,59.839,59.979,60.403,60.872,61.523,61.996,62.55,63.011,63.552,64.182,64.798,65.387,66.122,66.868,67.243,67.744,68.699,69.354,70.145,71.047,71.558,71.907,72.427,72.884,73.362,73.861,74.329,74.732,75.167,75.627,75.951,76.349,76.744,77.179,77.744,78.179,78.677,79.141,79.499,79.932,80.446,80.818,81.245,81.777,82.238,82.467,82.738,83.085,83.153,83.376,83.732,84.07,84.495,85.035,85.515,86.035,86.881,87.308,87.915,88.447,89.09,89.553,89.749,89.871,90.228,90.84,91.273,91.889,92.82,92.914,93.483,93.987,94.952,95.824,96.625,97.58,98.502,99.305,100.563,101.63,102.372,103.312,104.085,104.366,105.547,106.409,106.973,108.001,109.142,110.373,111.502,110.385,109.892,110.055,110.532,111.13,111.721,111.868,112.147,112.765,113.915,114.89,115.491,115.846,116.595
"62","53","  Food \3\","B981RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.881,60.34,60.608,60.314,60.353,60.89,60.845,61.152,62.461,62.508,62.857,62.776,63.066,62.883,62.765,63.216,63.571,63.784,64.669,65.154,65.853,66.413,66.613,66.586,66.768,67.184,68.257,68.859,69.907,71.174,71.825,72.337,73.947,74.116,75.145,75.577,76.616,77.378,77.038,76.943,77.112,77.276,77.793,77.884,77.954,78.52,78.68,79.233,79.352,79.524,80.246,80.407,80.908,81.566,81.765,82.086,82.692,83.519,84.454,85.017,85.029,85.162,85.429,85.61,85.834,86.038,86.33,86.834,87.18,87.416,87.75,88.245,88.747,89.332,90.172,90.537,91.377,91.955,92.739,93.154,93.688,93.782,93.525,93.752,94.276,94.879,95.623,96.772,97.25,98.259,98.68,99.358,99.072,100.056,100.132,100.74,101.201,101.191,101.866,102.4,103.7,105.134,106.221,107.423,108.793,110.986,113.525,114.943,114.557,113.544,112.92,112.822,113.246,113.688,113.915,114.594,116.241,117.871,119.094,120.127,120.449
"63","54","  Energy goods and services","B982RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.175,52.957,54.638,55.17,53.816,54.841,55.373,55.116,55.362,55.593,55.165,55.364,55.399,56.276,55.889,56.118,54.108,48.527,46.903,45.829,48.367,48.922,50.278,50.158,49.472,49.534,50.108,50.038,50.77,54.357,53.208,52.657,55.01,54.399,57.038,62.385,58.859,56.826,56.642,57.368,56.775,57.246,58.011,58.696,58.632,58.241,57.612,58.318,57.91,57.422,59.023,59.285,59.166,59.111,58.81,58.41,60.098,62.103,61.368,62.78,63.964,61.308,61.684,61.955,58.388,57.005,56.57,55.775,55.027,58.266,60.882,62.932,67.354,69.052,71.257,72.775,74.407,75.557,71.769,65.294,63.55,67.548,68.501,70.729,78.029,73.216,76.518,76.764,81.159,82.606,85.093,91.127,91.027,92.345,105.917,110.711,110.118,112.486,116.035,106.564,111.29,118.939,119.546,127.045,133.427,142.92,152.641,116.69,103.433,104.697,114.024,118.407,122.549,117.882,119.637,126.633,138.321,143.241,144.366,143.28,145.949
"64","55","  Gross domestic purchases excluding food and energy","B983RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.348,55.066,55.782,56.435,56.919,57.256,57.864,58.236,58.943,59.526,59.995,60.352,60.983,61.34,61.738,62.246,62.723,63.17,63.697,64.266,64.779,65.218,65.741,66.285,66.934,67.613,68.207,68.846,69.578,70.125,70.566,71.114,71.941,72.708,73.406,74.118,74.802,75.238,75.825,76.29,76.841,77.338,77.756,78.145,78.615,79.081,79.436,79.779,80.227,80.723,81.206,81.629,82.121,82.56,82.898,83.308,83.666,83.819,84.205,84.616,84.965,85.261,85.436,85.713,85.823,86.013,86.286,86.562,86.947,87.297,87.608,88,88.664,88.969,89.446,89.895,90.362,90.723,90.993,91.326,91.708,92.17,92.572,93.086,93.718,93.963,94.36,94.815,95.635,96.45,97.161,97.871,98.849,99.575,100.342,101.234,102.002,102.881,103.502,104.121,105.112,105.64,106.136,106.865,107.751,108.576,109.291,109.256,109.249,109.424,109.592,110.056,110.49,110.783,110.991,111.326,111.987,112.734,113.239,113.58,114.258
"65","56","  Gross domestic product","B191RG3",22.663,22.966,23.299,23.591,23.918,24.261,24.453,24.763,25.136,25.473,25.727,25.932,26.356,26.508,26.751,27.064,27.418,27.875,28.407,28.894,29.491,30.151,31.09,32.05,32.788,33.265,33.886,34.484,34.871,35.238,35.71,36.322,36.933,37.523,38.042,38.685,39.324,40.082,40.776,41.607,42.37,43.401,44.298,45.175,46.165,47.196,48.273,49.633,50.937,51.847,52.799,53.72,54.477,55.152,55.918,56.511,56.995,57.411,57.997,58.416,59.141,59.675,60.163,60.517,61.209,61.524,61.816,62.195,62.511,62.823,63.219,63.676,64.177,64.537,65.046,65.512,66.039,66.675,67.466,68.01,68.72,69.405,69.876,70.316,71.17,71.997,72.666,73.265,74.049,74.567,75.131,75.557,75.984,76.436,76.776,77.212,77.687,78.109,78.476,78.883,79.318,79.701,80.149,80.572,81.054,81.416,81.76,82.18,82.625,82.929,83.34,83.721,84.147,84.522,84.758,85.08,85.207,85.417,85.736,85.962,86.326,86.689,86.993,87.35,88.015,88.462,88.984,89.435,90.052,90.679,90.969,91.225,91.555,91.958,92.361,92.894,93.548,93.819,94.337,94.833,95.64,96.455,97.163,97.876,98.784,99.444,100.467,101.305,102.055,102.955,103.731,104.206,105.396,106.116,106.457,106.956,107.623,108.282,109.107,109.247,109.709,109.589,109.662,109.969,110.37,110.77,111.162,111.699,112.39,113.091,113.811,114.061,114.634
"66","57","      Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.139,37.877,38.553,39.356,40.083,41.07,41.939,42.794,43.754,44.762,45.815,47.135,48.385,49.258,50.179,51.08,51.817,52.474,53.221,53.797,54.302,54.737,55.338,55.768,56.503,57.048,57.55,57.916,58.616,58.95,59.258,59.655,60.006,60.329,60.707,61.158,61.695,62.079,62.599,63.05,63.571,64.214,64.994,65.531,66.223,66.92,67.39,67.849,68.724,69.542,70.193,70.791,71.57,72.096,72.693,73.129,73.563,74.047,74.423,74.879,75.375,75.82,76.21,76.638,77.079,77.467,77.925,78.385,78.906,79.299,79.706,80.184,80.705,81.092,81.564,82.019,82.533,82.972,83.278,83.652,83.87,84.162,84.598,84.899,85.346,85.758,86.118,86.527,87.241,87.732,88.295,88.774,89.494,90.163,90.499,90.798,91.176,91.614,92.055,92.628,93.311,93.608,94.155,94.662,95.486,96.306,97.035,97.784,98.73,99.426,100.484,101.359,102.137,103.075,103.885,104.385,105.603,106.355,106.735,107.267,107.963,108.656,109.507,109.671,110.157,110.061,110.167,110.483,110.9,111.313,111.724,112.278,113.001,113.722,114.476,114.743,115.325
"67","58","      Food \3\","BB10RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.469,63.316,63.069,63.226,63.174,63.538,63.934,64.618,65.36,66.02,65.968,66.33,66.412,67.539,69.433,69.595,70.768,72.003,72.529,72.925,74.173,74.549,75.261,75.402,76.49,77.28,76.853,76.958,76.952,77.319,77.599,77.617,77.861,78.365,78.633,79.217,79.554,79.461,79.581,79.708,80.264,81.285,82.077,82.949,83.871,85.166,85.861,85.534,85.533,85.584,85.72,85.773,85.728,85.799,86.085,86.443,86.847,87.029,87.38,87.759,88.26,88.981,89.59,90.192,91.089,91.683,92.755,92.931,93.522,93.509,93.607,93.747,94.266,95.034,95.849,97.572,98.241,99.544,99.152,99.288,99.025,100.084,100.282,100.609,100.997,100.981,101.852,102.668,104.371,105.759,107.128,109.002,111.246,113.941,116.513,115.985,115.561,115.152,114.366,113.837,113.947,113.889,114.449,115.933,118.018,119.228,120.989,121.791,122.044
"68","59","      Energy goods and services","BB11RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.751,69.049,69.581,69.867,70.616,69.532,69.08,65.836,66.804,65.845,67.436,68.369,69.226,69.672,71.809,73.415,71.42,74.247,74.281,72.39,73.762,78.005,77.655,77.022,80.039,80.002,81.439,82.8,81.972,80.78,81.419,84.275,83.643,83.367,84.998,88.2,87.778,85.541,86.436,88.72,86.259,85.334,86.878,86.4,86.65,88.009,86.253,85.1,86.542,88.832,90.105,90.579,88.625,88.818,89.674,88.767,88.062,87.671,86.748,84.262,84.362,88.005,88.978,86.724,92.9,103.054,100.603,95.399,90.936,88.835,89.905,90.271,91.122,93.499,99.44,97.544,98.429,97.832,99.362,98.626,98.087,94.03,106.666,101.216,100.688,103.973,111.503,103.252,109.976,118.583,109.9,94.164,81.646,77.322,77.356,97.098,115.873,100.143,93.297,88.015,87.2,91.145,98.238,103.414,101.576,99.645,106.326,103.064,97.977
"69","60","      Gross domestic product excluding food and energy","BB03RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.851,61.167,61.496,61.898,62.23,62.588,63.014,63.578,64.046,64.43,64.944,65.402,65.951,66.557,67.223,67.762,68.527,69.103,69.584,70.099,70.907,71.665,72.361,73.034,73.724,74.241,74.853,75.273,75.771,76.28,76.615,77.008,77.533,77.97,78.306,78.618,79.085,79.58,80.038,80.429,80.988,81.341,81.622,82.037,82.456,82.667,83.117,83.586,84.013,84.358,84.573,84.907,85.099,85.319,85.627,85.874,86.264,86.657,86.987,87.409,88.093,88.453,88.959,89.463,89.938,90.35,90.658,91.044,91.465,91.946,92.351,92.911,93.567,93.763,94.146,94.627,95.442,96.261,97.011,97.784,98.784,99.518,100.358,101.341,102.136,103.04,103.683,104.312,105.372,105.907,106.352,107.07,107.907,108.552,109.285,109.158,109.247,109.412,109.652,110.143,110.627,110.986,111.218,111.586,112.267,113.008,113.517,113.831,114.579
"70","61","  Final sales of domestic product","B190RG3",22.522,22.824,23.157,23.447,23.773,24.116,24.308,24.615,24.986,25.32,25.575,25.781,26.207,26.357,26.595,26.906,27.264,27.717,28.248,28.741,29.328,29.978,30.904,31.867,32.599,33.079,33.696,34.298,34.689,35.054,35.523,36.135,36.745,37.333,37.864,38.513,39.149,39.906,40.594,41.418,42.18,43.209,44.097,44.968,45.952,46.976,48.054,49.409,50.685,51.59,52.544,53.476,54.24,54.919,55.683,56.278,56.751,57.171,57.762,58.17,58.89,59.417,59.911,60.279,60.982,61.302,61.601,61.98,62.302,62.624,63.025,63.472,63.966,64.322,64.832,65.308,65.848,66.489,67.292,67.829,68.538,69.224,69.692,70.135,70.989,71.823,72.49,73.104,73.88,74.403,74.957,75.382,75.818,76.271,76.61,77.046,77.525,77.942,78.308,78.718,79.151,79.539,79.995,80.416,80.895,81.258,81.607,82.036,82.491,82.799,83.208,83.597,84.026,84.411,84.661,84.988,85.133,85.351,85.677,85.903,86.272,86.643,86.952,87.311,87.982,88.436,88.96,89.415,90.026,90.659,90.948,91.201,91.524,91.93,92.34,92.876,93.537,93.807,94.326,94.824,95.631,96.446,97.154,97.866,98.776,99.441,100.473,101.31,102.058,102.959,103.735,104.207,105.4,106.125,106.466,106.961,107.647,108.309,109.171,109.179,109.637,109.544,109.652,109.979,110.375,110.761,111.14,111.647,112.315,113.021,113.754,114,114.577
"71","62","  Final sales to domestic purchasers","B713RG3",21.986,22.284,22.602,22.888,23.22,23.545,23.767,24.077,24.433,24.761,25.035,25.249,25.648,25.822,26.074,26.378,26.731,27.234,27.735,28.262,29.009,29.835,30.745,31.651,32.341,32.834,33.403,33.989,34.379,34.752,35.252,35.834,36.513,37.138,37.721,38.38,39.005,39.76,40.447,41.217,42.018,43.092,44.186,45.264,46.508,47.65,48.74,50.032,51.329,52.251,53.064,53.997,54.719,55.312,56.048,56.625,56.967,57.365,57.933,58.257,58.976,59.497,59.916,60.248,60.836,61.19,61.519,62.01,62.358,62.494,62.943,63.415,64.037,64.488,65.035,65.523,66.089,66.727,67.365,67.96,68.713,69.461,69.836,70.332,71.288,71.959,72.774,73.705,74.205,74.546,75.027,75.471,75.952,76.427,76.869,77.256,77.68,78.107,78.404,78.781,79.166,79.602,80.163,80.561,81.023,81.454,81.758,82.136,82.581,82.863,83.228,83.702,84.071,84.236,84.438,84.716,84.685,84.814,85.064,85.308,85.65,86.124,86.538,87.007,87.82,88.2,88.766,89.256,89.784,90.194,90.328,90.391,90.693,91.277,91.676,92.246,93.14,93.2,93.731,94.214,95.156,96.005,96.772,97.683,98.563,99.33,100.544,101.563,102.262,103.152,103.883,104.134,105.279,106.108,106.636,107.616,108.727,109.918,111.041,109.791,109.283,109.439,109.909,110.5,111.069,111.188,111.441,112.006,113.084,114.024,114.597,114.921,115.652
"72","63","  Implicit price deflator for gross domestic purchases","A712RD3",22.125,22.413,22.726,23.022,23.364,23.677,23.898,24.214,24.573,24.897,25.172,25.386,25.761,25.941,26.21,26.556,26.873,27.347,27.861,28.456,29.169,30.048,30.925,31.797,32.496,32.998,33.57,34.152,34.525,34.904,35.412,36.028,36.708,37.274,37.783,38.622,39.182,39.906,40.572,41.377,42.156,43.245,44.389,45.491,46.704,47.857,48.946,50.219,51.493,52.471,53.246,54.208,54.895,55.468,56.223,56.811,57.138,57.532,58.094,58.436,59.177,59.678,60.083,60.43,60.988,61.367,61.651,62.166,62.51,62.655,63.061,63.509,64.228,64.688,65.232,65.741,66.305,66.924,67.513,68.084,68.896,69.634,69.997,70.513,71.464,72.129,72.938,73.84,74.35,74.695,75.2,75.655,76.084,76.576,77.033,77.42,77.828,78.267,78.558,78.955,79.323,79.747,80.325,80.717,81.163,81.591,81.929,82.292,82.757,83.046,83.268,83.812,84.293,84.272,84.518,84.783,84.753,84.867,85.118,85.393,85.748,86.155,86.583,87.001,87.836,88.21,88.785,89.289,89.814,90.204,90.334,90.422,90.723,91.31,91.698,92.264,93.147,93.211,93.746,94.211,95.168,96.008,96.764,97.687,98.56,99.324,100.528,101.554,102.259,103.141,103.873,104.116,105.262,106.083,106.624,107.612,108.671,109.91,111.032,109.901,109.346,109.475,109.908,110.46,111.046,111.213,111.451,111.996,113.155,114.108,114.667,114.986,115.713
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
