"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"28","20","  Travel (for all purposes including education)","Y801RG3",14.69,14.932,15.176,15.359,15.604,15.85,15.972,16.217,16.339,16.523,16.645,16.767,16.89,17.012,17.256,17.438,17.621,17.925,18.23,18.536,18.903,19.391,19.878,20.365,20.728,20.97,21.275,21.642,22.193,22.5,22.868,23.236,23.603,24.091,24.458,24.885,25.494,26.042,26.711,27.257,27.742,28.471,29.202,30.238,31.276,32.071,32.866,33.662,34.582,35.425,36.434,37.048,37.736,38.467,39.22,39.633,39.981,40.486,41.035,41.697,42.305,42.953,43.426,43.755,44.222,44.901,45.523,46.115,45.967,46.378,46.902,47.547,48.297,48.842,49.361,49.497,50.418,50.916,51.084,51.293,51.856,52.469,52.959,53.394,54.161,54.767,56.186,57.184,58.762,58.821,59.236,59.598,60.26,60.428,60.815,60.991,61.168,61.432,61.455,61.824,61.907,62.11,62.027,62.164,62.312,63.08,63.276,63.52,64.113,64.537,64.955,65.197,65.616,66.141,66.433,66.957,66.757,66.994,67.309,67.825,67.902,68.817,69.524,70.132,71.294,71.993,72.647,73.251,73.373,73.593,73.066,72.288,72.486,73.115,73.28,73.951,74.697,74.47,75.61,76.332,77.083,77.971,78.717,79.881,88.419,89.02,90.828,92.117,93.043,94.467,95.455,94.355,95.651,97.395,98.576,100.178,101.539,103.213,105.184,100.592,99.13,98.665,100.288,101.918,102.472,102.588,103.033,104.344,106.46,108.289,109.297,109.409,110.604,111.183,111.322,112.133,112.594,112.226,113.053,113.038,114.012,115.282,115.496,115.144,113.635,114.111,114.308
"29","21","  Charges for the use of intellectual property n.e.c.","B684RG3",18.146,18.363,18.615,18.831,19.095,19.393,19.553,19.777,20.147,20.466,20.72,20.944,21.145,21.317,21.519,21.815,22.176,22.594,22.996,23.442,24.036,24.665,25.458,26.08,26.633,27.054,27.561,28.06,28.463,28.806,29.258,29.805,30.397,30.982,31.496,32.098,32.602,33.394,34.032,34.744,35.475,36.329,37.308,38.216,39.289,40.176,41.118,42.221,43.348,44.183,44.919,45.855,46.454,46.833,47.406,47.946,48.359,48.976,49.554,49.907,50.584,51.14,51.555,51.982,52.46,52.935,53.326,53.905,54.236,54.415,54.916,55.336,55.92,56.416,56.93,57.447,57.893,58.548,59.202,59.838,60.564,61.317,61.785,62.344,63.206,63.869,64.667,65.605,66.154,66.521,66.991,67.478,68.032,68.538,68.927,69.355,69.891,70.29,70.537,70.922,71.335,71.726,72.262,72.633,73.155,73.594,73.936,74.307,74.807,75.116,75.562,76.008,76.438,76.611,76.8,77.049,77.087,77.215,77.426,77.653,77.932,78.34,78.702,79.132,79.864,80.302,80.739,81.169,81.689,82.162,82.372,82.477,82.71,83.241,83.604,84.124,84.939,84.993,85.477,85.916,86.774,87.547,88.246,89.076,89.878,90.58,91.688,92.619,93.258,94.072,94.738,94.967,96.01,96.766,97.247,98.143,99.159,100.247,101.272,100.13,99.546,99.608,100.062,100.66,101.102,101.264,101.604,102.208,103.066,103.966,104.558,104.789,105.405,105.687,106.013,106.468,106.792,106.997,107.444,107.842,108.219,108.749,109.137,109.082,108.631,109.04,109.387
"30","22","  Other business services \3\","Y802RG3",35.254,35.721,36.229,36.653,37.191,37.75,38.046,38.495,39.2,39.832,40.341,40.799,41.189,41.432,41.747,42.163,42.637,43.229,43.777,44.366,45.164,46.102,47.307,48.258,49.115,49.697,50.445,51.203,51.826,52.517,53.181,53.981,54.836,55.762,56.411,57.35,57.991,59.151,60.058,60.176,60.675,61.772,63.057,65.384,66.96,68.502,70.16,71.653,73.066,74.197,74.477,75.893,76.976,77.981,79.485,80.507,81.313,82.324,83.214,83.805,84.729,85.415,85.803,86.635,87.566,88.439,89.103,89.892,89.724,90.445,91.722,92.693,93.839,94.673,95.102,95.16,94.901,94.887,95.063,95.406,95.349,95.768,96.103,96.89,98.063,98.928,100.074,101.438,102.334,102.92,103.55,104.105,104.577,104.973,105.441,106.093,106.666,106.613,106.499,106.789,106.933,107.169,107.64,107.946,108.382,108.875,109.852,109.749,110.524,110.828,111.061,111.565,111.927,112.046,111.728,111.919,111.565,111.384,111.109,110.763,110.264,109.885,106.449,103.093,104.473,103.836,105.469,102.393,102.213,99.739,99.128,97.682,96.988,98.779,96.988,94.838,95.041,95.244,96.126,94.209,94.168,94.723,95.511,95.095,96.155,95.964,95.914,96.014,97.654,97.61,99.109,97.896,98.484,97.882,99.404,99.767,101.014,101.11,102.598,100.857,99.457,98.499,100.503,101.54,101.035,101.359,100.51,101.237,102.735,103.876,103.942,102.956,103.879,104.709,104.659,105.687,106.382,107.127,107.817,108.848,109.416,109.31,110.229,110.257,110.092,110.988,110.689
"31","23","  Government goods and services n.e.c.","Y803RG3",16.199,16.454,16.674,16.799,15.507,15.714,16.22,16.372,16.743,17.1,17.624,17.798,21.918,22.255,22.523,22.657,22.751,23.11,23.996,24.179,24.797,25.102,25.824,25.904,26.655,27.51,27.464,27.878,28.604,28.926,29.793,30.475,30.609,31.033,31.089,31.518,32.248,32.848,33.654,33.905,34.764,35.564,36.474,37.905,38.052,39.286,40.52,41.489,42.43,42.818,43.15,43.814,44.796,45.118,45.828,46.126,45.979,46.131,46.716,46.448,47.366,47.879,48.208,48.656,48.983,48.943,49.243,49.862,49.971,50.167,50.584,50.837,51.092,51.132,51.46,51.577,51.96,52.148,52.108,52.757,53.254,53.71,54.484,54.998,55.636,56.155,56.843,57.559,57.874,58.31,58.856,59.598,59.754,59.949,60.646,61.059,61.343,61.645,62.157,62.405,61.626,61.87,62.394,63.012,63.623,63.893,64.137,64.612,64.854,65.213,65.751,66.129,66.402,66.437,66.524,66.86,67.233,67.455,68.002,68.16,68.58,68.081,68.668,68.786,68.022,67.485,67.574,67.857,69.206,68.478,69.375,69.479,69.39,70.647,72.771,73.106,75.757,78.036,78.315,79.49,81.152,81.376,82.943,85.043,87.029,87.105,88.663,89.245,90.461,92.273,93.28,93.561,94.49,95.511,96.466,97.268,98.279,99.587,100.018,97.588,98.434,99.543,100.595,101.427,100.901,100.117,100.251,101.511,102.414,103.721,103.95,103.363,103.789,103.826,104.347,104.172,104.854,105.317,105.414,106.261,106.847,107.325,106.934,106.031,104.25,104.031,104.282
"32","24","  Other","B980RG3",50.023,51.097,52.008,52.6,52.881,53.291,53.409,53.636,53.966,54.439,54.798,55.285,56.301,56.476,56.473,56.473,55.561,56.495,57.976,60.067,63.601,65.959,68.082,69.55,70.449,70.776,70.748,70.389,69.133,68.656,68.632,69.066,70.214,71.383,72.75,74.42,76.231,78.423,80.556,82.761,84.768,87.128,89.732,92.457,95.881,98.9,101.729,104.269,106.049,107.847,109.593,111.662,115.191,116.686,117.546,117.332,114.855,114.414,114.045,113.59,114.436,115.378,117.338,120.333,123.191,118.629,121.083,121.65,125.351,121.985,116.853,115.375,109.134,107.738,107.261,107.631,108.792,109.538,109.703,109.24,108.237,107.26,106.169,105.2,104.466,102.45,99.588,96.131,92.031,89.733,88.953,89.633,91.95,94.112,96.008,97.661,99.037,100.457,101.928,103.601,105.438,106.493,106.732,106.013,104.438,103.533,102.605,102.052,102.436,102.796,103.255,104.119,104.899,105.109,105.004,104.896,103.355,102.25,100.698,99.021,96.776,96.778,97.283,98.358,101.017,102.913,104.319,104.462,102.937,102.043,101.81,101.089,100.902,101.83,102.588,103.345,104.471,104.46,105.583,106.17,108.445,109.37,110.297,111.708,113.687,114.708,116.203,117.803,119.525,121.038,122.197,122.546,122.996,123.657,124.811,126.702,128.923,128.606,125.787,118.403,103.23,99.185,98.023,99.561,103.657,106.904,108.106,108.201,107.211,106.382,108.669,109.501,113.057,114.286,115.12,117.121,118.152,119.848,121.758,124.594,124.034,126.154,128.206,130.255,130.552,132.104,134.068
"33","25","    Imports of goods and services","B021RG3",20.685,20.775,20.926,21.465,21.692,21.94,22.477,22.703,23.274,23.355,23.641,23.993,24.4,25.032,25.435,25.999,26.763,28.871,30.246,32.52,37.678,41.997,44.152,45.564,46.282,46.403,45.37,45.439,46.182,46.888,47.73,48.218,49.91,51.292,51.97,52.501,53.38,54.674,55.584,56.559,58.767,61.822,66.433,70.831,76.738,79.52,81.749,83.171,85.303,85.815,83.576,83.752,83.504,82.038,81.06,80.438,78.746,78.746,78.895,78.393,78.627,79.063,77.66,76.711,74.876,75.2,75.134,76.6,76.743,74.367,74.883,75.813,77.769,79.808,80.624,81.88,83.04,84.516,83.58,84.258,85.606,86.547,85.066,85.508,86.83,85.299,87.775,92.649,89.814,87.34,86.03,86.431,86.841,87.183,88.293,87.58,87.05,87.352,86.579,86.235,86.193,87.007,88.47,88.807,89.541,90.829,90.26,89.448,89.256,88.793,87.895,87.858,87.188,85.373,84.808,84.134,82.053,81.055,80.016,79.991,79.789,80.771,81.734,82.827,84.351,84.462,85.089,85.372,85.157,83.373,82.15,80.185,79.983,81.848,82.329,82.686,85.104,83.813,84.326,84.804,86.468,87.611,88.867,90.936,91.49,92.503,94.712,96.503,96.688,97.719,98.727,97.517,97.874,99.503,101.294,105.424,108.915,114.564,117.702,105.17,96.382,97.906,101.327,104.385,105.925,105.391,104.739,107.144,111.485,114.902,114.826,114.553,115.76,115.045,113.367,114.512,114.699,113.58,113.361,113.554,114.474,114.092,113.847,111.852,106.685,105.535,104.615
"34","26","Imports of goods \1\","B255RG3",21.004,21.085,21.206,21.921,22.174,22.397,23.086,23.351,23.766,23.705,23.962,24.238,24.845,25.604,26.003,26.55,27.36,29.573,30.921,33.551,39.757,45.04,47.65,49.225,50.049,49.999,48.48,48.362,49.302,50.2,51.097,51.556,53.544,55.122,55.789,56.221,57.194,58.57,59.311,60.318,62.867,66.337,71.658,76.71,83.458,86.765,89.165,90.864,93.537,94.095,91.083,91.035,90.626,88.959,87.996,87.235,85.056,85.076,85.247,84.605,84.83,85.405,84.137,83.272,81.088,81.062,80.421,81.787,81.23,77.966,78.393,79.504,82.321,84.773,85.572,87.039,88.047,89.76,88.647,89.434,91.405,92.678,90.73,91.033,92.249,89.937,92.493,97.886,94.16,91.52,89.734,90.107,90.418,90.68,91.515,90.91,90.276,90.457,89.625,89.103,89.019,89.992,91.402,91.667,92.788,93.815,93.047,92.083,91.744,91.071,89.845,89.649,88.935,86.717,86.207,85.484,83.347,81.979,80.671,80.364,80.078,81.047,82.115,83.509,85.365,85.626,86.261,86.7,86.277,84.391,82.867,80.654,80.41,82.208,82.604,83.117,85.708,83.732,84.137,84.634,86.479,87.993,89.067,91.259,91.904,93.195,95.561,97.663,97.697,98.747,99.831,98.387,98.819,100.536,102.355,107.042,111.09,117.306,120.821,106.193,95.724,97.664,101.589,105.024,106.953,106.313,105.51,108.171,113.286,117.207,117.183,117.037,118.351,117.417,115.312,116.591,116.779,115.408,115.118,115.086,116.131,115.637,115.343,112.988,106.95,105.559,104.553
"35","27","  Foods, feeds, and beverages","B647RG3",21.461,21.596,21.662,22.644,23.359,24.008,24.331,24.327,24.193,23.995,23.993,24.123,24.384,25.439,26.24,27.11,28.188,30.627,32.576,35.015,35.247,37.771,41.01,44.31,44.431,43.137,38.271,37.49,39.909,42.217,44.333,45.387,50.177,55.836,52.843,51.329,53.457,53.211,52.487,52.741,55.674,56.451,59.396,63.662,67.036,68.684,71.059,71.462,71.332,69.102,65.546,61.328,62.702,61.711,60.648,61.904,60.325,61.076,61.777,61.915,62.458,63.929,63.753,61.345,60.438,59.499,57.942,62.835,66.685,63.858,66.464,65.343,63.052,64.567,65.35,67.537,68.25,68.15,67.706,68.475,69.12,68.07,65.024,63.988,68.145,67.061,67.917,68.802,70.373,71.137,70.529,70.57,72.942,69.85,69.361,69.884,68.623,69.47,71.107,72.175,72.167,74.299,78.772,80.397,80.969,79.78,80.167,78.734,77.152,79.735,77.757,78.239,78.625,79.858,78.975,78.228,77.073,77.022,75.632,75.944,74.526,74.304,73.182,73.593,73.669,73.703,73.125,72.152,72.466,71.141,70.362,70.496,70.1,71.4,72.594,73.693,74.636,74.71,75.333,75.487,76.441,78.554,79.227,81.222,82.006,83.413,83.64,85.158,84.889,85.06,87.621,89.133,89.585,91.383,94.641,97.895,98.251,103.383,106.992,103.155,98.478,98.856,99.866,102.801,104.302,107.207,109.561,115.467,122.177,127.934,126.429,124.926,125.408,125.101,123.076,122.129,122.688,124.247,125.322,125.722,127.961,128.733,129.816,131.088,128.658,126.66,126.199
"36","28","  Industrial supplies and materials","IA0000043",9.441,9.443,9.413,9.635,9.707,9.756,9.909,9.915,9.982,10.041,10.21,10.33,10.471,10.767,10.917,11.078,11.553,12.366,13.252,15.315,22.261,26.802,27.833,28.263,28.174,27.514,26.67,26.372,27.252,27.808,28.147,28.685,29.818,30.411,30.483,30.763,30.948,31.179,31.488,31.889,33.612,37.412,43.898,48.66,55.484,59.13,60.131,61.452,64.514,65.876,62.93,61.8,61.549,59.401,59.381,58.56,54.874,54.883,55.655,54.487,54.856,55.368,54.365,53.793,52.042,52.156,50.78,50.627,46.246,38.489,36.892,38.222,41.842,44.502,46.095,45.894,45.017,46.45,45.606,44.97,48.592,51.929,49.533,50.115,51.95,47.614,52.351,62.031,53.1,49.152,47.156,47,46.559,48.428,49.106,47.614,47.89,47.56,45.129,43.624,43.623,45.133,47.318,47.228,49.789,51.066,50.124,49.931,51.453,52.678,52.666,54.941,55.345,51.023,50.751,50.413,46.853,44.794,42.975,42.208,41.747,45.796,49.787,53.715,59.342,59.955,62.225,64.446,63.205,59.098,55.704,50.194,50.173,55.734,56.738,58.608,66.196,60.235,61.309,62.907,67.953,71.92,75.161,81.013,81.906,85.469,93.25,99.843,100.024,103.442,105.703,100.314,101.343,107.003,111.706,126.312,139.075,156.482,166.658,118.139,85.905,92.499,105.188,116.409,123.678,121.012,118.021,126.648,143.343,154.708,153.581,152.776,157,152.899,145.043,150.029,150.95,145.946,145.925,145.68,148.947,146.12,144.828,134.87,110.208,105.817,102.25
"37","29","    Durable goods","B820RG3",17.517,17.518,17.501,18.009,18.089,18.212,18.487,18.39,18.444,18.456,18.707,19.005,19.359,19.947,20.345,20.615,21.553,23.315,24.643,26.685,29.88,34.147,36.84,38.527,38.592,37.253,35.252,33.345,34.257,35.473,36.14,36.927,38.216,38.921,39.151,39.64,40.531,41.403,42.387,43.401,46.048,48.46,50.608,54.951,59.031,60.322,60.972,61.282,61.694,61.731,60.888,60.421,60.929,59.647,57.92,56.935,56.219,55.988,56.078,54.592,55.472,55.963,54.926,54.126,52.157,52.588,52.333,52.046,52.908,53.457,54.469,54.193,55.231,57.129,59.398,61.103,63.972,69.378,70.005,72.913,74.437,74.3,72.448,70.778,69.086,70.02,70.591,69.894,69.15,68.457,67.262,66.585,67.38,68.186,68.534,67.688,68.543,68.336,67.242,67.902,68.785,69.455,70.516,72.921,74.923,75.449,76.779,76.306,74.75,75.027,74.737,74.626,75.657,76.456,76.74,75.678,74.222,73.392,71.995,70.591,71.192,72.079,73.71,73.785,76.568,77.418,77.007,75.955,76.257,75.672,73.774,70.94,70.592,71.572,71.805,71.881,71.78,71.387,73.832,76.106,80.052,86.247,88.449,89.813,91.499,90.754,89.668,91.897,93.806,98.344,102.13,104.077,103.324,106.348,108.288,110.674,111.76,122.297,126.021,112.743,97.072,94.294,100.548,108.086,111.392,114.888,112.314,117.731,124.714,127.569,128.336,123.613,121.846,120.932,118.327,119.706,120.491,117.801,115.611,116.451,116.556,116.795,118.538,116.148,112.164,107.972,104.394
"38","30","    Nondurable goods","IA0000073",6.987,6.988,6.95,7.076,7.151,7.176,7.292,7.338,7.415,7.496,7.643,7.703,7.773,7.977,8.044,8.177,8.511,9.035,9.801,11.893,20.112,24.821,25.365,25.419,25.302,24.85,24.314,24.409,25.277,25.665,25.92,26.393,27.474,28.035,28.069,28.297,28.294,28.356,28.488,28.732,30.217,34.37,41.974,46.822,54.308,58.522,59.613,61.209,64.982,66.74,63.19,61.883,61.429,59.054,59.497,58.721,54.196,54.276,55.254,54.197,54.395,54.922,53.941,53.457,51.795,51.785,49.998,49.891,43.662,32.975,30.602,32.432,36.875,39.759,41.121,40.353,38.326,38.559,37.353,35.803,39.882,44.009,41.575,42.699,45.266,39.884,45.415,57.491,46.736,42.158,40.058,40.027,39.3,41.361,42.09,40.511,40.634,40.288,37.627,35.607,35.359,37.036,39.454,38.65,41.311,42.777,41.226,41.12,43.455,44.921,44.993,47.896,48.107,42.432,42.004,41.878,37.757,35.35,33.427,32.883,32.125,37.069,41.698,46.76,53.239,53.761,56.824,59.991,58.283,53.208,49.408,43.19,43.241,50.127,51.33,53.702,63.51,55.965,56.611,57.964,63.252,66.444,69.967,77.276,77.838,82.83,93.566,101.617,101.261,104.296,106.039,98.026,99.758,106.34,111.964,130.488,146.91,166.455,178.833,119.522,82.889,92.01,106.418,118.683,127.063,122.663,119.55,129.081,148.598,162.518,160.808,161.268,167.516,162.375,152.794,158.973,159.898,154.102,154.916,154.311,158.834,154.837,152.27,139.201,105.835,101.494,98.047
"39","31","      Petroleum and products","B648RG3",4.174,4.174,4.113,4.112,4.174,4.174,4.236,4.36,4.453,4.576,4.7,4.7,4.7,4.824,4.824,4.917,5.102,5.38,5.968,7.823,16.636,21.15,21.212,20.996,20.934,20.748,20.562,21.027,21.799,21.954,22.078,22.48,23.469,23.995,23.995,24.18,23.992,23.872,23.84,23.935,25.139,29.406,37.788,42.548,50.495,55.193,56.303,58.071,62.428,64.465,60.205,58.687,57.978,55.347,56.617,55.996,50.096,50.341,51.636,50.868,50.87,51.425,50.466,49.968,48.359,48.823,46.565,47.434,38.992,23.871,20.686,23.037,28.356,31.413,32.621,30.89,27.364,27.274,25.57,23.223,27.81,32.992,30.187,31.814,35.063,28.637,35.941,51.91,36.372,30.786,28.555,28.519,27.45,30.42,31.286,28.902,29.637,29.193,25.78,23.2,22.698,24.724,27.32,25.413,28.318,29.511,27.097,26.8,30.117,32.916,33.376,37.042,37.091,30.593,29.765,29.266,24.458,21.448,19.368,18.851,18.33,25.124,30.897,37.119,45.874,44.726,46.9,49.277,44.955,41.129,38.909,32.157,32.83,40.892,42.05,44.852,54.809,45.176,46.031,48.477,54.541,58.196,61.927,71.059,71.746,77.286,89.343,95.523,99.658,106.061,107.207,96.516,98.49,106.848,115.257,139.322,159.121,182.048,197.015,119.03,75.707,90.855,111.45,125.986,134.987,129.191,124.611,137.614,162.763,181.064,177.387,179.596,190.835,182.193,167.956,176.261,176.83,167.57,172.736,171.285,171.827,168.96,165.886,146.479,98.555,93.643,88.918
"40","32","      Nondurable goods, excluding petroleum and products","B696RG3",20.77,20.77,20.772,21.375,21.557,21.676,22.035,21.85,21.904,21.902,22.207,22.519,22.896,23.5,23.849,24.18,25.215,26.94,28.517,31.16,34.403,39.374,42.658,44.475,44.458,42.876,40.569,38.554,39.718,41.222,42.154,42.999,44.477,45.175,45.458,45.87,46.891,47.92,48.956,50.12,53.115,55.957,58.377,63.306,67.604,69.143,70.025,70.404,70.668,70.753,69.853,69.295,69.806,68.403,66.353,65.201,64.552,64.311,64.439,62.75,63.656,64.145,62.955,62.194,59.959,59.066,58.946,57.752,57.754,57.345,57.277,56.937,58.068,59.674,60.842,62.807,65.297,66.694,67.142,68.08,69.948,70.381,69.643,69.509,70.018,69.324,69.134,70.338,71.921,70.218,68.432,68.216,68.461,67.87,68.22,69.146,67.627,67.638,67.198,66.876,67.227,67.691,69.357,71.671,73.738,75.98,76.601,76.989,76.59,74.43,73.536,74.45,75.272,71.882,72.466,73.233,70.833,69.981,68.597,68.23,67.211,66.999,68.702,70.903,71.494,75.796,80.783,85.769,90.957,82.818,75.02,70.29,68.635,72.372,73.724,75.12,84.625,82.888,82.948,81.258,84.044,85.792,88.662,91.228,91.598,95.261,102.626,115.074,103.797,98.669,101.805,100.373,101.469,103.857,103.243,109.123,117.717,129.786,137.02,122.973,104.671,97.373,95.682,102.274,108.414,106.752,106.813,108.189,114.928,118.977,121.592,118.286,113.783,116.074,116.213,117.879,119.388,120.518,113.081,114.087,125.643,119.909,118.397,117.108,111.622,108.578,107.66
"41","33","  Capital goods, except automotive","B650RG3",108.211,107.985,107.745,107.698,109.479,112.743,129.398,130.293,139.256,131.424,132.666,126.732,132.922,136.93,146.703,149.806,153.334,165.35,160.046,162.266,164.308,175.866,184.834,189.806,179.715,202.674,198.665,197.528,193.172,196.591,197.47,189.632,198.795,200.582,219.653,209.652,207.145,227.222,229.827,221.316,229.336,232.515,226.328,234.824,243.228,252.055,253.194,256.976,258.639,252.035,245.097,247.593,244.885,242.394,235.978,231.259,230.523,226.682,221.381,219.097,216.471,210.943,204.271,197.457,188.08,185.797,186.024,186.954,189.543,192.189,195.45,195.648,198.508,200.807,197.487,203.584,208.522,211.298,205.933,207.95,207.012,204.868,201.061,196.841,194.736,193.398,193.789,194.887,194.952,189.723,184.071,183.201,182.965,179.811,180.585,179.134,176.642,175.966,176.123,174.81,173.728,173.664,173.232,172.396,171.437,172.023,168.846,163.706,158.136,150.694,144.415,138.25,134.132,131.853,130.038,127.231,123.992,121.598,119.625,118.916,118.317,116.08,114.37,114.083,113.756,113.451,113.014,112.136,111.583,110.357,109.153,107.977,106.828,106.463,106.148,105.295,105.051,104.962,104.904,104.237,104.065,103.511,103.15,102.98,103.116,103.31,102.522,101.941,101.809,101.705,101.895,102.006,101.732,101.301,101.438,101.18,101.121,102.323,102.514,101.673,100.491,99.841,99.894,99.774,99.361,99.143,99.105,99.378,99.524,99.629,99.5,99.21,99.968,99.786,99.71,99.553,99.314,98.786,98.55,98.585,98.498,98.6,98.723,98.472,98.067,97.393,96.823
"42","34","    Civilian aircraft, engines, and parts","B932RG3",13.971,14.116,14.287,14.537,14.675,14.949,15.135,15.343,15.49,15.66,15.703,15.806,15.847,15.824,15.957,16.224,16.349,16.465,16.724,17.007,17.644,18.357,18.874,19.181,19.311,19.404,19.746,20.252,21.046,21.818,22.486,23.158,23.639,24.073,24.554,24.986,25.365,25.742,26.38,27.094,27.881,28.696,29.573,30.491,31.345,32.31,33.2,34.019,34.61,35.309,36.081,37.037,38.15,38.839,39.397,40.091,40.628,41.011,41.328,41.662,41.909,42.102,42.296,42.586,42.921,43.142,43.34,43.601,43.509,43.869,44.04,44.44,42.424,42.898,43.128,43.312,43.571,44.371,44.68,45.11,45.738,46.381,46.785,47.043,47.564,48.744,49.271,49.711,52.357,54.451,55.075,55.122,55.031,55.323,55.856,56.107,56.601,57.192,57.385,57.701,58.542,58.861,59.037,59.287,59.86,60.278,60.469,60.922,61.969,62.836,63.543,63.776,64.904,65.136,65.647,65.934,66.281,66.429,66.347,67.02,67.525,67.565,67.667,68.08,68.7,69.753,70.636,71.349,71.901,72.744,73.31,73.613,73.828,74.005,74.781,75.036,75.267,75.75,76.702,77.241,77.292,78.195,79.304,80.24,80.869,81.3,82.086,82.748,83.746,84.538,85.205,86.343,87.332,87.703,90.362,91.816,91.754,94.156,95.355,97.278,98.31,99.391,100.6,101.699,102.053,101.992,102.978,103.606,104.349,106.223,106.767,109.24,112.798,113.608,114.815,115.21,115.287,115.484,116.738,117.138,116.892,116.907,118.828,118.957,118.745,118.774,119.894
"43","35","    Computers, peripherals, and parts","B852RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7578.083,7639.194,7223.199,7171.037,7145.125,6911.769,6503.968,6159.945,5711.384,5362.973,5055.039,4895.662,4909.744,4865.201,4800.538,4644.928,4461.202,4228.511,4065.949,3938.418,3829.552,3680.375,3537.731,3387.284,3237.684,3104.606,3006.089,2854.671,2798.774,2718.744,2606.129,2452.226,2305.233,2159.249,2039.444,1956.58,1964.484,1954.899,1950.535,1922.491,1889.265,1809.326,1765.664,1731.797,1617.489,1530.55,1452.774,1393.083,1319.794,1246.597,1196.524,1160.786,1150.163,1128.638,1082.951,1018.152,955.439,932.017,916.895,898.304,841.839,791.172,743.169,741.122,750.731,746.52,729.014,718.008,700.227,688.923,675.802,661.343,653.638,650.618,648.861,636.444,609.728,585.83,555.695,536.311,524.613,509.328,494.832,483.625,476.252,458.801,446.085,430.927,425.306,419.414,408.099,399.018,391.793,382.914,376.098,362.828,347.557,327.818,316.055,308.001,297.331,286.778,276.375,262.483,248.126,234.925,228.482,219.409,214.131,204.184,197.158,196.078,195.36,191.512,190.619,186.572,183.31,176.596,169.772,163.296,162.024,161.464,159.189,155.546,152.652,150.316,147.994,145.021,143.756,141.055,137.567,134.783,132.226,130.489,126.785,123.796,121.563,119.232,117.715,116.879,113.991,112.011,112.041,111.136,108.218,107.384,105.052,103.125,100.941,99.951,99.995,99.113,98.539,98.471,98.055,97.261,95.161,93.791,92.488,91.489,91.968,91.506,91.766,91.31,91.11,91.248,91.107,90.838,90.466,90.66,90.402,90.275,89.672,88.507,87.504
"44","36","    Other","B853RG3",64.194,64.141,64.038,63.874,65.144,67.46,78.538,79.308,85.615,80.389,81.491,77.556,81.988,84.741,91.855,93.951,96.452,105.179,101.557,103.286,104.81,113.121,119.654,123.237,115.928,132.515,129.519,128.702,125.585,128.134,128.852,123.376,129.951,131.391,145.306,138.231,136.629,151.626,153.638,147.615,153.473,155.832,151.331,157.902,164.498,171.455,172.405,175.4,176.33,170.636,164.762,166.392,163.836,162.041,157.042,153.199,153.556,151.422,148.143,147.128,146.18,142.885,138.181,133.012,125.134,123.488,124.496,126.609,130.486,133.419,136.816,137.454,142.722,146.777,145.556,151.7,156.124,158.893,154.258,156.744,156.555,154.759,151.423,147.769,145.821,144.183,144.519,146.298,147.163,142.498,138.398,138.984,139.709,137.395,139.495,138.861,136.593,137.533,139.104,139.256,138.454,139.021,139.874,140.001,139.693,141.425,138.575,134.267,129.657,123.455,117.463,111.148,107.561,106.369,105.697,104.407,102.704,101.939,100.569,101.212,101.379,100.468,99.638,99.399,99.003,99.198,98.664,98.204,98.012,97.574,97.289,97.071,95.74,95.364,95.372,95.039,95.363,95.734,96.084,95.828,95.904,95.724,96,96.39,97.19,97.866,97.68,97.628,97.958,98.386,99.015,99.284,99.648,99.589,99.434,99.147,99.938,101.616,102.48,101.675,100.574,99.845,99.765,99.816,99.367,99.065,99.085,99.743,100.66,101.15,101.406,101.113,101.697,101.513,101.197,101.088,100.806,99.98,99.558,99.66,99.683,99.766,99.813,99.481,99.115,98.51,97.894
