"","Table 5#10# Changes in Net Stock of Produced Assets (Fixed Asset","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","3","    Private","K100031",1804.6,1962.8,2120.8,2352.6,2593.8,2946.9,3468.5,3786.2,4169.1,4736.1,5413,6264.8,7118.2,7860.8,8297.6,8599.9,9112.8,9619.4,10231,10845.3,11537.7,12204.1,12774,13058.1,13608.9,14321.5,15200.4,15946.6,16760,17694.1,18762.5,20011.5,21399,22681,23826.2,25213.9,27743,30610.7,32920.3,34067.9,34835.4,33861.3,34345.9,35178.1,36284,38208.7
"12","4","      Nonresidential","K100041",957.8,1055.7,1161.6,1275.1,1385.7,1560.6,1894.1,2083.7,2280.5,2533.1,2870.6,3314.4,3800.8,4300.8,4589.8,4745.3,5041.6,5333,5604.3,5921.2,6313.1,6701.2,7072,7242.1,7487.4,7838.2,8271,8719.1,9145,9665.5,10214.3,10834.3,11589.3,12164.5,12604.3,13053.6,14159.9,15462.4,16731.4,17668.5,18750.2,18152.8,18563,19287.1,19920.5,20715.8
"13","5","      Residential","K100051",846.8,907,959.3,1077.5,1208.1,1386.3,1574.4,1702.5,1888.6,2203,2542.3,2950.3,3317.4,3560,3707.8,3854.6,4071.2,4286.3,4626.7,4924,5224.6,5502.9,5702,5816,6121.5,6483.3,6929.4,7227.6,7615,8028.6,8548.2,9177.2,9809.7,10516.5,11221.9,12160.3,13583.1,15148.3,16188.9,16399.4,16085.2,15708.5,15782.9,15891.1,16363.6,17492.9
"14","6","    Government","K100061",706.2,779.7,868.3,941.1,1025.7,1155.7,1408.1,1482.3,1569.5,1672.9,1829.1,2079.7,2377.6,2617,2768.6,2849.6,2969.8,3105.5,3294.6,3477.8,3666.1,3865.4,4056.8,4195.9,4371.7,4563.4,4811.8,5034.9,5218.3,5426.7,5649.9,5964.1,6297.7,6564.7,6857.9,7154.8,7939.9,8685.5,9587.8,10334.4,11022.5,11085.1,11515,12135.4,12521.9,12925.2
"15","7"," Private inventories \1\","K100071",208.1,227.4,235.7,253.7,283.6,351.5,405.6,408.5,439.6,482,570.9,667.6,739,779.1,773.9,796.9,869,872.6,854.9,922.4,1000.9,1045,1082.3,1058.5,1082.6,1116,1194.5,1257.2,1284.7,1327.9,1342.3,1433.4,1524.8,1447.7,1495.2,1556.6,1697.9,1842.3,1953.4,2119,2050.1,1927.2,2129.5,2300.9,2389.4,2440
"16",NA,"Accumulation of produced assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","8","Gross fixed investment","W172RC1",223.9,227.8,247.1,279.7,316.7,336.7,347.9,395.7,467.4,558.2,641.8,672.4,748.8,752.9,814.4,947.9,1027.7,1080.7,1119.7,1176.9,1242.4,1269.3,1238.8,1292.8,1377.9,1486.9,1594,1721.2,1854.2,2013,2191.8,2369.5,2380.6,2350.1,2473.9,2701.3,2981.2,3166,3201.5,3091.4,2672.7,2691.1,2836,3064.3,3185.5,3378.7
"18","9","  Private \2\","A007RC1",164.4,168,188.6,219,251.1,260.5,263.5,306.1,374.3,452.6,521.7,536.4,601.4,595.9,643.3,754.7,807.8,842.6,865,918.5,972,978.9,944.7,996.7,1086,1192.7,1286.3,1401.3,1524.7,1671.6,1823.4,1979.2,1966.9,1906.5,2008.7,2212.8,2467.5,2613.7,2609.3,2456.8,2025.7,2039.3,2198.1,2449.9,2593.2,2782.9
"19","10","    Nonresidential","A008RC1",120,124.6,130.4,146.6,172.7,191.1,196.8,219.3,259.1,314.6,373.8,406.9,472.9,485.1,482.2,564.3,607.7,607.8,615.2,662.3,716,739.2,723.6,741.9,799.2,868.9,962.2,1043.2,1149.1,1252.8,1361.6,1493.8,1453.9,1348.9,1371.7,1463.1,1611.5,1776.3,1920.6,1941,1633.4,1658.2,1812.1,2007.7,2084.3,2233.7
"20","11","      Structures","B009RC1",37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.9,281.8,301.8,345.6,415.6,496.9,552.4,438.2,362,381.6,448,462.1,507
"21","12","      Equipment","Y033RC1",65.2,66.4,69.1,78.9,95.1,104.3,107.6,121.2,148.7,180.6,208.1,216.4,240.9,234.9,246.5,291.9,307.9,317.7,320.9,346.8,372.2,371.9,360.8,381.7,425.1,476.4,528.1,565.3,610.9,660,713.6,766.1,711.5,659.6,669,719.2,790.7,856.1,885.8,825.1,644.3,731.8,838.2,937.9,972.3,1036.7
"22","13","      Intellectual property products","Y001RC1",17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.1,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288,317.7,364,409.5,412.6,406.4,420.9,442.1,475.1,504.6,537.9,563.4,550.9,564.3,592.2,621.7,649.9,690
"23","14","    Residential","A011RC1",44.4,43.4,58.2,72.4,78.3,69.5,66.7,86.8,115.2,138,147.8,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513,557.6,636.9,749.7,856.1,837.4,688.7,515.9,392.2,381.1,386,442.2,508.9,549.2
"24","15","  Government \3\","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,637.9,614.4,592.3,595.8
"25","16","    Structures","A760RC1",29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,121.1,124.7,134.7,144.4,155.6,160.2,175.8,189.7,205.8,221.9,228.6,235.7,246.8,268.5,292.5,310.3,318.9,313.2,301.1,282.4,268.9,274.3
"26","17","    Equipment","Y054RC1",12.9,13,9.2,9.8,10.9,14.4,16.6,19.2,21,23.1,27.3,31.1,36,42.3,50.2,58.4,67.8,73.9,77.4,74.3,80.7,86.6,85.7,84.8,79.4,77.5,78.9,80.1,75.6,78.9,86.1,87.4,88.2,95.6,100.2,107.2,113,123.3,130.7,147.1,148.3,151.2,145.1,142.8,135.3,134.3
"27","18","    Intellectual property products","Y055RC1",17.7,17.6,18.1,19.3,20.3,21.5,23.3,25.5,27.9,31,35,39.6,45,49.7,55.2,62.2,71,75.2,81.7,85.1,87.8,91.1,91.4,91.6,91.4,92,94,95.5,98.3,102.3,106.5,113.2,119.7,126,136.5,145.5,153.9,160.6,169,177.2,179.8,187.4,191.6,189.2,188.1,187.2
"28","19","Less: Stock reconciliation adjustments","K100191",1.1,1.9,2.3,2,1.6,1.6,1.8,2.8,3.6,5.1,4.7,6.1,5.8,8.2,8.6,7.5,6.4,12.8,8.1,8.8,10.7,7.5,10.3,14.8,8,9.1,3.5,-5.7,6.2,8.1,10.8,16.8,19,18.1,22.7,17.8,16.2,14,9.5,6.9,17.6,8,6.5,13.3,14.6,16.7
"29","20","  Private","K100201",0.9,1.6,1.9,1.7,1.5,1.4,1.3,2,2.8,3.8,3.3,4.6,5.4,7.9,7.9,6.8,5.4,11.9,7.2,7.9,10.2,6.9,9.9,13.5,6.7,8.5,5,1.6,6.3,8.1,10.7,16.7,18.9,17.8,22.1,17.5,15.5,13.4,11.3,6.6,17.2,7.8,6,13.1,13.6,15.6
"30","21","    Nonresidential","K100211",0.9,1.6,1.9,1.7,1.5,1.4,1.3,2,2.8,3.8,3.3,4.6,5.4,7.9,7.9,6.8,5.4,11.9,7.2,7.9,10.2,6.9,9.9,13.5,6.7,8.5,5,1.6,6.3,8.1,10.7,16.7,18.9,17.8,22.1,17.5,15.5,13.4,11.3,6.6,17.2,7.8,6,13.1,13.6,15.5
"31","22","      Intersectoral auto valuation adjustment \4\","K100221",0.3,0.8,0.8,0.7,0.8,0.9,0.7,0.5,0.6,1.4,1.6,2.3,1.9,1.7,2,3.4,6.4,11,9.7,6.9,7.1,7.7,5.1,3.3,1.7,0.4,0.4,-0.4,1.6,0.3,0.1,4.3,4.7,5.6,8.4,7,5.1,4.9,4.6,4.7,5.5,2,0.5,0,0,3.7
"32","23","      Brokers' commissions on sale of nonresidential used structures and dealers' margins on used equipment","K100231",0.8,0.8,0.8,0.9,1.1,1.2,1.3,1.4,1.7,2.1,2.4,2.7,3.1,3.3,3.3,3.9,4.2,4.3,4.6,5.3,5.8,6.2,5.6,5.6,6.3,7.1,8,8.8,10.3,12,13.8,14.9,15.5,15.5,14.8,15.5,16.2,16.7,17.1,16.3,13.9,14.6,18,21.3,21.9,22.8
"33","24","      Electric plants put in place less electric plants put in use \5\","K100241",0.7,1.1,1.3,1.1,1.3,2.1,1.3,2.5,2.7,3.6,4.8,5.1,6.5,7.1,6.2,3.7,-1,0.7,-2.6,0.7,2.2,-2,3.4,6.5,2.6,5.1,1.5,-2.3,-0.8,-0.2,0.2,1.1,1.2,-0.6,1.8,1.1,-0.1,-0.1,-0.1,0.6,2.8,1.9,-0.2,2.3,1,-0.8
"34","25","      Abandoned electric plants \6\","K100251",0,0,0,0,0,0,0,0,0,0.3,0.4,0.4,2.8,2.6,7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","26","      Less: Sale of equipment scrap, excluding autos \7\","C287RC1",0.5,0.6,0.4,0.4,1.1,2.2,1.3,1.7,1.5,2.4,4.2,3.9,4.1,2.1,1.6,1.9,1.8,1.8,2.5,3,2.8,2.8,2.1,2,4,4.3,5.1,4.8,4.8,4,3.4,3.5,2.6,2.8,3.4,6.9,6.9,9.7,12.2,17.2,8.6,14.2,12.3,10.4,9.3,7.7
"36","27","      Other \8\","K100271",-0.4,-0.4,-0.5,-0.6,-0.6,-0.7,-0.6,-0.7,-0.8,-1.3,-1.8,-2,-4.7,-4.6,-8.9,-6.8,-2.3,-2.3,-2,-2.1,-2.2,-2.1,-2.1,0,0.1,0.2,0.2,0.3,0,0,0,0,0,0,0.4,0.8,1.2,1.7,2,2.2,3.7,3.5,0,-0.2,-0.1,-2.6
"37","28","    Residential \8\","K100281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
"38","29","  Government","K100291",0.1,0.2,0.4,0.2,0.1,0.2,0.5,0.7,0.9,1.3,1.4,1.5,0.5,0.3,0.8,0.7,1,0.9,1,0.9,0.6,0.6,0.4,1.3,1.4,0.6,-1.5,-7.2,-0.1,0,0.2,0.1,0.1,0.3,0.7,0.3,0.7,0.6,-1.9,0.3,0.3,0.2,0.5,0.2,1,1.1
"39","30","    Electric plants put in place less electric plants put in use \5\","K100301",0.1,0.2,0.4,0.2,0.1,0.2,0.5,0.7,0.9,1.3,1.4,1.5,0.5,0.3,0.8,0.7,1,0.9,1,0.9,0.6,0.6,0.4,1.3,1.4,0.6,-1.5,-7.2,-0.1,0,0.2,0.1,0.1,0.3,0.7,0.3,0.7,0.5,-1.9,0.2,0.2,0.2,0.5,0.1,0.9,0.9
"40","31","    Other \8\","K100311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2
"41","32","Less: Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2450.6,2534.2,2632.8,2746.7
"42","33","  Private","A024RC1",89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335,381.9,420.4,438.8,463.5,496.4,531.6,566.3,608.3,650.1,689,722.4,744.2,780,824.3,882.6,931,990.1,1054.9,1135.9,1236.6,1317.7,1368,1422.4,1509.3,1635.3,1765,1865,1936.9,1925.7,1923.5,1971.1,2038,2126.6,2229.9
"43","34","    Nonresidential","A753RC1",72.4,79.9,87.3,94.7,105.2,122.8,144.5,158.7,177.5,200.8,230.9,266.8,307.2,341.2,356.7,376.4,403.7,430.6,456.3,490.2,524.2,557.5,586.8,604.4,631.3,666.3,715.2,755.4,805.3,858.5,924.5,1007.4,1069.2,1104.4,1135.4,1189.8,1276.4,1372,1458.3,1536.1,1542.8,1546.6,1596.3,1660.5,1726.7,1802.7
"44","35","      Structures","B188RC1",16,17.6,19.4,21.4,24.6,29.2,33.8,36.3,40.6,45.9,53,60,71.8,81.2,81.2,84,88.7,92,93.4,100,105.9,111.6,115.9,116.5,121.1,126.4,133.5,138.9,147.5,157.8,164.4,173.9,188.5,201.1,210.8,229.3,263,299.7,322.1,343.9,337.8,333.7,343.8,358.7,372.5,386.5
"45","36","      Equipment","Y080RC1",43.4,47.6,51.7,55.8,61.4,71.6,86,95.5,107.5,122.3,140.7,163.8,185.9,203.9,213.1,222.7,237.1,253.1,268.5,285.4,302.8,318.3,329.5,337.2,347.7,366.5,392.8,413.8,435,455.4,482.5,516.8,538,547,554.4,574.3,605.5,639.1,676.9,706.1,707.2,702.8,724.7,751.7,780.7,814.8
"46","37","      Intellectual property products","Y083RC1",13,14.7,16.1,17.4,19.2,22,24.7,26.9,29.4,32.7,37.2,43,49.5,56.1,62.4,69.8,77.8,85.6,94.4,104.8,115.5,127.6,141.4,150.7,162.5,173.3,188.9,202.7,222.8,245.3,277.6,316.7,342.7,356.3,370.2,386.2,408,433.2,459.3,486.2,497.8,510,527.8,550,573.5,601.4
"47","38","    Residential","A754RC1",17.1,18.4,20.4,22.8,26.3,30.3,34.3,37.8,43.6,51.3,59.8,68.2,74.8,79.2,82.1,87.1,92.7,100.9,110,118.1,125.8,131.5,135.6,139.8,148.7,158.1,167.4,175.6,184.8,196.5,211.5,229.2,248.5,263.6,286.9,319.5,358.9,393.1,406.7,400.8,382.9,377,374.8,377.5,399.9,427.2
"48","39","  Government","A264RC1",35.4,38.5,41.2,43.4,46.6,53,58.7,62.7,67.2,72.9,80.4,91,103.1,113.9,121.8,130.8,140.2,150.6,161.6,174.1,186,197.8,208.8,215.6,223.6,231.2,240.2,245,249.9,255.3,264.9,277.7,286.3,294.1,304.9,322.4,346.7,371,399.4,426.5,442.7,458.1,479.6,496.2,506.2,516.8
"49","40","    Structures","A894RC1",10.2,11.4,12.7,13.9,15.6,19.1,21.5,22.3,23.5,25.2,28.3,32.5,36.7,39.5,40.4,41.2,42.7,44.9,47.6,49.8,52.1,54.8,56.8,58.4,61.1,64.2,68.1,71.5,74.8,78.4,82.9,88.5,93.6,98.2,102.9,111.1,124.4,137.5,152.7,163.8,169.1,172,181.2,189.9,195.9,202.3
"50","41","    Equipment","Y085RC1",13.4,13.9,14.1,14.2,14.2,15.1,16.5,18.2,19.8,21.7,23.2,25.8,29.3,32.8,35.9,39.5,42.7,46.3,49.8,53.6,58,62.7,67.2,70.2,73.3,76.2,78.1,78.9,78.6,78.7,80.6,83.3,84.4,85.2,87.3,90.7,94.8,99.1,104.2,111.2,117.7,122.8,127.7,130.6,131.1,131.5
"51","42","    Intellectual property products","Y091RC1",11.8,13.1,14.4,15.4,16.8,18.9,20.8,22.2,23.9,26,28.9,32.8,37.2,41.6,45.5,50.1,54.8,59.3,64.2,70.6,75.9,80.4,84.8,87,89.2,90.8,94,94.6,96.5,98.2,101.4,105.9,108.3,110.6,114.7,120.6,127.5,134.5,142.5,151.5,155.9,163.3,170.7,175.7,179.2,183
"52","43","Change in private inventories \9\","A014RC1",9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9,63.7,60.8,54.5,-38.3,18.5,19.3,63.9,59.6,67,34.5,-32,-147.6,61.5,41.8,61.8,71.8,77.1
"53",NA,"Other changes in volume of assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","44","Less: Other changes in volume of assets","K100441",0.5,0.6,0.5,1.6,1.1,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,9,0,2.2,18,4.1,20.4,2.4,0,0,0,3.5,0,17.8,0.3,1.2,29.8,110.9,0,0,19.2,0.1,0.1,0.2,46.1,0.1,0.2
"55","45","  Private fixed assets \10\","K100451",NA,NA,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,7.9,0,1.5,17.9,4.1,18.4,2.4,0,0,0,3.5,0,17.5,0,0,29.5,99.2,0,0,19.1,0,0,0,38.3,0,0
"56","46","    Nonresidential fixed assets","K100461",NA,NA,0.1,0.8,0.4,0,0,0.1,0.2,0,0.7,0.4,0,0.5,0.5,0,0.1,0,0,0,3.9,0,0,5.3,2,7.3,0.8,0,0,0,1.9,0,15.1,0,0,12.3,27.3,0,0,7.2,0,0,0,13.5,0,0
"57","47","      Structures","K100471",NA,NA,0.1,0.6,0.4,0,0,0.1,0.2,0,0.7,0.4,0,0.5,0.5,0,0.1,0,0,0,2.3,0,0,2.2,0.6,5.3,0.6,0,0,0,1.3,0,7.9,0,0,6.6,16.6,0,0,5.4,0,0,0,10,0,0
"58","48","      Equipment","K100481",NA,NA,0,0.2,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,1.6,0,0,3.1,1.5,1.9,0.2,0,0,0,0.5,0,5.8,0,0,4.9,9.7,0,0,1.7,0,0,0,3.5,0,0
"59","49","      Intellectual property products","K100491",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0.7,1.1,0,0,0.1,0,0,0,0,0,0
"60","50","    Residential fixed assets","K100501",NA,NA,0.1,0.8,0.2,0.1,0,0.1,0.1,0,0.4,0.1,0,0.4,0.6,0,1.6,0,0,0,4.1,0,1.5,12.6,2.1,11.1,1.6,0,0,0,1.6,0,2.4,0,0,17.2,71.8,0,0,11.9,0,0,0,24.9,0,0
"61","51","  Government fixed assets \11\","K100511",0.5,0.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0,0,2,0,0,0,0,0,0,0.4,0.3,1.2,0.3,11.8,0,0,0.1,0.1,0.1,0.2,7.8,0.1,0.2
"62","52","    General government","K100521",0.5,0.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.7,0,0,1.7,0,0,0,0,0,0,0.4,0.3,1.2,0.3,8.1,0,0,0.1,0.1,0.1,0.2,3.7,0.1,0.2
"63","53","    Government enterprises","K100531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,4.1,0,0
"64",NA,"Revaluation"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","54","Nominal holding gains or losses (-)","K100541",144.3,164.3,218.9,231.4,399.3,685.3,292.4,350.5,515.3,668.2,916.2,989.4,734.4,388.5,167.9,293.8,241.1,390.9,454.3,554.9,495.6,409.2,104.5,434.1,554.7,740.3,535.5,442.6,506.7,547.6,816.9,919.5,770.5,797.9,1003.9,2569.7,2826,2239.9,1097.8,716.8,-1173.6,753.9,1203.7,1048.3,1768.9,1457.2
"66","55","  Neutral holding gains or losses (-) \12\","K100551",148.8,160.8,164.3,156.9,311.3,530.7,352.3,324.2,434,539.4,816.1,956.9,761.6,512,371.9,403.8,373.4,276.8,476.3,607.5,611.7,719.1,401.4,450.1,398.6,462.6,406.1,397.9,222.4,215.1,607.7,696.6,345.4,694.5,692.8,1199.2,1403.9,1073.6,1390.9,522,412.7,808.5,1130.6,641.1,751.9,717.7
"67","56","    Fixed assets","K100561",137.3,148.7,152.2,145.6,288.3,488.4,326.1,300.5,402.5,501,756.6,888.3,705.8,477.8,348.2,376.3,348.5,259.4,447.8,570.9,573.7,675.4,377.5,424.1,375.9,435.9,383.2,375.4,209.8,203.2,575.6,659.9,328.2,662,660.8,1143.3,1339.4,1024.9,1329.9,498.8,396.3,774.4,1079.7,613.2,716.2,680.5
"68","57","      Private","K100571",99.3,107.1,108.9,104.9,208.6,353.4,233,217,294.6,373.2,569.8,670.3,532,359.7,262,284.2,264.1,196.8,339.9,433.9,437,514.4,286.9,321.6,285.5,331.9,292.4,286.7,160.9,156.4,444.9,511.4,254.8,514.6,514.3,893.4,1045,801.4,1032.6,384.4,299.9,582.4,810.2,419.7,532.6,572.2
"69","58","        Nonresidential","K100581",53.1,57.9,59.5,56.7,111.7,188.4,127.6,119.4,160.9,200,304.1,357.9,287.4,198.8,145.2,157.6,147,109.1,185.9,236.8,239.5,283.2,159.1,178.3,157,181.6,159.6,157.3,88.3,85.9,243.6,278.8,138.2,274.8,270.3,459.2,530.6,404,527.2,200.9,161.7,313,440,231.6,293.8,312
"70","59","        Residential","K100591",46.2,49.1,49.3,48.2,97,165,105.4,97.6,133.7,173.2,265.7,312.4,244.6,160.9,116.8,126.6,117.2,87.7,154,197,197.4,231.1,127.8,143.3,128.5,150.2,132.8,129.4,72.6,70.5,201.4,232.7,116.6,239.8,244,434.2,514.4,397.4,505.4,183.5,138.2,269.4,370.2,188.2,238.8,260.1
"71","60","      Government","K100601",38,41.6,43.4,40.7,79.7,135,93.1,83.4,107.9,127.7,186.8,218,173.9,118.1,86.2,92.1,84.3,62.6,107.9,137,136.7,161,90.6,102.6,90.4,104,90.8,88.7,48.9,46.8,130.7,148.4,73.4,147.4,146.5,249.9,294.4,223.6,297.2,114.4,96.4,192,269.4,193.5,183.6,108.3
"72","61","    Private inventories \1\","K100611",11.5,12.1,12.1,11.3,23,42.3,26.2,23.7,31.5,38.4,59.5,68.6,55.8,34.2,23.7,27.6,25,17.4,28.5,36.6,38,43.6,23.9,26,22.7,26.7,23,22.5,12.6,11.9,32.1,36.7,17.2,32.5,31.9,56,64.5,48.7,61,23.2,16.3,34.1,50.9,27.9,35.7,37.2
"73","62","  Real holding gains or losses (-)","K100621",-4.4,3.5,54.7,74.5,88,154.6,-59.9,26.3,81.3,128.8,100.1,32.5,-27.2,-123.5,-204,-110,-132.4,114,-21.9,-52.6,-116.1,-309.9,-296.8,-16.1,156.1,277.8,129.4,44.7,284.4,332.5,209.1,223,425.1,103.3,311.1,1370.5,1422.1,1166.3,-293,194.8,-1586.3,-54.6,73.2,407.2,1017,739.5
