"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"23","15","    Miscellaneous durable goods manufacturing","KP3390",8942,9171,9206,9090,9196,9522,9263,9077,9384,9374,9507,9420,9514,9659,9853,9514,9449,10086,9555,9780,9732,9642,9762,9894,9996,10029,9959,9950,9926,9699,9727,9820,9917,9996,9990,10057,10161,9618,9867,10509,10306,10457,10652,10473,10674,10661,10528,10668,10435,10699,10400,10389,10450,10214,10333,10377,10177,10116,10030,9911,10572,10587,10611,10922,11205,10795,11278,11260,10893,11163,11277,11090,10971,10974,11195,11106,11045,10747,11191,11175,11093,11365,11452,11414,11023,10980,11305,10985,10820,11214,10795,10825,11048,11273,11658,12071,12028,11810,11909,11871,11892,11996,11779,11798,11875,11822,11916,12147,12052,12042,12138,12107,12367,12493,12540,12366,12560,12439,12341,12244,12025,11883,11843,11805,11646,11699,11674,12044,11805,12073,11942,12033,11985,11944,11878,12154,12306,12028,11885,11746,11633,11441,11440,10980,10942,11009,10816,10768,10726,10803,11195,10852,10829,10862,10792,11016,11092,11254,11113,11216,11190,11062,11386,11227,11127,11182,11141,11044,11488,11293,11410,11338,11301,11368,11489,11462,11531,11533,11465,11639,11675,11753,11914
"24","16","  Nondurable goods manufacturing industries","KP30N0",179343,182418,181155,182144,183430,183701,184776,184895,185322,185591,187849,185370,187134,188052,186606,185890,185078,185248,183777,185328,185385,183721,183502,184688,183583,187868,185078,183629,184110,186436,184858,185640,186345,187000,188849,186539,187799,184473,186752,189229,187379,188329,187141,186872,186507,185348,185279,185502,185278,185522,182617,179650,181934,176115,180755,183633,177569,181559,181472,183945,184197,182341,182954,181489,184798,184591,180514,183207,183833,183032,182324,184269,181962,178953,181200,179091,181498,182016,185494,182680,183672,184020,180883,182025,181374,177748,185269,184412,183871,186175,187317,188501,186522,188622,189120,189582,191809,189827,193730,193267,195484,195619,195748,196596,192168,186911,193859,192911,196229,191718,195838,194634,197196,194502,197496,194187,188410,188082,187455,189095,192030,193316,192321,190200,189703,188416,187655,189253,190858,195420,195743,197128,196371,191604,187598,191144,186768,186584,181947,180734,171598,175844,170601,170165,169778,172939,169750,166637,165679,167080,167164,165880,169389,172291,172295,173250,170561,173862,175481,172783,167823,167983,169285,169841,172028,171295,173072,176161,178322,175482,174567,171203,168222,169397,169320,171159,171585,173251,173475,174645,174479,174674,170340
"25","17","    Food manufacturing","KP3110",39212,39288,38959,39472,39741,39618,40105,39764,39514,39541,40354,40532,42020,41490,41740,41370,40751,40833,40607,41190,40978,41179,41087,40885,40973,41714,41408,40900,41641,41635,41293,41121,41754,41445,41723,41391,41429,40608,41574,42068,41360,41884,41937,41918,42189,41756,41758,41759,43615,42168,42216,41504,41531,41437,41328,41706,41264,41407,42391,42543,42757,42918,42634,42643,42522,41737,41728,43871,42226,43636,43600,43769,43079,43040,43485,43620,43507,43753,44506,44307,44302,43156,42343,42819,42720,41314,41608,42576,41564,41955,43235,44230,43997,44676,44863,43436,44464,44561,43500,44081,44629,44776,44524,44326,44804,43850,44741,44539,44512,44975,44941,45166,45054,44579,44523,44600,44203,44673,44431,44251,44029,44085,43873,43796,44597,44303,44461,45147,44974,45170,45105,45182,44608,43530,44476,45138,45150,44814,44668,43976,44503,44333,44086,44383,44405,44375,45061,45045,44120,44333,44736,44313,44699,44982,44752,44277,44705,45151,45934,45223,45154,45311,45528,45135,45275,45067,45277,45426,45759,45700,45343,45673,45775,45629,45533,45650,45613,45854,45407,45607,45892,44698,45167
"26","18","    Beverage and tobacco product manufacturing","KP3120",11205,11098,11754,11008,11584,11357,11470,11704,11594,11892,12270,11528,11276,12027,11899,11431,11649,12021,11520,11715,11570,11549,10956,10638,10540,10747,11107,10437,10523,11086,10540,10721,10128,10649,10694,9962,10559,10045,10879,10222,11069,10642,10442,10827,10250,10590,10809,10460,10401,10585,10572,10200,11221,10595,10664,11501,10051,11026,9759,10030,9783,9113,9697,8929,9383,9146,9079,9151,8882,8864,8764,8905,9079,9048,9816,9549,9683,9867,9900,9752,9683,9740,9459,9566,9306,9078,10172,9649,9731,10219,9834,10022,10069,9948,9890,9919,9655,9601,9773,10190,10629,10668,10670,11003,10386,10495,10510,10420,10353,10029,10136,10038,10571,10435,10090,10618,9935,10323,10366,9882,10006,9921,10355,10301,10649,10578,10491,10801,10148,10623,10117,9824,9766,9343,9753,9824,9905,9772,9871,9681,9580,9540,9222,9401,9212,9151,8635,8922,8751,8937,8738,8791,8716,8777,8641,8801,8686,8499,9163,9291,9165,9442,9762,10056,10140,9892,9910,9675,9588,9655,10134,10101,10177,10456,9867,10075,10156,9908,10116,10334,9880,10172,10169
"27","19","    Textile mills","KP3130",4967,4946,4999,4843,4744,4718,4751,4615,4776,4743,4706,4764,5075,4898,4984,4682,4680,4676,4709,4645,4539,4572,4610,4521,4857,4605,4535,4668,4628,4599,4513,4530,4556,4539,4611,4635,4529,4505,4559,4502,4433,4502,4420,4393,4376,4306,4203,4214,4178,4226,4064,3891,3976,3926,3667,3908,3794,3765,3675,3843,3671,3926,3946,3991,4056,3996,4073,4076,4005,3983,4045,3862,3914,3920,3902,3758,3611,3720,3650,3647,3683,3757,3588,3589,3579,3489,3496,3560,3496,3338,3505,3506,3543,3479,3551,3734,3703,3748,3636,3653,3672,3643,3514,3414,3347,3326,3373,3371,3315,3302,3259,3200,3114,3092,3093,3080,3044,3038,2997,2914,3069,3044,2954,2940,2993,2884,2882,2815,2801,2761,2739,2699,2645,2549,2553,2577,2457,2499,2541,2438,2370,2312,2172,2031,1968,1951,1947,1950,1953,1961,1993,2019,2062,2118,2141,2166,2188,2186,2210,2205,2208,2208,2188,2191,2166,2145,2129,2139,2159,2161,2143,2095,2075,2076,2084,2056,2074,2047,2028,2037,2053,2061,2069
"28","20","    Textile product mills","KP3140",2709,2785,2804,2785,2758,2776,2833,2830,2851,2875,2876,2933,2915,2890,2709,2831,2750,2770,2802,2741,2819,2814,2817,2871,2917,2893,2841,2943,2937,2925,2986,2980,2997,3056,3063,2970,3098,3097,3132,3096,3066,3040,2998,3025,2935,2896,2871,2758,2863,2931,2794,2708,2824,2893,2852,2887,2853,2759,2774,2784,2687,2919,2884,2915,2960,2906,2792,2789,2800,2767,2762,2798,2649,2675,2697,2721,2643,2633,2715,2688,2770,2811,2773,3144,3025,2924,2979,2902,2856,2836,2884,2891,2869,2903,2886,2895,2983,2974,2917,2903,2859,2863,2875,2924,3053,2934,2932,2835,2848,2857,2821,2751,2782,2713,2713,2605,2607,2551,2529,2569,2521,2465,2419,2390,2383,2393,2319,2338,2282,2314,2298,2265,2258,2216,2224,2247,2254,2272,2198,2142,2034,1982,1862,1784,1764,1738,1660,1649,1601,1565,1626,1604,1620,1613,1633,1676,1706,1663,1668,1671,1665,1633,1609,1599,1614,1618,1631,1629,1602,1642,1690,1626,1628,1632,1593,1600,1611,1606,1637,1659,1654,1637,1660
"29","21","    Apparel manufacturing","KP3150",5415,5713,5544,5667,5684,5623,5800,5697,5907,5820,5933,5666,5583,5638,5471,5531,5388,5525,5424,5455,5361,5197,5190,5319,5350,5374,5245,5289,5239,5170,5215,5071,5085,5036,5051,5044,5157,5006,5247,5055,5008,4895,4875,5076,4875,4925,4786,4874,4851,4985,4954,4739,4646,4491,4351,4634,4366,4205,3938,4041,3896,3933,3594,3565,3503,3525,3421,3407,3303,3165,3329,3297,3290,3285,3201,3205,3220,3368,3355,3275,3232,3163,3101,2965,2903,2794,2879,2795,2763,2684,2714,2645,2654,2655,2632,2658,2687,2639,2606,2562,2563,2790,2602,2545,2543,2576,2688,2645,2476,2474,2700,2621,2683,2634,2539,2437,2460,2490,2412,2455,2403,2368,2269,2276,2140,2009,1975,2119,1994,1982,1997,1892,1944,1812,1795,1820,1781,1737,1731,1688,1689,1536,1510,1458,1412,1420,1327,1299,1266,1267,1280,1213,1208,1304,1280,1287,1261,1281,1291,1287,1302,1305,1294,1321,1289,1321,1329,1337,1332,1303,1329,1331,1317,1330,1337,1426,1446,1462,1498,1500,1524,1483,1466
"30","22","    Leather and allied product manufacturing","KP3160",973,1011,1019,994,973,990,974,955,950,928,934,1001,994,981,951,939,913,920,870,891,885,824,880,990,859,848,848,839,870,847,886,863,886,888,869,963,842,784,850,888,866,860,884,854,818,850,835,955,873,854,894,821,846,790,687,678,683,697,664,694,577,571,515,521,506,501,478,476,495,480,508,492,495,497,487,493,491,480,503,498,471,489,499,488,468,459,468,482,487,508,504,508,499,498,513,431,564,524,509,536,581,529,498,517,495,468,501,487,485,506,518,494,489,499,504,488,494,519,461,484,508,516,518,489,486,467,462,458,461,439,411,407,369,356,337,557,515,459,467,468,483,429,400,386,384,364,366,364,348,364,357,339,350,338,337,329,330,332,308,314,315,311,308,302,300,300,306,306,300,298,305,311,316,302,298,292,289,289,292,296,303,294,295
"31","23","    Paper manufacturing","KP3220",14084,14585,14561,14594,14436,14525,14275,14545,14588,14644,14877,14833,14697,14659,14607,14725,14751,14678,14609,14773,14511,14554,14420,14977,14904,15410,14422,14523,14453,14502,14471,15205,15010,14742,15245,15196,15086,14982,14915,14939,14319,14373,14517,14064,14482,14062,14405,14414,13912,14360,13804,13446,13492,13035,13821,14046,13716,13934,13727,13237,13601,13283,13525,13669,13908,13642,14050,14071,14245,14123,13845,13931,13864,13923,13994,13647,13479,13574,13476,13186,13239,13328,13229,13178,13790,13422,13655,13560,13401,13848,13621,13614,13375,13217,13332,13316,13647,13727,13761,13620,13583,13755,13356,13241,13020,13412,13513,13542,13894,13635,13659,13634,13748,13530,13312,13373,13140,13118,13023,13871,13085,13090,13131,13268,13352,13288,13404,13281,13330,13260,13261,13272,13364,13027,12943,13086,12787,12764,12791,12664,12473,12161,11832,11338,10941,11970,11250,11236,11312,11455,11506,11476,11505,11630,11674,11816,11812,11873,11992,11819,11709,11558,11739,11762,11732,11664,11569,11634,11643,11593,11576,11436,11279,11278,11269,11194,11156,11220,11196,11173,11102,11026,11115
"32","24","    Printing and related support activities","KP3230",8948,9115,8894,8960,9063,9087,8998,8930,9202,9142,9090,9075,9094,9091,9143,9160,9024,9005,9141,9154,9187,9230,9367,8862,9256,9243,9195,9133,8971,9153,9166,9145,9170,9082,9239,9285,9182,9105,9100,9170,9424,9434,9350,9169,9126,8992,8983,9117,9086,9154,9096,8791,8923,8735,8720,8719,8456,8531,8392,8350,8348,8239,8317,8249,8185,8190,8219,8401,8307,8462,8325,8300,8168,8243,8162,8244,8087,7898,7784,7879,7879,7753,7924,7955,7835,7756,7917,7838,7857,8198,8090,7828,8011,7972,7943,8122,8170,8181,8160,8098,8042,8098,7981,8062,8210,8112,7928,7949,8063,8103,8042,8144,8301,8239,8161,8090,8022,7954,8099,8117,8076,8121,8175,8120,8125,8122,8118,8192,8063,8232,8368,8017,8138,7779,7921,8048,7730,7715,7591,7386,7291,7265,7004,6868,6822,6722,6622,6482,6415,6352,6453,6405,6353,6257,6303,6397,6268,6336,6564,6664,6633,6515,6454,6450,6488,6377,6387,6405,6431,6374,6559,6413,6431,6350,6277,6436,6318,6215,6227,6171,6124,6061,6143
"33","25","    Petroleum and coal product manufacturing","KP3240",33164,33642,32030,33959,35104,35334,36441,36662,36083,35620,35238,33215,33298,34404,34582,35083,35306,34904,34386,35129,36365,34596,33897,35266,33663,36195,35329,33455,34362,35957,35331,34791,35505,36462,37076,34832,35565,34610,33538,34959,35288,34792,34449,34829,34134,35173,35186,33586,34096,33569,33523,34362,34807,32053,34721,35162,33519,36753,37303,40107,41344,37895,38341,35468,37408,36686,36011,35581,35366,34059,34152,35535,33965,29599,30051,32179,36453,34892,34777,34987,34005,35548,35022,34470,33882,34176,36943,36945,37316,37083,37183,37331,36167,36537,35960,38476,38685,37103,41334,40415,41931,41579,42238,41521,38126,34641,38328,38863,40347,37605,40738,39400,40323,39031,42125,38489,36603,36517,36166,37187,40625,41155,39206,36399,34924,34941,34058,34628,37071,39383,40683,42377,42607,41555,38421,39677,37290,37088,35030,36337,31762,35204,35756,37809,39303,40602,39275,35497,34808,34837,34298,33631,36607,38524,38161,39111,36703,38779,38034,36135,32841,32983,33575,33421,34704,35911,36684,38937,40667,38681,37018,34882,32568,33468,34366,35179,35836,37368,37384,37891,37807,38758,35408
"34","26","    Chemical manufacturing","KP3250",42438,43642,43230,43226,43359,43432,43234,43480,43480,43834,44162,43497,43876,44290,43172,43039,43082,43086,42450,42447,42795,41824,42322,43127,41907,43217,42736,43116,42482,43254,43046,43198,43532,43634,43615,43772,43967,43879,44073,45290,44200,45135,44900,44700,44999,44124,44027,45529,44055,44883,43373,42758,43174,41282,42413,42887,41570,42296,43227,43727,43699,43985,43988,44644,45850,48247,44240,44652,47748,46316,45983,46801,46260,46619,46953,44410,44360,45138,47600,45789,47089,47448,46740,46915,46960,46469,48424,47555,48374,49016,49215,49284,48551,50133,50797,49808,50437,49908,50780,50704,50488,50453,51046,52305,51084,50646,52324,51294,52879,51387,52138,52622,53045,52639,53255,53628,51384,50815,50877,50864,51223,52193,52799,53756,54029,53589,53830,53835,53719,54485,53555,53871,53137,52113,51062,51506,51201,51711,50481,48829,45869,46531,42692,41189,41236,41861,41040,41103,41871,42609,42419,42431,42461,42759,43295,43190,43032,43462,43974,44102,43407,43435,43482,44269,44847,43456,44066,44276,44034,43859,44680,44392,44826,44626,43885,44226,43746,43382,43697,43676,43677,43563,43218
"35","27","    Plastics and rubber product manufacturing","KP3260",14610,14833,15086,14988,14864,15163,15225,15254,15461,15456,15902,15868,15587,15656,15531,15639,15643,15459,15650,15867,15882,15937,16031,16082,16166,16640,16268,16211,16342,16360,16246,16479,16478,16659,16922,16912,17023,16394,16841,17406,16974,17183,16730,16544,16645,16407,16150,16093,15771,15968,15669,15378,15389,15149,16557,16373,16038,16005,15910,16087,16020,16133,16249,16520,16754,16095,16338,16244,16031,16264,16161,16127,16291,16181,16472,15863,16049,16106,16464,16114,16393,16473,15873,16339,16240,15501,16757,16530,16217,16507,16428,16481,16444,16287,16383,16703,16677,16564,16767,16467,16552,16424,16362,16600,17169,16983,17099,16963,16949,16984,16779,16575,16993,17167,16724,16949,16804,16346,16350,16650,16535,16390,16736,16909,16765,16458,16438,16316,16137,16501,16479,15950,16029,15778,15484,15777,15620,15706,15460,14790,14717,14144,13460,13240,12323,12816,12439,12296,12336,12470,12845,12741,12728,12825,12909,12974,12877,13087,13282,13247,13132,12957,12971,12997,12983,12869,13037,13279,13110,12967,13180,12991,12822,12888,12931,12961,13027,13049,13177,13385,13478,13565,13544
"36","28","Merchant wholesale industries","KP42W0",202373,208115,206625,206633,208879,209965,211117,210108,213977,212930,213844,213379,217942,218762,221344,222494,223099,223297,224528,226118,228035,228604,229449,232616,231138,235728,237864,237013,242227,244022,244584,244670,245624,249247,250853,250872,252586,249667,251398,254382,254279,257046,256336,258377,258600,258773,256938,260150,259472,259176,256338,255247,256720,252416,256311,256994,255943,254954,256780,256751,258491,260197,257695,262972,264422,265780,265221,266997,265151,262456,267754,265009,267441,263842,265582,265022,264906,268056,270738,268898,269738,272622,273764,274540,272886,278059,285631,283893,283651,284740,284906,286991,286187,285990,289454,294302,296001,294881,291292,295859,295849,295986,297224,298892,300149,303671,304221,306535,307869,310410,310728,308643,310455,310575,312434,312660,312785,312638,312572,316894,314747,315603,318582,321471,323180,322033,318459,320202,320950,319772,320516,316422,319395,315714,315569,318772,318687,320923,313675,312164,303795,304591,295745,296128,284365,288406,283101,281896,281709,279188,286702,282343,284503,282678,288682,287560,284218,289613,292609,296376,300659,304960,307411,306144,303000,304320,305644,302169,307910,300505,308496,307192,310040,313119,313008,316828,312658,317607,315771,320076,317597,318706,319675
"37","29","  Durable goods merchant wholesale industries","KP42WD0",89120,92460,91101,92436,92855,93711,94921,94013,96754,96356,97093,96679,98936,99665,100964,101824,101561,102261,102860,103359,103388,104003,104181,105374,106752,109579,110231,110561,112803,113780,114847,115175,116046,118148,118723,120381,121209,119995,120483,121674,121847,122095,121810,123222,123204,123564,122699,121936,122635,122989,122231,120759,121314,118788,120088,120979,119043,117848,119255,118860,119946,121461,120187,122122,123106,123947,123676,125075,124075,122221,123459,121606,123066,121206,123802,123375,123344,125167,126356,125290,127119,128111,129907,130159,129450,132932,137727,138772,138884,139334,139932,139932,138477,139833,141995,145105,144433,144448,143573,145453,145629,145979,146839,148168,149020,152777,152490,155954,156511,157603,156603,154965,157489,156770,158014,158853,158686,159989,160860,163509,162546,160962,162955,164211,162732,162784,161436,163379,163664,164331,166511,161437,166005,161935,164194,166093,164636,165112,162179,158879,156450,151258,144817,139760,130983,134455,129225,127166,127216,128878,130698,131677,132444,133025,135413,137295,137004,138331,140043,142663,144195,145341,147209,148488,148322,148688,150569,151508,154413,152444,156131,154766,154075,156803,159947,163730,162114,161927,164005,167971,167420,168078,166887
"38","30","    Motor vehicles, parts, and supplies wholesalers","KP42110",13920,14162,14146,13844,14428,14491,14310,13500,14543,14593,14455,13363,14621,14494,15073,15144,15215,15080,15290,15498,15676,15388,15565,15701,15715,17281,16633,16969,17243,17490,17900,17556,17970,18420,18111,18339,18186,18172,17920,18381,17921,18222,18010,18338,18274,18435,18424,18402,18677,18733,19015,19076,19618,19373,19467,19678,18837,19883,19966,19551,20016,20383,20390,20756,20823,20952,21268,22483,21593,20865,21893,21521,21637,20462,21156,21377,21416,21713,21785,21623,21872,21687,22575,23113,21584,22870,23268,24032,23424,23734,23400,23346,23593,23641,22975,23451,23111,23872,23920,23568,23735,24101,24697,25528,24730,25567,25407,26117,26525,27173,26330,26200,27102,26764,27573,27530,26923,28407,28222,29954,28553,28417,28488,29200,27518,27695,27783,28336,29318,28807,28256,26995,27878,26467,27608,27247,27212,25710,25287,23920,24450,23066,20752,19054,18158,18534,18499,17662,18181,19880,20195,21047,20865,21957,21915,22088,22333,22879,22516,23030,22857,23654,24029,24133,23904,24463,23529,24382,26016,25353,25279,25026,22645,24489,25836,26622,27177,28369,28235,29624,30594,30404,29758
"39","31","    Furniture and home furnishings wholesalers","KP42120",3665,3848,3594,3676,3556,3553,3602,3556,3911,3869,3781,3875,3970,3802,3913,3872,3860,3961,3911,3966,3973,3903,4083,4032,4053,4141,4103,4145,4213,4203,4420,4353,4320,4475,4418,4516,4573,4664,4625,4731,4801,4791,4741,4789,4888,4848,4797,4767,4773,4778,4801,4698,4613,4640,4619,4676,4603,4696,4713,4639,4753,4694,4794,4800,4790,4999,4771,4758,4739,4667,4794,4545,4728,4814,4790,4706,4797,4840,4896,4892,4889,4841,4846,4885,4915,4918,5011,5037,5115,4951,5017,5201,5162,4976,4970,5034,4989,4984,4934,5054,5008,5147,5081,5149,5089,5235,5090,5258,5288,5331,5310,5294,5324,5325,5350,5336,5394,5337,5455,5449,5385,5328,5437,5326,5492,5318,5233,5055,5037,5148,5002,4924,5157,4895,4808,5034,4746,4739,4743,4666,4660,4206,4114,3935,3779,3778,3643,3616,3524,3477,3576,3566,3599,3522,3481,3636,3759,3816,3859,3823,3930,3998,3783,3892,3822,3813,3834,3916,3826,3624,3780,3697,3715,3750,3856,3726,3679,3728,3682,3698,3774,3781,3801
"40","32","    Lumber and other construction materials wholesalers","KP42130",6913,7283,7192,7338,7047,7248,7246,7309,7297,7198,7084,7326,7413,7374,7305,7421,7494,7664,7824,7862,7833,7966,7994,8027,7811,7978,8083,8142,8261,8337,8270,8122,8295,8422,8638,8413,8457,8241,8329,8171,8263,8251,8088,8121,8182,8131,8117,8305,8284,8332,8376,8453,8516,8268,8480,8525,8359,8575,8686,8923,8989,9354,9166,9320,8993,9004,8733,8854,8966,8962,8829,8801,9398,9034,9385,9278,9281,9707,10045,10007,10409,10566,10575,9976,10161,10282,11105,11158,11157,10881,10948,11097,10762,10639,10874,11325,11787,11641,11353,11401,11436,11361,11619,11708,11958,12278,12453,12620,13599,12680,12443,12076,11843,11830,11771,11763,11346,11288,11261,11615,11392,10889,11491,11161,11260,11137,10623,10541,10334,10295,10297,9948,9987,9950,9957,10237,10088,10060,9904,9228,9201,9115,8233,7692,7493,7826,7534,7395,7443,7506,7427,7554,7369,7142,7193,6987,6954,6842,7752,8199,7739,7671,7605,7553,7483,7635,7625,7322,7232,7493,7986,7725,7935,7908,7836,8129,8173,8171,8203,8974,8772,8958,9208
"41","33","    Professional and commercial equipment wholesalers","KP42140",7769,8253,8126,8378,8581,8832,8785,8930,9307,9415,9806,9917,10182,10571,10732,11072,11020,11383,11565,12002,11992,12346,12184,12632,13128,13475,13843,14008,14461,14732,14980,15261,15209,15832,15900,16040,15873,15830,16086,16133,16009,15758,15865,16396,16398,16641,16237,15692,16740,17027,17003,17319,17556,17234,17503,17417,17285,17018,17365,17741,18004,18206,18215,18162,18871,19572,19363,19830,20169,19934,20106,19671,19779,20051,20400,20546,20132,20194,20549,20155,20282,20541,21165,21319,21939,22224,22310,22258,22417,23129,23822,22883,22775,23280,23909,24466,24234,24368,24474,24807,25512,25315,25709,26328,27066,26830,26815,27792,27467,27876,29006,28333,28408,28507,28730,29148,29519,30259,30294,30563,31041,31212,31393,31581,32081,32951,32765,33183,32911,33592,34399,33581,33997,34298,34704,34645,34417,35054,34792,34909,35377,34118,33669,32832,31317,32357,32692,33045,32643,32934,33610,33363,33882,34836,35449,36336,36331,35935,36182,37150,37340,37406,37497,37649,37973,37341,38259,38765,39429,39704,40103,39602,39501,40017,40319,41239,40884,40238,41198,40688,40663,41346,41462
"42","34","      Computers and software wholesalers","KP42430",2327,2471,2454,2599,2695,2807,2832,2969,3120,3131,3369,3389,3503,3720,3880,4129,4139,4345,4383,4510,4463,4590,4629,4758,5162,5429,5627,5693,5992,5918,6328,6529,6455,6895,6807,6960,6937,6874,7130,7173,7064,6710,6890,7268,7125,7343,7301,6762,7514,7528,7528,7487,7728,7554,7592,7680,7906,7654,7754,7987,8031,8122,8081,8019,8553,9014,9099,9483,9471,9424,9144,9103,9108,9363,9447,9832,9330,9317,9639,9309,9393,9854,9998,10144,10650,10756,10892,11053,10916,11428,12001,11134,11087,11417,12102,12506,12709,12786,12720,13102,13678,13220,13623,14102,14518,14180,14089,14377,14450,14873,15120,15254,14979,15263,15549,15862,16113,16750,17052,17082,17351,17325,17698,17714,18502,19629,19278,19460,19186,20050,21063,20214,20367,20966,21281,21489,21487,22081,21628,22120,23031,21431,21114,20966,19171,20513,21190,21222,20905,21767,22506,22194,23148,24352,25088,26019,25992,25586,25688,26900,27551,27707,27609,27737,28265,27856,28621,28470,29715,30419,30724,30917,30234,30401,31274,31752,31157,31098,31728,30427,30622,31507,31451
"43","35","      Other professional and commercial equipment wholesalers","KP424X0",8176,8705,8484,8434,8496,8608,8397,8150,8393,8606,8529,8704,8843,8871,8632,8460,8322,8361,8605,9056,9179,9455,9030,9476,9222,9099,9209,9321,9322,9970,9348,9319,9411,9371,9695,9567,9364,9449,9280,9261,9315,9709,9480,9478,9790,9703,9182,9483,9507,9887,9852,10369,10255,10123,10416,10144,9586,9659,9947,10058,10321,10433,10505,10532,10603,10778,10394,10403,10836,10619,11227,10764,10889,10863,11159,10820,11005,11094,11083,11059,11096,10806,11329,11319,11383,11567,11498,11246,11586,11758,11844,11835,11773,11932,11833,11975,11522,11584,11768,11709,11832,12099,12088,12231,12554,12650,12720,13390,13003,13004,13845,13096,13401,13247,13205,13323,13450,13594,13379,13594,13807,13979,13846,13993,13828,13736,13843,14070,14039,13992,13952,13867,14108,13948,14069,13882,13698,13820,13903,13676,13464,13484,13326,12752,12669,12650,12497,12753,12632,12346,12428,12422,12262,12290,12332,12470,12482,12416,12545,12588,12368,12333,12457,12502,12455,12219,12480,12934,12745,12574,12700,12247,12525,12805,12575,12981,13030,12608,12965,13256,13142,13178,13286
"44","36","    Metal and mineral (except petroleum) wholesalers","KP42150",9952,10203,9816,10312,10121,10417,10308,10309,10489,10497,10522,10569,10262,10256,10564,10304,10274,10282,10351,10461,10562,10455,10496,10517,11078,10912,10949,10635,10629,10533,10545,10290,10369,10781,11003,11291,11728,11265,11373,11134,11067,11051,11010,11032,10997,10950,11286,11400,10708,10869,10513,10643,10860,10717,10559,10812,10627,10304,10290,10039,10066,10001,9899,10241,10181,10511,10311,10036,9919,9997,9496,9270,9282,9023,9291,9202,9386,9384,9627,9466,9602,9540,9770,10023,10045,10276,11331,11136,10709,11095,10900,11191,10998,10784,10908,11291,11198,11119,10950,11153,11233,11378,11118,11329,11219,11905,11674,12255,11569,11677,11646,11379,11400,11608,11315,11229,11439,11428,11871,11666,11806,11584,11433,11288,11163,10917,10797,10794,10310,10779,10845,10713,10780,10425,10361,9745,9615,9310,9211,9343,9459,10258,10352,10368,8920,8838,8108,7826,7126,7116,6960,6757,6609,6621,6859,6963,7062,7101,7236,7216,7591,7640,7789,7763,7877,7700,7859,7971,7933,7634,8026,7549,7634,7674,7914,7865,7856,8082,8488,8926,8584,8635,8543
"45","37","    Electrical goods wholesalers","KP42160",13871,14094,14191,14249,14514,14501,14869,14922,14841,14526,14628,14877,14794,14975,15177,15242,15406,15234,15372,15276,15309,15710,15456,15466,15579,16068,16245,16433,16677,16962,17315,17516,17764,18132,18658,19360,19759,19437,19492,19811,20110,20734,20587,20993,20963,20574,20445,20791,20446,19777,19642,18777,18305,17254,17849,17696,17658,17712,18464,17696,17841,17996,17723,18109,18444,17865,18014,17866,17861,17610,17932,17879,17796,18035,18338,18063,17839,18482,18636,18358,18876,19439,19399,19142,19368,20169,20260,21022,22024,21370,21280,21514,21060,21010,21289,21649,22021,21226,21754,22473,22131,22079,22088,22212,22111,22832,22511,22660,23059,23524,23293,23028,23929,23672,24184,24818,24953,24736,25602,26048,26023,25772,25840,25479,25423,25913,25772,25956,26614,26797,28008,26624,27238,25619,26457,27419,27486,27490,27629,26469,26200,25201,23635,24133,23235,23613,21630,22963,22849,21766,22544,23087,22834,23936,25387,24930,24777,25672,25688,26575,26910,27431,27827,28080,27990,28060,28968,28471,29060,28244,29691,29841,30388,30066,29333,29858,30287,30387,30610,30543,30285,29841,29573
