"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"21","13","      Other transportation equipment manufacturing","PK3OT3",83.853,83.873,83.856,83.744,83.831,83.859,83.946,83.971,83.938,83.838,83.886,83.913,83.992,84.054,84.094,84.482,84.581,84.606,84.374,84.326,84.449,84.838,84.853,84.891,84.847,84.924,84.923,84.819,84.806,84.892,85.017,85.032,85.172,85.421,85.554,85.74,86.163,86.756,86.821,86.963,87.054,87.332,87.492,87.552,87.77,87.946,88.098,88.172,88.482,88.645,88.738,88.866,88.945,89.161,89.306,89.468,89.687,89.711,89.703,89.828,89.987,90.042,90.118,90.036,90.035,90.163,90.526,90.727,90.823,90.917,91.045,91.2,91.525,91.634,91.877,92.049,92.211,92.469,92.679,92.957,93.113,93.715,93.701,93.939,94.342,94.443,94.605,94.985,95.016,95.458,96.108,96.525,96.698,97.193,97.498,97.843,98.583,98.754,99.421,99.337,99.609,99.694,99.942,100.275,100.427,100.981,101.041,101.326,102.45,102.529,102.878,103.361,103.453,103.617,103.939,104.132,104.253,104.732,104.979,105.252,105.657,105.889,106.092,106.246,106.482,106.787,107.295,107.568,107.774,108.035,108.159,108.242,108.918,109.117,109.275,109.922,110.247,110.7,111.359,111.808,112.248,112.174,112.484,112.75,112.584,112.836,112.652,112.36,112.108,112.032,112.326,112.35,112.396,112.438,115.342,115.275,116.569,116.635,116.875,117.886,118.119,118.381,118.845,118.949,119.051,119.308,119.339,119.397,119.788,120.103,120.108
"22","14","    Furniture and related product manufacturing","PK3373",87.873,87.935,87.957,88.069,88.177,88.207,88.365,88.338,88.524,88.501,88.743,88.765,88.872,89.014,89.097,89.093,89.317,89.264,89.275,89.364,89.379,89.574,89.598,89.709,89.892,89.915,89.934,90.002,90.134,90.377,90.49,90.701,90.776,90.894,90.976,91.051,91.165,91.221,91.508,91.673,91.744,91.782,91.893,92.024,92.215,92.265,92.376,92.414,92.559,92.642,92.776,92.911,92.976,93.084,93.159,93.184,93.288,93.338,93.315,93.319,93.37,93.422,93.433,93.493,93.531,93.63,93.933,93.973,94.241,94.306,94.387,94.332,94.455,94.5,94.503,94.672,94.729,94.767,94.811,94.825,94.616,94.782,94.749,94.944,94.815,95.205,95.498,95.485,95.827,96.046,96.266,96.783,96.893,97.014,97.955,98.298,98.587,98.889,98.923,99.264,99.76,99.904,100.294,100.253,100.489,100.833,101.154,101.556,101.912,102.192,102.286,102.337,102.752,102.857,103.033,103.135,103.297,103.635,103.692,103.695,104.136,104.465,104.473,104.639,104.7,104.833,104.731,104.825,104.975,105.079,105.516,105.488,106.022,106.281,106.499,107.422,107.808,108.831,109.813,110.769,111.348,111.983,112.131,112.232,112.593,112.918,112.861,112.694,112.626,112.61,112.727,112.389,112.651,112.752,112.666,112.608,112.484,112.06,112.314,112.638,112.714,113.051,113.335,113.309,113.267,113.184,113.498,113.261,114.03,113.772,114.423
"23","15","    Miscellaneous durable goods manufacturing","PK3393",89.385,89.376,89.511,89.608,89.637,89.758,89.791,89.849,89.889,89.98,89.945,89.875,89.955,90.009,90.094,90.033,90.096,90.113,90.261,90.319,90.496,90.614,90.671,90.645,90.677,90.601,90.811,90.933,90.924,90.885,90.903,90.889,90.84,91.146,91.121,91.25,91.323,92.42,92.441,91.81,91.872,92.269,92.437,92.852,92.935,92.874,93.047,93.234,93.588,93.629,93.711,93.797,94.043,94.025,94.195,94.341,94.443,94.474,94.574,94.551,94.444,94.841,94.651,94.921,94.806,94.982,95.088,95.106,95.293,95.512,95.468,95.567,95.803,96.194,96.263,96.437,96.407,96.549,96.737,96.787,96.781,96.807,96.751,97.063,97.048,97.13,97.127,97.245,97.523,97.875,97.903,98.301,98.588,98.443,98.493,98.882,99.193,99.248,99.662,99.699,99.935,100.006,100.277,100.369,100.503,100.707,100.746,99.674,100.947,100.917,101.109,101.436,101.758,101.739,102.085,102.241,102.027,102.174,102.385,103.57,103.967,104.322,104.487,104.543,104.82,104.742,104.65,104.773,105.188,105.331,105.69,105.743,106.412,106.433,106.962,107.109,107.279,108.087,108.861,108.779,108.739,109.096,108.969,109.348,109.687,110.129,110.247,110.294,110.019,109.847,109.613,109.729,109.79,109.954,110.235,110.356,110.41,109.916,110.594,111.127,111.214,111.44,111.987,112.193,112.845,113.562,114.18,113.872,113.74,115.73,116.003
"24","16","  Nondurable goods manufacturing industries","PK30N3",77.578,77.308,77.168,76.656,76.345,76.082,75.78,76.223,76.163,76.241,76.383,76.492,75.806,75.505,75.35,75.288,75.283,75.132,75.09,74.835,74.534,74.66,74.543,74.57,74.782,74.264,74.662,75.553,75.627,75.733,76.389,77.136,77.707,77.952,78.442,79.337,79.454,80.617,81.515,80.766,80.905,82.13,82.123,81.674,82.566,82.701,83.276,83.464,83.546,83.485,83.089,83.596,83.855,83.471,82.161,82.29,82.886,80.95,80.384,79.615,79.346,79.452,80.395,81.238,80.619,80.981,81.619,81.738,82.891,83.289,83.164,83.329,84.663,86.954,87.476,84.954,84.036,85.066,85.153,85.689,85.646,86.167,86.678,87.538,88.415,88.644,88.747,89.848,90.982,90.978,91.482,91.694,92.334,94.529,95.499,94.597,95.306,96.442,97.77,97.92,96.975,97.901,98.981,100.403,103.696,106.587,103.628,104.6,105.508,104.568,104.75,106.022,106.652,108.071,107.455,108.675,105.479,104.913,106.014,107.502,104.438,105.887,108.9,111.38,113.003,112.894,114.529,112.502,113.527,114.023,118.665,117.275,119.066,120.128,125.115,126.801,131.514,134.594,139.171,135.214,135.49,126.454,117.202,110.021,110.707,109.934,108.518,110.616,112.685,116.069,114.458,117.027,116.159,116.1,118.49,118.697,121.425,120.25,122.626,124.081,125.068,123.907,123.84,124.536,125.295,127.466,128.994,130.619,132.497,135.501,140.496
"25","17","    Food manufacturing","PK3113",88.559,88.378,89.122,89.329,89.671,89.075,88.42,88.719,88.332,87.957,88.056,87.901,86.786,86.971,86.5,86.437,86.688,86.993,87,87.413,86.944,86.609,86.684,86.385,86.769,85.923,85.49,84.649,85.31,85.639,85.131,85.819,86.094,86.275,86.025,85.97,85.838,86.069,86.347,86.877,87.449,87.473,87.21,86.509,86.429,86.733,86.999,87.888,88.213,88.424,89.05,89.538,90.135,90.353,90.501,91.183,90.879,90.64,89.543,89.22,89.027,89.16,89.178,88.68,88.183,88.304,88.571,88.646,91.654,89.012,89.138,90.002,90.931,91.492,91.455,91.557,92.017,93.096,92.878,93.719,94.714,96.975,97.371,97.155,96.126,96.741,98.151,100.634,102.469,101.757,100.248,98.86,98.186,98.244,98.086,98.835,99.185,99.273,99.975,100.045,100.442,99.91,99.686,99.757,99.943,100.75,100.479,100.562,100.485,99.516,99.338,98.545,98.805,99.798,100.428,100.76,100.996,101.174,102.337,102.977,104.208,105.606,106.787,107.543,107.97,109.16,109.41,109.67,110.262,110.862,111.89,113.009,115.004,116.146,117.555,118.073,119.238,120.558,123.891,124.296,123.146,121.266,119.305,117.669,116.625,115.595,114.441,115.219,115.878,116.579,115.035,115.342,115.232,115.294,116.508,118.196,118.548,118.47,118.261,118.686,119.315,119.041,119.269,120.55,122.445,124.247,125.706,126.209,126.772,129.494,131.64
"26","18","    Beverage and tobacco product manufacturing","PK3123",68.882,68.851,69.21,69.838,70.02,69.986,69.999,69.982,70.846,70.955,70.904,71.107,71.256,71.691,71.768,72.663,73.45,73.548,73.576,74.501,74.651,74.901,75.071,82.437,82.439,82.731,82.702,82.753,82.922,82.977,83.431,83.407,86.475,86.617,86.568,86.818,85.393,87.61,87.63,87.008,87.742,87.747,87.769,88.877,88.94,89.091,89.009,89.293,91.896,92.027,92.284,92.118,94.28,94.371,94.426,94.444,94.424,94.692,95.463,95.482,94.795,95.055,94.981,96.509,96.521,96.71,96.713,96.756,96.94,96.742,97.231,94.936,94.65,94.337,94.792,94.424,94.467,94.501,94.665,94.536,94.497,95.341,95.084,95.376,96.329,96.236,95.853,96.682,95.563,96.467,96.108,96.482,96.1,96.562,96.578,97.029,99.058,99.079,99.355,99.586,99.722,99.928,100.168,100.481,100.532,100.49,100.705,100.674,100.839,101.405,101.89,101.836,101.838,102.25,101.792,101.125,101.428,101.302,101.905,102.237,102.498,103.817,103.528,104.173,104.209,104.452,104.524,105.031,105.324,105.984,106.092,106.142,106.681,107.416,107.648,107.848,108.931,109.037,110.12,109.711,110.113,110.995,111.019,111.384,112.194,113.759,114.913,114.44,113.931,114.383,114.502,114.377,114.784,115.308,115.947,115.978,116.088,116.356,116.879,116.551,117.85,117.665,117.436,117.198,117.2,118.532,118.868,119.433,119.19,120.167,121.389
"27","19","    Textile mills","PK3133",101.599,101.713,101.561,101.549,102.042,102.191,102.315,102.147,102.47,102.599,101.998,102.327,102.349,102.355,102.046,102.084,102.129,102.082,101.858,101.762,101.409,100.755,100.635,100.417,99.768,99.257,99.271,98.776,98.642,98.027,97.912,97.809,97.758,98.296,97.796,97.699,98.025,98.012,98.144,98.311,98.124,97.734,98.469,98.501,98.248,98.303,98.485,98.37,98.322,98.433,98.297,98.311,97.758,97.978,97.254,97.109,97.143,96.733,96.38,96.196,95.532,95.344,95.577,95.555,95.586,95.667,95.859,95.653,95.755,95.564,95.469,95.544,95.358,95.316,95.212,95.365,96.007,95.177,95.288,95.494,95.546,95.308,95.599,95.753,95.844,95.742,95.563,96.047,96.765,97.105,97.194,96.822,97.212,97.392,97.488,97.348,98.46,98.643,98.913,99.396,99.557,99.649,99.974,100.019,100.915,101.151,101.636,102.217,102.69,103.285,103.428,103.332,103.771,103.702,103.796,104.109,103.919,104.407,104.504,104.025,103.918,104.552,104.536,104.213,104.372,104.797,105.452,105.85,106.063,106.2,106.379,106.572,107.384,107.575,107.448,107.72,108.596,108.744,109.586,110.739,111.453,110.987,110.846,109.105,108.955,108.734,108.665,109.016,108.726,109.057,109.08,108.673,108.998,109.072,109.252,109.602,109.803,110.099,111.457,111.928,113.317,114.118,114.315,114.763,114.904,115.223,115.449,116.409,117.934,120.373,121.637
"28","20","    Textile product mills","PK3143",91.871,91.776,92.271,91.306,91.54,91.667,92.079,92.005,92.11,92.239,92.726,92.728,92.636,92.671,92.695,92.617,92.657,92.774,92.556,92.556,92.386,92.335,92.541,92.369,91.942,91.838,92.154,91.979,91.942,92.453,92.118,92.106,92.267,92.382,92.428,92.274,91.993,92.389,92.957,92.956,93.064,93.672,93.274,93.541,93.151,93.567,93.428,93.986,94.258,94.504,93.863,94.477,94.277,94.194,94.8,94.243,93.726,94.555,94.306,94.071,94.558,94.154,94.085,94.331,93.991,94.356,94.706,94.865,94.431,94.349,94.7,93.924,94.107,94.067,94.423,94.9,94.97,95.717,95.623,95.514,95.345,95.591,96.689,95.326,95.195,95.238,94.232,95.101,95.604,96.295,96.559,97.124,96.97,97.439,98.551,98.536,98.25,98.459,99.452,99.73,99.702,99.855,100.123,100.08,100.402,100.487,101.903,101.631,102.523,102.836,102.559,102.359,101.912,102.106,102.134,103.202,103.867,103.727,103.695,103.61,103.894,104.032,103.783,103.749,104.281,104.232,104.598,104.531,104.788,104.948,104.95,105.008,104.939,105.306,105.574,105.806,105.874,105.883,107.314,108.222,108.149,108.736,108.948,108.777,108.941,108.506,108.807,109.855,109.81,110.433,110.098,109.954,110.619,110.832,110.728,110.798,111.025,110.332,111.904,111.878,113.648,112.727,112.959,113.029,113.346,113.461,113.391,114.06,114.438,116.299,115.177
"29","21","    Apparel manufacturing","PK3153",98.925,98.999,99.153,98.897,99.286,99.367,99.358,99.49,99.628,99.391,99.734,99.677,99.845,99.815,99.754,99.804,99.841,99.924,100.043,99.977,100.153,100.35,100.204,100.196,100.257,100.275,100.333,100.367,100.519,100.098,99.913,100.424,100.463,100.419,100.482,100.544,100.401,100.463,100.645,100.67,100.586,100.664,100.873,100.791,100.894,100.93,100.868,100.931,100.923,100.986,100.799,100.846,100.757,100.646,100.675,100.841,100.732,100.783,100.777,100.461,100.415,100.322,100.148,99.947,100,100.008,99.997,99.998,100.083,100.205,100.209,100.31,99.872,99.846,100.073,99.974,99.827,99.719,99.582,99.766,99.907,99.953,99.917,99.928,99.894,99.748,99.798,99.908,100.08,99.798,99.707,99.736,100.284,100.456,100.647,100.565,100.471,100.309,99.794,99.778,99.893,100.005,99.87,99.886,100.405,99.904,99.894,99.779,99.986,100.161,100.182,100.197,100.257,100.189,100.148,100.371,100.423,100.79,100.702,100.678,101.197,101.438,101.378,101.511,101.365,101.342,101.419,101.466,101.474,101.664,101.702,101.694,101.882,101.877,102.16,102.427,102.427,102.355,102.586,102.876,103.137,103.468,103.627,103.608,103.891,103.888,103.928,103.881,103.69,103.705,103.595,103.654,103.881,104.01,103.975,103.971,103.882,103.83,103.821,104.08,104.049,104.066,104.186,104.092,103.769,103.793,104.014,104.029,104.335,105.003,105.07
"30","22","    Leather and allied product manufacturing","PK3163",93.253,93.589,93.493,93.716,93.035,92.604,92.704,92.549,92.595,93.3,93.823,93.352,93.19,93.049,92.991,92.603,92.723,92.706,92.943,92.684,92.746,92.618,92.226,92.453,91.783,91.976,91.898,91.943,91.801,92.124,92.254,92.312,92.468,92.683,92.712,92.747,93.118,93.25,93.145,93.324,93.042,92.936,93.131,93.468,94.076,94.099,94.743,95.084,95.23,96.017,96.419,97.718,98.2,97.515,97.449,97.717,96.793,96.449,96.021,95.586,96.056,95.647,95.695,95.787,96.209,96.713,97.066,97.873,97.783,97.616,97.978,98.112,98.147,98.253,98.275,98.672,98.098,98.448,98.542,98.406,98.897,99.258,99.459,99.39,99.578,99.738,99.824,99.516,99.426,99.559,99.719,99.563,99.487,99.45,99.667,99.728,99.747,99.833,99.904,99.868,99.905,100.079,100.206,100.057,99.994,100.149,100.186,100.146,100.25,100.445,100.767,101.245,101.384,101.349,101.47,101.635,101.607,101.88,102.025,102.19,102.88,102.909,103.294,103.546,103.499,103.345,103.345,103.784,103.807,104.159,104.29,104.643,105.251,105.503,105.625,105.694,105.444,106.177,106.369,106.648,107.03,106.852,106.675,106.637,106.491,106.621,106.544,105.768,105.707,105.623,105.262,105.578,105.574,105.114,104.847,104.854,105.013,105.164,105.495,106.421,106.887,106.882,107.143,107.48,107.839,108.947,108.824,109.12,109.931,110.941,110.853
"31","23","    Paper manufacturing","PK3223",86.652,85.978,85.246,84.735,84.695,84.845,85.055,85.617,86.639,87.064,88.027,88.99,89.252,89.415,89.264,88.835,88.807,88.553,88.44,88.117,87.578,86.934,86.479,86.156,85.73,85.581,86.078,86.663,87.07,87.483,87.992,88.837,89.745,90.525,90.714,90.894,91.339,91.636,93.039,94.452,95.36,95.59,95.583,95.647,95.885,95.86,95.831,95.769,95.665,95.651,95.631,95.703,95.294,95.154,94.911,94.23,94.094,93.664,93.319,93.433,93.052,92.608,92.328,92.385,91.957,92.004,92.171,92.638,93.01,93.406,93.572,93.484,93.388,93.478,93.246,93.392,93.559,93.414,93.258,93.401,93.117,92.947,92.932,92.98,92.361,92.497,92.517,93.262,94.163,95.319,96.206,97.348,97.812,98.338,98.562,98.854,99.14,99.51,99.952,100.189,100.335,100.315,100.168,99.748,99.553,99.585,100.599,100.89,101.476,102.927,103.749,103.83,105.021,106.052,106.253,106.564,106.993,107.168,106.968,107.312,107.533,107.487,107.417,107.651,107.623,107.702,107.87,108.012,108.482,109.526,110.219,110.518,111.301,111.796,112.245,112.824,113.255,113.786,114.717,117.27,118.809,119.36,119.218,119.169,118.535,117.664,117.118,116.112,114.762,114.075,113.282,112.885,112.774,112.637,112.862,113,113.183,114.36,115.873,116.899,118.939,120.308,121.029,121.426,122.277,122.307,122.331,122.784,123.34,123.461,123.815
"32","24","    Printing and related support activities","PK3233",89.264,89.282,89.214,89.378,89.341,89.434,89.661,89.845,89.905,90.776,90.885,90.939,91.184,91.215,91.381,91.659,91.607,91.504,91.713,91.756,91.817,91.987,92.022,92.07,91.767,91.824,92.013,92.065,92.157,92.173,92.269,92.421,92.41,92.677,92.862,92.937,92.989,93.143,93.562,94.086,94.183,94.939,95.12,95.226,95.293,95.682,95.662,95.842,95.949,96.106,96.224,96.638,96.402,96.294,96.364,96.195,96.162,96.134,96.188,95.96,96.147,96.247,95.891,96.066,96.067,96.109,96.194,96.061,96.098,96.094,96.1,96.169,96.259,96.49,96.496,96.52,96.604,96.674,96.488,96.628,96.639,96.698,96.721,96.68,96.837,96.842,97.088,97.535,97.525,97.622,97.989,98.072,98.575,98.656,98.915,98.976,99.346,99.227,99.407,99.452,99.534,99.747,100.099,100.272,100.569,100.703,100.779,100.906,101.361,101.738,101.987,102.12,102.249,102.439,102.533,102.777,102.896,103.292,103.367,103.389,103.38,103.237,103.492,103.681,103.83,103.88,104.156,104.381,104.59,104.808,104.912,105.19,105.632,105.936,105.989,106.579,106.76,106.938,107.391,107.909,108.24,108.265,108.132,108.149,108.007,107.469,107.512,107.293,107.128,107.048,106.17,106.015,106.139,106.343,106.498,106.523,106.152,106.3,106.382,106.401,106.573,106.806,107.02,106.653,106.923,107.22,107.456,107.84,107.7,107.787,107.854
"33","25","    Petroleum and coal product manufacturing","PK3243",48.718,47.818,46.538,43.664,41.374,40.632,39.562,41.228,40.581,40.856,40.959,41.265,38.732,36.653,34.917,34.521,33.968,32.938,32.812,30.912,30.348,31.744,31.239,29.624,30.894,29.449,31.747,37.199,36.191,35.718,38.952,41.554,42.487,42.022,44.527,49.069,49.83,54.67,58.378,52.753,51.76,57.659,56.957,54.851,59.018,59.076,61.656,61.296,59.602,58.387,55.057,56.956,57.851,55.786,50.068,51.061,54.47,45.604,44.032,41.322,40.703,41.324,45.377,49.451,47.113,48.253,50.138,50.319,52.276,56.688,55.504,56.465,61.416,72.468,73.662,57.991,52.681,56.944,58.141,60.149,58.621,58.164,60.396,64.85,69.671,69.403,67.693,68.865,71.881,70.739,73.739,74.893,76.776,86.089,89.734,82.524,83.226,88.091,92.394,91.897,86.895,91.867,96.564,103.291,117.853,128.638,110.176,114.565,117.077,112.283,113.002,120.791,122.558,127.637,123.543,128.444,111.394,107.881,112.421,118.583,101.802,106.432,119.018,130.129,137.596,134.546,142.002,129.373,134.052,133.834,153.405,144.696,147.96,149.82,169.412,174.755,193.193,204.197,215.989,191.913,192.009,149.804,109.72,81.68,87.953,86.964,82.647,92.06,102.472,118.629,112.377,125.451,120.339,119.987,129.075,127.088,138.036,130.655,139.242,144.101,146.747,140.683,139.68,141.138,141.338,148.007,151.693,157.829,163.506,171.068,189.531
"34","26","    Chemical manufacturing","PK3253",79.653,79.695,79.644,79.576,79.69,79.692,79.769,79.796,79.845,79.958,80.029,80.033,79.957,79.937,81.127,81.071,81.088,81.078,81.07,81.035,80.846,80.77,80.738,80.689,80.535,80.298,80.281,80.272,80.531,80.894,81.264,81.245,81.589,82.397,82.506,82.535,82.666,82.836,82.879,83.034,83.465,83.587,84.046,84.251,84.697,84.839,84.751,84.878,85.625,86.047,86.199,86.272,85.721,85.633,84.64,84.196,84.489,83.979,83.978,83.582,83.546,83.526,84.02,84.112,84.016,84.205,84.986,85.056,85.082,85.668,85.912,85.543,86.312,86.96,88.059,88.608,88.47,88.364,88.059,87.842,88.006,88.228,88.183,88.346,89.032,89.423,89.915,90.478,90.689,91.481,92.134,92.884,94.034,94.929,95.679,96.585,97.542,97.824,98.47,99.094,99.101,98.917,99.417,99.514,100.204,102.246,103.724,103.75,104.628,104.925,104.943,104.439,104.934,105.128,105.297,105.65,105.78,105.993,105.798,106.172,106.354,106.686,107.272,107.595,107.981,108.556,109.073,109.539,109.439,110.497,111.769,112.321,114.146,115.306,117.059,118.382,120.283,122.115,125.977,127.619,129.391,128.108,126.59,124.545,122.999,122.365,122,121.271,120.556,120.139,120.942,120.682,121.34,121.338,121.52,122.496,123.04,124.365,125.562,126.484,126.46,126.335,126.537,126.841,127.33,128.18,129.401,129.594,131.54,133.122,134.212
"35","27","    Plastics and rubber product manufacturing","PK3263",87.17,87.151,87.091,87.27,87.311,87.286,87.251,87.245,87.134,87.078,87.152,87.1,87.089,87.104,87.123,87.057,86.951,86.887,86.704,86.591,86.494,86.364,86.319,86.366,86.26,86.25,86.274,86.569,86.635,86.884,87.002,87.295,87.406,87.563,87.829,87.918,88.104,88.14,88.152,88.376,88.284,88.697,89.245,88.988,89.216,89.119,89.767,89.782,89.754,89.668,90.072,89.979,90.207,90.15,90.084,89.673,89.493,89.384,89.428,89.343,89.146,88.836,88.995,89.211,89.43,89.831,89.678,89.881,90.166,90.164,89.806,89.85,90.211,90.935,91.56,92.178,92.203,91.98,91.841,91.79,91.656,91.606,91.537,91.735,91.845,92.189,92.355,92.587,92.886,93.268,93.584,93.666,94.629,95.283,95.944,96.593,97.492,98.072,98.678,98.961,99.064,99.416,99.552,99.299,100.297,101.699,103.313,103.918,104.713,104.77,104.623,104.686,104.598,104.708,105.06,105.356,105.507,105.724,105.54,105.552,105.209,105.088,104.947,104.96,105.21,105.313,105.683,106.295,106.302,106.623,106.981,107.604,108.6,109.034,109.637,109.994,111.004,111.676,113.828,114.911,115.822,116.313,115.856,114.792,113.984,112.966,112.735,112.741,112.717,112.384,112.26,112.323,112.82,113.036,113.34,113.47,113.65,114.249,114.967,115.739,116.271,116.903,116.757,116.52,116.818,117.065,117.389,117.681,118.111,119.515,120.339
"36","28","Merchant wholesale industries","PK42W3",96.05,95.669,95.643,95.148,94.637,94.047,93.776,93.917,93.689,93.786,93.382,93.28,92.258,91.87,91.362,90.984,90.577,90.011,90.056,88.865,88.613,88.881,88.538,88.127,88.337,87.752,88.016,88.664,88.665,88.732,88.926,89.499,89.934,89.797,90.165,90.797,90.947,91.716,92.153,91.592,91.762,91.96,91.776,91.152,91.906,92.157,92.371,92.23,92.081,91.671,91.309,91.262,91.327,90.997,90.302,90.251,90.531,89.214,88.818,88.529,88.466,88.601,89.156,89.12,88.946,89.184,89.695,89.969,90.445,91.026,90.535,90.454,91.225,92.599,92.804,91.09,90.691,91.018,90.938,91.385,91.729,92.223,92.701,93.41,94.133,94.393,94.83,95.321,95.91,95.495,95.852,96.18,96.564,97.918,98.262,97.667,97.958,98.475,99.301,99.204,98.579,98.808,99.343,100.066,101.701,102.673,101.463,102.2,102.713,102.232,102.354,103.483,104.101,104.658,104.507,105.048,103.766,103.822,104.785,105.656,104.853,106.29,106.965,107.538,107.751,107.828,108.355,108.046,109.615,111.032,114.159,114.492,116.05,116.904,118.824,119.539,121.418,123.608,125.111,123.311,123.191,116.854,111.009,106.069,106.889,106.345,105.016,105.755,106.9,109.128,107.2,110.036,110.066,111.709,113.018,114.021,115.951,115.166,116.077,116.026,114.305,112.186,112.438,113.85,115.908,118.672,120.421,122.546,124.513,126.958,127.618
"37","29","  Durable goods merchant wholesale industries","PK42WD3",112.976,112.799,112.727,112.453,111.872,111.665,111.299,111.069,110.655,110.267,110.019,109.697,109.077,108.553,108.156,107.564,107.104,106.526,106.144,105.35,105.065,104.644,104.341,103.943,103.542,103.421,103.114,102.811,102.714,102.649,102.639,102.444,102.393,102.41,102.541,102.519,102.54,102.366,102.268,102.135,101.996,101.858,101.776,101.266,101.282,101.096,100.878,100.622,99.837,99.368,99.103,99.01,98.967,98.83,98.577,98.156,98.05,97.442,97.206,97.006,96.864,96.829,96.821,96.717,96.731,96.838,96.593,96.419,96.533,96.606,96.293,96.142,96.166,96.059,96.276,95.891,95.93,95.859,95.816,95.89,96.096,96.303,96.529,96.669,97.076,97.656,98.216,98.448,98.569,98.505,99.09,99.745,99.754,100.22,100.362,100.47,100.488,100.422,100.314,100.32,99.853,99.427,99.372,99.643,100.028,99.696,100.094,100.353,100.63,100.925,101.085,101.372,102.155,102.194,101.82,101.864,102.137,101.642,102.196,102.331,102.299,102.518,103.041,103.021,102.849,102.949,103.001,102.984,102.855,103.194,103.409,103.492,103.871,104.382,105.016,106.346,107.108,107.77,108.803,108.775,107.535,105.79,103.759,103.263,103.185,102.723,102.398,102.062,102.266,102.58,102.807,103.559,103.83,104.088,104.365,104.971,105.48,105.576,106.073,106.427,106.343,105.588,105.243,105.337,105.709,106.15,106.834,107.368,107.877,108.351,108.452
"38","30","    Motor vehicles, parts, and supplies wholesalers","PK42113",102.579,102.428,102.577,102.257,101.817,102.033,101.337,101.4,100.974,100.455,100.264,99.989,100.224,100.446,100.518,100.397,100.132,100.015,100.629,100.419,100.414,100.722,101.048,100.876,100.702,100.871,100.657,100.872,101.121,101.059,100.967,101.047,101.097,101.708,101.409,101.43,101.386,101.291,101.486,101.428,102.02,101.748,101.779,101.567,101.929,101.309,101.907,102.186,102.15,101.028,101.485,101.885,101.12,100.989,101.853,101.751,102.115,100.169,100.238,100.701,100.223,100.657,100.278,100.087,99.793,99.934,99.058,98.712,99.146,99.593,98.923,98.596,98.87,99.137,100.672,98.7,98.703,98.193,98.449,98.571,98.072,99.035,98.72,98.354,98.296,98.375,98.757,98.505,98.807,98.992,98.37,98.518,99.056,99.981,99.789,100.123,100.436,99.773,99.645,99.872,100.286,99.994,100.852,100.803,101.446,98.821,98.984,99.19,99.412,99.87,100.05,100.403,100.33,100.406,96.916,97.908,98.496,96.314,99.244,98.995,98.531,98.453,98.39,98.352,98.428,98.758,99.298,99.136,98.516,98.714,99.423,99.156,99.524,99.65,99.371,99.989,99.9,100.628,100.915,101.462,101.27,102.258,101.444,101.769,101.588,101.441,101.395,101.838,102.043,103.481,102.842,103.704,103.131,102.283,102.991,103.12,103.657,103.818,103.7,103.756,104.201,103.857,104.417,104.762,104.871,103.044,103.038,103.016,103.383,103.65,104.218
"39","31","    Furniture and home furnishings wholesalers","PK42123",90.299,90.314,90.409,90.11,90.333,90.329,90.635,90.576,90.632,90.73,90.848,90.887,90.899,91,91.101,91.02,91.221,91.07,90.904,90.93,90.884,91.031,91.13,91.164,90.995,90.887,91.127,91.057,91.145,91.412,91.309,91.375,91.402,91.592,91.623,91.602,91.69,91.938,92.158,92.238,92.239,92.522,92.461,92.821,92.662,92.938,92.885,93.16,93.056,93.308,93.059,93.42,93.256,93.09,93.339,93.015,92.899,93.305,93.194,93.157,93.464,93.365,93.29,93.367,93.168,93.459,93.781,93.777,93.917,93.975,94.184,93.845,93.986,94.018,94.143,94.362,94.46,94.837,94.855,94.828,94.57,94.813,95.332,94.692,94.619,94.862,94.556,95.114,95.658,96.056,96.339,96.877,96.85,97.228,98.187,98.378,98.371,98.664,99.234,99.54,99.794,99.933,100.245,100.17,100.367,100.591,101.414,101.519,102.229,102.498,102.48,102.438,102.368,102.548,102.862,103.316,103.744,103.847,103.891,103.84,104.581,105.007,104.858,105.005,105.38,105.385,105.494,105.464,105.64,105.881,106.2,106.206,106.357,106.887,107.032,107.686,107.805,108.28,109.146,109.775,110.163,110.805,110.92,111.006,111.49,111.472,111.42,112.132,112.032,112.011,112.143,111.925,112.453,112.457,112.501,112.509,112.449,111.66,112.628,112.681,114.224,113.58,113.482,113.616,113.956,114.062,114.058,114.421,115.342,115.378,115.871
