"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"25","17","S3 PN4452ZZMG     Specialty food stores","T070173",74.219,74.506,74.738,74.665,74.443,74.74,74.681,75.282,75.443,75.394,75.289,75.295,75.351,75.529,75.531,75.751,76.413,76.187,76.119,76.37,76.418,76.742,76.817,77.102,77.219,77.178,76.959,77.191,77.389,77.763,77.967,77.922,77.993,77.769,77.832,78.266,78.215,78.497,78.431,79.091,79.155,79.145,79.3,79.346,79.569,79.87,79.749,80.002,80.226,80.641,81.067,81.395,81.348,81.941,82.34,82.57,82.981,83.456,83.646,83.62,83.457,83.925,83.72,83.726,83.634,83.834,83.861,84.039,84.102,84.14,84.376,84.343,84.734,84.619,84.76,84.846,85.024,85.059,85.251,85.592,85.395,85.828,85.957,85.94,86.334,86.335,86.197,86.362,86.461,86.454,86.512,86.646,86.941,87.024,87.269,87.26,87.272,87.504,87.74,87.831,88.357,88.356,88.816,89.149,89.22,89.297,89.216,89.901,89.868,90.577,90.782,90.877,91.057,91.436,91.764,91.942,91.952,92.415,92.279,92.192,92.651,92.952,93.154,93.422,92.767,92.712,92.84,92.795,92.835,92.723,93.089,93.007,93.147,93.696,93.997,93.91,93.988,94.746,94.84,95.299,95.561,95.9,96.487,97.017,96.689,96.815,97.237,97.369,98.311,98.463,98.578,98.636,98.314,99.134,99.597,99.384,99.042,98.768,99.03,100.093,100.11,99.926,100.128,100.118,100.313,100.513,100.887,101.069,101.366,101.127,101.216,101.008,101.066,101.404,101.682,101.992,102.399,102.653,102.48,102.354,103.039,104.034,104.501,104.973,105.336,105.843,106.095,106.423,106.888,107.312,107.884,108.117,108.892,109.363,109.744,111.154,111.822,112.714,114.061,114.796,115.38,115.618,115.719,115.548,115.555,115.195,114.75,114.417,113.791,113.847,113.198,113.187,112.817,112.873,112.891,113.206
"26","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",79.18,79.38,79.617,79.545,79.91,79.969,80.01,80.066,80.315,80.457,80.452,80.522,80.754,80.922,80.786,80.809,80.655,80.702,80.665,80.456,80.31,80.22,80.411,80.477,80.583,80.513,80.474,80.452,80.428,80.585,80.66,80.493,80.416,80.378,80.548,80.541,80.445,80.545,80.655,80.91,81.054,81.054,80.931,81.336,81.325,81.432,81.587,81.354,81.825,82.064,82.41,82.479,82.71,82.955,83.17,83.307,83.564,83.802,83.897,84.115,84.246,84.506,84.56,84.775,84.942,84.858,84.959,85.234,85.263,85.433,85.339,85.443,85.47,85.464,85.283,85.669,85.842,85.891,85.881,85.993,86.386,86.56,86.577,87.385,87.701,87.991,87.755,88.19,88.286,88.342,88.782,88.875,89.441,89.427,89.685,90.14,90.324,90.591,91.054,91.378,91.274,91.602,91.904,91.997,92.107,92.178,92.466,92.519,92.753,92.924,92.951,93.312,93.451,93.601,94.026,93.944,94.406,94.348,94.521,94.32,94.618,94.957,94.69,95.112,95.194,95.483,95.558,95.812,95.752,95.911,95.889,95.976,96.13,96.107,96.28,96.27,96.399,96.5,96.656,96.83,97.058,97.082,97.328,97.683,97.854,97.439,97.78,98.409,98.163,98.403,98.364,98.576,98.975,99.078,99.414,99.456,99.353,99.533,99.652,99.738,99.697,99.693,99.787,100.183,100.534,100.512,100.595,100.632,101.048,101.371,101.351,101.352,101.562,101.904,101.757,101.637,101.582,101.857,101.94,102.106,102.345,102.802,103.34,103.367,103.634,104.122,104.119,104.324,104.179,104.638,104.746,105.03,105.579,105.935,105.758,106.671,106.914,106.818,107.415,107.751,108.31,108.394,108.714,109.056,109.327,109.279,109.751,109.952,110.315,110.586,110.819,111.264,111.206,111.536,111.761,111.592
"27","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",119.974,119.826,119.855,119.486,120.118,120.098,120.417,120.227,120.185,120.346,120.655,120.82,120.224,120.377,119.637,119.951,119.495,119.125,119.087,119.893,119.521,119.107,119.741,119.386,118.451,118.086,118.719,118.621,118.733,119.063,118.872,118.205,118.189,117.531,117.864,117.455,117.272,116.021,116.351,116.506,115.577,115.283,115.449,116.062,116.139,115.999,115.536,115.587,115.68,115.293,115.844,115.301,115.027,114.364,113.891,112.362,113.797,113.569,113.631,113.454,113.838,113.526,113.663,114.475,114.867,114.527,114.209,112.962,113.127,112.835,112.712,112.851,112.442,111.628,111.11,110.992,111.438,111.118,111.138,112.4,111.03,111.095,111.298,110.39,110.04,109.413,108.93,110.081,110.118,110.077,109.959,109.657,109.715,109.811,109.541,109.636,109.192,109.011,109.021,108.662,108.327,107.949,107.723,107.541,108.025,108.06,108.076,107.872,108.425,108.489,108.586,107.511,106.66,106.965,106.914,106.109,105.466,105.638,105.264,104.969,104.618,104.521,105.137,104.98,104.509,104.067,103.679,104.22,103.621,103.322,103.25,102.946,102.371,102.185,101.268,101.083,100.833,101.215,101.612,101.516,101.42,101.468,101.201,100.553,100.765,100.756,100.995,101.194,101.407,101.605,101.401,100.78,100.522,100.798,101.048,100.572,100.615,100.572,100.755,100.292,100.282,99.771,99.454,99.945,99.829,99.51,99.655,99.322,99.479,98.72,99.443,100.046,100.323,100.486,99.731,100.477,100.68,100.395,100.118,100.401,100.854,101.34,100.875,100.122,100.162,100.086,99.691,99.231,99.417,99.965,100.352,100.799,101.027,100.457,100.007,100.22,100.142,100.028,100.891,101.37,101.39,100.847,100.846,100.284,100.192,100.782,100.942,101.117,100.721,101.524,101.876,101.793,102.312,101.872,101.541,101.981
"28","20","S2 PN4481ZZMG     Clothing stores","T070203",121.331,120.661,120.791,120.608,121.202,121.04,121.128,120.922,121.168,121.263,121.711,121.707,120.751,121.568,120.956,120.74,120.07,119.7,119.791,121.007,120.025,119.56,120.456,120.238,119.032,118.199,118.665,119.027,118.946,119.387,119.159,118.203,118.454,118.016,118.144,117.672,117.279,115.786,116.092,116.158,115.677,114.712,115.165,115.635,115.723,115.835,115.266,115.189,115.703,115.36,115.621,115.429,115.023,114.197,113.569,112.12,113.734,113.398,113.6,113.821,114.239,113.779,113.871,115.408,115.882,115.405,114.872,113.338,113.611,113.1,113.3,113.303,112.753,111.841,111.549,111.386,111.968,111.754,111.839,113.445,111.725,111.975,112.139,111.298,110.999,110.193,109.773,110.91,111.071,111.267,110.988,110.805,111.082,111.359,110.936,111.334,110.799,110.419,110.398,109.793,109.715,109.537,109.474,109.339,109.548,109.645,109.412,109.136,109.489,109.827,109.797,108.887,107.882,107.881,107.534,106.772,106.646,106.282,106.074,105.639,105.384,105.67,105.811,105.738,105.181,104.74,104.407,105.277,104.351,103.94,103.97,103.613,102.992,102.74,101.954,101.756,101.522,101.779,102.124,102.085,102.1,102.235,101.912,101.375,101.425,101.33,101.54,101.602,101.76,102.071,102.004,101.244,100.845,101.437,101.663,100.551,100.989,100.687,101.062,100.669,100.525,100.048,99.579,99.74,99.069,99.044,99.489,99.102,98.948,98.171,99.292,99.739,99.796,100.072,99.236,99.912,100.078,99.715,99.235,99.42,99.755,100.128,99.997,99.133,98.966,98.326,97.961,97.596,97.704,98.208,98.654,99.191,99.446,98.313,97.493,97.543,97.486,97.339,98.165,98.783,98.793,97.896,98.025,97.383,97.487,98.005,98.136,98.257,97.997,99.029,99.409,99.439,99.789,99.215,98.713,99.179
"29","21","S2 PN4482ZZMG     Shoe stores","T070213",109.062,109.193,109.86,109.713,109.906,110.226,110.597,111.064,110.633,111.024,110.598,111.321,110.854,110.537,110.299,110.554,111.006,110.49,110.037,109.735,110.406,110.342,110.914,110.564,110.63,109.719,109.52,109.945,110.601,110.984,109.9,109.475,108.618,107.671,108.248,107.952,108.291,108.275,108.254,108.465,107.653,107.408,107.369,107.608,108.825,108.092,107.651,106.658,106.322,107.613,108.839,107.378,107.824,107.77,106.996,105.695,106.901,106.456,106.61,106.663,106.516,106.604,106.606,107.027,107.449,106.339,106.571,106.942,107.305,107.789,106.796,107.302,107.423,105.869,104.906,104.709,105.797,106.514,106.215,106.775,106.359,105.013,105.613,104.92,104.895,103.759,103.709,104.334,103.521,103.386,103.96,102.873,102.479,102.194,102.45,102.135,102.034,101.931,102.216,102.306,102.463,102.148,100.569,100.343,102.428,101.344,101.581,102.009,101.73,102.024,102.056,100.745,100.943,100.643,101.566,101.204,100.506,100.734,100.041,99.318,97.973,99.152,100.37,100.277,100.724,99.727,99.792,99.619,98.955,99.066,99.291,99.256,99.772,99.021,97.227,96.668,96.916,97.886,98.794,97.905,97.659,97.887,97.875,97.324,96.732,96.807,97.319,97.531,97.556,97.675,96.785,97.505,98.722,97.978,98.307,98.72,99.267,99.77,99.271,99.474,99.607,99.909,99.778,100.701,101.731,101.141,99.922,99.385,101.212,100.699,101.062,101.053,101.324,100.829,99.697,99.959,100.405,100.358,100.026,100.496,102.085,103.631,101.29,100.507,101.325,104.052,103.024,102.162,103.109,103.987,104.29,104.46,105.221,107.194,108.174,109.281,109.033,109.556,110.808,110.89,111.08,111.331,110.536,111.141,110.021,110.939,111.335,111.766,110.399,110.463,111.041,109.973,111.744,112.492,112.927,113.041
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",123.67,125.857,124.513,122.893,124.27,124.586,126.112,125.175,124.022,124.265,124.734,125.098,126.351,123.411,121.381,124.633,124.217,124.026,123.817,123.905,125.3,124.754,124.139,123.134,122.384,124.995,127.521,124.427,124.89,124.591,125.641,126.149,125.804,124.43,125.444,125.207,125.435,123.998,124.82,125.317,122.153,124.982,124.001,125.71,124.431,123.771,123.79,125.627,124.243,121.77,122.881,121.782,121.304,120.72,121.304,119.179,120.021,120.525,119.84,117.572,118.374,118.314,118.788,116.656,116.611,117.791,117.877,116.218,115.646,115.555,114.855,115.248,114.95,115.382,114.294,114.443,113.569,111.713,111.766,112.163,111.429,112.108,112.074,110.656,109.762,110.458,109.273,110.999,111.317,110.312,110.237,110.159,109.689,109.362,109.254,108.48,108.095,108.654,108.534,108.83,106.952,105.679,105.951,105.611,105.849,106.596,107.516,107.063,109.27,107.891,108.604,106.996,105.847,108.185,108.582,107.14,104.1,106.783,105.936,106.709,106.866,103.764,105.99,105.39,104.49,104.558,103.5,103.165,104.121,103.99,103.175,102.881,101.59,102.197,101.447,101.65,100.868,101.316,101.509,101.856,101.376,100.863,100.634,99.405,101.04,101.355,101.507,102.333,102.965,102.69,102.419,101.308,100.476,100.1,100.388,102.21,99.932,100.665,100.484,99.15,99.653,98.285,98.542,100.298,101.979,100.414,100.244,100.355,100.616,99.728,98.861,100.707,102.063,102.217,102.195,103.717,103.884,103.793,104.612,105.241,105.362,105.55,104.893,104.765,105.264,105.966,106.006,105.354,105.349,105.869,105.972,106.1,105.719,106.381,107.013,107.486,107.426,106.996,107.753,107.732,107.663,108.658,108.456,107.565,107.009,107.792,107.958,108.281,107.76,107.646,107.645,107.572,108.231,107.798,108.038,108.532
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",99.917,100.128,100.283,100.422,100.443,100.343,100.6,100.677,100.657,100.691,100.944,100.851,100.626,100.779,100.769,100.843,100.902,100.761,100.797,101.125,100.889,101.016,101.409,101.391,101.095,100.86,101.026,101.268,101.351,101.642,101.679,101.433,101.467,101.316,101.51,101.42,101.394,101.043,101.057,101.269,101.078,100.775,101.054,101.494,101.654,101.786,101.587,101.571,101.872,102.067,102.273,102.366,102.152,101.942,101.928,101.65,102.273,102.215,102.268,102.259,102.462,102.475,102.5,102.876,102.955,102.816,102.669,102.163,102.269,102.187,102.222,102.134,102.203,102.031,101.868,102.031,102.194,101.965,102.119,102.492,102.004,102.199,102.11,102.018,102.303,101.918,101.608,102.156,102.105,102.181,102.22,102.133,102.353,102.341,102.237,102.266,102.193,102.103,102.339,102.335,102.419,102.311,102.496,102.406,102.549,102.466,102.493,102.514,102.749,102.929,102.769,102.701,102.277,102.516,102.615,102.308,102.372,102.326,102.274,101.938,101.921,101.984,101.941,102.168,101.738,101.553,101.404,101.499,101.25,101.023,100.984,100.706,100.502,100.459,100.241,100.177,99.856,100.013,100.201,100.169,100.119,100.136,100.112,99.96,99.995,100.09,100.24,100.275,100.405,100.404,100.261,99.982,99.87,100.231,100.332,99.991,100.052,99.964,100.009,100.24,100.321,100.002,99.928,99.91,99.864,99.873,99.928,99.909,100.007,99.816,99.995,100.035,100.058,100.032,99.879,100.043,100.088,100.029,99.709,99.709,99.73,99.976,100.002,99.79,99.725,99.736,99.631,99.255,99.239,99.569,99.767,99.783,100.064,99.987,100.05,100.163,100.257,100.323,100.662,100.838,101.122,101.033,100.658,100.315,100.442,100.692,100.754,100.762,100.681,100.764,100.505,100.17,100.157,99.776,99.356,99.225
"32","24","S1 PN4521ZZMG     Department stores","T070243",108.067,108.264,108.414,108.567,108.613,108.451,108.735,108.748,108.735,108.77,109.068,108.944,108.605,108.77,108.739,108.77,108.714,108.59,108.653,109.123,108.854,108.899,109.399,109.307,108.882,108.564,108.783,109.077,109.142,109.452,109.436,109.098,109.132,108.917,109.167,108.961,108.888,108.329,108.349,108.483,108.2,107.77,108.07,108.595,108.749,108.857,108.562,108.499,108.81,108.952,109.149,109.185,108.888,108.499,108.349,107.899,108.695,108.501,108.538,108.559,108.829,108.74,108.785,109.282,109.418,109.23,108.982,108.272,108.38,108.227,108.236,108.156,108.147,107.838,107.628,107.743,107.929,107.64,107.764,108.277,107.541,107.738,107.654,107.229,107.404,106.907,106.566,107.22,107.179,107.27,107.233,107.108,107.239,107.254,107.07,107.121,106.938,106.717,106.92,106.783,106.782,106.643,106.707,106.508,106.639,106.561,106.516,106.457,106.754,106.86,106.63,106.349,105.687,105.913,105.871,105.462,105.45,105.36,105.246,104.888,104.739,104.701,104.694,104.775,104.401,104.102,103.827,104.011,103.61,103.405,103.272,102.887,102.524,102.33,101.916,101.856,101.478,101.57,101.796,101.669,101.55,101.534,101.316,100.911,100.995,101.063,101.156,101.171,101.172,101.165,100.914,100.474,100.35,100.679,100.735,100.219,100.427,100.366,100.418,100.414,100.477,100.065,99.829,99.825,99.613,99.542,99.559,99.464,99.506,99.163,99.487,99.626,99.632,99.546,99.2,99.414,99.449,99.302,98.873,98.898,98.859,99.04,98.941,98.6,98.44,98.28,98.14,97.682,97.619,97.942,98.079,98.081,98.302,98.006,97.833,97.782,97.778,97.745,97.974,98.138,98.272,97.984,97.648,97.183,97.323,97.591,97.6,97.587,97.488,97.553,97.338,97.039,96.968,96.48,95.965,95.821
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",89.319,89.571,89.748,89.867,89.836,89.862,90.08,90.294,90.258,90.292,90.469,90.434,90.427,90.566,90.596,90.763,91.061,90.875,90.86,90.919,90.734,91.036,91.238,91.362,91.306,91.224,91.296,91.449,91.574,91.841,91.985,91.908,91.942,91.906,92.003,92.131,92.193,92.221,92.225,92.597,92.57,92.491,92.747,93.046,93.226,93.411,93.382,93.453,93.749,94.051,94.282,94.483,94.409,94.514,94.744,94.766,95.103,95.286,95.373,95.308,95.401,95.592,95.584,95.758,95.742,95.683,95.708,95.537,95.644,95.679,95.761,95.656,95.86,95.911,95.82,96.064,96.191,96.05,96.255,96.421,96.298,96.494,96.394,96.799,97.255,97.023,96.75,97.155,97.087,97.145,97.293,97.259,97.606,97.557,97.558,97.561,97.635,97.717,98.002,98.169,98.367,98.299,98.64,98.683,98.844,98.755,98.87,98.99,99.155,99.423,99.342,99.513,99.349,99.605,99.856,99.656,99.799,99.795,99.806,99.489,99.602,99.765,99.682,100.052,99.564,99.487,99.454,99.468,99.357,99.111,99.158,98.976,98.914,99.001,98.951,98.883,98.612,98.825,98.981,99.029,99.037,99.082,99.212,99.261,99.255,99.371,99.565,99.616,99.844,99.847,99.785,99.629,99.526,99.912,100.047,99.836,99.79,99.681,99.722,100.122,100.216,99.961,100,99.973,100.038,100.101,100.182,100.214,100.347,100.256,100.338,100.314,100.348,100.36,100.331,100.462,100.514,100.512,100.26,100.245,100.304,100.59,100.695,100.564,100.558,100.676,100.593,100.267,100.28,100.615,100.851,100.878,101.195,101.248,101.451,101.662,101.813,101.936,102.34,102.523,102.895,102.921,102.522,102.25,102.367,102.606,102.697,102.716,102.645,102.738,102.452,102.098,102.115,101.791,101.421,101.296
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",73.811,73.902,74.141,74.309,74.5,75.097,75.415,75.338,75.321,75.674,75.892,76.054,76.049,76.147,76.068,75.981,75.486,75.151,75.078,75.032,74.693,75.883,75.622,75.338,75.136,75.708,75.667,75.619,75.234,75.488,76.332,77.328,77.219,77.159,77.42,77.423,77.342,77.258,77.038,77.121,77.359,77.492,77.437,77.33,77.126,77.173,76.834,77.323,78.286,78.411,79.205,80.423,80.523,79.667,79.653,79.467,79.638,80.316,80.7,81.229,81.397,81.453,81.028,80.493,79.63,79.356,79.251,80.122,80.475,80.423,79.959,79.835,79.047,78.338,77.359,77.122,77.615,77.805,77.876,77.467,77.319,77.537,77.167,77,77.056,76.603,77.128,79.812,79.545,79.392,80.366,81.473,82.501,82.598,82.388,83.553,84.149,85.664,87.719,86.54,86.08,87.955,87.943,86.694,88.516,88.274,88.312,88.087,88.156,87.899,87.165,87.71,89.57,89.269,87.029,86.357,88.366,85.812,83.374,82.106,82.333,82.274,83.777,85.61,85.612,85.732,86.073,86.347,86.522,87.483,87.377,87.292,89.615,91.786,91.774,89.056,86.155,86.192,87.227,89.143,90.599,89.192,89.126,89.833,91.513,91.968,92.149,91.622,92.938,93.912,93.61,93.555,94.227,96.359,97.444,96.815,95.878,96.721,97.361,98.225,96.452,96.493,99.047,101.807,107.452,106.259,102.545,101.76,103.548,103.133,102.839,104.563,105.068,105.092,106.693,107.825,104.536,101.417,101.648,103.613,102.923,103.803,106.053,107.074,108.602,108.56,109.021,108.352,109.685,110.264,114.174,115.16,116.085,116.667,118.165,118.431,120.202,124.316,126.674,124.61,124.367,118.232,105.544,99.52,100.976,103.258,102.061,102.303,102.861,107.545,107.756,110.039,110.523,110.872,112.141,112.718
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",71.255,71.781,72.208,72.72,72.566,72.663,72.931,73.009,73.25,73.468,73.705,73.869,74.023,74.241,74.415,74.198,74.347,74.532,74.842,74.966,75.068,75.116,75.218,75.37,75.47,75.623,75.745,76.059,76.221,76.315,76.428,76.617,76.687,76.827,77.01,77.117,76.988,76.899,76.832,76.771,76.789,76.911,77.136,77.354,77.383,77.667,77.877,77.965,78.173,78.37,78.522,78.693,78.673,78.751,79.013,79.156,79.218,79.567,79.336,79.341,79.544,79.745,79.968,80.086,80.199,80.201,80.192,80.025,80.085,80.113,80.281,80.576,80.731,80.871,80.89,81.363,81.745,81.774,81.882,82.174,82.542,82.733,82.719,82.984,83.263,83.466,83.725,84.2,84.423,84.749,85.07,85.47,85.728,85.948,86.27,86.501,86.659,86.696,87.024,87.242,87.317,87.496,87.749,88.046,88.205,88.335,88.593,88.972,89.286,89.688,90.043,90.303,90.508,90.938,91.206,91.375,91.725,91.933,92.108,92.329,92.565,92.894,93.043,93.389,93.574,93.8,94.041,94.087,94.21,94.421,94.702,94.84,95.032,94.957,95.211,95.218,95.191,95.245,95.641,95.853,96.105,96.146,96.032,96.443,96.572,96.797,97.07,97.385,97.66,97.737,97.88,97.873,98.136,98.445,98.507,98.588,98.658,98.892,98.973,99.127,99.518,99.757,100.09,100.236,100.638,101.007,101.444,101.66,101.903,102.112,102.441,102.702,103.056,103.14,103.358,103.593,103.797,103.736,103.288,103.27,103.761,103.576,103.515,103.796,103.987,104.044,104.538,104.783,104.862,105.156,105.587,105.825,106.106,106.162,106.666,106.608,106.194,106.447,106.5,106.596,106.71,106.801,107.06,107.251,107.529,107.928,108.285,108.679,108.951,109.098,109.074,109.557,109.996,110.178,110.192,110.219
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",54.25,54.107,54.23,54.159,54.599,55.561,55.889,55.677,55.591,56.158,56.324,56.568,56.61,56.68,56.286,56.039,55.037,54.377,54.06,53.798,53.152,55.298,54.65,54.102,53.719,54.431,54.166,54.045,53.096,53.412,54.94,56.908,56.649,56.533,56.886,56.89,56.572,56.454,56.066,56.101,56.555,56.771,56.387,55.911,55.391,55.503,54.642,55.468,56.885,56.941,58.226,60.329,60.764,59.186,59.016,58.608,58.622,59.494,60.287,61.376,61.718,61.747,60.757,59.703,57.877,57.325,57.249,59.384,60.199,60.094,59.083,58.657,56.852,55.395,53.395,52.473,53.396,53.966,53.997,52.972,52.765,53.154,52.533,52.03,51.93,51.056,52.222,57.605,56.817,56.394,58.448,60.816,62.79,62.929,62.383,64.854,65.794,67.879,73.37,70.497,69.333,74.048,73.672,70.569,74.236,73.515,73.386,72.68,72.818,72.234,70.711,71.919,76.595,75.383,69.774,68.424,73.106,67.105,61.424,58.976,59.636,59.384,63.003,66.89,66.902,67.21,67.982,68.627,69.111,71.429,71.089,70.963,76.267,81.161,80.649,74.908,68.462,68.797,71.087,76.036,80.07,76.41,76.221,77.741,81.413,82.488,82.635,81.041,84,86.305,85.622,85.457,86.923,91.597,94.063,92.941,90.537,92.655,93.877,95.873,91.052,91.102,97.364,104.549,118.541,115.269,105.528,103.654,108.234,107.228,106.315,110.69,111.798,112.027,116.518,119.315,110.662,102.353,103.467,108.667,106.39,108.058,113.896,116.324,120.248,119.807,120.509,118.369,121.603,122.277,131.042,133.193,134.75,135.829,138.017,137.614,141.418,151.03,156.625,151.788,151.534,135.298,101.599,86.836,91.073,97.443,93.949,93.912,95.781,108.534,109.581,115.55,116.69,117.257,120.018,121.582
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",106.63,106.654,106.937,107.161,107.329,107.2,107.239,107.325,107.365,107.637,108.006,107.584,107.502,107.568,107.663,107.65,107.319,107.3,107.421,107.8,107.869,108.485,108.391,108.213,107.982,108.03,108.392,108.493,108.63,108.793,109.117,109.027,108.815,108.688,109.093,108.44,109.035,108.936,108.712,108.962,108.832,108.378,108.491,108.732,108.89,108.719,108.657,108.774,108.918,109.512,109.776,109.68,109.51,109.523,109.387,109.119,109.144,109.294,109.457,109.298,109.273,109.299,109.341,108.563,108.477,108.739,108.513,108.871,108.813,108.633,108.553,108.465,108.296,108.136,108.228,108.123,107.97,107.749,107.654,107.576,107.304,107.203,107.019,106.802,106.78,106.476,106.224,106.557,106.478,105.941,105.716,105.453,105.017,105.012,104.59,104.129,104.523,104.552,104.772,104.718,104.933,104.778,104.749,104.551,104.749,104.655,104.643,104.635,104.573,104.269,103.948,104.249,104.274,104.471,104.491,104.316,104.273,104.244,103.954,103.403,103.285,103.625,103.391,103.35,103.287,102.733,102.54,102.744,102.582,102.372,102.354,102.137,102.184,102.086,101.799,101.579,101.257,101.275,101.477,101.532,101.446,101.362,101.299,101.193,101.05,101.17,101.504,101.37,101.078,101.181,100.788,100.506,100.421,100.64,100.771,100.273,100.255,100.273,100.06,100.026,100.149,99.998,99.889,99.877,100.34,100.148,99.647,99.338,99.455,99.373,99.365,99.54,99.528,99.308,99.232,99.176,98.548,98.689,98.755,98.644,98.423,98.375,98.47,97.727,97.795,97.766,97.224,97.22,96.754,96.947,97.099,96.866,97.173,97.524,97.493,97.348,97.271,97.296,97.3,97.483,97.734,97.445,96.311,95.476,95.758,96.473,96.576,96.815,96.825,97.029,96.872,96.65,96.751,96.315,95.771,95.349
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",116.653,116.528,116.822,117.179,117.193,117.055,117.058,117.144,116.989,117.315,117.929,117.398,117.102,117.22,117.296,117.153,116.715,116.635,116.796,117.011,117.359,118.092,118.001,117.694,117.361,117.328,117.839,118.011,118.191,118.497,118.827,118.617,118.139,118.109,118.761,117.787,118.549,118.31,118.037,118.118,117.888,117.632,117.724,118.014,118.211,117.867,117.409,117.571,117.616,118.387,118.728,118.567,118.508,118.46,118.093,117.526,117.752,117.755,118.005,117.675,117.68,117.588,117.644,117.335,116.96,116.977,116.809,116.955,116.936,116.756,116.483,116.374,116.276,115.867,115.601,115.211,114.976,114.792,114.683,114.448,113.677,113.518,113.458,113.074,112.861,112.404,112.231,112.494,112.035,111.736,111.697,111.23,110.754,110.543,110.088,109.478,109.626,109.406,109.765,109.769,109.789,109.324,109.251,108.967,109.187,109.115,108.838,108.746,108.557,108.177,107.705,107.841,107.838,107.806,107.653,107.368,107.392,107.252,106.705,106.161,106.039,106.158,106.011,105.949,105.447,104.766,104.64,104.468,104.124,103.888,103.574,103.352,103.375,103.247,102.911,102.541,102.179,102.501,102.672,102.514,102.376,102.237,102.314,102.15,101.861,102.102,102.28,101.956,101.58,101.639,101.124,100.868,100.759,100.829,101.025,100.391,100.353,100.545,100.153,100.053,100.177,99.906,99.826,99.846,100.371,100.132,99.419,99.219,99.369,99.145,99.202,99.45,99.386,99.114,99.059,98.958,98.227,98.219,98.329,98.243,97.844,97.664,97.749,96.729,96.778,96.761,95.945,95.874,95.222,95.409,95.538,95.26,95.53,95.882,95.837,95.563,95.586,95.378,95.362,95.259,95.506,95.082,93.568,92.513,92.794,93.475,93.482,93.615,93.553,93.653,93.373,93.041,93.204,92.557,91.815,91.413
