"","Table 1AU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123"
"36","28","Merchant wholesale","KST5W0",68281,67865,70723,72198,72490,74245,75075,74711,76600,78628,80223,80876,83044,84289,86478,88784,88803,91098,92847,95583,95451,97528,100033,101002,102730,101861,101621,103529,107305,110852,109993,113738,110426,107833,108265,107111,107822,111623,114321,114982,117580,119836,123827,127171,133200,136425,137212,141256,145500,146673,148552,148913,150245,152424,154878,155695,158217,156725,157320,159454,157875,160847,159620,157766,156266,152816,155329,157893,161590,164079,170387,172603,175207,177035,178754,180636,183600,186116,191357,189157,189993,192504,192161,197570,202163,204942,207584,205873,205032,208349,208481,209222,210421,213924,216575,217111,219258,216905,217730,221928,222738,225436,226121,230874,232158,233528,236197,237343,236752,241529,245728,252001,256438,259192,262016,262950,263000,264567,262846,265375
"37","29","Wholesale less motor vehicle","KST5WX0",61297,61103,63940,65335,65884,67216,67946,67129,68877,70634,72090,72448,74321,75568,77733,80043,79555,81489,82128,83235,83465,84981,86879,87951,89586,88929,88288,89971,92299,94367,93334,96458,93999,92535,93555,92323,93033,96048,98475,99692,102289,104348,108273,111038,116296,119088,119941,122638,126224,128485,130115,130483,131661,133198,136199,137348,141129,139845,141379,142367,139850,141578,140083,139141,138272,135199,137521,140147,143447,146221,150304,152380,154556,155517,157745,159287,162117,163947,168300,166216,167080,168739,168491,173270,177157,180991,181990,180713,180185,182059,183168,185175,185471,189165,190939,191637,193105,192153,193658,196443,198366,201027,201095,205473,207080,209478,211853,212528,213325,217184,221124,226892,230375,232556,235894,237157,237934,238579,237628,240242
"38","30"," Durable goods","KST5WD0",41551,41613,42361,43605,43796,44692,45119,45472,46565,48197,49179,49581,50841,51077,52700,53492,54050,55357,56805,58942,59110,60920,61895,63786,64862,65939,66538,67674,69378,71208,72713,75040,74709,72758,71512,71958,72452,74935,76399,76019,77699,79279,81457,83799,87876,90345,91338,94147,96359,96775,98805,98976,100051,101842,101890,103978,105299,106714,106143,107298,107512,108741,107485,104523,101605,99367,100854,102869,105642,107575,111586,113485,114260,114853,114903,115662,117144,119253,121723,119893,120552,122693,121142,124721,128121,127364,131132,129833,129735,132478,132002,131496,132336,133666,135765,134950,136175,133249,132565,135624,134659,137259,138091,139821,140425,140684,142388,143657,143264,147746,150509,154315,158092,160317,161853,164817,165376,166129,167763,168059
"39","31","  Motor vehicles","KST5010",6913,6688,6705,6784,6525,6947,7046,7497,7636,7903,8041,8334,8628,8624,8648,8644,9142,9500,10591,12187,11831,12384,12983,12881,12965,12747,13192,13406,15003,16656,16863,17476,16576,15376,14733,14824,14817,15619,15884,15295,15280,15475,15527,16112,16880,17311,17237,18618,19282,18116,18369,18362,18519,19206,18580,18227,16958,16769,15854,16983,17863,19046,19285,18416,17822,17447,17639,17584,17977,17695,19890,20029,20451,21301,20806,21139,21276,21948,22817,22696,22677,23494,23403,24030,24721,23701,25310,24881,24573,25999,25037,23793,24681,24495,25360,25201,25864,24506,23857,25223,24161,24207,24803,25177,24872,23894,24182,24638,23294,24191,24452,24955,25900,26470,25964,25643,24920,25839,25073,24990
"40","32","  Furniture & furnishings","KST5020",1518,1509,1543,1534,1571,1592,1610,1691,1730,1757,1835,1865,1898,1946,1981,1970,2054,2135,2083,2032,2012,2044,2107,2315,2432,2438,2611,2580,2714,2699,2735,2671,2575,2530,2520,2611,2741,2877,2931,2962,2940,2943,3084,3213,3294,3471,3456,3430,3556,3610,3558,3605,3597,3599,3729,3775,3837,3850,3899,3658,3687,3573,3423,3523,3560,3567,3683,3673,3767,3958,3927,4108,4065,4197,4313,4489,4314,4063,4481,4686,4961,5264,5321,5221,5434,5558,5521,5424,5409,5373,5453,5333,5237,5444,5352,5288,5393,5108,5158,5177,5083,5126,5011,5198,5240,5261,5179,5275,5298,5251,5392,5451,5635,6025,5811,5726,5802,5792,5793,5720
"41","33","  Lumber & construction","KST5030",3235,3358,3427,3343,3388,3458,3628,3635,3718,4008,4138,4100,4074,4134,4195,4198,4209,4146,4189,4116,4472,4499,4393,4664,4637,4984,4812,4781,4873,5021,4838,4694,4466,4299,4659,4542,4454,4422,4535,4640,4933,4659,4868,4919,5097,5298,5365,5324,5334,5674,5646,5639,5703,5487,5325,5297,5375,5748,5517,5203,5059,4765,4808,5084,5204,5333,5676,5786,5898,5893,5938,6049,6026,6054,6250,6192,6815,7149,6750,6675,6549,6901,6951,6991,7315,7172,7334,7268,7431,7350,7297,7315,7423,7502,7322,7266,6928,6867,6895,6978,6805,6828,6971,6996,7184,6863,6892,6701,6687,7046,7086,7254,7412,7155,7205,7387,7468,7459,7736,7534
"42","34","  Professional & commercial","KST5040",4185,4216,4376,4338,4316,4405,4539,4563,4623,4668,4670,4704,4794,4917,5000,5088,5148,5283,5311,5462,5518,5570,5684,5850,6057,6040,6213,6260,6241,6182,6202,6171,6232,6269,6302,6205,6163,6157,6256,6474,6570,6658,6528,6563,6716,6769,6887,6970,6920,7032,7033,6869,6865,6976,7196,7327,7364,7460,7346,7466,7450,7615,7891,7898,8134,8193,8556,8973,9578,10038,10317,10787,11125,11418,11470,12098,12816,13498,13869,13058,13219,13463,13904,13723,14023,14035,14641,14637,14934,15146,15386,15952,16185,16465,16630,16831,17263,17569,17732,18151,17784,18533,18844,18878,19128,19368,19886,20177,20668,21316,21761,22697,23477,23828,24372,25247,25569,25784,26697,26933
"43","35","  Metals & minerals","KST5050",4725,4721,4525,4750,5073,5360,5615,5490,5120,5139,5151,5314,5428,5343,5639,5965,6299,6637,6332,6012,5977,5971,6265,6818,6523,6644,6771,6719,6513,6846,7209,8398,9499,9025,8374,7990,7910,8116,8341,8466,8299,8387,8733,8781,9638,9966,9652,9325,9589,9878,10525,10811,10674,11221,11252,11791,12301,12762,13458,13531,13754,13765,13181,12836,12177,11552,11911,11725,11811,12247,11945,11663,11370,10481,10710,10499,10237,10213,10035,10130,10031,10164,9838,10483,11038,11580,11585,11394,11362,11350,11319,11220,10789,10611,11067,11178,11241,10965,10988,10972,11414,11399,11266,11202,11334,11799,11994,12210,12123,12677,12867,13097,13093,12809,12663,12385,12277,12144,12463,13139
"44","36","  Electrical goods","KST5060",3256,3099,3130,3211,3287,3286,3339,3336,3445,3630,3661,3765,3731,3785,3885,3961,3902,4035,4177,4226,4382,4414,4530,4583,4748,5049,4970,5291,5350,5369,5298,5270,5063,4813,4683,4730,4855,5069,5132,5183,5385,5591,5832,5966,6228,6523,6672,6998,7232,7388,7471,7402,7611,7701,7885,7996,8213,8486,8661,9059,9430,9572,9393,9189,8945,8851,9051,9566,10354,11290,12330,12922,13081,13304,13192,12797,12854,12882,13639,13322,13791,13577,13102,13781,13860,13888,14204,14517,14970,15272,15460,15441,15384,15615,15721,15741,15981,15742,15412,15983,15925,16255,16485,17075,17417,17575,18087,17799,18185,19005,19952,20696,21440,22568,23609,24558,24658,24258,23694,23903
"45","37","  Hardware & plumbing","KST5070",3308,3353,3476,3524,3450,3460,3520,3728,3764,3966,3959,3892,4047,3988,4092,4074,4116,4212,4263,4352,4490,4792,4833,5077,5253,5338,5384,5610,5614,5585,5630,5591,5195,4746,4833,4988,4891,5020,5253,5236,5358,5609,5638,5757,6115,6273,6324,6452,6662,6879,6850,6926,7036,6792,6863,7122,7232,7516,7287,7204,6948,6734,6829,6606,6509,6419,6434,6675,6790,6844,7254,7449,7772,7878,7572,7505,7729,7955,7852,7908,7829,7744,7792,7932,7877,7935,8289,8153,8433,8790,9087,9125,9232,9541,9036,9291,9163,9007,8983,9117,9166,9486,9644,9488,9625,9479,9578,9899,10185,10647,11168,11299,11511,11181,11220,11296,11369,11382,11548,11915
"46","38","  Machinery equipment","KST5080",11271,11582,12194,12884,12886,12862,12380,11902,12666,12962,13200,13288,13805,13820,14366,14500,14087,14245,14621,14995,14890,15245,15140,15697,16186,16366,16256,16774,16969,16917,17901,18478,18821,19816,19942,20177,20627,20991,21151,20663,21889,22744,23538,24970,26273,26981,28004,29484,30205,31262,33164,33139,34511,35076,35169,36273,37401,38145,37705,38118,37476,37304,37198,34846,33467,32167,31619,32724,32613,33082,32950,32603,32113,31485,32064,32419,32160,32371,32175,31885,31646,31650,31170,33367,35017,34851,35652,34627,33146,34156,33598,33282,33329,34261,35268,34530,34176,32461,32057,31756,31764,31965,31542,31896,31722,31792,31372,31501,31832,32365,33707,34295,34970,35901,36632,37633,38292,38252,39458,38676
"47","39","  Other durable goods","KST5090",4495,4707,4756,4962,4951,5073,5226,5349,5581,5776,6148,5879,6145,6274,6687,6906,6939,6975,6988,7404,7297,7821,7716,7780,7967,8017,8144,7942,7868,7758,8019,8152,8017,7950,7789,8269,8351,8963,9239,9419,9508,9719,10116,10042,10133,10178,10331,10317,10323,9671,9007,8963,8450,8672,8754,9072,9565,8964,9179,8694,8147,8565,7777,8426,8139,8160,8586,8514,9070,8558,8915,9638,9927,10307,10135,10001,10249,10309,11012,10747,10922,11539,10599,10409,10210,9950,9884,10041,10349,9999,10196,10676,10700,10391,10646,10154,10519,11215,11672,12387,12768,13622,13627,14008,13959,14760,15276,15547,15043,15280,14186,14600,14668,14412,14394,14935,15017,15215,15293,15249
"48","40"," Nondurable goods","KST5WN0",26182,25727,27768,27999,28099,28941,29338,28632,29410,29787,30387,30634,31526,32531,33080,34574,34034,35002,35281,35850,35545,35781,37302,36382,37042,35281,34592,35349,37239,38847,36894,38284,35579,34912,36390,34947,35164,36463,37650,38615,39520,40199,41978,42974,44909,45666,45472,46697,48694,49424,49313,49496,49757,50162,52412,51290,52436,49751,50827,51772,50014,51714,51727,52824,54259,53050,54063,54604,55519,56067,58348,58638,60514,61779,63538,64693,66206,66528,69439,69148,69306,69583,71011,72822,73923,77798,76425,76031,75239,75752,76416,77763,78114,80373,80889,82344,83268,83981,85602,86695,88602,88625,88443,91575,92278,93448,94408,94235,94037,94203,95634,98115,98702,99201,100491,98400,97815,98553,95120,97300
"49","41","  Paper products","KST5110",1611,1622,1579,1665,1648,1726,1681,1685,1696,1725,1750,1774,1812,1750,1795,1788,1765,1765,1758,1744,1809,1835,1878,1933,2061,2010,2090,2162,2174,2240,2106,2122,1932,1900,1926,2000,2021,2044,2080,2123,2234,2312,2312,2306,2340,2347,2425,2481,2586,2612,2706,2700,2753,2732,2709,2847,2920,2987,3047,3089,3015,2970,3018,2967,3092,3174,3427,3582,3601,3695,3716,3743,3877,4010,4067,4155,4160,4135,4119,4278,4103,4071,4081,4236,4384,4457,4576,4618,4906,5015,5094,5099,5139,5300,5537,5659,5594,5741,5978,6146,6306,6514,6696,6685,6814,7000,7062,7509,7656,7674,7502,7830,7905,7868,7608,7920,7996,8544,8674,8795
"50","42","  Drugs & sundries","KST5120",1068,1060,1100,1116,1136,1199,1279,1275,1302,1353,1325,1392,1470,1416,1405,1381,1385,1400,1456,1589,1551,1618,1694,1736,1781,1819,1809,1975,2315,2554,2320,2256,2177,2150,2084,2064,2015,2123,2126,2219,2289,2340,2441,2577,2613,2805,2975,2875,3051,3013,3032,2784,2723,2660,2829,2939,2956,3130,3254,3446,3434,3674,3478,3570,3402,3467,3702,3719,3928,3774,3848,3992,4255,4371,4691,4598,5125,5082,5168,5334,5498,5629,5888,6267,6320,6506,6534,6652,6543,6738,7111,7170,7405,7404,7466,7596,7679,8492,8616,8748,9219,9403,9616,10099,10317,10101,10539,10890,10457,10588,10734,11234,11441,11725,11522,10890,11057,11290,11165,12276
"51","43","  Apparel & piece goods","KST5130",2060,1932,1994,1994,2050,2197,2146,2058,2117,2045,2150,2231,2300,2333,2419,2596,2744,3028,3236,3567,3383,3378,3351,3313,3478,3386,3766,3411,3668,3661,3633,3759,3561,3534,3479,3538,3686,3649,3823,3661,3819,3891,3765,3904,3943,4239,4509,5043,5070,5211,5312,5469,5703,5238,5811,5819,6280,6008,6023,5942,5818,6032,6035,6001,6195,6128,5953,6465,6612,6967,7179,7209,7447,7193,7558,7587,7695,8166,8712,8473,8713,8656,8656,8748,8538,9029,8577,8884,9233,9575,9999,10341,10487,10778,10681,10439,10377,9883,9836,10034,10876,10884,10882,11062,10685,11352,12061,11708,11447,11048,11964,12361,12624,12313,12147,11555,11392,11607,11443,11656
"52","44","  Groceries","KST5140",6133,6130,6377,6284,6107,6349,6379,6373,6650,6458,6414,6426,6578,6694,6740,6903,6775,6921,7236,7071,7253,7309,7580,7445,7325,7491,7453,8214,8620,9386,8330,8481,8128,7609,7600,7993,8477,8738,9170,9420,9365,9665,10108,10028,9941,10079,10221,10088,10050,10104,9958,9785,9772,9752,9583,10041,10367,10026,10089,10029,9749,9911,10052,10398,10427,10352,10697,11009,11370,11382,12037,11863,12179,12728,12841,13373,14397,14545,14339,14754,14325,14649,15170,15148,14804,14679,15326,15082,15448,15431,15047,16093,16075,16095,16593,16544,16713,17110,17024,17502,17639,18228,18141,18132,18063,17477,17337,17430,17764,17442,17377,17385,17262,17416,17690,17150,17462,17261,17158,16704
"53","45","  Farm products","KST5150",5698,5408,6849,6439,6714,6992,6905,6351,6456,6579,6358,6602,6603,7341,7582,8378,7715,8053,7222,7070,6969,6878,8286,7869,8407,6954,6513,6695,7565,7339,7236,7569,6377,6653,8510,6726,6396,7365,7415,7614,8026,8069,8477,9437,10358,10148,9060,8977,9533,10408,10324,10281,10022,10216,11251,9805,9549,8416,8462,8994,8703,9359,9363,10848,11419,10715,11900,10869,10867,10626,11042,11444,11968,11556,13006,13848,13479,13220,14682,12745,12860,12936,12961,13125,13960,16999,15464,14233,12407,11843,12263,13087,12925,13260,13203,15130,15414,15036,16908,15774,15942,15240,15117,16656,17451,18635,17146,17338,16808,16911,16955,18165,17512,17034,18787,17901,17481,16823,14112,15438
"54","46","  Chemical & allied product","KST5160",708,712,781,789,842,803,853,803,807,869,881,912,919,874,896,907,929,939,928,961,1041,1055,1052,1084,1116,1133,1161,1239,1151,1188,1216,1216,1202,1145,1139,1148,1217,1185,1237,1285,1337,1391,1423,1431,1569,1674,1738,1861,1874,1898,1817,1710,1685,1649,1716,1826,1743,1704,1823,1747,1841,1941,1946,2110,2082,2250,2292,2310,2438,2396,2622,2697,2705,2537,2708,2681,2706,2719,2679,2828,2824,2856,2864,2908,3031,3027,2916,3060,2771,2861,2911,2742,2997,2959,3075,3252,3053,3016,3193,3273,3495,3589,3420,3486,3639,3745,3908,3827,3713,3764,3872,3930,4090,4237,4330,4259,4343,4247,4348,4520
"55","47","  Petroleum products","KST5170",582,522,866,1194,1181,1361,1487,1404,1319,1432,1452,1588,1694,1815,1884,1984,2257,2270,2438,2418,2096,2072,1993,1719,2166,2396,1789,1423,1169,2133,1896,3072,2812,2496,1859,1834,2016,1753,1879,1659,1894,1966,2012,2124,2243,2284,2482,2617,3040,3045,3341,3603,3911,4188,4400,4396,4886,4296,4490,4486,3858,4083,4015,3755,4183,3764,3386,3671,3153,3712,3847,3329,3686,4117,3700,3894,4028,3763,4378,4819,4143,3878,3996,4044,4598,4513,4574,4390,4729,4980,4554,4053,4411,4856,4368,4072,4475,4733,4751,5075,5122,5030,4871,5125,5196,5391,5478,5046,5672,5661,5673,5827,5907,5922,5827,5631,5508,5125,5159,5236
"56","48","  Alcoholic beverages","KST5180",1626,1620,1573,1707,1668,1671,1816,1821,1826,1829,1996,1928,2067,2117,2007,2134,2183,2208,2495,2350,2394,2468,2369,2470,2391,2598,2519,2563,2667,2786,2784,2783,2699,2527,2504,2624,2443,2512,2583,2792,2865,3123,3230,3106,3229,3297,3471,3774,4156,3956,3607,3905,4008,3938,4119,4004,3741,3967,4082,4166,4313,4189,4130,4179,3988,4019,3869,3829,3985,3716,3985,4037,4022,4290,4261,4269,4223,4293,4157,4226,4692,4446,4483,4316,4132,4098,4205,4301,4207,4241,4251,4363,4281,4335,4372,4433,4578,4492,4449,4519,4227,4274,4258,4233,4231,4196,4205,4337,4267,4460,4489,4521,4460,4485,4703,4580,4618,4780,4738,4683
"57","49","  Other nondurable goods","KST5190",6017,6077,6070,6348,6286,6186,6382,6449,6776,7147,7680,7437,7736,7857,8054,8114,7974,8005,8063,8648,8525,8640,8446,8086,7756,7297,7252,7345,7133,7330,7043,6735,6619,6724,6670,6782,6713,6690,6949,7524,7300,7036,7820,7590,8155,8313,8202,8521,8900,8609,8526,8358,8065,8480,8488,8355,8314,8213,8440,8833,8754,8908,9045,8713,8869,8834,8785,9006,9833,9679,9929,10527,10440,10861,10965,10511,10503,10569,11416,11371,11833,12190,12607,13768,14015,14585,14256,14671,14683,14641,14775,14422,13876,14825,15029,15115,15215,15228,14955,15407,15481,15012,14970,15866,15878,15834,16456,15960,16119,16539,16849,16760,17309,17988,17796,18387,17805,18687,18113,17865
"58","50","Retail trade","KST5R0",94949,94171,93310,94557,96602,98749,98612,102485,103665,104801,107822,109502,108723,110304,111604,109595,115683,118746,124324,124253,125944,128432,130212,133791,136757,140587,140605,144449,143558,142968,141152,142335,136525,134755,136205,135304,140247,142767,144562,145657,147607,149462,151864,153939,157906,160158,160936,164094,164351,167880,165218,164092,162228,161134,160325,159508,160309,163762,166691,168360,164089,164422,167571,164525,166436,170654,173998,177936,187163,190633,191326,199660,200972,203833,207281,215069,221695,222279,218864,218492,228539,233473,232424,239718,237612,240356,243254,247365,254981,255615,255409,261865,258107,261719,262014,260236,254693,255872,259048,260777,259678,262198,262920,265404,275077,277120,277832,280843,284817,292276,296066,301379,306982,311438,312725,313572,309916,313837,319612,320980
"59","51","Retail less motor vehicle","KST5RX0",69818,70571,70659,71126,72054,72726,73667,74624,75595,76985,78553,79330,79437,80328,81118,82621,84645,85348,86933,89020,90683,93071,94958,97239,98693,100454,99641,101879,101647,102186,101184,99732,97496,95263,95076,96007,99275,101351,101795,102487,103004,103826,104774,105217,107824,110755,111930,112070,110857,111489,111685,111988,112666,114194,114909,114283,121448,122171,124947,126919,124978,124766,124847,125592,126879,130033,132249,134445,140238,144013,145765,149218,150444,151740,155254,156842,160154,160522,162853,161731,163283,167166,168318,171557,174145,174647,176567,177085,179291,182472,185308,186681,187872,189186,187846,186596,186335,186739,188152,190949,189482,190982,192112,194136,198451,199536,202273,205458,206426,213100,215323,218300,220283,222938,225492,224682,224999,225748,227750,229495
"60","52"," Durable goods","KST5RD0",45568,44371,43634,44395,45714,47886,47094,50566,51061,50965,53177,54360,53526,54223,54823,51526,56170,58896,63519,61843,62763,63822,64717,67646,69701,73166,74456,75992,76095,75027,73739,76966,72361,72753,74848,73618,75695,77223,79558,80671,82377,83532,85586,87180,89706,89973,89970,93128,94579,97587,94677,92756,90162,87303,85271,84707,83987,86932,87434,87742,84375,84236,87510,84057,85446,87573,89415,91900,96710,97669,96801,103159,104231,106237,107398,113968,118911,119557,114664,114066,122881,126243,124445,130414,126627,129383,131639,135937,141752,139765,137982,143302,139243,142302,143369,141989,135312,135849,138102,136904,136287,137885,137183,138207,144586,146148,145428,147768,151627,154938,157860,161705,166015,169086,169880,171094,168067,171883,176052,176120
"61","53","  Automotives","KST550",24721,22830,21696,22596,23850,25553,24198,27601,27775,27366,28984,30001,28931,29685,30228,26037,30599,33274,37778,35154,35079,35041,34792,36152,37833,40187,41268,43028,42259,40841,39962,43245,39176,39882,41826,39618,41359,41744,43271,43693,45288,46417,48011,49826,51239,50313,49807,53216,54954,58223,54958,53311,50391,47295,45532,45403,43114,46193,46075,45461,43486,43601,46566,42722,43367,44675,46299,48063,51650,51248,50111,55099,55360,56967,57074,63651,66929,67391,61073,61997,70867,71795,69643,73979,68995,71376,72435,76177,81795,79158,76037,81339,76079,78603,80333,79996,74381,74932,76650,75369,75398,76598,76180,76810,82522,83466,81420,81091,84207,85154,86886,89374,93055,94916,93733,95448,91643,95062,98829,98671
"62","54","   Motor vehicle dealers","KST55X0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38578,41624,41661,41236,38744,39345,42662,38557,39194,40254,41409,43221,46749,46344,45187,50283,50350,51972,51829,58359,61789,62016,55923,56736,65583,66620,64308,68497,63530,65874,66868,70623,76266,73517,70233,75604,70282,72709,74498,73959,68317,69138,70982,69799,70217,71259,70807,71251,76756,77714,75588,75366,78423,79180,80748,83080,86687,88484,87225,88872,84917,88085,91860,91479
"63","55","   Auto & home supply stores","KST5530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4285,4379,4262,4109,4454,4092,3883,4009,4028,4245,4644,4633,4734,4731,4733,4710,4876,4883,5094,5213,5120,5325,5065,5170,5268,5178,5301,5465,5410,5462,5529,5547,5569,5647,5764,5749,5757,5865,5828,6004,5979,5746,5649,5552,5202,5351,5377,5551,5770,5760,5829,5724,5789,5975,6137,6293,6369,6433,6508,6576,6726,6977,6969,7192
"64","56","  Lumber & building stores","KST520",9279,9499,9638,9616,9554,9481,9535,9448,9361,9488,9567,9458,9107,9050,9221,9540,10037,10317,10439,10989,11212,11364,11668,12123,12987,13609,14177,12493,13678,13170,12436,11790,11330,11501,11487,11744,11923,12032,12679,12781,13034,13137,13339,13549,13716,13991,13780,13858,13697,13915,14048,13818,13977,13800,13969,13954,14221,14319,14207,14085,13429,13391,13070,13476,13946,14100,14593,15146,15620,16069,16322,16552,16535,16568,17312,17451,17811,17628,18296,17652,17861,18665,18366,18359,18800,18563,18871,19537,19737,19771,19836,19911,19933,20220,19841,19567,19031,18758,18664,18829,19018,19055,19278,18888,19181,18905,19140,19637,20067,20732,20998,21504,21556,21771,22627,22674,22900,23243,22834,23199
"65","57","  Furniture & furnishings","KST570",5474,5604,5664,5672,5797,5911,5952,6015,6097,6026,6193,6344,6349,6421,6491,6553,6612,6664,6741,6838,7224,7498,7798,8147,8267,8471,8409,8501,8663,8753,8817,8731,8240,8262,8491,8869,8780,8908,9035,9160,9327,9307,9219,9417,9730,10054,10389,10575,10869,10934,11275,11080,11060,11260,11139,10964,11345,11232,11108,11219,10803,10699,10935,10875,11580,11747,12041,12101,12226,12827,12680,13059,13431,13685,13749,14132,14350,14645,14692,14640,14207,14557,14983,15218,15603,15914,16465,16245,16480,16688,16903,17072,17583,17741,17884,17325,17277,17726,17751,17664,17681,17671,17472,18064,18089,18815,19443,20383,20183,21436,22249,23024,23206,23672,24228,24233,24554,24897,25355,24823
"66","58","  Other durable goods","KST59X0",6285,6293,6315,6293,6336,6946,7258,7791,8098,8423,8891,9009,9461,9400,9221,9288,9294,9274,9647,9664,9797,10345,10719,11506,10994,11474,11349,12905,12240,12821,12942,14083,14376,13906,13898,13814,14333,15309,15428,15925,15615,15658,16226,15567,16244,16644,16864,16541,16156,15867,15342,15423,15352,15215,14822,14647,15265,15370,16234,17107,16765,16675,17108,17060,16502,17023,16451,16643,17415,17590,17790,18661,19034,19124,19428,18984,20210,20199,20756,19892,20453,21779,21833,23327,23510,23797,24074,24391,24273,24567,25488,25409,25806,25971,25575,25427,24773,24534,25166,25161,24333,24722,24435,24569,25023,25145,25527,26689,27257,27651,27744,27805,28206,28731,29292,28739,28976,28685,29044,29427
"67","59"," Nondurable goods","KST5RN0",48854,49208,49064,49559,50297,50352,50945,51453,52124,53291,54154,54674,54689,55558,56249,57354,58894,59307,60377,61860,62626,64028,64903,65647,66611,67193,66128,68344,67458,67832,67268,65570,64194,62175,61684,61929,64740,65754,65355,65387,65693,66408,66823,67344,68824,70742,71499,71602,70505,71118,71251,71946,72576,74178,75292,75053,76512,77091,79469,80808,79853,80314,80251,80597,81131,83226,84734,86203,90630,93128,94667,96689,96937,97803,100085,101354,103055,102993,104444,104664,105937,107526,108253,109623,111252,111265,111924,111784,113636,116189,117712,118922,119130,119739,119012,118585,119521,120160,121110,123947,123464,124399,125779,127228,130565,131055,132467,133136,133253,137402,138260,139715,140987,142362,142853,142477,141854,141957,143563,144859
"68","60","  Food stores","KST540",12125,12209,12305,12378,12471,12488,12597,12609,12899,12888,13043,12943,12855,13061,13110,13443,13764,13958,14165,14334,14375,14414,14664,14500,14179,14349,14256,14547,14815,14874,14613,14825,14577,14187,14332,14193,14692,14944,15141,15395,15237,15419,15356,15482,15498,15630,15732,15628,15734,15606,16227,16515,16632,17172,16916,17151,17992,17904,18591,18730,18761,18571,18399,18903,18855,19169,20016,19730,19760,20404,20395,21101,21413,21975,22523,23107,23454,23332,23614,23465,23767,23780,23475,23480,24238,24353,24548,24779,24945,25315,25765,26285,26364,26760,26967,27075,27458,27616,27421,27561,27212,27354,27430,27614,27773,27712,27959,28045,28394,28482,28721,28791,28805,28867,29218,29346,29224,29154,29439,29739
"69","61","  Apparel stores","KST560",7406,7326,7304,7373,7332,7311,7641,7579,7977,8218,8285,8416,8152,8173,8017,8088,8252,8387,8480,8767,8937,9107,9396,9362,9565,9823,9659,10208,10016,9867,9851,9783,9675,9559,9469,9417,9858,10069,10099,9743,10130,10559,10692,11317,11488,12288,12879,12928,12781,12915,12527,12736,12458,12500,12843,12730,12622,12878,13266,13725,13682,13710,13676,13426,13116,13592,13989,14452,15586,15801,15600,15617,15386,15379,15903,16560,16547,16506,16283,16467,17114,17070,17004,16734,16706,16761,17158,17095,17780,18125,18204,17974,18052,18308,17957,17685,17640,17752,17794,17986,18142,18237,18632,19408,19603,19714,19905,19573,19300,19926,20203,20399,20721,20622,20384,19826,19722,19154,19183,19769
"70","62","  Department stores","KST5310",8401,8548,8818,8856,9088,9082,8833,9373,9291,9573,9704,9818,10010,10237,10811,11069,11431,11522,11816,12238,12497,13000,12912,13271,13670,13474,13156,13881,14185,14597,14431,13235,12525,12327,12783,13049,13972,14309,14067,14426,14337,14321,14216,14138,14637,15250,15115,14900,14989,15223,15447,15949,16629,17438,18204,18773,19233,20137,21184,21397,21220,21251,21298,21535,21967,22845,23118,23453,25534,26960,28035,28572,27996,27539,27813,28241,28410,28596,28888,28959,29100,29825,30578,30742,31675,31380,31422,31856,32455,34000,34566,35314,35407,34928,34821,34881,35121,35342,35979,37293,37350,38111,38936,39335,41618,41824,42129,42297,41777,44345,44533,45088,45660,46657,46971,47636,47945,48350,49152,49235
