"","Table 4#3BU# Relation of Foreign Transactions in the National In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117"
"11","3","      Statistical differences \2\","B1233C0",-3964,-4828,-5316,-7676,-8664,-10156,-7912,-5300,-6656,-7064,-7040,-4320,-5680,-4817,-6666,-4433,-5526,-6057,-8163,-6781,-6205,-5841,-5734,-8622,-8751,-7219,-7814,-5648,-7256,-8305,-8366,-7236,-5657,-9029,-9523,-9042,-9793,-7631,-9961,-9267,-8901,-9194,-11045,-12692,-10597,-13990,-12909,-11298,-13728,-10771,-9763,-12569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-578,-578
"12","4","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1234C0",7458,8132,8679,9123,9463,9802,10132,10462,10821,11142,11530,11968,12210,12468,12640,12734,13055,13041,12942,12812,13471,13822,12353,12475,12475,13329,12961,12672,11081,13118,11511,12510,12496,12969,13142,13442,13916,13207,13027,12635,12345,13061,13227,13981,14330,15279,15453,15129,15492,15074,15811,17327,19129,19164,17532,18150,17854,16405,19860,19387,18909,17582,16415,16730,17912,18432,19606,18037,16379,15897,15582,15228,15012,15404,15011,15644,17537,18704,20716,19636,19083,16792,17114,16931,14848,15109,14680,14060,10333,12413,4810,7718,9273,7254,7490,11531,8834,11070,7289,1665,6383,2877,1682,-1501,1384,1330,2716,5561,4346,1255,5237,8178,3851,3014
"13","5","Equals: Exports of goods, NIPAs","A253RC0",224488,227868,229819,243612,242984,258805,272080,288348,311241,328499,338687,349792,360484,379590,379039,379887,396228,400633,406337,409862,420656,427097,431630,441158,449682,448789,460554,462207,460366,466912,462555,481060,484124,505253,533801,550305,571566,583183,605751,609266,617146,621187,626468,650337,668863,700974,717535,712176,708166,683706,676575,701814,688061,697300,717130,744398,762212,791320,822784,812699,799304,763955,717838,694236,690509,718302,729829,714006,722810,724613,739626,778628,803238,829115,840593,864586,890358,924982,929006,961978,1010027,1040622,1056951,1090674,1111529,1142225,1182860,1229065,1280442,1365182,1375816,1173774,1012084,1010910,1074200,1163272,1208680,1256434,1287987,1365267,1415987,1467674,1487761,1496022,1510105,1530742,1538540,1529204,1528401,1543235,1565655,1613975,1575255,1623264
"14","6","Exports of services, ITAs","B1235C0",84208,83648,87876,91044,94408,98960,99944,101316,106392,110268,113812,113208,122304,124440,129264,132348,140064,143952,149608,157712,151564,162980,167440,175064,176656,176532,178436,177372,183936,185828,186828,187064,193448,199912,202668,205564,208692,212652,225744,229632,229768,237400,234656,256116,250060,257168,259420,257716,258760,264696,259144,268424,264523,266782,276523,277540,282629,291894,293548,293455,288756,282138,272128,254266,274427,280724,283004,284518,279677,278778,294012,307421,329190,334204,336124,352342,368542,365831,372579,385074,397248,412610,413286,443806,459229,473258,494696,526404,523900,544800,537653,524917,497693,501779,512589,538826,535480,548517,572501,596830,606369,629035,643165,632555,639871,649659,652865,677006,679224,681388,690672,698356,698604,709788
"15","7","Less: Statistical differences \2\","B1236C0",3770,4515,4922,7251,8289,9796,7565,4962,6323,6737,6722,4012,5362,4498,6346,4093,5191,5689,7792,6399,5819,5438,5306,8171,8727,7193,7785,5617,8143,8424,8163,6327,6506,8789,9736,8089,9315,7535,10123,9552,8945,9205,10987,12533,10561,13897,12841,11349,13686,10837,9788,12374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,1369
"16","8","      Other items \4\","B1237C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,1007,845,1311,681,938,850,720,551,603,806,634,585,737,772,782,862,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1233,1221,1379,856,865,964,884,1048,1196,1088
"17","9","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1238C0",2280,2300,2328,2364,2412,2456,2500,2536,2572,2612,2656,2700,2667,2677,2695,2725,2724,2765,2805,2898,2943,2980,3020,3061,3093,3135,3174,3210,3238,3273,3315,3363,3418,3467,3509,3543,3572,3599,3625,3650,3674,3700,3727,3757,3788,3807,3812,3804,3784,3773,3772,3780,3797,3833,3887,3958,4048,4120,4174,4210,4228,4254,4286,4326,4373,4430,4497,4574,4661,4745,4826,4904,4979,5036,5076,5099,5104,5095,5071,5034,4982,4949,4936,4942,4967,4963,4928,4864,4770,4665,4550,4424,4288,4178,4095,4039,4009,3991,3986,3992,4011,4015,4005,3981,3943,3892,3829,3753,3664,3598,3554,3531,3514,3496
"18","10","      Financial services furnished without payment","B1607C0",6199,5818,5374,5230,4936,4935,4896,4869,4845,4838,5173,4944,5144,5068,4760,4560,4463,4313,4239,4189,4005,3978,4296,4364,4747,5092,5306,5628,5965,6292,6662,6800,7207,7637,7561,7770,7783,7548,7295,7114,6901,6636,6697,6693,6720,6886,6607,6699,6585,6365,6164,5677,5785,5524,5674,5933,6125,6233,6010,5716,5333,5095,4978,4779,4622,4847,4912,5104,5079,4967,4841,4681,4827,4953,5257,5483,5508,5556,5747,5909,6281,6327,6200,6093,6207,5978,6651,6500,6900,7432,7412,7595,7059,7336,7093,7484,7084,7340,7354,7686,8493,8929,9748,9935,9685,9471,9370,9357,8999,9155,9405,9812,9901,10237
"19","11","Equals: Exports of services, NIPAs","A646RC0",88917,87251,90657,91388,93466,96555,99775,103759,107487,110973,114899,116827,124705,127639,130313,135500,142007,145293,148812,158324,152521,163636,168966,174058,175601,177374,178811,179190,183237,186182,188342,190540,197107,201735,203082,208344,210007,215668,225648,230156,230794,237859,233109,253460,249511,253476,256522,256158,254855,263589,258688,264526,273512,275453,285290,286777,291793,301403,302418,302703,297379,290637,280672,262817,282817,289191,291773,293608,288680,287718,302897,316144,338048,343195,345394,361857,377842,375151,381878,394398,407161,422793,423185,453849,468941,482845,504662,536367,534170,555276,547771,535338,507409,511833,522240,549012,544547,557592,581858,606972,617338,640649,655095,644955,652267,661801,664686,689260,691023,693177,702748,710652,709454,721063
"20","12","Primary income receipts, ITAs","B1239C0",108824,103796,100340,98232,102972,111776,116124,123540,135412,136180,142892,152184,160444,168568,167240,169288,172004,172680,172732,190164,174304,155148,148316,143560,142240,144252,135784,134044,138308,140456,143252,144404,150816,161200,175684,190088,205384,215600,213584,220076,224076,222540,228780,242720,252232,264572,267128,261500,269744,272808,261448,260968,274544,290139,309367,327165,340775,362729,355336,376449,335201,311074,282766,263774,271673,285776,301885,290703,305189,316248,327898,357435,390784,406618,428078,456880,506838,522308,553201,593577,630607,688432,713617,739701,771827,837705,879997,886603,873547,866581,842853,711851,601704,588236,620194,647381,661492,676800,685346,716023,731092,757964,778866,770986,772598,755227,754997,768720,760702,773987,784009,801783,800851,806930
"21","13","Less: Statistical differences \2\","B1240C0",-373,-630,-813,-912,-844,-845,-840,-838,-742,-760,-791,-836,-923,-977,-1026,-1069,-974,-1024,-1086,-1160,-1131,-1210,-1283,-1348,0,0,0,0,-29,-76,-38,148,70,14,-28,-54,-11,12,14,-16,35,-4,-20,-11,-48,-21,7,62,-2,37,21,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8058,8058
"22","14","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1241C0",7515,7924,8257,8528,8751,8942,9114,9284,9495,9704,9952,10233,10267,10430,10601,10781,10980,11003,11098,11259,11538,11835,12147,12464,12788,13085,13368,13627,13871,14124,14386,14659,14941,15232,15532,15841,16160,16428,16646,16813,16930,17157,17493,17940,18497,19069,19657,20261,20880,21326,21600,21700,21627,21788,22183,22811,23673,24558,25467,26400,27357,28108,28654,28993,29127,29296,29500,29740,30015,30310,30625,30959,31314,31673,32037,32406,32780,33007,33088,33024,32812,32684,32638,32674,32793,33022,33360,33809,34367,34835,35213,35501,35698,35911,36140,36384,36644,36767,36755,36607,36324,36016,35685,35330,34951,34708,34602,34631,34796,34921,35003,35045,35010,34975
"23","15","      Imputed interest received from the rest of the world","W320RC0",-238,-219,-200,-196,-185,-183,-179,-177,-171,-169,-182,-186,-200,-213,-208,-203,-199,-192,-192,-193,-191,-195,-214,-220,-237,-246,-250,-256,-260,-265,-270,-270,-278,-291,-289,-302,-310,-325,-348,-386,-442,-480,-530,-571,-599,-648,-668,-717,-771,-828,-887,-873,-936,-941,-990,-1072,-1108,-1157,-1171,-1192,-1201,-1186,-1173,-1135,-1083,-1137,-1129,-1134,-1111,-1087,-1037,-989,-994,-981,-1008,-1029,-1050,-1113,-1196,-1312,-1472,-1570,-1594,-1573,-1572,-1576,-1646,-1703,-1806,-1807,-1749,-1669,-1487,-1553,-1457,-1562,-1525,-1576,-1588,-1671,-2307,-2783,-3200,-3402,-3483,-3676,-3860,-4098,-4259,-4548,-4797,-5048,-5219,-5344
"24","16","Equals: Income receipts, NIPAs","B645RC0",116479,112127,109209,107480,112383,121378,125897,133485,145471,146475,153453,163066,171439,179764,178658,180934,183763,184516,184722,202387,186772,167995,161533,157152,154791,157094,148901,147421,151953,154392,157408,158646,165410,176125,190956,205681,221248,231694,229869,236521,240530,239222,245764,260100,270174,283013,286111,280986,289855,293271,282138,281853,295235,310987,330557,348903,363341,386129,379632,401656,361356,337998,310245,291634,299720,313935,330255,319310,334093,345471,357485,387405,421103,437310,459108,488256,538567,554202,585093,625288,661948,719546,744661,770803,803048,869151,911712,918709,906108,899608,876317,745682,635914,622594,654877,682203,696611,711991,720513,750959,765109,791197,811351,802913,804066,786259,785739,799253,791239,804360,814214,831780,822583,828503
"25","17","Imports of goods, ITAs","B1242C0",356878,366971,371206,378643,384092,402593,417647,434729,439852,443344,443605,461956,474838,484047,469835,481940,499788,487128,496526,510309,489306,480412,489791,504571,511849,529936,544193,560135,569325,587200,591052,609999,625211,652801,685365,711381,735865,759639,750741,751250,777779,800282,809467,824923,856836,869184,883898,897260,910670,913986,911416,938478,959766,1005370,1063784,1113449,1181600,1213954,1258232,1273103,1245503,1168284,1119435,1081580,1099685,1173485,1197821,1222135,1251076,1252834,1266017,1318429,1390388,1471990,1506251,1584768,1612688,1663437,1704872,1802282,1832216,1871564,1922176,1886819,1918411,1964878,1998493,2063606,2161563,2253731,2267335,1882517,1510837,1464164,1600923,1744177,1827695,1921767,1976026,2030313,2166744,2239911,2261960,2290927,2324218,2320013,2283763,2287145,2280658,2288284,2304097,2304771,2327498,2391898
"26","18","Less: Gold, ITAs \1\","B1095C0",7420,10485,5008,8512,3020,1889,3612,6615,7480,7057,2236,2673,3199,3665,3415,4325,1650,2127,2773,3257,3256,2969,2299,3063,2259,3554,2690,6731,5338,8405,11558,9983,8791,4686,2823,2647,4394,10814,2523,3430,6761,14638,6157,3436,8704,10957,2965,3806,6747,5458,7332,6573,3645,3422,7625,9524,9676,3018,4276,6800,6201,6558,2237,2529,2085,3507,3174,3086,2681,4189,4164,3992,4320,3441,4120,5010,4036,4226,4516,5696,6102,6398,5716,5295,8056,9922,10943,7337,18621,13220,13472,8673,9512,9723,9634,12711,10607,14071,12061,21279,16810,17694,18766,18630,16665,18562,19664,21964,19307,18780,16213,16664,15281,14971
"27","19","      Statistical differences \2\","B1243C0",0,0,0,0,0,0,0,0,0,0,0,0,-19,-18,-26,-24,17,19,24,22,25,27,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-497,-497
"28","20","Plus: Gold, NIPAs \1\","B1091C0",-460,-432,-612,3076,-836,-1144,-1056,-704,-1500,-1676,-1820,-1184,-1940,-2404,-2162,-2182,-1788,-3579,-2107,-2011,-3144,-2398,-2668,-2799,-2052,-3253,-3255,-2949,-2493,-3566,-3240,-3598,-4670,-3834,-3814,-3471,-3542,-3590,-3567,-3788,-3588,-3653,-4066,-3937,-3738,-3807,-3419,-3441,-3144,-2753,-2693,-2648,-2087,-2167,-2187,-2488,-2776,-2426,-2314,-2403,-2400,-2420,-2315,-2498,-2049,-2189,-2084,-2087,-2302,-2337,-2464,-2066,-2434,-2206,-2310,-2297,-2450,-2481,-2664,-2628,-3014,-3194,-3177,-4016,-3502,-4218,-4111,-4355,-4016,-4165,-4173,-4802,-4641,-5124,-5706,-5687,-7281,-5745,-7399,-8282,-9282,-10454,-11012,-12010,-12477,-11728,-10956,-11211,-9221,-7773,-7600,-6511,-7029,-6796
"29","21","      Adjustment for U.S. territories and Puerto Rico \3\","B1244C0",8707,9047,9171,9256,9300,9503,9819,10267,10612,11065,11573,12119,12269,12718,13163,13563,14043,14400,14661,14801,14086,16005,15635,15770,15927,14754,15609,14041,14369,14911,15850,16506,15473,17740,16931,17084,17532,19018,15066,16328,17106,16406,15173,14911,17067,17542,20852,20815,20016,21103,21108,23569,24462,24764,24371,22018,25041,23868,32477,31306,28306,30295,30956,29578,28018,29921,32771,33753,28988,32296,28638,30679,26355,27126,33273,32234,35795,25484,31431,30196,32835,38220,28276,23429,35599,31127,31669,23737,26298,28571,24048,24587,27650,29414,23418,23330,28764,26699,27585,47128,31818,39982,31411,30825,32103,36428,34567,29143,36456,40439,28287,28109,35794,34994
"30","22","Equals: Imports of goods, NIPAs","A255RC0",357705,365100,374759,382460,389537,409063,422798,437679,441486,445679,451121,470214,481986,490713,477447,489020,510376,495803,506283,519820,496967,491023,500436,514455,523470,537882,553860,564495,575865,590145,592109,612924,627223,662022,695660,722344,745464,764255,759719,760356,784526,798397,814409,832459,861459,871959,898369,910830,920800,926876,922498,952829,978495,1024545,1078344,1123452,1194187,1232376,1284123,1295208,1265200,1189600,1145838,1106132,1123573,1197710,1225338,1250715,1275085,1278603,1288030,1343051,1409992,1493470,1533097,1609694,1641999,1682209,1729122,1824160,1855935,1900192,1941560,1900937,1942452,1981866,2015108,2075651,2165223,2264918,2273738,1893629,1524334,1478731,1609001,1749109,1838571,1928650,1984152,2047881,2172471,2251745,2263593,2291113,2327179,2326150,2287710,2283112,2288586,2302170,2308572,2309706,2341479,2405622
"31","23","Imports of services, ITAs","B1245C0",79420,76264,81792,83112,85092,90148,91332,96584,98012,97128,98352,100628,100560,100964,103168,105224,112692,115056,119692,123180,119204,118640,116800,119196,119048,117772,120700,120728,119984,122644,123688,128808,131236,132092,134496,134412,137704,140388,142416,145088,148360,150424,155344,156092,161620,163516,168312,170284,173216,178508,183136,187860,187238,189199,195633,199506,207712,214931,224456,217363,217952,219081,214086,202720,219785,220528,222642,234565,232631,229637,248843,257763,272075,280868,284775,294618,296770,300759,306873,313387,332145,338411,337701,356401,359756,369345,377660,383540,399398,408322,416953,411534,382783,379618,386979,397825,397454,402733,414858,422206,417502,437682,445784,442075,443934,448847,451171,457489,452780,460253,463715,471788,467390,474134
"32","24","Less: Statistical differences \2\","B1246C0",-373,-630,-813,-912,-844,-845,-840,-838,-742,-760,-791,-836,-923,-977,-1026,-1069,-978,-1024,-1090,-1156,-1135,-1210,-1287,-1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7834,-7834
"33","25","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1247C0",1920,1996,2070,2142,2213,2282,2348,2412,2473,2531,2585,2636,2685,2735,2786,2839,2721,2876,3037,3126,3011,3048,3146,3271,3305,3293,3293,3313,3461,3488,3450,3317,3364,3446,3591,3803,3731,3700,3708,3757,3845,3926,4000,4065,4134,4176,4207,4230,4220,4238,4267,4311,4355,4437,4549,4692,4865,5004,5110,5182,5219,5243,5253,5249,5231,5233,5257,5301,5367,5455,5567,5703,5862,5992,6094,6168,6213,6252,6284,6309,6328,6380,6466,6587,6741,6835,6867,6838,6749,6644,6524,6390,6240,6117,6021,5951,5907,5873,5849,5834,5829,5845,5881,5938,6015,6065,6086,6079,6044,6018,6001,5992,5974,5956
"34","26","Equals: Imports of services, NIPAs","B656RC0",81713,78890,84675,86166,88149,93275,94520,99834,101227,100419,101728,104100,104168,104676,106980,109132,116391,118956,123819,127462,123350,122898,121233,123815,122353,121069,123993,124041,123445,126136,127142,132125,134604,135538,138091,138215,141435,144088,146124,148845,152209,154354,159348,160161,165754,167692,172519,174514,177436,182746,187403,192171,191593,193636,200182,204198,212578,219934,229566,222545,223171,224323,219338,207969,225016,225761,227898,239866,237998,235092,254410,263465,277937,286861,290869,300785,302983,307010,313157,319696,338473,344791,344166,362987,366497,376179,384527,390378,406148,414967,423477,417925,389023,385734,393001,403776,403360,408605,420707,428040,423331,443527,451665,448013,449949,454912,457256,463568,458825,466271,469716,477780,481198,487924
"35","27","Primary income payments, ITAs","B1248C0",86920,89452,84164,88688,91524,96736,101652,107336,114076,117272,126600,133984,142416,151588,148152,144092,148292,147056,151824,146212,141872,134040,130732,118160,116344,119000,113456,110580,107076,115736,112856,129484,129092,143880,160368,175860,181952,189836,202052,197240,194704,201952,211676,220524,238968,244160,255164,256700,256664,263196,265256,262796,267106,277838,300165,308354,326377,346056,344328,341812,315555,283216,278461,196673,243862,276554,278518,250381,278912,276535,288476,291831,306864,347820,358425,412742,429005,455645,475781,544966,579366,642172,680828,696643,727775,772171,756664,717106,718865,707645,666689,617046,500428,490771,468504,503474,486353,499873,514033,528758,529885,553087,548416,523676,558470,549265,564277,567554,576770,583958,577912,583226,591131,594401
"36","28","Less: Statistical differences \2\","B1249C0",-180,-303,-382,-415,-364,-349,-331,-329,-316,-309,-303,-292,-301,-293,-300,-320,-314,-338,-347,-358,-336,-346,-365,-399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14855,-14855
