"","Table 2#7A# Wage and Salary Disbursements by Industry, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"29","7","Government","B202RC1",183.7,184.7,185.6,186.4,187.3,187.9,188.7,189.4,190.1,192.8,194.2,194.9,195.8,196.6,197.5,198.5,199.6,200.6,202.1,203.6,204.9,208.6,210.4,211.5,212.9,214,214.7,215.8,217,218.4,219.9,221,222.1,225.7,227.1,228.3,230.6,230.6,231.9,233.8,233.5,234.8,236.9,238.6,239.5,244.2,246.2,247.4,249.8,251.4,253.1,255.2,258.2,259.7,261.5,263.2,264.3,272.1,273.9,275.5,277.4,278.8,280,281,282.1,283.3,284.6,285.7,289.4,294.4,295.7,297.1,299.3,300.4,301.9,303.2,304.5,305.9,309.3,308.4,309.6,314.1,316,317.7,318.4,319.3,320.3,321.7,326.8,324.4,325.2,330,327.5,328.4,329.7,331.2,336.5,338.9,341.1,342.9,344.6,346.4,349,351.8,354,355.1,356.6,358.2,363.3,365.7,367.3,371.8,370,371.5,374.2,376.8,379.4,380.3,383.5,385.3,386.1,388.1,390.1,391.7,393.2,394.8,397.1,399.5,401.6,404.3,407.1,409.9,413,414.1,414.9,417.3,419.8,422.2,423.2,424.3,425.3,428.6,432.2,436.8,439.7,442.1,444.3,446.3,448.6,450.7,452.6,454.7,455.8,457.9,460.4,462.7,468.9,470.7,471.7,474,476.1,478.3,480.7,483.7,485.7,487.9,490.7,493.4,502,505.5,508.5,511.2,515.2,518.9,519.8,521.9,523.7,526.5,528.5,530.6,541,543.1,544.4,544.3,544.6,546.8,549.1,547.1,547.3,549,551.6,553.6,560.4,563.7,565.8,567.4,568.4,569.4,570.9,571.5,572.2,576.9,571.4,572.3
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note. Estimates in this table are based on the Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Line",NA,NA,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1","    Wage and salary disbursements","A576RC1",2971.6,2974,2966.2,3058.6,3084.5,3073.5,3091.1,3111.1,3108.6,3121,3129.6,3302.7,3133.9,3124.8,3144.7,3210.5,3236.7,3233.4,3249.7,3253.5,3271.5,3307.5,3301.6,3317.9,3350,3362.9,3375.6,3392.5,3387.9,3408.2,3427.3,3436,3453,3469.4,3480.8,3487.9,3495.4,3536.6,3555.1,3567.9,3589.8,3621.7,3625.7,3649.5,3675.4,3681.1,3705.1,3731.4,3751.3,3782.6,3808.1,3818.5,3836,3855.4,3874.5,3908.3,3927.6,3956.8,3997.7,4014.7,4051,4078.4,4099.9,4120.8,4151.9,4168.7,4188.4,4226.3,4242.3,4264.4,4295.9,4313,4354.5,4381.9,4390.8,4401.4,4424.7,4434.7,4454.9,4482.9,4505.1,4547.1,4582.8,4634.3,4733.8,4760.5,4785.6,4781.5,4765.8,4802.3,4866.4,4867.3,4891.1,4895.4,4900,4901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2","Private industries","A132RC1",2382.7,2391.6,2383.8,2475.6,2501.1,2489.4,2503.5,2523.3,2518.2,2531.8,2539.1,2711.3,2535.3,2524.3,2542.9,2606.8,2628.3,2627.8,2642.8,2645.8,2662.4,2696.9,2691.7,2705.8,2727.6,2740,2752,2769.1,2764.2,2783,2801.7,2810.2,2826.6,2841.7,2851.7,2857.7,2859.5,2898.5,2914.8,2926.5,2946.8,2980.5,2980.1,3003.8,3026.9,3031.5,3054.2,3078.8,3091.6,3121.3,3145.8,3155.7,3172.1,3188.9,3204.6,3239,3255.2,3282.3,3321.2,3336.4,3367,3391.5,3411.3,3429.9,3458.1,3473,3489.9,3525.3,3538.8,3558.5,3587.7,3603,3638.5,3663.4,3670.9,3678.6,3701,3708.3,3726.1,3750.5,3769.4,3808.1,3840.4,3888.1,3975.5,3999.2,4019.2,4011.2,3993.4,4026.7,4088.7,4088.4,4110.3,4112.8,4115.3,4113.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3","  Goods-producing industries","A206RC1",747.1,751.4,747.4,779,779.4,778.1,782.2,784.3,790.1,792.2,796.6,834.2,792.9,794.4,802.4,815.5,820.4,823.2,827.9,830.7,836,841.5,845.6,848.7,848.4,851.6,853.9,858.6,855.2,859.2,865.2,866.3,870.7,873.7,875.8,873.5,871,886.6,886.7,895.6,900.8,907.3,911,915.7,919.5,921.2,927,933.5,941.4,947.6,954.9,957.6,961.8,964.8,969.5,977.7,982.2,992.7,1001.2,1008.8,1014.7,1019,1022.4,1026.3,1031.6,1032.2,1028.5,1041.8,1046.1,1047.2,1050.9,1057,1064,1070.4,1070.9,1071.4,1077.1,1078.4,1084.4,1086.9,1095.1,1101.8,1112.1,1124.4,1155.8,1163.7,1166.9,1154.8,1142.9,1152.1,1173.1,1169,1168.2,1167.1,1166.8,1156.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4","    Manufacturing","A552RC1",566.1,567.7,564.8,593.9,591.6,591.3,593.6,595.1,600.9,600.4,604,638.3,598,597.9,604.8,614.7,618.4,620.8,623.7,626.4,629.3,633.3,636.7,640.1,639.6,640.4,641.3,645.4,643,645.1,649.6,649.9,652.6,653.5,655,654,649.3,661.2,659.5,668,670.7,674.5,677.3,679.8,682.1,682.3,686.1,692.3,696.8,699.9,705.2,707.8,709.6,712.3,715.6,721.9,724.5,733.5,739.9,744.8,746.3,749,752.4,752.9,756.1,754.7,748.8,758.9,762.8,761.9,762.4,763.8,770.7,772.7,773.3,771.3,776.5,776.2,781.1,783.4,788,790.1,796.5,806.5,832.1,839.3,836,824.5,814.8,822.7,841.5,835.4,833.7,829.4,828.3,819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","5","  Distributive industries","A212RC1",676,675.6,671.6,690.1,698.2,693.9,698.5,701.8,699.5,703.5,702.1,734.6,710.9,707.4,715.2,728.3,733.7,736.7,739.9,740.5,745.7,757.5,754.1,757.4,764,766.5,769,774.8,772.1,777.8,780.9,784.6,788.2,788.8,791.6,792.8,791.9,802.5,808.7,806.6,812.1,822.8,817.9,825.4,832.1,831.8,837.1,844.1,846.4,853.2,861.6,862.7,866,869.3,874,885,888.8,894.6,906.7,905.4,914.8,921.8,923.9,928,937.3,940,947.4,956,959.9,964.4,974.9,976.4,989.2,1001.1,1001.3,1003.4,1007.8,1011.4,1016.9,1026.1,1026.5,1040.1,1046.9,1061.4,1070.3,1072,1078.4,1085.2,1080.9,1089.3,1101.3,1096.9,1107.8,1103.6,1104,1107.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","6","  Service industries","A218RC1",959.6,964.6,964.8,1006.5,1023.4,1017.4,1022.8,1037.2,1028.6,1036.1,1040.5,1142.6,1031.4,1022.4,1025.4,1063,1074.2,1067.9,1075,1074.6,1080.7,1097.9,1092,1099.7,1115.3,1121.8,1129.1,1135.7,1136.9,1146,1155.6,1159.2,1167.7,1179.3,1184.3,1191.4,1196.6,1209.4,1219.4,1224.3,1234,1250.4,1251.2,1262.7,1275.3,1278.6,1290,1301.3,1303.8,1320.5,1329.3,1335.3,1344.3,1354.9,1361.1,1376.3,1384.2,1394.9,1413.3,1422.3,1437.4,1450.6,1465,1475.6,1489.2,1500.8,1514,1527.5,1532.8,1546.9,1561.8,1569.6,1585.3,1591.9,1598.7,1603.7,1616.1,1618.5,1624.8,1637.6,1647.7,1666.2,1681.5,1702.3,1749.4,1763.5,1773.9,1771.2,1769.5,1785.3,1814.3,1822.5,1834.3,1842,1844.5,1850.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","7","Government","B202RC1",588.9,582.5,582.4,583,583.5,584.1,587.5,587.8,590.4,589.2,590.5,591.3,598.6,600.6,601.8,603.7,608.4,605.6,606.9,607.8,609.1,610.6,609.9,612.1,622.4,623,623.6,623.4,623.6,625.2,625.5,625.9,626.4,627.6,629.1,630.2,635.9,638.1,640.3,641.4,643,641.1,645.6,645.7,648.5,649.5,651,652.5,659.7,661.3,662.3,662.8,663.9,666.5,669.9,669.2,672.4,674.5,676.5,678.3,684.1,686.9,688.6,690.9,693.9,695.7,698.5,701,703.5,705.9,708.2,710,716.1,718.5,719.9,722.8,723.6,726.3,728.7,732.4,735.7,739,742.4,746.1,758.2,761.2,766.4,770.3,772.4,775.6,777.8,778.9,780.8,782.7,784.7,787.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Note. Estimates in this table are based on the Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
