"","Table 5#5#5U# Private Fixed Investment in Equipment and Software","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2009 2:42:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","      Steam engines","BA13RC0",446,438,378,319,293,284,287,344,561,730,866,1044,1232,1427,1390,1481,1408,1371,1248,1160,1202,1163,1485,1315,1175,1176,1401,1030,1752,1713,2255,2167,2773,2584,2395,2632,1890,2497,2042,2815,3278,5073,8505,9543,7878,2534,2892,3807,4914,6879
"25","18","      Internal combustion engines","BA14RC0",138,118,99,106,130,143,163,202,199,210,238,221,221,258,301,335,335,399,489,689,675,767,850,658,593,759,781,839,757,1005,1006,948,1056,1079,1122,1254,1401,1482,1702,1612,2203,2028,2292,2035,2174,2212,2584,3067,2990,2907
"26","19","    Metalworking machinery","C271RC0",1307,1549,1399,1576,1906,2033,2625,3290,4223,3915,3970,3980,3144,3717,4919,6068,6059,6440,7250,9348,11572,13269,14104,12166,9324,11310,12456,13103,12468,13878,16693,15959,15677,16865,18676,22260,26386,27463,29725,30003,29133,29892,25435,22973,22802,23370,26328,27877,28950,29872
"27","20","    Special industry machinery, n.e.c.","C272RC0",1660,1928,1853,2042,2066,2395,3108,3466,3324,3460,3745,3921,3791,4216,4840,5356,5162,5524,6130,8246,9365,10483,11336,11881,12378,14405,15789,17118,18731,20863,23677,22550,21278,21799,24316,26375,31158,32787,32807,34211,34828,39611,35240,30733,29560,29343,31777,35320,38444,34749
"28","21","    General industrial, including materials handling, equipment","C273RC0",2237,2473,2329,2510,2875,3442,3927,4571,4270,4347,5028,5257,5200,5488,6855,8281,8451,9369,11988,14756,17188,17970,18968,18079,16812,20311,21868,24178,23590,26013,27015,27381,25817,27380,32166,35352,39874,41970,44303,47614,46291,49384,45553,45501,49012,51731,60165,66323,70796,70075
"29","22","    Electrical transmission, distribution, and industrial apparatus","C276RC0",1788,1944,1880,1907,1880,2117,2363,2866,2937,2914,3086,3282,3103,3337,4040,4668,4586,4920,6112,6475,7383,7910,8859,9022,9451,11495,11548,11173,12282,12751,13718,13965,13339,13655,14208,15710,17414,18187,19291,20200,21900,24976,22974,20277,19660,20822,22350,25949,29584,31591
"30","23","  Transportation equipment","A681RC0",8273,8509,8026,9789,9432,10577,13215,14518,14266,17629,18890,16242,18412,21849,26560,26279,25168,29989,39277,47322,53639,48385,50556,46821,53511,64407,68954,70469,68065,72861,67918,69960,71531,74715,89425,107732,116077,123151,135531,147146,174359,170786,154216,141568,132894,161118,181715,198210,181702,132308
"31","24","    Trucks, buses, and truck trailers","C279RC0",2616,2567,2660,3410,3596,3736,4655,5407,4857,5926,7158,6208,7248,9434,11214,11612,9188,12128,16209,19932,21826,17097,18134,17777,20831,28184,32004,28412,28763,29124,28518,23723,22025,26262,37179,51030,58624,64622,73191,79766,90227,82769,66073,62058,64962,86419,102986,114129,93289,61146
"32","25","      Light trucks (including utility vehicles) \2\","W178RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10691,11979,10755,9713,9870,10168,15242,25901,29654,38981,49354,49675,55941,53055,44988,40685,43967,57017,66525,73304,66523,40027
"33","26","      Other trucks, buses, and truck trailers \2\","W179RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18072,17145,17762,14009,12154,16094,21937,25130,28969,25641,23837,30091,34287,29714,21085,21373,20995,29402,36461,40825,26766,21119
"34","27","    Autos \2\","C280RC0",3661,3821,3547,4251,4009,4179,5079,4768,4590,5985,6330,5261,7404,7862,8855,8292,8607,10870,14249,16619,15870,14258,16711,16594,21943,25606,26451,29832,26397,29487,26132,29138,31299,30545,33265,41108,37101,37946,38296,36808,42836,43832,42829,43655,39145,41265,45029,49650,50949,39151
"35","28","    Aircraft","C281RC0",861,779,815,781,488,841,1283,1816,2489,3666,2753,2421,1326,1914,2990,2443,2303,2354,3416,4300,7003,8014,7731,7130,7308,6674,7217,9000,9719,10449,8475,12116,13417,13721,13386,9114,13274,12914,15511,20989,30813,33515,36608,27240,20295,23724,21967,21475,24017,20256
"36","29","    Ships and boats","C282RC0",487,454,395,414,362,424,489,529,556,756,856,889,861,1102,1683,1567,2273,2271,2501,2586,3215,3460,4451,3129,1934,1711,1294,1476,1825,1602,1485,1554,1598,1177,2158,1840,1797,2312,2715,2891,2975,3499,3233,3827,4241,4850,4771,4340,4567,3836
