"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"30","22","      Leather and allied product manufacturing","PK3163",99.465,99.775,99.642,99.878,99.25,98.761,98.969,98.847,98.909,99.596,100.072,99.563,99.334,99.192,99.209,98.847,98.98,98.964,99.199,98.936,99.014,98.879,98.476,98.679,97.964,98.184,98.135,98.19,98.05,98.44,98.589,98.648,98.812,99.042,99.072,99.103,99.455,99.589,99.514,99.674,99.403,99.289,99.528,99.875,100.497,100.499,101.129,101.466,101.578,102.459,102.798,104.088,104.517,103.811,103.805,104.068,103.166,102.824,102.4,101.879,102.365,101.945,101.983,102.075,102.509,102.96,103.364,104.139,104.035,103.878,104.235,104.395,104.365,104.461,104.505,104.9,104.343,104.687,104.855,104.721,105.215,105.466,105.689,105.642,105.711,105.916,105.995,105.682,105.592,105.682,105.894,105.734,105.658,105.609,105.843,105.919,105.899,106.04,106.106,106.071,106.113,106.241,106.426,106.275,106.236,106.376,106.416,106.379,106.427,106.835,107.071,107.587,107.881,107.835,107.851,108.068
"31","23","      Paper manufacturing","PK3223",92.163,91.457,90.749,90.079,90.225,90.453,90.55,91.201,92.09,92.421,93.293,94.297,94.662,94.716,94.621,94.243,94.275,94.056,93.921,93.509,92.841,92.153,91.662,91.397,91.078,90.9,91.44,91.911,92.332,92.93,93.164,93.758,94.684,95.615,95.82,95.945,96.478,96.891,98.3,99.77,100.904,101.193,100.955,100.933,101.195,101.331,101.284,101.173,101.039,101.081,101.007,101.114,100.726,100.699,100.301,99.504,99.478,99.18,98.777,98.944,98.455,97.966,97.649,97.918,97.31,97.503,97.501,97.944,98.411,98.874,99.201,99.117,99.073,99.045,98.9,98.877,99.044,98.927,98.624,98.695,98.601,98.345,98.459,98.478,97.819,97.857,98.001,98.559,99.483,100.659,101.435,102.576,103.226,103.764,103.941,104.268,104.627,104.921,105.484,105.555,105.662,105.696,105.442,105.138,105.125,105.218,106.088,106.392,106.85,108.222,109.358,109.234,110.4,111.579,111.465,111.821
"32","24","      Printing and related support activities","PK3233",95.061,95.053,94.985,95.178,95.149,95.244,95.498,95.664,95.68,96.615,96.752,96.768,96.951,96.99,97.211,97.485,97.398,97.234,97.435,97.483,97.558,97.673,97.626,97.569,97.185,97.2,97.427,97.495,97.536,97.56,97.641,97.797,97.753,98.062,98.164,98.263,98.383,98.553,99.058,99.537,99.634,100.32,100.494,100.595,100.657,100.954,100.847,101.01,101.014,101.181,101.338,101.793,101.574,101.557,101.63,101.357,101.418,101.36,101.294,101.035,101.221,101.222,100.899,101.043,101.021,101.148,101.233,101.057,101.015,101.004,101.014,101.076,100.992,101.285,101.287,101.353,101.415,101.414,101.21,101.356,101.375,101.301,101.293,101.174,101.248,101.255,101.478,101.916,101.888,101.995,102.356,102.369,102.877,102.981,103.201,103.203,103.576,103.47,103.623,103.64,103.689,103.851,104.246,104.437,104.713,104.866,104.901,105.058,105.624,106.021,106.556,106.682,106.731,106.948,106.889,107.273
"33","25","      Petroleum and coal product manufacturing","PK3243",84.16,83.706,80.832,76.638,73.067,72.962,71.653,74.926,73.838,73.493,72.759,72.382,67.387,64.5,61.308,60.972,60.148,59.166,59.165,55.676,54.618,56.74,55.491,52.143,54.166,51.931,56.048,66.311,64.301,63.897,69.729,74.267,75.693,74.561,78.856,86.662,88.126,96.623,103.572,94.417,91.934,102.074,101.141,97.441,104.018,104.154,108.664,108.861,104.876,103.417,98.309,102.169,103.34,99.381,88.647,89.988,96.464,81.134,77.328,72.246,72.774,72.959,79.914,87.825,82.805,85.395,89.173,89.58,93.693,101.043,98.31,100.609,108.416,128.269,129.642,101.956,94.158,101.539,104.571,108.494,103.802,103.007,107.925,114.401,122.408,121.067,118.3,122.597,129.339,127.164,135.321,136.664,135.766,148.345,160.895,147.362,144.83,151.823,160.478,163.638,156.702,168.586,181.937,189.379,206.589,215.789,197.909,205.279,204.301,195.086,199.194,219.419,226.062,243.984,243.23,242.168
"34","26","      Chemical manufacturing","PK3253",94.232,94.171,94.11,94.024,94.055,94.068,94.166,94.29,94.316,94.321,94.36,94.464,94.32,94.097,95.186,95.283,95.148,95.099,95.067,94.887,94.603,94.423,94.386,94.355,94.087,93.857,93.786,93.818,94.221,94.764,95.336,95.508,96.237,97.416,97.667,97.769,98.175,98.69,99.007,99.096,99.592,99.806,100.432,100.499,100.995,101.177,101.023,101.456,102.349,102.976,102.789,102.618,101.818,101.708,100.441,99.682,99.973,99.388,99.34,98.75,98.41,98.334,98.809,99.015,99.38,99.837,100.863,100.988,101.059,101.621,101.885,101.616,102.358,103.235,104.955,105.852,105.544,105.18,104.956,104.795,105.036,105.206,105.143,105.463,106.282,106.708,107.342,108.18,108.605,109.916,111.024,112.157,113.747,114.715,115.467,116.714,117.569,117.905,118.879,119.667,119.698,119.446,120.047,120.126,120.977,123.311,125.101,125.277,125.892,126.217,126.318,125.428,126.506,127.148,127.798,128.051
"35","27","      Plastics and rubber product manufacturing","PK3263",98.494,98.508,98.367,98.589,98.62,98.557,98.585,98.563,98.379,98.312,98.365,98.325,98.287,98.327,98.274,98.162,97.995,97.849,97.678,97.524,97.43,97.326,97.282,97.393,97.296,97.295,97.281,97.575,97.534,97.854,97.998,98.33,98.414,98.698,99.031,99.146,99.27,99.33,99.362,99.577,99.378,99.864,100.379,100.112,100.276,100.282,101.097,101.213,101.094,100.911,101.294,101.271,101.383,101.316,101.212,100.786,100.561,100.55,100.607,100.393,100.218,99.896,100.046,100.269,100.501,100.972,100.733,101.003,101.35,101.371,100.941,101.015,101.344,102.28,103.016,103.736,103.787,103.581,103.489,103.653,103.325,103.33,103.363,103.461,103.545,103.984,104.043,104.255,104.592,105.079,105.48,105.88,106.797,107.513,108.278,108.952,109.836,110.562,111.264,111.551,111.789,112.168,112.452,112.56,113.492,114.906,116.741,117.504,118.049,118.179,118.387,118.361,119.015,118.385,118.993,120.047
"36","28","  Merchant wholesale industries","PK42W3",103.737,103.489,103.664,103.021,102.586,101.994,101.531,101.82,101.536,101.579,101.202,100.971,99.823,99.477,99.128,98.665,98.308,97.734,97.629,96.416,96.023,96.299,95.986,95.485,95.706,95.139,95.512,96.211,96.26,96.312,96.404,97.145,97.511,97.428,97.879,98.591,98.788,99.832,100.503,99.707,100.04,100.295,99.929,99.335,100.138,100.336,100.684,100.398,100.356,99.962,99.604,99.545,99.658,99.185,98.3,98.386,98.579,96.888,96.443,96.114,96.203,96.43,97.308,97.33,97.223,97.22,97.948,98.438,98.85,99.416,98.83,98.962,100.137,101.685,102.06,100.027,99.506,99.744,99.781,100.343,100.481,101.258,101.858,102.888,103.624,103.978,104.735,105.446,106.023,105.451,106.289,106.597,106.933,108.481,108.77,108.21,108.45,108.767,110.013,110.093,109.552,110.093,111.046,111.585,113.263,113.409,112.781,113.754,113.725,113.176,113.411,115.145,116.332,117.706,118.166,117.779
"37","29","    Durable goods merchant wholesale industries","PK42WD3",110.228,110.067,110.055,109.788,109.218,109.056,108.712,108.501,108.12,107.8,107.556,107.251,106.521,106.017,105.658,105.099,104.629,104.115,103.728,102.913,102.611,102.196,101.892,101.504,101.093,101.013,100.717,100.515,100.456,100.425,100.423,100.332,100.282,100.444,100.615,100.715,100.777,100.655,100.596,100.54,100.378,100.23,100.158,99.603,99.579,99.408,99.149,98.961,98.283,97.872,97.672,97.551,97.481,97.377,97.155,96.797,96.727,96.196,96.017,95.822,95.715,95.754,95.762,95.74,95.769,95.968,95.817,95.654,95.794,95.852,95.649,95.517,95.616,95.642,95.852,95.507,95.51,95.456,95.414,95.521,95.834,96.141,96.479,96.716,97.267,97.939,98.519,98.851,98.863,98.929,99.823,100.595,100.812,101.231,101.491,101.518,101.494,101.39,101.378,101.572,101.064,100.584,100.514,100.881,101.591,101.198,101.414,101.714,101.867,102.211,102.295,102.874,104.061,104.582,104.727,104.284
"38","30","      Motor vehicles, parts, and supplies wholesalers","PK42113",100.871,100.697,100.762,100.535,100.056,100.121,99.36,99.57,99.702,99.325,99.001,98.738,98.759,98.875,98.899,98.761,98.476,98.257,98.819,98.73,99.019,99.436,99.642,99.385,99.067,99.14,98.879,99.148,99.425,99.273,99.196,99.358,99.568,100.325,99.945,99.912,99.762,99.563,99.673,99.672,100.289,99.928,100.055,99.911,100.283,99.916,100.385,100.575,100.433,99.294,99.614,100.07,99.429,99.462,100.219,100.044,100.44,98.557,98.662,99.063,98.521,98.907,98.52,98.402,98.212,98.446,97.635,97.302,97.715,97.859,97.3,96.891,97.209,97.49,99.022,97.115,97.196,96.858,97.008,97.197,96.698,97.441,97.22,96.78,96.725,96.844,97.251,97.045,97.398,97.823,97.039,97.203,97.655,98.225,98.251,98.485,98.774,98.131,98.071,98.335,98.783,98.804,99.475,99.449,100.043,97.282,96.907,96.591,95.585,96.062,96.229,96.306,96.366,96.781,95.955,94.436
"39","31","      Furniture and home furnishings wholesalers","PK42123",97.626,97.679,97.771,97.423,97.675,97.671,98.027,97.977,98.042,98.131,98.254,98.283,98.282,98.411,98.503,98.407,98.631,98.473,98.305,98.353,98.297,98.437,98.548,98.567,98.373,98.258,98.511,98.426,98.527,98.837,98.727,98.82,98.846,99.046,99.082,99.045,99.129,99.397,99.621,99.707,99.707,100.045,99.986,100.404,100.231,100.527,100.462,100.758,100.642,100.901,100.591,101.002,100.819,100.664,100.951,100.617,100.485,100.917,100.779,100.729,101.068,100.934,100.828,100.93,100.719,101.074,101.429,101.458,101.611,101.642,101.877,101.488,101.634,101.656,101.783,102.035,102.167,102.615,102.628,102.634,102.353,102.582,103.175,102.442,102.373,102.599,102.221,102.847,103.453,103.914,104.248,104.874,104.846,105.217,106.276,106.478,106.489,106.777,107.435,107.745,108.005,108.189,108.555,108.517,108.751,108.987,109.863,109.923,110.745,110.97,110.833,110.798,111.106,111.011,111.179,111.323
"40","32","      Lumber and other construction materials wholesalers","PK42133",99.915,101.158,101.426,102.228,102.933,101.798,102.042,101.572,100.592,99.213,99.501,99.312,98.67,99.012,99.135,99.161,98.237,96.708,97.513,97.92,96.934,96.376,96.077,96.753,97.703,98.843,99.898,99.984,100.817,102.378,104.533,103.28,101.793,100.333,100.767,101.27,101.842,101.821,102.19,101.848,100.583,100.423,99.698,98.857,98.153,98.369,98.071,98.132,97.65,98.051,98.464,98.83,101.558,102.799,100.962,100.825,100.15,98.787,98.218,97.622,98.596,99.321,100.178,100.123,100.089,99.519,99.662,100.047,99.58,99.108,98.85,98.621,98.863,99.727,99.828,100.001,100.217,100.532,101.592,101.578,103.564,102.78,103.035,103.281,103.958,105.932,108.166,110.372,112.788,111.962,112.089,114.813,115.098,111.949,109.844,110.105,111.086,113.256,113.683,113.861,112.054,113.312,112.745,111.873,113.042,113.35,112.986,113.707,115.986,116.604,116.479,116.296,116.775,114.94,114.483,113.242
"41","33","      Professional and commercial equipment wholesalers","PK42143",156.351,154.622,153.34,152.246,148.616,147.345,145.784,143.665,142.292,140.656,139.002,138.018,135.011,132.143,130.542,127.769,125.961,124.898,123.347,119.936,118.95,117.135,115.969,114.355,112.827,111.516,110.422,109.158,108.301,107.356,106.324,105.492,104.926,104.026,103.774,103.288,102.929,102.203,101.644,101.108,100.68,100.098,100.23,99.028,98.841,98.349,97.726,97.178,94.268,93.146,91.932,91.878,91.284,91.13,90.417,89.091,88.603,87.875,87.122,86.603,86.189,85.609,85.377,84.786,84.728,84.361,83.779,83.246,83.034,82.545,82.199,81.961,81.62,80.614,80.394,80.456,80.15,79.971,79.603,79.287,79.539,79.381,79.24,78.89,78.932,78.852,78.767,78.636,78.488,78.107,78.001,77.67,78.083,77.731,77.298,77.271,76.443,76.523,76.089,75.8,75.225,75.145,74.774,74.729,74.277,74.14,73.801,73.581,73.396,72.954,72.691,72.315,72.263,71.855,71.682,71.329
"42","34","        Computers and software wholesalers","PK42433",217.557,213.658,209.987,206.756,198.439,195.486,191.952,187.157,183.916,180.196,176.589,174.183,168.283,162.092,158.707,153.432,149.971,147.892,144.814,138.082,136.112,132.55,130.13,127.13,124.354,122.017,119.808,117.301,115.689,113.999,112.018,110.351,109.4,107.807,107.2,106.324,105.63,104.354,103.22,102.224,101.402,100.249,100.304,98.098,97.409,96.405,95.622,94.471,89.245,87.528,85.199,84.945,83.746,83.397,82.01,79.45,78.318,76.903,75.6,74.5,73.809,72.585,72.25,71.402,71.234,70.455,69.369,68.295,67.823,66.903,66.117,65.648,64.555,63.164,62.539,62.443,61.998,61.525,60.832,60.236,60.529,59.809,59.427,58.817,58.447,58.332,58.104,57.752,57.419,56.702,56.461,55.861,56.348,56.035,55.163,54.98,53.566,53.273,52.414,52.017,50.915,50.642,49.886,49.642,48.911,48.715,48.21,47.62,47.313,46.589,46.064,45.333,44.965,44.536,43.942,43.525
"43","35","        Other professional and commercial equipment wholesalers","PK424X3",98.442,98.105,98.325,98.611,98.523,98.449,98.388,98.41,98.545,98.605,98.601,98.827,98.473,98.662,98.755,98.532,98.446,98.465,98.515,98.585,98.63,98.677,98.855,98.733,98.629,98.551,98.819,99.039,99.12,99.091,99.267,99.531,99.463,99.487,99.666,99.621,99.546,99.465,99.608,99.65,99.714,99.842,100.079,100.115,100.545,100.64,100.234,100.448,100.402,100.045,100.192,100.384,100.501,100.604,100.707,100.783,101.059,101.134,101.028,101.195,101.153,101.326,101.232,100.943,101.018,101.147,101.176,101.345,101.469,101.538,101.722,101.756,102.313,101.764,102.033,102.278,102.141,102.312,102.348,102.375,102.575,103.117,103.292,103.294,103.904,103.879,103.992,104.166,104.274,104.362,104.437,104.491,104.794,104.426,104.614,104.805,104.869,105.481,105.7,105.598,105.855,106.07,106.298,106.552,106.565,106.521,106.45,106.803,106.841,106.867,107.037,107.258,107.715,107.388,107.932,107.736
"44","36","      Metal and mineral (except petroleum) wholesalers","PK42153",105.388,105.716,106.331,106.177,106.041,106.318,106.209,106.211,106.222,106.335,106.488,106.231,105.005,104.762,104.19,104.069,103.7,102.863,101.987,100.674,99.412,98.365,97.556,96.729,95.268,95.377,94.832,94.774,95.007,95.146,95.187,95.758,95.855,97.146,98.353,99.21,100.333,100.428,101.283,101.349,100.705,100.467,100.518,100.144,99.579,99.045,98.13,97.995,97.65,97.557,97.014,96.294,96.039,95.031,95.039,94.603,94.212,93.974,94.07,93.524,93.723,93.891,94.636,95.691,96.509,97.786,98.416,98.768,99.826,100.706,101.458,101.466,101.515,102.419,102.36,102.175,101.463,101.163,100.983,101.944,102.478,104.576,106.616,109.122,113.232,118.182,122.365,126.465,127.967,128.317,135.053,139.756,141.052,144.533,147.392,147.591,148.397,146.785,146.103,145.729,143.184,138.899,137.158,137.514,141.423,142.455,145.995,146.893,148.368,149.265,149.956,153.342,160.095,166.056,168.883,167.168
"45","37","      Electrical goods wholesalers","PK42163",105.84,105.718,105.808,105.398,105.233,105.303,105.333,104.954,104.693,104.333,104.192,103.977,103.656,103.293,103.228,103.073,103.006,102.701,102.383,102.31,102.151,102.276,102.274,102.246,102.163,102.274,102.057,101.917,101.616,101.357,101.187,101.109,101.033,100.829,100.671,100.705,100.434,100.316,100.034,100.207,100.193,100.168,100.23,99.942,99.855,99.758,99.589,99.324,99.22,99.059,98.916,98.598,98.499,98.315,98.271,98.013,97.806,97.839,97.799,97.831,97.886,97.851,97.758,97.425,97.203,97.241,96.997,97.051,96.946,96.722,96.585,96.426,96.364,96.105,96.009,95.999,95.924,95.784,95.833,95.585,95.507,95.299,95.302,95.072,94.678,94.354,94.326,94.257,94.325,94.274,94.009,93.953,93.879,93.842,93.864,94.043,94.189,94.338,94.266,94.196,94.048,94.001,94.026,93.97,93.685,93.739,93.484,93.466,93.382,93.5,93.623,93.956,93.3,94.295,94.587,94.727
"46","38","      Hardware and plumbing and heating equipment wholesalers","PK42173",96.984,97.062,97.115,97.196,97.218,97.357,97.312,97.519,97.579,97.712,97.759,97.86,97.732,97.935,97.776,97.813,97.867,97.839,97.917,97.865,97.944,98.02,98.164,98.175,98.333,98.039,98.115,98.245,98.319,98.676,98.708,98.894,98.982,99.045,99.197,99.402,99.326,99.512,99.668,99.857,99.851,100.015,100.209,100.326,100.239,100.322,100.324,100.33,100.577,100.887,100.721,100.584,101.041,101.098,101.069,101.121,101.309,101.452,101.67,101.672,101.585,101.545,101.686,101.612,101.679,101.564,101.637,101.813,101.972,101.892,101.806,101.895,102.215,102.394,102.495,102.498,102.599,102.713,102.877,102.876,102.979,103.112,103.415,103.449,104.062,104.174,104.361,104.628,105.296,105.764,106.347,106.504,107.066,107.716,108.088,108.307,109.363,110.07,110.248,110.534,110.606,110.729,110.896,111.622,111.713,111.989,112.644,112.605,112.812,112.716,112.993,113.817,113.727,114.221,115.72,115.942
"47","39","      Machinery, equipment, and supplies wholesalers","PK42183",97.245,97.334,97.261,97.378,97.416,97.526,97.625,97.674,97.616,97.769,97.895,97.98,98.074,98.095,98.195,98.181,98.228,98.273,98.272,98.33,98.504,98.649,98.799,98.827,98.921,98.995,98.949,99.099,99.043,99.051,99.081,99.096,99.173,99.326,99.442,99.495,99.59,99.746,99.738,99.826,99.856,99.919,100.09,100.102,100.216,100.269,100.256,100.382,100.535,100.664,100.669,100.799,100.869,100.958,100.958,101.044,101.141,101.276,101.29,101.286,101.265,101.298,101.436,101.442,101.453,101.569,101.78,101.938,102.033,102.083,102.125,102.292,102.434,102.508,102.656,102.769,102.797,103.079,103.187,103.266,103.322,103.503,103.757,103.958,104.228,104.48,104.805,105.299,105.639,105.972,106.341,106.633,107.027,107.708,108.119,108.668,109.32,109.828,110.4,110.8,111.363,111.558,111.823,112.03,112.309,112.627,112.991,113.312,113.648,114.084,114.308,114.458,114.858,115.508,115.928,116.294
"48","40","      Miscellaneous durable goods wholesalers","PK42193",101.98,101.925,102.475,101.984,101.908,101.952,101.604,102.561,101.838,102.289,102.443,101.91,101.237,101.048,100.527,100.166,99.672,98.749,97.714,96.627,96.37,95.553,94.84,94.507,94.247,94.796,94.455,94.304,94.677,95.373,96.276,96.806,97.527,99.206,100.529,101.235,101.757,101.835,101.668,101.663,101.147,101.216,100.147,98.389,98.706,98.63,97.885,97.16,96.592,96.101,96.529,95.529,95.622,95.186,94.388,94.446,94.81,94.385,94.227,93.559,93.434,93.851,93.924,94.766,95.213,96.497,96.833,96.195,96.711,97.865,97.368,97.397,97.974,98.992,98.944,98.278,99.012,98.999,98.419,99.415,101.071,102.29,103.968,106.127,108.288,110.52,111.36,110.58,107.452,107.79,112.571,115.177,114.168,116.247,117.851,116.554,115.254,113.675,113.76,115.107,112.886,110.265,110.09,113.176,116.792,116.075,116.914,119.287,119.93,121.696,121.927,125.241,132.604,132.888,132.923,132.594
"49","41","    Nondurable goods merchant wholesale industries","PK42WN3",96.95,96.613,96.954,95.949,95.64,94.631,94.049,94.817,94.627,95.029,94.521,94.364,92.809,92.622,92.286,91.923,91.684,91.054,91.239,89.632,89.156,90.114,89.798,89.189,90.045,88.981,90.043,91.671,91.833,91.969,92.154,93.77,94.574,94.232,94.976,96.339,96.659,98.963,100.423,98.817,99.678,100.362,99.677,99.034,100.721,101.301,102.299,101.907,102.543,102.169,101.643,101.647,101.953,101.092,99.525,100.067,100.523,97.664,96.95,96.484,96.767,97.18,98.929,98.996,98.755,98.551,100.163,101.311,102,103.069,102.107,102.503,104.75,107.81,108.358,104.632,103.593,104.126,104.242,105.262,105.226,106.484,107.354,109.206,110.132,110.154,111.098,112.215,113.413,112.138,112.915,112.713,113.181,115.963,116.287,115.079,115.616,116.4,119.045,118.993,118.419,120.107,122.214,122.946,125.726,126.498,124.892,126.651,126.407,124.813,125.219,128.281,129.458,131.81,132.632,132.314
"50","42","      Paper and paper products wholesalers","PK42213",88.97,88.347,87.492,86.959,87.218,87.537,87.648,88.838,89.89,90.302,91.418,92.263,92.667,92.614,92.613,92.247,92.136,92.084,91.399,90.662,89.643,88.73,87.911,87.467,87.151,87.236,88.047,88.598,89.272,89.85,90.559,91.534,92.836,93.387,93.882,94.189,94.915,95.584,97.941,99.554,101.222,101.641,101.479,101.525,101.587,101.758,101.775,101.601,101.734,101.411,101.096,100.728,100.009,99.212,98.533,97.12,96.777,96.194,95.926,96.089,95.477,95.015,94.439,94.238,93.949,94.173,94.485,95.377,95.742,96.223,96.225,96.057,95.936,96.244,96.317,96.629,97.094,97.101,96.547,96.354,95.789,95.653,95.754,95.976,95.306,95.443,95.688,96.739,98.071,99.699,100.949,102.057,102.713,102.717,103.062,103.75,104.398,105.208,105.692,105.512,105.438,104.476,103.887,102.575,102.972,103.966,105.239,105.807,106.256,108.136,109.091,108.415,111.089,112.25,112.396,113.349
"51","43","      Drugs and druggists' sundries wholesalers","PK42223",89.84,89.749,89.54,89.26,89.43,89.568,89.601,89.756,89.857,90.166,90.451,90.694,90.666,91.374,95.607,95.61,95.991,96.39,96.729,96.739,96.796,97.15,97.417,97.579,97.323,97.317,97.465,97.269,97.373,98.276,98.531,98.556,98.962,99.197,99.438,99.426,99.617,99.675,99.475,99.566,99.759,99.594,99.941,100.413,100.486,100.37,100.35,100.567,100.747,100.918,100.849,100.988,100.523,100.969,100.646,100.689,100.872,101.053,101.244,101.26,101.415,101.469,101.551,101.624,101.755,102.035,102.131,102.533,102.779,103.078,103.06,103.129,103.491,103.403,103.592,103.802,104.165,104.408,104.669,104.741,105.124,105.181,105.505,105.722,106.475,106.607,106.629,107.137,107.457,107.28,107.316,107.721,107.702,108.05,108.385,108.919,109.199,110.231,110.279,110.46,111.34,111.817,113.001,113.217,112.888,112.996,113.57,113.608,114.281,114.553,114.72,114.319,115.305,115.76,115.931,115.481
"52","44","      Apparel, piece goods, and notions wholesalers","PK42233",100.079,100.239,100.311,100.354,100.497,100.433,100.525,100.631,100.773,100.754,100.788,100.824,101.228,101.107,100.999,100.965,100.955,100.796,100.671,100.696,100.829,100.789,100.672,100.459,100.432,100.282,100.344,100.288,100.201,100.049,100.121,100.024,100.156,100.042,99.939,100.195,100.145,100.201,100.185,100.173,100.112,99.69,99.915,99.948,100.012,99.928,99.883,99.829,99.842,99.918,100.427,100.261,100.111,100.036,99.921,100.065,99.69,99.514,99.487,99.362,99.126,98.997,98.521,98.359,98.369,98.307,98.224,98.286,98.131,98.306,98.308,98.905,98.728,98.645,98.751,98.808,98.918,98.744,98.655,98.867,98.964,98.899,98.957,99.021,99.126,99.075,98.975,99.056,99.096,99.088,99.089,99.012,99.095,99.119,99.153,99.14,99.287,99.332,99.336,99.367,99.363,99.42,99.486,99.575,99.941,99.736,99.635,99.701,99.914,100.018,99.865,100.073,100.014,99.974,100.087,100.406
"53","45","      Grocery and related products wholesalers","PK42243",98.754,98.907,100.106,98.927,99.795,98.476,97.985,98.768,98.634,99.639,98.445,98.954,98.169,98.912,98.687,99.39,98.794,98.362,99.308,98.8,98.96,99.432,98.741,98.964,100.261,98.943,99.581,99.282,99.759,100.118,99.495,99.542,100.478,100.023,99.02,99.873,99.055,99.42,99.85,100.294,101.371,99.96,99.836,99.08,100.099,100.638,100.698,99.718,101.046,101.925,102.735,102.586,103.385,102.989,101.944,102.893,103.488,103.007,102.313,102.952,103.611,104.615,105.894,101.564,102.117,102.001,102.032,101.687,101.292,101.827,101.406,101.323,102.96,102.989,103.464,104.294,104.924,104.391,104.224,105.188,106.514,107.746,107.389,108.372,106.672,106.449,107.951,109.024,111.195,110.058,108.434,108.685,110.034,113.112,112.725,112.251,111.627,112.526,113.193,113.523,113.669,112.946,111.829,111.564,112.926,113.084,113.775,115.544,115.335,112.769,112.852,113.854,113.464,114.87,114.977,117.158
"54","46","      Farm product raw material wholesalers","PK42253",132.379,132.723,141.142,141.865,139.271,134.805,130.358,129.687,128.952,130.007,128.783,127.106,123.077,124.354,124.664,117.947,117.789,114.94,113.332,104.732,99.664,105.305,107.49,103.654,104.875,102.908,102.351,100.164,101.35,99.502,89.747,98.744,94.789,93.497,95.696,93.883,97.594,102.334,106.446,103.282,106.563,100.746,94.089,91.362,94.382,99.05,102.176,104.678,107.083,102.827,104.533,100.104,100.128,99.268,102.392,104.198,100.936,97.436,97.333,98.43,99.155,99.387,99.21,96.926,98.757,99.162,107.731,118.869,124.145,118.086,115.295,114.252,113.936,119.038,114.587,115.663,119.452,117.565,110.279,113.174,120.7,123.995,129.789,131.422,133.596,135.095,141.135,140.384,142.867,134.777,128.173,115.806,115.97,106.695,106.129,109.525,111.214,108.868,117.249,111.385,113.109,113.244,115.152,111.204,108.273,106.738,109.293,112.616,111.137,112.183,111.362,114.135,115.007,114.988,120.327,113.254
"55","47","      Chemical and allied products wholesalers","PK42263",97.321,97.227,96.756,96.389,96.293,96.045,96.315,96.75,96.687,96.417,96.506,96.459,96.224,95.612,96.042,95.632,95.523,95.347,95.171,94.792,94.442,94.344,94.494,94.263,93.881,93.407,93.107,93.034,93.39,93.766,94.117,94.27,95.008,96.022,96.534,96.973,97.403,98.173,98.893,99.197,99.471,100.103,101.57,100.83,100.94,101.002,100.921,101.256,102.456,103.18,103.237,102.355,102.064,101.576,99.643,98.589,99.541,98.293,97.636,96.514,96.548,96.474,97.724,99.11,99.124,99.291,100.233,100.918,101.27,102.242,102.497,102.071,104.395,108.289,109.59,106.532,106.553,107.157,106.282,106.746,106.408,106.716,106.609,107.802,110.623,110.777,110.785,112.448,113.036,114.539,116.133,119.129,121.476,122.749,123.925,124.11,124.39,125.425,127.948,127.849,126.931,126.008,128.103,128.985,134.283,140.242,138.403,138.596,140.397,140.461,140.536,140.922,143.309,145.34,146.6,147.854
"56","48","      Petroleum and petroleum products wholesalers","PK42273",84.208,82.053,78.031,73.731,71.016,69.802,69.04,71.829,70.563,71.023,70.062,68.921,63.207,60.414,56.262,56.271,55.498,53.819,53.942,50.084,49.886,51.79,50.142,46.051,48.612,46.103,50.879,61.575,60.743,60.706,67.039,71.759,74.214,72.944,77.743,85.745,87.234,97.016,103.359,92.408,91.545,102.416,100.728,98.138,105.191,104.805,109.802,107.052,104.249,102.286,95.646,99.395,100.064,95.751,86.719,88.373,92.188,76.771,72.996,68.81,69.197,70.228,79.242,87.67,83.462,81.383,86.889,88.447,90.457,99.045,94.406,99.044,110.92,129.021,132.474,102.893,91.407,97.068,102.954,106.73,99.197,103.108,106.174,115.219,121.425,120.616,120.994,125.243,128.11,124.531,135.83,138.036,137.933,157.986,160.446,148.447,149.943,153.155,166.025,167.032,158.333,172.749,188.43,197.171,217.131,221.634,202.485,210.28,206.688,196.86,200.686,222.808,229.775,244.927,246.298,244.657
