"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"24","16","S1 QN4451ZZMG     Grocery stores","T060160",39440,38898,38974,38511,38843,38895,38637,38694,38556,38533,38504,38906,38761,38540,38427,38534,38487,38430,38477,38422,38343,38373,38315,38287,38495,38288,38471,38330,38310,38211,38352,38450,38415,38408,38398,38279,38083,38033,38276,38099,38200,38428,38367,38323,38451,38332,38488,38700,38431,38777,38738,38834,38952,38764,38877,38927,39108,38736,38833,40244,38086,38383,38685,39090,38587,38946,38594,38564,38505,38757,38649,39118,38638,38783,38707,38898,38962,38824,38780,38947,39001,39060,38996,39281,38820,38714,38715,37805,38238,38185,38276,38115,38038,38302,38559,38312,38842,38656,38524,38613,38156,38519,38781,38623,38506,38373,38267,38032,38842,38359,38760,38613,38456,38521,38437,38626,39055,38836,38941,39104,39495,39397,39485,39231,39337,39435,39338,39612,39734,39755,39630,39673,39379,39806,39673,39849,40146,40094,40058,40248,39769,40731,40453,40735,40634,40656,40275,40260,40324,40256,40537,40203,40388,40655,40772,40850,40820,40683,40870,40823,40493,40563,40139,40221,39925,39716,39828,38873,39449,39139,39268,39231,39558,39550,39548,39677,40051,40077
"25","17","S3 QN4452ZZMG     Specialty food stores","T060170",1340,1316,1310,1307,1270,1266,1289,1306,1317,1330,1341,1324,1338,1328,1310,1311,1313,1320,1289,1299,1272,1294,1303,1293,1336,1308,1318,1280,1256,1299,1330,1340,1344,1318,1297,1320,1303,1315,1327,1347,1326,1320,1330,1298,1318,1314,1287,1293,1293,1303,1309,1316,1303,1296,1257,1265,1275,1269,1309,1340,1320,1336,1324,1370,1340,1351,1359,1338,1355,1359,1348,1311,1377,1373,1390,1367,1375,1392,1410,1391,1379,1347,1383,1441,1346,1376,1371,1370,1404,1423,1433,1441,1429,1422,1437,1454,1446,1402,1433,1451,1469,1464,1473,1511,1505,1528,1492,1506,1554,1549,1567,1555,1554,1563,1558,1545,1529,1496,1530,1542,1548,1548,1559,1604,1572,1570,1576,1560,1573,1558,1571,1575,1622,1579,1544,1549,1566,1555,1565,1596,1596,1672,1661,1662,1662,1626,1665,1609,1618,1591,1591,1595,1653,1659,1656,1672,1484,1476,1479,1519,1511,1542,1534,1531,1527,1524,1504,1444,1478,1557,1596,1622,1645,1628,1647,1659,1658,1659
"26","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",2414,2373,2379,2385,2361,2370,2369,2388,2456,2431,2416,2466,2520,2467,2496,2480,2451,2511,2498,2489,2442,2413,2421,2401,2434,2433,2474,2459,2469,2536,2522,2498,2524,2549,2566,2555,2574,2621,2587,2588,2597,2555,2583,2634,2617,2616,2630,2659,2606,2596,2587,2666,2648,2608,2622,2622,2641,2662,2641,2705,2666,2692,2722,2686,2744,2771,2783,2803,2795,2827,2846,2735,2862,2795,2791,2776,2793,2800,2776,2763,2760,2765,2812,2835,2794,2825,2816,2787,2792,2787,2778,2744,2736,2699,2712,2797,2717,2721,2752,2774,2737,2755,2792,2841,2871,2889,2848,2879,2870,2884,2884,2902,2923,2902,2910,2919,2923,2955,2933,2910,2863,3012,2953,2959,2952,2983,2975,2994,3012,3045,3079,3096,3147,3235,3142,3177,3192,3156,3173,3189,3210,3207,3246,3249,3246,3291,3301,3253,3348,3344,3342,3294,3319,3275,3288,3343,3330,3356,3394,3393,3387,3434,3448,3450,3414,3437,3416,3349,3401,3398,3386,3372,3354,3288,3302,3334,3325,3308
"27","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",9903,9698,9922,9842,10094,10080,9952,9879,10275,9940,10345,10231,10161,10428,10441,10516,10586,10559,10527,10738,10715,10791,10587,10673,10704,10716,10789,10427,10552,10755,10888,11119,11107,11148,11223,11388,11484,11595,11650,11873,11732,11909,11981,11765,11642,12012,12115,12225,12458,12520,12736,12705,12906,12918,12865,12967,12915,13002,13049,13116,12921,13221,13509,13484,13756,13624,13537,13873,14162,13946,13979,13815,13740,13800,13475,13880,13811,13616,13772,14030,13257,13877,13950,14175,14302,14459,14473,14476,14351,14549,14467,14533,14225,14956,14815,15137,15052,14640,15112,15113,15397,15594,15780,15764,15893,15773,16062,16345,16358,16521,16836,16361,16481,16279,16413,16522,16714,16971,16914,17121,17134,17680,17240,17799,17567,17944,17635,17837,17530,18384,18281,18436,18565,18692,18591,18674,18472,18562,18778,18554,19269,19186,18878,19409,19467,19086,19707,19226,19603,19350,19499,19495,19661,19586,19690,19295,19450,19193,19643,19528,19513,19404,19239,19191,18463,18250,18255,17547,18347,18714,18158,18034,18163,17795,17862,18174,18225,18366
"28","20","S2 QN4481ZZMG     Clothing stores","T060200",6926,6841,6873,6790,6925,6969,6872,6799,7164,6821,7083,7088,6946,7206,7088,7170,7212,7286,7214,7350,7404,7430,7295,7351,7417,7378,7419,7188,7293,7442,7544,7808,7709,7776,7768,7904,7964,8032,8083,8298,8158,8250,8338,8145,8109,8312,8415,8412,8622,8695,8855,8889,8984,8935,8880,8984,8925,8942,8977,8903,8833,9105,9415,9384,9547,9425,9322,9605,9855,9712,9829,9678,9629,9718,9422,9748,9715,9647,9716,9932,9369,9886,9831,10098,10091,10171,10205,10231,10123,10314,10327,10246,10071,10700,10545,10742,10761,10385,10799,10795,11017,11139,11279,11209,11338,11219,11391,11628,11695,11783,12071,11665,11842,11701,11787,11952,12045,12237,12236,12393,12404,12739,12517,12853,12746,13012,12824,13010,12818,13403,13305,13373,13504,13465,13467,13628,13424,13542,13760,13532,14041,14082,13783,14369,14411,14230,14582,14173,14509,14389,14490,14475,14637,14639,14706,14462,14465,14500,14698,14797,14710,14627,14459,14324,13975,13817,13928,13625,14012,14297,13784,13673,13799,13407,13482,13644,13750,13922
"29","21","S2 QN4482ZZMG     Shoe stores","T060210",1626,1498,1670,1666,1686,1711,1668,1667,1674,1664,1741,1691,1738,1700,1728,1783,1767,1727,1765,1794,1726,1774,1751,1737,1739,1774,1814,1679,1738,1780,1784,1766,1762,1761,1790,1818,1792,1876,1871,1846,1828,1826,1863,1824,1797,1909,1878,1913,1929,1928,1917,1894,1957,1985,1936,1943,1952,1934,1927,1954,1955,1957,1993,1957,1963,1956,1962,2025,2013,2005,1999,1961,1979,1916,1917,2027,2019,1984,2030,2033,1915,1949,2012,2007,2086,2077,2011,2041,2002,2043,2004,2022,1966,2024,2015,2034,1972,2003,2080,2042,2068,2082,2108,2157,2139,2110,2142,2159,2152,2167,2198,2158,2136,2112,2140,2091,2119,2143,2100,2161,2126,2267,2118,2216,2221,2235,2231,2183,2200,2308,2336,2320,2345,2345,2268,2328,2286,2301,2322,2341,2478,2426,2378,2383,2382,2295,2440,2322,2346,2353,2378,2397,2347,2319,2355,2376,2365,2352,2344,2404,2416,2433,2378,2442,2259,2239,2253,2229,2188,2302,2229,2157,2173,2187,2179,2237,2215,2179
"30","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",1379,1379,1408,1413,1506,1431,1439,1439,1463,1479,1546,1479,1505,1544,1643,1588,1629,1569,1574,1618,1607,1610,1566,1607,1571,1588,1584,1580,1545,1558,1584,1568,1656,1632,1686,1687,1748,1711,1719,1749,1765,1851,1799,1815,1754,1814,1842,1921,1927,1916,1981,1937,1983,2017,2066,2057,2056,2143,2161,2278,2153,2175,2116,2156,2258,2256,2269,2257,2306,2241,2160,2186,2143,2172,2145,2117,2089,1996,2040,2076,1984,2050,2119,2080,2137,2221,2264,2213,2234,2199,2142,2273,2195,2236,2260,2366,2321,2256,2239,2281,2317,2377,2396,2404,2420,2448,2533,2562,2514,2573,2570,2540,2503,2467,2487,2479,2550,2591,2577,2567,2604,2675,2605,2730,2600,2697,2580,2644,2514,2673,2639,2742,2715,2879,2855,2717,2760,2718,2696,2681,2751,2682,2717,2666,2683,2574,2695,2734,2753,2622,2644,2636,2688,2643,2645,2483,2633,2380,2615,2377,2426,2386,2434,2449,2270,2236,2136,1801,2202,2181,2194,2242,2236,2234,2235,2320,2292,2303
"31","23","S1 QN452ZZZMG   General merchandise stores","T060230",26330,25564,26035,26130,26313,26732,26866,26502,26864,26444,26734,26932,26504,26896,26833,27395,27470,27425,27614,27967,27777,28189,28082,28283,28343,28389,28484,28165,28354,28426,29055,29242,29045,29378,29375,29259,29750,30065,30122,30462,30413,30644,30444,30461,31035,31127,31477,31537,32102,32529,33034,32449,32684,33078,33049,33273,33537,33488,33705,34543,33787,34106,34487,34315,34873,34864,34983,35241,35560,35646,35738,36093,36938,35732,35339,36488,36529,36320,36884,37096,37023,37417,37897,38432,38146,38270,38420,38652,38423,38846,38608,38668,38631,39503,39441,39574,39672,40065,40520,40403,40856,41128,41670,42300,42291,41912,42200,42456,42861,42834,43373,42872,43497,42909,43456,43618,43878,44283,44385,44974,44867,45486,45301,45900,45646,46522,46333,46569,46731,47728,47582,47380,48223,48451,48089,48848,48297,48355,48463,48648,49406,49450,49474,50426,51025,50179,51256,50501,50604,50638,51045,51440,51469,51579,51881,52327,51965,52111,52350,52521,53098,53222,52711,52266,51783,51622,52427,51511,52143,52499,52047,51667,51395,51327,51470,52074,52348,52979
"32","24","S1 QN4521ZZMG     Department stores","T060240",16935,16523,16750,16767,16853,17194,17326,16975,17225,16945,17052,17139,16841,17090,17007,17443,17382,17360,17469,17708,17601,17823,17813,17897,17836,17889,17990,17695,17809,17885,18169,18371,18186,18366,18402,18242,18300,18517,18427,18520,18514,18494,18344,18274,18547,18589,18681,18807,18985,19296,19481,19041,19041,19195,19165,19146,19282,19188,19153,19229,19221,19174,19200,19216,19500,19251,19143,19255,19405,19341,19522,19720,19871,19057,18538,19068,19095,18928,19171,19182,18925,19047,19252,19193,19086,18974,19061,19062,18712,18826,18596,18531,18390,18933,18470,18436,18421,18339,18500,18425,18733,18750,18966,19049,19059,18739,18643,18714,18710,18732,19007,18589,18715,18484,18759,18838,18878,18941,18886,19189,18967,19164,18891,19156,18826,19309,18980,18967,18677,19253,19298,19067,19344,19327,19092,19230,18960,18999,18819,18813,19102,19025,19027,19187,19488,18999,19226,18914,19010,18741,18954,19054,18950,18940,18971,18844,18580,18573,18500,18491,18550,18617,18430,18033,17710,17598,18216,17585,17428,17482,17388,17250,17029,16918,16865,17099,17088,17243
"33","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",8957,8601,8850,8934,9034,9092,9084,9096,9199,9069,9260,9373,9254,9391,9418,9524,9675,9652,9730,9836,9755,9943,9840,9960,10095,10083,10071,10064,10138,10128,10479,10451,10450,10601,10559,10614,11073,11164,11327,11584,11539,11806,11763,11858,12162,12212,12481,12404,12803,12909,13236,13106,13354,13598,13600,13856,13984,14036,14302,15096,14313,14697,15068,14870,15142,15403,15644,15790,15959,16117,16017,16173,16886,16513,16663,17281,17296,17257,17580,17786,17984,18259,18535,19146,18966,19211,19273,19510,19642,19954,19953,20082,20191,20513,20932,21102,21218,21701,21996,21954,22095,22353,22679,23231,23212,23156,23546,23731,24143,24093,24356,24277,24778,24421,24693,24774,24996,25338,25496,25781,25898,26320,26410,26744,26821,27214,27354,27603,28053,28476,28285,28314,28879,29123,28995,29615,29333,29352,29639,29829,30298,30416,30439,31229,31526,31166,32013,31570,31577,31872,32069,32361,32491,32609,32876,33439,33337,33488,33792,33969,34478,34537,34213,34153,33985,33933,34139,33835,34602,34899,34546,34303,34245,34283,34474,34843,35122,35594
"34","26","S1 QN44EZZZMG   Other retail stores","T060260",57049,57092,57142,57852,58270,58230,58573,59136,59263,58933,60311,60793,59266,60090,60795,60698,61309,61920,61690,61698,62276,62599,62858,63770,62736,63540,64366,63804,63935,65034,65448,64611,65067,65009,65751,65611,66213,67087,67845,68646,68876,68481,69757,69960,70127,70586,71245,72271,72364,73563,73667,72267,73093,73190,73014,73199,73359,73731,74953,76997,74843,75653,74940,74984,75604,75196,75476,76270,76451,76820,77284,78029,76425,76908,76745,76883,76826,75875,76737,77962,75313,77332,78850,79259,80430,80470,79839,80556,80578,80099,80902,80319,80500,80178,80980,81589,80536,79649,79569,80402,82292,82954,82762,82514,81462,82362,83786,83590,83804,83913,84056,84705,85250,84534,84710,84969,85171,85082,85725,85561,86848,86781,86763,86915,87630,88470,87206,87468,85282,86850,88559,88882,89702,90071,90963,90736,91275,90788,90024,89972,89818,91105,92789,91863,91568,93074,92687,92680,93923,93406,93417,93005,93676,93445,95256,93495,93762,92622,93132,94925,95215,93829,93244,92197,91797,89337,91247,90843,90500,90771,90877,90967,91485,90408,89886,89891,89978,89719
"35","27","S1 QN446ZZZMG     Health and personal care stores","T060270",11050,11055,11083,11243,11216,11301,11180,11263,11366,11354,11476,11536,11216,11536,11759,11667,11908,11860,11915,12000,11975,12142,12194,12362,12189,12436,12642,12351,12424,12692,12756,12783,12889,12887,13033,12955,13139,13190,13216,13375,13360,13397,13602,13752,13678,13753,13956,14020,14027,14138,14153,14218,14258,14344,14272,14238,14381,14481,14580,15196,14599,14675,14889,14940,15052,15109,15122,15209,15351,15435,15465,15562,15337,15523,15499,15464,15660,15538,15591,15668,15482,15874,15838,15869,16054,16209,16126,16390,16247,16248,16264,16359,16545,16494,16454,16419,16528,16620,16741,16750,16807,16988,17202,17306,17267,17369,17472,17557,17173,16988,17402,17263,17185,17319,17224,17323,17281,17280,17351,17402,17584,17736,17654,17770,17778,17703,17792,17748,17901,17853,17937,18038,18075,18121,18259,18112,18316,18390,18322,18478,18484,18722,18954,19006,18895,18944,19107,19069,19080,19080,19173,19205,19208,19159,19035,19041,19177,19287,19117,19306,19415,19648,19528,19531,19589,19583,19623,19547,19492,19592,19724,19594,19543,19604,19490,19506,19652,19712
"36","28","S1 QN447ZZZMG     Gasoline stations","T060280",27233,27192,27278,27582,27602,27745,27867,27964,28010,27929,28279,28289,28002,28103,28250,27841,27995,28560,28073,28174,28496,28391,28179,28233,28227,28233,28738,28528,28979,29412,29480,28731,28590,28495,28997,28845,29302,29741,30492,30962,30867,30301,30544,30700,30736,30711,31418,32316,32434,32822,32554,30532,31053,31023,31023,30754,30121,30415,31330,31743,30439,30749,29420,29220,29935,29085,29184,29927,29244,29864,30355,30660,30565,30423,29759,30748,30379,29621,30538,31235,29983,30548,32171,32804,33366,33199,32440,32313,32217,31774,32374,31611,31517,31020,31539,32235,31116,30196,30343,30855,32510,32252,31817,30587,29307,29849,31152,30910,31195,31307,31640,32142,32873,32020,31780,31555,31482,31594,31897,31279,32072,31875,32067,31584,32760,33139,31987,31688,30028,30720,31905,31689,32121,32088,32140,32605,32745,32502,31789,31443,30914,31547,32594,31749,31763,32091,31413,31513,32491,31690,31402,31109,31401,31348,32530,31561,31935,31469,31700,32385,32703,31590,31148,30638,30401,28582,30033,29580,29241,28752,28799,29029,29772,28183,27734,27400,27405,27015
"37","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",4954,4769,4812,4858,4878,4924,4998,5054,5011,4946,5132,5073,5148,5044,5079,5117,4999,5127,5173,5278,5162,5255,5243,5473,5276,5178,5240,5179,5311,5317,5307,5253,5324,5421,5520,5505,5449,5586,5506,5665,5643,5688,5653,5677,5702,5753,5684,5828,5811,5989,6005,5963,6023,6134,6099,6029,6210,6212,6210,6284,6066,6372,6438,6535,6563,6463,6555,6403,6509,6361,6312,6236,6221,6563,6542,6449,6468,6388,6435,6526,6390,6524,6831,6646,6717,6542,6544,6582,6602,6539,6541,6525,6702,6749,6913,6669,6726,6533,6548,6679,6632,6861,6741,6961,6892,6789,6956,6920,7054,7062,6950,6863,6857,6901,7054,7089,7177,7028,7121,7124,7150,7248,7228,7244,7202,7123,7132,7160,7053,7303,7241,7493,7728,7614,7641,7567,7459,7457,7369,7376,7725,7567,7434,7534,7519,7510,7814,7701,7844,7824,7958,7917,8019,8042,8032,7959,8017,7890,7976,7969,8137,8001,7920,7933,7748,7547,7734,7762,7859,7831,7777,7841,7649,7737,7722,7873,7853,7775
"38","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",3055,2963,3018,3046,3048,3066,3083,3135,3099,3113,3206,3218,3231,3176,3189,3198,3042,3192,3241,3282,3265,3276,3300,3515,3231,3241,3285,3238,3331,3346,3314,3317,3348,3401,3422,3398,3392,3487,3454,3591,3586,3608,3571,3565,3572,3642,3579,3663,3711,3804,3810,3777,3848,3911,3829,3914,4015,3958,3955,4027,3979,4116,4181,4210,4251,4216,4296,4237,4280,4146,4140,4137,4163,4271,4229,4256,4272,4221,4270,4296,4213,4351,4627,4400,4449,4402,4366,4375,4399,4402,4383,4410,4494,4609,4744,4541,4563,4428,4485,4559,4557,4628,4594,4747,4710,4674,4819,4797,4874,4852,4784,4703,4709,4758,4903,4907,4986,4897,4974,4974,5040,5083,5039,5114,5094,5061,5026,5080,5018,5214,5167,5342,5627,5527,5535,5473,5368,5354,5363,5439,5719,5587,5472,5587,5550,5572,5881,5774,5894,5863,5892,5951,5981,6030,6029,5970,6036,5916,6025,6014,6141,6079,6021,5978,5882,5696,5884,5942,6001,5988,5882,5966,5815,5895,5917,5994,6000,5932
"39","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",1952,1851,1831,1848,1870,1902,1969,1967,1963,1867,1968,1884,1955,1903,1927,1961,2021,1980,1972,2043,1929,2025,1981,1978,2106,1978,1996,1984,2021,2009,2037,1971,2014,2061,2150,2163,2105,2145,2094,2109,2090,2114,2119,2155,2174,2147,2145,2208,2132,2221,2231,2224,2206,2257,2315,2135,2219,2288,2291,2288,2102,2282,2280,2354,2336,2267,2276,2177,2243,2234,2188,2109,2063,2313,2337,2206,2209,2179,2175,2243,2190,2182,2207,2257,2280,2145,2186,2216,2211,2142,2164,2119,2214,2142,2170,2131,2166,2108,2065,2122,2076,2237,2149,2217,2183,2117,2137,2123,2181,2212,2167,2162,2149,2145,2151,2183,2192,2131,2147,2150,2111,2165,2189,2130,2107,2062,2107,2080,2035,2090,2074,2151,2102,2087,2107,2095,2091,2103,2006,1938,2007,1981,1963,1949,1971,1941,1937,1930,1955,1965,2068,1970,2042,2016,2007,1993,1987,1978,1957,1960,2001,1928,1905,1960,1872,1855,1857,1828,1865,1851,1901,1881,1841,1849,1814,1887,1861,1851
"40","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",6771,6926,6941,7042,7172,7057,7148,7201,7132,7130,7207,7296,6945,7071,7234,7477,7890,7832,7777,7607,7696,7807,7847,7807,7995,8269,8240,7987,7773,8106,8069,8189,8286,8304,8329,8523,8698,8615,8664,8557,8662,8721,8863,8921,9095,9080,9104,9273,9047,9276,9249,9138,9185,9107,8935,9119,9200,9291,9711,10181,9807,9852,9783,9626,9327,9320,9319,9265,9493,9453,9314,9215,9031,9134,9439,9026,9347,9224,9169,9230,8892,9076,9047,9052,9081,9239,9007,9163,9175,9258,9220,9367,9362,9201,8958,9183,9177,8977,8995,8999,9161,9231,9176,9276,9116,9284,9222,9276,9284,9135,9199,9285,9479,9080,9160,9243,9244,9288,9494,9539,9375,9566,9349,9438,9452,9467,9487,9414,9446,9589,9663,9475,9938,10005,9959,9955,9887,9727,9760,9707,9837,9970,10119,10292,9807,9845,10190,9987,10193,10399,10169,10259,10366,10164,10154,10208,10246,9919,9986,10085,10018,10065,10169,9821,9770,9826,9651,9495,9116,9817,9755,9656,9538,9477,9442,9539,9515,9597
"41","33","S3 QN4531ZZMG       Florists","T060330",589,592,623,615,629,636,638,603,581,602,596,604,649,651,642,667,634,699,651,667,683,695,699,692,662,700,699,679,691,694,697,715,733,717,722,738,702,699,696,689,712,698,729,726,758,766,751,732,792,719,744,786,727,730,756,758,771,748,771,754,803,770,727,725,745,746,764,789,768,793,772,740,756,723,747,713,716,750,717,722,673,696,698,621,704,724,708,687,695,700,671,646,680,636,626,639,639,659,640,607,625,609,631,622,607,628,629,623,587,568,572,607,598,611,594,604,614,579,573,595,567,582,606,625,607,619,620,627,604,619,692,662,654,674,618,637,641,637,606,599,603,647,629,615,641,622,672,612,616,603,612,603,619,592,631,608,624,601,604,598,593,548,595,597,606,574,533,530,528,539,544,544,545,533,522,502,520,529
"42","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",2227,2301,2235,2281,2383,2335,2397,2399,2423,2439,2451,2506,2244,2291,2284,2327,2432,2413,2572,2520,2458,2470,2545,2610,2610,2668,2775,2596,2509,2553,2524,2562,2594,2620,2562,2626,2739,2734,2858,2763,2752,2847,2850,2828,3030,3003,2950,2962,3057,3066,3174,3040,3080,3105,2986,3105,3142,3181,3297,3282,3355,3300,3390,3420,3303,3301,3338,3303,3364,3409,3294,3236,3204,3206,3289,3184,3273,3203,3191,3263,3074,3054,3097,3339,3188,3284,3164,3190,3216,3212,3223,3286,3326,3312,3202,3277,3221,3174,3199,3235,3330,3335,3328,3346,3285,3286,3322,3393,3445,3483,3422,3442,3443,3448,3438,3443,3466,3452,3433,3443,3440,3493,3464,3537,3566,3617,3577,3590,3553,3602,3599,3601,3597,3694,3668,3654,3667,3688,3758,3764,3833,3959,3945,3946,3803,3736,3932,3832,3797,3826,3804,3806,3835,3835,3803,3737,3744,3560,3661,3666,3635,3628,3620,3572,3529,3504,3435,3459,3637,3544,3526,3585,3648,3595,3556,3617,3588,3652
"43","35","S4 QN4533ZZMG       Used merchandise stores","T060350",527,533,520,539,581,583,577,567,544,515,566,581,549,491,595,650,787,630,594,574,598,599,608,588,717,706,633,598,590,617,650,659,693,733,730,753,739,732,733,724,724,732,779,768,784,796,808,811,756,802,776,785,787,793,746,788,770,827,801,908,812,845,850,867,858,826,895,838,797,771,818,836,789,813,839,818,818,799,806,801,849,810,820,799,932,853,811,848,811,852,833,851,819,769,736,819,917,825,839,806,824,807,801,825,820,857,833,782,797,805,800,814,861,836,883,855,890,875,870,892,884,857,818,844,840,847,862,870,863,895,909,874,989,930,972,1031,954,960,929,948,987,979,987,1011,937,1054,1134,1007,1015,1011,1050,1070,1049,1099,1073,1119,1033,1079,1078,1119,1150,1140,1118,1141,1138,1083,1088,1094,1008,1151,1134,1153,1058,1086,1158,1179,1147,1151
"44","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",3493,3560,3648,3688,3630,3550,3581,3692,3637,3626,3639,3639,3574,3730,3802,3927,4124,4212,4033,3915,4053,4150,4079,3979,4066,4274,4191,4206,4073,4360,4313,4367,4377,4327,4434,4524,4628,4552,4444,4467,4578,4524,4590,4702,4579,4576,4675,4867,4492,4757,4593,4587,4648,4519,4506,4509,4560,4570,4897,5324,4884,4996,4847,4621,4425,4455,4312,4335,4578,4485,4440,4415,4289,4407,4584,4321,4561,4494,4476,4458,4314,4555,4461,4286,4260,4384,4338,4457,4471,4514,4512,4603,4550,4498,4410,4460,4409,4331,4327,4359,4386,4488,4423,4492,4412,4525,4446,4485,4459,4277,4408,4424,4583,4182,4243,4341,4273,4382,4622,4613,4486,4636,4463,4433,4439,4383,4428,4327,4425,4472,4461,4337,4694,4704,4699,4631,4623,4444,4470,4401,4420,4395,4564,4724,4431,4439,4463,4541,4763,4951,4703,4778,4859,4644,4651,4741,4836,4669,4639,4698,4639,4741,4821,4512,4497,4651,4582,4412,3980,4582,4550,4389,4306,4281,4231,4270,4283,4293
"45","37","S1 QN454ZZZMG     Nonstore retailers","T060370",9020,9135,9035,9152,9352,9227,9357,9577,9690,9553,10084,10400,9850,10195,10298,10256,10191,10300,10367,10294,10638,10615,10889,11258,10577,10878,11039,11264,11107,11183,11479,11157,11358,11244,11291,11151,11100,11449,11660,11844,12013,11865,12487,12345,12315,12597,12616,12557,12820,13045,13278,13399,13626,13603,13734,13972,14110,14054,13986,14355,14521,14566,14700,14892,15101,15419,15486,15783,15974,15965,16179,16704,15771,15672,15738,15688,15384,15425,15474,15826,15023,15695,15664,15781,16157,16175,16434,16692,16882,16740,17056,16847,16712,16954,17415,17509,17228,17454,17107,17316,17629,17918,18036,18317,18658,18900,18975,18890,19099,19439,18930,19264,19046,19328,19561,19785,19994,19916,19887,20206,20676,20346,20464,20851,20460,21054,20772,21415,20908,21421,21796,22189,21839,22252,22990,22480,22851,22698,22825,23053,23003,23413,23779,23391,23694,24827,24364,24606,24438,24639,24990,24806,24967,25017,25672,24977,24549,24220,24501,25294,24996,24784,24841,24678,24674,24429,24680,24914,25339,25339,25405,25409,25557,26009,26147,26273,26249,26359
"46","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",3722,3656,3714,3806,3916,3909,4018,4076,4181,4169,4316,4382,4302,4404,4412,4463,4489,4575,4633,4641,4667,4737,4884,4966,4811,4897,5182,5355,5187,5261,5272,5313,5581,5509,5459,5508,5625,5778,5884,5962,6140,5782,6215,6186,6250,6352,6423,6400,6507,6771,6766,6905,6988,7063,7201,7413,7558,7658,7552,7879,8016,8092,8392,8562,8328,8621,8729,8881,9057,9131,9264,9499,8706,8709,8843,8807,8883,8961,8969,9169,8500,9038,9080,9108,9350,9464,9382,9504,9562,9559,9725,9735,9747,9824,10042,10100,10069,10236,10240,10358,10440,10690,10826,10913,11132,11228,11243,11372,11701,11825,11919,11911,12152,12092,12235,12368,12419,12570,12629,12856,13258,13116,13284,13563,13629,13957,14119,14421,14150,14588,14822,14998,15363,15378,15974,15583,15585,15704,15684,16032,16168,16402,16696,16851,16722,16981,17304,17166,17413,17586,17996,17875,18081,18346,19125,18403,18201,17855,18213,18937,18745,18874,18798,18777,18803,18582,18648,18878,18975,18873,18984,18971,19124,19446,19624,20084,20138,20108
"47","39","S4 QN4542ZZMG       Vending machine operators","T060390",776,755,747,760,765,738,686,698,758,754,741,768,744,722,721,732,765,806,819,858,861,819,859,846,926,845,839,818,783,772,775,776,756,779,821,822,777,781,793,801,792,813,801,812,806,833,815,805,810,834,816,817,840,817,831,823,823,796,807,826,845,844,865,861,880,872,850,848,806,795,793,784,744,734,731,727,720,715,697,754,762,799,761,745,782,795,751,746,742,738,741,704,719,712,716,690,691,701,702,688,692,674,681,696,722,737,731,717,724,714,706,739,713,721,706,711,743,720,710,718,713,727,719,726,650,704,668,625,688,691,683,710,714,711,723,692,684,686,698,700,682,642,685,667,667,652,637,639,653,642,658,659,645,656,650,625,628,630,643,656,653,644,661,620,618,626,640,617,618,636,586,612,602,591,585,590,597,592
