"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"49","41","  Imports","B021RX1",607.3,614.1,613.2,593.8,581.5,598.1,613.9,621.2,626.6,642.4,651.4,662.1,677.2,696,705.1,730.1,746.5,778.1,800,819.2,836.5,848.7,851.7,859.7,884.6,911.4,941.6,954.4,994.7,1034.8,1073,1090.9,1131.1,1162.1,1176.9,1211,1242.2,1286.4,1331.3,1357.9,1411.5,1466.5,1515.6,1509.5,1495.4,1445.8,1407.1,1394.9,1434,1476.9,1497.4,1530.2,1510.5,1525.9,1540,1603.6,1643.2,1705.2,1723.7,1773.1,1790.9,1797.1,1808.1,1865,1905.9,1912.7,1938.8
"50","42","    Goods","A255RX1",470.6,476.3,474.4,457.4,449.2,462.7,479.9,485.4,493.1,510.6,519.9,528.7,543.7,560.5,567.4,587.6,601.5,631.7,653.5,673.2,685.4,698.9,700.8,705.5,727.7,752.8,778.7,791.7,824.7,863,893.8,908.7,941.5,968.3,978,1010,1038.2,1079.2,1119.7,1143.8,1187.1,1236.3,1277.7,1272.7,1261.6,1204.7,1177.9,1172.1,1198.2,1243.4,1263.1,1287.9,1275.3,1301.7,1303.7,1356.5,1389.5,1447.3,1464,1507.9,1526.2,1533.6,1543.9,1595.8,1631.9,1631.7,1660.1
"51","43","    Services","B656RX1",141.8,142.8,144.1,142,137.4,140.5,138.1,140.1,137.1,134.6,134.1,136.1,135.7,137.6,139.8,144.6,147.2,147.9,147.6,146.6,152,150.2,151.4,154.9,157.5,158.8,163.1,162.6,170,171.6,178.9,181.9,189.4,193.6,198.7,200.9,203.9,207.1,211.6,214,224.4,230.1,237.9,236.8,233.7,240.9,229,222.8,235.4,233.6,234.6,242.4,235.7,225.9,237,247.8,254.3,259.1,261,266.7,266.6,265.5,266.3,271.7,276.6,283.2,281.3
"52","44","Government consumption expenditures and gross investment","A822RX1",1524.2,1526.8,1526.7,1542.2,1548.4,1553.7,1546.6,1540.4,1552.3,1550.7,1559,1559.3,1543,1541.4,1537,1542.7,1527.1,1533.7,1558.8,1545.5,1551.9,1558.2,1553.2,1535.5,1544.9,1570.3,1565.1,1579.2,1581.6,1598.1,1598.5,1597.9,1589.1,1621.4,1636,1651.1,1662.2,1672.3,1693.1,1720.2,1707.3,1730.5,1721.5,1727.1,1749.6,1783,1776.1,1812.7,1832,1853.4,1863.9,1885.8,1879.3,1907.5,1914.5,1918,1931.8,1942.6,1948.7,1939.3,1947.2,1952.6,1968.8,1963.5,1987.1,1991.2,1999.4
"53","45","  Federal","A823RX1",659.9,660.7,654.9,660.7,665.8,667.7,655.5,642.8,643.1,642.6,650.1,650.4,630.5,621.4,612.5,614.1,595.8,592.6,606.8,590.5,589.4,588.3,582.7,560.6,572.3,583.6,569.6,568.5,561.2,573.6,569.9,565.7,551.9,565.9,561.1,566.1,562.9,565.3,576.7,589.9,568.2,591.2,578.6,577.2,588.5,601.4,601.5,614.2,623.2,641.7,646.5,662.3,662.5,693,693.7,699,711.3,715.7,724.5,714.9,720.8,721.6,738.2,729.6,745.1,736.6,738.9
"54","46","    National defense","A824RX1",482.4,481,472.8,481.5,485.6,484.3,471.4,455.4,448.3,448.6,454.7,451.2,434.1,426.8,418.9,421.6,403.2,403.5,415.5,396.2,395,394.7,389.6,377.3,383.9,391.2,380.8,379.3,367.2,376.3,374.8,373.8,355.4,365.7,371,369.2,364.1,363.9,375.9,385,362.6,377.1,369.9,371.5,377.9,381.9,384.1,395.6,399.2,410.2,414.4,428.9,424.2,458.4,452.2,461.1,471.3,473.6,484,472.6,477.8,481.1,494.1,481.4,491.8,489.3,487.8
"55","47","      Consumption expenditures","A997RX1",410,406.2,397.2,406,415.8,411.3,400.7,390,381.8,380.3,386,385.8,373.9,367.6,363.7,363.4,351.2,349.3,357.2,344.5,342.1,341.8,340.5,328,331,335.6,329.1,333.2,325.8,333,327.4,326.2,312.7,321.9,320.9,323.7,321.3,316.5,325.5,335.2,313.8,328.1,320.7,323.4,329.8,331.3,332.1,343.1,346.5,353.5,355.2,371.5,366.3,397.1,389.4,397,406.9,406.9,415.2,404.2,410.2,410.9,421.9,410,419,414.7,413.7
"56","48","      Gross investment","A788RX1",71.1,73.1,73.6,73.7,69,71.7,69.4,64.6,65.4,66.9,67.5,64.5,59.6,58.7,55,57.7,52,53.9,57.6,51.6,52.6,52.6,49.2,49.2,52.6,55,51.4,46.3,41.8,43.6,47.4,47.6,42.9,43.9,49.9,45.6,43,47.4,50.3,49.8,48.9,49,49.3,48.1,48,50.6,52.1,52.5,52.7,57,59.6,57.4,58,61.2,63,64.4,64.4,67.2,69.4,69.1,68,71.2,73.2,72.6,74,76.5,75.9
"57","49","    Nondefense","A825RX1",176.3,178.6,181.2,178.1,179,182.3,183.2,186.8,194.5,193.6,194.8,198.8,196.1,194.4,193.4,192.2,192.5,189,191.1,194.2,194.3,193.5,193,183.2,188.3,192.4,188.7,189.1,194.1,197.2,195.1,191.9,196.5,200.2,190.1,196.9,198.8,201.4,200.8,204.9,205.6,214,208.7,205.6,210.6,219.5,217.3,218.6,224,231.5,232.2,233.4,238.4,234.5,241.5,237.8,239.9,241.9,240.1,242.1,242.8,240.1,243.8,248,253.1,247,250.9
"58","50","      Consumption expenditures","A542RX1",153.4,155.9,159.4,157.2,156.9,158.3,158.7,159.9,167.3,167.1,168.3,170.3,166.2,165.5,165.8,166.5,168.2,165.4,167.1,168.4,167.1,166.9,167.1,157.8,160.1,162.1,160,162.4,166,167.1,166.9,166.4,166.1,166.9,159.3,166.8,167.9,166.4,168.3,169.6,174.8,181.5,178.2,176.8,180.6,187.1,187.3,188.2,191.8,196.9,199.5,201.2,205.8,200.6,207.2,204.2,207,207.7,206.2,207.3,207.7,205.4,207.5,208.7,212.8,210.1,213.4
"59","51","      Gross investment","A798RX1",23.6,23.5,23,22.2,23.2,24.7,25.1,27,27.5,27,27.1,28.8,29.8,28.9,27.8,26.3,25.1,24.4,24.8,26.4,27.5,27.1,26.4,25.8,28.3,30.2,28.8,27,28.3,30.2,28.4,25.9,30.6,33.3,30.7,30.2,30.9,34.9,32.5,35.3,30.8,32.6,30.4,28.8,30.1,32.5,30,30.4,32.2,34.7,32.6,32.1,32.5,34,34.2,33.5,32.7,34.2,34,34.9,35.2,34.8,36.6,40.1,41.1,37.2,37.8
"60","52","  State and local","A829RX1",861.9,863.6,869.4,878.9,880,883.5,888.6,895.2,906.9,905.8,906.6,906.6,910.4,918,922.7,926.9,929.6,939.6,950.4,953.7,961.2,968.7,969.2,974.1,971.6,985.6,994.7,1010,1019.8,1024,1028,1031.8,1037,1055.2,1074.9,1084.9,1099.3,1107,1116.3,1130.2,1139.2,1139.3,1142.9,1149.9,1161.1,1181.6,1174.6,1198.5,1208.9,1211.8,1217.5,1223.6,1216.9,1214.4,1220.8,1219,1220.4,1226.8,1224.1,1224.3,1226.3,1230.9,1230.5,1233.7,1242,1254.4,1260.3
"61","53","    Consumption expenditures","A991RX1",707.3,711.7,717.2,720.7,724.2,727.5,730.3,733.9,739.6,744,749.9,752.5,757.3,759,763.1,766.1,772.9,779,783.9,786.6,793,796.7,799.9,803.9,803.5,812.4,815.3,820.2,824.4,830.7,838.3,846.3,853.4,862.1,871,879.2,889.8,897.3,904,910.2,912.4,916.3,918.7,923.7,929.6,935.6,945.2,954.5,961.9,967.8,972,975.7,971.1,969.3,968.4,970.2,974.9,978.6,980.5,984.3,984.7,986,989.5,991.9,996.1,1001.2,1009
"62","54","    Gross investment","A799RX1",154.8,152.4,152.7,158.5,156.2,156.3,158.6,161.5,167.4,162.1,157.2,154.7,153.7,159.6,160.1,161.2,157.3,161.2,167,167.5,168.7,172.3,169.9,170.7,168.7,173.7,179.7,189.9,195.5,193.4,189.9,185.8,184,193.3,203.9,205.7,209.6,209.8,212.4,220,226.8,223,224.2,226.2,231.5,246.2,229.4,244,247,244,245.5,247.9,245.7,245.1,252.6,248.8,245.4,248.2,243.4,239.7,241.3,244.7,240.7,241.6,245.7,253.1,251.1
"63","55","Residual","AR05RX1",-169.6,-173.2,-178.3,-172.8,-169.2,-165.4,-162.8,-157.6,-157.5,-150.3,-145.3,-144.4,-139.8,-139.4,-138.1,-134.7,-127.7,-123.9,-120.7,-107.7,-105.6,-101.1,-92.2,-80.1,-77,-70.2,-62.5,-58,-55.5,-45.7,-37.3,-34,-27.3,-26.2,-22.7,-18,-14.8,-8.6,-4,-4.2,-0.7,-0.2,-0.3,0.2,0.7,-0.9,3.3,1.4,-1.8,-0.2,-3.3,1,1.6,1.1,-11.3,-15.2,-15.8,-9.1,-18.8,-27.3,-31,-39.1,-47.1,-53.7,-78.7,-77.6,-88.3
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. The quantity index for computers can be used to accurately measure the real growth of this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","component.  However, because computers exhibit rapid changes in prices relative to other prices in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","economy, the chained-dollar estimates should not be used to measure the component's relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","importance or its contribution to the growth rate of more aggregate series; accurate estimates of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","contributions are shown in table 1.5.2 and real growth rates are shown in table 1.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Note. The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
