"","Table 1AU2# Real Manufacturing and Trade Inventories, Seasonally","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"34","26","    Leather and leather products","WKS310",2671,2632,2652,2700,2728,2718,2881,2822,2975,3001,2777,2877,2886,2802,2652,2709,2626,2563,2606,2607,2591,2625,2521,2337,2613,2631,2635,2626,2636,2602,2591,2609,2525,2280,2379,2477,2447,2471,2430,2531,2428,2474,2415,2548,2651,2692,2634,2610,2471,2404,2515,2480,2638,2802,2522,2459,2490,2396,2612,2670,2421,2624,2595,2531,2582,2651,2627,2660,2626,2625,2649,2580,2407,2358,2472,2548,2652,2480,2461,2412,2430,2435,2342,2410,2477,2340,2577,2504,2464,2466,2422,2443,2371,2433,2451,2276,2160,2017,1914,2005,2003,2073,2042,2106,2037,1928,1898,1809,1833,1857,1912,1909,1951,1993,1932,1869,1911,1849,1884,1920,1857,1956,1943,1963
"35","27","Trade total","WKS50",197798,196312,198213,201518,204555,209295,209983,214688,218281,221994,227736,230650,232020,235445,239537,239426,247357,253839,263030,265898,267884,273414,278467,284101,289751,293659,293302,300260,303589,307156,303908,309991,298864,293513,295748,293283,300233,307893,313288,315286,320780,325699,333524,340058,352107,358686,360487,369197,374542,380226,379193,378313,377627,378869,380727,380622,384635,386867,391171,395694,388679,392579,394656,388737,389044,389893,396633,404066,418970,425649,433820,445898,450223,455490,461606,472403,482981,485873,487606,485521,498278,506846,504693,519989,522673,529243,535192,537970,545577,550083,549760,557650,554447,562596,565948,564305,559938,558254,562829,569454,569427,574947,576350,584822,597603,601435,604976,609663,613298,627208,636257,649180,660412,668619,673071,674584,670170,676454,680653,685065,689609,705082,714773,726917
"36","28","  Merchant wholesale","WKS5W0",85584,85057,88613,90468,90836,93018,94027,93567,95918,98442,100440,101247,103932,105448,108159,111010,111008,113824,115996,119349,119157,121724,124797,125922,127968,126899,126510,128862,133573,138021,136939,141617,137461,134213,134736,133348,134256,138988,142294,142994,146167,148922,153959,158096,165496,169469,170373,175342,180643,182027,184360,184913,186566,189203,192107,193035,196135,194223,195038,197598,195654,199217,197499,195198,193171,188865,191657,194440,198391,200970,208393,210584,213379,215269,217302,218849,221584,223804,229648,227993,228812,231551,230644,237343,242521,245835,248353,246305,244988,248731,248643,248956,250154,254043,257032,257476,259616,256550,257383,261977,263248,265797,266345,271911,273222,274640,277367,278490,277427,282540,287127,293786,298415,301379,304298,304817,304674,306352,303810,306591,306980,316468,321478,329227
"37","29","      Addendum: Wholesale less motor vehicle","WKS5WX0",69132,68910,72086,73664,74287,75772,76569,75643,77598,79566,81206,81600,83684,85051,87461,90031,89460,91586,92293,93478,93712,95391,97473,98600,100337,99611,98816,100680,103293,105635,104469,107981,105198,103543,104669,103336,104149,107527,110194,111445,114298,116552,121008,124079,129870,132958,133843,136804,140834,143293,145111,145614,146930,148583,151803,153008,157197,155710,157487,158513,155720,157540,155696,154644,153519,150072,152367,154933,158039,160667,164881,166691,168730,169479,171854,172871,175172,176412,180684,179332,180092,181626,180915,186231,190105,194203,194690,193323,192481,194286,195250,196880,196990,200667,202405,202974,204167,202910,204369,206979,209288,211520,211357,215932,217436,219780,221904,222409,222913,226513,230331,235738,238870,240918,244052,244854,245477,246023,244551,247114,277760,285728,290262,298661
"38","30","    Durable goods","WKS5WD0",49693,49763,50631,52126,52357,53411,53894,54309,55601,57537,58709,59179,60657,60897,62806,63718,64360,65865,67578,70055,70229,72358,73463,75628,76801,78086,78705,80024,82050,84245,86014,88783,88359,86033,84542,85119,85725,88665,90344,89772,91702,93515,96162,98907,103628,106506,107607,110864,113499,113922,116313,116612,117883,119924,119844,122215,123744,125344,124747,126024,126288,127617,125953,122475,118896,116241,117688,119680,122341,124134,128482,130187,130727,131101,131101,131298,132214,133866,136243,135057,135630,137787,135610,139796,143310,142447,146071,144625,144237,147085,146337,145267,145989,147209,149375,148305,149288,145831,144954,147969,147198,149462,150136,151990,152464,152573,154055,155227,154475,158872,161552,165040,168588,170746,172054,174690,175097,175774,176995,177179,176526,183262,185663,189747
"39","31","      Motor vehicles","WKS5010",7039,6809,6827,6908,6644,7074,7175,7634,7775,8047,8187,8485,8784,8780,8804,8800,9308,9672,10783,12408,12046,12609,13220,13115,13199,12977,13430,13648,15274,16956,17166,17791,16874,15651,14997,15089,15082,15899,16169,15568,15552,15751,15804,16399,17180,17619,17543,18950,19626,18439,18697,18689,18849,19548,18912,18552,17260,17067,16136,17285,18181,19386,19629,18744,18140,17757,17952,17897,18297,18010,20245,20386,20816,21682,21180,21519,21659,22342,23227,23104,23085,23916,23824,24460,25165,24127,25766,25329,25016,26468,25489,24222,25126,24937,25817,25656,26330,24947,24287,25678,24597,24643,25250,25631,25321,24324,24617,25082,23714,24627,24894,25407,26369,26949,26434,26106,25369,26305,25525,25440,25978,27253,27624,27130
"40","32","      Furniture and furnishings","WKS5020",1606,1596,1632,1623,1662,1684,1703,1790,1831,1860,1943,1974,2009,2059,2096,2084,2172,2257,2203,2148,2126,2159,2225,2445,2569,2575,2759,2727,2868,2852,2890,2822,2720,2673,2662,2759,2896,3041,3099,3132,3109,3113,3262,3398,3484,3671,3656,3627,3761,3817,3762,3812,3803,3805,3943,3991,4056,4070,4121,3867,3898,3777,3618,3724,3762,3769,3891,3881,3980,4182,4149,4341,4296,4436,4559,4746,4561,4296,4737,4953,5243,5564,5624,5518,5744,5876,5837,5735,5719,5681,5766,5638,5537,5756,5659,5592,5703,5401,5455,5474,5374,5420,5298,5496,5540,5562,5476,5577,5602,5552,5701,5763,5957,6369,6142,6051,6131,6122,6123,6046,5869,6093,6211,6282
"41","33","      Lumber and construction","WKS5030",4026,4179,4266,4162,4218,4304,4516,4525,4628,4989,5150,5103,5070,5145,5221,5224,5237,5158,5210,5118,5562,5595,5464,5803,5770,6202,5988,5948,6063,6248,6020,5841,5557,5349,5797,5652,5544,5504,5644,5774,6138,5797,6058,6121,6342,6591,6675,6625,6638,7061,7026,7017,7096,6828,6627,6592,6689,7155,6869,6478,6299,5933,5986,6330,6479,6639,7066,7203,7342,7336,7391,7529,7500,7535,7778,7705,8481,8896,8400,8306,8150,8586,8649,8698,9102,8923,9125,9044,9246,9144,9079,9100,9235,9334,9110,9040,8620,8545,8579,8682,8467,8496,8673,8705,8938,8538,8574,8336,8318,8764,8814,9022,9219,8899,8962,9188,9290,9279,9624,9373,9436,9761,9946,9960
"42","34","      Professional and commercial","WKS5040",8714,8722,8764,8754,8748,8771,8807,8813,8829,8840,8841,8850,8874,8906,8928,8950,8966,9002,9009,9049,9063,9077,9107,9151,9205,9200,9246,9258,9253,9237,9243,9235,9251,9260,9269,9244,9232,9231,9257,9314,9339,9362,9328,9337,9377,9391,9422,9444,9431,9460,9461,9418,9416,9446,9503,9538,9547,9572,9543,9574,9570,9613,9686,9687,9749,9765,9860,9969,10128,10248,10322,10445,10534,10610,10624,10789,10977,11156,11253,11040,11082,11147,11262,11215,11293,11297,11455,11454,11532,11588,11651,11799,11860,11934,11977,12030,12143,12223,12266,12376,12279,12476,12557,12566,12632,12695,12831,12907,13036,13206,13322,13568,13772,13864,14007,14236,14321,14377,14616,14678,14782,15388,15724,16089
"43","35","      Metals and minerals","WKS5050",7594,7585,7271,7631,8150,8612,9022,8821,8227,8256,8274,8535,8718,8582,9059,9584,10120,10664,10173,9659,9604,9595,10066,10954,10480,10675,10879,10795,10464,11000,11583,13496,15267,14503,13458,12841,12712,13042,13404,13606,13338,13479,14035,14113,15492,16020,15515,14989,15414,15879,16921,17379,17159,18040,18090,18957,19778,20518,21637,21754,22113,22130,21192,20637,19577,18571,19147,18849,18985,19687,19201,18747,18275,16847,17216,16877,16455,16416,16131,16283,16124,16338,15814,16851,17743,18616,18623,18317,18266,18246,18196,18036,17343,17057,17791,17969,18070,17626,17663,17636,18346,18321,18108,18004,18216,18965,19278,19625,19485,20376,20683,21054,21046,20591,20358,19911,19738,19525,20038,21125,21997,22438,22389,22471
"44","36","      Electrical goods","WKS5060",3056,2909,2938,3014,3085,3083,3133,3130,3233,3407,3436,3533,3500,3550,3645,3716,3661,3785,3917,3963,4110,4140,4249,4298,4453,4735,4661,4961,5016,5034,4968,4941,4748,4513,4392,4436,4553,4754,4812,4860,5049,5242,5469,5594,5839,6115,6255,6561,6780,6927,7004,6940,7136,7220,7393,7496,7699,7956,8119,8492,8840,8974,8806,8614,8385,8297,8484,8967,9707,10585,11560,12114,12262,12472,12367,11996,12050,12076,12785,12488,12927,12727,12281,12918,12991,13018,13314,13608,14033,14316,14492,14474,14420,14637,14737,14755,14981,14757,14448,14983,14929,15239,15454,16007,16327,16476,16956,16686,17049,17818,18707,19404,20101,21159,22135,23025,23119,22743,22215,22411,23194,23373,23398,23293
"45","37","      Hardware and plumbing","WKS5070",4392,4451,4613,4676,4578,4592,4670,4946,4994,5261,5252,5163,5368,5289,5428,5404,5459,5586,5653,5771,5954,6355,6409,6732,6965,7078,7139,7439,7445,7405,7465,7413,6888,6292,6408,6614,6486,6657,6966,6944,7106,7439,7478,7636,8110,8320,8387,8557,8835,9122,9083,9183,9328,9005,9099,9442,9589,9965,9661,9552,9213,8930,9056,8759,8630,8511,8531,8850,9003,9074,9618,9876,10303,10443,10038,9950,10246,10546,10409,10482,10377,10264,10328,10514,10441,10518,10987,10808,11181,11654,12047,12099,12242,12652,11983,12320,12151,11944,11912,12090,12154,12578,12788,12582,12764,12570,12700,13125,13504,14117,14808,14980,15261,14825,14875,14977,15074,15091,15311,15797,15582,15936,16071,16092
"46","38","      Machinery, equipment, and supplies","WKS5080",15024,15437,16254,17174,17178,17145,16502,15864,16882,17277,17595,17712,18401,18420,19148,19327,18777,18988,19489,19987,19847,20321,20182,20926,21578,21818,21672,22363,22624,22554,23866,24636,25094,26421,26590,26904,27505,27991,28205,27555,29190,30330,31389,33300,35038,35983,37347,39320,40281,41690,44226,44193,46021,46775,46899,48372,49875,50866,50281,50832,49975,49746,49604,46468,44628,42896,42164,43638,43492,44117,43941,43477,42823,41986,42758,43230,42885,43166,42906,42520,42201,42207,41567,44497,46698,46477,47545,46178,44203,45550,44804,44383,44446,45688,47030,46045,45574,43286,42749,42347,42357,42625,42061,42533,42301,42394,41833,42004,42445,43156,44946,45729,46629,47870,48844,50179,51057,51003,52610,51569,52624,55106,54440,57425
"47","39","      Other durable goods","WKS5090",5967,6248,6313,6586,6571,6732,6934,7097,7406,7665,8159,7802,8155,8327,8875,9166,9210,9258,9275,9827,9686,10382,10242,10327,10575,10642,10811,10542,10444,10298,10645,10821,10641,10553,10339,10976,11084,11897,12263,12503,12621,12900,13427,13329,13449,13507,13709,13691,13699,12834,11953,11896,11215,11509,11619,12041,12696,11899,12185,11541,10815,11369,10323,11186,10805,10832,11396,11302,12039,11360,11834,12795,13178,13683,13455,13277,13606,13685,14617,14266,14499,15318,14070,13818,13554,13210,13122,13332,13740,13276,13537,14175,14208,13798,14136,13483,13967,14892,15500,16451,16956,18091,18098,18603,18538,19602,20287,20646,19977,20290,18838,19388,19477,19137,19114,19833,19941,20204,20307,20249,20655,20273,20934,21857
"48","40","    Nondurable goods","WKS5WN0",35013,34403,37133,37445,37578,38705,39234,38290,39333,39836,40640,40967,42158,43504,44235,46235,45514,46811,47187,47947,47539,47857,49889,48663,49547,47191,46269,47283,49804,51958,49346,51204,47591,46698,48674,46747,47036,48774,50363,51657,52868,53774,56153,57482,60072,61087,60829,62470,65142,66116,65963,66206,66553,67098,70112,68608,70142,66553,67990,69253,66905,69180,69200,70673,72593,70976,72331,73054,74275,75004,78056,78446,80952,82646,84998,86547,88567,88996,92886,92495,92708,93083,94988,97409,98882,104064,102229,101698,100641,101323,102212,104014,104483,107506,108195,110138,111376,112330,114498,115960,118510,118541,118297,122490,123428,124993,126277,126046,125783,126000,127912,131232,132018,132683,134412,131613,130918,131993,127474,130479,132455,134854,137644,141466
"49","41","      Paper products","WKS5110",1964,1977,1925,2029,2008,2102,2046,2051,2064,2098,2128,2158,2204,2129,2183,2175,2146,2146,2138,2122,2199,2231,2283,2351,2506,2445,2542,2629,2643,2722,2560,2579,2349,2310,2341,2431,2456,2483,2527,2578,2713,2807,2807,2799,2840,2849,2944,3012,3140,3172,3285,3278,3342,3317,3289,3456,3545,3626,3698,3749,3658,3604,3663,3603,3754,3854,4160,4347,4371,4484,4509,4542,4703,4864,4933,5039,5044,5013,4994,5187,4975,4936,4948,5135,5313,5401,5546,5596,5945,6077,6173,6180,6229,6424,6712,6858,6779,6957,7244,7447,7642,7893,8113,8099,8254,8479,8554,9096,9275,9295,9087,9485,9576,9532,9219,9596,9689,10353,10510,10657,10948,11101,11668,11726
"50","42","      Drugs and sundries","WKS5120",1572,1560,1619,1642,1672,1765,1882,1876,1916,1991,1951,2049,2163,2083,2066,2032,2038,2060,2143,2337,2282,2382,2493,2554,2620,2675,2659,2904,3404,3757,3412,3319,3202,3162,3065,3036,2964,3124,3128,3264,3367,3442,3592,3793,3846,4130,4381,4234,4494,4439,4467,4103,4014,3920,4169,4330,4355,4611,4794,5075,5056,5410,5122,5256,5009,5104,5450,5475,5783,5555,5664,5876,6262,6433,6903,6767,7541,7478,7604,7848,8089,8284,8664,9220,9299,9572,9614,9787,9626,9913,10462,10550,10896,10895,10985,11177,11299,12495,12677,12872,13564,13834,14146,14857,15177,14861,15505,16021,15385,15578,15791,16528,16833,17251,16952,16021,16267,16610,16426,18060,18466,18869,19926,20319
"51","43","      Apparel and piece goods","WKS5130",2112,1981,2044,2044,2100,2251,2199,2108,2168,2095,2202,2285,2356,2389,2477,2659,2811,3101,3314,3653,3465,3461,3434,3395,3565,3470,3859,3495,3757,3751,3723,3851,3649,3621,3565,3625,3777,3739,3917,3752,3913,3987,3858,4000,4039,4342,4619,5166,5194,5339,5442,5602,5842,5366,5953,5961,6433,6154,6168,6086,5959,6178,6180,6145,6343,6274,6095,6618,6768,7131,7348,7380,7623,7363,7736,7766,7876,8357,8915,8671,8916,8858,8858,8952,8736,9239,8777,9091,9447,9797,10231,10580,10729,11027,10928,10680,10617,10112,10064,10266,11127,11135,11133,11317,10931,11613,12337,11977,11711,11303,12240,12647,12916,12598,12428,11822,11655,11875,11707,11925,12496,12890,12865,13381
"52","44","      Groceries","WKS5140",7900,7896,8213,8095,7865,8177,8216,8209,8565,8318,8262,8276,8472,8622,8681,8891,8726,8914,9321,9107,9342,9414,9764,9590,9436,9650,9601,10581,11104,12090,10730,10923,10468,9800,9788,10295,10918,11255,11811,12132,12061,12447,13017,12914,12802,12980,13163,12992,12943,13012,12823,12599,12582,12556,12339,12929,13350,12911,12993,12917,12556,12765,12947,13393,13432,13336,13781,14185,14650,14665,15508,15284,15690,16398,16542,17228,18547,18737,18472,19008,18455,18872,19543,19515,19073,18911,19745,19430,19902,19879,19385,20732,20709,20734,21376,21314,21532,22043,21932,22548,22724,23483,23372,23361,23271,22517,22337,22457,22887,22472,22388,22398,22240,22437,22790,22094,22497,22238,22105,21520,21511,21753,21665,22739
"53","45","      Farm products","WKS5150",6284,5964,7553,7101,7404,7711,7616,7006,7122,7258,7015,7283,7284,8098,8364,9242,8511,8884,7967,7800,7688,7588,9140,8681,9274,7671,7184,7385,8344,8096,7982,8350,7036,7340,9389,7421,7057,8126,8181,8401,8856,8903,9353,10412,11427,11195,9995,9903,10516,11481,11388,11340,11054,11268,12410,10814,10532,9283,9333,9919,9599,10322,10326,11965,12595,11819,13125,11987,11985,11719,12178,12621,13199,12744,14343,15271,14864,14578,16191,14055,14181,14265,14293,14473,15394,18744,17050,15693,13680,13058,13521,14430,14251,14620,14556,16681,16996,16578,18642,17392,17578,16804,16669,18365,19242,20549,18907,19118,18534,18647,18695,20028,19308,18781,20714,19738,19276,18550,15561,17024,17419,17404,17762,18991
"54","46","      Chemical and allied products","WKS5160",1128,1134,1247,1259,1347,1285,1365,1284,1290,1389,1408,1456,1468,1396,1432,1450,1485,1502,1485,1538,1668,1691,1685,1737,1790,1818,1863,1988,1846,1906,1951,1951,1928,1837,1827,1840,1952,1900,1985,2063,2147,2234,2285,2298,2520,2690,2794,2993,3014,3053,2923,2751,2712,2655,2764,2941,2806,2744,2937,2814,2965,3128,3137,3403,3358,3630,3699,3728,3934,3866,4232,4352,4365,4095,4372,4330,4369,4391,4326,4567,4561,4613,4625,4696,4895,4887,4708,4941,4475,4621,4700,4427,4840,4778,4965,5252,4930,4871,5158,5288,5647,5799,5525,5632,5879,6050,6314,6184,6001,6083,6257,6351,6609,6845,6996,6881,7017,6861,7025,7302,7487,7775,7790,7779
"55","47","      Petroleum products","WKS5170",1432,1284,2131,2936,2904,3346,3655,3450,3243,3520,3570,3903,4163,4461,4631,4878,5550,5585,5998,5948,5158,5097,4904,4231,5330,5895,4403,3501,2874,5245,4662,7554,6918,6142,4577,4515,4962,4317,4626,4085,4663,4840,4952,5227,5521,5625,6111,6442,7481,7491,8218,8859,9617,10299,10822,10811,12016,10567,11042,11033,9491,10045,9878,9239,10292,9262,8333,9034,7757,9133,9467,8194,9070,10132,9106,9584,9914,9262,10772,11855,10194,9543,9834,9953,11314,11106,11257,10803,11637,12252,11207,9976,10854,11948,10748,10018,11010,11643,11686,12481,12597,12371,11982,12608,12782,13260,13472,12410,13948,13919,13948,14327,14523,14560,14329,13848,13546,12604,12686,12874,12409,12654,12579,13046
"56","48","      Alcoholic beverages","WKS5180",2163,2156,2093,2273,2222,2225,2418,2425,2432,2436,2659,2569,2754,2820,2674,2843,2908,2941,3325,3131,3189,3287,3155,3290,3186,3462,3357,3417,3555,3713,3710,3710,3598,3368,3338,3499,3257,3349,3444,3723,3819,4163,4306,4141,4306,4395,4628,5032,5542,5275,4809,5207,5344,5251,5493,5339,4989,5292,5445,5556,5753,5588,5509,5574,5319,5359,5159,5105,5313,4954,5312,5381,5362,5720,5681,5692,5631,5724,5543,5634,6256,5927,5976,5753,5508,5464,5607,5734,5610,5655,5669,5818,5708,5780,5829,5911,6105,5991,5934,6028,5639,5702,5680,5648,5645,5599,5612,5787,5693,5950,5988,6031,5948,5980,6271,6106,6157,6373,6318,6244,5859,6134,6259,6674
"57","49","      Other nondurable goods","WKS5190",8784,8871,8861,9267,9176,9031,9317,9414,9891,10434,11213,10858,11294,11470,11757,11844,11640,11685,11771,12626,12446,12614,12331,11804,11321,10650,10585,10722,10413,10701,10281,9829,9661,9814,9734,9899,9798,9764,10144,10985,10659,10273,11418,11082,11907,12139,11976,12442,12996,12570,12449,12203,11775,12382,12394,12201,12142,11993,12325,12898,12784,13009,13210,12726,12954,12903,12831,13153,14361,14135,14500,15374,15248,15862,16014,15353,15342,15439,16676,16610,17284,17806,18415,20112,20474,21306,20825,21431,21449,21388,21582,21066,20268,21656,21954,22079,22224,22243,21844,22504,22612,21927,21867,23177,23194,23130,24038,23313,23546,24158,24611,24480,25283,26276,25996,26860,26010,27299,26460,26097,27037,26442,27419,27543
"58","50","  Retail trade","WKS5R0",102844,101984,100980,102385,104658,107027,106863,111138,112419,113671,117015,118867,118018,119778,121199,118944,125682,129047,135209,135091,136930,139674,141622,145570,148843,153071,153099,157295,156242,155578,153608,154960,148584,146614,148169,147167,152616,155369,157334,158518,160688,162707,165366,167643,172033,174492,175321,178826,179044,182937,179978,178706,176632,175435,174555,173622,174490,178249,181439,183255,178609,178970,182393,179075,181156,185749,189390,193674,203717,207495,208250,217320,218749,221859,225613,234087,241300,241936,238220,237815,248750,254119,252976,260915,258621,261611,264768,269240,277529,278214,277995,285024,280932,284864,285186,283251,277218,278505,281964,283843,282648,285391,286180,288882,299410,301634,302406,305685,310010,318129,322253,328039,334139,338989,340390,341311,337332,341601,347892,349384,350358,356077,360396,363509
"59","51","      Addendum: Retail less motor vehicle","WKS5RX0",76019,76872,76929,77466,78498,79228,80272,81308,82363,83904,85641,86494,86630,87627,88487,90147,92377,93127,94872,97154,98971,101614,103691,106209,107814,109757,108861,111293,110972,111559,110483,108911,106481,103992,103737,104766,108375,110646,111119,111859,112446,113326,114383,114859,117753,120970,122241,122414,121010,121712,121904,122212,122943,124646,125451,124728,124988,125733,128592,130622,128627,128406,128486,129251,130575,133823,136104,138362,144325,148210,150014,153566,154828,156158,159777,161407,164816,165196,167596,166441,168037,172032,173216,176549,179209,179730,181707,182238,184508,187778,190702,192117,193342,194694,193316,192030,191762,192180,193636,196513,195004,196550,197714,199795,204234,205351,208166,211446,212441,219309,221596,224662,226703,229435,232064,231230,231554,232324,234385,236180,237832,242515,245266,245831
"60","52","    Durable goods","WKS5RD0",43184,42004,41277,42021,43303,45403,44622,47990,48464,48366,50500,51643,50829,51504,52086,48867,53371,56014,60487,58848,59721,60728,61577,64386,66367,69702,70949,72438,72526,71489,70250,73374,68927,69311,71335,70132,72138,73599,75846,76915,78565,79683,81664,83206,85635,85881,85870,88925,90328,93234,90422,88569,86057,83293,81333,80795,80107,82915,83395,83688,80479,80345,83467,80171,81497,83525,85282,87651,92239,93153,92325,98389,99412,101323,102431,108696,113412,114029,109361,108792,117199,120406,118692,124387,120774,123405,125557,129657,135203,133304,131605,136679,132806,135725,136741,135423,129054,129568,131718,130575,129986,131509,130840,131818,137903,139393,138705,140937,144616,147775,150562,154229,158339,161271,162029,163187,160299,163937,167914,167979,168444,171361,174093,176667
"61","53","      Automotives","WKS550",23686,21823,20707,21594,22830,24508,23172,26525,26698,26295,27891,28894,27838,28581,29117,24987,29482,32118,36556,33970,33898,33861,33616,34956,36612,38932,39997,41732,40975,39578,38712,41947,37937,38632,40547,38371,40087,40466,41971,42387,43960,45072,46643,48431,49824,48913,48415,51774,53486,56705,53490,51867,48990,45938,44202,44075,41852,44841,44726,44131,42215,42326,45204,41472,42099,43369,44947,46659,50142,49752,48649,53491,53745,55304,55409,61794,64979,65427,59293,60192,68805,69704,67617,71826,66988,69300,70329,73962,79415,76855,73824,78972,73864,76315,77993,77666,72215,72751,74420,73175,73203,74368,73963,74575,80121,81039,79052,78732,81758,82679,84360,86776,90350,92158,91009,92674,88979,92298,95956,95803,95850,97411,98685,100455
"62","54","        Motor vehicle dealers","WKS55X0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36716,39616,39651,39246,36875,37447,40604,36697,37303,38312,39412,41136,44494,44108,43008,47858,47922,49466,49329,55545,58810,59026,53226,54000,62421,63408,61208,65196,60469,62700,63646,67220,72590,69973,66847,71959,66893,69203,70905,70392,65022,65805,67560,66433,66831,67822,67393,67816,73056,73968,71943,71732,74642,75363,76855,79075,82509,84220,83022,84589,80824,83839,87432,87070,85925,86664,88366,91331
"63","55","        Auto and home supply stores","WKS5530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5026,5136,4999,4820,5226,4800,4555,4702,4725,4980,5449,5436,5555,5553,5555,5528,5722,5730,5979,6118,6010,6251,5947,6071,6187,6081,6225,6418,6353,6415,6493,6514,6540,6632,6770,6752,6761,6888,6844,7050,7021,6748,6635,6521,6110,6285,6315,6520,6778,6767,6848,6725,6800,7019,7210,7393,7482,7557,7645,7725,7901,8196,8186,8449,8598,8861,8885,8918
"64","56","      Lumber and building stores","WKS520",11760,12039,12216,12189,12111,12019,12088,11977,11867,12029,12129,11991,11546,11475,11691,12096,12726,13083,13236,13933,14214,14407,14792,15369,16464,17251,17972,15838,17339,16695,15763,14946,14363,14580,14561,14888,15116,15255,16074,16204,16524,16655,16911,17176,17387,17736,17467,17566,17362,17638,17807,17516,17717,17494,17708,17689,18028,18152,18010,17854,17022,16974,16566,17081,17677,17872,18497,19196,19797,20366,20686,20978,20957,20999,21942,22118,22573,22340,23187,22370,22634,23654,23275,23267,23826,23527,23917,24760,25013,25055,25137,25232,25259,25623,25142,24795,24115,23770,23651,23861,24100,24148,24430,23935,24306,23956,24254,24884,25428,26271,26608,27249,27315,27589,28674,28734,29021,29456,28937,29400,29505,29985,30570,30782
"65","57","      Furniture and furnishings","WKS570",3289,3367,3403,3408,3482,3551,3576,3614,3663,3621,3721,3811,3814,3857,3899,3936,3971,4002,4049,4107,4338,4502,4682,4891,4963,5086,5049,5104,5201,5256,5294,5243,4948,4962,5099,5327,5274,5350,5427,5502,5603,5591,5538,5657,5845,6040,6240,6352,6529,6568,6773,6655,6643,6763,6691,6586,6816,6747,6673,6740,6490,6428,6570,6533,6956,7056,7233,7268,7343,7704,7615,7843,8067,8219,8257,8487,8618,8795,8822,8792,8532,8742,8998,9139,9370,9557,9888,9756,9898,10022,10152,10253,10560,10655,10741,10404,10375,10645,10660,10608,10618,10611,10492,10847,10862,11298,11675,12239,12119,12872,13360,13826,13935,14214,14548,14551,14744,14949,15225,14905,15182,15446,15597,15743
"66","58","      Other durable goods","WKS59X0",6375,6383,6406,6383,6427,7047,7364,7905,8216,8546,9020,9140,9599,9536,9354,9423,9429,9410,9788,9805,9940,10497,10877,11676,11156,11643,11517,13096,12422,13012,13135,14293,14591,14113,14105,14020,14547,15537,15658,16163,15848,15893,16469,15801,16489,16895,17118,16790,16399,16106,15573,15655,15582,15443,15045,14867,15494,15601,16477,17363,17017,16925,17364,17314,16749,17278,16697,16892,17676,17853,18056,18940,19318,19409,19718,19267,20511,20501,21067,20189,20758,22104,22159,23675,23861,24153,24434,24755,24635,24934,25869,25788,26192,26360,25958,25807,25144,24901,25542,25538,24697,25092,24801,24937,25399,25522,25910,27089,27665,28065,28159,28220,28627,29161,29730,29169,29410,29114,29479,29868,30396,31296,32091,32388
"67","59","    Nondurable goods","WKS5RN0",59007,59470,59255,59884,60799,60861,61597,62206,63012,64452,65527,66164,66204,67287,68122,69484,71374,71854,73168,74971,75905,77646,78724,79659,80850,81576,80273,82949,81799,82250,81586,79539,77882,75377,74726,75035,78487,79722,79226,79247,79641,80488,81015,81638,83487,85831,86738,86885,85468,86224,86361,87178,87934,89912,91288,90952,92716,93419,96301,97925,96769,97326,97247,97666,98314,100853,102682,104461,109826,112855,114720,117170,117471,118517,121284,122819,124882,124806,126565,126831,128374,130296,131176,132834,134806,134823,135623,135451,137695,140787,142638,144107,144358,145094,144217,143703,144836,145613,146765,150201,149617,150752,152426,154180,158221,158815,160524,161339,161479,166507,167546,169310,170855,172518,173113,172656,171903,172031,173980,175554,176369,179035,180605,180916
