"","Table 3#11#4# Price Indexes for National Defense Consumption Exp","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"21","13","        Ships","B278RG3",24.845,31.476,32.229,31.748,30.462,29.967,33.381,36.047,37.699,37.341,41.021,39.804,39.717,39.684,41.518,42.236,41.481,44.217,43.856,44.227,43.79,42.964,42.825,45.67,47.084,47.993,47.507,48.628,49.258,50.279,51.036,50.446,54.106,55.273,57.221,57.97,59.105,62.079,62.038,57.695,68.269,67.302,66.794,65.136,64.829,64.902,63.586,66.559,65.434,65.809,68.062,67.872,71.424,70.691,72.172,72.783,73.569,73.768,73.06,73.064,73.705,73.749,71.625,73.347,74.035,74.716,75.848,79.101,77.34,79.437,80.098,81.942,82.971,83.607,83.478,83.289,83.764,84.499,84.554,83.974,85.569,85.539,85.589,85.662,85.894,86.839,85.74,86.624,87.39,86.843,87.129,87.298,87.768,84.811,86.843,87.065,87.112,87.026,86.049,86.672,86.667,87.813,88.004,87.004,87.476,87.585,87.49,87.16,85.681,85.693,84.967,84.764,86.136,85.694,86.377,86.385,86.703,86.937,86.816,86.114,86.151,86.296,86.643,86.631,87.175,87.438,87.379,87.108,87.654,89.357,90.048,90.34,90.916,91.578,91.955,91.871,92.998,93.496,94.1,95.586,96.064,95.618,96.169,95.828,96.077,97.296,99.102,99.657,100.007,100.051,99.989,99.953,99.64,99.867,99.973,99.963,100.671,101.318,101.636,101.622,101.123,101.315,101.196,101.14,101.276,101.487,101.689,101.725,101.483,101.706,101.944,101.846,102.208,102.061
"22","14","        Vehicles","B288RG3",22.807,22.291,22.31,22.372,22.709,22.901,22.588,22.704,23.723,24.069,25.664,25.805,27.207,26.451,25.71,27.487,27.42,29.815,29.758,30.009,30.916,30.235,30.829,32.318,32.195,32.014,33.829,35.608,37.139,34.701,37.627,38.225,39.732,40.979,41.484,42.762,45.558,47.514,49.215,52.421,54.397,54.954,56.755,58.799,57.324,58.569,58.675,58.369,58.232,57.461,54.14,51.283,48.497,47.313,46.06,47.172,49.189,51.545,54.865,58.513,54.405,54.738,57.211,58.148,50.666,50.76,50.825,51.56,51.984,50.732,49.658,50.116,49.478,52.175,54.124,54.378,54.539,54.793,55.662,56.438,56.339,56.429,57.984,59.976,61.066,61.36,60.843,62.82,63.094,63.244,63.035,64.761,65.385,66.028,65.777,66.237,67.949,67.807,67.549,69.267,71.837,73.464,73.72,73.297,75.108,75.162,74.709,76.536,78.096,80.508,81.474,84.914,90.585,86.998,85.332,85.409,86.004,87.223,86.921,87.507,89.52,90.225,88.202,90.653,90.848,90.017,89.492,91.729,92.513,93.239,92.791,95.326,95.073,94.829,93.939,95.206,94.991,95.187,94.122,96.318,96.948,96.537,96.291,97.544,97.512,97.699,97.622,100.179,99.773,99.85,99.735,100.643,100.661,100.417,99.985,101.074,101.359,101.642,101.722,102.849,103.438,103.436,103.567,104.365,104.349,104.202,103.89,105.07,105.242,104.885,104.591,105.675,106.074,105.941
"23","15","        Electronics","B388RG3",60.134,60.352,59.432,59.333,60.901,63.262,63.755,62.995,64.123,66.288,71.035,75.262,73.634,72.582,73.957,78.552,76.853,75.963,77.841,80.144,80.75,81.081,81.304,82.56,81.954,85.55,85.668,87.501,88.032,94.392,96.604,95.988,98.79,98.466,97.441,103.896,105.016,105.627,108.675,107.783,110.673,110.062,108.061,110.78,112.137,112.413,111.344,110.383,111.531,110.959,112.225,111.052,113.444,111.777,110.672,110.719,110.427,110.677,110.68,112.257,111.215,110.717,112.324,111.979,111.973,112.103,112.345,112.814,114.299,114.797,115.557,116.222,116.436,117.201,117.712,117.952,118.092,118.114,117.65,117.63,117.694,117.673,117.428,117.518,117.854,117.668,117.35,117.612,117.788,118.141,117.932,117.734,117.828,117.92,117.687,117.285,116.247,114.842,114.114,113.369,112.589,112.18,111.039,110.542,109.83,108.618,107.476,106.936,106.038,105.301,104.864,104.586,104.206,104.058,103.922,103.453,102.604,102.262,101.614,101.169,100.973,100.609,100.031,99.69,99.056,98.707,98.293,97.956,97.631,97.979,97.796,97.945,98.244,98.054,97.991,97.886,98.397,99.659,100.428,100.761,100.445,100.103,99.85,99.893,100.109,100.33,100.677,100.643,100.063,99.887,99.958,100.091,100.045,100.064,99.742,99.362,99.776,100.158,100.285,100.128,100.452,100.594,100.349,100.215,100.628,100.81,100.887,100.962,100.817,100.729,100.745,100.762,100.746,100.519
"24","16","        Other durable goods","B389RG3",31.029,31.507,31.789,31.946,31.698,32.015,33.647,33.523,34.54,35.191,34.936,35.352,37.53,38.566,37.839,38.562,37.83,39.804,42.754,42.517,42.95,43.35,43.869,45.222,45.562,47.459,48.799,50.178,50.708,50.789,52.676,54.571,53.704,57.057,58.61,58.898,61.416,60.355,61.075,65.081,67.335,66.057,67.508,68.003,69.111,70.216,70.422,70.329,71.195,71.351,72.953,72.298,73.262,73.868,71.863,72.73,73.248,73.713,73.478,75.588,74.309,74.726,74.724,74.363,76.254,77.795,77.625,79.695,79.872,80.495,81.326,82.194,81.949,82.378,81.871,82.528,83.803,82.767,83.907,84.449,84.739,85.113,85.706,85.906,86.852,87.243,88.047,88.433,88.555,89.103,88.902,89.498,89.476,90.235,90.162,90.532,91.253,91.749,91.108,91.458,91.345,91.577,91.956,91.866,91.712,91.997,91.925,91.902,91.835,91.875,91.554,91.372,91.805,91.553,91.967,92.133,91.685,92.061,91.695,91.609,91.652,91.331,91.242,91.646,91.971,92.163,92.065,92.144,92.324,92.746,93.027,93.336,94.56,95.169,95.226,95.42,95.945,96.612,96.968,96.811,96.892,96.746,96.52,96.421,97.175,97.906,99.395,99.708,99.717,99.982,100.06,100.241,100.443,100.866,101.032,101.072,101.49,102.083,102.347,102.361,102.981,103.214,103.366,103.44,104.045,104.269,104.358,104.439,104.741,104.878,104.956,105.065,105.604,105.729
"25","17","      Nondurable goods","A725RG3",12.33,12.594,12.672,12.904,13.79,14.33,16.335,17.195,18.779,19.675,22.768,25.845,25.293,24.613,26.518,26.266,27.352,27.452,27.922,28.254,29.19,29.828,30.205,31.022,31.308,31.618,32.046,32.73,34.341,36.415,41.045,47.465,52.707,59.999,59.952,60.065,62.154,66.612,66.674,65.335,64.383,63.63,63.136,63.163,61.02,59.398,59.548,59.601,58.534,58.518,58.496,57.742,56.907,57.025,56.869,57.467,53.964,45.172,42.669,42.521,44.276,46.877,48.583,49.604,48.902,50.407,52.002,50.547,52.539,53.67,52.921,54.523,56.834,55.816,59.935,71.269,62.365,55.172,56.47,57.402,53.445,54.598,56.836,55.932,53.975,55.231,53.531,53.561,51.113,52.707,53.807,54.768,53.057,54.148,54.139,55.525,57.441,58.277,59.026,62.702,61.405,57.855,56.708,57.79,53.71,52.248,51.285,51.295,49.471,52.562,55.795,59.827,63.717,63.404,67.026,71.168,66.074,64.732,63.968,59.195,57.978,61.58,63.43,65.86,72.43,65.534,65.054,65.495,68.241,72.524,76.51,83.648,85.558,88.169,94.491,97.491,99.111,101.624,101.611,96.715,99.72,101.41,103.071,117.036,128.978,139.456,143.044,110.425,95.054,95.059,101.32,108.567,110.374,113.376,113.319,117.978,129.616,142.158,140.623,135.637,139.688,136.844,136.306,140.306,141.616,135.313,137.761,137.71,139.291,139.16,138.547,128.562,113.016,114.456
"26","18","        Petroleum products","B780RG3",5.499,5.664,5.725,5.937,6.682,7.097,9.673,10.305,11.939,12.512,15.973,19.424,18.241,17.221,19.495,18.953,19.618,19.253,19.531,19.62,20.671,21.381,21.735,22.552,22.566,22.539,23.083,23.471,24.998,27.43,33.547,42.057,48.428,58.013,57.508,57.311,59.826,65.677,64.898,62.549,60.613,59.215,58.405,58.609,54.656,51.401,51.745,50.972,49.139,49.118,48.593,47.51,45.789,46.618,46.58,46.85,43.036,27.913,23.037,23.018,26.11,29.914,32.334,33.646,30.858,33.374,35.476,31.858,34.507,36.005,34.024,36.53,39.576,37.57,44.113,61.088,47.442,36.331,38.094,39.615,32.919,34.997,39.192,37.436,33.709,36.124,33.534,33.638,29.464,31.539,32.556,33.681,30.543,31.865,31.746,33.45,35.932,37.12,38.279,43.922,41.813,36.314,34.463,36.355,29.423,27.037,25.44,25.511,22.491,27.552,32.268,39.406,46.936,46.204,53,60.64,50.659,47.67,46.521,38.668,36.269,42.124,45.541,49.769,60.991,49.518,48.09,48.861,52.846,59.767,67.057,80.974,84.31,89.594,102.785,108.574,110.538,113.758,112.496,101.924,107.781,110.262,113.391,142.711,168.285,189.933,196.275,123.826,88.872,88.52,103.289,119.32,122.438,128.411,127.744,136.897,160.558,186.403,181.884,171.549,179.562,173.218,171.492,179.508,181.704,166.594,172.506,172.465,175.83,174.822,172.288,146.137,105.522,110.108
"27","19","        Ammunition","B781RG3",25.051,25.421,25.397,25.455,26.458,27.144,26.949,28.227,29.864,31.966,33.103,34.678,36.383,36.565,36.639,36.1,37.429,39.36,39.962,41.394,41.501,41.513,41.114,42.007,42.575,44.065,43.678,44.691,46.254,47.036,48.372,49.867,52.011,52.772,52.478,53.293,53.813,54.942,56.194,56.466,57.453,57.461,56.919,56.72,57.641,59.249,58.498,60.506,60.507,61.001,61.596,61.133,63.479,61.81,61.85,62.397,62.172,61.517,61.637,62.401,62.626,64.033,64.519,66.021,67.736,67.836,68.19,70.35,71.796,72.17,72.548,73.241,72.847,73.263,73.716,73.792,74.307,73.975,73.929,74.313,74.344,74.674,75.199,74.298,74.802,74.314,74.098,73.439,74.444,75.399,77.31,78.461,79.88,80.268,80.214,79.673,79.721,79.065,78.223,78.551,78.788,78.655,78.603,78.162,77.852,77.346,76.812,76.491,76.104,76.279,77.109,77.189,77.352,76.654,76.938,76.98,77.297,77.058,76.511,76.234,76.634,76.598,76.562,76.678,76.763,77.121,77.71,78.349,79.92,81.646,82.254,83.871,85.569,85.889,85.786,86.411,88.978,92.39,94.2,94.44,94.37,95.394,95.74,97.732,99.271,101.977,104.638,103.379,100.428,100.514,99.5,99.558,100.74,101.546,101.482,103.127,105.169,107.084,108.413,107.238,107.779,107.356,106.884,107.758,108.881,109.227,109.659,109.597,109.775,109.351,109.892,109.471,109.768,109.67
"28","20","        Other nondurable goods","B783RG3",26.141,26.53,26.717,27.032,27.685,28.129,28.938,29.823,30.345,30.926,31.912,32.745,33.548,34.135,34.967,36.291,38.287,39.251,39.96,40.353,40.904,41.478,42.157,42.532,43.652,44.21,44.776,45.969,47.11,48.175,48.727,49.58,51.07,52.159,54.067,54.758,55.931,57.448,58.857,59.593,60.13,60.68,61.271,61.221,61.742,62.482,63.041,63.521,64.21,63.73,64.936,65.471,64.173,63.772,64.105,66.557,64.251,65.723,66.796,65.305,64.821,65.322,66.222,65.579,67.486,68.311,70.164,70.068,70.766,71.743,73,72.981,75.454,76.274,76.801,77.555,77.388,76.383,76.828,76.483,76.282,75.939,75.135,76.16,76.49,76.21,75.604,76.188,76.367,76.304,76.846,77.24,78.187,78.506,78.887,79.514,79.741,80.104,80.452,80.491,80.687,80.656,80.756,80.75,80.729,80.832,81.024,81.327,81.351,81.681,82.433,82.863,83.499,83.755,84.151,84.398,84.721,85.486,85.01,84.229,84.355,85.321,85.55,86.236,86.341,85.682,86.094,86.138,87.246,88.321,88.388,89.661,90.193,90.968,91.303,91.972,92.588,93.583,94.11,94.388,95.012,95.893,96.356,97.312,98.041,99.086,99.992,98.968,99.417,99.651,100.182,100.75,101.214,101.637,102.288,102.899,104.532,105.988,106.792,106.53,107.247,107.577,108.437,109.25,109.698,109.729,109.619,109.581,110.161,110.802,111.351,111.721,111.163,110.573
"29","21","      Services","A489RG3",19.531,19.833,20.068,20.102,20.568,21.234,21.805,21.448,21.842,22.869,24.066,24.333,25.145,25.797,25.969,26.033,26.858,26.961,27.671,28.831,29.332,29.811,30.435,30.962,31.805,32.192,33.393,33.947,34.76,34.94,35.953,37.256,38.63,39.227,40.941,42.417,42.798,43.299,44.253,45.448,45.877,46.242,46.778,47.317,47.506,47.733,47.736,47.764,48.101,48.494,49.03,48.841,48.962,49.342,49.767,50.459,50.313,50.708,51.451,51.826,52.368,52.864,53.916,54.225,55.332,55.884,55.928,56.912,56.777,57.035,57.718,58.272,59.048,59.947,61.254,62.408,62.503,62.483,63.064,63.947,63.463,63.457,65.073,65.093,64.912,65.527,66.39,66.474,66.598,67.323,67.868,68.275,68.773,69.613,70.065,70.278,70.438,70.974,71.601,71.802,72.033,72.208,72.531,73.148,73.208,73.616,74.253,74.647,74.664,74.922,75.539,75.89,76.525,77.084,77.731,78.332,79.511,79.778,80.42,80.93,81.322,82.027,82.8,83.45,84.373,84.991,85.813,86.579,87.39,87.761,88.473,88.981,89.87,90.322,91.195,91.681,92.484,93.317,94.368,94.94,95.504,96.147,97.014,97.569,98.179,99.142,100.534,101.14,100.239,99.56,99.846,100.355,100.815,101.628,102.099,102.573,103.931,105.273,105.584,105.27,105.855,106.358,106.57,106.808,107.35,107.565,108.093,108.349,108.967,109.697,110.049,109.689,109.351,109.77
"30","22","        Installation support","B911RG3",21.135,21.42,21.812,21.614,22.262,23.29,24.05,23.929,23.872,25.338,26.034,26.482,27.172,27.634,27.63,28.135,28.605,29.046,30.024,30.621,31.195,32.083,32.966,33.217,34.256,34.637,36.01,36.344,37.049,37.077,38.325,38.886,40.266,41.029,42.316,42.482,42.841,43.68,44.794,46.251,46.941,47.394,47.9,48.373,48.953,50.136,49.403,49.742,50.371,50.86,51.528,51.333,51.514,52.103,53.017,53.761,54.422,54.987,55.678,55.937,56.496,56.937,57.895,58.301,58.682,59.694,59.708,60.229,59.43,59.696,60.602,60.935,62.303,63.064,64.441,64.774,64.619,64.043,64.396,65.046,64.546,64.648,66.337,66.291,65.471,66.316,66.966,66.745,66.865,67.821,68.869,68.877,69.532,70.807,71.011,70.929,70.856,71.113,71.756,71.8,71.514,71.571,71.819,71.997,71.733,72.36,73.064,73.515,73.432,73.429,74.299,73.976,74.184,74.348,75.053,75.112,76.532,76.524,77.191,77.292,77.461,78.394,79.733,80.084,81.299,82.357,82.956,83.833,85.07,85.489,86.518,87.828,89.578,89.645,90.461,91.131,92.218,93.465,94.522,94.883,95.785,97.094,98.029,98.59,99.59,101.245,102.05,100.254,98.544,99.273,100.733,101.45,102.38,102.879,102.825,103.958,105.843,108.507,108.914,107.701,108.011,108.452,108.338,108.557,109.472,109.945,110.432,110.275,111.499,112.623,112.964,111.171,109.204,109.95
"31","23","        Weapons support","B912RG3",21.668,22.043,22.272,22.644,22.743,22.988,23.674,24.027,24.477,24.998,25.622,26.198,26.807,27.072,28.086,27.675,28.133,28.344,28.659,30.167,30.531,31.042,31.635,31.759,33.001,33.486,34.326,35.455,36.266,36.52,37.49,39.01,39.898,40.949,42.113,43.316,44.344,45.209,46.14,47.443,48.12,48.711,49.648,50.202,50.955,50.737,51.123,52.017,52.297,52.42,53.007,53.471,53.962,54.107,54.468,54.905,54.772,54.963,55.122,55.624,55.353,55.497,56.184,56.756,56.675,56.879,57.244,57.8,58.509,59.193,60.08,60.43,60.879,61.37,62.24,63.003,63.568,64.482,65.277,66.542,66.847,67.315,68.165,68.915,69.59,70.123,70.428,70.991,71.701,71.99,72.278,72.646,73.19,73.435,73.673,74.328,74.898,75.413,75.558,76.122,76.6,76.951,77.07,77.381,77.748,78.14,78.282,78.738,79.127,79.388,79.551,80.159,80.883,81.424,81.821,82.275,83.122,83.257,83.778,84.169,84.389,84.743,84.881,85.278,86.004,86.433,87.056,87.626,88.039,88.468,89.26,89.783,90.483,91.264,91.867,92.058,92.801,93.555,93.81,94.48,95.084,95.118,95.903,96.49,97.125,97.551,98.369,99.712,100.155,99.819,99.951,100.075,100.818,101.089,101.575,102.089,102.682,103.767,104.479,104.863,105.534,105.948,106.469,106.459,106.938,107.29,107.725,108.059,108.771,109.383,109.904,110.057,110.778,110.749
"32","24","        Personnel support","B913RG3",12.033,12.442,12.446,12.607,13.371,14.404,15.364,13.665,13.828,14.401,14.89,15.866,16.68,17.592,17.483,17.319,18.593,18.291,19.045,20.452,20.938,20.627,21.062,22.072,22.571,23.141,24.588,25.693,26.143,26.222,26.937,28.292,29.022,26.823,30.922,32.19,32.557,32.06,33.29,33.707,34.351,34.389,34.316,34.126,34.145,33.746,34.834,34.901,35.103,34.926,35.215,35.992,35.742,35.427,36.172,37.019,38.084,37.928,38.283,38.432,39.566,40.423,41.98,43.736,47.302,48.098,47.937,49.591,49.951,50.502,51.415,52.362,52.649,53.963,55.504,57.553,56.934,57.368,58.039,60.091,60.088,60.267,62.004,62.327,62.026,63.012,63.094,63.668,63.911,64.795,65.457,66.272,66.325,67.514,67.786,68.594,68.838,69.473,69.988,70.334,70.535,70.973,71.271,71.871,71.931,72.573,73.491,74.314,74.425,74.977,75.523,76.583,77.395,78.089,78.726,79.269,80.491,81.063,81.697,82.579,83.305,83.957,84.562,85.041,86.002,86.461,87.054,87.521,88.42,88.708,89.186,89.552,90.478,90.784,91.242,91.566,92.378,93.113,94.055,94.607,95.976,96.695,97.231,97.558,97.825,98.31,98.897,99.076,99.714,99.903,100.127,100.256,100.646,100.93,101.48,101.78,102.368,102.769,103.21,103.428,103.783,104.102,104.516,104.837,105.251,105.477,105.961,106.33,106.579,107.065,107.428,107.73,107.969,108.332
"33","25","        Transportation of material","B786RG3",27.406,27.874,28.304,28.372,28.606,28.649,28.456,28.657,30.974,32.202,37.967,35.931,37.531,39.177,39.371,38.765,41.386,40.582,40.496,41.475,42.416,43.092,43.725,44.38,45.224,45.341,46.764,47.315,49.971,51.206,52.169,56.399,58.941,62.778,64.393,64.797,64.5,64.48,65.322,67.272,66.396,66.438,68.175,68.741,67.141,64.99,65.289,61.393,61.45,64.028,65.279,59.88,59.518,61.029,58.549,59.343,52.669,54.308,58.064,60.332,61.315,62.267,63.321,59.306,58.485,58.168,57.902,60.157,59,57.485,57.617,59.582,59.688,59.929,61.13,64.632,64.943,64.308,65.737,67.104,63.908,63.525,65.828,62.537,64.057,62.787,65.604,62.834,64.988,65.628,64.527,65.629,65.074,62.333,65.597,64.451,66.781,67.797,68.887,70.64,70.911,69.808,71.421,74.473,74.575,72.836,73.171,71.495,71.208,72.131,73.095,73.31,73.62,75.668,76.989,78.597,78.822,78.948,80.519,80.579,79.995,80.889,82.246,86.097,86.266,86.678,89.803,93.056,91.733,91.143,92.343,92.174,91.937,91.724,94.823,96.156,95.773,96.313,99.276,100.241,97.208,97.086,98.544,99.879,100.222,102.036,109.627,116.614,107.848,98.247,96.046,97.859,99.556,104.499,106.472,106.429,110.332,114.225,111.502,109.01,111.207,113.213,112.762,112.496,113.052,112.592,113.083,113.509,115.652,116.331,115.944,114.679,113.11,115.018
"34","26","        Travel of persons","B785RG3",18.785,18.719,18.685,18.671,18.675,18.693,18.506,18.791,18.997,19.82,20.316,20.449,21.271,21.766,22.044,22.142,22.25,22.501,23.537,26.201,26.284,26.471,26.517,27.485,27.835,28.04,28.477,28.084,28.397,28.35,29.179,30.329,32.905,33.727,34.893,44.35,44.123,44.794,44.828,45.547,44.921,45.166,45.157,47.302,46.055,46.57,46.491,46.559,46.252,45.939,45.617,46.854,46.952,47.241,47.37,48.007,47.349,47.53,48.47,47.951,48.636,48.936,49.995,49.54,51.994,51.394,51.436,52.197,52.464,52.616,51.673,51.197,52.233,54.155,55.681,56.604,57.287,57.633,57.6,56.845,56.766,56.227,57.699,58.58,59.079,59.022,61.863,64.145,61.032,60.932,60.461,61.032,62.869,64.53,64.607,64.654,62.628,63.806,65.239,63.338,66.069,66.474,66.617,68.187,69.155,69.352,69.525,69.28,68.915,68.491,68.784,68.242,70.219,70.78,71.182,74.402,75.671,76.073,76.023,77.085,77.872,78.27,78.165,80.187,80.261,80.37,80.871,81.049,82.951,84.842,85.128,83.627,82.422,84.766,87.785,89.374,89.912,90.17,93.536,94.739,90.294,90.354,92.951,93.945,95.901,98.662,104.837,111.599,103.386,98.221,97.764,100.629,96.959,100.492,100.577,100.562,106.243,108.543,109.943,108.676,110.296,111.626,110.483,111.253,111.806,110.705,112.496,113.068,112.873,114.832,115.175,114.154,113.669,113.354
"35","27","  Less: Own-account investment \4\","W088RG3",28.46,28.61,28.857,29.236,29.697,30.115,30.5,30.85,31.145,31.586,32.138,32.824,33.597,34.219,34.706,35.126,35.38,35.716,36.148,36.692,37.29,37.86,38.407,38.956,39.457,39.936,40.402,40.864,41.276,41.766,42.376,43.149,43.964,44.822,45.738,46.815,47.869,48.897,49.869,50.925,51.906,52.681,53.29,53.81,54.072,54.445,54.913,55.503,56.251,56.83,57.362,57.77,58.166,58.513,58.846,59.242,59.605,59.861,59.998,59.988,59.864,59.907,60.155,60.546,61.134,61.768,62.354,62.84,63.461,63.959,64.433,64.743,64.983,65.458,66.09,66.852,67.853,68.504,69.035,69.231,69.408,69.745,70.342,70.889,71.7,72.52,73.292,73.755,74.175,74.767,75.25,75.809,76.575,77.035,77.502,77.67,77.97,78.096,78.369,78.859,79.404,79.809,80.132,80.276,80.3,80.368,80.633,80.802,81.137,81.566,82.04,82.287,82.861,83.249,83.794,84.115,84.382,84.796,85.299,85.772,86.601,86.988,87.379,87.73,88.466,88.877,89.298,89.609,90.374,90.876,91.336,91.725,92.505,92.903,93.371,93.714,94.286,94.68,95.025,95.256,95.802,96.271,96.76,97.263,98.095,98.676,99.139,99.328,99.781,99.853,100.136,100.23,100.964,101.991,102.673,103.576,104.507,105.331,105.849,106.018,105.977,105.909,105.848,105.818,106.012,106.247,106.517,106.909,106.955,107.196,107.449,107.484,108.02,108.148
"36","28","  Less: Sales to other sectors","W089RG3",14.644,14.97,15.042,15.127,15.478,15.629,16.302,16.402,16.705,18.128,18.824,20.112,20.41,20.377,20.651,21.063,21.953,22.088,22.025,22.593,22.448,22.71,23.043,23.79,24.705,25.09,25.624,26.292,26.53,27.09,27.452,28.487,29.188,29.834,30.353,31.41,32.453,32.928,33.331,34.12,35.1,35.503,36.106,36.478,37.056,37.522,37.376,37.778,38.667,39.126,39.861,40.057,40.843,40.753,41.17,42.164,42.31,42.471,42.66,42.546,43.234,43.105,43.263,43.732,44.406,44.236,44.049,44.168,44.762,46.763,47.871,48.346,49.052,49.785,49.157,49.229,51.779,53.016,53.994,55.886,57.933,58.645,58.666,59.123,61.605,61.551,60.788,60.548,61.225,61.18,61.476,61.599,62,62.174,62.582,62.745,64.392,64.92,65.253,65.46,66.208,66.54,66.71,67.121,67.822,68.191,68.558,68.955,70.091,70.156,70.446,70.807,71.718,72.005,72.659,73.373,75.276,75.495,76.569,77.306,78.5,78.957,79.416,79.533,81.418,81.881,82.088,82.476,84.204,84.886,85.504,85.758,88.067,88.631,89.073,89.282,90.946,91.38,91.994,92.378,94.817,95.52,95.813,96.166,97.128,98.289,98.641,98.758,100.067,99.862,99.954,100.117,102.09,102.357,102.815,103.057,103.883,104.204,104.497,104.703,105.765,105.948,106.157,106.251,106.558,106.643,106.843,107.082,107.602,108.031,108.535,108.737,108.766,109.144
"37","29","Gross investment \5\","B788RG3",36.961,37.022,37.559,38.189,38.292,38.969,39.658,39.961,40.796,41.305,42.353,42.935,43.755,44.495,45.119,45.832,46.594,47.307,48.111,48.817,49.956,50.687,50.784,51.798,52.99,53.744,54.571,55.056,55.814,56.865,57.916,58.696,59.628,61.251,62.061,63.486,64.842,66.23,67.522,68.766,69.939,71.292,72.117,72.545,73.131,73.473,74.407,74.776,75.398,75.755,76.094,76.59,76.23,75.628,75.826,75.239,74.445,74.427,74.05,73.339,73.445,72.985,72.809,72.938,73.659,74.02,74.248,74.876,75.358,75.805,76.38,76.09,76.78,77.206,77.911,78.346,78.951,79.338,79.813,79.953,79.893,80.417,80.671,81.532,81.903,82.314,82.711,83.489,83.61,84.874,85.085,85.861,86.686,87.391,87.85,88.441,90.231,87.899,87.774,87.686,88.029,88.5,88.498,88.332,88.017,88.369,88.338,89.049,89.608,89.952,89.881,90.624,90.98,91.002,91.334,91.505,91.018,90.973,90.688,89.986,90.061,90.092,90.318,90.463,90.59,90.996,91.522,91.879,92.147,92.533,92.676,93.372,93.929,94.32,94.569,95.223,95.633,95.865,96.205,96.511,97.127,97.481,98.046,98.375,99.181,99.765,100.314,100.608,100.177,99.865,99.705,100.254,100.551,101.018,101.102,101.969,103.236,103.47,103.842,103.679,104.459,104.691,104.867,104.475,104.522,104.923,105.091,105.786,105.958,105.981,106.133,106.243,106.335,105.69
"38","30","  Structures","B808RG3",12.926,13.118,13.887,14.635,15.527,16.214,16.709,17.073,17.393,17.833,18.809,19.793,20.303,20.078,20.125,20.414,20.367,20.518,21.346,22.379,22.921,23.601,23.105,23.205,23.277,24.088,24.728,24.628,26.736,28.089,29.593,30.002,29.829,30.202,31.339,32.328,32.414,32.669,32.825,33.183,33.623,34.361,34.497,34.478,34.199,34.155,35.121,35.461,37.133,36.834,36.767,37.74,38.102,38.415,38.368,38.251,38.241,38.06,38.086,39.106,39.558,39.915,41.024,40.5,40.373,40.924,42.042,43.95,43.875,44.454,45.333,46.181,46.014,46.112,46.484,46.725,46.946,47.255,48.727,48.032,47.973,48.295,48.684,49.931,50.86,51.462,51.853,52.309,52.55,52.925,53.802,54.539,55.046,55.57,56.038,56.429,56.638,56.989,57.639,57.781,58.225,58.748,59.29,59.95,59.992,60.275,61.01,61.519,61.945,62.889,63.51,64.194,64.624,65.634,66.352,66.902,67.657,68.132,68.839,69.522,69.601,70.136,70.524,71.022,72.124,72.376,72.647,73.002,73.735,75.38,77.731,79.865,80.791,82.703,85.051,87.03,88.501,90.963,92.465,94.302,95.946,97.141,98.179,99.131,100.322,101.439,102.084,102.308,101.908,100.145,99.054,98.894,99.367,99.141,99.51,100.003,101.002,102.051,103.026,103.884,104.331,105.085,105.946,106.67,107.616,108.5,109.247,110.656,112.069,112.35,113.914,114.923,113.152,112.729
