"","Table 5#7#9A# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"27","19","    Durable goods","A383RD3",23.83,24.023,24.474,25.037,25.394,25.728,26.725,27.329,27.37,27.13,26.844,26.765,26.93,27.131,27.732,28.775,29.55,29.745,29.627,29.742,29.91,29.905,29.868,29.949,30.065,30.31,30.428,30.429,30.429,30.467,30.554,30.79,30.915,30.996,31.319,31.884,32.164,32.361,32.526,33.173,33.368,33.409,33.493,33.856,34.09,34.175,34.179,34.489,34.58,34.571,34.524,34.422,34.235,34.122,34.047,33.935,33.947,33.924,33.81,33.784,33.657,33.621,33.511,33.402,33.295,33.229,33.207,33.32,33.288,33.22,33.11,33.213,33.112,33.048,32.999,32.993,33.017,33.008,32.942,33.229,33.219,33.34,33.672,33.998,34.101,34.138,34.346,34.49,34.792,34.631,34.645,35.052,35.07,35.338,35.668,36.38,36.818,37.033,37.005,37.236,37.315,37.619,37.729,37.782,38.108,38.731,38.757,39.241,40.23,41.858,43.554,45.101,46.298,46.802,47.469,48.18,48.639,49.319,50.289,51.187,51.843,52.428,53.1,53.944,54.779,56.838,58.031,59.169,60.7,62.13,63.079,65.625,68.186,69.355,71.427,72.754,73.571,74.632,75.534,76.633,76.708,77.579,78.225,78.819,79.556,80.141,80.788,81.536,82.429,82.866,83.001,83.165,83.721,83.905,83.547,84.409,84.569,84.949,85.322,85.992,85.819,86.841,87.295,87.821,88.613,89.376,90.168,91.176,91.822,92.047,92.279,92.679,92.562,92.849,93.666,94.453,94.82,95.145,95.662,96.396,96.498,97.301,98.133,98.601,99.378,100.514,101.371,102.131,102.075,103.286,104.178,104.925,105.695,106.409,106.504,106.982,106.685,106.856,106.994,106.812,106.231,105.04,104.017,103.204
"28","20","      Motor vehicle dealers","A864RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.249,30.141,29.992,30.038,29.841,29.524,29.479,29.459,29.28,29.362,29.361,29.295,29.298,29.138,29.145,29.068,28.869,28.774,28.599,28.564,28.726,28.607,28.452,28.258,28.452,28.325,28.257,28.159,28.06,27.991,27.805,27.647,28.111,28.073,28.253,28.715,29.059,29.09,29.084,29.264,29.196,29.526,29.498,29.455,30.012,29.932,30.354,30.781,31.865,31.987,32.279,32.132,32.534,32.45,32.835,32.847,32.88,33.004,33.479,33.458,33.87,34.095,35.693,37.604,39.302,39.99,40.586,41.463,42.397,42.646,43.588,44.748,45.817,46.091,46.753,47.212,48.182,48.4,50.223,51.138,52.529,53.626,54.981,55.115,57.513,58.971,60.158,62.126,64.589,64.559,66.358,67.794,69.646,69.456,71.044,71.749,72.591,72.768,73.119,74.228,75.142,76.275,77.057,77.168,77.142,78.181,78.063,77.24,78.642,78.764,78.954,79.044,80.485,80.529,81.915,82.202,82.387,83.006,83.694,84.64,85.77,86.107,86.093,86.038,86.598,85.874,86.263,87.228,88.11,88.673,88.907,89.928,90.852,90.556,91.994,93.099,93.681,94.038,95.928,96.978,97.652,97.351,99.438,100.799,101.789,102.667,103.393,103.386,104.301,104.023,104.017,104.065,103.728,104.656,104.348,102.945,100.781
"29","21","      Other","A865RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.087,40.333,40.435,40.306,40.266,40.175,39.995,39.862,39.813,39.76,39.717,39.554,39.503,39.398,39.32,39.176,39.144,39.021,39.057,39.049,39.118,39.176,39.198,39.173,39.181,39.099,39.037,39.043,39.15,39.294,39.509,39.558,39.624,39.645,39.686,39.879,40.181,40.368,40.459,40.703,41.103,41.367,41.037,41.124,41.333,41.483,41.559,41.764,42.041,42.868,42.988,43.144,43.13,43.431,43.624,43.858,43.935,44.517,45.332,45.42,45.995,47.993,49.633,51.034,52.353,54.204,54.591,54.972,55.389,56.116,56.463,57.19,57.871,59.021,59.508,60.465,61.126,62.82,65.174,66.727,67.501,69.613,71.103,73.242,75.933,79.947,81.039,83.202,83.074,83.049,83.419,83.801,84.183,84.508,84.733,85.332,85.695,86.956,87.763,88,88.606,89.275,89.38,89.539,89.889,89.968,90.459,90.567,90.864,91.056,91.64,92.304,92.174,91.763,92.351,93.001,93.924,94.909,95.75,96.37,97.241,98.247,98.753,99.309,99.522,100.091,100.269,100.921,101.6,101.742,102.166,102.122,102.644,103.191,103.283,103.811,104.155,105.433,105.681,106.324,107.197,107.415,107.649,108.024,108.503,109.151,109.85,110.062,110.046,109.73,110.098,110.339,110.338,109.558,108.194,106.921,105.954
"30","22","    Nondurable goods","A384RD3",28.062,27.991,28.251,29.067,29.659,29.661,29.955,29.362,28.286,27.471,27.356,27.357,27.246,27.173,28.625,29.66,30.736,30.699,30.59,30.212,29.996,29.66,29.622,29.286,29.247,29.214,29.471,29.362,29.433,29.361,29.394,29.25,29.174,29.177,29.177,29.067,29.177,29.47,29.589,29.697,29.921,30.028,30.176,30.177,30.251,30.215,30.324,30.123,30.043,30.046,30.06,29.965,30.126,30.171,30.162,30.184,30.077,29.826,29.848,29.934,29.962,29.809,29.986,29.836,29.707,29.884,29.855,29.957,29.957,29.962,30.003,29.963,30.129,30.348,30.394,30.732,30.912,30.87,31.148,31.054,30.745,31.029,31.075,31.076,31.316,31.665,31.688,31.823,32.034,32.438,32.519,32.817,33.308,33.351,33.263,33.394,33.765,33.977,34.038,34.09,34.437,34.768,35.091,35.812,37.692,39.39,39.341,40.514,40.776,41.352,42.887,43.554,43.818,44.838,45.638,45.898,46.048,46.962,47.132,47.768,48.955,49.383,49.243,49.728,50.784,52.002,52.768,53.864,55.79,57.081,58.553,60.224,63.072,64.297,66.098,65.401,66.546,67.166,67.587,67.819,68.105,68.645,68.904,69.016,69.586,70.054,70.657,71.182,71.825,71.835,71.868,72.077,72.003,72.234,72.278,72.981,72.146,72.621,73.197,73.289,74.119,75.064,75.515,76.188,76.59,77.663,78.574,79.07,80.239,81.157,81.191,81.835,82.678,83.093,84.549,85.133,84.72,84.743,85.066,85.557,85.952,86.53,86.895,87.034,87.285,87.415,86.884,86.909,86.901,87.257,87.678,87.708,88.503,89.213,89.473,89.884,90.582,90.846,91.151,91.536,91.465,91.204,91.279,91.23
"31","23","  Other","A385RD3",10.495,10.892,11.32,11.674,11.807,12.233,12.77,12.99,12.969,12.434,12.232,12.253,12.478,12.637,13.216,13.911,14.392,14.393,14.31,14.33,14.329,14.24,14.308,14.44,14.553,14.707,14.838,14.771,14.731,14.62,14.78,14.884,14.977,15.086,15.487,15.866,16.091,16.263,16.331,16.602,16.668,16.691,16.688,16.65,16.602,16.424,16.535,17.132,17.192,17.055,17.308,17.517,17.303,16.867,17.059,16.928,16.841,16.483,16.591,16.583,16.487,16.39,16.669,16.709,16.812,16.471,16.623,16.763,16.684,16.518,16.779,17.124,17.155,17.221,17.468,17.728,17.878,18.173,18.332,18.539,18.693,18.69,18.806,18.943,19.147,18.981,18.968,19.211,19.507,19.713,20.194,20.699,21.198,21.564,21.958,21.988,22.011,22.152,22.379,22.562,22.624,22.683,22.965,23.291,23.846,24.32,24.853,26.479,28.691,31.56,33.539,34.582,34.319,34.524,34.748,35.355,35.753,36.388,37.666,38.429,39.91,40.539,41.254,41.795,42.525,43.844,44.753,45.97,47.836,50.129,53.074,55.268,60.16,60.248,62.371,65.277,68.835,70.233,71.222,72.151,72.82,73.651,74.315,74.73,73.513,73.386,73.849,73.792,74.496,75.111,74.957,74.625,73.9,73.329,72.97,73.346,70.216,67.968,67.038,67.446,68.607,69.215,69.726,69.368,69.009,68.962,69.011,70.01,71.692,72.837,72.973,73.94,74.076,73.432,76.15,77.919,74.858,74.266,74.554,74.381,73.317,74.715,75.727,76.001,75.317,76.234,75.693,75.59,76.002,75.726,76.142,75.926,77.172,78.328,77.567,78.821,80.844,80.908,80.458,83.402,83.789,82.325,82.561,83.377
"32","24","    Durable goods","A386RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.484,19.713,20.085,19.905,19.903,19.903,19.6,19.36,19.182,19.181,19.262,19.191,19.123,19.25,19.189,19.131,19.07,19.07,19.127,19.32,19.263,19.378,19.435,19.437,19.435,19.494,19.614,19.735,19.785,20.15,20.438,20.326,20.27,20.38,20.377,20.728,20.791,21.385,21.574,21.875,22.52,23.698,22.752,22.579,22.757,22.834,22.897,23.111,23.442,23.961,24.195,25.188,25.547,25.551,25.756,26.173,26.775,27.882,28.484,28.662,29.881,31.049,33.18,34.682,34.761,35.125,35.614,35.809,36.903,37.711,37.975,39.337,40.687,40.747,41.396,43.347,43.913,45.399,46.825,47.749,49.13,50.482,51.303,52.619,52.884,54.214,54.096,55.256,56.702,57.167,58.364,58.405,58.956,58.8,59.173,59.232,59.467,60.35,61.039,61.608,62.178,62.692,62.54,63.155,63.536,63.266,64.1,63.464,63.577,63.165,63.476,63.641,63.404,63.888,64.187,65.307,66.56,67.491,68.146,68.711,69.491,70.265,70.671,70.824,70.558,70.664,70.603,70.781,70.713,70.892,71.71,71.065,71.01,72.475,72.419,72.66,73.073,76.337,75.448,76.285,77.626,78.393,78.741,79.742,80.638,81.865,82.058,82.531,81.574,82.486,82.686,83.542,83.235,83.567,84.066,83.99,83.502
"33","25","    Nondurable goods","A387RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.855,16.898,16.707,17.005,17.235,17,16.552,16.787,16.662,16.565,16.153,16.282,16.281,16.153,16.051,16.38,16.433,16.553,16.153,16.3,16.469,16.363,16.165,16.464,16.856,16.883,16.941,17.207,17.498,17.62,17.917,18.113,18.356,18.517,18.513,18.599,18.745,18.901,18.694,18.646,18.847,19.064,19.372,19.913,20.452,20.988,21.38,21.787,21.792,21.772,21.906,22.074,22.245,22.312,22.36,22.632,22.937,23.445,23.905,24.464,26.121,28.426,31.355,33.371,34.496,34.181,34.363,34.588,35.154,35.517,36.182,37.448,38.166,39.753,40.38,40.994,41.535,42.204,43.511,44.416,45.617,47.517,49.933,53.014,55.365,60.554,60.66,62.852,65.869,69.672,71.08,72.142,73.095,73.83,74.697,75.411,75.842,74.44,74.242,74.697,74.59,75.308,75.995,75.769,75.377,74.619,73.94,73.604,74,70.688,68.277,67.284,67.732,68.933,69.559,70.035,69.584,69.149,69.063,69.083,70.095,71.83,73.02,73.155,74.202,74.337,73.65,76.545,78.439,75.17,74.497,74.836,74.653,73.425,74.922,75.983,76.246,75.315,76.336,75.708,75.509,75.899,75.58,75.956,75.663,76.911,78.136,77.289,78.697,80.801,80.852,80.309,83.488,83.866,82.256,82.523,83.428
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","periods are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","for 1981 and earlier periods and trade estimates for 1966 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1972 SIC; later estimates for these industries are based on the 1987 SIC.  The resulting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
