"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"40","32","    Civilian aircraft, engines, and parts","B932RA3",3.469,2.585,3.045,3.308,4.214,4.36,3.593,5.207,4.163,3.761,3.805,4.002,3.622,4.404,3.513,4.535,4.732,5.244,5.068,3.199,7.186,9.443,9.209,11.948,11.466,10.611,12.408,12.488,10.808,12.444,11.765,8.42,9.413,10.735,6.967,8.033,6.704,5.543,5.441,5.514,5.528,7.551,6.836,10.874,10.073,11.173,9.688,10.092,14.125,13.583,12.49,19.747,27.38,31.691,26.937,35.175,35.24,33.122,29.548,38.654,31.711,29.892,24.09,28.11,26.001,21.723,20.467,30.587,26.35,23.888,31.429,28.911,34.634,41.403,35.727,42.848,37.103,53.367,41.132,42.893,38.847,48.912,50.198,55.706,45.889,60.587,59.445,58.567,55.563,68.114,61.006,71.985,60.284,67.37,63.075,80.543,66.134,69.969,71.283,66.172,68.004,75.179,69.541,73.5,59.391,64.104,57.529,68.548,61.657,64.877,52.524,63.365,56.425,58.123,54.289,55.431,55.944,63.477,65.421,69.348,67.978,74.412,91.442,87.057,86.052,107.468,106.871,114.276,104.915,107.818,119.535,111.701,107.185,113.593,120.381,135.981,137.171,135.668,133.342,139.999,122.531,105.746,95.036,111.076,98.392,100.039,94.98,107.713,86.098,99.312,96.197,109.802,100.796,109.676,92.916,96.611,106.954,103.188,101.315,112.828,119.664,124.077,123.033,122.573,126.994,127.931,114.038,105.695,97.519,100.213
"41","33","    Computers, peripherals, and parts","B852RA3",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.008,0.009,0.01,0.011,0.012,0.012,0.011,0.011,0.013,0.015,0.017,0.019,0.023,0.021,0.024,0.026,0.03,0.036,0.044,0.044,0.051,0.056,0.067,0.064,0.072,0.079,0.084,0.105,0.114,0.117,0.135,0.141,0.156,0.169,0.193,0.223,0.239,0.373,0.466,0.537,0.652,0.761,0.904,1.003,1.038,0.983,0.971,1.042,1.203,1.391,1.56,1.723,1.85,2.1,2.421,2.826,3.119,3.196,3.367,3.553,3.593,3.845,4.115,4.429,4.912,4.876,4.797,4.768,5.016,5.613,6.027,6.544,6.78,7.334,8.333,9.274,9.676,10.308,11.248,12.018,12.575,13.54,14.729,15.781,17.388,17.655,19.233,21.258,23.595,24.368,25.466,26.487,27.756,30.846,33.714,35.954,36.875,40.158,41.895,42.539,46.562,50.184,54.95,56.841,58.697,58.435,64.105,69.087,66.656,62.509,58.487,56.414,57.561,63.947,64.776,65.218,65.185,66.959,68.697,70.528,76.302,79.976,85.411,90.425,94.035,94.776,97.418,102.039,105.768,111.787,115.266,119.966,120.892,131.259,125.891,125.208,131.472,135.456,138.279,132.43,116.606,109.493,115.697
"42","34","    Other","B853RA3",1.376,1.348,1.379,1.373,1.446,1.459,1.606,1.649,1.472,1.941,1.942,1.92,1.993,1.937,1.732,1.762,1.662,1.845,1.844,1.82,2.294,2.109,2.145,2.255,2.499,2.545,2.768,2.947,2.766,2.797,2.982,2.894,2.956,2.451,2.623,2.872,3.142,3.227,3.355,3.678,3.371,3.506,3.396,3.736,4.337,4.251,4.353,4.829,4.921,5.256,5.493,5.64,6.015,5.939,5.72,5.97,6.164,6.686,7.199,7.644,7.77,7.979,7.715,6.91,7.713,7.919,9.149,10.164,11.316,12.737,13.611,14.098,14.057,14.228,14.163,14.692,14.696,15.224,15.68,15.59,15.208,15.955,16.886,17.043,17.285,17.654,18.553,19.241,19.013,20.029,20.269,20.619,20.928,21.478,21.825,21.408,21.484,21.831,22.279,22.569,23.12,24.137,24.964,25.497,26.622,27.998,28.28,29.749,31.887,33.181,35.319,36.807,38.9,41.159,43.297,44.547,45.749,46.036,48.363,51.775,54.919,58.068,60.178,62.647,64.914,64.295,64.86,64.848,65.824,69.61,72.73,76.677,80.921,87.539,90.96,90.942,86.158,74.626,69.321,66.637,68.21,72.854,73.907,73.124,74.044,75.859,76.396,80.156,85.693,89.362,91.965,93.356,94.93,99.867,101.081,104.122,106.73,109.253,111.292,111.169,111.157,112.451,114.734,115.171,115.691,115.612,115.443,109.33,91.606,82.602
"43","35","  Automotive vehicles, engines, and parts","B651RA3",6.442,6.409,7.622,7.978,9.452,10.326,11.874,12.601,11.096,14.123,15.248,13.585,13.157,14.351,13.891,13.871,15.565,16.235,18.483,17.134,18.453,18.109,17.595,18.895,19.745,18.782,18.251,18.6,20.805,21.256,20.485,17.513,14.012,14.497,17.227,17.799,20.445,21.48,21.506,20.759,20.805,22.271,22.602,23.505,23.694,25.103,23.765,23.946,22.528,23.921,23.346,23.522,24.079,22.841,22.622,22.912,21.749,22.621,22.314,22.791,22.994,24.948,25.799,22.023,25.631,28.47,29.214,33.907,36.519,37.025,38.143,38.925,39.34,41.475,43.596,44.348,43.377,45.87,47.622,45.819,46.586,47.321,46.019,47.535,45.944,45.07,44.927,46.815,47.622,45.682,42.399,42.404,43.394,46.296,45.296,43.359,40.992,39.288,43.106,42.917,43.185,43.387,43.166,45.109,47.978,47.837,46.967,49.361,49.601,53.153,55.244,57.444,57.89,56.275,53.027,51.986,54.29,57.346,58.76,56.213,61.051,61.175,61.694,61,63.134,63.819,62.819,70.982,74.405,76.333,79.849,81.227,85.598,84.504,85.25,83.554,81.723,82.491,83.128,81.259,83.721,87.942,90.132,89.926,88.406,90.989,88.126,93.28,93.967,97.177,97.001,97.059,96.949,98.016,100.235,104.801,107.233,106.869,104.459,108.495,105.638,104.374,109.381,107.668,102.872,99.724,93.155,79.792,51.769,50.804
"44","36","  Consumer goods, except automotive","B652RA3",3.933,3.885,3.999,4.33,4.771,4.89,5.265,5.456,5.272,6.434,6.167,6.187,6.316,6.303,6.656,6.591,6.647,7.183,6.355,7.037,8.521,7.818,8.335,8.505,9.155,8.543,8.24,8.11,7.547,8.055,7.823,7.217,5.891,5.555,5.937,6.377,6.961,7.393,7.906,8.397,9.198,9.278,9.187,9.355,10.93,11.582,11.637,11.329,11.197,11.348,11.422,11.856,11.835,11.838,10.939,11.553,12.224,12.423,12.522,13.382,13.398,12.698,13.436,13.305,14.942,14.921,15.977,17.754,19.18,20.021,20.577,20.497,21.403,21.502,21.861,22.858,23.288,24.082,24.479,25.243,24.889,25.43,24.933,24.979,25.366,24.594,25.545,26.207,26.146,27.07,26.611,26.62,26.527,26.466,26.012,25.547,25.549,25.587,26.541,28.675,28.535,29.219,29.737,29.934,30.911,31.456,32.399,32.401,32.769,33.956,34.866,36.191,37.182,37.359,37.467,36.613,38.352,38.895,40.754,42.031,43.049,45.092,46.78,48.387,50.182,51.955,52.767,53.109,55.163,56.582,59.6,62.165,64.651,68.112,69.806,71.835,71.077,70.076,69.315,68.43,71.005,75.943,78.87,79.851,81.243,81.599,83.273,86.853,88.027,93.072,92.469,96.322,99.261,100.279,99.445,101.014,104.577,106.21,108.679,112.529,115.655,113.479,112.295,115.429,114.742,115.324,114.79,106.959,99.446,98.484
"45","37","    Durable goods","B697RA3",3.634,3.581,3.739,3.814,4.393,4.422,4.914,4.952,4.847,5.598,5.476,5.638,5.686,5.654,5.813,5.842,5.935,6.586,5.619,6.592,7.876,7.448,7.58,7.742,8.701,8.198,7.912,7.601,7.523,8.046,7.946,7.078,5.98,5.429,5.808,5.878,6.252,6.437,7.038,8.071,9.481,9.131,9.234,9.524,10.868,11.71,11.586,11.329,10.743,11.136,11.47,11.895,12.071,12.368,11.5,11.753,12.547,12.798,12.94,13.585,13.99,12.711,13.053,13.195,15.064,14.319,15.454,17.66,18.584,19.138,20.315,20.688,21.71,21.585,21.84,22.281,22.69,23.889,23.758,24.347,23.502,23.727,23.625,23.699,23.711,22.913,24.101,24.901,25.21,25.866,25.182,24.542,24.239,24.103,23.787,23.334,22.947,23.225,24.161,26.012,25.751,26.403,26.878,26.683,28.075,27.961,29.263,29.496,29.713,30.972,31.536,33.097,33.651,33.677,33.647,33.265,35.013,35.598,37.452,37.793,38.959,40.629,42.029,43.82,45.921,47.678,48.42,49.441,50.336,53.425,56.171,58.337,62.312,64.499,65.83,68.34,66.409,64.252,64.078,63.988,67.285,72.852,74.64,74.466,74.187,75.208,78.896,83.62,84.551,90.152,90.549,95.723,98.076,98.559,101.327,102.038,105.707,105.114,108.2,113.653,115.71,113.039,114.646,119.083,115.67,116.882,117.066,106.325,96.501,96.83
"46","38","    Nondurable goods","B698RA3",4.434,4.399,4.419,5.271,5.413,5.712,5.835,6.334,5.994,7.98,7.409,7.136,7.432,7.461,8.197,7.945,7.927,8.227,7.674,7.787,9.633,8.394,9.666,9.849,9.872,9.069,8.74,8.953,7.505,7.98,7.529,7.386,5.707,5.7,6.089,7.074,7.98,8.809,9.17,8.798,8.652,9.396,9.002,8.979,10.894,11.244,11.578,11.195,11.789,11.546,11.207,11.652,11.33,10.906,9.98,11.106,11.586,11.709,11.746,12.905,12.363,12.5,13.788,13.272,14.552,15.565,16.489,17.635,19.737,20.966,20.659,19.965,20.702,21.103,21.6,23.342,23.8,24.02,25.159,26.157,26.496,27.464,26.425,26.43,27.331,26.606,27.221,27.686,27.116,28.401,28.254,29.147,29.344,29.387,28.751,28.276,28.812,28.516,29.484,31.983,32.012,32.73,33.304,34.029,34.43,35.872,36.311,35.995,36.567,37.639,39.013,40.001,41.576,41.957,42.254,40.766,42.476,42.955,44.801,47.33,48.137,50.659,52.715,54.067,55.449,57.231,58.128,57.595,61.128,60.402,63.756,66.82,67.403,72.474,74.623,76.029,76.763,77.235,75.73,73.848,75.514,79.654,83.999,86.408,89.862,89.39,88.577,90.748,92.222,96.593,94.778,97.03,100.674,102.333,97.202,99.791,103.228,107.528,109.253,111.171,115.579,113.994,109.482,111.068,113.619,113.462,112.081,107.69,102.874,100.413
"47","39","  Other","B653RA3",8.996,9.622,9.82,10.694,9.154,10.055,11.387,9.976,9.746,11.522,11.715,11.059,11.161,10.854,11.313,10.853,11.112,11.702,11.812,11.239,12.186,11.09,12.436,12.3,12.58,12.223,11.682,7.821,13.358,11.968,7.368,7.779,7.784,7.427,9.442,7.257,10.283,8.874,8.8,8.391,11.463,11.425,10.485,11.129,11.971,11.169,12.308,12.419,14.349,10.866,11.121,12.956,14.76,13.128,14.724,16.399,17.559,20.211,19.513,20.613,20.853,23.743,20.106,20.698,21.484,22.596,22.108,22.207,23.321,25.268,25.673,28.229,28.671,31.927,30.605,30.894,29.878,31.891,30.332,32.15,32.185,32.137,32.08,33.402,32.158,32.267,33.6,36.594,34.139,35.164,36.632,39.081,40.736,41.65,43.367,42.198,40.897,44.703,43.107,43.173,46.384,43.913,44.381,43.501,43.712,45.277,45.496,47.391,48.517,52.031,49.684,50.94,50.86,53.079,49.259,52.296,53.649,54.406,52.483,52.528,56.523,59.565,64.14,65.52,65.819,67.659,73.845,79.05,82.318,83.803,85.588,85.258,90.031,88.711,103.155,97.195,95.8,98.463,96.157,96.677,97.219,100.437,100.888,100.82,93.997,97.786,92.282,96.587,90.635,92.367,97.892,99.173,101.494,97.107,103.641,97.759,103.171,108.269,97.706,95.259,107.523,101.613,103.56,94.646,93.884,90.765,88.271,85.815,83.184,80.479
"48","40","Imports of services \1\","B656RA3",19.289,20.09,20.573,19.874,20.02,19.841,20.557,20.843,20.807,21.523,21.706,22.349,21.967,23.115,23.112,22.695,22.001,22.369,21.99,21.941,23.311,23.363,22.255,23.117,23.738,22.765,21.141,21.298,21.782,22.456,22.007,22.596,21.994,20.712,20.718,21.566,22.1,22.388,22.947,23.42,23.724,24.165,23.588,23.906,25.213,25.165,25.667,26.138,25.961,25.982,25.805,25.841,25.754,25.012,24.782,25.729,26.866,27.053,26.477,26.717,27.236,28.367,28.217,28.999,28.733,30.09,31.316,31.791,35.51,37.173,39.031,40.789,41.652,41.855,40.276,40.32,41.593,39.703,42.055,42.602,44.284,46.364,46.343,48.52,47.965,47.087,47.941,48.823,49.399,49.762,50.809,51.14,53.226,53.61,54.095,53.324,51.58,52.727,51.821,52.563,51.411,50.442,50.226,50.993,50.848,51.427,52.215,54.005,54.922,55.163,54.966,54.554,56.524,55.801,56.371,57.529,58.486,58.955,60.417,60.197,62.666,63.336,65.819,66.928,69.63,71.037,72.724,73.493,74.695,75.855,77.492,78.236,82.182,84.23,86.983,86.424,85.375,87.568,83.234,80.989,85.198,84.434,84.976,88.739,87.206,83.371,87.636,91.684,94.787,96.949,97.531,99.741,98.816,99.441,99.73,102.012,105.888,106.358,106.715,109.276,109.381,109.95,112.25,111.435,112.249,110.211,111.849,111.605,108.238,106.16
"49","41","  Direct defense expenditures","B752RA3",144.851,143.529,147.575,148.499,147.288,147.877,152.445,155.278,158.531,157.106,159.065,162.969,153.588,161.433,153.972,153.4,135.991,136.328,134.094,136.098,133.117,140.346,119.934,128.172,118.054,109.674,88.157,102.394,100.685,102.368,94.422,93.156,89.949,79.617,75.56,81.136,74.576,80.492,76.859,75.596,78.149,82.77,79.475,79.721,84.217,86.448,85.767,91.4,85.118,83.174,82.836,85.291,93.689,89.101,87.475,97.712,93.641,105.84,92.517,98.95,98.851,105.745,105.808,109.308,110.301,113.263,115.438,118.002,108.186,112.824,110.118,120.68,126.518,117.615,106.411,120.718,108.092,110.253,100.44,103.244,100.789,96.877,96.609,98.623,91.388,89.437,92.158,93.574,93.437,93.595,88.981,86.566,87.788,83.475,87.754,92.468,98.329,81.142,73.974,73.119,73.81,68.371,59.29,64.13,63.655,61.68,57.042,55.308,55.111,51.85,45.346,42.937,46.858,41.105,41.572,43.611,47.811,47.21,48.129,48.327,52.391,51.075,57.108,60.169,59.413,56.534,61.406,59.181,60.339,64.247,67.883,62.063,63.264,67.589,70.26,65.071,66.932,67.956,71.398,84.501,88.414,89.851,90.391,92.414,94.947,100.113,104.607,110.393,106.771,111.628,109.131,100.553,99.18,101.145,99.746,99.929,102.655,97.153,98.163,94.184,97.064,94.041,91.788,91.461,88.531,84.033,88.765,92.116,96.668,91.85
"50","42","  Travel","B768RA3",17.696,21.101,22.878,18.598,18.674,17.891,18.607,17.568,19.222,19.526,19.85,20.322,22.013,22.983,22.984,23.076,23.536,22.836,21.93,22.658,24.275,24.255,24.63,25.221,24.406,24.228,22.821,21.358,20.896,21.005,20.635,20.781,20.308,19.494,20.038,20.538,20.975,20.676,21.386,22.459,22.32,22.291,21.709,21.769,22.173,21.991,23.683,23.141,22.342,22.561,22.02,21.845,22.688,21.418,22.114,22.44,24.104,22.66,23.543,23.471,25.226,27.697,27.804,30.437,28.565,31.226,33.478,32.676,51.665,54.591,61.528,62.423,66.052,67.328,63.875,56.841,61.852,52.361,60.408,61.592,66.925,70.449,69.217,73.489,73.276,69.258,71.749,73.532,72.709,71.967,74.547,77.319,79.925,81.273,78.988,76.64,67.882,75.001,71.847,72.176,73.837,73.754,72.116,75.69,75.12,74.324,77.178,83.245,80.826,81.721,80.117,78.21,82.149,80.159,78.323,82.761,85.063,82.492,84.092,84.44,89.635,88.765,92.418,94.253,101.273,103.14,104.412,103.86,102.142,104.413,105.878,108.239,115.253,116.416,116.588,120.104,117.475,124.532,107.98,96.092,106.826,103.883,101.117,106.809,100.562,84.461,96.019,100.564,101.522,102.772,101.769,101.145,102.341,100.15,97.402,100.107,100.873,100.901,99.408,101.13,100.225,97.993,98.271,97.624,97.354,92.811,92.961,104.412,101.379,94.921
"51","43","  Passenger fares","B769RA3",13.477,13.239,13.009,13.616,13.012,13.54,14.38,14.469,15.82,16.371,17.169,17.596,18.626,18.312,19.601,18.617,16.03,19.126,17.938,20.72,20.55,21.592,21.973,23.232,27.827,25.503,23.728,22.53,22.998,23.551,23.489,26.78,24.88,22.73,24.526,25.105,26.753,25.44,26.327,27.145,25.603,26.458,26.131,27.881,30.508,29.107,29.41,28.713,30.695,30.78,29.888,29.707,28.452,29.548,30.892,29.446,34.599,33.487,33.783,34.162,36.212,34.716,33.663,35.396,38.738,44.248,45.243,47.487,38.881,44.614,43.078,45.372,46.803,54.355,51.316,47.657,49.909,45.84,48.887,50.094,52.33,54.024,53.772,54.538,54.099,53.718,53.72,56.78,58.169,58.72,59.795,57.658,69.178,71.052,68.984,63.648,52.99,58.891,59.052,61.808,60.374,58.466,57.902,63.171,62.532,62.842,66.407,70.007,73.168,74.576,76.159,74.261,74.89,78.929,81.445,82.788,82.636,83.928,86.597,85.306,88.916,93.241,94.817,89.292,92.602,99.894,102.913,102.8,102.322,101.964,103.281,106.413,109.482,113.575,115.614,107.119,98.575,103.615,98.243,79.796,79.915,78.449,75.019,85.985,78.957,75.851,85.23,88.857,93.983,101.87,100.303,97.702,96.383,98.938,103.145,101.535,99.835,101.303,99.577,98.002,92.87,97.433,99.585,97.402,101.186,97.349,95.839,91.812,86.471,89.485
"52","44","  Other transportation","B770RA3",24.401,23.811,22.032,23.787,25.904,25.319,26.538,25.892,23.138,27.473,26.963,28.181,25.521,28.77,30.413,28.196,30.418,31.54,31.748,27.75,35.531,31.759,30.52,31.524,36.502,34.967,34.88,34.255,32.2,35.301,36.279,38.947,36.095,32.597,33.111,34.705,37.124,37.32,39.307,40.746,42.562,44.186,42.949,42.331,44.955,44.436,44.662,45.182,45.641,45.704,46.435,46.318,42.916,41.448,38.318,39.277,41.487,41.734,40.228,38.594,37.086,36.567,35.12,34.661,35.381,34.998,38.373,40.16,43.125,44.075,45.11,45.514,45.402,45.501,43.594,46.554,44.262,43.83,48.007,48.552,47.759,52.766,53.501,57.96,57.889,58.026,56.748,55.778,57.838,58.606,60.468,59.816,62.646,63.913,65.129,62.925,60.667,63.092,63.782,63.444,61.118,58.884,60.762,59.656,60.403,61.932,61.002,62.474,62.776,64.778,67.202,65.705,66.293,64.995,65.52,63.178,61.295,65.226,65.555,64.161,66.746,68.935,68.491,72.534,73.548,72.697,73.095,76.309,75.239,72.734,74.085,74.959,78.56,82.03,85.358,83.769,82.454,79.712,73.904,76.553,75.751,81.156,81.443,84.346,87.039,83.606,81.609,82.594,91.049,91.652,93.697,97.501,103.283,99.899,96.169,100.649,100.773,104.006,108.795,110.705,107.899,111.073,112.847,112.267,113.413,108.826,106.086,100.8,93.237,87.989
"53","45","  Royalties and license fees","B908RA3",3.656,3.631,3.598,3.819,4.189,3.81,3.761,3.879,4.492,4.278,4.3,4.801,4.269,4.509,4.169,4.197,4.12,4.056,4.435,4.742,4.837,5.076,4.822,5.503,6.417,6.035,5.93,6.639,7.277,6.911,6.521,6.308,8.571,8.602,6.884,7.606,8.384,8.181,6.738,6.962,7.558,6.937,6.871,7.943,9.047,8.433,8.58,8.746,9.652,9.588,9.138,10.278,8.036,6.235,5.623,11.058,8.753,4.428,6.929,6.659,6.062,6.266,6.159,6.492,6.314,6.9,7.179,8.019,8.058,7.826,8.798,9.096,7.996,7.84,8.728,8.112,8.937,9.888,9.797,9.321,10.39,12.453,12.081,13.597,15.771,16.304,16.824,16.621,15.222,15.64,13.938,16.119,17.166,16.477,18.268,20.243,20.523,23.017,23.475,22.515,30.327,24.589,32.192,24.235,24.24,26.527,27.317,27.817,33.494,27.112,29.147,30.773,31.79,33.312,35.543,38.358,35.546,35.755,44.94,37.851,42.815,42.293,46.994,44.861,52.492,51.042,54.291,57.473,58.883,61.056,62.206,65.183,69.745,70.879,84.997,77.425,74.664,73.333,73.47,76.808,87.685,84.532,89.057,82.756,78.563,80.51,85.356,86.214,90.223,94.244,104.171,103.293,96.285,100.514,105.383,97.818,95.179,87.775,86.726,100.145,97.054,94.939,94.937,90.457,96.328,96.953,112.123,89.078,82.236,82.171
"54","46","  Other private services","B909RA3",1.123,1.205,1.328,1.301,1.267,1.405,1.435,1.504,1.545,1.578,1.556,1.558,1.554,1.657,1.686,1.646,1.769,1.81,1.845,1.803,1.85,1.9,1.814,1.879,2.036,2.046,2.057,2.194,4.235,4.214,4.12,4.177,4.43,4.719,4.806,4.978,5.31,5.479,5.918,6.043,6,5.886,5.848,6.088,6.668,6.87,6.943,7.367,7.808,7.956,7.871,7.908,7.664,8.191,8.257,8.083,9.061,9.285,9.562,10.009,10.519,10.87,10.8,10.802,9.807,10.101,10.202,10.175,10.39,10.67,11.331,12.755,11.877,11.809,12.737,13.877,16.934,18.12,18.382,18.519,19.898,20.64,20.733,20.997,21.157,21.435,22.064,23.183,24.336,25.162,26.623,26.342,27.15,27.375,28.294,28.314,30.277,30.473,30.382,32.557,28.204,28.943,29.436,29.353,29.069,30.442,31.347,32.146,33.673,34.586,34.499,35.906,37.039,37.589,38.88,39.149,40.735,41.608,41.656,43.192,42.958,43.737,45.696,46.969,47.512,50.074,50.906,51.893,56.389,58.229,59.554,60.013,63.059,64.108,65.641,67.767,69.22,71.721,72.411,72.506,75.225,73.063,75.883,80.035,80.066,79.497,81.349,87.425,89.818,90.883,90.726,99.35,94.398,98.069,101.297,106.237,118.562,121.141,120.844,125.15,128.973,130.976,137.212,137.171,137.946,140.171,142.126,141.002,138.202,139.131
"55","47","  Other","B910RA3",46.711,47.933,49.294,50.786,48.597,48.213,48.911,62.365,49.465,49.905,50.048,51.794,50.754,49.749,49.246,50.547,47.409,48.883,49.157,47.802,46.87,48.83,48.895,47.55,48.306,47.191,49.021,46.215,46.125,47.124,46.069,43.302,44.557,47.014,44.398,44.584,46.368,48.621,51.184,48.003,49.116,48.007,48.181,50.247,50.862,50.992,50.611,52.239,52.269,52.664,52.665,48.319,48.027,47.241,51.426,46.463,47.886,48.675,48.61,47.228,48.379,52.694,58.672,54.772,58.492,60.731,56.051,55.597,56.337,58.149,60.893,63.151,66.54,64.376,63.524,60.99,62.373,58.28,61.822,58.782,61.069,66.749,71.292,74.352,70.032,68.745,70.143,68.064,67.592,67.574,69.494,73.461,66.984,70.205,72.412,69.191,67.74,69.7,77.441,73.857,70.683,76.525,73.652,73.819,75.44,74.241,76.408,69.918,75.261,76.833,79.27,77.818,82.224,76.754,77.778,77.143,78.756,79.145,81.102,80.875,81.122,82.758,84.948,83.539,84.679,83.884,89.096,87.509,85.299,84.364,89.019,86.373,88.667,90.627,92.536,92.315,93.47,94.199,94.599,94.787,95.47,93.527,92.848,93.459,93.932,92.767,94.119,96.075,99.431,101.061,102.115,100.995,102.127,98.624,99.653,99.596,98.641,98.662,98.912,98.857,99.829,98.766,100.216,99.477,98.219,96.164,96.932,106.09,106.844,110.633
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","B332RA3",7.025,7.082,6.893,6.966,7.245,7.529,7.968,7.861,7.245,8.534,8.598,8.709,8.81,9.177,9.118,9.09,8.95,9.028,9.364,8.593,9.617,9.543,10.018,10.513,11.531,12.237,12.596,13.092,13.726,14.671,14.048,14.638,13.993,13.985,13.804,14.116,13.953,14.07,14.347,14.319,14.039,14.441,14.248,13.836,14.248,15.774,15.91,17.127,17.55,17.284,17.623,19.323,20.6,20.374,19.346,19.74,19.406,20.193,18.902,18.68,17.389,17.488,16.768,15.438,15.789,16.207,16.247,17.461,17.412,17.861,18.375,19.155,19.314,19.946,19.5,19.9,20.015,20.914,20.629,21.691,21.802,22.969,24.088,26.195,27.857,29.233,29.487,31.346,32.102,33.574,34.139,34.705,36.941,37.167,37.467,37.327,37.944,39.739,40.926,41.386,42.326,42.16,43.65,44.593,44.313,44.925,45.025,47.453,48.075,49.727,52.327,53.602,55.517,56.956,59.42,60.856,62.027,63.637,65.146,68.732,72.153,76.304,79.12,78.879,79.615,77.429,77.936,81.381,80.02,80.715,83.84,86.891,89.476,93.156,96.398,95.188,93.542,88.017,82.188,79.319,78.746,81.961,82.711,80.214,79.768,80.525,81.972,87.09,89.028,91.055,92.368,93.043,95.534,98.999,100.457,105.01,108.545,110.129,110.173,114.064,115.459,117.152,121.376,125.57,125.352,129.357,129.151,118.014,101.991,97.853
"58","49","  Exports of nondurable goods","B339RA3",19.123,18.833,18.848,19.339,19.826,19.436,21.101,20.229,15.756,22.502,20.828,22.271,22.946,22.897,23.297,24.15,23.598,23.181,26.031,20.588,25.398,24.189,25.942,28.326,30.624,31.616,30.366,32.766,32.183,32.405,30.094,29.539,31.005,27.718,29.638,32.563,32.168,32.797,33.38,34.202,33.519,34.256,35.744,33.664,33.355,39.55,39.683,39.34,38.008,39.601,42.967,45.037,44.254,46.99,48.429,46.594,48.728,45.88,46.912,49.63,47.418,48.337,45.315,44.29,44.462,43.544,45.167,44.761,44.424,45.35,47.17,48.004,46.421,43.77,43.975,45.969,45.843,44.752,47.831,48.908,47.078,48.186,52.021,51.216,54.128,53.587,55.067,56.028,56.276,60.659,59.407,60.175,60.736,61.578,61.51,62.627,65.58,64.078,64.773,66.385,68.069,69.252,70.467,70.044,68.809,69.528,67.666,69.871,67.955,70.603,74.014,76.327,76.11,75.919,78.044,77.448,79.369,77.712,78.304,82.403,82.53,84.314,85.262,86.307,85.177,83.974,83.147,85.59,83.29,84.784,86.205,88.246,88.512,89.011,94.627,92.629,92.376,91.556,89.222,89.819,91.146,93.101,92.54,91.729,94.084,92.064,94.071,95.01,95.289,95.629,96.443,99.735,100.389,102.922,98.816,97.872,103.864,106.585,106.65,109.062,108.665,110.491,114.111,116.36,120.41,124.822,123.654,118.5,111.957,115.215
