"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"28","20","Residential","B011RG3",15.485,15.707,15.772,16.008,15.994,16.586,16.142,16.274,16.708,17.051,17.366,17.634,17.883,17.966,18.267,18.828,19.074,19.555,20.221,20.572,21.039,21.536,22.226,22.826,23.408,23.815,24.036,24.471,24.622,25.341,25.748,26.219,26.862,27.587,28.501,29.385,30.23,31.131,31.964,32.806,33.469,34.611,35.712,36.584,37.551,38.437,39.314,40.219,41.14,41.766,42.259,42.941,43.557,44.217,44.569,44.776,45.017,45.134,45.388,45.775,46.051,46.436,46.877,47.318,47.544,47.655,48.007,48.605,49.217,49.73,50.38,50.944,51.526,51.972,52.462,52.975,53.362,53.85,54.235,54.76,55.121,55.789,55.981,56.385,56.804,57.033,57.252,57.332,57.524,57.801,58.147,57.921,57.72,58.298,58.726,59.499,60.141,60.793,61.323,61.524,62.33,62.729,63.373,64.169,64.93,65.262,65.533,65.909,66.172,66.474,67.15,67.453,67.769,68.101,68.659,69.167,69.366,69.845,70.538,71.166,71.829,72.604,73.211,73.794,75.041,75.795,76.433,77.103,78.183,79.209,80.483,80.944,80.818,81.28,81.633,82.984,84.753,84.899,85.511,87.034,88.936,90.709,92.541,93.999,95.218,96.756,99.302,101.137,102.748,103.684,104.054,104.798,105.339,105.061,105.104,105.201,104.797,104.365,103.439,101.985,101.153,99.837,99.141,99.868,100.027,99.328,99.325,99.898,100.112,100.472,100.482,100.512,100.36,100.745,101.618,102.644,104.271,105.571,106.982,108.968,111.244,111.45,113.4,114.643
"29","21","  Structures","B012RG3",15.114,15.335,15.397,15.632,15.616,16.207,15.76,15.891,16.324,16.665,16.978,17.247,17.495,17.578,17.88,18.441,18.686,19.167,19.833,20.184,20.65,21.14,21.814,22.396,22.969,23.371,23.587,24.016,24.159,24.874,25.28,25.749,26.392,27.116,28.028,28.909,29.752,30.649,31.474,32.309,32.964,34.106,35.21,36.078,37.039,37.917,38.787,39.69,40.603,41.215,41.694,42.374,42.975,43.623,43.969,44.171,44.411,44.527,44.775,45.157,45.438,45.826,46.28,46.724,46.95,47.071,47.435,48.037,48.658,49.167,49.822,50.391,50.973,51.422,51.911,52.438,52.827,53.311,53.703,54.226,54.593,55.274,55.458,55.864,56.293,56.521,56.742,56.817,57.023,57.317,57.645,57.439,57.23,57.816,58.244,59.036,59.69,60.34,60.873,61.073,61.884,62.279,62.923,63.73,64.5,64.84,65.115,65.495,65.756,66.066,66.743,67.044,67.358,67.706,68.277,68.794,68.989,69.481,70.175,70.817,71.495,72.289,72.902,73.491,74.757,75.513,76.164,76.845,77.931,78.977,80.264,80.732,80.603,81.078,81.44,82.807,84.609,84.775,85.397,86.947,88.879,90.679,92.545,94.021,95.229,96.773,99.344,101.201,102.82,103.769,104.132,104.871,105.42,105.134,105.18,105.283,104.882,104.455,103.479,101.988,101.138,99.802,99.142,99.917,100.109,99.424,99.434,100.057,100.307,100.663,100.634,100.664,100.479,100.875,101.784,102.837,104.513,105.875,107.342,109.389,111.717,111.979,113.984,115.286
"30","22","    Permanent site","B943RG3",14.54,14.686,14.684,14.891,14.805,15.51,14.89,14.982,15.444,15.802,16.153,16.431,16.719,16.79,17.125,17.719,17.953,18.368,19.081,19.47,19.86,20.238,20.82,21.345,21.893,22.388,22.596,23.002,22.997,23.818,24.201,24.575,25.067,25.86,26.817,27.657,28.589,29.55,30.249,31.039,31.58,32.816,33.962,34.74,35.666,36.363,37.289,38.454,39.167,39.723,40.161,40.698,41.336,41.945,42.405,42.588,42.734,42.773,42.869,43.188,43.597,43.806,44.312,44.52,44.754,44.864,45.196,45.706,46.193,46.863,47.456,48.11,48.653,48.965,49.197,49.636,50.401,50.648,50.924,51.405,51.814,52.533,52.636,52.779,53.263,53.456,53.776,53.738,53.773,53.882,54.227,53.912,53.8,54.237,54.667,55.446,56.238,56.66,57.363,58.074,58.621,58.966,59.856,60.917,61.646,61.859,62.12,62.346,62.513,62.698,63.615,63.936,64.384,64.6,65.444,66.112,66.328,66.805,67.581,68.375,69.192,69.987,70.608,71.205,72.621,73.262,73.764,74.37,75.386,76.224,77.827,78.685,78.386,78.777,79.003,80.648,82.947,82.729,83.146,85.001,87.442,89.54,91.442,92.92,94.037,95.808,98.459,100.393,102.522,103.645,103.855,105.233,105.784,105.192,105.222,105.25,104.259,103.678,102.657,101.905,102.018,99.771,98.54,99.671,99.64,98.373,98.773,99.381,99.254,99.225,99.408,99.856,99.407,99.846,100.921,101.653,103.436,104.685,105.657,108.219,110.43,110.243,112.862,114.667
"31","23","      Single family","B944RG3",15.117,15.266,15.266,15.517,15.416,16.165,15.516,15.615,16.065,16.414,16.763,17.063,17.362,17.462,17.811,18.459,18.709,19.158,19.906,20.306,20.705,21.103,21.702,22.251,22.8,23.3,23.499,23.899,23.898,24.746,25.145,25.544,26.153,26.919,27.878,28.736,29.707,30.733,31.508,32.398,33.044,34.412,35.677,36.538,37.492,38.241,39.231,40.467,41.249,41.797,42.175,42.607,43.067,43.513,43.808,43.836,43.829,43.78,43.828,44.137,44.624,44.842,45.347,45.525,45.676,45.73,46.007,46.468,46.895,47.543,48.138,48.814,49.279,49.723,50.03,50.5,51.243,51.502,51.816,52.365,52.867,53.696,53.903,54.142,54.758,55.01,55.361,55.306,55.246,55.31,55.627,55.278,55.157,55.597,56.039,56.845,57.701,58.181,58.955,59.74,60.358,60.761,61.722,62.851,63.62,63.851,64.121,64.345,64.474,64.651,65.583,65.9,66.349,66.535,67.355,67.941,67.951,68.302,69.021,69.826,70.754,71.645,72.34,72.968,74.357,75.01,75.538,76.18,77.302,78.222,79.899,80.782,80.419,80.781,80.996,82.691,85.077,84.907,85.408,87.404,89.997,92.215,94.205,95.729,96.888,98.695,101.383,103.304,105.354,106.406,106.556,107.948,108.331,107.51,107.294,107.03,105.666,104.754,103.433,102.419,102.343,99.83,98.395,99.381,99.136,97.616,98.045,98.788,98.789,98.846,99.096,99.595,98.884,99.219,100.323,101.058,103.066,104.471,105.575,108.619,111.295,111.061,114.305,116.549
"32","24","      Multifamily","B292RG3",13.057,13.198,13.198,13.339,13.292,13.903,13.34,13.386,13.809,14.138,14.467,14.701,14.983,15.03,15.359,15.875,16.11,16.486,17.144,17.519,17.895,18.224,18.741,19.163,19.633,20.056,20.243,20.667,20.619,21.369,21.698,21.983,21.942,22.967,24.025,24.869,25.702,26.469,26.935,27.439,27.697,28.581,29.406,29.956,30.789,31.34,32.108,33.107,33.682,34.266,34.831,35.557,36.499,37.394,38.18,38.721,39.286,39.585,39.839,40.205,40.411,40.613,41.132,41.427,41.89,42.155,42.622,43.245,43.871,44.587,45.185,45.797,46.698,46.533,46.47,46.782,47.643,47.821,47.916,48.093,48.075,48.303,47.944,47.647,47.469,47.363,47.542,47.577,48.046,48.372,48.892,48.768,48.693,49.126,49.497,50.124,50.38,50.262,50.397,50.561,50.588,50.493,50.908,51.523,51.964,52.035,52.234,52.486,52.92,53.171,54.046,54.433,54.915,55.323,56.343,57.532,59.025,60.379,61.624,62.433,62.564,62.786,62.995,63.459,65.233,65.852,66.199,66.552,66.823,67.101,68.254,68.978,69.104,69.701,69.98,71.315,73.038,72.403,72.216,73.166,74.684,76.054,77.42,78.606,79.4,81.041,83.735,86.175,89.47,91.453,92.174,93.484,94.836,95.288,96.419,97.658,98.074,98.799,99.048,99.496,100.616,99.419,99.065,100.936,102.087,102.706,102.773,102.285,101.239,100.533,100.153,100.095,101.174,102.138,102.984,103.711,104.317,104.775,105.08,105.232,105.254,105.28,105.273,105.26
"33","25","    Other structures \7\","B863RG3",15.83,16.211,16.415,16.695,16.825,17.174,17.088,17.302,17.663,17.961,18.172,18.406,18.538,18.648,18.836,19.272,19.528,20.167,20.661,20.916,21.557,22.276,23.114,23.777,24.36,24.611,24.83,25.285,25.646,26.197,26.64,27.274,28.171,28.742,29.539,30.478,31.121,31.876,32.914,33.807,34.651,35.597,36.601,37.603,38.603,39.725,40.512,41.077,42.244,42.922,43.45,44.303,44.862,45.556,45.758,45.973,46.328,46.555,47.048,47.534,47.584,48.287,48.638,49.487,49.69,49.82,50.23,50.966,51.79,52.038,52.782,53.207,53.842,54.498,55.385,56.048,55.849,56.684,57.245,57.826,58.129,58.742,59.047,59.834,60.175,60.455,60.534,60.777,61.218,61.75,62.06,62.004,61.663,62.448,62.871,63.675,64.141,65.092,65.398,64.927,66.084,66.545,66.837,67.29,68.123,68.639,68.936,69.515,69.898,70.374,70.728,71.002,71.14,71.661,71.883,72.21,72.375,72.884,73.475,73.914,74.407,75.199,75.802,76.382,77.44,78.352,79.198,79.974,81.151,82.472,83.337,83.295,83.391,83.976,84.513,85.522,86.69,87.342,88.227,89.387,90.649,92.057,93.874,95.346,96.665,97.904,100.368,102.124,103.034,103.752,104.33,104.3,104.865,104.929,104.982,105.142,105.274,104.977,104.054,102.037,100.615,99.826,99.483,100.077,100.368,99.98,99.778,100.41,100.855,101.405,101.273,101.095,101.038,101.409,102.223,103.467,105.072,106.506,108.299,109.992,112.401,112.999,114.539,115.458
"34","26","  Equipment","B013RG3",52.542,52.789,53.052,53.315,53.556,53.945,54.031,54.277,54.58,54.804,55.006,54.921,55.004,55.049,54.978,55.001,55.08,55.26,55.413,55.619,56.17,57.448,59.6,61.843,63.242,64.021,64.716,65.67,66.634,67.511,68.074,68.549,69.018,69.476,70.088,70.903,71.592,72.538,73.774,75.121,76.372,77.082,77.617,78.744,80.175,81.871,83.391,84.525,86.121,87.834,89.427,90.394,92.146,93.706,94.554,95.18,95.509,95.706,96.412,97.301,97.155,97.289,96.652,96.915,97.078,96.509,95.886,96.201,96.123,96.972,97.224,97.362,97.903,98.274,98.766,98.237,98.534,99.325,99.268,99.951,99.827,99.673,100.416,100.781,100.542,100.845,100.915,101.355,100.645,99.923,101.466,99.891,100.22,100.371,100.746,100.248,100.045,100.902,101.272,101.501,101.927,102.731,103.431,103.292,103.334,103.13,103.064,103.145,103.565,103.171,103.79,104.339,104.801,103.643,103.139,102.77,103.386,102.721,103.173,102.657,101.884,101.095,101.173,101.195,100.903,101.414,101.1,100.878,101.436,100.893,101.109,101.046,101.106,100.507,100.156,100.172,99.094,97.613,97.392,96.577,95.956,95.429,94.439,94.272,96.54,97.573,98.032,97.985,99.037,98.938,99.951,101.067,100.943,101.25,101.154,100.984,100.525,99.846,101.515,101.897,101.877,101.424,99.094,97.605,96.33,95.057,94.481,93.023,91.727,92.272,93.854,93.92,95.227,95.135,94.413,94.221,93.58,91.97,90.674,89.772,89.574,87.194,86.632,85.169
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","  Private fixed investment in structures","A349RG3",13.654,13.864,13.982,14.22,14.282,14.774,14.586,14.763,15.117,15.443,15.754,16.014,16.279,16.407,16.662,17.106,17.344,17.759,18.322,18.696,19.156,19.781,20.546,21.247,21.831,22.22,22.421,22.759,22.894,23.452,23.817,24.21,24.881,25.469,26.214,26.928,27.629,28.436,29.174,29.957,30.664,31.674,32.678,33.429,34.165,34.913,35.685,36.668,37.896,38.87,39.689,40.759,41.538,42.033,42.231,42.191,41.872,41.701,41.773,41.927,42.087,42.477,42.825,43.157,43.427,43.533,43.815,44.221,44.605,44.963,45.39,45.788,46.099,46.415,46.775,47.24,47.755,48.208,48.612,49.106,49.475,50.078,50.342,50.72,51.125,51.4,51.704,51.887,52.204,52.384,52.539,52.208,52.099,52.497,52.831,53.42,53.932,54.472,54.938,55.234,55.853,56.204,56.824,57.579,58.272,58.607,59.01,59.412,59.579,59.837,60.508,60.837,61.243,61.657,62.245,62.826,63.287,63.828,64.419,64.982,65.542,66.153,66.676,67.229,68.25,68.913,69.559,70.262,71.254,72.259,73.427,73.865,74.052,74.622,75.07,76.205,77.621,77.737,78.308,79.623,81.361,83.07,84.944,86.65,88.182,89.878,92.522,94.834,96.653,98.048,98.904,100.308,101.139,101.174,101.562,102.143,102.437,102.649,103.116,103.549,102.529,100.231,98.47,98.771,99.062,98.969,99.242,99.865,100.185,100.978,101.489,102.097,102.453,103.154,103.747,104.46,105.681,107.027,108.084,109.663,111.175,111.499,112.847,113.669
"37","28","  Private fixed investment in new structures","W040RG3",13.351,13.563,13.673,13.907,13.969,14.455,14.282,14.457,14.801,15.117,15.43,15.683,15.948,16.071,16.317,16.749,16.991,17.38,17.929,18.304,18.75,19.366,20.132,20.836,21.408,21.798,21.998,22.32,22.439,22.982,23.336,23.695,24.333,24.91,25.632,26.278,26.992,27.785,28.454,29.222,29.891,30.883,31.882,32.603,33.301,34.025,34.781,35.829,37.001,38.002,38.863,39.868,40.653,41.117,41.326,41.277,40.907,40.714,40.732,40.885,41.033,41.392,41.736,41.953,42.238,42.331,42.569,42.902,43.224,43.511,43.896,44.304,44.523,44.747,45.028,45.419,46.046,46.478,46.806,47.259,47.664,48.243,48.501,48.781,49.233,49.508,49.872,50.077,50.361,50.503,50.65,50.35,50.271,50.58,50.878,51.434,51.976,52.369,52.847,53.244,53.695,53.973,54.624,55.412,56.124,56.415,56.818,57.185,57.311,57.561,58.303,58.668,59.113,59.514,60.136,60.722,61.196,61.725,62.298,62.886,63.476,64.062,64.58,65.11,66.125,66.723,67.296,67.94,68.843,69.733,70.949,71.514,71.674,72.203,72.592,73.736,75.238,75.199,75.661,77.046,78.954,80.826,82.776,84.411,85.949,87.733,90.353,92.765,94.821,96.428,97.328,99.044,99.957,99.991,100.411,101.175,101.562,102.041,102.957,103.746,102.872,100.242,98.27,98.615,99.015,99.043,99.452,100.154,100.643,101.704,102.386,103.118,103.523,104.282,104.756,105.21,106.379,107.582,108.269,109.784,111.031,111.263,112.651,113.388
"38","29","    Nonresidential structures \8\","A771RG3",11.653,11.845,12.008,12.237,12.36,12.746,12.782,12.994,13.262,13.563,13.864,14.107,14.384,14.563,14.752,15.039,15.263,15.588,16.021,16.414,16.856,17.591,18.41,19.185,19.746,20.104,20.282,20.521,20.646,21.017,21.326,21.621,22.306,22.709,23.223,23.71,24.221,24.898,25.508,26.204,26.935,27.761,28.622,29.229,29.733,30.336,30.984,31.955,33.326,34.485,35.462,36.66,37.455,37.826,37.93,37.761,37.112,36.738,36.659,36.604,36.647,37.015,37.254,37.471,37.758,37.844,38.04,38.258,38.415,38.611,38.783,38.985,38.993,39.157,39.365,39.746,40.368,40.768,41.167,41.607,41.963,42.459,42.79,43.117,43.478,43.782,44.147,44.416,44.81,44.885,44.874,44.439,44.439,44.615,44.829,45.167,45.498,45.887,46.262,46.674,47.032,47.321,47.905,48.583,49.166,49.487,50.027,50.444,50.492,50.681,51.332,51.688,52.191,52.665,53.26,53.899,54.657,55.242,55.697,56.158,56.563,56.933,57.336,57.837,58.535,59.074,59.701,60.39,61.247,62.181,63.184,63.567,64.171,64.879,65.469,66.247,67.053,67.095,67.593,68.515,69.94,71.535,73.506,75.741,78.002,80.097,83.033,86.42,88.731,91.013,92.723,95.214,96.427,96.901,97.768,98.979,100.103,101,102.822,104.909,103.75,100.661,97.902,97.688,98.042,98.557,99.089,99.714,100.114,101.375,102.428,103.609,104.504,105.499,105.791,106.159,106.889,108.222,108.808,109.864,110.484,110.878,111.523,111.827
"39","30","    Residential structures \9\","A756RG3",14.924,15.153,15.199,15.432,15.413,16.011,15.569,15.699,16.125,16.456,16.781,17.041,17.293,17.366,17.66,18.215,18.473,18.919,19.58,19.937,20.388,20.856,21.539,22.13,22.686,23.099,23.318,23.731,23.845,24.562,24.958,25.377,25.963,26.695,27.598,28.385,29.282,30.175,30.892,31.717,32.3,33.444,34.57,35.405,36.331,37.187,38.054,39.136,39.906,40.569,41.147,41.64,42.279,42.874,43.28,43.482,43.645,43.74,43.891,44.302,44.579,44.91,45.377,45.579,45.843,45.937,46.221,46.696,47.224,47.612,48.22,48.84,49.279,49.565,49.917,50.31,50.925,51.379,51.618,52.073,52.521,53.175,53.339,53.55,54.092,54.318,54.665,54.779,54.898,55.13,55.477,55.347,55.181,55.623,56.001,56.768,57.509,57.898,58.467,58.844,59.376,59.645,60.355,61.239,62.068,62.327,62.588,62.903,63.102,63.408,64.228,64.599,64.978,65.299,65.938,66.459,66.638,67.1,67.781,68.485,69.245,70.03,70.653,71.207,72.513,73.163,73.673,74.261,75.196,76.027,77.432,78.157,77.908,78.283,78.519,79.95,81.983,81.893,82.339,84.059,86.314,88.397,90.372,91.661,92.78,94.411,96.898,98.774,100.714,101.901,102.223,103.349,103.988,103.622,103.634,103.973,103.567,103.552,103.227,102.084,101.608,99.657,98.826,99.909,100.34,99.737,99.977,100.778,101.386,102.196,102.39,102.515,102.265,102.711,103.44,104.012,105.712,106.764,107.569,109.624,111.62,111.657,113.952,115.222
"40","31","  Private fixed investment in information processing equipment and software","B679RG3",283.818,283.768,284.532,285.675,287.876,288.403,286.752,285.563,284.084,281.53,279.087,277.389,275.754,274.348,273.589,273.689,276.702,278.19,276.655,273.998,273.589,278.751,284.062,289.884,296.172,299.422,299.477,300.32,301.47,301.997,301.968,300.336,301.449,300.147,296.847,292.216,289.215,287.486,285.607,283.829,285.1,285.619,284.142,283.021,284.643,285.937,287.1,288.119,290.947,292.925,293.888,295.202,292.706,297.095,298.85,299.907,295.488,290.727,286.889,284.252,280.846,278.249,275.465,273.53,271.073,268.11,265.439,262.976,258.934,257.808,259.795,259.021,255.545,251.862,248.809,250.436,250.957,248.407,246.793,246.937,246.101,243.646,241.918,239.643,237.653,236.356,236.406,236.24,236.682,234.462,230.972,227.946,224.98,221.144,218.682,216,215.206,212.913,210.693,208.295,206.555,204.751,202.364,199.42,197.629,195.831,192.583,188.709,184.416,179.47,176.293,173.218,169.696,166.559,163.016,159.397,154.3,150.248,146.752,143.462,141.215,138.983,137.16,135.848,135.261,134.556,134.368,133.28,130.318,128.91,126.524,125.017,123.962,122.364,121.198,119.786,117.828,116.817,115.337,113.397,112.654,111.971,111.442,110.365,109.836,109.067,108.215,107.417,106.762,106.386,106.091,105.844,105.666,105.323,103.916,102.56,102.479,102.463,102.416,101.861,100.939,100.041,99.632,99.387,98.926,98.761,98.513,98.62,98.742,98.315,97.941,97.656,97.503,97.161,96.837,96.639,96.754,96.935,96.879,96.768,96.758,96.908,96.843,96.329
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
