"","Table 5#5#4U# Price Indexes for Private Fixed Investment in Equi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231"
"39","31","      Household furniture","BA15RG3",20.698,20.636,20.908,20.649,20.627,20.769,20.784,21.002,21.033,21.142,21.108,21.351,21.202,21.187,21.169,21.624,21.445,21.427,21.543,21.638,21.635,21.645,21.77,21.583,21.721,21.728,21.678,21.828,22.065,22.312,22.496,22.664,22.852,23.037,23.124,23.428,23.68,23.832,24.245,24.459,24.69,24.901,25.214,25.444,25.603,25.816,25.941,26.083,26.254,26.55,26.701,26.844,26.852,26.992,27.132,27.377,27.533,27.959,28.519,29.003,29.572,30.402,31.504,32.586,33.463,33.742,33.732,34.037,34.503,34.89,35.341,36.062,36.722,37.389,37.965,38.207,38.969,39.878,40.9,41.815,42.448,43.179,44.051,44.834,46.41,47.876,49.226,50.307,51.137,51.825,52.718,53.411,54.825,55.253,55.188,55.346,55.529,55.861,56.501,56.812,57.203,57.68,57.98,58.401,58.736,59.414,59.739,59.997,60.688,60.789,61.254,61.664,62.809,63.01,63.278,62.81,64.952,65.574,66.024,66.755,67.213,67.839,68.354,68.913,69.27,69.77,70.298,70.823,71.22,71.486,71.695,72.05,72.441,72.506,73.028,72.968,73.272,73.844,74.233,74.855,75.203,75.677,76.043,76.496,76.885,77.654,78.166,78.639,79.03,79.319,79.582,79.817,80.051,80.33,80.433,80.565,80.75,80.821,80.702,80.669,80.738,80.686,80.808,80.965,81.025,81.089,81.426,81.73,81.89,82.036,81.917,82.185,82.403,82.441,82.735,83.118,83.356,83.767,83.927,83.905,84.39,85.344,85.923,87.568,89.293,89.756,89.931,90.787,91.858,92.125,92.41,92.701,93.034,93.365,93.5,93.886,94.995,97.923,99.717,100.28,100.484,100.407,99.764,99.346,98.486,97.995,98.304,98.798,99.266,100.628,102.145,103.1,103.422,104.193,104.379,104.674,104.916,105.296,104.984,105.308,105.344,105.721,106.107,106.157,106.127,106.144,105.992,105.956
"40","32","      Other furniture","BA16RG3",17.653,17.675,17.698,17.653,17.768,17.806,17.727,17.654,17.695,17.644,17.569,17.532,17.594,17.573,17.607,17.689,17.564,17.499,17.542,17.662,17.756,17.81,17.831,17.804,17.852,17.879,17.862,17.97,18.027,18.155,18.26,18.45,18.687,18.854,19.023,19.115,19.323,19.528,19.728,19.954,20.194,20.544,20.81,21.121,21.351,21.451,21.685,21.876,22.134,22.396,22.527,22.656,22.804,22.927,22.994,23.288,23.7,24.246,25.033,25.434,26.221,27.299,28.996,30.718,31.189,31.094,31.236,31.638,32.001,32.53,33.086,33.795,34.585,35.32,36.16,36.927,37.944,39.164,39.797,40.144,41.359,42.427,42.728,43.165,43.902,44.6,45.41,46.45,47.295,47.957,48.585,49.361,49.857,50.654,51.029,51.09,51.827,52.066,52.303,52.623,53.143,53.59,53.855,54.141,54.719,55.314,56.107,56.447,56.944,57.545,57.749,58.271,58.767,59.181,59.577,60.191,61.433,62.412,63.393,63.86,64.278,64.743,65.674,66.017,66.848,67.431,67.839,68.491,68.937,68.936,69.212,69.047,69.46,69.593,69.897,69.923,70.278,70.711,71.079,71.198,71.818,73.164,73.747,73.892,74.277,75.04,75.612,76.382,76.757,76.769,76.94,77.667,77.89,78.24,78.356,78.512,78.653,78.658,78.57,78.533,78.557,78.695,79.032,79.122,79.22,79.335,79.597,79.804,80.309,80.512,80.576,80.829,80.955,80.675,81.503,82.021,82.166,82.392,82.528,82.717,83.108,84.058,85.21,86.387,87.696,88.856,89.402,89.594,89.771,90.195,90.911,91.349,92.213,92.51,92.445,93.109,94.078,96.413,99.034,100.263,100.464,99.861,99.759,99.916,99.052,99.508,99.917,100.068,101.233,102.468,103.469,104.317,105.05,105.225,105.379,105.565,105.092,105.535,105.747,106.097,106.622,107.371,108.31,108.111,108.147,108.611,108.68,108.571
"41","33","    Agricultural machinery","B268RG3",12.443,12.547,12.632,12.563,12.61,12.745,12.838,12.924,12.94,12.994,13.018,13.041,13.186,13.273,13.366,13.373,13.45,13.489,13.541,13.594,13.659,13.713,13.804,13.85,13.958,14.057,14.18,14.3,14.4,14.542,14.633,14.725,14.93,15.012,15.143,15.248,15.32,15.379,15.562,15.763,15.878,16.084,16.231,16.431,16.595,16.707,16.772,17.061,17.465,17.556,17.653,17.514,18.3,18.749,18.265,18.101,18.383,18.808,19.062,19.4,19.711,20.511,22.116,23.508,24.442,25.095,25.377,25.843,26.509,27.041,27.483,27.919,28.683,29.156,29.659,30.257,30.784,31.386,32.213,32.931,33.309,34.276,35.752,36.826,38.551,39.67,40.667,41.53,42.89,44.327,45.989,47.008,48.162,48.705,49.575,50.723,50.921,51.446,51.413,51.929,52.472,52.603,53.05,52.853,52.79,52.947,52.837,53.184,53.822,54.829,55.473,55.49,55.558,55.832,56.258,56.535,57.299,57.539,57.313,58.714,59.249,59.803,60.435,60.951,61.525,61.676,62.508,63.374,64.157,64.536,65,65.735,66.819,67.286,67.807,68.233,68.356,68.892,69.168,69.699,70.267,70.635,71.076,71.442,71.63,72.204,72.672,73.273,73.802,73.939,74.18,74.473,74.715,74.621,74.736,75.125,75.157,75.252,75.618,76.044,76.41,76.785,76.913,77.139,77.281,77.275,77.366,77.378,77.794,78.04,78.111,78.561,78.766,78.937,79.197,79.35,79.787,80.058,80.738,81.126,81.959,82.597,83.248,84.213,85.866,86.379,86.695,87.052,87.779,88.459,89.107,89.696,90.668,90.982,91.241,93.023,94.11,95.546,97.57,98.753,99.591,99.619,100.263,100.527,100.475,100.48,101.013,101.812,102.473,103.336,104.069,104.903,105.264,105.409,105.747,106.204,106.028,106.2,106.2,107.017,107.786,107.924,107.868,108.137,108.458,108.69,108.711,109.213
"42","34","      Farm tractors","BA17RG3",11.854,11.973,12.079,12.015,11.933,12.025,12.18,12.297,12.376,12.437,12.44,12.417,12.594,12.756,12.821,12.748,12.86,12.913,12.904,13.001,13.077,13.13,13.221,13.256,13.231,13.234,13.403,13.561,13.617,13.774,13.882,13.906,14.138,14.185,14.287,14.322,14.566,14.617,14.871,15.102,15.137,15.453,15.553,15.766,15.949,16.033,16.054,16.37,16.583,16.756,16.98,16.813,17.183,17.437,17.636,17.584,17.581,17.854,17.975,18.145,18.491,19.275,21.051,22.423,23.477,24.054,24.2,24.811,25.431,26.002,26.406,26.652,27.511,27.897,28.276,28.858,29.475,30.252,31.123,31.72,32.028,32.767,33.954,35.549,36.852,38.145,39.025,40.118,40.73,42.567,44.178,46.178,47.91,47.41,47.157,47.861,49.165,49.426,49.508,49.727,49.949,50.89,50.651,50.032,50.131,50.242,50.303,50.476,52.088,53.756,55.799,55.307,55.502,55.801,55.852,56.765,57.727,57.84,56.947,59.139,59.593,59.756,60.365,61.096,61.908,61.703,62.913,64.664,65.795,66.104,66.579,67.776,70.135,70.967,71.627,72.215,71.927,72.199,72.181,72.683,73.517,73.872,74.305,74.572,74.768,75.004,75.231,75.703,76.098,76.306,76.54,76.664,76.589,76.266,76.247,76.963,76.762,76.784,77.13,77.81,78.359,78.564,78.678,78.956,78.995,78.829,78.767,78.495,78.838,78.802,78.719,78.93,78.877,79.006,78.985,78.993,79.418,79.802,80.654,81.061,81.969,82.384,82.97,83.433,85.122,85.644,85.779,86.281,87.017,87.674,88.53,89.042,89.718,89.871,90.089,92.786,94.587,95.693,97.669,98.355,99.592,99.889,100.112,100.406,100.003,99.76,100.205,100.991,101.592,102.282,102.889,103.815,104.17,104.125,104.475,105.03,104.607,104.728,104.631,105.605,106.292,106.251,106.119,106.539,106.751,107.189,107.189,107.733
"43","35","      Other agricultural machinery","W213RG3",12.643,12.739,12.808,12.737,12.851,13.003,13.072,13.143,13.123,13.174,13.21,13.254,13.383,13.427,13.535,13.586,13.643,13.674,13.758,13.788,13.844,13.898,13.988,14.042,14.228,14.378,14.476,14.573,14.698,14.827,14.904,15.042,15.227,15.329,15.476,15.618,15.584,15.651,15.789,15.975,16.124,16.281,16.45,16.641,16.789,16.915,17.004,17.289,17.763,17.827,17.862,17.722,18.715,19.261,18.425,18.218,18.632,19.135,19.456,19.878,20.161,20.959,22.479,23.872,24.75,25.434,25.777,26.171,26.856,27.364,27.822,28.349,29.062,29.572,30.132,30.738,31.224,31.737,32.527,33.292,33.706,34.793,36.397,37.202,39.128,40.149,41.199,41.929,43.689,44.881,46.556,47.061,47.927,48.993,50.425,51.79,51.429,52.085,51.984,52.681,53.43,53.027,53.911,53.968,53.808,53.984,53.779,54.195,54.378,55.093,55.183,55.397,55.42,55.685,56.26,56.271,56.941,57.234,57.309,58.37,58.935,59.632,60.269,60.71,61.198,61.474,62.17,62.712,63.363,63.766,64.219,64.77,65.362,65.682,66.144,66.503,66.79,67.431,67.828,68.372,68.826,69.201,69.647,70.055,70.241,70.961,71.529,72.177,72.752,72.862,73.107,73.468,73.847,73.86,74.043,74.248,74.407,74.543,74.924,75.228,75.512,75.96,76.094,76.295,76.484,76.557,76.728,76.894,77.344,77.727,77.868,78.426,78.756,78.954,79.369,79.608,80.051,80.259,80.839,81.212,81.99,82.769,83.461,84.742,86.377,86.888,87.328,87.591,88.311,89.004,89.509,90.15,91.322,91.76,92.068,93.172,93.762,95.453,97.523,99.027,99.597,99.443,100.359,100.601,100.785,100.946,101.532,102.338,103.039,104.018,104.832,105.605,105.972,106.276,106.602,106.967,107.015,107.23,107.318,107.994,108.834,109.13,109.14,109.272,109.697,109.724,109.766,110.223
"44","36","    Construction machinery","B269RG3",11.559,11.731,11.801,11.845,11.906,11.993,12.106,12.127,12.173,12.2,12.21,12.217,12.218,12.217,12.218,12.327,12.318,12.41,12.522,12.587,12.73,12.795,12.858,12.917,12.985,13.055,13.133,13.203,13.278,13.403,13.529,13.638,13.717,13.849,13.949,14.134,14.323,14.576,14.803,15.013,15.172,15.3,15.447,15.614,15.849,16.057,16.21,16.451,16.742,17.023,17.197,17.28,17.477,17.679,17.851,17.91,17.976,18.21,18.507,18.738,19.026,19.616,20.944,22.507,24.149,25.309,26.08,26.572,26.956,27.341,27.861,28.627,29.507,30.5,31.423,32.297,32.722,33.381,34.081,34.983,35.898,36.72,37.61,38.621,39.746,41.124,42.458,43.547,44.764,45.93,46.859,47.529,48.09,48.843,49.193,49.387,49.552,49.743,49.823,49.934,49.792,50.18,50.011,49.86,50.446,50.225,50.697,51.048,51.509,51.901,52.714,53.334,54.247,55.308,55.558,56.625,58.206,58.645,58.373,59.166,60.12,60.352,60.925,61.441,62.521,62.949,63.925,64.546,64.686,64.918,65.389,65.893,65.929,66.378,67.287,67.653,68.325,68.35,68.424,68.802,69.584,69.905,70.279,70.685,71.428,72.095,72.43,72.712,73.057,73.489,73.881,74.23,74.592,74.833,74.956,75.368,75.725,75.991,76.435,76.726,77.422,78.073,78.287,78.547,78.803,78.975,79.252,79.461,79.458,79.53,79.758,80.161,80.082,80.372,80.616,80.884,81.494,81.773,81.793,82.298,82.858,83.803,84.991,85.466,86.391,87.529,88.764,89.535,90.622,91.104,91.734,92.328,92.946,93.383,93.742,94.663,95.38,96.364,97.748,98.971,99.68,100.069,100.175,100.075,99.61,99.901,100.427,100.641,101.16,102.286,103.921,105.037,106.184,107.095,107.765,109.06,109.345,109.416,109.43,109.088,109.932,110.394,110.458,110.383,110.775,111.225,110.707,110.565
"45","37","      Construction tractors","BA18RG3",11.16,11.251,11.248,11.233,11.319,11.488,11.614,11.609,11.752,11.759,11.805,11.76,11.776,11.797,11.817,11.871,11.844,12.058,12.19,12.27,12.437,12.566,12.591,12.687,12.738,12.871,12.939,12.914,12.941,13.066,13.17,13.355,13.367,13.514,13.644,13.842,14.076,14.372,14.6,14.889,14.995,15.086,15.248,15.398,15.593,15.708,15.823,16.309,16.571,16.772,16.942,16.824,17.269,17.522,17.603,17.587,17.662,18.032,18.138,18.347,18.949,20.002,22.505,24.006,25.616,26.233,26.5,27.288,27.723,27.902,28.368,29.12,30.281,31.196,31.791,32.254,32.743,34.074,35.188,36.453,37.153,37.934,38.917,40.139,41.048,42.048,43.751,44.889,46.349,47.797,48.893,50.047,51.57,52.563,52.922,52.897,53.422,53.736,53.251,53.36,53.326,53.796,53.776,53.665,54.708,54.491,54.761,55.005,54.576,54.584,54.939,55.788,56.285,57.195,57.437,57.588,60.396,59.757,60.393,61.149,62.808,62.362,62.953,62.851,64.373,64.207,65.375,65.556,64.822,66.03,66.889,67.324,67.333,67.354,67.98,68.505,68.262,68.776,69.222,69.746,71.132,71.111,71.28,71.837,71.745,72.25,72.229,72.12,71.898,72.217,72.535,72.85,73.425,73.549,73.88,73.985,74.427,74.694,74.878,75.206,76.548,76.93,77.192,77.175,76.967,77.229,77.419,77.415,77.279,77.597,78.443,79.273,78.802,78.872,79,78.864,80.665,81.278,81.688,82.387,82.575,83.21,83.892,84.182,85.776,86.535,87.094,87.549,88.189,89.273,90.289,90.218,90.502,90.882,91.129,94.32,95.595,96.341,97.862,98.518,99.265,100.003,100.339,100.393,100.245,100.602,101.176,101.316,101.593,102.021,102.694,103.524,103.834,104.218,104.571,104.612,104.317,104.608,104.716,105.16,106.284,106.585,106.627,106.315,107.301,106.381,106.466,107.057
"46","38","      Other construction machinery","W214RG3",11.687,11.887,11.98,12.041,12.091,12.157,12.267,12.291,12.318,12.35,12.352,12.372,12.369,12.362,12.359,12.48,12.476,12.541,12.648,12.709,12.847,12.897,12.97,13.019,13.092,13.145,13.226,13.322,13.411,13.536,13.669,13.757,13.853,13.983,14.077,14.261,14.445,14.691,14.917,15.11,15.282,15.419,15.563,15.734,15.98,16.207,16.369,16.561,16.86,17.159,17.334,17.458,17.603,17.796,17.991,18.066,18.127,18.332,18.678,18.917,19.13,19.608,20.66,22.237,23.885,25.195,26.109,26.523,26.898,27.333,27.866,28.635,29.452,30.466,31.473,32.467,32.87,33.35,33.964,34.793,35.753,36.591,37.471,38.451,39.609,41.051,42.335,43.426,44.598,45.704,46.6,47.176,47.58,48.297,48.643,48.858,48.984,49.154,49.313,49.424,49.267,49.645,49.454,49.298,49.812,49.596,50.1,50.467,51.039,51.488,52.365,52.952,53.926,55.011,55.264,56.506,57.884,58.464,58.068,58.866,59.696,60.047,60.614,61.243,62.246,62.775,63.722,64.421,64.696,64.778,65.184,65.686,65.711,66.237,67.204,67.565,68.319,68.282,68.309,68.67,69.387,69.748,70.144,70.533,71.368,72.051,72.423,72.749,73.157,73.602,74.002,74.355,74.69,74.947,75.037,75.498,75.841,76.106,76.587,76.872,77.482,78.166,78.372,78.669,78.986,79.146,79.432,79.666,79.675,79.718,79.879,80.239,80.202,80.516,80.772,81.079,81.572,81.82,81.804,82.293,82.888,83.861,85.09,85.58,86.449,87.618,88.914,89.712,90.841,91.268,91.863,92.518,93.166,93.607,93.974,94.698,95.359,96.363,97.729,99.002,99.703,100.072,100.166,100.059,99.58,99.866,100.388,100.608,101.147,102.322,104.021,105.157,106.336,107.259,107.94,109.29,109.615,109.68,109.692,109.293,110.116,110.586,110.65,110.593,110.937,111.492,110.929,110.735
"47","39","    Mining and oilfield machinery","B270RG3",10.746,10.869,10.977,11.044,11.095,11.204,11.265,11.243,11.185,11.143,11.116,11.216,11.214,11.292,11.364,11.391,11.367,11.322,11.314,11.337,11.409,11.476,11.501,11.591,11.551,11.551,11.611,11.649,11.652,11.678,11.77,11.947,12.114,12.211,12.258,12.282,12.425,12.628,12.847,13.021,13.165,13.285,13.453,13.557,13.745,13.943,14.087,14.207,14.357,14.489,14.566,14.606,14.727,14.891,15.056,15.136,15.224,15.365,15.569,15.773,16.008,16.587,17.692,19.145,20.647,21.96,22.825,23.471,24.046,24.526,25.072,25.885,26.681,27.437,28.363,29.436,29.665,30.3,30.979,31.728,32.532,33.18,34.135,35.327,37.029,38.983,40.966,42.833,44.209,46.008,47.514,48.999,50.41,50.45,50.115,49.98,49.864,48.897,48.13,47.94,48.09,48.296,48.68,48.631,48.567,48.883,49.176,49.086,49.381,49.338,48.726,48.603,47.846,48.506,49.044,49.911,50.616,50.928,50.932,51.886,52.321,52.616,53.248,53.556,54.185,54.899,55.643,56.299,57.056,57.367,57.736,58.077,57.777,57.852,58.751,59.106,59.01,58.962,59.211,59.425,59.993,60.222,60.507,61.099,61.651,62.024,62.795,63.464,63.462,63.904,64.587,64.745,65.564,66.258,66.664,67.22,67.299,67.417,67.572,67.629,67.868,68.138,68.24,68.326,68.666,68.909,69.131,69.48,70.635,71.108,71.482,71.878,71.977,72.159,72.391,72.634,73.137,73.369,73.824,74.27,74.964,76.173,77.353,78.776,80.433,81.952,82.941,85.008,86.319,87.494,89,90.184,91.5,92.219,93.15,93.437,95.163,98.211,100.816,102.307,101.57,100.154,99.179,99.097,99.376,99.634,100.113,100.598,101.46,102.9,103.963,104.858,105.345,106.097,106.707,107.035,107.105,106.948,107.042,107.292,107.51,107.424,107.883,108.21,107.926,108.181,108.09,107.699
"48","40","    Service industry machinery","B570RG3",22.186,22.298,22.409,22.563,22.506,22.446,22.452,22.238,22.165,22.012,22.046,22.115,22.07,22.053,22.048,22.03,22.049,22.017,22.041,22.071,22.057,22.173,22.235,22.201,22.161,22.055,22.102,22.213,22.285,22.385,22.491,22.589,22.664,22.835,22.981,23.212,23.414,23.562,23.733,23.815,23.951,24.17,24.412,24.52,24.764,25.044,25.222,25.491,25.744,25.933,26.139,26.241,26.213,26.218,26.344,26.427,26.502,26.644,26.803,27.004,27.372,28.133,29.213,30.812,32.351,33.103,33.612,34.068,34.582,35.15,35.854,36.353,36.96,37.669,38.196,38.709,39.434,40.04,40.673,41.169,41.745,42.345,43.286,44.299,45.689,47.113,48.223,49.319,50.386,51.359,52.248,53.12,53.886,54.293,54.643,55.23,55.518,55.904,56.292,56.64,56.942,57.427,57.766,57.906,58.257,58.945,59.341,59.664,59.848,60.322,60.698,60.921,61.386,61.578,61.654,61.827,62.585,63.224,63.959,64.818,65.331,65.955,66.554,67.142,67.813,68.405,69.065,69.646,70.362,70.493,70.839,71.211,71.529,72.156,72.504,72.825,73.029,73.509,73.943,74.225,74.476,74.841,75.342,75.677,76.278,77.001,77.572,77.998,78.29,78.63,78.967,79.225,79.606,79.864,80.113,80.395,80.219,80.473,80.802,80.983,81.379,81.436,81.444,81.735,81.839,82.068,82.191,82.162,82.59,82.704,82.992,83.274,83.479,83.722,83.849,84.091,84.3,84.562,84.676,84.606,84.954,85.458,86.25,87.143,88.076,88.571,89.294,89.685,90.142,90.589,91.473,92.982,94.226,95.064,95.531,96.197,96.59,97.401,98.973,99.994,100.107,99.891,99.907,100.095,100.203,100.542,100.928,101.3,102.087,102.888,103.543,103.736,104.269,104.318,104.27,104.334,104.473,104.577,104.627,104.893,105.052,105.202,105.442,105.666,106.103,106.171,106.238,106.369
"49","41","    Electrical equipment, n.e.c.","B670RG3",32.156,32.606,33.329,33.147,32.441,32.566,32.464,32.044,32.069,32.032,31.789,32.033,31.846,31.567,31.296,31.506,30.931,30.883,30.922,30.998,30.768,30.747,30.782,30.877,30.485,30.516,30.489,30.503,30.582,30.93,30.853,31.02,31.189,30.818,30.501,30.014,30.361,31.12,31.471,31.737,31.925,31.765,31.828,32.167,32.607,33.002,33.506,33.679,33.792,34.392,34.45,34.372,34.282,34.271,34.474,34.579,34.803,35.21,35.558,35.736,36.77,37.435,38.68,41.699,43.067,44.081,44.781,44.972,45.485,46.322,47.203,48.354,48.755,48.967,50.002,51.636,49.326,52.425,54.528,55.7,56.404,56.283,56.658,57.219,58.889,60.303,61.93,63.203,64.369,65.484,66.043,67.696,68.532,68.723,68.541,68.836,68.624,68.953,69.242,69.711,70.606,71.005,71.794,72.221,72.166,72.473,73.291,73.803,74.414,74.376,74.792,74.712,77.118,77.962,77.134,78.511,78.804,79.972,79.827,80.372,81.228,81.375,81.563,82.251,82.299,82.835,83.33,84.127,84.347,83.559,83.65,84.302,84.432,85,85.669,85.465,85.199,85.39,85.363,85.411,85.624,85.53,86.045,86.5,86.98,87.797,88.145,88.194,88.177,88.24,88.463,88.438,88.405,88.158,88.13,87.996,88.08,87.991,88.076,88.113,88.132,87.838,87.657,88.101,88.118,88.112,88.016,88.15,88.334,88.341,88.268,88.331,88.055,87.863,87.974,87.741,87.906,88.202,88.386,88.637,88.826,89.177,89.486,89.832,90.295,90.605,90.881,91.433,91.996,92.574,93.169,93.61,94.486,95.247,97.05,97.903,98.425,99.188,99.647,99.785,99.537,99.936,100.193,100.334,99.572,100.033,100.065,100.362,101.381,101.924,102.406,102.951,103.329,103.634,103.812,104,104.057,104.101,104.059,103.922,103.98,104.278,104.367,104.406,104.646,104.621,104.524,104.597
"50","42","      Household appliances","BA19RG3",33.428,33.605,33.47,32.932,32.721,32.491,32.52,31.873,32.063,32.05,31.808,31.805,31.554,31.419,31.248,31.25,30.523,30.482,30.605,30.569,30.522,30.499,30.293,30.055,29.948,29.519,29.106,29.008,28.77,29.066,29.118,29.34,29.385,29.342,29.109,28.707,28.742,29.088,29.234,29.305,29.454,29.243,29.044,29.153,29.48,29.577,29.782,29.772,29.813,30.214,30.246,30.241,30.25,30.326,30.751,31.011,31.373,31.936,32.385,32.606,33.607,34.266,35.539,38.189,39.503,40.431,40.98,40.914,41.058,41.525,42.231,43.621,44.66,45.922,46.933,47.47,48.34,48.911,48.839,49.054,50.005,50.684,51.589,52.207,53.527,54.923,56.098,57.006,57.868,58.43,59.861,62.405,60.637,64.255,66.052,67.081,66.996,66.502,66.206,66.458,67.194,67.33,67.682,67.592,67.28,67.782,68.757,69.318,69.741,69.507,69.664,68.848,70.412,70.905,70.249,71.963,72.635,72.928,73.17,73.844,74.967,75.574,76.083,76.519,76.935,77.32,77.936,78.356,79.125,79.084,79.035,79.456,79.473,79.935,80.33,80.098,80.47,80.968,81.493,81.49,81.8,81.967,82.24,82.622,83.383,83.648,83.893,84.482,84.669,84.933,85.179,85.452,85.102,84.72,84.489,84.3,84.527,84.961,85.242,85.225,84.97,85.221,85.162,85.434,85.591,85.519,85.038,84.59,84.488,84.744,84.866,85.365,85.41,85.453,85.623,85.456,85.723,85.947,86.618,86.568,86.581,87.818,88.259,88.95,90.14,90.353,90.25,90.446,91.077,91.234,91.758,92.802,93.875,94.247,94.656,95.046,96.14,96.962,98.56,99.576,100.103,100.091,100.241,99.565,99.407,99.869,100.091,100.077,100.925,101.447,102.09,103.471,104.271,104.462,104.678,105.867,106.368,106.007,106.013,105.811,104.96,104.169,104.342,103.945,104.409,103.91,103.408,104.366
"51","43","      Miscellaneous electrical","BA20RG3",29.393,30.191,31.787,31.907,30.761,31.145,30.936,30.704,30.619,30.568,30.332,30.719,30.578,30.229,29.91,30.237,29.782,29.733,29.717,29.867,29.51,29.487,29.701,30.041,29.462,29.827,30.075,30.166,30.466,30.837,30.68,30.807,31.079,30.43,30.053,29.521,30.176,31.241,31.733,32.147,32.368,32.263,32.548,33.056,33.56,34.165,34.866,35.161,35.324,36.054,36.131,36,35.835,35.757,35.765,35.738,35.833,36.091,36.342,36.484,37.501,38.145,39.319,42.47,43.828,44.864,45.635,45.981,46.725,47.792,48.763,49.692,49.591,48.975,50.023,52.441,48.334,52.801,55.991,57.535,57.985,57.461,57.591,58.131,59.958,61.388,63.129,64.46,65.635,66.918,67.33,68.802,70.201,69.577,68.946,69.089,68.872,69.385,69.805,70.323,71.244,71.696,72.578,73.118,73.118,73.381,74.167,74.677,75.33,75.323,75.791,75.864,78.447,79.36,78.495,79.81,80.037,81.356,81.15,81.663,82.467,82.544,82.677,83.413,83.392,83.955,84.431,85.293,85.421,84.502,84.615,85.308,85.46,86.048,86.767,86.565,86.179,86.312,86.171,86.228,86.413,86.259,86.829,87.297,87.714,88.66,89.033,88.95,88.88,88.889,89.107,89.004,89.062,88.846,88.867,88.742,88.79,88.584,88.627,88.679,88.776,88.33,88.119,88.602,88.59,88.594,88.596,88.891,89.136,89.076,88.954,88.91,88.559,88.316,88.417,88.17,88.313,88.624,88.693,89.007,89.227,89.407,89.69,89.972,90.304,90.63,90.977,91.598,92.147,92.81,93.421,93.742,94.584,95.422,97.492,98.426,98.839,99.585,99.846,99.825,99.429,99.902,100.181,100.488,99.598,100.065,100.032,100.416,101.472,102.013,102.46,102.853,103.159,103.484,103.657,103.682,103.667,103.774,103.724,103.598,103.812,104.3,104.374,104.496,104.696,104.748,104.718,104.642
"52","44","    Other","B286RG3",23.558,23.514,23.432,23.374,23.284,23.368,23.402,24.06,23.45,23.451,23.745,23.284,23.778,23.735,23.525,22.925,23.523,23.481,23.539,23.876,23.71,23.868,23.898,23.408,23.824,23.865,23.883,23.634,23.786,23.99,24.153,24.81,24.453,24.44,24.506,24.885,24.912,25.032,25.266,25.428,25.603,25.849,26.075,26.298,26.449,26.754,26.931,27.286,27.473,27.518,27.533,27.592,27.743,27.949,28.112,28.184,28.343,28.67,28.841,29.063,29.783,30.902,32.742,34.175,35.043,35.51,35.743,36.549,37.213,37.722,37.915,37.986,38.277,38.244,38.352,38.584,39.63,40.579,41.373,42.309,43.075,43.97,45.131,46.27,47.745,49.122,50.706,52.504,53.854,55.366,56.296,57.581,59.271,59.66,60.032,60.524,61.122,61.333,60.909,61.325,61.522,62.032,62.391,62.318,62.254,62.425,63.101,63.361,63.644,64.33,65.085,65.168,65.376,65.475,66.184,67.17,67.224,67.742,68.823,69.75,70.344,70.755,71.311,72.142,72.812,73.1,74.014,74.7,75.251,75.492,75.858,76.284,76.422,76.829,77.143,77.282,77.726,78.275,78.646,78.935,79.117,79.554,80.067,80.454,80.922,81.247,81.639,82.165,82.454,82.806,83.133,83.454,83.827,83.651,83.17,83.575,83.861,84.029,84.252,84.256,84.332,84.546,84.638,84.915,85.204,85.302,85.409,85.679,86.134,86.316,86.35,86.674,86.613,86.77,87.149,87.33,87.479,87.845,87.995,88.255,88.228,88.769,89.447,90.03,90.465,91.09,91.448,92.074,92.92,93.348,94.196,94.831,95.327,95.626,95.663,96.415,97.095,97.749,99.223,100.145,100.211,100.03,99.771,99.988,99.905,99.951,100.132,100.068,100.279,100.954,101.467,101.725,102.362,102.014,102.287,101.923,101.918,102.335,102.749,103.074,103.355,103.487,103.515,103.747,103.764,103.994,103.986,103.926
