"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"23","14","Q1HOS1 B   Housing","Q1HOS10",794567,796338,797214,798170,800193,801803,802608,804239,806252,807097,808406,809181,809664,811888,813186,816830,817625,819185,822144,823623,825223,825777,828223,827337,829259,828967,830880,830538,830930,832712,833758,833597,833617,835469,836305,836808,837764,836989,836184,837311,837251,839223,841055,843390,844869,846550,848392,852196,855447,860771,863268,864274,864797,867313,869860,872839,876835,877791,879270,879492,881786,882430,884131,884715,885772,887090,887704,888721,890492,891327,893129,893169,893803,894468,897215,897628,898262,899842,901322,902912,904140,906374,907823,909484,912111,914124,915482,917324,919237,921451,923121,926040,927117,928727,931123,933840,937423,939839,940845,943029,945495,948766,950890,952651,953728,955892,957784,959777,966248,969459,972398,973042,975427,977027,979976,981697,983690,985834,988159,989668,992778,995174,999280,1000840,1003749,1005329,1007342,1009526,1012817,1014498,1017306,1018835,1022972,1025025,1026887,1029212,1031507,1033409,1035945,1038491,1035190,1040031,1042698,1045325,1047972,1051626,1053699,1056970,1058570,1061529,1064287,1065998,1066813,1069672,1071111,1074472,1075579,1078226,1080108,1081276,1082202,1084799,1087727,1089237,1089167,1090817,1092448,1095155,1096564,1098386,1101405,1102019,1103931
"24","15","Q1HOP1 B   Household operation","Q1HOP10",253938,259462,262770,266894,268704,267417,267580,272804,272699,271782,263578,268782,267619,258112,265052,268060,279171,272937,274126,270756,272804,267725,276771,265099,266824,264530,278468,279338,275164,275554,277797,274403,285108,280442,289290,281948,272808,293897,289540,284808,280583,293117,291646,296292,298836,297724,291334,302249,301824,301906,297888,297943,303143,315412,302324,305546,303580,305359,302242,302620,301411,307629,298836,308834,311948,312057,319219,324314,314511,311889,321966,321969,323183,329460,328266,326772,329889,327486,320733,327404,322718,328812,332194,330333,335202,331968,326308,339501,336954,332659,341011,338772,343578,357871,345399,355102,341444,352312,356923,350358,359365,365896,362096,363341,365030,356401,353046,358819,363325,357657,367378,368623,369286,375364,380576,379729,379487,377537,368685,374884,376456,378481,374084,380291,389107,396289,388713,394109,394807,394077,399375,415530,400869,395849,394534,394947,388300,386587,386724,392330,387968,387488,383712,383548,388198,388331,391171,396453,401271,397132,395794,394963,393379,395770,395767,395388,395603,401595,392732,392388,395642,392107,395735,398794,395891,395579,397522,400978,404318,406264,397670,399531,404306
"25","16","Q1GEL1 B     Electricity and gas","Q1GEL10",105953,113388,114540,118287,119223,118046,116887,120591,123965,121288,115468,121176,120353,112403,119044,121030,131247,124164,124591,120745,122496,117257,126060,113625,114409,111367,124449,124314,119036,118311,119624,115521,125708,120704,129568,122066,112971,133703,128483,122832,117678,129000,126431,130155,131949,130700,123848,133649,132257,131253,126131,125893,130330,141552,127378,129453,126405,127550,123699,123363,123075,128709,119021,128407,130959,130038,136050,140344,129206,125998,135401,134632,135632,141195,138948,136396,138178,134865,127404,133756,128301,133394,135956,132822,136152,131724,124856,137403,133497,127524,133603,129605,132836,145623,131714,140218,125647,135939,139881,132763,141108,146857,140785,140851,141662,132684,128428,133536,137885,130106,138435,137706,136542,141300,144892,142849,141758,140183,130380,135685,135460,136227,130042,134827,142383,148667,140404,145150,145749,144689,149867,166135,153735,149706,147785,145766,137751,135562,135986,141891,138508,138110,134519,134706,139305,139558,142224,145644,149137,146177,145831,145907,145425,147847,148111,147691,147398,152885,143812,142906,145341,140973,143946,146401,143244,142784,144468,147532,150389,151875,142343,143360,147328
"26","17","Q1HLU1 B     Other household operation","Q1HLU10",148535,146513,148685,149026,149902,149796,151138,152644,149115,150914,148552,147992,147653,146175,146424,147439,148298,149164,149941,150418,150724,150889,151129,151904,152836,153577,154475,155475,156568,157689,158627,159335,159853,160209,160149,160342,160290,160648,161495,162447,163422,164550,165688,166589,167334,167480,167983,169081,170076,171165,172263,172537,173319,174437,175429,176592,177641,178285,178966,179665,178734,179386,180141,180881,181479,182478,183720,184581,185711,186237,187061,187817,188049,188836,189848,190857,192210,193064,193669,194061,194772,195818,196657,197887,199422,200614,201803,202531,203835,205427,207766,209467,211066,212665,214023,215272,215904,216693,217456,217816,218702,219645,221691,222861,223760,223755,224465,225317,225618,227363,229049,230964,232714,234192,235920,237030,237840,237423,238092,239183,241031,242337,243951,245503,246886,247858,248435,249035,249097,249549,249445,248579,246584,245686,246357,249090,251062,251676,251244,250494,249630,249563,249447,249067,249013,248870,248978,250783,252044,250886,249882,248956,247848,247772,247510,247579,248018,248406,249020,249620,250316,251476,251952,252419,252888,253048,253224,253473,253784,254164,255724,256536,257121
"27","18","Q1TOT1 B   Transportation","Q1TOT10",195429,197138,196311,196387,197135,196547,196125,195740,195755,195143,193946,192624,189435,188141,186260,187040,186807,185686,185890,184975,184422,184940,184597,187923,188243,189353,190087,190410,191211,194575,197948,196824,197718,196212,197761,200054,198027,198213,198612,200039,200502,201487,201915,203450,205314,205500,207530,208916,210160,211605,214028,214794,216568,217619,219317,220319,221909,223476,225052,225690,226963,226767,227050,227979,229197,230490,231282,233851,235097,235954,237631,239023,240395,242836,243576,244581,246651,245655,247749,248874,250400,251772,250877,256641,257824,259199,261266,261048,261747,262833,264729,264668,266031,265105,265929,267977,267493,268428,269375,270980,271804,272555,273150,272963,273677,273942,274090,275573,277920,279388,280443,280839,281855,282918,284328,285915,286131,287637,287648,285840,287765,289518,292407,291111,292238,292209,291662,290896,292128,291560,292812,290744,293194,292259,291630,292766,291950,291950,292381,292413,281069,284366,285805,285004,287118,287637,288286,286926,286440,286274,284876,283309,282473,281378,280900,281619,283105,281494,280309,279016,278931,278369,278040,276819,276860,275564,275555,274102,274154,275212,275331,275986,275092
"28","19","Q1TMD1 B   Medical care","Q1TMD10",778601,779772,783961,788531,793418,799877,804323,805165,805997,808841,810535,812363,811542,814519,813133,818976,815392,821399,824254,827745,830281,834922,837931,844143,847942,849626,856937,859288,861671,864269,866219,868735,871775,870933,871395,874742,874454,878274,874444,875317,874937,876108,879301,878141,876837,878736,880482,879311,881293,882844,883532,884178,888173,884189,887351,887639,889887,890185,892465,893471,897856,899601,902825,901901,905290,905392,906306,909305,909951,912488,911399,914439,914973,909120,916636,919716,918731,924234,921606,923125,925908,929594,930077,936197,929040,934513,934390,937922,938579,940684,946362,945869,949597,948293,953252,955162,963315,968932,967063,966683,969445,968716,971755,972310,973193,974066,975791,976694,977269,977937,978666,981582,983533,985905,990022,992733,994612,998648,1002241,1004511,1007160,1010548,1014481,1018835,1021730,1025386,1028887,1031998,1035377,1039453,1042318,1045593,1047442,1050851,1054968,1058459,1062762,1066212,1073400,1077219,1082323,1087107,1092005,1098259,1105580,1110519,1115027,1120961,1124802,1130285,1132985,1137555,1142709,1149620,1155093,1159621,1165022,1168719,1174274,1177693,1182067,1187591,1192079,1197736,1200827,1204575,1212440,1217307,1220090,1225388,1229075,1236529,1242372
"29","20","Q1REC1 B   Recreation","Q1REC10",165866,167169,169417,170372,170018,170944,170992,172178,171585,171955,173543,173125,168513,171137,171384,169849,170209,171475,171928,170681,172009,172237,173015,176915,179496,180250,180937,180864,183351,183204,183960,184722,185672,186935,188783,189417,191673,191249,191388,193690,193017,194589,197239,198226,198468,198905,197502,198701,199592,200322,201387,202154,202948,205030,207527,206526,206280,206950,209102,209727,210730,212608,215629,215240,218832,220259,219181,221788,222054,222912,225605,225415,224044,224763,227102,226472,226909,229316,233385,229404,229350,230378,230515,231982,232106,235910,234971,235899,236773,235231,235448,236084,234582,236830,236202,237790,242356,240714,241567,242190,242391,243577,245634,247263,246289,248443,248953,250028,249873,251743,253819,255777,255192,256909,258299,260048,263560,262398,263766,262436,260727,264313,267656,267621,267734,267565,271487,269523,269311,271259,272246,269740,274534,272241,272986,272265,273381,272383,274202,276200,271779,275127,278722,279331,281024,282244,283905,284594,285091,282437,284930,285233,285705,286217,286622,289774,287977,286359,288237,288393,289664,292122,290917,291242,293557,294542,294831,295083,295201,299145,302772,298287,299529
"30","21","Q1OSR1 B   Other","Q1OSR10",617368,615750,617746,620574,623611,624595,626543,628643,625181,623346,619799,619364,617169,628804,631481,637091,631850,629627,631169,634253,630753,632039,634470,636580,644724,643996,645812,644072,648357,651393,655319,654468,659490,659472,663000,668411,666973,669688,672488,673036,672639,679280,679951,685419,687292,692721,698747,692598,704943,701244,691255,694386,696070,690915,690773,698501,698047,697101,694188,696808,691719,700346,704744,700137,701869,713958,703354,704669,704725,707062,708623,712463,719132,727702,726463,726520,724477,727598,737133,736802,742535,728837,732347,738353,743698,750632,749591,748494,759911,758691,770118,773788,773032,779956,782387,785527,786842,798184,805440,807190,812146,826666,829325,833364,840458,836324,843277,843883,853172,853891,859462,869451,872090,871249,879762,883924,882827,887244,905019,913305,920362,936462,945325,934248,933009,937370,948314,953564,957622,961359,959420,964225,955258,948248,948768,963487,967602,963213,961160,964083,964812,974025,975775,973183,972672,974772,974867,977232,984080,988734,1001902,989794,983437,984742,986757,978925,980628,973174,975870,974148,981432,983560,984724,981148,987098,988857,992584,996746,1008240,1001684,1006064,1006934,1009271
"31",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","Q1NRG1 B   Energy goods and services","Q1NRG10",259701,276568,275322,277652,277980,277642,278600,285543,280508,277247,272108,275443,275419,267244,274010,276812,289691,283190,285443,278663,281589,275218,282015,272637,274268,267187,287465,288436,283916,279584,282855,278067,291891,284438,294857,288462,273263,300528,295476,287117,286122,295218,293715,301144,303216,298255,293688,303454,307247,303106,292677,293866,301174,314515,299343,300438,295242,297046,288918,294863,294010,303337,291050,301646,305610,305808,310150,314334,301338,296778,310471,308650,311301,315104,318657,313123,314833,314000,304964,312055,302868,310903,313357,308295,310659,310006,304355,317096,312309,309045,315982,308908,312881,325801,315071,322875,308141,318941,328620,320648,327250,331783,326303,329517,325998,318569,316976,324251,329353,321318,332413,332781,329621,332332,338245,332968,326316,333795,320950,335613,327498,327177,321107,328884,334398,332831,329309,336825,332520,335094,342747,368998,352463,347237,346634,343156,327287,316280,330682,332249,327702,332058,337170,336300,339242,344110,345238,344475,347629,342158,341693,343899,337388,341867,350776,354144,351857,356095,345325,336581,339483,332132,336795,345971,335124,339996,352349,356192,357143,353501,342466,344083,351040
"33","23","Q1XEF1 B   Personal consumption expenditures excluding food and energy","Q1XEF10",3742836,3695986,3704754,3710671,3709028,3720315,3730343,3724753,3725247,3713521,3710891,3695219,3653192,3690507,3731767,3718836,3709411,3717849,3736699,3735658,3740096,3729630,3741685,3761301,3807657,3822397,3813904,3818397,3844315,3869739,3875000,3887767,3907438,3918835,3912205,3951383,3962725,3943273,3937958,3974068,3990670,4000040,4024040,4020314,4038725,4058451,4075437,4083711,4103930,4131766,4136259,4155492,4138725,4151546,4163985,4194889,4202834,4231327,4241519,4247601,4242724,4234779,4269354,4250998,4281573,4324203,4305135,4326450,4351546,4336094,4367272,4397463,4372039,4408641,4429737,4454011,4458011,4467490,4487600,4503545,4518888,4526175,4536531,4562175,4577737,4601298,4618613,4607380,4619545,4646230,4691216,4725736,4719216,4736695,4773188,4792804,4803544,4833023,4847380,4871927,4910448,4935215,4943270,4970119,5000639,5028584,5048310,5080091,5076529,5109242,5133296,5161899,5195104,5213077,5224858,5255214,5271323,5274227,5311761,5357515,5372583,5427049,5459596,5434281,5452364,5450939,5477788,5499980,5544747,5540911,5539541,5553295,5547158,5546391,5550007,5581295,5619815,5623267,5637020,5668692,5608363,5747047,5729404,5724417,5752910,5796088,5802280,5827540,5803814,5835759,5873732,5866499,5838773,5856636,5877787,5924088,5912252,5897567,5930280,5945841,5984362,6019485,6060635,6097950,6097348,6092197,6123210,6163375,6153786,6165512,6199046,6196416,6226717
"34",NA,"Real PCE by Major Type of Expenditure (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","Q1PCE1 A     Personal consumption expenditures","Q1PCE10",4768784,4743579,4758944,4769660,4766829,4782532,4791496,4793720,4792641,4767032,4763325,4744522,4699705,4728752,4785700,4771614,4783274,4783408,4804772,4796820,4798841,4780510,4801807,4805513,4871222,4873783,4879849,4883623,4907009,4918533,4933427,4945423,4976694,4993205,5001158,5033776,5026296,5034787,5020769,5054062,5071180,5090387,5114447,5119097,5148278,5157848,5171731,5189321,5203137,5243977,5243843,5264600,5254154,5285088,5281246,5314808,5321143,5353290,5355514,5367443,5365556,5354368,5381798,5372228,5410440,5452292,5436521,5463749,5476284,5455122,5498793,5534445,5507757,5549271,5576701,5598064,5604534,5612217,5624752,5644903,5652384,5670176,5686081,5706636,5728673,5751857,5766818,5764190,5768503,5794922,5852948,5880983,5878085,5905245,5931057,5957947,5959093,6001281,6030261,6048794,6096037,6131419,6133238,6166733,6196993,6220109,6242888,6283324,6276315,6311091,6346540,6379697,6416292,6432938,6451202,6482136,6496895,6508554,6539892,6621911,6606814,6668143,6708781,6688496,6708579,6712960,6735132,6761753,6807041,6810815,6813309,6850713,6841682,6830292,6829147,6859069,6885286,6872279,6900786,6940751,6871133,7015019,6999585,7010031,7044133,7092858,7100609,7128577,7107618,7137540,7176157,7168879,7132486,7158500,7195701,7242540,7246718,7229803,7255682,7261141,7308721,7342081,7397276,7449371,7433062,7438588,7489808,7530177,7538533,7551743,7577015,7575465,7608219
"36","25","Q1FTB1 C Food and tobacco","Q1FTB10",855319,859765,867825,870495,868648,873165,870716,871469,875062,864152,868417,860408,855650,855470,864443,860237,868548,866490,866811,866621,861522,859956,863098,856473,875714,870666,866400,864613,866300,855801,862566,866189,864413,877250,881054,879659,875845,877712,873958,878786,880070,881305,882590,884055,893149,887237,888411,888672,878324,895979,901409,901630,901379,907612,905073,906608,910061,911978,911597,911918,915943,903507,907722,906889,910874,909549,909108,911185,910232,908796,908646,915863,912350,913544,916585,918864,919707,918703,919556,916937,917639,920680,923973,923671,927897,928058,931209,927686,923993,926612,933187,932926,932875,930266,929232,929081,932614,935545,941678,942210,944820,951283,949356,952819,954947,955870,959745,961642,953221,960939,962635,966339,971829,967744,968708,973546,977992,979839,985098,1007953,985550,992616,1006748,1004088,1000666,1008003,1006758,1003546,1008344,1013363,1009187,1005604,1019285,1013895,1009458,1011757,1016123,1011385,1010793,1017237,1012128,1012951,1010291,1026009,1028790,1029783,1030115,1033236,1032935,1035816,1036709,1034491,1031961,1035615,1042842,1040172,1057355,1050670,1055288,1053802,1059734,1065204,1074308,1079487,1075131,1080179,1087567,1083973,1099812,1104941,1108544,1107671,1102622
"37","26","Q1FXA1 C   Food excluding alcoholic beverages","Q1FXA10",672476,677024,683474,684756,683923,687303,685360,685319,687597,677546,680796,674640,675383,678795,687124,684348,691916,689222,690292,690259,686552,684976,686675,682764,698481,692904,688830,688071,689459,681033,686960,689532,687785,699110,702857,703184,700343,702041,698914,703535,704694,705462,706507,708116,716819,711349,712631,713586,703519,718787,722878,723621,722918,728911,726217,727809,730406,732545,732284,732324,735941,725409,729303,727581,731451,730014,728944,731165,729303,728438,728503,734431,730642,732520,734725,736758,738097,736342,737027,734545,735835,738701,741216,741020,744980,744906,746572,744564,741404,742906,748532,748303,748336,745821,744841,745029,747960,749895,756386,757129,759538,765653,764216,767099,769842,770805,774235,776390,770561,777509,778897,781542,787617,784531,785878,790393,794386,795545,800656,821256,800411,806045,818309,817158,813108,820358,818995,816268,820701,825118,821583,819795,831046,826923,823518,825747,829274,825012,825282,830736,826482,827617,825233,839529,842060,843032,842901,845686,845686,848225,849303,848511,846110,849989,856594,852895,870197,863599,867331,866277,871707,876826,884730,888372,884730,889768,896822,893597,907477,912042,915936,915593,909796
"38","27","Q1ALC1 C   Alcoholic beverages","Q1ALC10",99535,99437,100739,102190,101512,102837,102810,103833,105128,104690,105863,105121,101134,98039,98542,97263,97962,98675,98029,97717,96159,96084,97037,94181,96214,96242,95638,94715,94999,93506,94163,95362,95365,96450,97292,96415,95009,95039,94304,94786,94961,95464,95729,95585,95720,95479,95275,94472,94258,95973,97035,96475,96857,96828,96985,96804,97487,97119,96940,97169,97426,95852,95978,96824,96742,96819,97391,97102,97978,97385,97089,98086,98391,97599,98284,98394,97816,98550,98646,98543,97895,97942,98609,98485,98587,98811,100213,98831,98431,99534,100342,100381,100388,100477,100550,100318,100893,101954,101581,101561,101911,102333,102141,102905,102528,102742,103450,103592,101754,102934,103618,104917,104578,103870,103720,104208,104822,105712,105913,108061,106343,107719,109587,108200,108887,109037,109224,108811,109259,109918,109389,107738,110402,109289,108373,108517,109462,109064,108290,109401,108602,108395,108176,109740,110028,110134,110668,111123,110911,111369,111296,109958,109911,109848,110654,111758,112146,112218,113349,113083,113816,114404,115856,117608,117028,117264,117796,117545,119856,120662,120608,120267,121172
"39","28","Q1TOB1 C   Tobacco products","Q1TOB10",89535,89121,89153,88983,88456,87898,87249,86911,86824,86904,86409,85005,82364,81435,81135,81132,80732,80715,80525,80774,81308,81518,82127,82694,84122,85127,85961,85880,85822,85415,85397,84994,85009,85111,83790,82633,83429,83578,83855,83289,83164,83064,82983,82937,82922,82876,82965,83128,83517,83714,83870,83932,84049,84166,84288,84404,84519,84649,84748,84832,84865,84948,85044,85170,85280,85392,85506,85619,85732,85844,85957,86072,86198,86306,86408,86501,86588,86668,86745,86810,86865,86908,86949,86985,87038,87047,87034,86993,86940,86870,86782,86675,86549,86384,86236,86084,85979,85782,85543,85239,84936,84609,84252,83883,83496,83155,82684,82148,81347,80825,80386,80093,79769,79477,79215,78991,78801,78583,78511,78522,78792,78837,78833,78719,78662,78602,78542,78472,78395,78340,78229,78090,77854,77710,77590,77520,77426,77336,77249,77165,77084,76998,76929,76868,76843,76781,76710,76621,76538,76452,76364,76273,76180,76082,75983,75880,75600,75392,75202,75049,74879,74713,74549,74391,74237,74077,73939,73812,73601,73409,73222,73046,72868
"40","29","Q1CAJ1 C Clothing, accessories, and jewelry","Q1CAJ10",254046,249338,249564,245646,247786,250199,250561,247282,245603,244293,244896,243495,240311,244809,247770,249529,247687,245587,246972,246349,240974,240240,240089,239220,248274,253764,250390,253780,254931,257583,256896,261711,263712,263946,263196,264970,269063,261267,259798,265049,269225,271345,273866,270404,272989,274422,274497,274636,276299,280221,283016,281837,277788,280038,281864,286874,285461,292320,292495,294563,294063,289379,293301,292265,296635,297806,300922,296222,304391,297461,304261,304713,300593,308409,308464,311684,312394,314260,313438,319015,319504,320555,317638,320008,317987,320091,320297,316784,316070,320980,324346,328494,328375,330058,333103,332940,336120,341872,344226,347203,346512,349307,349446,346989,347695,354296,356686,359548,365868,369678,373497,370774,375267,376458,376597,378816,380186,379991,380547,384219,384286,387779,394512,392150,398501,395869,399216,400240,405992,400855,401859,402177,403173,399101,392646,396719,399458,396175,400930,405626,395476,402733,404201,411045,415050,419452,413796,419174,412021,419262,417539,417329,412593,423446,421544,424275,428662,425041,427074,427050,435366,437776,442642,441328,440245,440713,444714,448882,453924,459723,456722,449688,449510
"41","30","Q1PCR1 C Personal care","Q1PCR10",68670,69081,68885,68259,68160,68150,68524,68863,68584,68314,68625,68133,67852,67976,68825,68010,68286,68247,68100,68163,68175,68256,68487,68698,70184,70135,69729,69976,70659,70756,70573,71271,71383,71994,71653,71534,71745,72143,71488,71933,72123,71931,72040,72050,72841,72820,72966,73537,73192,73264,74134,74070,74282,74946,75199,75893,76134,76376,76518,77160,78136,77637,78532,78797,78919,79421,79584,79514,80331,79716,79996,80600,79686,80644,81497,81924,82235,82840,83056,82760,83304,84615,85129,85914,85687,86983,87629,86840,86901,88114,89043,89087,89129,88801,88843,88888,89148,88880,88918,89265,89248,89785,90190,90928,90379,90537,91429,91573,91110,91435,91355,91114,91476,90999,90792,90916,91461,91461,91980,94904,92592,92731,93259,92960,93635,93417,93438,93076,94013,94184,93873,93286,92892,92134,91632,91507,92810,92065,92271,92551,91338,92759,92836,93909,94267,94470,94155,95467,94437,94213,94488,94538,94453,94891,94309,94095,95249,95086,94772,94649,95952,95904,97371,97353,97749,97733,97894,97332,98206,98880,98975,98112,98540
"42","31","Q1HOS1 B Housing","Q1HOS10",794567,796338,797214,798170,800193,801803,802608,804239,806252,807097,808406,809181,809664,811888,813186,816830,817625,819185,822144,823623,825223,825777,828223,827337,829259,828967,830880,830538,830930,832712,833758,833597,833617,835469,836305,836808,837764,836989,836184,837311,837251,839223,841055,843390,844869,846550,848392,852196,855447,860771,863268,864274,864797,867313,869860,872839,876835,877791,879270,879492,881786,882430,884131,884715,885772,887090,887704,888721,890492,891327,893129,893169,893803,894468,897215,897628,898262,899842,901322,902912,904140,906374,907823,909484,912111,914124,915482,917324,919237,921451,923121,926040,927117,928727,931123,933840,937423,939839,940845,943029,945495,948766,950890,952651,953728,955892,957784,959777,966248,969459,972398,973042,975427,977027,979976,981697,983690,985834,988159,989668,992778,995174,999280,1000840,1003749,1005329,1007342,1009526,1012817,1014498,1017306,1018835,1022972,1025025,1026887,1029212,1031507,1033409,1035945,1038491,1035190,1040031,1042698,1045325,1047972,1051626,1053699,1056970,1058570,1061529,1064287,1065998,1066813,1069672,1071111,1074472,1075579,1078226,1080108,1081276,1082202,1084799,1087727,1089237,1089167,1090817,1092448,1095155,1096564,1098386,1101405,1102019,1103931
"43","32","Q1HHO1 C Household operation","Q1HHO10",475572,481772,486254,487325,487397,486771,486663,492468,490195,483894,478910,482297,481147,472292,482672,485728,496546,489037,491720,487850,488009,482578,491101,479931,486930,485110,497374,500380,497884,499165,500589,499344,510968,508738,516125,513219,506365,525109,518643,517168,515391,528166,530338,533381,537243,536207,531021,542336,541091,544911,544580,543285,549233,564274,551161,558390,558512,561699,558440,561814,559131,562137,553190,564640,571776,572668,580781,583975,576070,571315,588190,589319,581148,593469,594613,595152,600345,598051,592189,597957,596317,604122,608588,607840,610149,608581,604618,616522,613868,612170,622291,622190,627642,642445,632742,642020,629706,640366,646358,638474,649026,659758,655572,657363,660556,654090,654075,660736,664649,663886,679085,675949,681732,688795,693132,696275,699066,698023,691248,704331,702584,704835,702634,707137,718566,725946,718163,724112,725974,725816,729571,746006,733937,724910,725708,723644,719364,717163,719954,727830,716271,721587,719357,722587,729161,733325,735117,743323,747567,743100,740950,743424,742165,747754,748848,750969,752120,751948,747884,746179,759500,760903,767412,774216,773806,776590,779374,786365,791299,795183,788480,791817,795637
"44","33","Q1MED1 C Medical care","Q1MED10",886453,888621,891728,896407,901109,906762,912769,914377,914401,917910,920371,919847,918641,923941,922589,927340,923442,928644,931410,934736,936539,941278,944714,951427,956507,957117,963549,966254,969434,971627,973601,976841,980204,980277,979181,983079,983689,988172,984432,985041,984822,986332,989573,988915,988233,990816,993228,993070,994507,996664,997639,998881,1003304,1000185,1003377,1004461,1007312,1007970,1010626,1012551,1017802,1018972,1023090,1023175,1027244,1027817,1028243,1032410,1033909,1036625,1036199,1040695,1040110,1035809,1045044,1048748,1048870,1054949,1053305,1055705,1058958,1063916,1065451,1072981,1065062,1072055,1073480,1077281,1077257,1082935,1089855,1090756,1095983,1095691,1102501,1105973,1117072,1120216,1120252,1121739,1124102,1129414,1131254,1134678,1134470,1136395,1143730,1143559,1147994,1148579,1148420,1154013,1158496,1158167,1158204,1167841,1171240,1178745,1188492,1196374,1185409,1186749,1199164,1211567,1215015,1215819,1221436,1225907,1231621,1237201,1238992,1251212,1242817,1248690,1251906,1254599,1266868,1265856,1278259,1286166,1288505,1300250,1301870,1311836,1320072,1323325,1327687,1334181,1336155,1347327,1349045,1350592,1360655,1367174,1375239,1380892,1387727,1392418,1400057,1404248,1407184,1419830,1423412,1431307,1433622,1438702,1451544,1457769,1460304,1461571,1471195,1481015,1488021
"45","34","Q1PBU1 C Personal business","Q1PBU10",328753,326149,326607,327874,329637,329917,330311,331658,330359,332004,332467,334349,333340,342705,345788,352381,349573,348856,350069,353142,350279,352144,354241,355594,360538,357999,355422,355718,355966,356117,358053,358187,359384,360285,362252,366894,369056,375460,375094,376619,377153,381390,380991,384409,383293,391358,388161,389029,393132,389811,388215,383698,383304,379811,377805,380641,379617,377972,377951,379584,378059,379439,382269,384539,385978,387094,388733,388426,391245,389466,391838,396447,396755,398733,402906,399062,402237,402464,399898,400065,405612,403844,406873,409504,413299,417849,417089,416000,424788,421240,429710,433796,433203,437969,435478,435737,434378,441311,443699,447726,449139,457716,455505,459306,463646,459608,465274,469721,478557,478034,480185,489107,491959,490320,496326,499054,498331,501620,517362,522898,527966,539438,542209,535012,528607,531664,539184,542537,544182,546036,542807,549540,542257,536796,537481,540419,541944,539443,535998,536424,537146,541993,545007,542764,540430,542586,544446,544715,550241,551557,566004,555390,547249,551470,555503,544564,543837,541060,541324,540591,553923,556042,555357,552818,561891,562921,569411,570118,577169,574269,575487,575643,573870
