"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115"
"31","23","      Paper manufacturing","PK3223",92.163,91.457,90.749,90.079,90.225,90.453,90.55,91.201,92.09,92.421,93.293,94.297,94.662,94.716,94.621,94.243,94.275,94.056,93.921,93.509,92.841,92.153,91.662,91.397,91.078,90.9,91.44,91.911,92.332,92.93,93.164,93.758,94.684,95.615,95.82,95.945,96.478,96.891,98.3,99.77,100.904,101.193,100.955,100.933,101.195,101.331,101.284,101.173,101.039,101.081,101.007,101.114,100.726,100.699,100.301,99.504,99.478,99.18,98.777,98.944,98.455,97.966,97.649,97.918,97.31,97.503,97.501,97.944,98.411,98.874,99.201,99.117,99.048,99.117,98.919,98.959,99.12,98.952,98.668,98.634,98.506,98.261,98.42,98.448,97.808,97.986,98.057,98.686,99.557,100.639,101.371,102.357,102.917,103.454,103.762,104.095,104.565,105.065,105.546,105.762,105.773,105.611,105.218,104.761,104.639,104.754,105.684,105.736,106.471,107.661,109.032,108.894
"32","24","      Printing and related support activities","PK3233",95.061,95.053,94.985,95.178,95.149,95.244,95.498,95.664,95.68,96.615,96.752,96.768,96.951,96.99,97.211,97.485,97.398,97.234,97.435,97.483,97.558,97.673,97.626,97.569,97.185,97.2,97.427,97.495,97.536,97.56,97.641,97.797,97.753,98.062,98.164,98.263,98.383,98.553,99.058,99.537,99.634,100.32,100.494,100.595,100.657,100.954,100.847,101.01,101.014,101.181,101.338,101.793,101.574,101.557,101.63,101.357,101.418,101.36,101.294,101.035,101.221,101.222,100.899,101.043,101.021,101.148,101.233,101.057,101.015,101.004,101.014,101.076,101.045,101.287,101.285,101.351,101.407,101.402,101.223,101.341,101.352,101.278,101.283,101.19,101.327,101.263,101.471,101.911,101.877,101.975,102.367,102.349,102.848,102.948,103.184,103.23,103.662,103.473,103.739,103.76,103.362,104.173,104.645,104.937,105.47,105.619,105.722,106.133,106.824,107.422,107.632,107.602
"33","25","      Petroleum and coal product manufacturing","PK3243",84.16,83.706,80.832,76.638,73.067,72.962,71.653,74.926,73.838,73.493,72.759,72.382,67.387,64.5,61.308,60.972,60.148,59.166,59.165,55.676,54.618,56.74,55.491,52.143,54.166,51.931,56.048,66.311,64.301,63.897,69.729,74.267,75.693,74.561,78.856,86.662,88.126,96.623,103.572,94.417,91.934,102.074,101.141,97.441,104.018,104.154,108.664,108.861,104.876,103.417,98.309,102.169,103.34,99.381,88.647,89.988,96.464,81.134,77.328,72.246,72.774,72.959,79.914,87.825,82.805,85.395,89.173,89.58,93.693,101.043,98.31,100.609,110.678,127.363,129.326,102.781,91.954,101.239,104.574,108.15,105.579,103.21,106.664,116.316,125.139,120.518,118.003,122.554,125.736,127.151,135.052,135.789,138.487,150.682,158.26,149.472,143.963,146.186,154.694,158.697,146.508,162.25,175.468,181.243,203.706,213.191,188.948,201.082,198.347,182.908,187.051,207.991
"34","26","      Chemical manufacturing","PK3253",94.232,94.171,94.11,94.024,94.055,94.068,94.166,94.29,94.316,94.321,94.36,94.464,94.32,94.097,95.186,95.283,95.148,95.099,95.067,94.887,94.603,94.423,94.386,94.355,94.087,93.857,93.786,93.818,94.221,94.764,95.336,95.508,96.237,97.416,97.667,97.769,98.175,98.69,99.007,99.096,99.592,99.806,100.432,100.499,100.995,101.177,101.023,101.456,102.349,102.976,102.789,102.618,101.818,101.708,100.441,99.682,99.973,99.388,99.34,98.75,98.41,98.334,98.809,99.015,99.38,99.837,100.863,100.988,101.059,101.621,101.885,101.616,102.484,103.342,105.066,105.926,105.566,105.107,104.836,104.619,104.89,105.111,105.145,105.486,106.398,106.793,107.441,108.199,108.57,109.819,110.973,112.081,113.798,114.953,115.881,117.186,118.195,118.437,119.706,120.392,120.673,119.535,119.708,119.742,120.935,123.574,124.837,126.245,127.286,128.664,127.482,127.06
"35","27","      Plastics and rubber product manufacturing","PK3263",98.494,98.508,98.367,98.589,98.62,98.557,98.585,98.563,98.379,98.312,98.365,98.325,98.287,98.327,98.274,98.162,97.995,97.849,97.678,97.524,97.43,97.326,97.282,97.393,97.296,97.295,97.281,97.575,97.534,97.854,97.998,98.33,98.414,98.698,99.031,99.146,99.27,99.33,99.362,99.577,99.378,99.864,100.379,100.112,100.276,100.282,101.097,101.213,101.094,100.911,101.294,101.271,101.383,101.316,101.212,100.786,100.561,100.55,100.607,100.393,100.218,99.896,100.046,100.269,100.501,100.972,100.733,101.003,101.35,101.371,100.941,101.015,101.448,102.316,103.068,103.794,103.791,103.545,103.396,103.484,103.267,103.285,103.343,103.513,103.711,104.063,104.136,104.341,104.567,104.981,105.321,105.624,106.693,107.432,108.272,109.041,110.008,110.66,111.506,111.76,112.089,112.216,112.271,112.397,113.16,114.605,117.504,118.164,119.058,119.503,119.263,118.895
"36","28","  Merchant wholesale industries","PK42W3",103.737,103.489,103.664,103.021,102.586,101.994,101.531,101.82,101.536,101.579,101.202,100.971,99.823,99.477,99.128,98.665,98.308,97.734,97.629,96.416,96.023,96.299,95.986,95.485,95.706,95.139,95.512,96.211,96.26,96.312,96.404,97.145,97.511,97.428,97.879,98.591,98.788,99.832,100.503,99.707,100.04,100.295,99.929,99.335,100.138,100.336,100.684,100.398,100.356,99.962,99.604,99.545,99.658,99.185,98.3,98.386,98.579,96.888,96.443,96.114,96.203,96.43,97.308,97.33,97.223,97.22,97.948,98.438,98.85,99.416,98.83,98.962,100.134,101.682,102.064,100.024,99.524,99.764,99.814,100.39,100.471,101.214,101.846,102.881,103.645,104.009,104.771,105.48,106.094,105.513,106.347,106.646,106.834,108.504,108.765,108.161,108.366,108.701,109.943,110.002,109.233,109.769,110.593,111.07,112.826,113.294,112.237,113.32,113.641,112.756,113.097,114.8
"37","29","    Durable goods merchant wholesale industries","PK42WD3",110.228,110.067,110.055,109.788,109.218,109.056,108.712,108.501,108.12,107.8,107.556,107.251,106.521,106.017,105.658,105.099,104.629,104.115,103.728,102.913,102.611,102.196,101.892,101.504,101.093,101.013,100.717,100.515,100.456,100.425,100.423,100.332,100.282,100.444,100.615,100.715,100.777,100.655,100.596,100.54,100.378,100.23,100.158,99.603,99.579,99.408,99.149,98.961,98.283,97.872,97.672,97.551,97.481,97.377,97.155,96.797,96.727,96.196,96.017,95.822,95.715,95.754,95.762,95.74,95.769,95.968,95.817,95.654,95.794,95.852,95.649,95.517,95.612,95.644,95.849,95.497,95.512,95.451,95.443,95.55,95.842,96.117,96.441,96.672,97.239,97.921,98.489,98.82,98.865,98.912,99.822,100.584,100.629,101.216,101.388,101.401,101.378,101.316,101.326,101.51,100.788,100.267,100.171,100.514,101.272,100.969,101.45,101.594,101.962,102.358,102.399,102.831
"38","30","      Motor vehicles, parts, and supplies wholesalers","PK42113",100.871,100.697,100.762,100.535,100.056,100.121,99.36,99.57,99.702,99.325,99.001,98.738,98.759,98.875,98.899,98.761,98.476,98.257,98.819,98.73,99.019,99.436,99.642,99.385,99.067,99.14,98.879,99.148,99.425,99.273,99.196,99.358,99.568,100.325,99.945,99.912,99.762,99.563,99.673,99.672,100.289,99.928,100.055,99.911,100.283,99.916,100.385,100.575,100.433,99.294,99.614,100.07,99.429,99.462,100.219,100.044,100.44,98.557,98.662,99.063,98.521,98.907,98.52,98.402,98.212,98.446,97.635,97.302,97.715,97.859,97.3,96.891,97.185,97.445,98.938,97.075,97.227,96.846,97.186,97.352,96.83,97.378,97.12,96.676,96.683,96.767,97.127,96.976,97.459,97.824,97.321,97.452,97.85,98.738,98.435,98.618,98.658,97.984,97.784,98.108,97.934,97.18,98.079,97.942,98.428,96.87,96.319,96.09,96.474,96.953,97.09,97.205
"39","31","      Furniture and home furnishings wholesalers","PK42123",97.626,97.679,97.771,97.423,97.675,97.671,98.027,97.977,98.042,98.131,98.254,98.283,98.282,98.411,98.503,98.407,98.631,98.473,98.305,98.353,98.297,98.437,98.548,98.567,98.373,98.258,98.511,98.426,98.527,98.837,98.727,98.82,98.846,99.046,99.082,99.045,99.129,99.397,99.621,99.707,99.707,100.045,99.986,100.404,100.231,100.527,100.462,100.758,100.642,100.901,100.591,101.002,100.819,100.664,100.951,100.617,100.485,100.917,100.779,100.729,101.068,100.934,100.828,100.93,100.719,101.074,101.429,101.458,101.611,101.642,101.877,101.488,101.634,101.656,101.783,102.035,102.167,102.615,102.628,102.634,102.353,102.582,103.175,102.442,102.373,102.599,102.221,102.847,103.453,103.914,104.248,104.874,104.846,105.217,106.276,106.478,106.489,106.777,107.197,107.506,107.697,107.849,108.022,108.055,108.538,108.719,109.713,110.189,111.01,111.249,111.116,111.309
"40","32","      Lumber and other construction materials wholesalers","PK42133",99.915,101.158,101.426,102.228,102.933,101.798,102.042,101.572,100.592,99.213,99.501,99.312,98.67,99.012,99.135,99.161,98.237,96.708,97.513,97.92,96.934,96.376,96.077,96.753,97.703,98.843,99.898,99.984,100.817,102.378,104.533,103.28,101.793,100.333,100.767,101.27,101.842,101.821,102.19,101.848,100.583,100.423,99.698,98.857,98.153,98.369,98.071,98.132,97.65,98.051,98.464,98.83,101.558,102.799,100.962,100.825,100.15,98.787,98.218,97.622,98.596,99.321,100.178,100.123,100.089,99.519,99.662,100.047,99.58,99.108,98.85,98.621,98.863,99.727,99.828,100.001,100.217,100.532,101.592,101.578,103.564,102.78,103.035,103.281,103.958,105.932,108.166,110.372,112.788,111.962,112.089,114.813,115.098,111.949,109.844,110.105,111.086,113.256,113.596,113.775,111.37,112.581,110.963,110.945,112.199,112.479,112.252,113.159,115.419,115.852,115.765,115.533
"41","33","      Professional and commercial equipment wholesalers","PK42143",156.351,154.622,153.34,152.246,148.616,147.345,145.784,143.665,142.292,140.656,139.002,138.018,135.011,132.143,130.542,127.769,125.961,124.898,123.347,119.936,118.95,117.135,115.969,114.355,112.827,111.516,110.422,109.158,108.301,107.356,106.324,105.492,104.926,104.026,103.774,103.288,102.929,102.203,101.644,101.108,100.68,100.098,100.23,99.028,98.841,98.349,97.726,97.178,94.268,93.146,91.932,91.878,91.284,91.13,90.417,89.091,88.603,87.875,87.122,86.603,86.189,85.609,85.377,84.786,84.728,84.361,83.779,83.246,83.034,82.545,82.199,81.961,81.621,80.625,80.414,80.438,80.137,79.954,79.589,79.271,79.524,79.366,79.217,78.868,78.903,78.834,78.745,78.558,78.399,77.982,77.863,77.494,77.261,77.58,77.079,77.03,76.148,76.189,76.152,75.796,75.192,75.15,74.791,74.695,74.331,73.976,73.643,73.265,73.03,72.542,72.097,71.512
"42","34","        Computers and software wholesalers","PK42433",217.557,213.658,209.987,206.756,198.439,195.486,191.952,187.157,183.916,180.196,176.589,174.183,168.283,162.092,158.707,153.432,149.971,147.892,144.814,138.082,136.112,132.55,130.13,127.13,124.354,122.017,119.808,117.301,115.689,113.999,112.018,110.351,109.4,107.807,107.2,106.324,105.63,104.354,103.22,102.224,101.402,100.249,100.304,98.098,97.409,96.405,95.622,94.471,89.245,87.528,85.199,84.945,83.746,83.397,82.01,79.45,78.318,76.903,75.6,74.5,73.809,72.585,72.25,71.402,71.234,70.455,69.369,68.295,67.823,66.903,66.117,65.648,64.555,63.164,62.539,62.443,61.998,61.525,60.832,60.236,60.529,59.809,59.427,58.817,58.447,58.332,58.104,57.752,57.419,56.702,56.461,55.861,55.294,56.035,55.163,54.98,53.57,53.256,52.439,52.042,50.939,50.697,49.93,49.685,49.193,48.683,48.187,47.491,47.182,46.318,45.642,44.851
"43","35","        Other professional and commercial equipment wholesalers","PK424X3",98.442,98.105,98.325,98.611,98.523,98.449,98.388,98.41,98.545,98.605,98.601,98.827,98.473,98.662,98.755,98.532,98.446,98.465,98.515,98.585,98.63,98.677,98.855,98.733,98.629,98.551,98.819,99.039,99.12,99.091,99.267,99.531,99.463,99.487,99.666,99.621,99.546,99.465,99.608,99.65,99.714,99.842,100.079,100.115,100.545,100.64,100.234,100.448,100.402,100.045,100.192,100.384,100.501,100.604,100.707,100.783,101.059,101.134,101.028,101.195,101.153,101.326,101.232,100.943,101.018,101.147,101.176,101.345,101.469,101.538,101.722,101.756,102.319,101.79,102.079,102.247,102.123,102.29,102.335,102.357,102.566,103.125,103.29,103.31,103.919,103.926,104.048,104.125,104.248,104.328,104.419,104.465,104.784,104.437,104.611,104.826,104.897,105.552,106.875,106.657,107.02,107.34,107.752,107.933,107.852,107.831,107.836,108.088,108.03,108.287,108.335,108.247
"44","36","      Metal and mineral (except petroleum) wholesalers","PK42153",105.388,105.716,106.331,106.177,106.041,106.318,106.209,106.211,106.222,106.335,106.488,106.231,105.005,104.762,104.19,104.069,103.7,102.863,101.987,100.674,99.412,98.365,97.556,96.729,95.268,95.377,94.832,94.774,95.007,95.146,95.187,95.758,95.855,97.146,98.353,99.21,100.333,100.428,101.283,101.349,100.705,100.467,100.518,100.144,99.579,99.045,98.13,97.995,97.65,97.557,97.014,96.294,96.039,95.031,95.039,94.603,94.212,93.974,94.07,93.524,93.723,93.891,94.636,95.691,96.509,97.786,98.416,98.768,99.826,100.706,101.458,101.466,101.553,102.462,102.381,102.164,101.441,101.16,100.961,102.03,102.42,104.512,106.601,109.102,113.28,118.27,122.4,126.436,127.944,128.325,135.01,139.879,140.935,144.402,147.385,147.57,148.51,147.011,145.282,144.82,141.673,137.658,135.174,135.755,140.036,140.403,145.475,146.124,147.619,148.315,149.664,152.137
"45","37","      Electrical goods wholesalers","PK42163",105.84,105.718,105.808,105.398,105.233,105.303,105.333,104.954,104.693,104.333,104.192,103.977,103.656,103.293,103.228,103.073,103.006,102.701,102.383,102.31,102.151,102.276,102.274,102.246,102.163,102.274,102.057,101.917,101.616,101.357,101.187,101.109,101.033,100.829,100.671,100.705,100.434,100.316,100.034,100.207,100.193,100.168,100.23,99.942,99.855,99.758,99.589,99.324,99.22,99.059,98.916,98.598,98.499,98.315,98.271,98.013,97.806,97.839,97.799,97.831,97.886,97.851,97.758,97.425,97.203,97.241,96.997,97.051,96.946,96.722,96.585,96.426,96.35,96.11,96.001,95.996,95.907,95.766,95.859,95.609,95.511,95.324,95.295,95.057,94.666,94.369,94.318,94.253,94.297,94.24,94.041,93.985,93.88,93.88,93.849,94.023,94.164,94.343,94.354,94.283,94.051,94.095,94.371,94.201,93.999,94.078,93.756,93.78,93.733,93.84,93.975,94.218
"46","38","      Hardware and plumbing and heating equipment wholesalers","PK42173",96.984,97.062,97.115,97.196,97.218,97.357,97.312,97.519,97.579,97.712,97.759,97.86,97.732,97.935,97.776,97.813,97.867,97.839,97.917,97.865,97.944,98.02,98.164,98.175,98.333,98.039,98.115,98.245,98.319,98.676,98.708,98.894,98.982,99.045,99.197,99.402,99.326,99.512,99.668,99.857,99.851,100.015,100.209,100.326,100.239,100.322,100.324,100.33,100.577,100.887,100.721,100.584,101.041,101.098,101.069,101.121,101.309,101.452,101.67,101.672,101.585,101.545,101.686,101.612,101.679,101.564,101.637,101.813,101.972,101.892,101.806,101.895,102.216,102.389,102.491,102.495,102.603,102.716,102.882,102.879,102.982,103.12,103.412,103.44,104.062,104.164,104.355,104.623,105.301,105.769,106.356,106.509,107.069,107.728,108.084,108.296,109.356,110.049,110.331,110.62,110.567,110.798,110.937,111.096,111.355,111.705,112.249,112.323,112.379,112.435,112.571,113.108
"47","39","      Machinery, equipment, and supplies wholesalers","PK42183",97.245,97.334,97.261,97.378,97.416,97.526,97.625,97.674,97.616,97.769,97.895,97.98,98.074,98.095,98.195,98.181,98.228,98.273,98.272,98.33,98.504,98.649,98.799,98.827,98.921,98.995,98.949,99.099,99.043,99.051,99.081,99.096,99.173,99.326,99.442,99.495,99.59,99.746,99.738,99.826,99.856,99.919,100.09,100.102,100.216,100.269,100.256,100.382,100.535,100.664,100.669,100.799,100.869,100.958,100.958,101.044,101.141,101.276,101.29,101.286,101.265,101.298,101.436,101.442,101.453,101.569,101.78,101.938,102.033,102.083,102.125,102.292,102.433,102.519,102.675,102.778,102.819,103.094,103.186,103.265,103.31,103.478,103.73,103.92,104.224,104.505,104.836,105.312,105.678,106.001,106.337,106.628,107.008,107.67,108.076,108.606,109.345,109.908,110.353,110.724,111.317,111.546,111.731,111.973,112.248,112.526,112.917,113.207,113.651,114.251,114.342,114.354
"48","40","      Miscellaneous durable goods wholesalers","PK42193",101.98,101.925,102.475,101.984,101.908,101.952,101.604,102.561,101.838,102.289,102.443,101.91,101.237,101.048,100.527,100.166,99.672,98.749,97.714,96.627,96.37,95.553,94.84,94.507,94.247,94.796,94.455,94.304,94.677,95.373,96.276,96.806,97.527,99.206,100.529,101.235,101.757,101.835,101.668,101.663,101.147,101.216,100.147,98.389,98.706,98.63,97.885,97.16,96.592,96.101,96.529,95.529,95.622,95.186,94.388,94.446,94.81,94.385,94.227,93.559,93.434,93.851,93.924,94.766,95.213,96.497,96.833,96.195,96.711,97.865,97.368,97.397,97.974,99.002,98.951,98.278,99.018,98.997,98.411,99.414,101.068,102.287,103.962,106.131,108.287,110.531,111.368,110.581,107.461,107.786,112.559,115.174,114.163,116.242,117.847,116.557,115.259,113.694,113.956,115.299,112.79,110.292,110.208,113.209,116.836,115.971,118.649,119.58,119.956,122.217,122.337,125.818
"49","41","    Nondurable goods merchant wholesale industries","PK42WN3",96.95,96.613,96.954,95.949,95.64,94.631,94.049,94.817,94.627,95.029,94.521,94.364,92.809,92.622,92.286,91.923,91.684,91.054,91.239,89.632,89.156,90.114,89.798,89.189,90.045,88.981,90.043,91.671,91.833,91.969,92.154,93.77,94.574,94.232,94.976,96.339,96.659,98.963,100.423,98.817,99.678,100.362,99.677,99.034,100.721,101.301,102.299,101.907,102.543,102.169,101.643,101.647,101.953,101.092,99.525,100.067,100.523,97.664,96.95,96.484,96.767,97.18,98.929,98.996,98.755,98.551,100.163,101.311,102,103.069,102.107,102.503,104.746,107.802,108.368,104.639,103.627,104.176,104.282,105.332,105.2,106.425,107.376,109.25,110.224,110.249,111.216,112.336,113.579,112.299,113.044,112.83,113.176,116.033,116.396,115.102,115.567,116.347,118.972,118.889,118.075,119.811,121.684,122.312,125.211,126.596,123.74,125.923,126.184,123.791,124.478,127.639
"50","42","      Paper and paper products wholesalers","PK42213",88.97,88.347,87.492,86.959,87.218,87.537,87.648,88.838,89.89,90.302,91.418,92.263,92.667,92.614,92.613,92.247,92.136,92.084,91.399,90.662,89.643,88.73,87.911,87.467,87.151,87.236,88.047,88.598,89.272,89.85,90.559,91.534,92.836,93.387,93.882,94.189,94.915,95.584,97.941,99.554,101.222,101.641,101.479,101.525,101.587,101.758,101.775,101.601,101.734,101.411,101.096,100.728,100.009,99.212,98.533,97.12,96.777,96.194,95.926,96.089,95.477,95.015,94.439,94.238,93.949,94.173,94.485,95.377,95.742,96.223,96.225,96.057,95.94,96.266,96.31,96.742,97.138,97.051,96.505,96.307,95.746,95.652,95.748,95.976,95.303,95.494,95.696,96.861,98.141,99.631,100.876,101.97,102.64,102.712,103.052,103.758,104.425,105.321,105.68,105.563,105.342,103.996,103.247,101.885,102.106,102.68,104.354,104.724,105.447,107.659,108.543,108.41
"51","43","      Drugs and druggists' sundries wholesalers","PK42223",89.84,89.749,89.54,89.26,89.43,89.568,89.601,89.756,89.857,90.166,90.451,90.694,90.666,91.374,95.607,95.61,95.991,96.39,96.729,96.739,96.796,97.15,97.417,97.579,97.323,97.317,97.465,97.269,97.373,98.276,98.531,98.556,98.962,99.197,99.438,99.426,99.617,99.675,99.475,99.566,99.759,99.594,99.941,100.413,100.486,100.37,100.35,100.567,100.747,100.918,100.849,100.988,100.523,100.969,100.646,100.689,100.872,101.053,101.244,101.26,101.415,101.469,101.551,101.624,101.755,102.035,102.131,102.533,102.779,103.078,103.06,103.129,103.493,103.323,103.584,103.802,104.171,104.44,104.693,104.749,105.13,105.191,105.5,105.686,106.492,106.535,106.639,107.141,107.478,107.324,107.33,107.724,107.702,108.048,108.365,108.888,109.086,110.034,109.614,109.785,109.938,110.514,110.546,110.848,111.281,111.348,112.003,112.172,112.805,113.231,113.374,112.804
"52","44","      Apparel, piece goods, and notions wholesalers","PK42233",100.079,100.239,100.311,100.354,100.497,100.433,100.525,100.631,100.773,100.754,100.788,100.824,101.228,101.107,100.999,100.965,100.955,100.796,100.671,100.696,100.829,100.789,100.672,100.459,100.432,100.282,100.344,100.288,100.201,100.049,100.121,100.024,100.156,100.042,99.939,100.195,100.145,100.201,100.185,100.173,100.112,99.69,99.915,99.948,100.012,99.928,99.883,99.829,99.842,99.918,100.427,100.261,100.111,100.036,99.921,100.065,99.69,99.514,99.487,99.362,99.126,98.997,98.521,98.359,98.369,98.307,98.224,98.286,98.131,98.306,98.308,98.905,98.727,98.645,98.751,98.806,98.919,98.746,98.655,98.864,98.963,98.9,98.961,99.022,99.126,99.075,98.975,99.052,99.096,99.09,99.089,99.007,99.094,99.121,99.158,99.142,99.285,99.327,99.366,99.395,99.493,99.417,99.54,99.53,99.724,99.51,99.823,99.742,99.929,100.134,99.984,100.007
"53","45","      Grocery and related products wholesalers","PK42243",98.754,98.907,100.106,98.927,99.795,98.476,97.985,98.768,98.634,99.639,98.445,98.954,98.169,98.912,98.687,99.39,98.794,98.362,99.308,98.8,98.96,99.432,98.741,98.964,100.261,98.943,99.581,99.282,99.759,100.118,99.495,99.542,100.478,100.023,99.02,99.873,99.055,99.42,99.85,100.294,101.371,99.96,99.836,99.08,100.099,100.638,100.698,99.718,101.046,101.925,102.735,102.586,103.385,102.989,101.944,102.893,103.488,103.007,102.313,102.952,103.611,104.615,105.894,101.564,102.117,102.001,102.032,101.687,101.292,101.827,101.406,101.323,102.96,102.989,103.464,104.294,104.924,104.391,104.224,105.188,106.514,107.746,107.389,108.372,106.672,106.449,107.951,109.024,111.195,110.058,108.434,108.685,110.034,113.112,112.725,112.251,111.627,112.526,113.021,113.35,113.277,112.547,111.457,111.117,112.467,112.551,113.108,114.706,114.634,111.725,112.053,113.146
"54","46","      Farm product raw material wholesalers","PK42253",132.379,132.723,141.142,141.865,139.271,134.805,130.358,129.687,128.952,130.007,128.783,127.106,123.077,124.354,124.664,117.947,117.789,114.94,113.332,104.732,99.664,105.305,107.49,103.654,104.875,102.908,102.351,100.164,101.35,99.502,89.747,98.744,94.789,93.497,95.696,93.883,97.594,102.334,106.446,103.282,106.563,100.746,94.089,91.362,94.382,99.05,102.176,104.678,107.083,102.827,104.533,100.104,100.128,99.268,102.392,104.198,100.936,97.436,97.333,98.43,99.155,99.387,99.21,96.926,98.757,99.162,107.731,118.869,124.145,118.086,115.295,114.252,113.697,118.882,114.505,115.663,119.757,118.147,110.577,113.805,120.357,123.035,129.482,131.137,133.166,134.876,141.02,140.382,143.587,135.939,128.696,116.471,115.354,105.726,105.803,109.304,109.887,107.733,117.414,111.614,113.933,114.583,115.991,112.296,107.571,105.697,109.025,112.616,111.833,112.873,112.29,115.911
"55","47","      Chemical and allied products wholesalers","PK42263",97.321,97.227,96.756,96.389,96.293,96.045,96.315,96.75,96.687,96.417,96.506,96.459,96.224,95.612,96.042,95.632,95.523,95.347,95.171,94.792,94.442,94.344,94.494,94.263,93.881,93.407,93.107,93.034,93.39,93.766,94.117,94.27,95.008,96.022,96.534,96.973,97.403,98.173,98.893,99.197,99.471,100.103,101.57,100.83,100.94,101.002,100.921,101.256,102.456,103.18,103.237,102.355,102.064,101.576,99.643,98.589,99.541,98.293,97.636,96.514,96.548,96.474,97.724,99.11,99.124,99.291,100.233,100.918,101.27,102.242,102.497,102.071,104.472,108.335,109.608,106.578,106.541,107.088,106.177,106.591,106.322,106.666,106.73,107.923,110.778,110.874,110.812,112.498,113.014,114.442,115.964,118.889,121.349,122.675,124.083,124.306,124.588,125.529,128.525,128.434,128.005,127.042,127.714,128.22,133.448,139.441,134.744,135.562,137.544,138.544,137.416,138.127
"56","48","      Petroleum and petroleum products wholesalers","PK42273",84.208,82.053,78.031,73.731,71.016,69.802,69.04,71.829,70.563,71.023,70.062,68.921,63.207,60.414,56.262,56.271,55.498,53.819,53.942,50.084,49.886,51.79,50.142,46.051,48.612,46.103,50.879,61.575,60.743,60.706,67.039,71.759,74.214,72.944,77.743,85.745,87.234,97.016,103.359,92.408,91.545,102.416,100.728,98.138,105.191,104.805,109.802,107.052,104.249,102.286,95.646,99.395,100.064,95.751,86.719,88.373,92.188,76.771,72.996,68.81,69.197,70.228,79.242,87.67,83.462,81.383,86.889,88.447,90.457,99.045,94.406,99.044,110.92,129.021,132.474,102.893,91.407,97.068,102.954,106.73,99.197,103.108,106.174,115.219,121.425,120.616,120.994,125.243,128.11,124.531,135.83,138.036,137.933,157.986,160.446,148.441,149.945,153.149,165.826,166.826,157.722,172.071,188.056,196.268,216.567,227.549,198.329,209.92,210.392,194.358,199.814,220.761
"57","49","      Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",96.137,95.89,96.502,96.384,96.614,96.301,96.541,96.802,95.797,95.548,95.538,95.654,95.915,95.84,96.008,95.905,95.788,95.938,95.965,96.024,96.192,96.761,97.174,97.07,97.119,97.418,96.705,96.692,96.842,96.752,97.817,97.267,97.641,97.47,97.447,97.66,97.543,98.156,98.207,97.674,100.499,100.338,100.446,101.146,101.354,101.622,101.213,101.715,102.623,102.243,103.194,103.174,103.224,103.346,103.447,103.556,103.518,104.025,104.287,104.353,104.13,104.154,104.153,104.248,104.294,104.388,104.52,104.398,104.786,104.733,105.659,105.499,104.767,104.571,106.159,106.234,105.86,105.725,106.23,105.815,105.278,106.572,105.952,107.374,110.154,110.46,110.212,109.64,107.179,107.111,107.2,109.018,108.06,109.102,109.552,108.584,110.672,111.005,111.983,112.465,113.924,114.282,114.903,114.279,115.491,115.097,115.284,115.038,113.507,114.072,113.682,115.417
"58","50","      Miscellaneous nondurable goods wholesalers","PK42293",92.805,92.607,92.922,93.304,93.401,92.773,92.708,92.712,93.413,92.892,92.873,92.528,91.804,91.422,91.087,91.075,91.626,91.602,92.031,91.902,91.935,92.112,92.223,95.6,95.513,95.053,95.228,95.303,95.333,95.722,95.514,95.88,97.986,97.947,98.083,98.083,97.477,99.506,99.226,98.565,99.323,99.565,99.564,100.305,100.959,101.568,101.934,102.169,104.851,104.752,104.745,104.163,105.021,104.52,104.236,104.259,103.95,103.114,103.522,103.214,102.828,102.55,103.328,104.54,104.983,105.252,106.067,106.726,107.267,106.962,106.764,105.247,105.85,106.751,107.832,107.473,107.794,107.769,106.933,107.268,107.684,108.335,109.263,110.064,110.565,110.96,111.488,112.358,112.638,112.318,112.773,112.943,113.144,113.588,113.687,113.569,114.862,114.935,115.549,116.329,116.87,117.958,118.843,119.163,119.746,120.166,120.499,121.082,121.962,120.927,120.801,121.597
