"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"43","35","    Farm","B018RX1",1.4,-2.2,3.6,5.4,0.6,-0.4,-11.3,5.1,8.6,8.9,3.8,1.9,-5.1,-4.6,-11.1,-3.4,15.7,17.4,9,2.7,-4.6,-11.1,-21.8,-5,-2.6,6,22.7,1,-9.1,6.8,8.2,5.7,5.7,-2.1,1.8,0.4,0.5,1.3,-11.5,-2.2,-14.5,6.1,-2.7,5.7,5.5,-1.3,1,-5.1,0.9,-9.4,-1.1,-0.2,4.8,0.4,-1.2,-2.4,4.4,12.9,4.8,1.3,-3.8,-0.5,4.5,0.7,1,-5.6,-5.6,-2.7,-3.9,-0.1,-2.5,10.5,6,2.4,2.2,3.7,4.9
"44","36","    Nonfarm","A015RX1",12.6,37,18.9,-15.7,-15.6,-18.2,12.2,25.5,-7.5,13.4,15.7,19.7,42.8,29.9,19.6,18.6,29.2,64.9,42.7,71,66.1,46.3,30.7,22.1,6.1,18.3,33.1,29.3,44.7,87.6,63.9,77.8,111.5,52.7,62.3,58.3,78.7,40.2,61.7,105.4,41.5,93.2,58.8,37.8,-13.5,-1.1,-31.1,-81.7,-11.1,12.4,29.3,29.9,19.2,-3.2,12,28.1,30.4,50.5,55.4,56.4,79.5,17.4,6.2,53.2,45.4,63.3,59.9,16.4,-10.7,-2.6,19.2,-20.6,-17.9,-55.1,-33.3,-31.1,-94.7
"45","37","Net exports of goods and services","A019RX1",-63.8,-63.6,-58.1,-33.2,-18.3,-14.3,-16,-9.6,-4.7,-20.2,-15.9,-23,-37.4,-48.6,-59.4,-63,-73.8,-83,-79,-81.9,-86,-87.7,-57.1,-53.1,-68.2,-81.2,-104.3,-64.9,-89,-93.1,-108.8,-127.6,-163.7,-205.1,-223.9,-222.3,-262.1,-295.2,-313.9,-313.7,-350.6,-374.5,-395.6,-397.2,-398.2,-385.2,-398.4,-414.5,-441.3,-458.9,-472.2,-513,-507.2,-526.9,-513.8,-527.8,-549.1,-591.1,-602.7,-632.3,-623.7,-601.3,-603.6,-637.8,-636,-619.4,-623,-584.3,-618.6,-571.2,-511.8,-484.5,-462,-381.3,-353.1,-364.5,-296.8
"46","38","  Exports","B020RX1",543.6,550.5,555.1,560.7,563.2,583.8,597.8,611.6,621.9,622.2,635.6,639.1,639.9,647.4,645.7,667,672.8,695,721,737.3,750.5,761,794.5,806.6,816.4,830.3,837.3,889.5,905.7,941.8,964.2,963.2,967.4,957,952.9,988.7,980.1,991.2,1017.4,1044.1,1060.9,1092,1120,1112.3,1097.2,1060.6,1008.7,980.3,992.8,1018,1025.2,1017.2,1003.3,999,1026.3,1075.8,1101.8,1119.4,1128,1155.3,1177.9,1203.1,1204.3,1235.7,1284.3,1301.4,1312.6,1361.1,1363.2,1392.2,1466.2,1482.1,1500.6,1544.7,1556.1,1454.9,1327.7
"47","39","    Goods","A253RX1",363.3,366.4,368.5,370.5,379.5,388.3,397.9,404.3,413.3,414.6,426.9,432.6,427.8,433.2,430.3,451,450.6,466.7,490.6,503.9,515.2,523.8,544.3,552.2,563.2,569.3,580.2,611.6,632.3,661.6,681.3,682.7,683.9,667.8,669.3,696.3,682.1,689.8,712.5,736.3,751.9,776.6,810,798.9,787.8,751.7,710.9,694.7,691.8,715.2,719,702.1,705.6,703.5,718.4,751.6,765.1,778.5,790.2,804,817.9,846,844.2,870.8,907.8,922.5,930.7,953.9,958.9,974.9,1024.1,1037,1048.6,1088.9,1098.7,997.7,882.4
"48","40","    Services","A646RX1",183,187.3,190.1,194.2,185.7,199,203.4,211.4,212.3,211,211.4,208.7,215.3,217.4,218.9,218.5,225.4,231.4,232.5,235.2,236.7,238.4,251.9,256.2,254.3,262.6,258,279.2,273.9,280.2,282.6,280.2,283.2,289.5,283.7,292.5,298.3,301.7,305,307.9,309,315.3,310,313.4,309.4,308.9,297.7,285.6,300.7,302.7,306.1,314.7,297.6,295.5,307.6,324,336.4,340.6,337.7,351,359.6,357.1,359.9,365,376.7,379.2,382.2,407,404.2,417,441.8,444.7,451.7,455.8,457.4,455.7,442.1
"49","41","  Imports","B021RX1",607.3,614.1,613.2,593.8,581.5,598.1,613.9,621.2,626.6,642.4,651.4,662.1,677.2,696,705.1,730.1,746.5,778.1,800,819.2,836.5,848.7,851.7,859.7,884.6,911.4,941.6,954.4,994.7,1034.8,1073,1090.9,1131.1,1162.1,1176.9,1211,1242.2,1286.4,1331.3,1357.9,1411.5,1466.5,1515.6,1509.5,1495.4,1445.8,1407.1,1394.9,1434,1476.9,1497.4,1530.2,1510.5,1525.9,1540,1603.6,1650.9,1710.5,1730.8,1787.7,1801.7,1804.4,1807.9,1873.6,1920.2,1920.9,1935.7,1945.3,1981.8,1963.4,1978,1966.5,1962.6,1926,1909.1,1819.4,1624.6
"50","42","    Goods","A255RX1",470.6,476.3,474.4,457.4,449.2,462.7,479.9,485.4,493.1,510.6,519.9,528.7,543.7,560.5,567.4,587.6,601.5,631.7,653.5,673.2,685.4,698.9,700.8,705.5,727.7,752.8,778.7,791.7,824.7,863,893.8,908.7,941.5,968.3,978,1010,1038.2,1079.2,1119.7,1143.8,1187.1,1236.3,1277.7,1272.7,1261.6,1204.7,1177.9,1172.1,1198.2,1243.4,1263.1,1287.9,1275.3,1301.7,1303.7,1356.5,1393.9,1448.3,1467.7,1518.1,1536.7,1539.5,1543.8,1605.5,1640.6,1642.8,1658,1654.5,1688.3,1671.2,1681.1,1670.2,1662,1631.6,1612.2,1526.8,1335.9
"51","43","    Services","B656RX1",141.8,142.8,144.1,142,137.4,140.5,138.1,140.1,137.1,134.6,134.1,136.1,135.7,137.6,139.8,144.6,147.2,147.9,147.6,146.6,152,150.2,151.4,154.9,157.5,158.8,163.1,162.6,170,171.6,178.9,181.9,189.4,193.6,198.7,200.9,203.9,207.1,211.6,214,224.4,230.1,237.9,236.8,233.7,240.9,229,222.8,235.4,233.6,234.6,242.4,235.7,225.9,237,247.8,257.5,263,264.1,270.8,266.9,266.9,266.2,270.6,281.9,280.5,280.3,292.4,295.4,293.9,298.4,297.8,301.8,295.5,297.9,292.8,285
"52","44","Government consumption expenditures and gross investment","A822RX1",1524.2,1526.8,1526.7,1542.2,1548.4,1553.7,1546.6,1540.4,1552.3,1550.7,1559,1559.3,1543,1541.4,1537,1542.7,1527.1,1533.7,1558.8,1545.5,1551.9,1558.2,1553.2,1535.5,1544.9,1570.3,1565.1,1579.2,1581.6,1598.1,1598.5,1597.9,1589.1,1621.4,1636,1651.1,1662.2,1672.3,1693.1,1720.2,1707.3,1730.5,1721.5,1727.1,1749.6,1783,1776.1,1812.7,1832,1853.4,1863.9,1885.8,1879.3,1907.5,1914.5,1918,1925.4,1931.8,1939.4,1930.6,1929.6,1934,1950.4,1941.9,1960.5,1966.6,1974.9,1982.7,1987.1,2006.4,2025.3,2029.4,2039.1,2058.9,2088.1,2094.7,2078.4
"53","45","  Federal","A823RX1",659.9,660.7,654.9,660.7,665.8,667.7,655.5,642.8,643.1,642.6,650.1,650.4,630.5,621.4,612.5,614.1,595.8,592.6,606.8,590.5,589.4,588.3,582.7,560.6,572.3,583.6,569.6,568.5,561.2,573.6,569.9,565.7,551.9,565.9,561.1,566.1,562.9,565.3,576.7,589.9,568.2,591.2,578.6,577.2,588.5,601.4,601.5,614.2,623.2,641.7,646.5,662.3,662.5,693,693.7,699,709.5,713.7,724.5,716,718,720.1,736.8,723.2,740.6,737.7,741.1,744.4,737.5,749.6,762.7,761.7,772.6,785,810.8,824.5,815.2
"54","46","    National defense","A824RX1",482.4,481,472.8,481.5,485.6,484.3,471.4,455.4,448.3,448.6,454.7,451.2,434.1,426.8,418.9,421.6,403.2,403.5,415.5,396.2,395,394.7,389.6,377.3,383.9,391.2,380.8,379.3,367.2,376.3,374.8,373.8,355.4,365.7,371,369.2,364.1,363.9,375.9,385,362.6,377.1,369.9,371.5,377.9,381.9,384.1,395.6,399.2,410.2,414.4,428.9,424.2,458.4,452.2,461.1,470.2,472.5,484.8,472.7,476.3,481,495.1,476.5,486.7,489,487.9,496.3,488.8,498.8,511,509.9,518.9,528.1,550.4,555,545.4
"55","47","      Consumption expenditures","A997RX1",410,406.2,397.2,406,415.8,411.3,400.7,390,381.8,380.3,386,385.8,373.9,367.6,363.7,363.4,351.2,349.3,357.2,344.5,342.1,341.8,340.5,328,331,335.6,329.1,333.2,325.8,333,327.4,326.2,312.7,321.9,320.9,323.7,321.3,316.5,325.5,335.2,313.8,328.1,320.7,323.4,329.8,331.3,332.1,343.1,346.5,353.5,355.2,371.5,366.3,397.1,389.4,397,405.6,406.4,414.7,403.7,409.2,410.7,421.9,404.4,414.5,414,414.1,417.6,415.6,422.4,433.5,431.9,439.7,443.4,461.5,465.6,458.8
"56","48","      Gross investment","A788RX1",71.1,73.1,73.6,73.7,69,71.7,69.4,64.6,65.4,66.9,67.5,64.5,59.6,58.7,55,57.7,52,53.9,57.6,51.6,52.6,52.6,49.2,49.2,52.6,55,51.4,46.3,41.8,43.6,47.4,47.6,42.9,43.9,49.9,45.6,43,47.4,50.3,49.8,48.9,49,49.3,48.1,48,50.6,52.1,52.5,52.7,57,59.6,57.4,58,61.2,63,64.4,64.7,66.5,70.9,69.9,67.6,71.2,74.4,73.7,73.3,76.9,75.4,81.3,74.5,78.3,79.3,79.9,81,87.9,92.6,92.9,89.7
"57","49","    Nondefense","A825RX1",176.3,178.6,181.2,178.1,179,182.3,183.2,186.8,194.5,193.6,194.8,198.8,196.1,194.4,193.4,192.2,192.5,189,191.1,194.2,194.3,193.5,193,183.2,188.3,192.4,188.7,189.1,194.1,197.2,195.1,191.9,196.5,200.2,190.1,196.9,198.8,201.4,200.8,204.9,205.6,214,208.7,205.6,210.6,219.5,217.3,218.6,224,231.5,232.2,233.4,238.4,234.5,241.5,237.8,239.1,241,239.4,243.2,241.5,238.8,241.4,246.5,253.8,248.5,253.1,247.8,248.6,250.5,251.2,251.5,253.2,256.3,259.5,268.9,269.3
"58","50","      Consumption expenditures","A542RX1",153.4,155.9,159.4,157.2,156.9,158.3,158.7,159.9,167.3,167.1,168.3,170.3,166.2,165.5,165.8,166.5,168.2,165.4,167.1,168.4,167.1,166.9,167.1,157.8,160.1,162.1,160,162.4,166,167.1,166.9,166.4,166.1,166.9,159.3,166.8,167.9,166.4,168.3,169.6,174.8,181.5,178.2,176.8,180.6,187.1,187.3,188.2,191.8,196.9,199.5,201.2,205.8,200.6,207.2,204.2,205.9,206.5,205.6,208.6,207.8,205,205.8,208.4,214.2,210.7,214.5,209.2,210.9,211.5,212.4,212,213.5,215.6,218.5,224,227.2
"59","51","      Gross investment","A798RX1",23.6,23.5,23,22.2,23.2,24.7,25.1,27,27.5,27,27.1,28.8,29.8,28.9,27.8,26.3,25.1,24.4,24.8,26.4,27.5,27.1,26.4,25.8,28.3,30.2,28.8,27,28.3,30.2,28.4,25.9,30.6,33.3,30.7,30.2,30.9,34.9,32.5,35.3,30.8,32.6,30.4,28.8,30.1,32.5,30,30.4,32.2,34.7,32.6,32.1,32.5,34,34.2,33.5,33,34.5,33.7,34.5,33.5,33.8,35.8,38.7,40.4,38.3,39.1,39.3,38.1,39.6,39.4,40.2,40.5,41.6,41.8,46.4,42.9
"60","52","  State and local","A829RX1",861.9,863.6,869.4,878.9,880,883.5,888.6,895.2,906.9,905.8,906.6,906.6,910.4,918,922.7,926.9,929.6,939.6,950.4,953.7,961.2,968.7,969.2,974.1,971.6,985.6,994.7,1010,1019.8,1024,1028,1031.8,1037,1055.2,1074.9,1084.9,1099.3,1107,1116.3,1130.2,1139.2,1139.3,1142.9,1149.9,1161.1,1181.6,1174.6,1198.5,1208.9,1211.8,1217.5,1223.6,1216.9,1214.4,1220.8,1219,1215.9,1218.1,1214.7,1214.4,1211.4,1213.8,1213.6,1218.5,1219.9,1228.8,1233.7,1238.2,1249.3,1256.6,1262.6,1267.5,1266.7,1274.4,1278.7,1272.3,1265.1
"61","53","    Consumption expenditures","A991RX1",707.3,711.7,717.2,720.7,724.2,727.5,730.3,733.9,739.6,744,749.9,752.5,757.3,759,763.1,766.1,772.9,779,783.9,786.6,793,796.7,799.9,803.9,803.5,812.4,815.3,820.2,824.4,830.7,838.3,846.3,853.4,862.1,871,879.2,889.8,897.3,904,910.2,912.4,916.3,918.7,923.7,929.6,935.6,945.2,954.5,961.9,967.8,972,975.7,971.1,969.3,968.4,970.2,969.2,969.6,970.7,973.5,970.2,970.7,972.2,974.6,980.4,984.6,990.8,996.8,1001.9,1006.1,1010,1013.9,1017.6,1020.6,1023.4,1023.3,1021.9
"62","54","    Gross investment","A799RX1",154.8,152.4,152.7,158.5,156.2,156.3,158.6,161.5,167.4,162.1,157.2,154.7,153.7,159.6,160.1,161.2,157.3,161.2,167,167.5,168.7,172.3,169.9,170.7,168.7,173.7,179.7,189.9,195.5,193.4,189.9,185.8,184,193.3,203.9,205.7,209.6,209.8,212.4,220,226.8,223,224.2,226.2,231.5,246.2,229.4,244,247,244,245.5,247.9,245.7,245.1,252.6,248.8,246.7,248.6,243.9,240.8,241.1,243.1,241.2,243.8,239.3,244,242.7,241.2,247.2,250.3,252.5,253.4,249,253.7,255.2,248.8,243.3
"63","55","Residual","AR05RX1",-169.6,-173.2,-178.3,-172.8,-169.2,-165.4,-162.8,-157.6,-157.5,-150.3,-145.3,-144.4,-139.8,-139.4,-138.1,-134.7,-127.7,-123.9,-120.7,-107.7,-105.6,-101.1,-92.2,-80.1,-77,-70.2,-62.5,-58,-55.5,-45.7,-37.3,-34,-27.3,-26.2,-22.7,-18,-14.8,-8.6,-4,-4.2,-0.7,-0.2,-0.3,0.2,0.7,-0.9,3.3,1.4,-1.8,-0.2,-3.3,1,1.6,1.1,-11.3,-15.2,-12.7,-9.9,-18.2,-28.1,-28.6,-37.7,-44.3,-56.2,-81.9,-93.1,-106.2,-116.9,-135.4,-145.3,-158.2,-171.9,-178.7,-191.6,-162.8,-114,-129.3
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. The quantity index for computers can be used to accurately measure the real growth of this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","component.  However, because computers exhibit rapid changes in prices relative to other prices in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","economy, the chained-dollar estimates should not be used to measure the component's relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","importance or its contribution to the growth rate of more aggregate series; accurate estimates of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","contributions are shown in table 1.5.2 and real growth rates are shown in table 1.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Note. The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
