"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"22","14","    Nondurable goods","B691RG3",35.766,35.769,35.783,35.789,35.347,36.358,39.141,36.094,37.139,36.428,38.667,42.32,39.016,38.412,39.34,37.71,37.296,38.148,37.751,38.836,38.443,40.933,38.69,42.735,39.35,39.516,41.082,46.438,43.875,46.346,47.346,47.637,52.411,53.948,49.361,52.156,55.615,55.55,58.819,56.891,59.109,60.665,59.509,57.273,61.744,62.225,62.535,64.571,68.755,70.736,70.339,70.847,65.771,64.058,71.058,70.905,69.784,68.213,69.55,71.529,72.442,68.702,69.223,68.14,67.515,69.468,70.741,70.835,71.92,72.102,72.726,72.61,72.525,72.654,72.922,72.604,73.423,74.743,74.837,76.303,76.813,77.697,78.328,78.535,80.503,80.689,80.991,82.369,83.585,83.827,84.315,84.273,85.568,86.342,87.245,88.544,89.602,91.018,90.484,91.159,92.43,93.674,93.953,94.377,95.287,95.712,95.67,95.888,95.889,95.837,95.731,96.038,96.834,97.961,97.932,98.08,98.842,99.097,99.234,99.409,99.512,99.261,99.852,99.986,100.157,100.005,99.852,99.828,99.877,99.807,99.727,100.244,100.243,99.903,100.001,99.853,99.249,98.954,99.137,99.22,98.085,98.196,98.567,98.652,98.907,98.86,99.118,99.53,100.149,100.311,101.259,100.986,101.937,101.985,101.674,102.007,102.747,103.388,104.132,104.051
"23","15","  Other","B643RG3",25.072,24.885,24.781,24.959,25.042,25.442,24.974,25.081,25.235,25.564,25.786,26.61,26.87,27.35,27.331,27.494,28.211,28.114,28.039,28.1,28.609,28.871,28.987,29.881,31.186,32.761,34.68,37.19,39.676,40.984,43.314,45.546,48.034,46.731,46.871,47.679,48.355,48.955,49.262,50.396,51.082,51.703,51.569,51.555,52.573,54.506,55.256,56.862,58.604,61.834,63.785,64.749,66.541,67.958,70.726,72.792,75.095,74.446,75.144,75.89,76.58,76.497,75.901,75.256,75.529,76.367,77.541,78.966,79.732,80.644,80.055,78.874,78.487,78.208,77.608,77.735,77.086,77.354,75.853,77.297,78.173,80.108,80.091,82.722,83.521,86.277,88.414,88.006,89.182,89.42,89.183,89.311,89.784,90.404,91.314,92.592,92.825,92.843,92.203,92.47,92.478,93.158,93.421,93.42,93.965,94.492,95.044,94.958,96.226,97.006,97.903,99.007,101.159,102.605,102.8,102.639,102.603,102.881,102.104,100.921,101.204,101.237,101.146,100.678,99.661,99.121,98.352,97.892,97.76,97.851,98.273,98.88,99.484,100.061,100.143,100.312,100.303,100.003,99.52,98.613,98.342,99.105,100.154,100.459,101.517,102.033,102.091,103.328,105.19,106.66,107.117,108.339,109.86,110.889,111.421,112.368,113.279,115.17,116.79,116.88
"24","16","Exports of services \1\","B646RG3",23.974,24.175,24.378,24.629,24.985,25.17,25.314,25.56,25.8,26.169,26.511,26.756,26.216,26.601,27.057,27.383,28.085,28.438,28.798,28.981,31.008,31.327,31.63,31.92,31.709,32.509,33.439,34.092,35.574,36.302,37.239,37.853,38.321,38.953,39.551,40.015,40.848,41.283,41.777,42.405,42.828,43.621,44.209,45.024,45.822,46.713,47.602,48.272,48.702,49.977,51.359,53.031,54.991,56.431,57.665,58.982,60.446,61.542,62.49,63.408,64.227,65.384,66.365,66.945,67.902,68.155,68.578,68.587,68.019,68.727,69.273,70.213,70.389,70.678,70.89,71.805,72.582,73.009,73.662,74.103,74.474,74.646,75.151,75.478,75.94,76.346,76.57,76.926,77.798,78.322,78.634,79.226,80.459,81.216,83.024,85.468,86.443,86.113,86.783,87.435,87.937,88.477,89.412,89.632,89.69,90.205,90.124,90.26,90.435,90.778,91.703,91.938,92.387,93.298,93.382,93.506,94.479,94.463,95.063,95.802,95.52,95.912,95.86,96.133,95.68,95.686,95.675,96.044,96.154,96.967,97.227,97.528,99.01,99.876,100.486,100.628,100.779,100.61,100.448,99.735,99.654,100.717,101.253,101.423,102.736,102.689,103.864,104.044,105.329,106.489,107.404,108.718,110.068,111.393,112.918,114.08,114.43,116.098,116.815,116.463
"25","17","  Transfers under U.S. military agency sales contracts","B267RG3",31.285,31.667,32.005,32.309,32.737,33.046,33.148,33.753,34.791,35.366,35.771,36.01,33.006,33.451,34.528,34.894,35.595,36.393,37.605,37.987,47.412,48.165,48.703,49.11,49.02,49.785,51.334,50.904,52.079,52.447,53.583,53.421,54.192,55.715,57.238,57.664,59.262,60.096,60.989,61.939,63.521,64.092,64.159,65.365,66.93,67.9,68.802,69.021,70.129,71.373,73.096,75.149,75.864,78.447,79.438,81.363,82.739,85.074,86.638,87.655,89.642,92.393,93.423,93.255,93.35,93.871,96.005,95.409,95.597,96.341,96.281,100.163,97.579,95.23,95.308,94.131,91.389,90.779,89.769,86.65,87.614,85.924,83.626,83.368,83.631,83.354,82.51,82.893,83.771,83.887,84.667,83.694,85.324,85.557,87.608,89.11,89.165,89.648,90.072,90.667,90.486,91.237,91.431,92.37,92.862,93.756,94.864,95.359,95.396,99.019,98.765,99.593,99.526,100.558,100.548,102.323,105.678,99.602,99.575,99.869,99.852,99.503,97.858,98.215,97.534,97.667,97.067,95.431,101.072,101.116,100.899,101.216,100.627,100.08,99.785,99.507,98.711,98.599,98.389,96.747,97.348,97.832,98.238,98.979,98.737,99.049,99.344,99.299,99.594,100.869,101.071,102.139,102.718,102.859,103.935,105.137,105.674,106.575,107.503,107.944
"26","18","  Travel","B493RG3",19.957,20.047,20.227,20.407,20.586,20.946,21.216,21.395,21.665,22.025,22.384,22.654,23.014,23.373,23.553,23.913,24.092,24.362,24.542,24.722,24.901,25.081,25.441,25.71,25.98,26.43,26.879,27.329,27.868,28.587,29.306,30.026,30.565,30.924,31.374,31.913,32.722,33.172,33.711,34.251,34.79,35.509,36.049,36.678,37.577,38.386,39.375,40.184,40.903,41.982,43.061,44.589,46.117,47.286,48.454,49.623,50.971,52.23,53.758,54.567,55.556,56.635,57.714,58.163,58.523,59.152,59.871,60.77,61.579,62.478,63.108,63.467,64.096,65.085,65.984,66.793,66.344,66.883,67.602,68.501,69.58,70.299,71.018,71.108,72.457,73.086,73.176,73.356,74.075,74.884,75.513,76.053,77.131,77.94,80.008,81.446,83.784,83.694,84.143,84.503,85.402,85.492,85.941,86.031,86.121,86.391,86.301,86.75,86.75,86.93,86.66,86.75,86.84,87.919,88.099,88.368,89.178,89.717,90.256,90.526,91.066,91.786,92.146,92.866,92.448,92.696,93.113,93.715,93.683,95.183,95.93,96.804,98.466,99.984,100.527,101.061,101.018,101.247,100.101,98.566,98.67,99.582,99.637,100.235,101.031,100.509,101.719,102.34,103.182,104.804,105.21,106.294,106.788,108.254,110.323,111.265,111.833,114.587,115.205,113.02
"27","19","  Passenger fares","B533RG3",30.807,30.936,31.064,31.064,30.93,31.123,31.123,31.123,31.155,31.348,31.54,31.604,31.52,31.584,31.584,31.584,33.323,34.348,34.605,35.886,36.066,36.258,36.451,36.707,36.655,36.591,36.655,37.168,38.417,40.338,43.22,45.781,46.508,46.764,46.828,46.187,48.642,48.984,49.395,50.765,48.203,50.674,51.307,52.004,51.908,50.562,50.37,49.857,49.394,49.33,49.33,49.971,52.401,55.028,57.013,58.295,59.785,60.682,61.644,62.605,63.423,64.064,64.064,64.704,64.059,64.059,64.059,64.059,63.459,62.818,62.113,61.472,60.222,59.902,59.902,60.543,61.681,61.808,62.445,63.72,64.303,65.829,67.057,68.38,69.525,70.661,70.291,71.954,72.333,72.448,72.162,72.215,73.334,74.845,78.212,82.427,84.899,84.866,84.871,85.797,86.247,87.324,89.538,87.177,87.295,89.321,90.309,89.808,90.36,90.177,91.744,93.274,95.151,98.598,96.447,95.727,95.939,94.766,96.729,98.438,89.873,93.087,93.951,90.703,90.003,89.725,88.715,92.962,95.79,96.321,97.432,99.943,99.319,100.463,100.189,99.998,101.804,100.182,100.567,100.651,99.966,102.156,107.684,104.857,109.12,114.145,118.178,121.04,125.111,124.779,127.355,133.318,137.48,138.693,140.606,133.733,132.775,138.013,140.918,141.13
"28","20","  Other transportation","B683RG3",29.732,29.935,30.142,30.341,31.163,30.927,30.688,30.45,29.266,29.629,29.942,30.229,29.999,30.626,31.241,31.832,33.53,33.321,33.109,32.845,31.226,31.792,32.288,32.747,31.014,32.888,34.751,36.612,40.574,41.034,41.472,41.874,41.741,42.461,43.184,43.931,45.088,45.573,46.065,46.53,46.096,47.139,48.136,49.132,49.714,50.914,52.065,53.203,52.357,54.768,57.167,59.565,63.76,65.007,66.25,67.487,69.993,70.383,70.773,71.161,70.343,71.61,72.734,73.76,78.758,77.237,75.721,74.039,68.003,68.953,69.845,70.695,70.194,71.684,73.049,74.361,78.291,77.781,77.323,76.819,75.455,76.507,77.337,77.22,76.095,76.096,76.335,76.758,78.807,79.968,80.193,81.521,83.85,81.315,84.58,93.437,89.363,85.752,87.362,87.732,85.862,87.248,88.863,89.841,89.013,89.887,89.165,88.959,87.919,87.966,90.048,89.471,90.061,91.384,90.518,89.837,91.737,92.597,93.014,94.398,94.139,93.102,92.394,93.098,90.19,90.346,90.152,89.236,87.175,90.101,92.221,93.156,96.067,98.554,101.919,103.46,100.379,99.036,99.365,96.957,95.258,98.949,100.65,102.18,106.475,102.47,105.267,104.659,106.593,107.196,109.928,114.022,115.273,121.239,126.829,134.803,131.495,133.436,134.401,129.006
"29","21","  Royalties and license fees","B684RG3",20.643,20.787,20.975,21.212,21.532,21.743,22.023,22.305,22.537,22.806,23.119,23.388,23.715,24.085,24.284,24.562,25.022,25.418,25.734,26.011,26.262,26.475,26.726,27.094,27.542,28.061,28.561,29.114,29.852,30.634,31.618,32.391,33.077,33.6,34.229,34.85,35.35,35.776,36.337,37.017,37.752,38.479,39.117,39.865,40.491,41.474,42.267,43.15,44.059,45.119,46.336,47.463,48.795,49.898,51.067,52.437,53.837,54.873,55.788,56.95,57.695,58.165,58.876,59.548,60.06,60.827,61.544,61.983,62.823,63.514,64.029,64.56,65.153,65.744,66.229,66.948,67.359,67.582,68.204,68.725,69.451,70.067,70.705,71.347,71.901,72.715,73.527,74.317,75.219,76.153,76.735,77.429,78.5,79.323,80.315,81.48,82.161,82.617,83.201,83.805,84.494,85.122,85.605,86.137,86.803,87.298,87.605,88.083,88.595,89.082,89.747,90.208,90.856,91.401,91.827,92.287,92.908,93.292,93.845,94.399,94.933,95.149,95.383,95.692,95.739,95.899,96.161,96.442,96.789,97.295,97.745,98.279,99.188,99.732,100.276,100.81,101.455,102.043,102.303,102.434,102.723,103.349,103.802,104.294,105.346,105.438,105.968,106.412,107.517,108.61,109.153,110.005,110.796,111.696,112.873,113.908,114.658,115.796,116.385,117.905
"30","22","  Other private services","B720RG3",26.312,26.454,26.688,26.984,27.402,27.673,28.012,28.396,28.709,29.087,29.502,29.851,30.286,30.743,30.984,31.346,31.923,32.435,32.85,33.227,33.542,33.742,33.998,34.333,34.722,35.201,35.649,36.131,36.778,37.544,38.525,39.298,39.999,40.471,41.078,41.695,42.201,42.764,43.308,43.965,44.658,45.415,45.939,46.693,47.223,48.162,48.905,49.016,49.409,50.311,51.355,53.236,54.545,55.788,57.128,58.336,59.299,60.276,60.732,61.979,63.007,63.912,65.179,66.112,66.842,67.741,68.558,69.196,70.053,70.761,71.245,72.043,72.903,73.713,74.37,75.151,75.523,76.168,77.223,78.087,79.074,79.886,80.383,80.612,80.699,80.941,81.307,81.755,81.965,82.498,82.934,83.695,84.883,85.726,86.842,88.063,89.031,89.663,90.367,91.017,91.464,92.118,92.741,93.503,94.19,94.374,94.468,94.851,95.168,95.512,96.035,96.422,96.916,97.438,98.314,98.388,99.134,99.52,99.846,100.373,100.787,101,100.898,101.203,101.137,101.073,100.836,100.469,100.029,99.922,98.977,98.178,99.448,99.704,100.62,100.229,100.689,99.955,100.035,99.643,99.576,100.164,100.104,99.896,100.633,100.998,101.772,101.571,103.076,104.056,104.634,105.262,106.814,107.414,107.91,108.404,109.532,110.6,111.271,112.309
"31","23","  Other","B980RG3",24.386,24.651,24.763,25.328,25.424,25.773,26.269,26.717,27.548,28.051,28.66,29.018,29.113,29.363,29.623,29.722,30.171,30.443,30.576,30.815,31.474,31.617,31.62,31.547,31.351,31.944,32.65,33.675,35.336,36.647,38.078,38.947,39.53,39.684,39.67,39.496,39.384,39.158,38.98,39.423,39.758,40.381,41.187,41.977,43.037,44.203,45.333,46.54,47.581,48.902,50.283,51.758,53.658,55.328,56.887,58.311,59.368,60.393,61.395,62.531,64.527,65.387,66.072,66.156,64.734,64.627,64.373,64.213,64.771,65.331,66.534,68.113,69.657,67.436,63.289,65.729,67.765,70.126,72.758,75.034,73.281,68.605,70.289,71.649,73.246,73.605,74.817,72.913,74.799,72.507,70.771,71.172,70.426,77.652,76.024,74.281,79.15,78.056,79.103,81.447,85.337,84.629,87.493,87.047,84.399,84.332,81.342,79.351,80.827,79.99,87.136,86.163,85.958,84.016,84.118,84.024,84.582,84.535,85.994,88.704,90.82,90.034,89.124,91.288,92.692,91.295,92.275,95.321,93.103,94.538,96.111,96.528,102.687,102.821,97.838,96.654,98.888,103.346,103.526,104.865,106.537,107.594,107.826,108.332,109.481,110.405,111.664,111.729,110.545,114.173,116.704,116.366,120.206,119.787,120.575,123.267,122.703,123.341,122.373,120.593
"32","24","    Imports of goods and services","B021RG3",23.734,23.669,23.67,23.68,23.846,24.026,24.074,24.246,24.346,24.453,24.631,25.269,25.533,25.827,26.458,26.721,27.398,27.49,27.827,28.241,28.715,29.46,29.94,30.613,31.517,33.998,35.602,38.248,44.327,49.412,51.975,53.674,54.477,54.628,53.407,53.475,54.366,55.188,56.177,56.758,58.742,60.374,61.176,61.801,62.845,64.364,65.425,66.555,69.149,72.745,78.196,83.425,90.352,93.632,96.225,97.844,100.422,101,98.365,98.587,98.272,96.563,95.42,94.687,92.688,92.687,92.864,92.277,92.555,93.071,91.413,90.278,88.135,88.502,88.43,90.185,90.383,87.61,88.213,89.278,91.616,93.994,94.952,96.441,97.787,99.544,98.468,99.296,100.878,101.964,100.203,100.732,102.244,100.461,103.404,109.194,105.904,103.057,101.839,102.881,102.407,103.031,104.616,104.156,102.621,103.369,102.47,102.226,101.694,102.996,104.675,105.171,105.618,107.465,106.736,105.828,105.411,104.95,103.787,103.968,102.763,100.819,100.165,99.516,96.72,95.664,94.515,94.513,94.023,95.268,96.634,97.914,99.321,99.487,100.506,100.686,99.926,98.416,97.089,94.556,94.146,96.474,97.304,97.441,100.078,99.093,99.734,99.836,102.185,103.996,105.407,107.126,107.815,110.222,112.919,114.117,113.918,116.608,118.143,115.559
"33","25","Imports of goods \1\","B255RG3",23.829,23.728,23.72,23.72,23.895,24.074,24.053,24.252,24.396,24.492,24.633,25.466,25.756,26.016,26.817,27.125,27.61,27.538,27.833,28.15,28.852,29.733,30.205,30.857,31.801,34.373,35.919,38.933,46.153,52.29,55.356,57.232,58.137,58.089,56.319,56.166,57.277,58.309,59.349,59.889,62.19,64.03,64.807,65.311,66.452,68.046,68.895,70.041,72.997,77.026,83.236,89.17,96.978,100.826,103.573,105.477,108.67,109.287,105.791,105.756,105.251,103.337,102.227,101.34,98.803,98.821,99.02,98.283,98.543,99.218,97.738,96.709,94.196,94.146,93.406,95.027,94.341,90.582,91.078,92.336,95.648,98.466,99.388,101.101,102.233,104.245,102.984,103.939,106.229,107.681,105.398,105.759,107.096,104.43,107.435,113.77,109.468,106.491,104.839,106.006,105.185,105.755,107.062,106.816,104.956,105.698,104.769,104.363,103.67,105.237,106.84,107.287,108.115,109.729,108.725,107.723,107.104,106.441,104.932,104.989,103.678,101.321,100.767,100.092,97.189,95.745,94.337,94.057,93.481,94.666,96.103,97.573,99.182,99.474,100.57,100.773,99.803,98.112,96.467,93.609,93.139,95.563,96.177,96.272,99.008,97.305,97.909,98.028,100.415,102.336,103.693,105.402,105.875,108.441,111.383,112.79,112.331,115.197,116.824,113.731
"34","26","  Foods, feeds, and beverages","B647RG3",28.289,28.108,28.29,28.38,28.287,28.471,28.747,29.025,29.49,29.675,29.767,31.119,32.099,32.992,33.436,33.428,33.244,32.971,32.97,33.152,33.513,34.964,36.058,37.242,38.725,42.074,44.764,48.138,48.43,51.906,56.352,60.892,61.073,59.304,52.595,51.469,54.83,57.978,60.911,62.424,68.944,76.746,72.622,70.515,73.473,73.117,72.117,72.472,76.499,77.575,81.623,87.482,92.122,94.383,97.645,98.198,98.025,94.958,90.069,84.273,86.144,84.793,83.344,85.088,82.921,83.954,84.894,85.026,85.827,87.803,87.578,84.372,83.02,81.819,79.663,86.277,91.685,87.717,91.294,89.817,86.609,88.746,89.828,92.792,93.798,93.618,93.014,94.138,94.958,93.583,89.388,87.877,93.68,92.116,93.291,94.571,96.661,97.769,96.94,96.96,100.246,95.964,95.29,96.04,94.285,95.477,97.724,99.15,99.181,102.076,108.227,110.498,111.24,109.636,110.174,108.197,106.032,109.572,106.843,107.499,108.04,109.742,108.528,107.503,105.916,105.845,103.928,104.347,102.414,102.11,100.554,101.117,101.23,100.54,99.539,98.692,98.948,96.999,95.781,96.155,95.971,97.411,98.488,100.608,102.091,102.041,102.259,102.896,105.311,107.46,107.505,110.527,112.469,114.175,113.336,115.427,116.617,116.628,118.729,120.627
"35","27","  Industrial supplies and materials, except petroleum and products","B649RG3",23.714,23.712,23.709,23.706,24.044,24.099,24.088,24.091,24.496,24.497,24.482,25.191,25.343,25.502,25.904,25.74,25.81,25.821,26.172,26.56,27.035,27.812,28.324,28.731,30.007,32.315,34.149,37.048,41.299,47.221,51.061,53.394,53.376,51.522,48.749,46.187,47.526,49.244,50.245,51.307,53.082,54.008,54.337,54.939,56.173,57.387,58.699,60.096,63.731,67.098,70.05,76.034,81.468,83.28,84.246,84.685,85.15,85.224,84.093,83.426,84.105,82.367,79.939,78.576,77.67,77.384,77.529,75.476,76.645,77.266,75.827,74.811,72.103,71.898,71.657,70.759,71.357,71.517,72.19,71.781,73.189,75.457,77.717,80.101,83.574,88.056,88.75,91.233,93.422,93.595,91.917,90.767,90.011,90.162,90.409,90.758,91.35,89.776,87.826,87.261,87.912,88.013,88.467,88.585,88.078,87.963,86.985,87.177,87.983,88.703,90.47,93.544,96.165,97.94,99.199,99.148,97.892,96.682,95.921,96.429,97.632,95.97,96.544,96.345,93.872,92.763,90.981,89.789,89.589,90.051,92.211,93.614,95.799,98.599,101.26,104.342,107.794,102.102,95.24,90.696,89.747,92.72,93.059,94.365,100.613,99.409,99.641,100.775,106.522,111.139,113.525,115.958,118.29,120.021,122.042,132.065,128.709,129.29,131.928,132.195
"36","28","    Durable goods","B820RG3",22.093,22.091,22.088,22.083,22.389,22.468,22.453,22.458,22.862,22.864,22.84,23.501,23.606,23.766,24.127,24.005,24.074,24.092,24.415,24.793,25.256,26.02,26.55,26.927,28.149,30.454,32.163,34.778,38.972,44.536,48.081,50.331,50.36,48.624,46.01,43.514,44.716,46.294,47.162,48.19,49.873,50.797,51.097,51.731,52.898,54.032,55.318,56.642,60.091,63.24,66.048,71.724,77.042,78.724,79.57,79.981,80.519,80.575,79.468,78.834,79.531,77.831,75.577,74.317,73.349,73.079,73.203,71.242,72.418,73.03,71.669,70.636,68.051,68.634,68.309,67.93,69.061,69.769,71.083,70.714,72.071,74.547,77.519,79.764,83.496,90.558,91.365,95.132,97.149,96.949,94.532,92.383,90.147,91.393,92.144,91.219,90.268,89.346,87.781,86.905,87.935,88.998,89.46,88.361,89.48,89.21,87.776,88.627,89.789,90.655,92.046,95.2,97.789,98.489,100.225,99.603,97.587,97.942,97.563,97.416,98.761,99.801,100.174,98.794,96.898,95.811,93.998,92.15,92.937,94.105,96.263,96.335,100.044,100.855,100.388,98.713,99.162,98.649,96.089,91.859,91.511,93.061,93.261,92.892,92.827,92.783,95.747,98.044,104.176,112.301,115.628,115.511,118.254,118.442,116.368,117.929,121.58,128.973,132.998,133.413
"37","29","    Nondurable goods","B696RG3",25.812,25.812,25.81,25.812,26.197,26.197,26.198,26.197,26.587,26.586,26.587,27.359,27.591,27.744,28.205,27.971,28.041,28.038,28.425,28.816,29.297,30.069,30.526,30.972,32.298,34.51,36.503,39.834,44.005,50.36,54.603,56.996,56.899,54.897,51.938,49.331,50.856,52.757,53.946,55.04,56.917,57.825,58.192,58.72,60.031,61.343,62.661,64.139,67.977,71.614,74.722,81.052,86.537,88.51,89.633,90.103,90.462,90.561,89.408,88.699,89.345,87.557,84.935,83.458,82.624,82.315,82.481,80.326,81.485,82.115,80.584,79.59,76.739,75.595,75.448,73.942,73.917,73.412,73.323,72.869,74.338,76.377,77.87,80.395,83.57,85.368,85.947,87.147,89.542,90.089,89.14,88.965,89.62,88.729,88.488,90.039,92.055,89.881,87.587,87.3,87.624,86.855,87.305,88.503,86.545,86.571,86.006,85.575,86.039,86.616,88.757,91.741,94.372,97.223,98.024,98.515,98.015,95.263,94.125,95.285,96.331,92.014,92.78,93.743,90.682,89.55,87.804,87.331,86.049,85.774,87.958,90.765,91.401,96.323,102.181,110.095,116.525,105.61,94.436,89.542,87.959,92.403,92.858,95.867,108.692,106.237,103.729,103.622,108.878,109.653,110.965,116.302,118.138,121.646,128.244,147.671,135.882,127.928,128.778,128.851
"38","30","  Petroleum and products","B648RG3",8.331,8.456,8.707,8.581,8.331,8.456,8.331,8.581,8.456,8.456,8.331,8.331,8.456,8.456,8.581,8.832,9.02,9.27,9.521,9.521,9.521,9.771,9.771,9.959,10.335,10.899,12.089,15.847,33.699,42.843,42.969,42.531,42.405,42.029,41.653,42.594,44.159,44.472,44.723,45.537,47.541,48.606,48.606,48.982,48.6,48.357,48.293,48.485,50.924,59.568,76.547,86.19,102.287,111.805,114.054,117.634,126.46,130.587,121.957,118.882,117.446,112.117,114.689,113.43,101.48,101.976,104.598,103.043,103.046,104.172,102.229,101.22,97.961,98.9,94.326,96.087,78.985,48.356,41.903,46.666,57.441,63.632,66.08,62.574,55.431,55.249,51.797,47.043,56.336,66.831,61.15,64.446,71.027,58.011,72.806,105.154,73.679,63.124,61.347,65.898,55.583,63.65,67.482,65.149,59.836,62.142,55.427,51.335,46.222,53.502,58.576,55.299,58.347,63.87,57.999,58.282,63.578,70.676,71.034,80.924,77.467,65.378,64.052,64.546,50.513,45.518,42.126,41.522,37.758,53.582,67.917,80.391,95.001,95.398,104.136,105.199,91.692,88.114,85.634,66.521,66.664,87.536,93.017,93.53,112.112,96.483,102.067,101.114,112.466,125.747,136.835,148.548,145.008,168.664,201.397,201.102,200.744,232.096,242.182,201.983
"39","31","  Capital goods, except automotive","B650RG3",91.592,91.69,91.859,91.862,92.625,92.776,92.724,92.847,95.826,95.616,95.415,95.409,96.958,99.866,114.605,115.36,123.342,116.391,117.486,112.229,117.698,121.254,129.926,132.701,135.808,146.454,141.741,143.676,145.507,155.728,163.684,168.133,159.149,179.514,175.953,174.909,171.107,174.102,174.869,167.927,176.022,177.618,194.534,185.721,183.501,201.29,203.54,195.892,203.031,205.805,200.415,208.177,215.377,223.361,224.324,227.386,229.28,223.125,216.918,219.274,216.676,214.7,209.091,204.871,204.244,200.743,196.009,194.009,191.654,186.827,180.943,174.879,166.616,164.533,164.716,165.563,167.829,170.208,173.11,173.286,175.822,177.848,174.894,180.273,184.668,187.117,182.375,184.182,183.33,181.455,178.079,174.318,172.476,171.249,171.585,172.58,172.586,168.003,163.009,162.201,162.017,159.191,159.856,158.586,156.376,155.794,155.935,154.745,153.807,153.729,153.342,152.624,151.732,152.286,149.488,144.932,140.013,133.409,127.846,122.39,118.75,116.739,115.133,112.647,109.783,107.655,105.904,105.273,104.727,102.756,101.256,101.019,100.757,100.337,99.897,99.01,98.556,97.456,96.349,95.328,94.299,94.006,93.704,92.681,92.509,92.406,92.372,91.915,92.017,91.354,91.051,90.777,91.148,91.144,90.35,89.83,89.758,89.726,89.921,89.936
"40","32","    Civilian aircraft, engines, and parts","B932RG3",18.815,18.937,19.056,19.189,19.375,19.56,19.694,19.86,20.036,20.246,20.49,20.844,21.045,21.436,21.703,22.007,22.212,22.46,22.522,22.665,22.73,22.692,22.881,23.265,23.442,23.61,23.984,24.395,25.307,26.33,27.067,27.498,27.688,27.82,28.315,29.057,30.19,31.303,32.25,33.185,33.893,34.504,35.207,35.863,36.375,36.934,37.839,38.83,39.989,41.14,42.403,43.74,44.944,46.34,47.617,48.782,49.636,50.631,51.739,53.118,54.71,55.705,56.502,57.485,58.265,58.807,59.264,59.754,60.105,60.386,60.658,61.057,61.545,61.851,62.145,62.558,62.379,62.931,63.177,63.707,60.878,61.501,61.822,62.119,62.45,63.635,64.091,64.704,65.614,66.522,67.086,67.441,68.202,69.891,70.656,71.311,75.085,78.098,78.986,79.034,78.928,79.333,80.097,80.463,81.164,82.019,82.297,82.749,83.953,84.408,84.662,85.027,85.845,86.449,86.719,87.356,88.869,90.105,91.122,91.471,93.073,93.417,94.148,94.547,95.056,95.259,95.143,96.119,96.835,96.901,97.045,97.621,98.524,99.339,100.597,101.54,102.321,103.568,104.398,104.739,104.977,105.34,106.478,103.552,104,104.918,106.571,107.225,108.034,108.748,110.367,111.09,112.142,112.915,113.96,114.529,116.052,117.306,118.023,118.979
"41","33","    Computers, peripherals, and parts","B852RG3",6033.751,5782.117,6149.428,6170.062,5385.064,5644.963,5516.931,5731.834,6396.539,6030.496,5801.703,5906.619,5608.293,5236.423,5234.97,5004.079,4787.498,4613.129,4341.231,4181.446,3973.46,3999.836,3779.356,3752.488,3738.107,3618.922,3406.969,3227.514,2990.32,2808.535,2647.355,2562.902,2572.687,2547.313,2512.533,2431.634,2334.278,2214.292,2129.913,2062.848,2005.975,1926.942,1851.979,1773.509,1694.775,1625.811,1574.44,1494.718,1466.71,1423.495,1363.872,1283.647,1205.607,1130.719,1068.682,1025.071,1029.545,1023.674,1020.935,1006.095,989.322,947.345,924.414,906.906,846.294,801.521,761.091,729.609,691.588,652.599,626.189,607.765,601.543,591.076,567.509,533.272,501.186,487.944,479.579,470.07,440.061,414.379,389.548,388.289,393.518,390.829,381.491,375.838,366.439,360.773,353.985,346.343,342.417,340.651,339.66,333.216,319.096,306.755,291.029,280.825,274.767,266.633,258.995,253.159,249.252,240.205,233.585,225.631,222.728,219.579,213.62,208.862,205.098,200.462,196.901,189.973,181.908,171.625,165.492,161.261,155.714,150.132,144.659,137.39,129.898,122.999,119.619,114.855,112.04,106.856,103.228,102.737,102.467,100.43,99.808,97.295,95.641,92.108,88.442,85.126,84.498,84.226,82.964,81.048,79.672,78.412,77.061,75.585,75.224,73.559,71.671,70.235,69.057,68.064,66.024,64.567,63.393,62.125,61.319,60.871
