"","Table 7#10# Chain-Type Quantity and Price Indexes for Exports an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146"
"92","81","  Capital goods, except automotive","B650RG",69.67,69.75,69.88,69.88,70.46,70.57,70.53,70.63,72.89,72.73,72.58,72.58,73.76,75.97,87.18,87.75,93.83,88.54,89.37,85.37,89.53,92.24,98.83,100.94,103.31,111.41,107.82,109.29,110.69,118.46,124.51,127.9,121.06,136.56,133.85,133.05,130.16,132.44,133.02,127.74,133.9,135.11,147.98,141.28,139.59,153.12,154.83,149.01,154.45,156.56,152.45,158.35,163.82,169.9,170.64,173,174.5,169.83,165.11,166.89,164.87,163.35,159.07,155.86,155.39,152.73,149.13,147.61,145.81,142.14,137.67,133.05,126.76,125.18,125.32,125.97,127.7,129.5,131.7,131.83,133.73,135.26,133.01,137.1,140.46,142.32,138.7,140.07,139.37,137.96,135.43,132.56,131.15,130.23,130.48,131.19,131.08,127.65,123.91,123.32,123.27,121.21,121.78,120.86,119.19,118.78,118.91,118.02,117.33,117.29,117,116.45,115.75,116.18,114.08,110.63,106.91,101.91,97.68,93.51,90.74,89.23,88.04,86.18,84.08,82.5,81.2,80.74,80.32,78.81,77.67,77.5,77.31,77,76.65,75.99,75.68,74.89,74.1,73.37,72.67,72.51,72.32
"93","82","    Civilian aircraft, engines, and parts","B932RG",20.91,21.05,21.18,21.33,21.53,21.74,21.89,22.07,22.27,22.5,22.77,23.16,23.39,23.82,24.12,24.46,24.69,24.96,25.03,25.19,25.26,25.22,25.43,25.86,26.05,26.24,26.65,27.11,28.12,29.26,30.08,30.56,30.77,30.92,31.47,32.29,33.55,34.79,35.84,36.88,37.67,38.35,39.13,39.85,40.42,41.05,42.05,43.15,44.44,45.72,47.12,48.61,49.95,51.5,52.92,54.21,55.16,56.27,57.5,59.03,60.8,61.91,62.79,63.89,64.75,65.35,65.86,66.41,66.8,67.11,67.41,67.85,68.39,68.73,69.07,69.54,69.38,69.98,70.2,70.71,67.43,68.05,68.36,68.67,69.08,70.4,70.91,71.59,72.59,73.59,74.22,74.61,75.45,77.32,78.17,78.9,83.08,86.42,87.4,87.45,87.32,87.77,88.61,89.01,89.79,90.74,91.05,91.55,92.88,93.38,93.66,94.07,94.97,95.64,95.94,96.64,98.32,99.68,100.81,101.2,102.98,103.34,104.15,104.6,105.15,105.39,105.26,106.34,107.14,107.21,107.34,107.96,108.93,109.83,111.23,112.26,113.07,114.46,115.39,115.78,116.05,116.45,117.68
"94","83","    Computers, peripherals, and parts","B852RG",3593.88,3406.51,3598.11,3600.39,3162.67,3319.45,3247.85,3376.7,3763.1,3547.76,3413.16,3474.88,3299.37,3080.6,3079.75,2943.91,2816.5,2713.92,2553.96,2459.96,2337.6,2353.11,2223.41,2207.6,2199.14,2129.02,2004.33,1898.76,1759.21,1652.27,1557.45,1507.76,1513.52,1498.59,1478.13,1430.54,1373.26,1302.67,1253.03,1213.58,1180.12,1133.63,1089.52,1043.36,997.04,956.47,926.25,879.35,862.87,837.45,802.37,755.17,709.12,665.16,628.76,603.19,606.43,602.63,600.42,590.94,579.11,553.66,539.68,529.25,494.49,468.34,444.73,426.34,404.11,381.33,365.89,355.13,351.49,345.38,331.61,311.6,292.85,285.11,280.23,274.67,257.14,242.13,227.62,226.89,229.95,228.37,222.91,219.6,213.96,210.74,206.84,202.41,200.3,199.21,198.5,194.63,185.8,178.92,169.91,164.22,161.23,156.77,152.42,149.01,146.59,141.27,137.36,132.66,130.95,129.1,125.6,122.8,120.6,117.88,115.8,111.72,106.95,100.91,97.31,94.84,91.55,88.27,85.04,80.77,76.38,72.32,70.34,67.55,65.88,62.83,60.7,60.41,60.27,59.06,58.68,57.24,56.43,54.49,52.43,50.53,50.23,50.17,49.48
"95","84","    Other","B853RG",50.77,50.91,50.9,50.89,51.55,51.52,51.5,51.46,53.04,52.99,52.92,52.81,53.84,55.77,64.91,65.5,70.75,66.42,67.34,64.1,67.74,70.03,75.91,77.65,79.72,86.93,83.92,85.33,86.6,93.46,98.87,101.88,95.8,109.53,107.04,106.33,103.8,105.88,106.47,101.95,107.36,108.57,120.08,114.26,112.94,125.33,126.96,121.92,126.77,128.7,125.04,130.63,135.9,141.77,142.54,144.83,145.96,141.05,136.15,137.6,135.34,134.02,129.94,126.73,127.04,125.21,122.47,121.65,120.84,118.17,114.29,109.99,103.51,102.1,102.93,104.71,107.89,110.34,113.15,113.66,118.04,121.37,120.36,125.44,129.11,131.4,127.56,129.61,129.42,127.94,125.21,122.16,120.52,119.16,119.45,120.89,121.54,117.72,114.38,114.82,115.4,113.51,115.28,114.82,113.01,113.85,115.2,115.34,114.73,115.22,115.93,116.06,115.74,117.21,114.91,111.36,107.63,102.51,97.55,92.31,89.34,88.42,87.93,86.93,85.64,85.07,83.98,84.56,84.69,83.95,83.27,83.09,82.78,82.85,82.38,82.01,81.86,81.49,81.25,81.11,80.04,79.77,79.79
"96","85","  Automotive vehicles, engines, and parts","B651RG",15.13,15.29,14.89,15.13,15.93,15.69,15.29,16.02,16.02,16.1,16.02,17.72,17.71,17.55,18.43,18.68,19.48,19.64,19.48,20.29,21.02,21.34,21.74,22.54,22.94,25.18,25.64,26.26,24.69,26.28,28.37,29.91,32.83,33.21,33.65,34.22,34.15,34.54,35.58,36.06,36.99,37.08,38.85,39.9,42.36,44.76,46.84,48.68,51.43,49.98,48.94,50.54,51.82,50.85,54.63,57.86,59.81,60.45,60,63.63,63.53,63.3,62.33,63,64.24,64.5,64.26,65.55,65.41,66.33,66.03,66.48,66.64,67.04,67.35,69.8,72.64,74.56,75.96,77.71,78.79,79.99,80,81.14,83,84.45,84.67,86.74,86.66,86.03,85.48,87.33,86.9,86.07,86.68,88.56,89.9,90.29,90.09,91.55,91.75,91.49,92.26,92.82,92.13,93.16,93.67,95.01,95.46,95.99,96.58,98.02,98.12,99.39,99.79,100.16,100.01,99.88,100.06,100.06,100.04,99.88,100.27,100.63,100.62,100.41,99.98,100.34,100.72,100.98,101.14,101.26,101.42,101.76,101.87,101.88,101.83,101.55,101.44,101.81,101.7,101.81,102.02
"97","86","  Consumer goods, except automotive","B652RG",24.59,24.06,24.12,24.04,23.68,24.6,24.88,24.7,24.2,24.53,25.59,25.74,25.98,26.31,26.36,27.55,27.97,28.08,28.87,29.43,30.34,31.57,30.91,31.37,31.93,34.6,36.34,37.64,39.89,41.93,45.25,47.07,51.47,51.55,50.95,52.36,52.04,51.58,52.26,51.88,51.85,54.32,54.88,57.43,58.47,59.25,59.49,62.46,61.95,63.57,63.57,64.08,66.34,67.4,71.13,70.58,70.4,70.24,69.74,71.3,70.43,70.43,69.4,68.36,68.65,69.19,69.13,68.9,69.62,71.05,70.63,71.11,69.4,69.71,70.22,71.56,73.61,75.13,77.14,77.37,79.79,81.72,82.55,84.75,86.8,88.28,87.54,89.13,89.94,90.15,90.11,91.02,92.09,93.11,93.15,94.12,94.44,93.42,93.26,94.41,95.86,95.94,97.18,97.81,96.8,97.51,97.76,97.94,97.8,98,98.37,98.65,98.94,99.8,100,99.96,100.28,100.11,99.92,99.69,99.21,98.92,98.68,98.42,98.03,97.51,97.09,97.27,97.25,96.69,96.59,96.66,96.36,95.95,95.88,95.61,95.58,95.28,95.1,94.72,94.4,94.12,94.22
"98","87","    Durable goods","B697RG",29.28,28.29,28.04,28.88,27.39,29.07,29.07,29.25,28.17,29.68,30.51,30.17,30.15,30.14,30.97,31.96,32.39,32.13,32.81,33.64,35.57,36.31,36.38,37.27,36.3,39.19,41.33,42.75,44.54,46.14,49.26,52.2,53.14,53.9,51.91,54.15,55.04,55.7,56.62,54.2,54.57,57.91,57.17,60.68,62.59,62.01,64.18,65.92,66.94,68.28,67.69,68.27,69.07,69.14,71.89,73.72,72.76,72.03,71.29,73.47,72.2,72.04,70.78,69.26,70.15,71.22,70.81,69.73,70.32,72,70.94,71.06,69.65,69.68,70.11,71.9,74.49,76.53,78.98,79.33,81.4,82.71,83.2,85.26,87.29,89.25,87.99,90.01,90.95,90.47,90.2,91.31,92.98,93.54,93.15,94.57,95.45,94.23,94.02,95.23,96.46,96.53,97.5,97.73,97.52,98.02,98.48,98.65,98.74,98.7,98.84,98.94,99.39,100.14,100.45,100.18,100.48,100.13,99.84,99.55,98.79,97.95,97.54,96.96,96.21,95.39,94.62,94.75,94.66,94.06,93.87,93.82,93.44,93.06,92.95,92.68,92.63,92.1,91.78,91.2,90.77,90.54,90.37
"99","88","    Nondurable goods","B698RG",18.6,18.61,19.02,17.97,18.8,18.89,19.46,18.88,19.03,18.13,19.34,20,20.5,21.16,20.43,21.74,22.13,22.62,23.51,23.74,23.49,25.27,23.8,23.8,26.06,28.41,29.63,30.77,33.56,36.18,39.78,40.05,49.1,48.22,49.36,49.68,47.93,46.29,46.69,48.64,48.18,49.49,51.86,53.08,52.9,55.59,53.14,57.78,55.27,57.22,58.01,58.39,62.72,65.22,70.5,66.37,67.36,68.05,67.91,68.57,68.27,68.51,67.77,67.38,66.84,66.69,67.1,67.99,68.86,69.99,70.4,71.37,69.25,69.93,70.58,71.31,72.62,73.46,74.91,75,77.88,80.57,81.83,84.2,86.25,87.16,87.04,88.11,88.76,89.83,90.05,90.73,91.1,92.64,93.16,93.64,93.33,92.52,92.42,93.52,95.2,95.29,96.84,97.89,96.01,96.94,96.97,97.16,96.78,97.23,97.86,98.34,98.44,99.44,99.52,99.72,100.06,100.09,100.02,99.84,99.67,99.98,99.91,100,100.01,99.83,99.81,100.04,100.1,99.6,99.61,99.82,99.6,99.17,99.13,98.87,98.88,98.84,98.82,98.68,98.48,98.14,98.56
"100","89","  Other","B653RG",24.74,24.56,24.3,24.31,24.42,24.45,24.37,24.31,24.36,24.46,24.5,25.61,25.97,26.09,26.91,27.27,27.48,27.47,27.62,27.81,28.86,29.66,30.19,30.75,31.69,34.33,35.6,37.43,38.28,41.51,45.07,48.07,50.29,50.08,48.12,47.78,47.9,48.89,50.19,50.82,52.75,54.39,55.28,55.73,57.57,59.46,60.54,61.97,64.39,65.41,65.38,68.35,71.19,72.14,74.13,75.09,75.83,76.02,74.71,75.7,75.31,74.86,73.89,73.55,73.63,73.59,73.56,73.26,73.41,74.05,73.24,72.88,70.92,71.2,71.03,72.71,73.94,74.06,75.1,75.82,77.71,79.63,80.4,82.59,84.51,86.46,86.08,87.78,88.78,88.85,87.87,88.13,89.03,89,89.84,91.54,92.1,91.26,90.48,91.27,91.99,92.05,93.17,93.55,92.93,93.77,94.13,94.59,94.76,95.46,96.64,97.8,98.65,100.05,100.5,100.45,100.24,100.14,99.8,99.81,99.81,99.36,99.39,99.29,99.2,99.68,99.03,99.27,99.11,98.87,99.2,99.57,99.86,100.3,100.75,101.06,101.66,100.57,99.31,98.92,98.68,99,99.31
"101","90","Imports of services \1\","B656RG",23.42,23.44,23.46,23.49,23.64,23.81,24.05,24.14,24.13,24.26,24.54,24.65,24.85,25.23,25.42,25.56,26.73,27.29,27.74,28.45,28.27,28.61,29.13,29.88,30.65,32.82,34.63,35.95,38.01,39.51,40.37,41.52,42.02,42.8,43.34,44.17,44.34,44.46,45.29,46.03,46.85,47.72,48.62,49.73,50.43,51.69,53.62,54.71,55.94,57.94,60.58,63.2,66.89,68.06,70.13,70.74,71.13,71.56,71.97,73.1,73.41,72.41,71.17,70.97,70.81,70.76,70.86,70.82,71.13,71.08,68.83,67.36,66.52,68.27,70.51,72.75,76.06,76.75,77.57,77.69,76.33,76.96,77.96,78.66,80.84,81.95,81.92,82.84,82.53,82.66,82.81,83.75,85.44,86.35,88.83,92.62,92.37,90.12,90.63,91.47,91.85,92.78,95.6,94.09,93.61,94.28,93.42,93.83,94.05,94.28,96.38,97.16,95.9,98.93,99.49,98.93,99.4,99.75,100.11,100.74,100.03,100.15,99,98.45,96.27,97.06,97.07,98.15,95.6,96.48,97.35,97.77,99.17,99.35,100.54,100.8,101.74,100.91,81.38,104.08,104.37,107.43,110.92
"102","91","  Direct defense expenditures","B752RG",12.9,12.9,12.9,12.91,12.91,12.96,12.96,13.01,13.01,13.01,13.23,13.23,13.22,13.44,13.55,13.55,14.85,15.21,15.46,15.69,15.89,15.71,15.95,15.98,17.09,19.31,20.78,19.48,19.72,21.87,23.15,24.48,25.34,25.77,25.12,25.57,26.85,26.15,27.85,29.33,30.28,30.58,32.32,32.83,34.58,35.14,37.88,38.8,40.73,40.32,43.63,46.1,48.7,49.92,53.33,52.29,51.36,50.67,50.7,52.15,51.74,51.86,51.44,50.57,50.64,49.65,49.35,48.71,48.86,49.33,47.36,46.31,44.32,46.55,49.59,52.2,54.99,55.13,57.2,58.04,62.04,64.44,67.87,69.23,72.57,74.9,72.37,75.01,73.07,72.25,72.41,74.78,79.14,81.3,88.3,96.72,91.4,84.21,84.41,88.02,86.92,86.79,96.29,90.79,86.41,89.69,88.62,87.51,84.35,88.71,94.47,94.93,94.76,102.88,101.78,102.33,99.39,98.7,101.14,100.78,94.26,92.67,89.66,90.66,85.14,87.48,89.84,94.32,90.86,89.23,90.89,91.88,89.25,86.6,86.71,87.93,87.48,85.5,87.57,86.32,82.94,87.74,94.07
"103","92","  Travel","B768RG",27.93,27.93,27.93,27.93,28.45,28.84,29.6,29.6,29.86,29.86,29.94,29.86,30.04,30.57,30.72,30.87,32.17,33,33.76,35.57,35.48,35.48,35.48,36.84,38.33,40.22,42.12,46.45,48.34,49.89,50.27,52.21,53.29,54.83,56.76,58.31,56.06,56.06,56.06,56.06,57.38,58.93,58.93,61.34,63.31,64.47,65.85,66.7,69.78,73.65,75.59,77.6,80.2,80.98,82.54,84.17,84.48,85.18,85.93,86.7,85.19,79.88,74.05,73.73,72.58,72.96,73.11,73.25,73.97,73.04,68.08,64.39,64.61,66.18,68.65,71.42,74.21,76.5,77.9,78.13,74.1,73.03,72.58,72.94,76.23,77.64,78.74,79.39,78.4,78.52,78.81,79.36,80.44,81.63,83.06,84.63,86.85,84.49,85.78,87.24,89.71,90.76,93.48,91.05,91.48,92.43,90.99,92.47,94.09,93.09,96.37,98.11,93.45,98.56,98.93,97.56,98.2,99.38,100.92,101.52,100.57,101.12,99.47,97.65,94.4,95.78,95.05,97.47,97.82,97.64,97.75,98.69,98.7,97.22,96.42,94.44,94.71,94.22,94.94,94.72,93.18,97.2,102.27
"104","93","  Passenger fares","B769RG",32.88,33.15,33.41,33.65,34.07,34.16,34.24,34.33,34.51,34.53,34.54,34.56,33.56,34.26,34.96,35.66,36.76,37.2,37.64,38.07,39.32,39.18,39.06,38.92,35.63,37.51,39.42,41.36,44.84,45.86,46.85,47.76,49,49.55,50.1,50.65,50.74,51.6,52.46,53.32,56.52,55.81,55.11,54.42,51.28,52.2,53.12,54.04,52.97,55.19,57.41,59.64,63.21,64.58,65.94,67.29,69.75,70.33,70.91,71.49,72.9,72.96,73.01,73.06,73.81,73.37,72.93,72.5,72.32,71.7,71.09,70.47,67.96,68.61,69.26,69.91,71.08,71.36,71.65,71.93,71.24,72.18,73.11,74.05,76.46,76.4,74.84,75.52,75.8,75.11,74.82,75.71,77.45,80.29,84.48,88.22,92.79,91.85,91.22,92.57,93.1,94.4,97.17,93.81,92.97,93.81,93.68,92.78,93.01,92.64,94.12,95.38,97.34,99.17,98.48,99.87,100.19,99.33,98.94,101.54,103.7,106.44,107.01,106.86,106.96,106.44,107.36,107.85,107.77,109.77,111.01,110.35,112.94,115.17,116.62,120.78,124.17,124.52,131.05,127.89,127.76,130.81,140.45
"105","94","  Other transportation","B770RG",21.58,21.56,21.53,21.5,21.28,21.38,21.49,21.61,21.06,21.6,22.05,22.52,23.42,23.59,23.71,23.85,23.73,24.05,24.35,24.64,23,24.77,26.44,28,28.34,30.38,32.34,34.31,38.82,39.01,39.2,39.3,38.37,38.95,39.54,40.16,40.86,41.42,41.9,42.36,41.87,42.96,44.06,45.15,44.79,46.81,48.8,50.77,50.85,54.06,57.21,60.35,66.81,67.86,68.87,69.85,70.53,71.71,72.89,73.95,76.34,76.58,76.8,76.9,76.47,76.88,77.29,77.66,77.31,78.05,78.75,79.43,77.78,80.05,82.24,84.38,92.43,90.92,89.13,87.35,82.41,83.48,84.59,84.89,85.27,85.5,85.51,85.74,86.87,87.59,87.43,88.35,89.9,88.66,90.55,97.62,94.35,92.78,93.11,91.94,90.27,92.01,93.46,94.02,93.33,93.84,93.14,92.84,91.99,92.96,94.31,94.35,95.25,97.53,97.89,98.23,99.57,100.22,99.73,100.49,99.72,97.96,97.06,96.68,94.12,95.91,96.81,97.27,96.74,105.23,112.99,114.95,115.74,115.92,118.33,119.99,118.55,117.55,115.74,110.93,109.22,110.4,112.64
"106","95","  Royalties and license fees","B908RG",22.05,22.2,22.4,22.65,23,23.22,23.52,23.82,24.07,24.36,24.69,24.98,25.33,25.72,25.93,26.23,26.72,27.15,27.48,27.78,28.05,28.27,28.54,28.94,29.41,29.97,30.5,31.09,31.88,32.72,33.77,34.59,35.33,35.88,36.56,37.22,37.75,38.21,38.81,39.53,40.32,41.09,41.78,42.57,43.24,44.29,45.14,46.08,47.05,48.19,49.48,50.69,52.11,53.29,54.54,56,57.5,58.6,59.58,60.82,61.62,62.12,62.88,63.6,64.14,64.96,65.73,66.19,67.09,67.83,68.38,68.95,69.58,70.21,70.73,71.5,71.94,72.18,72.84,73.4,74.17,74.83,75.51,76.19,76.79,77.66,78.52,79.37,80.33,81.33,81.95,82.69,83.83,84.71,85.77,87.02,87.74,88.23,88.86,89.5,90.24,90.91,91.42,91.99,92.7,93.23,93.56,94.07,94.62,95.14,95.85,96.34,97.03,97.61,98.07,98.56,99.22,99.63,100.22,100.81,101.39,101.6,101.89,102.19,102.22,102.43,102.72,103.02,103.4,103.91,104.43,105.01,106.12,106.63,107.25,107.72,108.42,108.77,108.74,108.87,109.16,109.75,110.09
"107","96","  Other private services","B909RG",36.6,36.69,37.01,37.42,38.09,38.49,38.93,39.5,39.89,40.45,41.04,41.54,42.23,42.86,43.19,43.69,44.43,45.14,45.74,46.32,46.81,46.99,47.27,47.53,47.81,48.25,48.64,49.05,49.65,50.54,51.68,52.58,53.44,53.95,54.66,55.38,55.97,56.76,57.38,58.11,58.88,60.09,60.77,61.75,62.28,63.31,64.13,63.35,63.31,64.15,65.07,67.87,69.01,70.4,72.11,73.33,74.33,75.17,73.86,74.84,75.45,76.3,78.07,78.89,79.49,80.27,80.87,81.25,81.7,81.6,80.61,80.94,81.66,82.46,83.32,84.4,84.69,85.51,86.47,87.34,88.1,89.62,90.86,91.89,92.69,93.5,94.14,94.67,95.12,95.71,96,96.41,97.1,97.6,98.29,99.06,99.64,99.41,99.21,98.95,98.52,98.85,99.73,100.42,100.55,99.36,98.72,99.23,99.38,99.45,99.7,99.69,99.32,99.72,101.7,100.05,100.55,100.38,99.48,99.58,99.44,99.74,98.46,98.45,97.29,96.9,96.23,95.56,86.6,84.46,82.06,81.3,85.46,87.35,90.14,90.12,91.92,90.11,27.26,103.74,107.88,111.03,112.37
"108","97","  Other","B910RG",24.62,24.7,24.8,24.93,25.37,25.68,26.2,26.34,26.57,26.71,26.92,27.03,27.3,27.76,27.94,28.18,29.03,29.63,30.15,31.11,31.21,31.34,31.49,32.28,33.16,34.24,35.31,37.35,38.57,39.69,40.5,41.76,42.64,43.59,44.76,45.76,45.25,45.53,45.89,46.32,47.33,48.42,48.85,50.29,51.48,52.58,53.63,54.53,56.31,58.52,60.07,61.59,63.5,64.57,65.97,67.53,68.65,69.6,70.47,71.5,71.31,69.5,67.4,67.7,67.66,68.32,68.82,69.13,69.83,69.82,67.9,66.47,66.91,68,69.47,71.17,72.74,73.89,74.85,75.22,73.95,73.82,73.94,74.45,76.3,77.4,78.36,79.12,79.28,79.92,80.4,81.06,82.17,83.17,84.38,85.75,87.04,86.4,87.31,88.3,89.71,90.53,91.97,91.3,91.87,92.56,92.17,93.08,94.09,93.95,95.75,96.73,95.08,97.84,98.3,98.06,98.96,99.66,100.43,100.96,100.85,101.14,100.42,99.95,98.27,99.17,99.07,100.3,100.39,101.85,102.88,103.59,104.67,104.51,104.83,104.39,104.54,104.47,104.23,102.95,102.37,104.86,106.87
"109",NA,"  Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","98","    Exports of agricultural goods \4\","B181RG",30.07,30.07,29.67,28.99,29.4,29.53,28.72,28.65,29.51,29.44,29.51,29.12,29.75,30.03,30.78,31.46,32.17,32.64,32.85,32.13,32.73,33.49,34.32,36.68,41.67,46.54,55.65,60.5,67.45,67.74,67.7,74.95,73.76,67.57,65.83,64.62,63.54,63.13,64.34,64.12,66.86,69.83,62.14,60.4,64.17,66.91,68.31,69.65,72.95,74.61,79.14,78.89,78.93,75.74,80.26,86.91,89.77,87.23,82.14,78.67,78.16,76.17,73.03,71.49,73.65,75.92,78.97,83.2,83.3,84.52,80.95,76.44,75.53,74.89,71.03,71.63,69.46,67.85,63.01,66.4,65.69,69.53,67.47,73.24,73.38,80.97,87.9,83.23,85.48,85.15,83.21,81.38,81.13,82.67,79.81,77.83,80.19,80.86,79.04,80.65,79.47,79.34,77.76,77.94,78.73,78.27,80.95,82.05,84.74,83.53,81.92,83.85,86.04,88.05,92.84,97.07,98.96,105.01,101.77,94.27,95.04,94.69,92.6,91.28,87.41,86.1,84.03,82.07,80.46,78.43,77.92,77.88,77.43,78.37,75.79,77.68,78.04,77.39,79.19,76.81,76.19,76.96,81.19
"111","99","    Exports of nonagricultural goods","B182RG",28.68,28.47,28.44,28.8,28.77,29.52,29.06,29.24,29.88,29.75,30.31,31.39,31.74,32.47,32.34,32.43,33.29,33.13,32.81,33.28,33.75,33.93,33.87,34.42,34.95,36.17,37.43,39.51,42.25,44.39,48.04,49.97,52.61,52.95,52.91,53.87,55.16,56.04,56.21,57.82,58.4,58.65,60.22,60.61,61.13,62.58,63.71,66.42,68.82,72.49,73.76,75.38,78.44,80.69,83.33,85.26,87.55,87.82,89.85,91.47,92.84,93.69,93.84,93.89,93.84,94.65,95.84,96.84,98.38,99.87,100.58,99.97,99.49,98.96,98.06,97.21,96.36,95.83,95.8,96.19,96.8,98.09,98.74,100.08,101.65,103.38,104.08,104.31,105.05,105.02,104.2,103.68,103.22,103.13,104.01,105.29,105.05,104.25,103.09,102.9,102.63,102.5,102.32,101.86,101.77,101.96,101.4,100.98,101.32,101.88,102.61,103.26,104.46,104.99,103.96,102.65,101.68,100.47,99.44,98.41,98.11,97.85,97.71,97.12,96.24,95.56,94.65,94.25,94.04,94.13,94.37,94.92,95.28,95.6,95.92,95.85,95.75,95.43,94.62,93.9,93.69,94.19,94.64
"112","100","    Imports of nonpetroleum goods","B187RG",28.64,28.4,28.33,28.37,28.67,28.87,28.88,29.07,29.29,29.41,29.62,30.7,31.05,31.39,32.39,32.71,33.28,33.12,33.43,33.84,34.76,35.83,36.46,37.26,38.4,41.62,43.18,45.45,47.25,51.52,55.55,58.31,59.79,59.97,57.71,57.02,57.73,59.01,60.34,60.68,62.89,64.97,66.11,66.64,68.43,70.73,71.94,73.44,76.36,77.86,78.69,82.53,86.32,87.72,90.55,91.76,92.55,91.92,90.28,91.09,90.92,90.06,88.19,87.51,87.4,87.34,86.97,86.51,86.82,87.35,86.11,85.19,83.02,82.87,82.89,84.43,86.61,87.56,89.29,89.71,91.18,93.05,93.53,95.96,98.5,100.68,99.98,101.87,102.52,102.09,100.8,100.59,100.76,100.56,100.94,102.06,102.73,101.51,100.13,100.57,101.34,100.62,101.36,101.52,100.49,100.89,101.05,101.29,101.34,101.82,102.66,103.64,104.12,105.04,104.85,103.77,102.36,100.7,99.1,97.84,97.01,96.17,95.82,95.09,93.8,92.95,91.93,91.72,91.51,90.95,90.84,91.06,91.29,91.54,91.79,91.89,92.28,90.97,89.55,88.64,88.14,88.57,88.69
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114"," 1. Exports and imports of certain goods, primarily military equipment purchased and sold by the Federal Government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
