"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"30","22","    Leather and allied product manufacturing","S3160",1599,1600,1589,1631,1675,1646,1650,1625,1637,1662,1662,1655,1618,1619,1622,1653,1680,1679,1688,1688,1678,1684,1674,1581,1589,1580,1585,1582,1574,1613,1592,1620,1628,1650,1660,1613,1629,1658,1643,1641,1628,1644,1651,1654,1668,1675,1672,1594,1631,1648,1650,1755,1686,1619,1616,1591,1564,1527,1512,1447,1452,1435,1433,1389,1358,1373,1413,1433,1421,1410,1451,1450,1450,1461,1466,1460,1449,1461,1431,1437,1460,1458,1463,1469,1443,1444,1439,1445,1443,1427,1425,1407,1400,1433,1445,1494,1453,1471,1488,1493,1472,1475,1497,1492,1528,1556,1544,1535,1539,1506,1490,1511,1518,1546,1574,1603,1623,1628,1635,1677,1687,1697,1720,1723,1724,1717,1732,1724,1723,1736,1795,1774,1781,1770,1805,1814,1932,1925,1869,1846,1817,1837,1800,1780,1763,1753,1747,1773,1775,1728,1708,1705,1665,1635,1593,1609,1626,1644,1659,1656,1663,1662,1676,1700,1716,1714,1738,1744,1817,1855,1900,1929,1941,1955,1971,1974,1959,1972,1967,1968,1972,1988,1977,1991,1992,2013,2018,2053,2038,2022,2063,2081,2084,2130,2153,2175,2181,2210,2195,2204,2194,2218,2220,2222,2240,2280,2326,2343,2360,2351,2392,2386,2382,2418,2407,2395
"31","23","    Paper manufacturing","S3220",15087,15132,15513,15554,15820,15690,15720,15866,16064,16122,16257,16540,16629,16606,16612,16557,16473,16501,16527,16590,16464,16380,16311,15928,15908,15637,15699,15523,15471,15423,15259,15432,15707,15766,15786,15920,16142,16294,16302,16509,16782,16842,17005,17125,16986,17162,17102,17029,17141,17052,16946,16890,16722,16680,16348,16064,15956,15747,15644,15558,15554,15587,15564,15507,15433,15591,15591,15760,16069,16304,16460,16561,16596,16621,16340,16526,16585,16590,16465,16507,16566,16566,16534,16497,16425,16521,16567,16798,17086,17198,17542,17652,17746,17950,18063,18069,18247,18344,18412,18468,18483,18543,18622,18635,18762,18817,18741,18967,19032,19292,19435,19567,19686,19745,19869,19870,19925,19868,19960,19811,20025,19975,19848,19763,19631,19545,19614,19572,19565,19615,19651,20066,20098,20190,20561,20814,21181,21531,21733,22000,22036,22345,22207,21451,21038,20584,20206,19595,18908,18715,18413,18283,18226,18054,18108,18015,18215,18398,18471,18840,19206,19422,19352,19478,19624,19814,19997,19889,20029,20169,20208,20210,20301,20275,20315,20329,20381,20347,20210,20088,19291,19367,19511,19548,19516,19505,19487,19498,19459,19555,19633,19784,19748,19787,19764,19774,19818,19816,19961,20041,19990,19946,19991,20004,20082,20081,20207,19972,20378,20419,20371,20371,20391,20379,20481,20240
"32","24","    Printing and related support activities","S3230",6277,6207,6283,6529,6732,6668,6391,6670,6635,6677,6733,6912,6682,6709,6717,6647,6715,6618,6815,6693,6780,6576,6412,6447,6478,6426,6386,6456,6373,6305,6141,6130,6213,6206,6408,6548,6583,6717,6724,6482,6480,6558,6515,6657,6751,6922,6952,6852,6898,6896,7048,7088,7015,6902,6843,6797,6536,6420,6228,6115,6362,6227,6154,6270,6187,6366,6372,6284,6246,6339,6401,6344,6406,6313,6300,6236,6254,6205,6251,6230,6254,6204,6222,6271,6194,6286,6262,6276,6454,6463,6477,6599,6611,6667,6674,6654,6478,6531,6633,6638,6702,6815,6935,6872,7031,6943,6995,7024,7040,6974,6997,7070,7080,7233,7346,7354,7412,7443,7379,7310,7261,7233,7158,7097,6977,7025,6993,6998,7061,7096,7079,7254,7315,7432,7532,7527,7620,7591,7477,7504,7501,7424,7632,7548,7266,7076,6877,6622,6435,6242,6084,6020,6023,6007,6067,5960,6029,6032,5976,6039,6152,6196,6240,6278,6284,6363,6411,6472,6563,6587,6567,6608,6488,6487,6527,6493,6539,6550,6507,6436,6512,6507,6490,6432,6353,6372,6256,6205,6189,6187,6250,6273,6309,6285,6367,6392,6337,6605,6716,6895,7107,7373,6161,6505,6480,6496,6477,6499,6500,6427,6427,6409,6370,6387,6530,6550
"33","25","    Petroleum and coal product manufacturing","S3240",13657,12869,12240,11514,11566,11558,11289,11609,11617,11685,11789,11399,10448,9954,9810,9691,9513,9236,9180,8896,8758,8860,9042,8232,8036,7793,8735,9345,9591,9857,10482,11179,11685,12296,13329,14092,14587,14946,14816,14449,14702,15637,15534,15094,15572,16336,16555,15501,15867,15464,14999,14782,14750,14579,13884,13764,13333,12198,11589,11566,10917,10871,12179,13130,13331,13527,13923,14144,14813,14952,14862,15829,17349,18480,17886,16359,14962,15745,15486,15600,15469,15924,16516,17373,18583,18881,18587,18635,19333,19796,20451,21098,22151,24363,25002,22546,23619,25083,26403,25755,24076,25657,27919,29534,30772,31580,30832,31574,33226,32663,32601,35015,36895,37281,37089,37826,34505,31425,31853,32576,31849,32956,33927,35850,37090,38297,38966,39855,44276,48760,52894,55532,64490,67762,71898,75693,79304,90215,88782,81692,70717,52568,36741,25421,24042,23747,26032,27239,30397,35136,35865,37569,38176,40682,42284,44706,46207,50202,50728,47464,40605,39501,40730,41344,43379,45063,48857,53118,55937,60045,65416,71758,69230,66327,63296,61984,60435,63463,64994,64917,67102,70050,68388,65582,58469,53382,51387,55158,58730,55660,53456,54798,57551,57422,56283,52285,50522,49913,52322,54993,53890,51902,49833,51398,53786,55081,53207,53112,52778,53062,51037,48836,46637,42225,37627,29739
"34","26","    Chemical manufacturing","S3250",44944,45054,44970,45065,45187,45553,45530,45671,46311,46851,47239,47346,47341,47408,47492,47546,47512,47653,47875,48051,47746,47909,48265,47903,48330,48293,48185,48547,49599,49578,50076,50202,50484,50936,51776,52440,52763,53174,53240,53320,53887,54464,55682,55786,56164,56535,56774,56757,57552,56948,57096,57180,56865,56398,55715,54981,55552,55509,54582,54050,53976,54251,54269,54463,54176,53736,55268,55891,56179,56784,57383,56658,56409,57854,58152,58218,58296,58113,57940,58349,58097,58226,59055,58856,58472,59738,60370,61455,61895,62379,62969,63899,63835,64246,65206,66344,66577,67867,69333,69783,69786,70521,70608,70858,72701,73725,73024,74877,76210,75895,76913,77290,77905,79466,79832,79823,80154,79827,80112,80136,80154,80904,82119,83208,84232,85248,85781,85644,86711,88156,90894,91232,92515,93497,94119,95006,96935,99048,101547,101828,98869,93449,89003,85036,83601,82883,82785,81548,81437,81353,81502,81611,81846,81929,82401,81867,83711,85299,86435,87327,87868,87282,87687,88726,89367,91690,92592,95332,97737,99974,100805,102915,104587,104898,104792,104586,104552,104672,103630,102750,98682,99540,101005,102236,101478,100584,100786,101771,103660,103192,103013,105065,107051,109520,109983,109730,108692,109110,108775,109078,108645,107685,107777,108509,109951,110802,110979,110272,110078,108927,108544,108520,108183,107196,105840,103161
"35","27","    Plastics and rubber product manufacturing","S3260",16062,16081,16170,16222,16345,16460,16375,16365,16329,16380,16399,16380,16470,16474,16480,16386,16437,16494,16427,16333,16165,16053,16139,16020,16120,16048,16170,16330,16540,16602,16817,17051,17345,17519,17637,17635,17568,17788,17644,18044,18306,18341,18495,18454,18282,18348,18332,18256,18472,18438,18447,18317,17948,17693,17294,17162,17053,16876,16817,16585,16931,15881,16063,16203,16379,15969,16180,16369,16831,17238,17441,17767,17831,18374,18598,18988,18984,18839,18556,18370,18282,18276,18238,18237,18230,18399,18482,18747,18861,19138,19519,19853,20257,20740,21020,21174,21832,21996,22246,22116,22088,21888,21707,21796,21751,22362,22887,23012,23388,23465,23537,23768,23860,23955,24224,24329,24400,24488,24396,23821,23801,23769,23916,24068,24341,24515,24717,24717,24761,24714,25121,25615,25747,26039,26396,26567,26715,26941,27710,28307,27678,27149,26244,24594,24010,23518,23024,22744,22519,22550,22410,22440,22563,22600,22640,22381,22718,23105,23587,23896,24006,23859,23997,24040,24172,24250,24457,24597,25179,25704,25736,26553,27061,27487,27673,27662,27464,27289,27012,26830,27085,27394,27723,28020,28164,27815,27634,27552,27691,27880,27878,28120,28398,28693,29110,28908,28834,28984,28871,28931,29037,28873,29028,29479,29212,29756,29882,29876,29883,29504,29540,29682,29659,29618,29398,28793
"36","28","Merchant wholesale industries","N802RC0",244185,244551,246541,247173,248016,251990,250830,252096,254611,255810,257847,259338,259106,261670,263579,263299,264903,264077,263974,265637,266746,267665,268896,269436,269874,272019,273107,273670,274234,274335,277211,278366,280262,283165,286596,287571,289833,291446,293244,295280,296512,297924,298016,298825,299548,302518,304863,305173,304184,303596,302978,303527,304254,301353,298236,297419,296541,294814,292028,291053,291111,289580,290632,290134,290925,292705,295952,297216,298444,297153,295984,297523,297553,298849,299086,298853,297481,297219,297636,297611,299610,303406,305050,308053,309086,313717,316537,317112,320630,322813,328527,331924,331692,336632,340222,340624,346456,349223,351775,354494,354078,355780,358117,360936,363562,366921,368455,372518,373867,377077,379278,385652,390098,392929,395847,399032,400678,403468,409427,407793,408937,412293,416060,417310,418970,420478,421150,422832,428459,431829,438888,445792,451480,456311,458445,466120,469028,475714,482240,483441,476152,460999,450748,443534,440465,433082,424924,420862,418237,412166,406502,402695,399827,403041,410308,409203,408961,410354,413155,414702,416186,416664,421417,428494,437607,450892,453688,460439,465734,471016,475844,478905,488085,491821,493741,495447,490566,493605,492437,496543,497089,503192,503697,505090,504272,506686,515258,519986,526994,525069,528650,529737,535382,533674,533688,533766,530891,532424,532076,533616,534906,539325,542454,545393,550296,553499,559841,566037,567935,568779,568121,571632,573029,575616,579399,578290
"37","29","  Durable goods merchant wholesale industries","N803RC0",153498,153914,155642,156210,157129,160508,158977,159377,161341,161188,161911,163670,164140,165882,167317,167423,168470,167651,167759,169829,170577,171319,170813,171856,172344,173692,174479,173866,175345,176184,177569,177287,178520,180188,182873,183575,184201,184999,185742,187365,188455,190154,190355,191097,190721,191531,192550,192178,191731,190594,189754,189064,188352,184742,182818,181094,180017,179715,176468,175210,174625,173145,173291,173115,173281,173596,174664,175233,175222,174001,173691,173463,173108,174581,175027,175526,174867,174864,174365,174027,174448,175124,175451,178208,179288,182504,185111,185934,189042,191649,195298,199543,200398,202854,205222,206295,209806,211834,212764,214048,214199,215965,217531,218366,218656,222028,223570,225883,226907,229357,231129,236739,239639,241257,243166,244577,247217,249527,250808,250409,252027,253473,255137,254546,255836,255261,253974,254048,255231,255436,257150,259574,262855,265232,267437,272596,274520,275696,279128,281516,280461,274927,270968,267379,264691,257418,250000,244708,240344,236838,233571,230578,229076,229165,228343,226233,225791,227517,230566,231128,232134,232087,233083,235720,238515,241475,243660,246847,249101,251988,253625,254373,259714,263323,265376,268248,268885,269896,269708,272139,273761,275877,278025,280520,281991,283016,284998,285047,288102,292095,293541,294123,296596,296477,297811,299020,295920,296100,298266,300882,301448,302838,304353,308708,310440,312529,314138,316190,319371,321764,323237,326586,329553,329137,331477,331559
"38","30","    Motor vehicles, parts, and supplies wholesalers","S42110",21658,21110,21431,20958,21406,22295,22216,22429,22674,22276,22058,22229,22552,22856,23335,22401,22326,22312,22246,22797,22999,23320,22543,23055,22989,23154,23546,23652,24125,24255,24725,24998,25328,25376,25857,25882,26115,26224,26694,27151,27321,27511,27217,27241,26669,26669,26838,27175,26717,26710,26494,26579,26088,25814,25945,25878,25917,26347,25886,25598,25691,25488,25663,25406,26181,26472,26670,26355,27246,27488,28026,27436,27598,27818,27794,27998,27765,28384,27983,28107,27774,28476,27924,29030,28574,28882,29377,29116,29322,29325,30115,31306,31081,30578,31198,31234,32211,32173,31488,32382,32643,33847,34121,34301,33910,34424,34162,34589,33793,34958,35904,38207,37553,36783,36855,36241,36468,37464,37454,36607,37543,36862,37873,36837,37527,37893,37237,37911,38110,37296,37702,38178,38964,39344,38776,40598,40049,40174,40549,41577,41803,41407,41720,42741,41809,38628,37345,36323,35854,34849,34144,33640,33792,34677,34609,33712,34041,34266,34773,34229,33877,33868,34175,34048,34621,34665,35584,36298,37100,38315,38628,36967,38776,40676,40757,42216,42512,42505,41421,43395,43445,42977,42918,43768,43971,44751,45114,44785,45047,45328,46162,45138,44655,44774,45058,46389,45843,45373,45331,46761,45172,47042,46867,46983,48061,48095,49108,48790,50269,50033,50497,50774,51713,51000,51179,51407
"39","31","    Furniture and home furnishings wholesalers","S42120",4836,4729,4641,4866,4933,4833,4775,4886,4939,4893,4974,4988,5026,5014,4967,5108,5176,5195,5226,5237,5250,5355,5288,5312,5302,5395,5431,5380,5424,5542,5578,5543,5564,5734,5573,5689,5682,5714,5774,5861,5936,6065,6177,6297,6115,6252,6371,6342,6437,6356,6394,6310,6258,6104,6069,5969,6047,6017,6016,5896,5893,5946,5856,5942,5987,6064,6185,6214,6260,6225,6228,6305,6258,6326,6408,6481,6535,6569,6479,6522,6512,6568,6648,6725,6901,6802,6851,6820,6822,6940,7039,7076,7110,7149,7260,7289,7316,7390,7463,7548,7575,7462,7532,7673,7724,7958,7972,7990,8035,8022,7926,7848,8152,8237,8273,8336,8423,8459,8491,8552,8575,8580,8695,8570,8593,8659,8682,8656,8669,8607,8722,8675,8844,8940,8781,8816,8600,8547,8603,8514,8396,8458,8482,8335,8073,7867,7686,7441,7267,7092,6864,6730,6724,6632,6531,6531,6427,6369,6336,6447,6596,6691,6836,6997,7053,7141,7146,7134,7188,7255,7169,7290,7232,7227,7157,7122,7094,7124,7190,7201,7250,7317,7435,7394,7472,7440,7534,7505,7584,7580,7747,7629,7718,7756,7765,7847,7901,7931,8087,8188,8346,8428,8412,8349,8389,8517,8523,8567,8557,8673,8605,8668,8872,8794,8756,8864
"40","32","    Lumber and other construction materials wholesalers","S42130",5184,5387,5446,5559,5606,5662,5674,5720,5693,5656,5818,5822,5848,5825,5737,5786,5657,5621,5715,5870,5446,5489,5544,5545,5599,5608,5713,5797,5940,5995,6171,6029,6011,6090,6074,6202,6284,6313,6327,6316,6312,6374,6337,6195,6198,6240,6327,6463,6311,6319,6354,6277,6315,6148,6189,6301,6365,6554,6422,6428,6454,6375,6444,6478,6470,6450,6501,6561,6641,6690,6698,6742,6867,7085,7120,7185,7194,7312,7347,7489,7585,7757,8065,8296,8535,8743,9014,9432,10161,9966,10249,10539,10752,10789,10523,10847,11363,11830,12036,11539,11639,11496,11544,11469,11063,11557,11594,11989,12165,12163,12231,12471,12474,12579,12485,12513,12607,12280,12217,12088,11907,11863,11749,11578,11434,11338,11250,11268,11163,11231,11221,11241,11228,10952,10590,10703,11088,11267,11438,11517,11440,11184,10735,10549,10145,9800,9470,9044,8717,8479,8444,8336,8306,8306,8333,8243,8376,8664,8743,8874,8953,8914,8750,8714,8569,8590,8619,8892,9056,9053,9130,9056,9010,9025,9057,9118,9258,9266,9315,9105,8944,8867,9069,9294,9436,9430,9477,9514,9660,9856,9815,9986,10549,10492,10532,10601,10384,10287,10390,10492,10476,10627,10923,11171,11228,11416,11466,11432,11525,11631,11483,11775,11986,12038,11989,11959
"41","33","    Professional and commercial equipment wholesalers","S42140",23813,24138,24172,24713,24847,25682,25828,25305,26158,26364,26145,26077,26256,26147,26591,26565,26428,25469,25252,25202,24816,24447,24670,24301,24168,24941,24840,23894,24434,24699,24496,24314,24392,24854,25316,25348,25727,25162,24665,24604,24551,24420,24387,24310,25050,25353,25288,24654,23963,23735,23106,23354,22806,22343,22146,21807,21148,20896,20289,20712,20213,19595,19849,20230,19832,19888,19743,20071,19588,18931,18944,19029,18922,18784,18930,18433,18544,18379,18617,18619,18674,18679,18863,18925,18941,19309,19412,19182,19474,19957,19876,20280,20183,20564,20888,20592,20698,20523,20520,20907,20595,20911,20876,20809,20765,21118,21021,21234,21621,22126,21715,21895,22277,22160,22573,22750,23114,23343,23502,23709,23803,23803,23935,24001,24102,24175,24256,24290,24387,24114,24240,24571,24472,24516,24910,24765,25181,25060,24897,25264,25453,25565,25412,24999,24378,24154,23570,23278,22683,22243,21770,21346,21565,21344,21655,22358,22107,22055,22795,23162,23542,23860,23786,24183,24040,24235,24532,24899,25248,25045,24632,24399,24976,25402,26355,26677,26379,26693,26529,26288,26188,26346,26691,26819,27382,27162,28050,27368,27358,28128,28043,28199,28699,28799,28788,29257,28603,29037,28617,28383,29072,28251,28703,29415,29609,30148,30548,30895,30867,31166,30965,31822,32186,31794,32251,32345
"42","34","      Computers and software wholesalers","S42430",14392,14567,14543,14738,15004,15742,15795,15367,16123,16185,15726,15859,15676,15401,16078,15774,15753,15206,14712,14848,14413,14235,14388,14564,14412,15225,14574,13677,14525,14632,14485,14408,14198,14604,14773,14818,14850,14868,13840,13701,13397,13399,13405,13282,13887,14484,13797,13069,12665,12376,11994,12036,11722,11080,11126,10683,10304,10291,9948,9966,9591,9458,9619,9928,9674,9673,9484,9703,9444,8977,8837,9011,9027,9014,9081,8932,9185,9066,9219,9074,8933,9055,9067,9389,9325,9349,9542,9562,9556,10010,9864,10070,9795,9939,10323,10006,9958,10026,10095,10081,9848,9984,9724,9840,10009,9933,9838,9858,10030,10144,10027,9933,9993,9793,9933,9880,10175,10344,10396,10333,10370,10261,10105,10073,10145,10136,10114,10173,10240,10035,9975,9977,9984,9787,10100,9960,10305,10013,10039,10227,10195,10490,10518,9994,9549,9474,9182,9107,8930,8888,8696,8524,8734,8795,9051,9785,9572,9783,10199,10639,10904,11069,11045,11253,11159,11253,11306,11590,11794,11697,10975,10866,11301,11712,12324,12578,12329,12358,12495,11946,11908,11792,12002,11820,12180,12073,12799,12193,12099,12842,12622,12459,12716,12807,12775,13504,12665,12847,12409,12146,12859,11982,12300,12981,12948,13236,13441,14030,13702,14183,13641,14275,14598,13928,14186,14394
"43","35","      Other professional and commercial equipment wholesalers","S424X0",9421,9571,9629,9975,9843,9940,10033,9938,10035,10179,10419,10218,10580,10746,10513,10791,10675,10263,10540,10354,10403,10212,10282,9737,9756,9716,10266,10217,9909,10067,10011,9906,10194,10250,10543,10530,10877,10294,10825,10903,11154,11021,10982,11028,11163,10869,11491,11585,11298,11359,11112,11318,11084,11263,11020,11124,10844,10605,10341,10746,10622,10137,10230,10302,10158,10215,10259,10368,10144,9954,10107,10018,9895,9770,9849,9501,9359,9313,9398,9545,9741,9624,9796,9536,9616,9960,9870,9620,9918,9947,10012,10210,10388,10625,10565,10586,10740,10497,10425,10826,10747,10927,11152,10969,10756,11185,11183,11376,11591,11982,11688,11962,12284,12367,12640,12870,12939,12999,13106,13376,13433,13542,13830,13928,13957,14039,14142,14117,14147,14079,14265,14594,14488,14729,14810,14805,14876,15047,14858,15037,15258,15075,14894,15005,14829,14680,14388,14171,13753,13355,13074,12822,12831,12549,12604,12573,12535,12272,12596,12523,12638,12791,12741,12930,12881,12982,13226,13309,13454,13348,13657,13533,13675,13690,14031,14099,14050,14335,14034,14342,14280,14554,14689,14999,15202,15089,15251,15175,15259,15286,15421,15740,15983,15992,16013,15753,15938,16190,16208,16237,16213,16269,16403,16434,16661,16912,17107,16865,17165,16983,17324,17547,17588,17866,18065,17951
"44","36","    Metal and mineral (except petroleum) wholesalers","S42150",13257,13582,13676,13787,13795,13964,13965,13991,13979,13960,13990,14028,14092,14116,14184,14167,14245,14096,13944,14176,14095,14042,14088,13926,14032,13745,13489,13605,13827,13926,13857,13810,13952,14152,14357,14432,14761,15015,15244,15497,15306,15372,15405,15336,15195,14958,14797,14568,14530,14358,14122,13894,13850,13759,13660,13622,13333,13239,12945,12888,12831,12943,12985,13059,13209,13384,13642,13762,14066,13863,13869,13826,13554,13771,13800,13776,13528,13594,13542,13504,13664,13722,14045,14548,15386,16365,17438,17570,18129,18442,19346,20448,20668,21948,22638,22759,23276,23277,23561,23459,23060,22609,22529,22642,22907,23395,23746,23966,24577,25062,25349,26722,27983,28901,29376,30070,30686,30801,30850,30757,30612,31152,31682,31799,32181,31795,31409,30635,30394,30328,30308,31266,32192,33861,35569,37921,39494,41046,41434,41428,39225,36132,33550,30674,30415,29941,27633,26223,25489,24983,25015,25173,25051,25145,25222,24652,25626,25898,26871,27238,27305,26855,26618,26603,27342,28153,28975,29805,30429,31402,31966,32640,32829,33305,33412,33674,32933,32872,32901,33115,33726,34204,34342,34319,33866,33034,32583,33045,33738,34220,34090,34374,34381,34328,34412,33698,32921,32785,33218,33467,33221,33509,33753,34242,34732,34726,34355,34986,35672,36780,36778,36896,37296,36964,36981,36772
"45","37","    Electrical goods wholesalers","S42160",21116,20989,21338,20955,20892,21218,21030,21099,21036,20859,20700,21033,20779,20995,21449,21770,21978,22060,21929,22141,22422,22318,22474,22763,22856,23223,23059,22840,23183,23348,23975,23976,24191,24460,24984,25539,25521,25774,25948,25958,26402,27093,27651,27862,27985,28636,28875,28818,29072,28762,28872,28945,28277,27694,26592,26048,25823,25523,24630,23988,23743,23549,23362,23204,23329,23008,23221,23759,23407,23412,22964,22676,22792,22696,22860,23170,22993,23102,22893,22850,23002,22656,22168,22652,22319,23036,23489,23889,24305,24466,24548,24700,24822,24947,25249,25456,25837,26294,26465,26424,26421,26936,27477,27452,27283,27085,27325,27631,27463,28085,28339,28979,29295,29315,30201,30528,30967,31586,31580,31431,31530,31496,31710,31648,32255,32344,32242,32442,32635,32987,33552,33924,34199,34045,34420,34807,34977,35292,35139,35962,36710,37237,36689,35626,34848,34003,32856,32329,31487,30785,29962,29728,29938,29898,29746,30214,30212,30273,30694,30558,30867,31465,31887,32455,32661,32997,32601,32894,33044,33178,32866,33456,33998,33768,34052,34494,34602,35140,35535,35092,35445,35682,35886,35960,35967,36325,36244,36099,36412,36885,37237,38507,38345,38469,38622,38796,38617,38528,38796,39274,39706,39211,39109,40215,39016,39104,39075,39893,39988,40225,40497,41588,41514,41832,42329,41697
"46","38","    Hardware and plumbing and heating equipment wholesalers","S42170",9281,9314,9125,9389,9422,9415,9313,9366,9498,9461,9498,9490,9610,9897,9801,9943,9959,10045,10007,10073,10044,10115,10207,10343,10444,10362,10410,10413,10455,10474,10605,10380,10468,10526,10689,10619,10569,10770,10755,11031,11112,11296,11362,11448,11370,11475,11515,11621,11537,11483,11438,11336,11189,11260,11207,11377,11325,11228,11125,11020,11094,10970,10995,10959,11138,11151,11272,11297,11351,11226,11235,11353,11362,11774,11913,11947,11821,11760,11827,11667,11686,11783,11899,11997,12062,12149,12272,12375,12703,12860,13075,13299,13495,13719,13804,13878,14185,14364,14423,14506,14608,14692,14629,14777,14879,15210,15341,15656,16129,15988,16089,16175,16272,16540,16710,16932,17120,17169,17589,17678,17650,17703,18118,18619,18523,18541,18587,18489,18583,18528,18557,18620,18436,18358,18271,18183,18293,18253,18586,18755,18790,18621,18464,18050,17796,17326,17243,17154,16830,16747,16554,16284,16043,15987,15808,15705,15600,15534,15512,15383,15395,15453,15580,15893,16090,16151,16233,16330,16718,16840,16876,17054,17262,17387,17424,17395,17400,17593,17760,17714,17780,17904,17737,17785,17795,18085,17949,18085,18089,18105,18018,18212,18136,18246,18559,18848,18842,18579,18556,18464,18612,18623,18720,18803,18953,19153,19578,19938,19877,20096,20493,20450,20614,20905,21205,21326
"47","39","    Machinery, equipment, and supplies wholesalers","S42180",39245,39475,40109,40796,41526,42215,40907,40942,41567,42182,42655,43531,43587,44358,44747,45075,45940,46149,46808,47321,48045,48673,48647,49406,49671,49993,50327,50856,50478,50523,50794,50721,50778,50999,51612,51527,51109,51239,51522,51975,52304,52493,52085,52866,52990,52733,53184,52960,53346,53365,53524,53057,53895,53216,52681,52027,52121,52142,51337,51037,51226,50800,50705,50300,49865,49685,50150,49784,49377,48772,48552,48843,48445,48694,48598,48654,48560,47858,47720,47480,47447,47209,47516,47300,47910,48662,48382,48635,49248,50215,50725,51259,51418,52033,52462,53135,53422,54337,55184,55743,55937,56585,57031,57932,58032,58385,59303,59493,59602,59527,59996,60577,61396,62485,62849,63398,63897,64886,65010,64775,66200,66961,65875,65990,66377,66063,66167,66266,66649,67165,67716,68246,69023,69562,70042,70554,70194,69643,71636,72092,73057,72480,72738,73450,74432,72921,72111,71093,70059,68979,67448,66555,65549,64973,63890,62852,62302,62448,62156,62515,63737,63582,64432,65240,65369,66066,66394,66707,67090,67445,69236,69658,70438,71746,72320,72418,73972,74170,75059,75362,75468,77097,78123,79943,81023,81831,82701,84139,84790,85895,86397,86329,87806,87497,88230,88233,87633,88260,89370,89679,90492,90916,91707,93410,94695,95736,95955,96158,96935,97079,97584,98474,99260,99920,100978,101484
"48","40","    Miscellaneous durable goods wholesalers","S42190",15108,15190,15704,15187,14702,15224,15269,15639,15797,15537,16073,16472,16390,16674,16506,16608,16761,16704,16632,17012,17460,17560,17352,17205,17283,17271,17664,17429,17479,17422,17368,17516,17836,17997,18411,18337,18433,18788,18813,18972,19211,19530,19734,19542,19149,19215,19355,19577,19818,19506,19450,19312,19674,18404,18329,18065,17938,17769,17818,17643,17480,17479,17432,17537,17270,17494,17280,17430,17286,17394,17175,17253,17310,17633,17604,17882,17927,17906,17957,17789,18104,18274,18323,18735,18660,18556,18876,18915,18878,19478,20325,20636,20869,21127,21200,21105,21498,21646,21624,21540,21721,21427,21792,21311,22093,22896,23106,23335,23522,23426,23580,23865,24237,24257,23844,23809,23935,23539,24115,24812,24207,25053,25500,25504,24844,24453,24144,24091,24641,25180,25132,24853,25497,25654,26078,26249,26644,26414,26846,26407,25587,23843,23178,22955,22795,22778,22086,21823,21958,22681,23370,22786,22108,22203,22549,21966,21100,22010,22686,22722,21862,21399,21019,21587,22770,23477,23576,23888,23228,23455,23122,23853,25193,24787,24842,25134,24735,24533,23998,24867,25515,25483,25824,25238,25079,24958,25346,24507,25424,26098,26032,25749,26307,26116,25845,25351,25176,25320,25901,26174,26351,26231,26159,26120,25757,25634,25530,25531,25681,26081,26335,26139,26112,25890,25809,25705
