"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202"
"21","13","S2     Building material and supplies dealers","T060130",16748,16902,16791,16802,16784,16622,16614,16870,16973,17511,17809,17901,18223,17841,18657,17912,18126,18036,18190,18125,18074,18220,17822,18330,18379,18756,18900,19756,19041,19012,19122,19248,18861,19508,19632,19815,19984,20011,19890,20725,20330,20145,20118,20172,20327,20321,20592,20167,20975,19737,21036,20974,21133,21735,22093,22219,22292,22564,22604,22453,22302,22108,23876,23493,23356,23750,23708,23632,23856,23810,24207,24742,24912,24456,24755,25327,25113,25276,25200,25275,25820,26130,26260,26087,27906,27857,27838,26907,26098,25889,25741,25945,25286,25772,25241,25597,25698,25302,25509,24924,25406,24887,24933,24892,24537,24295,24410,24170,24094,23904,23336,23950,23737,23829,23794,23256,22929,22728,21553,21004,21146,21119,20664,20591,20719,20490,20291,20443,20494,19971,20052,19945,19527,19307,20693,21416,20384,20294,20207,20104,20262,20569,20607,20980,20138,19749,20298,20374,20594,21056,21122,20894,20861,21188,20998,21512,21548,21585,22145,21036,20620,20518,20556,20934,21221,21356,21596,21814,21819,22035,21696,22316,22500,22324,22621,22594,22594,22476,22499,22544,22588,22503,22636,23261,23344,23723,23674,23693,23547,23637,24053,23911,24234,23720,24606,24008,24057,24159,24412
"22","14","S3     Lawn and garden equipment and supplies stores","T060140",2754,2748,2595,2613,2677,2688,2702,2707,2642,2750,2806,2831,2993,2892,3014,2576,2501,2531,2548,2744,2742,2627,2717,2923,2782,2889,2611,2690,2810,2521,2556,2503,2647,2702,2630,2690,2723,2771,2645,2680,2711,2784,2758,2701,2698,2649,2756,2644,2757,2630,2764,2723,2798,2940,2923,2905,2800,2796,2759,2888,2801,2868,3252,2988,2913,2861,2882,2974,3031,3029,2905,3010,2899,2957,2910,2995,3018,3016,2953,3025,2846,2949,2973,2863,2977,2884,2972,3191,2931,2907,2956,2916,3024,2975,3008,3061,2988,3114,3376,2898,3151,2945,3054,3167,3333,3318,3556,3096,3217,3339,3344,3203,3348,3475,3612,3565,3588,3408,3440,3445,3414,3288,3264,3329,3253,3330,3191,2996,2799,2652,2998,3055,3131,3140,3119,3974,3159,3248,3392,3486,3563,3884,3629,3502,3458,3477,3485,3532,3650,3810,3653,3778,3799,4066,4022,4110,4085,3977,4430,4063,3771,3498,3763,3854,4319,4131,4135,4204,4264,4398,4274,4019,4400,4135,4600,4352,4371,4140,4182,4344,4344,4330,4534,4789,4713,4695,4555,4630,4520,4600,4724,4668,4759,4657,4568,4648,4686,4695,4728
"23","15","S1   Food and beverage stores","T060150",48411,48769,48787,49049,49102,48795,49015,48924,49060,48862,48784,50569,47753,48114,48681,49159,48584,49143,48715,48671,48828,49044,49287,49462,49266,49413,49194,49357,49356,49334,49077,49347,49315,49375,49681,49590,49173,49025,49038,48311,48783,48746,48808,48538,48451,48637,48725,48952,49257,48865,48792,48997,48522,48787,49076,48897,48813,48601,48213,48218,49050,48374,48795,48711,48595,48464,48452,48589,48978,48801,48871,49063,49411,49454,49369,49473,49430,49567,49474,49767,49756,49866,49879,49990,49649,50324,50096,50236,50595,50562,50525,50672,50244,51225,51131,51397,51080,51165,50757,50521,50668,50577,50718,50223,50461,50523,50683,50777,50429,50185,50234,50201,49719,49836,49339,49292,48966,48677,48538,48422,48700,48252,48441,48408,48813,48581,48592,48711,48944,48835,49046,49319,48950,49658,49215,48983,49036,48845,48470,49191,49163,49212,49576,49503,49773,49896,49458,49816,49550,49731,49639,49625,49029,49341,49432,48979,49400,49340,49531,49699,49798,49622,49789,49602,49977,50093,49872,49830,49904,50331,50264,49756,50341,50245,50364,50247,50502,50310,50273,51121,50773,50494,50460,50428,50227,50733,50554,50623,50685,50794,50921,51122,51344,51261,51700,51651,51856,51689,51596
"24","16","S1     Grocery stores","T060160",44069,44410,44431,44599,44698,44454,44696,44605,44694,44479,44380,46096,43305,43627,44176,44637,44024,44549,44100,44068,44201,44381,44606,45002,44548,44746,44523,44719,44705,44636,44386,44681,44685,44757,44973,44821,44529,44319,44342,43657,44083,44034,44103,43863,43821,44051,44112,44239,44640,44287,44156,44315,43853,44121,44360,44083,43992,43722,43425,43392,44174,43504,43920,43817,43693,43582,43559,43721,44121,43950,44014,44217,44609,44493,44458,44508,44510,44606,44526,44813,44766,44862,44841,44921,44485,45114,45034,45133,45472,45463,45413,45522,45067,45988,45851,46108,45806,45897,45457,45326,45361,45271,45433,45002,45162,45263,45418,45411,45236,45020,45034,44977,44495,44512,44010,44006,43715,43440,43366,43313,43566,43130,43294,43280,43622,43487,43489,43558,43802,43761,43906,44110,43825,44412,43943,43688,43830,43613,43317,43905,43879,43895,44245,44264,44509,44550,44203,44542,44273,44380,44297,44293,43673,43913,44035,43697,43958,43908,44056,44182,44246,44132,44310,44171,44456,44539,44300,44234,44333,44668,44680,44235,44770,44700,44748,44595,44843,44680,44615,45372,44981,44720,44667,44620,44429,44768,44642,44727,44778,44863,44972,45099,45291,45219,45627,45551,45756,45555,45447
"25","17","S3     Specialty food stores","T060170",1449,1458,1466,1471,1455,1440,1403,1402,1417,1425,1460,1501,1484,1490,1476,1547,1500,1508,1514,1484,1514,1507,1502,1461,1522,1530,1551,1531,1535,1561,1590,1568,1552,1516,1554,1610,1517,1548,1541,1539,1578,1601,1606,1615,1584,1584,1590,1608,1598,1557,1584,1604,1624,1606,1623,1658,1642,1673,1632,1639,1693,1685,1693,1686,1678,1685,1679,1658,1645,1607,1637,1655,1654,1656,1661,1710,1672,1670,1674,1652,1666,1645,1653,1650,1708,1667,1620,1621,1630,1624,1627,1660,1654,1723,1712,1713,1716,1674,1697,1637,1656,1637,1630,1636,1693,1695,1689,1724,1620,1597,1601,1636,1620,1648,1650,1629,1623,1600,1556,1536,1524,1553,1583,1572,1612,1585,1588,1595,1588,1532,1619,1601,1546,1598,1620,1626,1596,1604,1602,1628,1640,1644,1662,1627,1608,1641,1578,1623,1618,1642,1623,1607,1604,1678,1623,1608,1641,1632,1644,1652,1674,1648,1676,1660,1689,1681,1669,1667,1659,1732,1670,1642,1623,1637,1655,1684,1671,1666,1688,1762,1784,1760,1786,1763,1771,1807,1807,1817,1810,1826,1861,1898,1909,1872,1854,1907,1881,1899,1902
"26","18","S2     Beer, wine, liquor stores","T060180",2911,2919,2909,2994,2967,2919,2936,2937,2966,2974,2960,2993,2976,3008,3041,2992,3071,3097,3109,3127,3122,3163,3185,3015,3203,3147,3129,3117,3126,3146,3111,3109,3090,3113,3163,3167,3136,3165,3162,3122,3130,3119,3107,3069,3056,3014,3035,3113,3032,3033,3063,3088,3055,3070,3103,3162,3184,3209,3161,3191,3188,3189,3188,3212,3228,3201,3217,3213,3217,3247,3224,3197,3156,3307,3253,3258,3253,3295,3279,3306,3327,3362,3387,3420,3457,3542,3443,3482,3494,3476,3486,3492,3523,3516,3568,3576,3559,3595,3603,3558,3649,3668,3653,3585,3605,3563,3576,3641,3572,3567,3598,3586,3603,3676,3681,3658,3629,3639,3617,3573,3611,3570,3565,3556,3579,3509,3515,3558,3554,3542,3521,3607,3579,3648,3652,3669,3610,3627,3551,3658,3644,3673,3670,3611,3656,3706,3675,3649,3658,3710,3720,3726,3757,3754,3780,3675,3807,3805,3839,3873,3887,3849,3808,3776,3837,3880,3914,3940,3923,3942,3924,3888,3958,3916,3972,3979,4000,3976,3981,3998,4021,4029,4022,4061,4043,4182,4126,4098,4116,4124,4106,4144,4164,4191,4242,4215,4240,4260,4272
"27","19","S1   Clothing and clothing accessories stores","T060190",12577,12672,12882,12810,13033,13037,12952,13118,13088,13095,13141,13284,13067,13318,13599,13628,13894,13781,13669,14042,14272,14131,14190,14010,13986,14009,13637,14188,14034,13846,14044,14331,13519,14195,14241,14440,14584,14729,14717,14715,14596,14799,14699,14758,14480,15167,15010,15310,15268,14900,15378,15396,15661,15856,16051,16016,16124,16009,16325,16543,16565,16742,16994,16536,16667,16455,16583,16696,16851,17107,17053,17269,17217,17818,17331,17920,17701,18097,17787,17986,17637,18516,18470,18619,18696,18926,18729,18885,18686,18834,19091,18874,19377,19369,19150,19751,19630,19235,19823,19397,19806,19715,19913,19888,19887,19767,19950,19788,19727,19469,19582,19735,19832,19951,19831,19626,18595,18405,18389,18100,18389,18432,17517,17792,18020,17723,17920,18261,18063,18185,18054,18068,18314,18375,18817,18862,18742,18641,18727,18874,18790,19303,19729,19264,19387,19591,19784,19924,19748,19881,19676,19359,19995,19588,19760,19834,19867,20387,20221,19660,19806,20027,20054,20219,20306,19952,20097,20342,20498,20166,20432,20748,20611,20583,20638,20391,20441,20934,20444,20612,20473,20426,20604,21029,20781,20773,20922,21136,20809,21007,21590,21512,21276,21308,21453,21558,22075,21877,21868
"28","20","S2     Clothing stores","T060200",8488,8596,8738,8749,8863,8809,8733,8868,8828,8790,8820,8804,8731,8930,9222,9224,9381,9283,9151,9456,9646,9569,9706,9545,9547,9584,9279,9685,9606,9545,9634,9864,9286,9842,9758,10012,10006,10075,10080,10112,9997,10203,10185,10129,9954,10560,10396,10587,10615,10296,10700,10698,10914,11023,11163,11085,11186,11077,11275,11454,11521,11604,11838,11455,11637,11481,11563,11717,11771,11965,11974,12129,12109,12457,12214,12563,12464,12735,12546,12743,12492,13097,13040,13095,13193,13223,13182,13370,13165,13330,13577,13367,13670,13774,13588,14127,14076,13837,14258,13852,14200,14183,14291,14308,14291,14245,14386,14234,14163,14134,14119,14322,14385,14477,14363,14180,13563,13416,13570,13497,13718,13706,12967,13159,13371,13053,13292,13506,13329,13574,13404,13356,13593,13635,13992,14095,14028,13942,13917,14096,14129,14336,14748,14499,14411,14690,14795,14774,14662,14764,14612,14245,14802,14572,14742,14832,14853,15113,15156,14704,14710,14953,14908,15107,15047,14856,14911,14951,15337,14948,15170,15308,15368,15340,15394,15133,15091,15350,15050,15065,14898,14817,15057,15438,15274,15236,15378,15615,15473,15601,16141,16081,15845,15888,15999,16067,16451,16226,16219
"29","21","S2     Shoe stores","T060210",1965,1967,1959,1933,2000,2023,1973,1984,1987,1967,1966,1991,1988,1994,2016,2003,1999,1994,2003,2061,2043,2044,2047,1996,2019,1971,1938,2097,2067,2034,2084,2092,1977,2008,2078,2077,2158,2149,2083,2114,2076,2118,2074,2092,2053,2084,2079,2094,2033,2065,2137,2111,2135,2152,2171,2222,2216,2168,2205,2214,2211,2227,2240,2220,2197,2169,2201,2155,2181,2203,2162,2219,2181,2320,2163,2277,2293,2296,2290,2245,2273,2372,2404,2381,2411,2407,2301,2399,2355,2378,2389,2402,2542,2495,2436,2450,2470,2364,2473,2415,2426,2444,2477,2464,2425,2400,2432,2440,2441,2393,2362,2474,2490,2481,2462,2474,2293,2299,2291,2243,2239,2261,2183,2172,2188,2177,2195,2247,2219,2191,2175,2227,2238,2266,2322,2299,2292,2295,2285,2331,2298,2345,2381,2374,2386,2399,2378,2405,2424,2480,2436,2424,2472,2455,2501,2516,2531,2651,2559,2468,2484,2457,2494,2525,2557,2476,2513,2469,2479,2486,2523,2657,2579,2569,2617,2609,2617,2756,2607,2719,2696,2740,2709,2751,2680,2696,2692,2671,2600,2613,2639,2644,2646,2643,2643,2607,2687,2652,2680
"30","22","S3     Jewelry, luggage, and leather goods stores","T060220",2190,2168,2248,2180,2229,2273,2319,2335,2345,2420,2437,2595,2437,2479,2430,2474,2596,2589,2610,2610,2668,2596,2496,2536,2481,2514,2488,2466,2415,2310,2375,2422,2304,2383,2460,2389,2471,2564,2616,2541,2584,2526,2480,2595,2527,2561,2581,2680,2666,2589,2577,2629,2650,2726,2762,2758,2768,2819,2906,2933,2881,2967,2964,2915,2875,2850,2863,2861,2945,2983,2958,2959,2966,3087,2992,3126,2974,3104,2979,3026,2893,3072,3050,3181,3120,3348,3294,3141,3204,3155,3147,3130,3191,3116,3148,3189,3094,3043,3099,3148,3193,3097,3157,3126,3183,3131,3139,3121,3132,2944,3106,2942,2958,2995,3008,2973,2738,2690,2528,2360,2431,2465,2368,2460,2461,2493,2433,2508,2515,2420,2475,2485,2483,2474,2503,2469,2424,2405,2526,2448,2367,2618,2601,2400,2589,2509,2612,2736,2658,2637,2626,2681,2715,2563,2525,2496,2494,2627,2517,2495,2613,2619,2652,2591,2700,2621,2672,2911,2683,2729,2738,2780,2668,2677,2633,2651,2732,2825,2783,2823,2871,2861,2832,2836,2823,2837,2847,2848,2736,2793,2812,2790,2785,2778,2813,2887,2939,3000,2970
"31","23","S1   General merchandise stores","T060230",33793,34388,34833,34213,34432,34948,34814,35139,35462,35376,35517,36547,35546,36021,36550,36304,36756,36887,37010,37328,37616,37804,37968,38284,39244,38041,37486,38924,38912,38718,39366,39667,39558,39995,40523,41079,40763,40866,41061,41293,41067,41425,41177,41193,41127,42009,41878,41991,42100,42425,42906,42885,43189,43518,43998,44675,44472,44200,44501,44672,44991,45003,45500,45025,45600,44950,45462,45709,45993,46333,46408,47057,46976,47594,47451,48047,47912,48835,48596,48728,48806,49701,49699,49317,49977,50183,49761,50499,49974,49992,49959,50060,50755,50798,50922,51758,52046,51202,52027,51567,51666,51782,52207,52413,52211,52123,52393,52879,52190,52216,52436,52637,53345,53629,53108,52585,51785,51532,52437,52031,52268,52036,51687,51506,51936,51374,51493,51894,52065,52745,52186,52871,53043,53696,53650,53771,53484,53626,53645,54026,53948,54221,55190,54669,54553,55050,54996,55583,55093,55479,55331,55081,55554,55384,55591,55518,56145,56516,56683,56237,56335,56420,56611,56835,56810,56868,56750,57126,57540,57696,58134,57871,58222,58297,58538,58466,58909,59122,59019,58931,58564,59398,59633,60581,60307,60376,60557,60932,60624,60750,61436,61413,62044,60541,61380,61219,62008,62476,62209
"32","24","S1     Department stores","T060240",19202,19579,19671,19240,19229,19455,19386,19405,19549,19445,19353,19475,19460,19456,19513,19520,19688,19543,19440,19569,19692,19669,19871,20049,20315,19462,18889,19470,19513,19358,19620,19635,19416,19497,19739,19685,19551,19414,19494,19575,19154,19264,19006,18927,18774,19293,18780,18745,18682,18570,18725,18655,18849,18895,19075,19141,19106,18835,18788,18829,18815,18867,19134,18708,18863,18628,18864,18951,19019,19045,18960,19250,19065,19262,18986,19248,18949,19429,19087,19043,18776,19276,19293,19009,19236,19238,19005,19060,18830,18885,18702,18647,18821,18707,18684,18826,19035,18663,18851,18514,18665,18499,18724,18689,18519,18445,18419,18275,17905,17958,17885,17915,18029,18214,17917,17618,17164,17088,17500,16946,16935,16674,16574,16573,16710,16414,16496,16668,16567,16809,16683,16739,16804,16786,17101,16941,16793,16842,16721,16811,16709,16804,17372,16920,16852,17070,17023,17280,16896,17104,16768,16509,16690,16512,16553,16501,16355,16470,16562,16154,16047,16111,16213,16192,16116,15933,15847,15918,16202,15920,15959,15812,15898,15792,15745,15762,15874,16083,15854,15729,15246,15730,15719,16231,15943,15796,15879,15928,15757,15752,16057,16068,15968,15660,16128,15667,16034,15993,15892
"33","25","S2     Other general merchandise stores","T060250",13782,13979,14350,14190,14439,14728,14664,14991,15168,15198,15457,16418,15363,15875,16374,16103,16391,16696,16947,17135,17300,17526,17468,17599,18312,18014,18081,18938,18876,18848,19234,19533,19665,20033,20315,20958,20778,21040,21156,21308,21541,21793,21822,21927,22029,22371,22806,22962,23144,23606,23934,23990,24091,24383,24683,25313,25140,25155,25518,25649,25995,25951,26173,26146,26572,26155,26427,26588,26807,27128,27297,27652,27767,28192,28342,28672,28853,29287,29408,29590,29954,30337,30317,30229,30662,30870,30686,31381,31087,31048,31207,31368,31892,32056,32207,32908,32980,32513,33153,33036,32980,33270,33468,33711,33681,33669,33967,34602,34285,34257,34552,34723,35317,35417,35194,34967,34619,34442,34936,35084,35333,35362,35113,34933,35226,34960,34997,35227,35499,35936,35504,36132,36238,36907,36549,36829,36688,36782,36920,37211,37233,37412,37819,37744,37695,37975,37967,38301,38187,38368,38547,38552,38844,38850,39014,38993,39756,40012,40088,40043,40244,40266,40357,40598,40648,40884,40850,41154,41288,41717,42114,41996,42260,42437,42722,42633,42963,42973,43092,43125,43231,43587,43830,44275,44281,44492,44590,44913,44774,44903,45288,45254,45975,44786,45163,45450,45876,46377,46212
"34","26","S1   Other retail stores","T060260",78069,79178,79243,77932,78814,78915,78809,78770,78859,79295,80646,82845,80452,81016,80382,80621,81416,80933,81351,82133,82599,82809,83497,84754,82786,83098,83071,83140,82632,81970,82663,84081,81124,83264,84838,85532,86151,86310,85790,86245,86412,85896,86797,86340,86456,86220,87287,87918,86558,85751,85852,86615,88819,89525,89231,89278,88004,89243,90586,90523,90369,90289,90468,91184,91611,90681,91077,91396,91861,91860,92006,92474,93935,93450,93518,94127,94082,95257,94064,94550,92113,94050,95935,96805,96999,97569,98305,97604,97741,97254,96267,96435,97319,98704,100616,100110,99753,101032,100234,99915,100431,99588,99554,100200,100651,100681,101735,100274,100940,99652,99838,101067,100641,98837,98502,98094,97375,96001,97867,99142,99347,98593,98021,98243,98032,95858,96194,96490,96269,95798,97068,98120,97320,97394,99021,99464,99787,100289,99337,99909,100868,100814,100792,100961,101790,101180,101082,100180,100539,101061,101120,102090,101083,102969,103144,102064,102503,103462,103023,103069,103886,102879,103949,104084,103027,103232,105069,105473,106724,106816,107069,107819,107530,107093,107383,106406,106842,106536,107233,108966,107703,109212,110174,109816,109922,109948,110001,110647,110294,110833,112682,112797,115448,116130,115550,116137,114785,114781,115475
"35","27","S1     Health and personal care stores","T060270",15397,15484,15575,15516,15648,15709,15653,15598,15722,15873,15948,16599,16045,16013,16217,16379,16473,16496,16586,16639,16811,16922,16919,17059,16870,16995,17013,16971,17138,17069,17102,17203,17005,17464,17399,17431,17628,17807,17763,17942,17864,17873,17894,18021,18194,18169,18155,18098,18215,18336,18467,18476,18559,18732,18938,19064,19027,19125,19226,19313,18880,18664,19059,18939,18873,18983,18919,19022,19005,19052,19127,19185,19414,19587,19523,19602,19646,19550,19660,19614,19723,19686,19704,19826,19792,19865,19937,19896,20092,20149,20148,20264,20251,20557,20857,20926,20883,20915,21078,21172,21165,21247,21251,21320,21293,21225,21073,20934,21215,21319,21208,21274,21523,21550,21652,21558,21536,21509,21474,21375,21375,21509,21570,21608,21450,21487,21396,21263,21437,21375,21450,21341,21079,21176,21259,21392,21220,21535,21572,21634,21678,21770,21837,21834,22001,21843,21963,21579,21881,21875,21871,22063,21923,21928,21824,21694,21791,21876,21787,21770,21681,21169,21471,21403,21168,21173,21389,21669,21843,21874,21786,21828,21945,21861,22143,22077,22375,22456,22411,22667,22440,22596,22793,22834,23105,23241,23142,23262,23236,23182,23212,23299,23266,23140,23182,23198,23090,23279,23337
"36","28","S1     Gasoline stations","T060280",35122,35527,35192,33029,33612,33627,33640,33111,32435,32897,33832,34425,32671,33061,31505,31378,32441,31341,31529,32389,31913,32348,33150,33801,33438,33213,32404,33333,32747,32241,32864,33812,32315,33030,34655,35539,35505,35540,34878,34536,34612,34116,34865,34136,34069,33652,34356,35118,33557,32622,32944,33463,35324,35110,34608,33601,32143,33095,34307,34390,34024,34074,34590,35096,35701,34784,34694,34535,34733,34720,34579,34661,35391,34843,35082,34920,35226,35958,34708,34729,32647,33718,35240,35478,35073,35328,35365,35249,35051,34804,33911,33820,34345,35062,36392,35647,35548,35931,34959,34640,34832,33839,33571,34259,34485,34638,35162,34584,34938,34607,34783,34990,34504,33313,32775,33010,32837,31961,34216,35598,35362,34447,34409,34307,34549,32147,32123,32424,32265,31720,32628,32976,32522,32762,33357,33822,33870,33325,32686,32654,33240,32956,32681,32424,32402,32404,32254,31703,31741,31822,31937,32153,31677,32206,32441,32400,32383,32552,32340,32161,32602,32136,32272,32378,31483,31734,32489,32337,32806,32918,33110,33566,33207,33017,32758,32129,32056,31849,31994,32461,32806,33365,32967,33058,32755,32164,32076,32199,32035,31851,33090,32895,35133,35294,34518,34725,33318,33044,32949
"37","29","S1     Sporting goods, hobby, book, and music stores","T060290",5622,5790,5781,5776,5828,5932,5876,5848,6021,6000,6016,6106,5894,6178,6293,6326,6391,6296,6397,6235,6303,6238,6129,6130,6090,6406,6399,6309,6330,6218,6311,6364,6258,6378,6576,6540,6517,6356,6351,6384,6394,6339,6344,6318,6492,6509,6671,6459,6498,6337,6366,6461,6419,6649,6532,6774,6657,6584,6746,6699,6823,6840,6726,6619,6624,6652,6783,6859,6864,6811,6845,6851,6899,6997,6933,7030,6983,6899,6960,6981,6831,7108,7024,7238,7515,7406,7392,7372,7273,7262,7200,7155,7339,7273,7146,7270,7230,7189,7404,7358,7557,7551,7695,7570,7521,7625,7639,7552,7567,7437,7449,7546,7675,7652,7629,7594,7177,7116,7203,7153,7403,7227,7054,7249,7133,7136,7171,7259,7147,7071,7030,7245,7265,7109,7212,7136,7212,7273,7255,7328,7274,7312,7549,7430,7322,7463,7484,7459,7349,7405,7213,7467,7491,7375,7247,7107,7414,7578,7716,7723,7739,7608,7617,7512,7507,7495,7326,7617,7916,7930,7785,7637,7746,7766,7792,7541,7702,7735,7719,7678,7205,7537,7480,7601,7589,7747,7817,7931,7913,8062,8109,8071,7817,8041,8162,8230,8311,8315,8387
"38","30","S4       Sporting goods, hobby, and musical instrument stores","T060300",3457,3535,3529,3508,3580,3639,3539,3666,3749,3662,3671,3762,3721,3817,3925,3873,3955,3929,3997,3957,3974,3877,3838,3894,3914,3991,3978,3982,4004,3942,4015,4042,3969,4096,4288,4176,4145,4076,4054,4061,4106,4093,4117,4168,4227,4267,4400,4256,4266,4138,4210,4249,4262,4354,4326,4523,4421,4415,4532,4522,4576,4572,4498,4412,4425,4445,4582,4648,4642,4624,4661,4655,4729,4769,4659,4830,4810,4750,4766,4826,4741,4926,4863,4985,5321,5209,5185,5165,5099,5073,5094,5119,5283,5234,5117,5257,5205,5205,5425,5418,5575,5553,5601,5563,5471,5553,5568,5511,5590,5462,5485,5567,5689,5748,5703,5635,5400,5325,5409,5418,5568,5486,5290,5472,5422,5421,5501,5464,5414,5396,5415,5576,5521,5442,5520,5508,5531,5602,5596,5668,5647,5694,5875,5784,5726,5802,5887,5912,5824,5883,5728,5833,5967,5932,5856,5764,5988,6165,6292,6237,6292,6176,6209,6139,6165,6175,6030,6314,6575,6602,6470,6319,6425,6448,6517,6343,6376,6456,6449,6417,6051,6300,6234,6372,6378,6533,6583,6693,6694,6840,6870,6835,6654,6831,6948,6990,7096,7095,7155
"39","31","S4       Book, periodical, and music Stores","T060310",2269,2372,2369,2391,2357,2406,2472,2266,2368,2459,2466,2456,2251,2470,2467,2575,2546,2466,2499,2356,2415,2463,2383,2311,2239,2516,2525,2412,2409,2356,2373,2402,2369,2350,2343,2439,2452,2349,2371,2401,2357,2310,2287,2196,2322,2294,2320,2251,2284,2252,2202,2263,2200,2350,2252,2294,2281,2208,2252,2212,2288,2310,2269,2250,2240,2248,2237,2246,2257,2220,2216,2229,2198,2261,2314,2229,2200,2175,2223,2181,2112,2206,2185,2280,2209,2215,2226,2227,2193,2209,2121,2047,2065,2047,2039,2021,2033,1991,1983,1942,1985,2001,2100,2010,2056,2078,2076,2046,1980,1978,1967,1981,1988,1904,1926,1961,1777,1792,1794,1734,1835,1741,1765,1777,1711,1715,1671,1795,1733,1674,1615,1669,1744,1668,1692,1629,1681,1670,1659,1660,1627,1620,1675,1647,1597,1661,1599,1549,1526,1524,1487,1636,1525,1444,1392,1345,1426,1415,1425,1488,1448,1434,1409,1375,1344,1321,1298,1304,1343,1329,1317,1319,1323,1320,1277,1200,1328,1280,1272,1262,1156,1238,1248,1231,1213,1217,1236,1240,1222,1226,1242,1239,1167,1213,1218,1244,1220,1224,1236
"40","32","S1     Miscellaneous store retailers","T060320",8671,8874,8785,8796,8787,8709,8587,8743,8774,8843,9291,9674,9322,9317,9317,9143,8864,8900,8892,8814,9033,8992,8953,8792,8617,8782,9032,8650,8870,8795,8763,8816,8466,8556,8672,8602,8609,8762,8556,8709,8696,8782,8742,8918,8913,8801,8624,8863,8888,8716,8787,8774,9011,9069,9029,9170,9018,9175,9138,9214,9299,9106,9175,9298,9502,9071,9143,9182,9204,9288,9504,9554,9488,9628,9470,9588,9620,9639,9689,9596,9752,9878,9903,9841,10429,10340,10288,10302,10263,10114,10131,10073,10204,10335,10510,10794,10502,10320,10667,10461,10727,10839,10604,10658,10722,10450,10531,10588,10951,10169,10122,10111,10127,10108,10269,9851,9717,9601,9373,9280,9241,9358,9216,9191,8993,8914,8889,8918,8858,8897,9014,9155,8970,8808,9282,9224,9362,9467,9317,9313,9514,9668,9629,9595,9534,9748,9538,9695,9717,9790,9850,9855,9832,9773,9740,9518,9912,10034,9852,9876,9634,9739,9848,9793,9849,9818,9938,10122,9956,9947,10086,10143,10251,10046,9966,10087,10375,10223,10307,10151,10071,10109,10364,10195,10339,10487,10583,10761,10590,10796,10730,10819,11009,10788,10788,10984,10994,10997,11040
"41","33","S3       Florists","T060330",765,679,704,724,690,690,709,710,726,706,721,703,778,712,679,675,699,702,723,733,724,738,725,689,718,683,697,672,666,716,673,681,631,661,653,587,658,677,669,646,653,663,636,609,642,603,599,602,605,618,601,578,593,582,599,598,589,609,604,617,584,567,573,606,602,604,592,605,610,590,574,593,560,570,602,621,606,628,632,642,615,646,697,675,663,685,627,651,660,653,625,618,618,668,631,620,655,639,684,630,633,623,642,639,643,630,629,613,628,618,619,610,616,565,609,621,615,587,514,515,508,515,505,526,521,502,510,485,507,510,512,510,474,492,511,530,513,524,519,536,521,543,513,531,536,527,514,477,483,489,473,465,505,472,476,454,474,463,475,497,467,477,521,528,519,506,532,530,530,553,546,529,563,502,488,474,476,511,523,536,474,556,549,552,589,711,730,762,750,737,715,741,747,659,694,684,674,712,717
