"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232"
"25","17","Residential","B011RG3",11.925,12.584,12.859,13.182,13.417,13.564,13.874,13.941,14.059,14.038,13.709,13.718,13.696,14.051,14.587,14.561,15.038,15.211,15.292,15.432,15.51,15.645,15.794,15.698,15.708,15.727,15.864,15.798,15.715,15.757,15.941,15.936,16.007,16.143,16.253,16.262,16.395,16.646,16.673,16.598,16.551,16.592,16.704,16.64,16.563,16.581,16.581,16.595,16.62,16.632,16.628,16.64,16.689,16.752,16.755,16.775,16.722,16.787,16.792,16.777,16.806,16.804,16.797,16.774,16.778,16.713,16.526,16.636,16.48,16.747,16.794,17.16,17.145,17.164,17.148,17.631,17.378,18.014,17.905,18.299,18.335,18.396,18.5,18.853,19.175,19.354,19.361,20.125,20.511,20.812,20.888,21.202,21.183,21.974,21.388,21.562,22.137,22.586,23.011,23.364,23.695,23.802,24.197,24.939,25.271,25.894,26.776,27.249,27.862,28.515,29.436,30.232,31.006,31.548,31.847,32.422,32.603,33.562,34.101,34.705,35.537,36.501,37.708,38.842,39.988,41.182,42.246,43.367,44.216,45.734,47.203,48.343,49.617,50.784,51.948,53.227,54.388,55.245,55.946,56.77,57.608,58.461,58.955,59.232,59.518,59.664,59.958,60.49,60.851,61.338,61.929,62.401,62.721,62.856,63.283,64.015,64.785,65.407,66.25,67.028,67.728,68.245,68.828,69.44,70.069,70.7,71.139,71.805,72.321,73.197,73.442,73.886,74.497,74.799,75.149,75.275,75.488,75.829,76.298,76.033,75.784,76.486,77.029,78.042,78.938,79.675,80.397,80.753,81.684,82.155,83.043,84.135,85.175,85.577,85.928,86.398,86.718,87.118,88.083,88.52,88.969,89.396,90.167,90.839,91.102,91.723,92.635,93.499,94.415,95.442,96.253,97.01,98.683,99.635,100.418,101.263,102.587,103.868,105.652,106.407,106.478,106.762,106.998,108.184,109.881,110.485,111.321,113.363,114.646
"26","18","  Structures","B012RG3",11.526,12.178,12.448,12.761,12.991,13.132,13.431,13.499,13.62,13.606,13.287,13.298,13.277,13.626,14.15,14.117,14.578,14.748,14.83,14.97,15.047,15.18,15.327,15.235,15.245,15.263,15.397,15.333,15.252,15.295,15.48,15.48,15.551,15.685,15.796,15.81,15.946,16.198,16.226,16.156,16.113,16.156,16.261,16.181,16.123,16.143,16.142,16.159,16.168,16.179,16.175,16.187,16.238,16.301,16.306,16.328,16.276,16.342,16.348,16.335,16.366,16.365,16.362,16.34,16.346,16.281,16.096,16.206,16.053,16.318,16.366,16.73,16.716,16.738,16.727,17.21,16.959,17.592,17.483,17.877,17.914,17.975,18.077,18.428,18.747,18.924,18.928,19.689,20.073,20.372,20.447,20.759,20.737,21.529,20.938,21.11,21.686,22.135,22.559,22.915,23.246,23.352,23.75,24.494,24.827,25.451,26.338,26.812,27.427,28.071,28.973,29.748,30.511,31.05,31.342,31.912,32.082,33.04,33.578,34.183,35.017,35.983,37.192,38.326,39.474,40.667,41.725,42.838,43.679,45.204,46.683,47.821,49.092,50.251,51.411,52.693,53.846,54.689,55.373,56.196,57.016,57.857,58.344,58.614,58.9,59.045,59.332,59.858,60.228,60.721,61.333,61.808,62.131,62.278,62.724,63.464,64.25,64.867,65.721,66.509,67.213,67.733,68.318,68.95,69.585,70.214,70.662,71.328,71.856,72.753,72.989,73.434,74.063,74.366,74.721,74.841,75.074,75.439,75.885,75.647,75.387,76.101,76.648,77.691,78.608,79.343,80.073,80.43,81.371,81.837,82.728,83.841,84.899,85.312,85.671,86.147,86.466,86.879,87.85,88.286,88.734,89.187,89.979,90.667,90.924,91.565,92.484,93.369,94.312,95.368,96.19,96.96,98.665,99.624,100.424,101.286,102.623,103.935,105.744,106.513,106.583,106.883,107.126,108.331,110.074,110.712,111.565,113.655,114.97
"27","19","    Permanent site","B943RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.793,15.793,15.794,15.794,15.794,15.794,15.793,15.793,15.847,15.913,15.913,15.925,15.848,15.916,15.916,15.931,15.981,15.98,15.98,15.979,15.978,15.91,15.66,15.772,15.586,15.901,15.921,16.373,16.337,16.385,16.331,16.954,16.609,17.367,17.186,17.646,17.618,17.7,17.776,18.196,18.478,18.672,18.6,19.512,19.781,19.979,19.975,20.26,20.141,21.102,20.259,20.379,21.012,21.496,21.974,22.355,22.743,22.842,23.298,24.107,24.425,24.989,25.958,26.487,27.021,27.535,28.325,29.036,29.784,30.457,30.74,31.296,31.285,32.403,32.925,33.435,34.104,35.183,36.484,37.623,38.892,40.199,41.152,42.232,42.965,44.649,46.205,47.257,48.523,49.467,50.729,52.319,53.284,54.044,54.639,55.365,56.238,57.063,57.689,57.94,58.136,58.19,58.322,58.757,59.312,59.596,60.285,60.568,60.887,61.038,61.487,62.178,62.844,63.753,64.562,65.454,66.19,66.617,66.932,67.527,68.571,68.904,69.279,69.935,70.489,71.469,71.609,71.805,72.462,72.725,73.161,73.108,73.155,73.304,73.774,73.346,73.193,73.787,74.372,75.431,76.51,77.083,78.039,79.011,79.751,80.222,81.433,82.874,83.869,84.156,84.511,84.819,85.045,85.297,86.546,86.985,87.594,87.888,89.034,89.938,90.239,90.887,91.939,93.02,94.131,95.213,96.061,96.873,98.799,99.672,100.353,101.176,102.499,103.666,105.875,107.066,107.042,107.173,107.279,108.707,110.78,111.212,111.932,114.436,115.962
"28","20","      Single family","B944RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.043,16.043,16.043,16.043,16.043,16.043,16.043,16.043,16.109,16.176,16.176,16.176,16.109,16.176,16.176,16.175,16.242,16.241,16.242,16.242,16.242,16.176,15.91,16.044,15.844,16.176,16.176,16.64,16.574,16.64,16.573,17.236,16.905,17.701,17.502,17.966,17.899,17.965,18.031,18.43,18.761,18.96,18.894,19.822,20.087,20.286,20.285,20.618,20.484,21.479,20.617,20.749,21.346,21.81,22.274,22.672,23.07,23.203,23.667,24.528,24.86,25.457,26.451,26.982,27.511,28.041,28.836,29.566,30.296,30.96,31.224,31.756,31.754,32.882,33.412,33.942,34.751,35.769,37.044,38.183,39.474,40.836,41.867,43.049,43.907,45.725,47.407,48.55,49.818,50.813,52.129,53.771,54.81,55.538,56.04,56.615,57.226,57.818,58.211,58.247,58.238,58.174,58.238,58.648,59.295,59.584,60.256,60.493,60.693,60.764,61.132,61.745,62.313,63.174,63.963,64.863,65.481,66.07,66.478,67.102,68.089,68.435,68.852,69.58,70.248,71.349,71.624,71.942,72.76,73.096,73.562,73.489,73.409,73.494,73.915,73.452,73.29,73.876,74.462,75.534,76.671,77.309,78.337,79.38,80.202,80.737,82.014,83.514,84.536,84.843,85.202,85.499,85.671,85.906,87.144,87.566,88.162,88.41,89.5,90.277,90.293,90.758,91.713,92.783,94.015,95.199,96.122,96.957,98.802,99.671,100.373,101.226,102.653,103.906,106.165,107.357,107.233,107.323,107.401,108.82,110.895,111.327,112.047,114.555,116.082
"29","21","      Multifamily","B292RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.807,15.807,15.809,15.808,15.809,15.809,15.808,15.807,15.808,15.881,15.88,15.951,15.808,15.879,15.88,15.952,15.95,15.951,15.951,15.952,15.95,15.879,15.666,15.737,15.594,15.879,15.951,16.378,16.378,16.379,16.378,16.948,16.663,17.375,17.232,17.66,17.589,17.66,17.731,18.23,18.443,18.657,18.586,19.511,19.796,20.01,20.009,20.223,20.152,21.078,20.224,20.295,20.935,21.434,21.933,22.289,22.716,22.787,23.285,24.069,24.425,24.995,25.991,26.561,27.131,27.629,28.413,29.054,29.765,30.407,30.69,31.334,31.26,32.397,32.897,33.328,33.266,34.82,36.424,37.704,38.966,40.13,40.836,41.6,41.991,43.331,44.583,45.415,46.679,47.514,48.679,50.194,51.065,51.951,52.806,53.908,55.336,56.692,57.885,58.705,59.561,60.015,60.4,60.954,61.267,61.573,62.36,62.807,63.509,63.911,64.618,65.563,66.512,67.598,68.505,69.432,70.799,70.549,70.452,70.926,72.231,72.502,72.645,72.914,72.886,73.232,72.687,72.237,71.968,71.806,72.078,72.131,72.842,73.337,74.125,73.936,73.823,74.479,75.043,75.992,76.38,76.201,76.407,76.655,76.696,76.552,77.181,78.114,78.782,78.889,79.192,79.574,80.232,80.612,81.938,82.526,83.256,83.874,85.422,87.224,89.529,91.581,93.462,94.681,94.866,95.195,95.509,96.214,98.912,99.855,100.381,100.912,101.266,101.665,103.43,104.586,105.375,105.83,106.16,107.674,109.727,110.155,110.868,113.349,114.86
"30","22","    Other structures \5\","B863RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.748,16.815,16.804,16.86,16.898,16.94,16.927,16.973,17.011,17.068,17.084,17.128,17.132,17.195,17.215,17.139,17.122,17.122,17.11,17.034,17.058,17.003,16.988,17.091,17.034,17.158,17.277,17.404,17.444,17.4,17.503,17.609,17.619,17.914,17.98,18.246,18.415,18.434,18.596,18.776,19.18,19.311,19.507,19.885,20.552,21.103,21.362,21.732,21.927,22.347,22.329,22.623,23.068,23.43,23.708,23.992,24.151,24.278,24.487,25.021,25.382,26.185,26.788,27.119,27.966,28.923,30.07,30.964,31.709,32.014,32.306,32.892,33.364,34.058,34.631,35.425,36.57,37.296,38.302,39.414,40.29,41.244,42.506,43.675,44.716,45.92,47.238,48.528,49.804,51.279,52.291,53.151,54.562,55.519,56.324,57.268,58.027,58.883,59.187,59.469,59.868,60.156,60.719,61.418,61.429,62.333,62.791,63.636,63.956,64.091,64.526,65.345,66.335,66.439,67.366,67.963,68.608,69.288,70.342,71.042,70.975,72.091,72.659,73.342,73.824,74.577,74.972,75.823,76.399,76.771,77.001,77.399,77.917,78.589,79.008,79.06,78.635,79.53,80.017,81.032,81.708,82.679,83.074,82.534,83.764,84.22,84.613,85.228,86.396,86.999,87.373,88.088,88.537,89.185,89.749,90.18,90.399,91.078,91.37,91.755,91.946,92.577,93.3,93.894,94.584,95.601,96.388,97.095,98.458,99.553,100.534,101.455,102.811,104.347,105.542,105.671,105.888,106.441,106.894,107.764,109.006,109.955,111.006,112.459,113.441
"31","23","  Equipment","B013RG3",54.853,55.368,55.99,57.077,57.564,58.704,59.925,59.742,58.784,57.442,56.173,55.593,55.469,55.807,57.08,58.645,60.767,60.964,60.731,60.315,60.565,60.596,60.711,60.281,60.211,60.298,60.55,60.417,60.142,59.833,59.271,58.25,58.043,58.142,57.614,56.686,55.976,55.288,55.163,54.39,53.733,53.307,54.539,57.197,54.128,53.688,53.948,53.698,56.006,56.206,56.137,56.047,55.853,55.673,55.4,55.005,54.766,54.666,54.398,54.092,53.847,53.527,53.023,52.762,52.445,52.429,52.38,52.271,52.086,51.872,51.778,51.643,51.471,51.139,50.423,49.99,49.942,49.938,50.036,49.997,49.909,49.95,50.107,50.345,50.689,50.991,51.258,51.665,51.929,52.173,52.434,52.693,52.932,53.316,53.401,53.643,53.943,54.164,54.364,54.283,54.364,54.409,54.337,54.355,54.436,54.611,54.765,54.978,55.516,56.784,58.908,61.111,62.506,63.269,63.958,64.91,65.852,66.727,67.283,67.747,68.215,68.663,69.268,70.078,70.755,71.694,72.915,74.243,75.483,76.181,76.711,77.827,79.238,80.917,82.42,83.538,85.117,86.809,88.383,89.339,91.071,92.614,93.452,94.069,94.395,94.589,95.287,96.168,96.021,96.155,95.525,95.784,95.947,95.383,94.767,95.079,95.002,95.841,96.09,96.227,96.76,97.127,97.614,97.092,97.384,98.167,98.11,98.785,98.664,98.51,99.245,99.605,99.369,99.669,99.738,100.173,99.471,98.757,100.283,98.726,99.051,99.201,99.57,99.079,98.878,99.725,100.091,100.317,100.738,101.532,102.225,102.087,102.129,101.927,101.862,101.942,102.357,101.967,102.579,103.122,103.577,102.434,101.937,101.572,102.186,101.538,101.992,101.488,100.727,99.955,100.036,100.039,99.771,100.297,100.048,99.884,100.437,99.899,100.126,100.063,100.15,99.569,99.273,99.291,98.224,96.764,96.593,95.81,95.203
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RG3",11.013,11.422,11.74,12.077,12.335,12.55,12.854,12.941,12.927,12.843,12.635,12.65,12.619,12.826,13.248,13.412,13.888,14.119,14.261,14.393,14.487,14.542,14.614,14.575,14.596,14.691,14.846,14.801,14.671,14.633,14.741,14.75,14.807,14.933,15.076,15.216,15.57,15.688,15.888,15.92,15.974,16.09,16.186,16.126,15.892,15.95,15.978,16.01,15.969,16.011,16.034,16.046,16.101,16.097,16.067,16.031,16.003,16.053,16.065,16.083,16.111,16.134,16.125,16.134,16.159,16.135,16.042,16.115,16.015,16.247,16.283,16.599,16.603,16.669,16.683,17.094,16.943,17.451,17.41,17.714,17.771,17.849,17.96,18.262,18.545,18.749,18.822,19.447,19.779,20.085,20.251,20.599,20.69,21.406,21.142,21.396,21.909,22.382,22.839,23.217,23.603,23.788,24.157,24.797,25.147,25.738,26.553,27.104,27.766,28.677,29.795,30.811,31.667,32.234,32.524,33.017,33.195,34.007,34.538,35.097,36.056,36.911,37.98,38.983,40.02,41.186,42.234,43.374,44.382,45.849,47.316,48.404,49.464,50.55,51.669,53.126,54.908,56.341,57.563,59.115,60.249,60.974,61.277,61.208,60.712,60.441,60.517,60.747,60.973,61.521,62.025,62.446,62.848,62.996,63.386,63.932,64.459,64.948,65.549,66.14,66.535,66.94,67.422,68.059,68.886,69.533,70.082,70.781,71.339,72.207,72.586,73.079,73.699,74.103,74.58,74.862,75.31,75.55,75.77,75.3,75.147,75.675,76.135,76.982,77.768,78.477,79.17,79.662,80.482,80.956,81.879,83.005,84.03,84.498,85.084,85.649,85.871,86.254,87.286,87.801,88.432,89.033,89.894,90.712,91.42,92.219,93.074,93.902,94.717,95.578,96.323,97.111,98.591,99.517,100.436,101.456,102.913,104.402,106.129,106.712,106.662,106.899,107.088,107.986,109.479,110.002,110.815,112.644,113.932
"34","25","  Private fixed investment in equipment and software","A327RG3",31.884,33.203,33.934,34.25,34.079,35.076,36.518,37.16,37.079,37.262,37.106,36.697,36.813,37.425,38.196,39.34,40.572,41.072,41.248,41.733,41.877,42.135,41.968,41.914,41.866,42.014,42.205,42.193,42.81,43.457,42.934,42.996,42.685,42.871,43.627,44.508,45.28,45.991,47.12,47.845,48.738,48.768,49.169,49.91,49.863,50.108,50.114,50.242,50.654,50.935,51.177,51.315,51.209,51.484,51.55,51.459,51.339,51.18,51.045,50.968,50.912,50.913,50.918,50.726,50.682,50.572,50.553,50.506,50.545,50.577,50.556,50.516,50.575,50.554,50.69,50.49,50.439,50.583,50.71,51.066,51.361,51.613,51.944,52.318,52.503,52.934,53.396,53.958,54.123,54.407,54.859,55.301,55.91,56.42,56.838,57.512,58.053,58.417,58.479,58.413,58.825,59.05,59.185,59.08,59.305,59.897,60.374,60.529,61.272,62.789,65.298,68.402,71.465,73.612,74.699,75.842,76.916,77.647,78.608,79.802,81.057,82.197,83.444,84.733,85.689,86.667,87.73,88.81,90.4,92.026,93.498,95.062,97.428,99.816,101.919,103.397,105.432,107.401,108.647,109.853,110.704,111.924,112.592,113.077,112.931,112.532,112.038,111.897,111.658,111.575,111.283,111.071,111.013,111.039,111.26,111.704,111.757,112.632,113.546,114.06,114.032,113.559,113.088,113.847,114.491,114.777,114.907,116.004,116.218,116.195,116.538,116.96,117.273,117.385,118.121,119.129,120.141,119.756,119.351,119.271,119.065,118.399,118.062,117.43,117.568,117.267,116.871,116.55,116.732,116.833,116.51,115.632,115.321,115.491,115.109,114.475,113.564,112.513,112.01,111.363,110.404,109.549,108.724,107.572,105.867,104.589,103.662,102.834,102.462,101.718,100.837,100.41,100.208,100.007,100.102,99.682,98.514,97.989,97.612,97.104,96.774,96.255,95.76,95.811,95.427,94.975,95.26,95.483,95.361
"35","26","  Private fixed investment in new structures \6\","W040RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.001,16.052,16.076,16.105,16.068,16.113,16.138,16.15,16.205,16.2,16.168,16.131,16.103,16.153,16.166,16.184,16.212,16.236,16.226,16.235,16.259,16.24,16.149,16.222,16.124,16.359,16.388,16.715,16.717,16.792,16.796,17.225,17.064,17.579,17.537,17.846,17.898,17.982,18.095,18.408,18.684,18.896,18.966,19.598,19.91,20.223,20.385,20.737,20.829,21.555,21.295,21.552,22.066,22.54,23.009,23.388,23.782,23.966,24.335,24.976,25.338,25.917,26.737,27.301,27.964,28.883,30.023,31.061,31.924,32.504,32.8,33.287,33.454,34.269,34.801,35.338,36.285,37.148,38.218,39.175,40.248,41.424,42.426,43.575,44.565,46.047,47.542,48.625,49.67,50.755,51.882,53.435,55.2,56.688,57.977,59.498,60.66,61.371,61.691,61.612,61.056,60.759,60.786,61.019,61.239,61.77,62.28,62.602,63.025,63.164,63.521,64.011,64.491,64.925,65.5,66.112,66.431,66.76,67.179,67.761,68.706,69.348,69.836,70.513,71.116,71.98,72.36,72.772,73.446,73.859,74.402,74.71,75.136,75.344,75.562,75.11,74.984,75.438,75.874,76.71,77.542,78.132,78.85,79.444,80.129,80.546,81.517,82.698,83.762,84.198,84.796,85.341,85.528,85.912,87.033,87.595,88.276,88.876,89.788,90.625,91.36,92.165,93.022,93.892,94.753,95.609,96.365,97.148,98.656,99.54,100.41,101.394,102.803,104.223,106.032,106.732,106.622,106.788,106.911,107.809,109.36,109.789,110.535,112.455,113.833
"36","27","    Nonresidential structures","A771RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.725,15.81,15.867,15.914,15.813,15.907,15.97,15.982,16.036,15.939,15.864,15.755,15.755,15.786,15.807,15.864,15.889,15.943,15.924,15.974,16.026,16.064,16.103,16.121,16.099,16.282,16.3,16.558,16.587,16.71,16.752,17.084,17.036,17.415,17.44,17.661,17.737,17.834,17.955,18.21,18.455,18.691,18.842,19.317,19.591,19.908,20.178,20.567,20.774,21.424,21.482,21.83,22.283,22.795,23.304,23.716,24.179,24.479,24.804,25.286,25.663,26.208,26.935,27.599,28.34,29.574,30.952,32.24,33.194,33.797,34.089,34.499,34.694,35.327,35.853,36.352,37.493,38.179,39.029,39.833,40.709,41.836,42.869,44.045,45.262,46.656,48.112,49.148,50.003,51.028,52.115,53.73,56.063,58.006,59.659,61.712,63.032,63.687,63.873,63.58,62.482,61.838,61.703,61.618,61.692,62.299,62.694,63.058,63.534,63.682,64.016,64.371,64.633,64.976,65.265,65.608,65.61,65.87,66.222,66.864,67.926,68.596,69.265,70.005,70.601,71.435,71.983,72.525,73.13,73.648,74.261,74.713,75.383,75.502,75.479,74.743,74.723,75.006,75.348,75.931,76.538,77.201,77.843,78.54,79.174,79.662,80.642,81.796,82.78,83.326,84.227,84.921,85.003,85.344,86.473,87.106,87.993,88.795,89.761,90.759,92.091,93.111,93.886,94.645,95.283,95.863,96.5,97.323,98.481,99.371,100.467,101.681,103.317,105.076,106.711,107.005,106.766,106.897,106.986,107.287,108.289,108.582,109.316,110.592,111.83
"37","28","    Residential structures","A756RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.323,16.343,16.34,16.356,16.367,16.379,16.375,16.388,16.439,16.503,16.507,16.532,16.479,16.545,16.552,16.539,16.568,16.569,16.565,16.541,16.545,16.483,16.296,16.407,16.254,16.528,16.566,16.95,16.933,16.967,16.937,17.459,17.186,17.837,17.724,18.131,18.157,18.228,18.334,18.708,19.015,19.204,19.2,19.982,20.332,20.645,20.707,21.026,20.999,21.814,21.212,21.386,21.969,22.419,22.861,23.218,23.561,23.66,24.061,24.815,25.166,25.774,26.675,27.166,27.778,28.418,29.346,30.144,30.909,31.467,31.768,32.335,32.483,33.463,34.004,34.576,35.375,36.371,37.599,38.669,39.892,41.108,42.088,43.215,44.007,45.566,47.099,48.233,49.498,50.663,51.845,53.32,54.367,55.273,56.061,56.731,57.603,58.412,58.965,59.239,59.462,59.59,59.797,60.359,60.733,61.186,61.822,62.098,62.459,62.587,62.972,63.617,64.339,64.865,65.694,66.542,67.137,67.529,68.009,68.541,69.381,69.999,70.324,70.945,71.555,72.446,72.671,72.957,73.696,74.004,74.476,74.631,74.794,75.11,75.583,75.406,75.18,75.782,76.296,77.341,78.351,78.88,79.656,80.171,80.894,81.262,82.229,83.432,84.563,84.915,85.271,85.699,85.97,86.388,87.505,88.012,88.528,88.966,89.835,90.541,90.789,91.417,92.344,93.303,94.337,95.408,96.257,97.013,98.79,99.675,100.368,101.167,102.397,103.548,105.501,106.509,106.487,106.675,106.818,108.065,109.931,110.437,111.189,113.454,114.907
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
