"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"23","15","          Compensation of general government employees","B568RG3",4.775,4.794,4.091,4.032,4.058,4.073,4.032,4.056,4.323,4.391,4.375,4.548,4.467,4.252,4.306,4.085,4.445,4.237,4.185,4.235,4.364,4.432,4.461,4.518,4.502,4.563,4.515,4.575,4.584,4.669,4.649,4.685,4.773,5.067,5.092,5.099,5.154,5.292,5.328,5.31,5.387,5.443,5.494,5.577,5.846,5.992,6.118,6.138,6.247,6.27,6.278,6.276,6.312,6.285,6.516,6.567,6.565,6.585,6.576,6.582,6.638,6.648,6.675,6.868,6.968,6.972,6.975,7.275,7.437,7.48,7.613,7.679,7.721,7.754,7.904,8.195,8.257,8.271,8.387,8.34,8.289,8.401,8.46,8.878,8.974,9.078,9.456,9.565,9.552,9.568,10.186,10.265,11.027,11.205,11.335,11.465,12.219,12.531,12.742,13.156,14.035,14.15,14.195,14.745,14.975,15.141,15.432,15.976,16.058,16.256,16.562,17.393,17.838,18.095,18.35,19.121,19.204,19.408,19.594,20.419,20.907,21.166,21.278,22.286,22.267,22.386,22.557,23.495,23.773,24.029,24.272,25.615,25.968,26.252,26.586,28.907,29.185,29.486,29.583,31.339,31.685,32.033,32.175,33.052,33.144,33.586,33.639,33.765,36.997,37.316,37.74,37.868,39.234,39.333,38.995,39.772,40.028,40.267,40.466,40.776,41.503,41.702,41.721,41.828,42.953,43.679,43.995,43.958,45.406,45.569,45.656,45.285,46.279,46.928,46.921,47.881,49.381,49.744,50.369,50.795,52.629,53.317,53.553,52.942,53.887,54.39,55.201,55.588,56.263,57.003,56.551,56.934,58.329,57.919,58.185,60.573,62.246,61.56,61.998,62.748,64.209,64.292,64.435,64.928,65.97,66.021,66.146,66.364,68.271,68.841,69.28,69.789,71.983,71.241,72.885,73.15,73.87,74.075,75.011,76.456,81.023,80.845,80.362,82.021,86.737,87.087,87.284,87.73,92.733,94.144,94.29,94.416,99.641,99.726,100.441,100.192,105.188,105.924,105.28,105.881,110.7,111.722,111.156,111.36,113.855,113.793,113.24,113.084,116.555,116.583,116.589,117.273
"24","16","          Consumption of general government fixed capital \2\","B995RG3",17.28,17.416,17.966,18.218,18.029,18.125,18.619,18.729,19.08,18.725,18.314,18.316,18.227,18.156,18.445,19.27,19.7,19.692,19.773,19.902,19.888,19.899,20.174,20.321,20.265,20.417,20.092,20.108,20.192,20.396,20.563,20.869,20.888,20.848,21.171,21.552,22.055,22.287,22.411,22.658,23.201,23.332,23.64,23.826,23.468,23.538,23.828,24.052,23.995,24.031,24.166,24.202,24.249,24.271,24.261,24.294,24.375,24.365,24.49,24.551,24.701,24.652,24.993,25.402,25.469,25.617,25.576,25.453,25.477,25.451,25.461,25.535,25.616,25.765,25.907,25.993,26.025,26.288,26.432,26.615,26.725,26.938,27.189,27.46,27.739,27.857,28.157,28.465,28.824,29.172,29.405,29.706,30.157,30.576,31.031,31.529,32.129,32.542,32.812,33.059,33.763,34.031,34.517,35.173,35.647,36.255,36.871,37.208,37.903,38.945,40.51,41.654,42.173,42.673,43.615,44.566,45.503,46.169,46.999,47.828,49.04,49.64,49.721,50.847,52.154,53.042,53.955,54.317,54.786,55.948,57.239,58.263,59.058,60.842,61.788,63.392,64.965,66.346,67.58,68.683,70.149,71.4,72.237,72.47,72.827,73.212,74.449,74.589,75.374,75.805,75.805,76.294,76.071,75.484,75.704,75.58,74.879,75.237,75.316,75.173,75.406,74.761,74.688,74.578,75.106,75.52,75.813,76.492,76.865,77.103,77.523,78.043,78.579,78.899,79.406,80.293,80.953,81.144,81.72,81.973,81.837,82.199,82.346,83.088,84.152,84.593,85.193,85.673,86.091,87.058,87.587,88.83,89.281,89.582,89.656,90.085,90.018,89.96,89.979,89.975,89.799,89.881,89.756,90.006,89.705,90.019,90.1,90.322,90.688,91.183,91.619,92.135,93.015,93.079,93.495,93.574,93.519,93.825,93.88,93.649,93.597,93.515,93.6,94.076,94.213,94.399,94.574,94.563,95.376,96.517,97.342,98.366,99.407,99.693,100.099,100.801,101.761,103.099,104.028,104.136,104.829,105.261,105.623,106.183,106.562,107.719,108.309,107.98,107.664,107.267,107.19,107.474
"25","17","        Intermediate goods and services purchased \3\","W113RG3",13.629,13.922,14.854,14.952,15.414,15.124,15.427,15.233,15.676,15.624,15.299,15.328,15.701,16.124,15.645,16.27,17.079,16.745,17.003,17.324,15.873,16.408,16.518,17.028,16.609,16.651,16.62,16.885,17.31,17.081,17.393,17.483,18.078,18.218,18.344,18.638,18.623,18.828,18.818,18.811,19.492,19.495,19.51,19.665,19.855,19.947,19.827,19.861,18.896,18.411,17.775,17.882,17.807,18.073,18.128,18.694,18.518,18.539,18.391,18.538,18.969,19.096,19.11,18.911,18.966,18.892,18.752,19.171,19.178,19.196,19.755,19.537,19.72,19.739,19.984,20.316,20.233,20,20.933,20.994,21.025,21.274,21.586,21.554,21.762,22.142,22.199,22.593,22.597,23.162,23.302,23.685,23.438,23.466,23.976,24.072,24.364,24.789,25.218,25.591,25.608,25.865,26.085,26.303,26.981,27.568,28.21,28.456,29.222,30.359,31.91,33.025,33.711,34.136,35.085,35.592,36.205,36.648,37.505,38.276,38.811,39.283,39.64,40.535,41.117,41.706,42.576,43.413,44.342,45.132,46.784,48.667,50.356,52.047,53.281,54.677,55.858,56.835,57.575,58.591,59.327,59.823,60.519,61.516,62.078,62.149,62.695,62.786,63.066,63.955,64.492,64.391,64.55,64.877,65.142,66.025,65.756,65.112,65.307,65.743,65.779,66.353,67.216,67.217,67.227,67.339,66.915,67.005,67.677,67.914,68.629,69.191,70.017,70.528,71.568,73.191,72.872,72.587,73.109,73.862,73.627,73.847,74.978,75.286,75.304,75.785,76.18,76.449,76.499,77.08,77.611,77.956,78.214,78.759,79.138,79.396,79.576,79.894,80.319,80.923,81.206,81.266,81.53,81.994,81.641,81.844,82.135,82.363,82.318,82.733,83.426,84.138,85.143,85.506,86.246,87.01,87.44,87.712,88.025,87.992,88.299,89.141,89.805,90.472,91.869,92.066,92.571,92.958,94.012,95.072,96.057,97.109,98.412,99.572,100.68,101.336,102.105,103.564,104.529,104.27,104.902,106.155,106.895,108.209,109.474,112.015,113.499,110.689,108.807,109.335,110.455,111.091
"26","18","          Durable goods","W114RG3",17.156,17.247,18.598,18.647,18.663,18.638,19.456,19.38,19.794,19.117,19.056,19.171,19.616,19.793,19.956,21.362,21.251,21.272,21.278,21.479,21.617,21.847,22.102,22.351,22.255,22.415,22.317,22.5,22.369,22.624,23.276,23.736,23.249,23.377,23.883,24.676,25.032,25.34,25.426,25.744,26.44,26.579,26.865,27.253,27.189,27.083,27.281,27.511,27.603,27.76,27.913,28.003,27.995,27.973,28.048,28.023,28.075,28.144,28.244,28.359,28.453,28.578,28.746,29.217,29.43,29.645,29.428,29.404,29.422,29.483,29.397,29.451,29.453,29.56,29.629,29.658,29.765,29.959,30.132,30.384,30.304,30.494,30.865,30.76,31.407,31.727,31.973,32.352,32.461,32.909,33.172,33.684,33.949,34.448,34.827,35.401,36.098,36.534,36.559,36.313,35.501,35.328,35.193,35.276,36.172,37.071,37.538,37.561,38.253,38.987,40.722,42.212,43.555,44.079,44.824,46.006,46.364,47.365,49.443,50.775,51.498,51.649,51.067,54.205,54.463,55.389,56.456,58.052,59.241,60.196,62.126,63.501,64.192,65.419,66.271,67.482,69.16,70.548,72.861,73.9,76.571,77.851,79.089,81.158,83.248,84.427,85.713,86.844,88.851,91.257,91.813,91.059,90.881,91.08,91.351,92.074,91.92,92.619,93.282,94.16,93.014,93.052,92.997,92.207,90.115,89.794,89.329,89.341,89.136,89.253,89.379,89.992,90.685,91.203,91.632,92.193,93.537,93.492,94.011,94.426,94.898,95.229,95.757,96.032,96.812,97.21,97.828,98.509,98.849,98.707,98.526,98.73,98.662,98.852,98.77,99.158,99.374,98.893,98.148,98.338,98.386,98.42,98.218,97.788,97.7,97.651,97.266,97.402,97.413,97.129,96.927,97.234,97.729,97.534,97.532,97.484,97.372,97.582,97.359,97.267,97.334,97.216,97.114,97.31,97.755,97.897,97.759,97.786,98.114,98.532,98.76,99.182,99.851,100.049,100.084,100.016,100.659,101.855,102.643,102.97,102.533,101.976,101.673,101.691,101.949,102.317,102.873,103.289,103.122,103.039,103.086,103.324
"27","19","          Nondurable goods","W115RG3",18.732,20.742,19.775,19.965,23.572,20.892,19.572,18.423,18.392,19.2,20.506,23.892,28.957,31.154,17.909,3.306,22.207,19.964,18.496,18.531,17.779,18.602,18.948,18.993,18.109,17.938,17.802,17.938,19.776,19.822,19.788,19.835,21.547,21.431,21.094,21.376,21.152,21.101,21.415,20.677,21.548,21.815,21.256,21.591,21.302,21.007,20.742,20.613,21.614,20.775,19.946,19.805,20.084,20.32,20.333,20.437,21.012,19.97,19.824,19.754,20.215,20.22,20.277,20.348,19.86,19.721,20.011,19.643,19.674,19.939,20.689,20.582,20.792,20.137,20.376,20.709,21.2,21.086,21.775,21.759,21.438,21.487,21.547,20.821,21.538,21.783,21.908,22.024,22.135,22.126,22.237,22.327,22.494,22.639,22.648,22.491,22.687,22.89,22.965,23.129,23.042,23.464,23.802,24.093,25.622,26.321,27.892,28.612,30.064,32.081,35.337,38.198,37.873,37.418,39.697,39.474,40.393,41.222,41.92,42.293,43.284,44.11,44.615,45.522,45.951,46.553,47.064,47.762,49.247,51.448,55.585,61.228,66.27,71.955,73.274,74.242,76.872,78.596,77.399,77.828,77.026,76.312,76.565,78.418,78.352,76.93,78.196,75.31,72.365,74.58,74.977,74.544,74.198,74.032,73.717,75.245,72.113,65.178,62.618,62.475,63.165,65.51,68.261,68.357,67.857,67.59,63.591,54.092,59.196,62.421,63.321,65.489,66.416,65.225,67.985,75.823,70.273,65.51,66.242,66.951,63.292,64.516,66.251,65.744,64.793,65.733,64.218,64.255,62.79,63.959,64.97,65.668,64.996,65.904,65.986,66.842,68.299,69.223,69.909,72.716,72.099,70.019,69.485,70.193,67.845,67.05,66.524,66.365,65.308,67.749,70.401,73.509,76.777,76.709,79.26,81.773,78.753,78.436,77.609,73.985,73.227,76.516,77.701,79.105,84.205,80.903,80.986,80.806,81.894,86.333,89.399,93.742,93.85,98.199,103.177,104.775,104.31,108.912,109.987,105.769,105.277,109.932,111.734,119.028,123.241,135.485,138.501,114.816,104.308,108.897,113.718,116.378
"28","20","          Services","W116RG3",13.039,12.898,14.456,14.366,14.487,14.603,15.155,14.949,15.334,15.287,15.049,14.871,15.251,15.783,15.535,16.24,18.512,17.135,17.479,17.912,15.096,16.275,16.436,17.615,16.916,16.949,17.011,17.512,17.425,16.493,16.872,16.734,17.606,17.931,18.096,18.179,18.012,18.257,18.119,18.105,18.859,18.768,18.753,18.813,19.264,19.516,19.282,19.304,17.083,16.451,15.543,15.796,15.598,15.976,16.046,16.909,16.498,16.684,16.488,16.701,17.204,17.383,17.354,16.917,17.099,16.977,16.758,17.449,17.448,17.401,18.03,17.741,17.96,18.101,18.395,18.793,18.529,18.172,19.365,19.397,19.533,19.865,20.26,20.49,20.429,20.91,20.901,21.441,21.367,22.241,22.368,22.863,22.35,22.247,22.956,23.054,23.321,23.815,24.41,24.933,25.105,25.387,25.634,25.852,26.263,26.768,27.231,27.392,27.992,29.031,30.181,30.814,31.656,32.281,32.98,33.533,34.123,34.412,35.148,35.921,36.324,36.778,37.264,37.804,38.482,39.012,39.938,40.685,41.463,41.953,43.068,44.276,45.485,46.416,47.724,49.273,50.052,50.793,51.772,52.976,53.696,54.306,54.992,55.605,55.967,56.155,56.451,56.831,57.159,57.661,58.29,58.39,58.673,59.095,59.452,60.284,60.484,60.766,61.442,61.888,61.977,62.359,63.212,63.392,64.003,64.309,64.227,65.154,65.629,65.607,66.564,66.923,67.743,68.441,69.351,70.251,70.398,70.735,71.227,72.074,72.168,72.248,73.419,73.853,73.87,74.29,74.959,75.195,75.412,76.022,76.6,76.919,77.352,77.892,78.373,78.532,78.538,78.882,79.439,79.802,80.229,80.595,81.035,81.583,81.514,81.916,82.43,82.723,82.802,83.029,83.57,84.006,84.764,85.273,85.857,86.481,87.492,87.86,88.428,88.952,89.442,90.029,90.707,91.328,92.3,93.012,93.657,94.17,95.313,95.949,96.725,97.378,98.927,99.713,100.379,100.98,101.951,103.002,103.974,104.196,105.124,106.132,106.864,107.528,108.538,110.046,111.454,111.039,110.12,110.144,110.891,111.312
"29","21","      Less: Own-account investment \4\","W117RG3",7.413,7.578,7.907,8.057,7.695,7.614,7.538,7.479,7.986,7.93,7.978,8.193,8.116,7.9,7.979,7.849,8.946,8.657,8.553,8.592,8.886,8.974,8.971,9.098,9.131,9.259,9.112,9.246,9.2,9.337,9.278,9.355,9.47,9.674,9.598,9.618,9.724,9.926,9.99,10.018,10.134,10.207,10.301,10.432,10.786,10.999,11.032,11.037,11.121,11.155,11.196,11.24,11.281,11.297,11.677,11.789,11.838,11.84,11.845,11.889,12.017,11.983,12.011,12.32,12.348,12.39,12.402,12.54,12.776,12.815,13.014,13.016,13.102,13.173,13.263,13.452,13.545,13.584,13.713,13.725,13.811,13.884,13.952,14.435,14.551,14.675,15.001,15.248,15.335,15.443,15.899,16.115,16.741,16.989,17.233,17.401,17.893,18.255,18.483,18.64,18.398,18.569,18.753,19.01,19.43,19.735,20.128,20.551,20.875,21.356,21.858,22.489,23.044,23.39,24.036,24.58,24.808,25.128,25.59,26.141,26.867,27.392,27.701,28.392,28.645,28.973,29.454,30.192,30.549,30.9,31.555,32.619,33.252,33.927,34.584,35.982,36.673,37.219,37.815,38.585,39.183,39.737,40.222,41,41.254,41.658,41.97,42.48,42.903,43.223,43.741,43.921,44.225,44.619,44.807,45.253,45.412,45.788,46.22,46.619,46.904,47.073,47.74,48.217,48.736,49.775,50.521,50.832,51.433,52.166,53.084,53.21,53.338,54.284,54.994,55.841,56.567,57.003,57.526,57.659,58.412,58.902,59.793,60.296,61.117,61.77,62.817,63.178,63.964,64.93,65.014,65.503,66.617,66.619,67.117,68.631,69.602,68.967,69.321,70.06,71.006,71.493,72.058,72.705,73.235,73.617,74.213,74.478,75.345,76.22,77.079,77.442,78.897,78.954,80.703,81.258,81.542,82.194,83.159,84.034,86.724,86.702,86.777,87.028,89.991,90.496,90.962,91.216,94.593,95.951,96.497,96.666,99.263,99.576,100.519,100.641,103.046,104.105,104.529,104.585,107.287,108.197,108.357,108.474,110.247,110.724,110.977,110.993,110.119,110.381,110.794,111.035
"30","22","            Sales to other sectors","W118RG3",9.489,12.763,11.282,12.134,11.422,11.965,12.242,11.511,12.36,12.222,11.639,11.54,11.898,11.968,12.231,12.329,12.99,13.032,12.935,12.87,12.81,13.248,12.938,12.719,12.829,12.894,12.902,12.556,13.352,12.822,12.922,13.079,13.431,13.663,13.397,13.579,13.559,13.868,13.893,14.209,14.491,14.444,14.483,14.423,14.943,14.931,14.801,14.834,14.788,14.928,14.915,15.106,15.088,15.123,14.957,14.862,14.948,14.884,14.814,14.865,15.052,15.074,15.135,15.129,15.265,15.224,15.49,15.682,15.702,15.934,15.916,15.897,15.958,15.916,16.017,16.197,16.153,16.348,16.397,16.439,16.371,16.475,16.847,17.246,17.507,17.907,18.386,19.175,20.2,20.004,18.898,19.147,18.757,18.709,18.937,19.392,20.053,20.809,21.8,22.075,20.951,21.202,21.622,22.001,22.907,23.866,24.576,25.093,25.299,26.542,26.961,27.442,27.712,27.875,28.256,29.053,30.305,31.196,31.456,32.426,33.371,33.528,35.043,36.219,37.391,38.027,38.708,39.87,40.74,41.69,44.056,44.518,48.366,48.888,50.606,52.395,53.225,53.852,53.556,53.819,53.753,53.304,53.79,54.222,54.218,54.416,54.291,54.617,54.876,54.386,54.75,54.609,54.646,53.781,54.168,54.372,52.711,48.556,48.539,50.917,52.333,52.934,54.201,54.302,54.898,55.486,55.326,55.399,57.026,58.986,59.233,59.883,60.487,59.656,61.076,64.641,61.068,61.598,63.048,64.506,64.91,65.575,65.778,66.969,70.03,70.948,69.72,70.555,70.77,71.102,71.561,71.822,72.345,72.547,72.852,73.066,74.164,75.449,76.082,78.584,79.692,78.483,78.18,77.614,77.25,76.9,73.317,76.97,78.556,79.725,80.892,81.663,83.22,83.797,84.902,84.977,85.749,85.919,86.209,86.103,87.537,88.04,88.673,89.019,90.573,91.111,91.665,92.27,93.947,94.716,95.581,96.251,98.801,99.578,101.281,100.34,102.379,103.014,103.837,104.234,105.717,106.41,107.184,109.128,110.889,111.055,113.903,106.826,105.255,105.776,106.307,106.925
"31","23","    Defense consumption expenditures \1\","A997RG3",9.107,9.106,8.308,8.305,8.47,8.547,8.69,8.748,8.955,8.936,8.834,8.948,8.891,8.756,8.893,8.967,9.313,9.048,9.061,9.184,8.918,9.119,9.192,9.378,9.236,9.301,9.235,9.345,9.51,9.516,9.609,9.681,9.857,10.16,10.306,10.424,10.53,10.713,10.728,10.753,11.042,11.083,11.163,11.264,11.465,11.585,11.715,11.76,11.575,11.493,11.373,11.408,11.417,11.463,11.619,11.811,11.73,11.77,11.732,11.78,11.916,11.965,12.029,12.105,12.269,12.257,12.19,12.575,12.66,12.659,12.882,12.884,12.966,13.019,13.23,13.557,13.538,13.495,13.891,13.859,13.833,14.012,14.173,14.516,14.607,14.791,15.091,15.28,15.291,15.513,16.035,16.217,16.676,16.812,17.117,17.311,17.997,18.345,18.648,19.15,20.013,20.197,20.324,20.895,21.255,21.641,22.174,22.644,23.057,23.527,24.431,25.436,25.938,26.219,26.721,27.484,27.828,28.169,28.604,29.477,30.051,30.404,30.562,31.767,32.105,32.46,32.957,33.896,34.419,34.956,35.762,37.432,38.218,39.184,39.809,42.036,42.641,43.395,43.852,45.57,46.16,46.714,47.089,47.912,48.157,48.573,48.903,49.142,52.089,52.637,53.052,53.069,53.986,54.016,53.939,54.751,54.67,54.5,54.665,54.989,55.506,55.764,56.047,56.04,56.69,57.151,57.239,57.455,58.523,58.607,58.928,58.793,59.921,60.374,60.906,62.014,62.594,62.649,63.377,64.12,65.237,65.757,66.287,65.538,65.976,66.481,67.059,67.377,67.698,68.325,68.421,68.812,69.538,69.63,69.964,70.692,71.936,72.184,72.562,73.066,73.776,73.753,73.812,74.13,74.615,74.715,74.915,75.148,76.149,76.579,76.993,77.423,79.209,79.2,80.05,80.299,81.157,81.3,81.913,82.495,84.529,84.973,85.209,86.819,89.384,89.679,90.052,90.477,92.997,94.222,94.918,95.758,99.024,99.645,100.482,100.849,103.685,104.904,105.213,105.314,107.716,108.925,109.208,110.195,111.809,113.491,114.144,112.12,112.502,112.653,113.288,114.08
"32","24","      Gross output of general government","W085RG3",9.115,9.114,8.318,8.316,8.481,8.558,8.702,8.759,8.967,8.947,8.845,8.959,8.902,8.766,8.904,8.978,9.326,9.066,9.079,9.202,8.937,9.138,9.21,9.396,9.255,9.32,9.253,9.363,9.528,9.534,9.626,9.699,9.874,10.177,10.319,10.437,10.542,10.724,10.74,10.765,11.053,11.095,11.174,11.274,11.477,11.596,11.725,11.77,11.589,11.508,11.389,11.425,11.434,11.479,11.636,11.825,11.746,11.785,11.747,11.795,11.93,11.979,12.042,12.119,12.281,12.27,12.203,12.586,12.671,12.67,12.892,12.894,12.975,13.028,13.237,13.56,13.541,13.5,13.89,13.86,13.834,14.014,14.175,14.517,14.608,14.792,15.092,15.28,15.292,15.514,16.036,16.217,16.675,16.812,17.116,17.311,17.998,18.346,18.647,19.146,19.981,20.165,20.289,20.856,21.217,21.6,22.138,22.602,23.012,23.506,24.407,25.421,25.922,26.196,26.695,27.457,27.805,28.146,28.579,29.451,30.021,30.373,30.534,31.736,32.077,32.434,32.931,33.869,34.39,34.927,35.731,37.397,38.183,39.147,39.771,41.988,42.599,43.351,43.808,45.518,46.113,46.666,47.043,47.861,48.11,48.525,48.853,49.093,52.024,52.57,52.988,53.006,53.921,53.95,53.877,54.687,54.609,54.441,54.607,54.929,55.447,55.703,55.986,55.984,56.634,57.095,57.183,57.397,58.462,58.557,58.885,58.754,59.877,60.334,60.856,61.951,62.556,62.617,63.345,64.09,65.213,65.737,66.267,65.532,65.985,66.49,67.058,67.37,67.695,68.315,68.415,68.803,69.529,69.622,69.959,70.68,71.928,72.176,72.554,73.057,73.769,73.751,73.815,74.134,74.62,74.723,74.928,75.16,76.161,76.591,77.007,77.433,79.212,79.208,80.062,80.313,81.175,81.322,81.94,82.524,84.557,85,85.237,86.83,89.396,89.693,90.066,90.49,93.011,94.235,94.932,95.765,99.026,99.645,100.482,100.847,103.678,104.892,105.205,105.307,107.71,108.917,109.201,110.186,111.799,113.461,114.128,112.122,112.47,112.618,113.252,114.041
"33","25","        Value added","W086RG3",6.779,6.772,6.08,6.075,6.173,6.233,6.302,6.366,6.524,6.546,6.47,6.584,6.502,6.313,6.429,6.355,6.569,6.394,6.371,6.452,6.547,6.623,6.678,6.74,6.696,6.773,6.703,6.769,6.799,6.908,6.904,6.97,7.05,7.341,7.415,7.466,7.573,7.723,7.773,7.788,7.93,7.994,8.082,8.174,8.362,8.497,8.663,8.708,8.82,8.845,8.869,8.874,8.917,8.899,9.07,9.113,9.099,9.109,9.105,9.117,9.183,9.193,9.272,9.461,9.577,9.594,9.589,9.911,10.011,10.056,10.156,10.239,10.279,10.31,10.487,10.788,10.839,10.892,11.024,10.996,10.939,11.095,11.194,11.622,11.731,11.836,12.255,12.359,12.408,12.463,13.112,13.201,13.925,14.148,14.336,14.553,15.334,15.636,15.858,16.365,17.427,17.575,17.674,18.326,18.548,18.806,19.176,19.703,19.947,20.225,20.755,21.61,22.059,22.31,22.694,23.546,23.744,24.068,24.338,25.129,25.628,25.918,26.003,27.151,27.374,27.651,27.961,28.869,29.195,29.625,30.038,31.426,31.794,32.357,32.768,35.275,35.707,36.169,36.373,38.411,38.897,39.444,39.711,40.608,40.732,41.198,41.466,41.605,45.553,45.965,46.349,46.52,47.845,47.771,47.547,48.381,48.408,48.592,48.673,48.907,49.634,49.687,49.668,49.658,50.695,51.258,51.485,51.51,52.897,53.071,53.203,52.722,53.892,54.322,54.458,55.03,56.275,56.673,57.462,58.143,59.974,60.669,60.794,59.71,60.437,60.888,61.489,61.821,62.345,62.923,62.791,63.209,64.261,64.097,64.408,65.308,66.997,67.243,67.609,68.031,69.014,69.021,68.985,69.216,70.101,70.178,70.341,70.538,72.152,72.529,72.726,72.951,75.195,74.987,75.824,75.743,76.931,77.086,77.87,78.896,82.09,82.247,82.122,84.309,87.603,87.928,88.185,88.595,92.383,93.68,94.092,94.639,99.615,99.757,100.261,100.367,104.975,105.754,105.474,106.1,110.138,111.227,110.993,111.425,113.329,113.856,113.596,113.179,115.819,115.689,115.839,116.752
"34","26","          Compensation of general government employees","B237RG3",5.148,5.106,3.983,3.889,4.079,4.149,4.149,4.199,4.341,4.441,4.393,4.532,4.446,4.241,4.317,4.128,4.309,4.142,4.113,4.169,4.258,4.325,4.358,4.401,4.373,4.42,4.388,4.447,4.465,4.546,4.53,4.557,4.633,4.931,4.967,4.967,5.014,5.138,5.167,5.149,5.226,5.276,5.328,5.396,5.639,5.774,5.904,5.923,6.048,6.072,6.082,6.083,6.122,6.105,6.281,6.325,6.305,6.316,6.297,6.293,6.348,6.368,6.396,6.546,6.663,6.66,6.671,7.036,7.146,7.194,7.305,7.385,7.417,7.435,7.603,7.914,7.967,7.988,8.11,8.056,7.984,8.118,8.189,8.601,8.681,8.78,9.177,9.248,9.256,9.272,9.916,9.975,10.677,10.858,10.997,11.158,11.905,12.171,12.374,12.885,13.909,14.031,14.062,14.659,14.832,15.016,15.316,15.868,16.005,16.165,16.515,17.286,17.709,17.918,18.182,18.946,19.036,19.256,19.414,20.134,20.481,20.699,20.799,21.849,21.87,22.028,22.218,23.16,23.452,23.744,23.994,25.35,25.655,25.978,26.289,28.767,28.995,29.287,29.32,31.366,31.66,32.058,32.195,33.137,33.205,33.637,33.694,33.823,38.018,38.4,38.832,38.923,40.459,40.501,40.209,41.178,41.368,41.504,41.592,41.914,42.692,42.913,42.923,42.96,44.072,44.652,44.864,44.737,46.308,46.469,46.528,45.819,47.097,47.546,47.59,48.061,49.417,49.851,50.641,51.398,53.691,54.449,54.555,52.958,53.554,53.993,54.558,54.835,55.354,55.78,55.422,55.52,56.753,56.484,56.875,57.921,60.128,60.411,60.864,61.403,62.743,62.728,62.721,62.911,64.16,64.141,64.31,64.466,66.509,66.838,66.944,67.074,69.746,69.481,70.492,70.377,71.954,72.054,73.054,74.519,78.77,78.97,78.749,81.424,85.747,86.098,86.354,86.875,91.55,92.845,93.109,93.474,99.654,99.783,100.35,100.213,105.977,106.519,105.791,106.638,111.756,113.026,112.549,112.907,115.31,115.499,114.92,114.521,118.253,118.244,118.378,119.49
