"","Table 7#2#4U# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155"
"23","15","GAP64          Employee reimbursement","GAP643",16.103,16.338,16.455,16.658,16.923,17.131,17.363,17.655,18.011,18.189,18.506,18.802,19.244,19.604,19.949,20.238,20.562,21.013,21.445,21.622,21.856,22.008,22.206,22.438,22.798,23.125,23.475,23.856,24.326,25.128,26.204,27.266,28.143,28.736,29.195,29.733,30.372,30.846,31.356,31.855,32.523,33.142,33.703,34.289,34.805,35.126,35.646,36.944,37.796,38.753,39.638,40.271,41.235,42.628,44.014,44.924,46.404,46.802,47.515,48.204,49.142,50.832,51.8,52.549,53.011,53.656,53.843,54.27,55.245,55.633,56.474,56.952,57.634,57.856,58.327,59.292,60.675,62.567,63.918,65.151,66.472,67.003,67.649,67.962,67.141,67.826,69.591,70.799,71.894,71.793,72.243,73.729,75.278,76.035,75.451,75.948,75.519,76.346,78.436,76.116,75.44,74.717,80.019,81.188,81.564,81.709,81.136,82.771,84.439,85.118,84.442,85.424,87.017,86.293,87.198,87.51,89.256,88.277,88.435,86.846,89.504,90.641,91.882,93.12,93.136,93.411,96.491,95.681,94.578,96.866,96.775,100.3,98.958,100.112,100.611,100.335,99.484,96.175,93.615,95.173,100.502,102.562,103.151,99.541,98.823,99.2,100.735,102.703,99.162,96.873,97.472,97.036
"24","16","W241RG       Used light trucks (including utility vehicles)","W241RG3",24.022,24.072,24.408,24.742,24.875,24.908,25.027,25.269,25.231,25.332,25.448,25.694,25.688,25.794,26.076,27.093,27.69,27.67,27.049,26.476,26.946,27.038,27.179,26.766,26.753,27.01,27.143,27.169,27.178,27.892,29.03,30.109,30.157,30.895,31.183,31.93,32.49,32.794,33.171,34.042,34.146,34.32,34.675,36.07,37.044,38.145,40.111,41.059,40.899,43.033,42.328,40.464,41.03,41.491,42.739,46.394,48.782,50.529,53.977,56.565,57.64,59.526,61.048,61.988,63.585,64.772,67.713,70.904,72.203,74.813,76.057,75.984,76.692,75.691,73.809,73.716,73.201,71.068,70.092,69.998,70.517,73.791,75.44,75.897,75.992,76.558,77.137,77.689,79.348,79.153,77.459,77.124,77.142,76.4,76.154,75.402,75.841,76.541,77.085,76.974,74.876,73.948,73.639,73.815,76.305,79.796,82.078,86.007,85.375,86.745,88.377,93.379,95.827,96.469,96.071,97.743,100.484,98.936,98.434,98.887,97.437,99.187,99.335,99.559,97.42,96.63,96.83,97.74,97.225,97.442,99.466,99.47,99.258,99.893,99.702,101.147,102.523,102.125,101.336,100.969,100.221,99.528,99.8,98.07,98.406,98.398,95.925,91.514,91.439,91.581,91.508,92.787
"25","17","W491RG         Margin","W491RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.866,63.885,66.709,69.895,71.575,74.349,75.736,75.747,76.332,75.355,73.502,73.437,73.043,70.908,69.895,69.734,70.088,73.262,74.851,75.295,75.473,76.077,76.693,77.278,78.958,78.775,77.093,76.743,76.752,75.982,75.701,74.923,75.264,75.991,76.639,76.677,71.601,63.98,57.357,53.518,60.904,67.198,69.164,77.51,77.821,79.688,79.243,86.093,85.434,85.089,85.793,89.623,94.295,92.468,92.229,94.243,89.295,98.014,104.843,107.305,99.329,96.727,95.308,97.232,100.692,100.374,101.191,99.759,100.317,99.916,99.444,100.309,100.695,101.11,101.599,102.186,102.951,103.908,104.894,105.854,106.688,107.546,108.412,109.327,110.401,110.422,106.606,106.523
"26","18","W492RG         Net transactions","W492RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.167,65.208,68.101,71.338,73.045,75.876,77.288,77.3,77.899,76.89,75.004,74.948,74.524,72.355,71.327,71.165,71.516,74.763,76.386,76.84,77.024,77.637,78.264,78.86,80.568,80.389,78.669,78.321,78.319,77.535,77.251,76.457,76.807,77.555,78.202,78.255,77.869,79.769,82.07,83.978,84.461,86.792,89.267,90.886,89.658,90.673,93.598,97.25,101.784,103.092,101.972,102.285,103.93,102.56,101.904,101.459,101.846,99.893,96.717,95.86,96.485,96.535,97.437,97.943,95.899,96.31,98.782,99.347,98.833,99.882,99.812,101.494,103.268,102.547,101.249,100.539,99.185,97.878,97.953,95.401,95.619,95.297,91.366,84.616,84.083,84.283,86.067,87.927
"27","19","AB62RG   Private fixed investment","AB62RG3",31.742,31.83,32.04,32.51,32.471,32.746,32.982,33.388,33.238,33.448,34.061,34.265,34.611,34.808,35.151,36.108,36.99,37.398,37.11,36.775,37.502,37.722,37.962,37.148,36.79,37.312,37.936,38.215,39.134,40.108,41.286,42.539,43.332,44.566,44.67,45.57,46.649,46.73,47.516,48.575,48.984,49.804,51.386,53.594,54.851,55.279,56.056,56.709,58.415,59.749,60.456,62.286,64.18,65.563,67.522,67.998,68.465,70.735,71.11,71.893,71.351,72.062,72.93,72.895,73.193,72.97,72.937,73.204,73.548,73.644,73.674,73.713,74.367,75.31,76.24,77.911,78.789,81.034,81.647,83.773,82.993,82.427,82.565,82.451,82.396,82.979,84.059,85.468,85.194,85.909,86.34,88.15,88.049,88.262,88.904,91.046,92.823,92.972,93.492,95.338,96.228,96.303,95.364,95.624,96.635,96.394,96.222,96.575,98.833,99.84,99.815,98.087,97.178,97.447,98.16,98.455,98.214,99.358,100.245,100.362,100.298,100.867,102.334,101.677,100.462,99.895,100.175,100.798,102.201,102.148,100.346,100.273,100.192,100.021,100.414,99.373,96.365,96.443,98.752,97.511,98.135,98.667,96.492,99.521,99.88,97.932,100.98,107.996,107.908,108.319,105.751,106.033
"28","20","AB68RG     New motor vehicles","AB68RG3",29.356,29.508,29.852,30.269,30.335,30.454,30.656,30.87,30.857,31.062,31.347,31.576,31.751,32.026,32.363,33.236,34.041,34.413,34.118,33.784,34.352,34.533,34.748,34.248,34.132,34.596,34.983,35.048,35.587,36.539,37.986,39.462,40.26,41.182,41.582,42.423,43.256,43.848,44.692,45.742,46.354,47.011,47.931,49.468,50.524,51.062,52.057,52.786,54.157,55.656,56.1,57.102,58.65,59.797,61.584,62.889,63.841,65.989,67.131,68.368,68.246,69.249,70.284,70.461,70.935,70.957,71.511,72.378,72.976,73.691,74.052,74.105,74.764,75.221,75.414,76.651,77.227,78.371,78.536,80.032,79.556,79.97,80.519,80.585,80.61,81.205,82.119,83.277,83.617,84.044,83.75,84.832,84.784,84.656,84.963,86.018,87.236,87.631,88.197,89.316,89.722,90.624,91.078,92.07,92.815,93.532,94.332,95.063,96.083,97.084,98.069,98.012,98.869,99.51,99.643,99.909,100.249,100.523,100.853,100.73,100.906,100.473,100.155,99.334,98.921,98.643,99.174,99.727,99.763,99.898,99.712,99.889,99.618,99.948,100.194,100.24,99.251,99.01,99.732,98.624,98.215,97.891,96.656,97.091,97.361,96.118,96.264,97.482,97.165,97.477,96.8,97.702
"29","21","B139RG       Autos","B139RG3",35.701,35.9,36.448,36.96,36.935,37.11,37.348,37.674,37.514,37.723,37.949,38.213,38.2,38.35,38.793,40.29,41.206,41.235,40.282,39.49,40.215,40.386,40.635,39.752,39.914,40.282,40.528,40.375,40.58,41.58,43.429,44.796,45.088,46.235,46.579,47.448,48.395,48.789,49.317,50.383,50.754,51.191,51.854,53.455,54.768,55.089,55.893,57.184,58.417,59.73,60.524,61.297,62.954,64.26,65.584,66.209,66.313,68.357,69.427,70.241,70.429,71.034,71.719,71.637,72.22,72.668,73.226,73.845,74.272,74.72,75.222,75.549,76.453,77.007,77.483,77.95,78.643,79.873,81.08,82.208,82.294,82.869,83.796,84.161,83.741,84.284,85.343,85.814,85.99,86.392,86.163,87.026,87.575,87.162,87.256,88.194,89.771,90.514,90.851,91.324,91.858,92.476,93.024,93.461,93.825,94.479,95.21,96.002,96.718,97.516,98.522,99.039,99.456,99.972,99.982,100.375,100.92,101.246,101.863,102.041,101.96,101.832,101.534,101.134,101.017,100.692,100.962,100.608,100.372,99.921,99.849,99.871,99.746,100.182,100.179,99.894,99.713,99.644,99.279,99.489,98.899,98.293,98.083,98.181,97.089,96.62,96.35,95.986,95.988,96.188,95.593,95.927
"30","22","GAP67          Domestic","GAP673",35.695,35.889,36.436,36.945,36.917,37.094,37.328,37.654,37.484,37.703,37.949,38.241,38.292,38.463,38.914,40.402,41.256,41.26,40.281,39.487,40.227,40.401,40.647,39.764,39.911,40.279,40.527,40.374,40.597,41.598,43.437,44.789,45.03,46.158,46.492,47.362,48.349,48.761,49.302,50.381,50.751,51.186,51.847,53.443,54.734,55.053,55.862,57.168,58.449,59.784,60.59,61.36,62.973,64.266,65.583,66.21,66.354,68.41,69.479,70.283,70.434,71.021,71.686,71.585,72.151,72.592,73.154,73.782,74.239,74.704,75.218,75.554,76.453,77.009,77.489,77.956,78.653,79.891,81.092,82.213,82.278,82.846,83.771,84.14,83.735,84.287,85.352,85.826,86.006,86.409,86.176,87.04,87.578,87.16,87.252,88.188,89.76,90.511,90.846,91.318,91.849,92.466,93.01,93.446,93.806,94.459,95.187,95.98,96.694,97.495,98.508,99.027,99.454,99.976,99.988,100.38,100.92,101.243,101.86,102.038,101.958,101.833,101.537,101.14,101.027,100.703,100.972,100.62,100.38,99.927,99.854,99.876,99.755,100.191,100.185,99.897,99.708,99.636,99.271,99.468,98.894,98.304,98.094,98.198,97.103,96.632,96.362,95.997,95.998,96.202,95.609,95.944
"31","23","GAP70          Foreign","GAP703",35.82,36.001,36.533,36.939,36.915,37.088,37.342,37.648,37.478,37.699,37.946,38.239,38.288,38.46,38.907,40.403,41.253,41.255,40.396,39.484,40.224,40.395,40.647,39.759,39.91,40.274,40.517,40.366,40.585,41.588,43.463,44.776,45.086,46.122,46.471,47.359,48.343,48.754,49.31,50.372,50.716,51.203,51.844,53.453,54.702,55.051,55.873,57.178,58.47,59.794,60.585,61.371,62.957,64.265,65.57,66.2,66.354,68.369,69.466,70.305,70.441,71.007,71.666,71.567,72.138,72.587,73.139,73.774,74.235,74.697,75.214,75.547,76.44,77.004,77.463,77.95,78.685,79.859,81.074,82.192,82.276,82.844,83.764,84.13,83.725,84.272,85.34,85.824,85.995,86.396,86.176,87.011,87.565,87.152,87.237,88.178,89.806,90.493,90.837,91.307,91.839,92.452,93.007,93.433,93.796,94.443,95.183,95.968,96.688,97.483,98.478,99.017,99.445,99.964,99.978,100.375,100.907,101.24,101.849,102.029,101.948,101.819,101.519,101.129,101.017,100.703,100.975,100.61,100.364,99.914,99.845,99.872,99.748,100.18,100.179,99.895,99.701,99.634,99.269,99.523,98.929,98.303,98.103,98.194,97.1,96.635,96.366,96.003,96.006,96.197,95.6,95.93
"32","24","B705RG       Trucks","B705RG3",23.282,23.392,23.546,23.874,24.018,24.085,24.254,24.366,24.48,24.677,25.002,25.196,25.516,25.886,26.119,26.462,27.145,27.809,28.08,28.131,28.563,28.746,28.917,28.732,28.406,28.928,29.416,29.634,30.388,31.266,32.36,33.87,35.074,35.774,36.249,37.069,37.771,38.568,39.716,40.739,41.595,42.464,43.631,45.085,45.877,46.607,47.773,47.971,49.447,51.082,51.212,52.39,53.807,54.773,56.986,59.017,60.994,63.243,64.449,66.196,65.718,67.193,68.706,69.265,69.597,69.022,69.577,70.795,71.617,72.699,72.863,72.548,72.902,73.253,73.091,75.338,75.809,76.889,75.475,77.552,76.356,76.571,76.65,76.335,76.921,77.583,78.308,80.371,80.934,81.395,81.01,82.369,81.515,81.765,82.384,83.645,84.326,84.162,85.127,87.313,87.508,88.819,89.135,90.861,92.101,92.895,93.779,94.441,95.808,97.05,98.022,97.333,98.67,99.442,99.701,99.845,99.987,100.211,100.275,99.901,100.29,99.611,99.284,98.153,97.544,97.304,98.014,99.172,99.379,99.886,99.624,99.894,99.529,99.793,100.201,100.477,98.925,98.562,100.056,98.058,97.754,97.627,95.671,96.337,97.523,95.79,96.198,98.39,97.882,98.258,97.536,98.742
"33","25","B196RG         Light trucks (including utility vehicles)","B196RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.276,77.051,77.602,76.716,77.925,78.915,80.09,80.672,81.843,82.194,81.427,83.329,81.94,81.818,82.757,83.488,84.946,84.831,86.195,88.148,88.844,90.074,90.522,92.327,94.065,95.142,96,96.598,98.299,99.953,101.084,99.661,100.453,100.987,101.078,101.149,101.313,101.671,102.085,101.943,102.155,101.212,100.66,99.314,98.416,97.645,98.351,99.56,99.741,100.308,99.838,100.129,99.51,99.869,100.248,100.372,98.646,98.221,99.974,97.421,96.95,96.694,94.116,94.745,96.14,94.037,94.579,97.256,96.003,96.363,95.093,96.665
"34","26","B197RG         Other","B197RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.073,74.374,73.768,73.77,74.121,74.528,74.872,78.291,78.235,78.763,78.7,79.525,79.199,79.869,80.098,81.986,81.679,81.461,81.831,84.311,83.828,85.22,85.36,86.94,87.561,88.006,88.896,89.619,90.551,91.212,91.952,92.282,94.304,95.394,95.919,96.22,96.445,96.437,95.776,94.811,95.51,95.475,95.708,95.12,95.282,96.444,97.151,98.186,98.44,98.795,99.046,99.261,99.548,99.569,100.067,100.816,99.798,99.618,100.185,100.185,100.481,100.807,100.941,101.722,102.165,101.77,101.714,102.3,104.061,104.488,105.41,105.568
"35","27","W242RG     Net purchases of used autos and used light trucks","W242RG3",22.734,23.119,23.921,24.203,24.693,24.228,24.328,23.792,24.317,24.517,23.53,23.88,23.485,24.043,24.39,25.03,25.631,25.886,25.515,25.137,25.039,25.084,25.222,26.097,27.116,27.437,26.811,25.891,24.82,25.908,28.674,31.148,31.875,31.761,33.037,33.688,33.759,36.133,37.295,38.472,40.182,40.261,38.296,37.019,37.248,38.325,40.396,41.515,41.475,43.79,43.205,41.247,41.774,42.27,43.603,47.405,49.862,51.676,55.358,58.155,59.474,61.521,63.137,64.01,65.142,66.097,69.09,72.594,74.211,77.253,78.718,78.732,79.3,78.154,76.088,76.007,75.581,73.348,72.235,72.064,72.489,75.707,77.325,77.754,77.915,78.51,79.018,79.571,81.29,81.055,79.27,78.94,79.008,78.253,77.968,77.214,77.527,78.327,78.976,79.036,78.768,80.831,83.203,85.237,85.582,87.825,90.282,91.713,90.371,91.349,94.376,97.922,102.671,104.082,102.891,103.05,104.576,103.151,102.408,101.799,102.436,100.013,96.299,95.247,96.348,96.602,97.593,98.04,95.733,96.168,98.738,99.329,98.737,99.864,99.861,101.538,103.481,102.759,101.277,100.37,98.526,97.077,97.04,94.337,94.493,94.217,90.186,83.385,82.755,82.928,85.083,86.983
"36","28","B140RG       Used autos","B140RG3",22.622,23.013,23.819,24.101,24.59,24.121,24.22,23.678,24.207,24.408,23.412,23.761,23.365,23.925,24.271,24.904,25.504,25.76,25.394,25.019,24.912,24.957,25.096,25.989,27.027,27.349,26.711,25.767,24.663,25.757,28.561,31.07,31.817,31.679,32.981,33.627,33.684,36.121,37.306,38.488,40.244,40.313,38.278,36.915,37.104,38.169,40.23,41.352,41.322,43.638,43.063,41.111,41.637,42.135,43.468,47.262,49.708,51.517,55.196,57.992,59.324,61.373,62.987,63.852,64.948,65.882,68.866,72.382,74.009,77.071,78.547,78.57,79.128,77.978,75.907,75.831,75.419,73.186,72.054,71.865,72.253,75.425,77.023,77.447,77.636,78.24,78.732,79.284,80.997,80.751,78.959,78.629,78.709,77.963,77.673,76.933,77.232,78.037,78.672,78.722,78.406,80.377,82.622,84.607,85.022,87.332,89.742,91.328,90.043,91.04,93.96,97.6,102.171,103.522,102.39,102.669,104.286,102.839,102.115,101.613,101.982,100.123,96.815,95.818,96.515,96.644,97.491,97.965,95.852,96.257,98.758,99.284,98.746,99.847,99.87,101.537,103.415,102.753,101.339,100.494,98.857,97.485,97.464,94.83,94.984,94.687,90.7,84.162,83.423,83.541,85.426,87.27
"37","29","GAP73          Margin","GAP733",14.637,15.16,16.224,16.829,16.25,16.928,17.395,17.932,18.248,18.262,18.342,18.432,18.587,18.806,19.043,19.351,20.707,21.781,21.722,21.597,22.278,23.837,24.055,23.906,24.338,25.385,25.676,26.657,26.456,27.191,30.207,31.759,31.759,31.45,33.006,33.701,34.654,36.568,39.449,42.304,41.711,41.759,40.96,41.267,41.132,42.783,43.619,42.297,41.916,40.867,37.978,37.575,37.036,35.867,33.925,35.067,36.053,37.037,36.835,36.01,35.657,35.07,34.831,35.357,38.497,41.809,42.055,39.729,44.181,41.324,39.985,38.464,38.814,40.598,42.348,42.902,41.145,41.83,45.282,48.597,52.289,59.905,63.603,64.016,56.785,55.759,59.831,61.39,65.736,67.459,67.78,66.035,61.946,59.811,59.188,57.82,60.226,60.415,62.078,62.148,59.671,60.534,61.829,62.552,64.503,67.133,70.482,73.592,75.738,78.526,82.374,86.073,86.821,86.997,85.804,86.553,90.803,91.957,94.112,96.439,98.902,94.334,95.921,100.019,97.572,95.424,97.306,98.004,99.461,99.535,101.154,101.952,101.561,101.191,98.075,99.187,98.745,99.628,101.245,103.571,108.197,111.101,112.907,113.366,112.435,110.267,106.952,102.39,103.367,106.045,105.062,106.445
"38","30","GAP76          Net transactions","GAP763",22.305,22.706,23.532,23.838,24.275,23.877,24.001,23.517,24.026,24.223,23.288,23.642,23.305,23.86,24.209,24.815,25.428,25.711,25.337,24.956,24.879,25.018,25.161,25.996,27.023,27.387,26.792,25.935,24.85,25.921,28.737,31.207,31.943,31.808,33.146,33.829,33.977,36.436,37.727,38.999,40.622,40.668,38.671,37.382,37.522,38.614,40.617,41.631,41.617,43.808,43.142,41.242,41.702,42.137,43.374,47.119,49.635,51.472,55.036,57.673,58.782,60.651,62.113,62.92,64.158,65.213,68.076,71.319,73.058,75.916,77.32,77.326,77.942,76.931,75.009,74.976,74.555,72.389,71.355,71.21,71.54,74.789,76.425,76.876,77.04,77.668,78.301,78.9,80.627,80.429,78.69,78.335,78.34,77.566,77.268,76.505,76.829,77.602,78.24,78.274,77.89,79.829,82.053,84.019,84.51,86.844,89.288,90.914,89.681,90.712,93.65,97.295,101.795,103.128,102.005,102.302,103.989,102.605,101.944,101.501,101.904,99.971,96.776,95.898,96.52,96.6,97.473,97.958,95.927,96.334,98.825,99.368,98.858,99.925,99.865,101.497,103.244,102.598,101.257,100.513,99.097,97.868,97.928,95.395,95.574,95.258,91.297,84.794,84.09,84.269,86.086,87.923
"39","31","W243RG       Used light trucks (including utility vehicles)","W243RG3",24.821,24.876,25.228,25.58,25.725,25.763,25.888,26.135,26.087,26.185,26.298,26.545,26.531,26.636,26.925,27.974,28.593,28.578,27.946,27.363,27.87,27.973,28.122,27.695,27.661,27.931,28.081,28.129,28.188,28.95,30.145,31.264,31.291,32.029,32.289,33.017,33.514,33.799,34.187,35.114,35.337,35.576,35.99,37.47,38.458,39.602,41.64,42.615,42.45,44.642,43.877,41.904,42.418,42.861,44.131,47.903,50.446,52.28,55.865,58.54,59.572,61.478,63.009,63.946,65.577,66.793,69.834,73.153,74.574,77.308,78.601,78.515,79.185,78.111,76.152,76.043,75.515,73.318,72.333,72.26,72.888,76.287,77.986,78.44,78.462,79.015,79.588,80.146,81.877,81.685,79.936,79.598,79.629,78.854,78.583,77.791,78.139,78.922,79.612,79.706,79.565,81.839,84.493,86.641,86.834,88.923,91.481,92.556,91.064,91.981,95.283,98.545,103.776,105.343,103.993,103.855,105.186,103.808,103.027,102.214,103.408,99.792,95.358,94.264,96.054,96.54,97.78,98.201,95.592,96.065,98.716,99.379,98.727,99.884,99.85,101.538,103.554,102.765,101.208,100.239,98.199,96.673,96.617,93.85,94.01,93.754,89.678,82.621,82.092,82.317,84.725,86.676
"40","32","W493RG         Margin","W493RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.832,57.753,60.307,63.186,64.705,67.213,68.467,68.477,69.006,68.122,66.447,66.388,66.032,64.102,63.187,63.041,63.361,66.23,67.667,68.068,68.229,68.775,69.332,69.861,71.379,71.214,69.694,69.377,69.385,68.69,68.435,67.732,68.04,68.698,69.281,69.319,66.187,62.62,59.582,57.784,61.911,67.492,68.664,76.395,77.758,79.641,79.176,86.023,85.398,85.061,85.756,89.594,94.193,92.476,92.283,94.274,87.51,97.009,104.519,107.471,99.303,96.758,95.33,97.207,100.752,100.397,101.173,99.712,100.317,99.916,99.443,100.309,99.402,100.282,101.793,103.957,109.371,111.234,112.1,112.042,111.135,109.525,107.342,104.716,102.91,102.93,99.372,99.295
"41","33","W494RG         Net transactions","W494RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.176,65.216,68.104,71.355,73.069,75.904,77.313,77.324,77.927,76.915,75.03,74.966,74.562,72.381,71.35,71.182,71.56,74.797,76.411,76.864,77.046,77.661,78.288,78.884,80.593,80.415,78.693,78.347,78.343,77.56,77.276,76.482,76.831,77.579,78.227,78.28,77.894,79.796,82.098,84.005,84.489,86.822,89.297,90.915,89.686,90.701,93.625,97.27,101.805,103.125,102.004,102.321,103.969,102.592,101.936,101.494,101.961,99.956,96.742,95.89,96.515,96.591,97.469,97.959,95.922,96.328,98.838,99.368,98.86,99.925,99.874,101.5,103.248,102.574,101.251,100.526,99.098,97.872,97.929,95.4,95.592,95.271,91.392,84.723,84.086,84.294,86.154,87.93
"42","34","AB64RG   Gross government investment","AB64RG3",24.789,24.94,25.088,25.427,25.588,25.763,25.985,26.251,26.4,26.618,27.068,27.327,27.674,28.037,28.397,28.94,29.837,30.297,30.229,29.84,29.653,29.519,29.52,29.136,29.107,29.621,30.178,30.484,31.108,31.986,33.104,34.485,35.728,36.552,36.996,37.815,38.586,39.212,40.173,41.107,41.842,42.602,43.647,45.047,45.891,46.48,47.479,48.077,49.444,50.917,51.312,52.393,53.748,54.831,56.742,58.24,59.794,61.625,62.711,64.22,64.219,65.334,66.436,66.831,67.306,67.555,68.037,68.883,69.752,70.514,70.689,70.555,71.245,71.38,71.75,73.034,73.749,75.52,75.586,76.791,76.09,75.707,75.609,75.484,75.616,76.174,77.026,79.137,79.532,80.003,79.946,81.256,81.083,81.484,81.775,83.107,83.481,83.496,84.471,85.839,86.031,86.828,88.012,89.304,90.079,90.404,90.744,91.461,93.003,93.855,94.135,93.737,94.611,95.036,95.629,95.886,96.186,96.325,96.368,95.726,96.648,96.877,97.481,97.11,96.784,97.158,98.083,98.662,98.903,99.466,99.112,99.707,99.553,99.823,100.271,100.353,99.048,98.405,98.858,98.483,99.386,99.843,99.23,99.697,99.984,99.184,100.037,102.386,102.693,102.739,102.6,103.383
"43","35","B144RG     Autos","B144RG3",24.804,25.04,25.159,25.486,25.666,26.038,26.341,26.861,27.057,27.279,27.882,28.202,28.696,28.956,29.407,30.162,30.734,31.084,31.11,30.966,31.49,31.66,31.912,31.409,31.506,31.871,32.437,32.865,33.581,34.458,35.614,36.586,37.203,38.216,38.46,39.164,40.107,40.242,40.692,41.423,41.88,42.474,43.301,44.59,45.582,45.817,46.406,47.714,48.826,49.907,50.9,51.817,53.238,54.747,56.163,56.707,57.416,58.463,59.165,59.803,60.438,61.735,62.61,62.993,63.473,64.006,64.015,64.236,64.856,64.953,65.547,66.015,66.856,67.398,68.174,68.99,70.039,72.217,73.778,75.105,75.969,76.153,76.854,77.2,76.496,77.096,78.59,79.402,79.81,80.049,80.316,81.64,82.83,83.041,82.782,83.582,84.224,84.975,86.437,85.164,85.231,84.89,87.93,88.578,88.9,88.955,88.616,89.78,91.464,92.124,91.828,92.091,92.458,92.153,92.827,93.226,94.207,94.122,94.68,94.079,95.298,96.211,97.433,98.116,97.872,97.853,99.336,98.566,98.19,99.058,98.499,100.119,99.52,100.222,100.484,99.774,98.859,97.239,95.989,97.127,99.726,100.602,100.79,99.517,98.319,98.247,99.77,102.26,100.347,98.962,98.461,97.883
"44","36","GAP82        New autos","GAP823",35.622,35.821,36.482,36.992,36.911,37.084,37.319,37.645,37.475,37.696,37.942,38.234,38.285,38.455,38.906,40.39,41.249,41.248,40.274,39.478,40.259,40.355,40.638,39.754,39.901,40.235,40.516,40.408,40.592,41.598,43.459,44.744,44.981,46.183,46.511,47.314,48.369,48.781,49.324,50.369,50.71,51.147,51.864,53.459,54.752,55.043,55.873,57.18,58.406,59.754,60.576,61.319,62.943,64.22,65.597,66.224,66.338,68.208,69.436,70.277,70.455,71.06,71.67,71.589,72.138,72.575,73.158,73.759,74.267,74.687,75.19,75.535,76.409,76.982,77.457,77.932,78.559,79.874,81.068,82.139,82.287,82.853,83.747,84.114,83.729,84.266,85.325,85.804,85.976,86.392,86.159,87.013,87.52,87.14,87.236,88.122,89.723,90.471,90.823,91.317,91.835,92.417,93.002,93.429,93.791,94.445,95.166,95.939,96.693,97.501,98.478,98.993,99.429,99.933,99.965,100.398,100.881,101.22,101.812,102.023,101.932,101.796,101.479,101.186,101.005,100.757,100.923,100.597,100.315,99.908,99.817,99.881,99.735,100.161,100.151,99.928,99.691,99.642,99.277,99.565,99.033,98.301,98.106,98.198,97.105,96.647,96.391,96.013,96.043,96.156,95.616,95.876
