"","Table 3#11#4# Price Indexes for National Defense Consumption Exp","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156"
"23","15","        Electronics","B388RG3",61.418,61.64,60.701,60.599,62.201,64.612,65.116,64.34,65.492,67.703,72.552,76.869,75.205,74.132,75.536,80.229,78.493,77.584,79.502,81.855,82.474,82.812,83.04,84.323,83.704,87.376,87.497,89.369,89.912,96.407,98.667,98.037,100.899,100.568,99.521,106.114,107.258,107.882,110.995,110.084,113.035,112.411,110.368,113.145,114.531,114.813,113.721,112.739,113.912,113.328,114.621,113.423,115.866,114.163,113.034,113.082,112.785,113.04,113.043,114.654,113.59,113.081,114.722,114.37,114.363,114.496,114.743,115.222,116.739,117.248,118.024,118.703,118.922,119.703,120.225,120.47,120.613,120.635,120.162,120.141,120.206,120.185,119.935,120.027,120.37,120.18,119.855,120.122,120.303,120.663,120.45,120.248,120.344,120.437,120.2,119.789,118.728,117.294,116.55,115.789,114.993,114.575,113.41,112.902,112.175,110.937,109.771,109.219,108.302,107.55,107.103,106.819,106.43,106.279,106.141,105.662,104.794,104.446,103.784,103.328,103.128,102.757,102.167,101.82,101.174,100.813,100.436,100.032,99.7,99.951,99.799,99.946,100.231,100.083,99.895,99.79,100.313,101.526,102.317,102.635,102.281,101.939,101.612,101.63,101.824,102.018,102.357,102.315,101.63,101.372,101.514,101.804,101.87
"24","16","        Other durable goods","B389RG3",32.292,32.806,33.072,33.285,33.043,33.377,35.056,34.949,36.01,36.608,36.198,36.725,39.069,40.125,39.283,40.176,39.287,41.527,44.573,44.203,44.711,45.104,45.67,46.94,47.788,49.544,51.039,52.508,53.16,53.336,55.143,57.344,56.5,59.769,61.171,61.513,64.367,63.301,63.998,68.099,70.587,69.302,70.807,71.326,72.474,73.594,73.797,73.689,74.562,74.735,76.416,75.788,76.817,77.314,75.382,76.266,76.787,77.254,77.021,79.189,77.917,78.362,78.385,77.994,79.975,81.581,81.403,83.575,83.762,84.415,85.288,86.198,85.941,86.391,85.858,86.548,87.885,86.798,87.994,88.562,88.866,89.259,89.881,90.09,91.083,91.492,92.336,92.74,92.868,93.443,93.233,93.857,93.834,94.63,94.554,94.942,95.698,96.218,95.546,95.913,95.794,96.038,96.435,96.341,96.179,96.478,96.402,96.378,96.308,96.35,96.013,95.823,96.277,96.012,96.446,96.621,96.151,96.545,96.161,96.071,96.116,95.78,95.686,96.109,96.45,96.672,96.547,96.409,96.713,97.179,97.594,97.851,99.314,99.955,100.264,100.467,100.942,101.718,102.182,101.942,102.211,102.336,102.408,102.464,103.139,103.783,105.142,105.479,105.418,105.812,106.134,106.7,106.909
"25","17","      Nondurable goods","B725RG3",13.323,13.609,13.692,13.943,14.9,15.484,17.651,18.58,20.292,21.26,24.601,27.926,27.329,26.595,28.653,28.382,29.558,29.667,30.184,30.545,31.527,32.212,32.618,33.501,33.813,34.15,34.613,35.352,37.091,39.331,44.332,51.265,56.927,64.804,64.753,64.875,67.131,71.946,72.013,70.566,69.538,68.725,68.191,68.222,65.907,64.156,64.316,64.372,63.216,63.2,63.18,62.375,61.416,61.541,61.404,62.001,58.316,48.854,46.182,46.02,47.87,50.68,52.54,53.65,52.887,54.512,56.235,54.661,56.817,58.04,57.231,58.963,61.463,60.361,64.816,77.072,67.444,59.665,61.068,62.076,57.797,59.044,61.464,60.487,58.371,59.728,57.89,57.923,55.276,56.999,58.188,59.228,57.377,58.558,58.548,60.047,62.118,63.023,63.833,67.808,66.405,62.566,61.326,62.496,58.084,56.502,55.461,55.472,53.499,56.841,60.339,64.7,68.909,68.569,72.484,76.957,71.441,69.993,69.179,64.037,62.747,66.638,68.594,71.133,78.176,73.702,72.913,72.889,73.792,80.372,84.369,91.017,90.728,97.246,104.705,107.321,104.973,112.728,114.579,106.609,105.287,112.829,115.703,128.074,135.094,156.081,160.958,118.559,97.584,104.108,111.486,115.981,117.949
"26","18","        Petroleum products","B780RG3",5.547,5.714,5.775,5.989,6.741,7.159,9.758,10.395,12.043,12.622,16.113,19.594,18.401,17.372,19.666,19.119,19.79,19.422,19.702,19.792,20.852,21.568,21.926,22.75,22.764,22.737,23.286,23.677,25.217,27.671,33.842,42.426,48.853,58.522,58.013,57.814,60.351,66.253,65.468,63.098,61.145,59.735,58.918,59.123,55.136,51.852,52.199,51.42,49.57,49.549,49.02,47.927,46.191,47.027,46.989,47.261,43.413,28.158,23.239,23.22,26.339,30.177,32.618,33.941,31.129,33.667,35.787,32.137,34.81,36.321,34.323,36.85,39.924,37.9,44.5,61.624,47.859,36.65,38.428,39.962,33.208,35.305,39.536,37.764,34.005,36.441,33.828,33.933,29.722,31.816,32.842,33.977,30.811,32.144,32.025,33.744,36.248,37.446,38.615,44.308,42.18,36.632,34.765,36.674,29.681,27.274,25.664,25.735,22.688,27.794,32.551,39.751,47.347,46.609,53.465,61.174,51.107,48.092,46.928,39.001,36.574,42.48,45.94,50.233,61.621,55.07,53.081,52.898,53.115,63.854,70.9,83.328,81.212,94.725,109.653,114.41,107.462,121.639,124.156,107.639,104.385,118.954,124.21,148.031,161.492,204.298,212.57,125.251,81.715,95.075,111.084,121.343,124.679
"27","19","        Ammunition","B781RG3",29.159,29.589,29.561,29.629,30.796,31.595,31.368,32.855,34.761,37.207,38.53,40.364,42.349,42.56,42.647,42.019,43.566,45.814,46.514,48.181,48.305,48.319,47.855,48.894,49.556,51.29,50.84,52.019,53.838,54.748,56.304,58.044,60.539,61.425,61.083,62.031,62.636,63.951,65.408,65.725,66.873,66.882,66.251,66.02,67.091,68.963,68.089,70.426,70.428,71.003,71.696,71.157,73.887,71.945,71.991,72.628,72.366,71.604,71.743,72.632,72.894,74.532,75.098,76.846,78.842,78.959,79.37,81.885,83.568,84.004,84.444,85.25,84.791,85.275,85.803,85.891,86.491,86.104,86.05,86.497,86.534,86.918,87.528,86.481,87.066,86.498,86.247,85.48,86.65,87.762,89.986,91.326,92.978,93.429,93.367,92.736,92.792,92.029,91.049,91.431,91.707,91.552,91.491,90.978,90.617,90.028,89.407,89.033,88.582,88.786,89.752,89.846,90.036,89.223,89.553,89.602,89.971,89.692,89.056,88.734,89.199,89.157,89.115,89.25,89.349,89.766,90.451,91.196,93.024,95.033,95.741,97.623,99.599,99.971,99.851,100.579,103.567,107.539,109.645,109.925,109.843,111.036,111.438,113.756,115.546,118.697,121.795,120.332,116.845,117.145,116.895,117.005,118.709
"28","20","        Other nondurable goods","B783RG3",28.747,29.175,29.38,29.727,30.445,30.933,31.823,32.795,33.369,34.009,35.094,36.01,36.894,37.538,38.452,39.906,42.098,43.147,43.953,44.377,44.91,45.521,46.256,46.669,47.912,48.535,49.162,50.473,51.723,52.89,53.494,54.43,56.066,57.263,59.358,60.117,61.404,63.069,64.616,65.424,66.013,66.617,67.266,67.214,67.789,68.601,69.21,69.728,70.473,69.949,71.291,71.914,70.278,69.856,70.226,72.653,70.467,72.089,73.292,71.594,71.003,71.61,72.627,71.932,74.016,74.916,76.945,76.84,77.606,78.68,80.058,80.038,82.749,83.649,84.226,85.053,84.87,83.768,84.256,83.878,83.657,83.281,82.399,83.524,83.886,83.578,82.913,83.554,83.751,83.681,84.275,84.708,85.746,86.097,86.514,87.201,87.451,87.849,88.23,88.273,88.488,88.454,88.563,88.557,88.534,88.648,88.858,89.19,89.216,89.578,90.402,90.875,91.572,91.852,92.287,92.558,92.913,93.752,93.229,92.372,92.51,93.57,93.821,94.575,94.693,93.948,94.482,94.533,95.779,96.957,97.058,98.431,99.073,99.787,100.206,100.934,101.712,102.675,103.232,103.541,104.231,105.091,105.559,106.619,107.522,108.46,109.393,108.312,109.278,109.697,110.317,110.614,111.355
"29","21","      Services","B489RG3",25.605,25.943,26.243,26.404,26.893,27.527,28.017,27.9,28.421,29.58,30.87,31.375,32.202,32.868,33.217,33.433,34.194,34.41,35.127,36.125,36.687,37.218,37.852,38.471,39.348,39.834,40.946,41.588,42.425,42.785,43.854,45.143,46.485,47.255,48.813,50.162,50.727,51.373,52.329,53.467,54.111,54.689,55.344,55.614,56.151,56.547,56.768,57.061,57.521,57.943,58.485,58.405,58.674,58.959,59.224,59.978,60.096,60.301,61.05,61.529,61.705,62.183,63.154,63.231,63.914,64.149,63.767,64.853,65.246,64.93,66.069,66.425,67.35,68.048,69.148,70.238,70.276,70.492,70.961,71.947,71.859,71.831,73.277,73.331,73.226,73.773,74.546,74.735,74.82,75.568,76.254,76.486,76.708,77.389,77.898,78.064,78.134,78.436,79.017,79.383,79.686,80.012,80.506,81.089,81.171,81.568,82.142,82.5,82.515,82.863,83.52,83.889,84.45,85.026,85.677,86.254,87.269,87.573,88.16,88.628,89.022,89.7,90.501,91.143,92.158,93.024,93.795,94.354,95.404,96,96.812,97.515,98.906,99.689,100.407,100.999,102.007,103.184,104.141,104.293,105.143,106.135,106.985,107.723,108.594,110.127,111.673,111.144,110.548,110.467,111.195,111.508,112.239
"30","22","        Research and development","B784RG3",36.076,36.35,36.751,37.181,37.652,38.076,38.193,38.812,39.554,40.717,41.835,42.921,43.529,44.051,44.813,45.372,45.8,46.278,46.732,46.99,47.539,48.049,48.53,49.215,50.031,50.622,51.175,51.766,52.421,53.113,53.876,54.777,55.791,56.742,57.474,58.162,58.922,59.753,60.443,61.238,62.389,63.372,64.156,63.593,64.956,65.691,66.217,66.938,67.788,68.225,68.601,68.493,69.245,69.26,68.979,69.755,70.489,70.226,70.934,71.458,70.871,71.341,72.006,71.359,71.261,70.956,69.85,71.105,72.418,70.616,72.469,72.324,73.277,73.279,73.577,74.321,74.108,74.748,74.644,75.464,76.594,76.577,77.109,77.306,77.471,77.7,77.96,78.507,78.567,79.091,79.89,79.642,79.146,79.157,79.633,79.777,79.714,79.398,79.663,80.446,80.909,81.584,82.35,82.703,82.963,83.224,83.493,83.727,83.856,84.373,84.911,85.413,85.741,86.229,86.702,87.054,87.392,87.781,88.025,88.281,88.681,89.052,89.61,90.037,91.062,91.683,92.387,92.786,94.096,94.903,96.204,97.12,98.767,99.591,100.357,101.285,102.401,103.622,104.533,105.019,105.613,106.363,107.096,107.874,109.275,110.296,111.652,111.8,112.02,111.511,111.885,112.294,113.174
"31","23","        Installation support","B911RG3",23.902,24.17,24.571,24.475,25.135,26.131,26.951,26.842,26.802,28.398,29.217,29.74,30.543,31.056,31.072,31.65,32.179,32.674,33.765,34.442,35.089,36.08,37.059,37.378,38.465,38.92,40.443,40.874,41.732,41.84,43.219,43.91,45.449,46.33,47.788,48.055,48.497,49.447,50.739,52.32,52.994,53.444,53.988,54.467,55.042,56.166,55.62,56.077,56.755,57.229,57.927,57.738,57.899,58.447,59.402,60.206,60.803,61.379,62.109,62.445,63.001,63.458,64.498,64.998,65.41,66.498,66.536,67.115,66.277,66.58,67.572,67.956,69.388,70.209,71.677,72.037,71.874,71.258,71.645,72.363,71.792,71.895,73.755,73.699,72.758,73.71,74.442,74.194,74.313,75.392,76.574,76.582,77.298,78.722,78.963,78.84,78.709,78.992,79.73,79.752,79.416,79.471,79.765,79.964,79.636,80.346,81.135,81.619,81.448,81.451,82.418,82.049,82.262,82.474,83.251,83.311,84.833,84.809,85.546,85.66,85.824,86.845,88.345,88.721,90.036,91.031,91.546,92.497,94.029,94.709,95.861,97.345,99.342,99.297,100.216,101.146,102.528,103.657,104.868,105.093,105.995,107.496,108.571,109.346,110.307,112.208,113.37,112.805,110.458,111.108,112.717,112.937,114.401
"32","24","        Weapons support","B912RG3",23.521,23.928,24.177,24.582,24.692,24.961,25.709,26.08,26.578,27.151,27.841,28.476,29.154,29.447,30.544,30.151,30.605,30.802,31.134,32.759,33.18,33.743,34.387,34.546,35.774,36.279,37.198,38.457,39.368,39.677,40.742,42.338,43.235,44.369,45.72,46.952,48.052,49.001,50.044,51.417,52.158,52.817,53.784,54.325,55.191,55.005,55.494,56.444,56.743,56.89,57.542,58.111,58.519,58.662,59.078,59.576,59.458,59.67,59.865,60.404,60.114,60.322,61.05,61.637,61.56,61.772,62.161,62.75,63.525,64.273,65.259,65.66,66.183,66.731,67.671,68.507,69.08,70.05,70.9,72.269,72.615,73.116,74.054,74.868,75.623,76.252,76.633,77.147,77.924,78.269,78.628,78.975,79.558,79.84,80.147,80.813,81.44,82.067,82.26,82.873,83.41,83.862,84.064,84.417,84.854,85.352,85.548,86.014,86.492,86.824,87.053,87.693,88.48,89.131,89.583,90.101,91.035,91.224,91.844,92.283,92.541,92.989,93.188,93.618,94.458,94.887,95.51,96.167,96.507,96.969,97.766,98.289,99.041,99.88,100.413,100.665,101.46,102.255,102.52,103.24,103.894,103.924,104.827,105.268,106,106.657,107.607,107.679,108.263,107.959,108.256,108.276,108.812
"33","25","        Personnel support","B913RG3",14.24,14.737,14.784,14.965,15.655,16.812,17.922,16.096,16.376,17.113,17.699,18.59,19.354,20.245,20.216,20.168,21.233,21.041,21.846,23.114,23.647,23.422,23.884,24.977,25.517,26.121,27.558,28.693,29.109,29.233,30.027,31.362,32.127,30.501,34.197,35.58,36.098,35.787,36.997,37.556,38.141,38.497,38.75,38.813,39.022,38.903,39.882,40.224,40.219,40.253,40.638,41.311,41.114,41.102,41.816,42.671,43.494,43.429,43.777,44.134,45.002,45.636,47.061,48.6,51.391,52.012,51.804,53.284,53.743,54.779,55.878,56.887,57.589,59.121,60.719,62.433,62.034,62.853,63.581,65.895,65.89,66.072,67.895,68.246,67.9,69.24,69.222,69.868,70.073,71.151,71.97,72.91,72.884,74.298,74.578,75.48,75.681,76.392,76.972,77.305,77.47,77.905,78.173,78.839,78.758,79.507,80.529,81.521,81.578,82.184,82.784,83.929,84.769,85.494,86.174,86.753,88.1,88.708,89.415,90.409,91.17,91.915,92.622,93.165,94.254,94.843,95.475,95.978,96.89,97.198,97.832,98.308,99.392,99.765,100.223,100.619,101.546,102.373,103.44,104.087,105.423,106.368,107.025,107.72,107.826,108.481,109.391,109.701,110.094,110.264,110.596,110.627,110.981
"34","26","        Transportation of material","B786RG3",29.194,29.692,30.15,30.22,30.467,30.507,30.333,30.502,32.948,34.24,40.36,38.197,39.906,41.66,41.863,41.209,43.98,43.111,43.093,44.141,45.139,45.854,46.519,47.249,48.116,48.26,49.779,50.366,53.125,54.421,55.776,59.985,62.623,66.65,68.334,68.755,68.453,68.445,69.351,71.434,70.525,70.406,72.279,72.893,71.21,69.015,69.289,65.059,65.151,67.912,69.26,63.545,63.169,64.78,62.208,62.933,55.864,57.608,61.595,64,65.037,66.047,67.169,62.917,62.057,61.718,61.419,63.779,62.552,61.003,61.125,63.206,63.33,63.594,64.873,68.59,68.917,68.24,69.756,71.206,67.815,67.41,69.854,66.362,67.974,66.627,69.616,66.677,68.962,69.641,68.473,69.643,69.054,66.145,69.608,68.393,70.865,71.943,73.1,74.96,75.248,74.077,75.789,79.028,79.136,77.29,77.645,75.867,75.563,76.543,77.565,77.792,78.119,80.292,81.698,83.41,83.657,83.788,85.442,85.48,84.824,85.781,87.278,91.476,91.821,95.031,98.162,96.783,96.068,97.342,97.316,97.358,97.166,100.371,101.586,100.877,101.313,104.384,105.443,102.388,102.381,104.055,105.59,106.058,107.914,115.521,122.723,113.491,103.216,101.396,103.718,106.286,107.373
"35","27","        Travel of persons","B785RG3",21.292,21.216,21.175,21.155,21.152,21.165,20.96,21.322,21.543,22.432,23.021,23.172,24.109,24.673,24.991,25.103,25.224,25.507,26.681,29.701,29.795,30.007,30.06,31.157,31.554,31.786,32.281,31.835,32.188,32.132,33.09,34.45,37.366,38.292,39.61,50.344,50.091,50.855,50.895,51.711,51,51.277,51.266,53.702,52.287,52.872,52.782,52.857,52.483,52.085,51.723,53.227,53.316,53.674,53.813,54.53,53.779,53.983,55.049,54.46,55.239,55.58,56.783,56.266,59.053,58.372,58.42,59.284,59.586,59.759,58.688,58.148,59.324,61.507,63.241,64.289,65.064,65.457,65.42,64.563,64.473,63.86,65.533,66.533,67.099,67.035,70.261,72.854,69.318,69.204,68.67,69.318,71.404,73.291,73.379,73.432,71.131,72.468,74.096,71.937,75.039,75.499,75.662,77.444,78.544,78.768,78.964,78.686,78.272,77.79,78.122,77.507,79.751,80.39,80.846,84.503,85.946,86.402,86.345,87.548,88.439,88.892,88.777,91.084,91.182,91.724,91.879,93.935,96.24,96.655,95.088,93.91,96.629,99.944,101.543,101.884,102.117,105.927,107.354,102.448,102.751,105.745,106.881,109.037,112.062,119.033,126.586,117.167,113.25,112.629,115.907,118.293,118.641
"36","28","  Less: Own-account investment \4\","W088RG3",19.419,19.586,19.716,20.254,20.593,20.894,21.3,21.767,22.103,22.911,23.671,24.669,25.359,25.715,25.912,26.643,26.922,27.261,27.818,28.717,29.423,30,30.508,31.192,31.533,31.946,32.488,33.231,33.749,34.15,34.814,36.132,37.021,37.717,38.358,39.837,40.58,41.242,41.585,42.749,43.436,43.785,44.101,44.939,45.062,45.294,45.505,45.912,46.809,47.019,47.452,47.545,48.095,48.26,48.293,48.723,48.872,49.184,49.564,49.802,50.112,50.381,50.907,51.31,51.992,52.987,53.625,53.539,54.306,54.731,55.445,55.6,55.751,56.445,57.191,57.807,58.948,59.103,59.635,59.366,60.033,60.629,61.678,61.437,61.635,62.5,63.689,63.842,64.381,65.586,65.855,66.247,67.492,67.673,68.541,68.37,69.703,69.498,69.67,70.614,71.352,71.926,72.715,73.149,73.557,73.74,74.648,74.532,75.094,76.099,77.084,76.444,77.908,78.233,80.183,80.426,80.477,81.342,82.536,83.044,85.702,85.637,85.859,86.062,89.034,89.496,89.991,90.23,93.556,95.281,96.104,96.266,99.134,99.416,100.603,100.847,103.495,104.787,105.341,105.078,107.641,108.739,109.119,108.911,110.88,111.721,111.968,112.017,107.586,107.949,108.536,109.007,110.496
"37","29","        Sales to other sectors","W089RG3",16.532,16.9,16.982,17.078,17.474,17.644,18.404,18.517,18.859,20.465,21.251,22.705,23.041,23.005,23.314,23.779,24.783,24.936,24.865,25.506,25.343,25.638,26.014,26.857,27.891,28.325,28.927,29.682,29.95,30.583,30.992,32.16,32.952,33.681,34.267,35.46,36.637,37.174,37.629,38.519,39.625,40.08,40.762,41.182,41.835,42.36,42.195,42.647,43.648,44.167,45.001,45.23,46.109,46.002,46.506,47.608,47.775,47.956,48.18,48.033,48.785,48.62,48.81,49.366,50.076,49.859,49.637,49.782,50.512,52.784,54.043,54.523,55.394,56.228,55.485,55.551,58.464,59.882,60.976,63.125,65.386,66.189,66.223,66.749,69.526,69.474,68.619,68.355,69.119,69.067,69.4,69.54,69.994,70.2,70.655,70.85,72.657,73.243,73.623,73.852,74.663,75.064,75.277,75.752,76.533,76.965,77.394,77.858,79.132,79.216,79.556,79.974,80.989,81.344,82.08,82.876,84.987,85.274,86.477,87.309,88.628,89.162,89.686,89.82,91.895,92.412,92.727,93.093,95.06,95.713,96.431,96.644,99.27,99.88,100.358,100.491,102.644,103.149,103.866,104.276,106.783,107.72,108.121,109.402,110.775,109.013,112.964,113.128,110.005,109.411,109.913,110.343,111.445
"38","30","Gross investment \5\","B788RG3",49.017,48.571,49.438,50.574,50.248,51.206,52.032,51.511,52.347,52.438,53.817,54.21,55.14,56.031,56.725,57.904,59.2,60.171,61.439,62.26,64.262,65.255,64.825,66.292,68.403,69.353,70.414,70.645,71.474,72.811,74.022,74.827,75.426,77.602,78.087,79.873,81.728,83.298,84.967,86.251,87.801,89.737,90.735,90.759,91.393,91.655,92.784,92.886,93.276,93.658,93.789,94.669,93.527,91.949,92.052,90.74,88.927,88.652,87.814,86.347,86.363,85.162,84.478,84.005,84.526,84.545,84.568,85.362,85.761,86.152,86.89,85.962,86.953,87.398,88.339,89.043,89.48,89.602,89.936,90.127,89.953,90.458,90.532,91.435,92.233,92.672,93.383,93.942,94.113,96.213,96.142,96.897,97.031,98.026,98.174,99.583,102.312,97.852,97.493,97.383,97.184,97.235,96.701,96.586,96.071,96.344,96.049,96.552,97.665,97.785,97.665,97.981,98.101,97.617,97.81,97.801,96.992,97.101,96.747,95.473,95.446,95.472,95.649,96.012,96.069,96.151,96.103,96.069,96.657,97.66,98.115,98.98,99.896,99.83,99.809,100.464,100.987,101.789,102.663,102.618,102.942,103.229,103.792,104.131,104.723,105.485,106.17,106.14,105.65,105.338,105.3,105.623,105.986
"39","31","  Structures","B808RG3",15.419,15.647,16.564,17.457,18.521,19.34,19.931,20.366,20.747,21.271,22.436,23.61,24.218,23.95,24.006,24.351,24.295,24.474,25.462,26.695,27.341,28.151,27.561,27.68,27.765,28.732,29.496,29.377,31.891,33.505,35.299,35.787,35.581,36.026,37.382,38.561,38.665,38.968,39.154,39.582,40.107,40.987,41.149,41.127,40.793,40.741,41.893,42.299,44.293,43.937,43.857,45.018,45.448,45.823,45.766,45.627,45.615,45.399,45.43,46.646,47.186,47.612,48.934,48.309,48.158,48.815,50.149,52.424,52.335,53.026,54.074,55.086,54.886,55.003,55.448,55.735,55.998,56.367,58.123,57.294,57.224,57.608,58.072,59.559,60.667,61.386,61.852,62.395,62.683,63.13,64.176,65.056,65.66,66.285,66.843,67.31,67.559,67.978,68.753,68.923,69.452,70.076,70.723,71.509,71.56,71.897,72.775,73.381,73.889,75.016,75.757,76.573,77.086,78.291,79.146,79.802,80.7,81.267,82.113,82.933,83.016,83.653,84.116,84.721,86.033,86.191,86.503,87.108,88.087,89.954,92.873,95.232,96.619,98.506,101.445,103.43,105.03,107.476,108.949,111.089,112.859,114.017,115.064,116.06,116.818,117.228,117.337,116.775,119.518,117.683,116.32,116.477,116.708
"40","32","  Equipment and software","B873RG3",59.975,58.69,58.797,59.452,58.086,58.856,59.548,58.23,59.15,58.902,60.068,59.95,60.85,62.239,63.119,64.498,66.243,67.435,68.661,69.211,71.514,72.437,72.137,73.988,76.707,77.513,78.55,78.893,78.997,80.115,81.062,81.913,82.729,85.32,85.435,87.293,89.591,91.467,93.484,94.945,96.703,98.833,100.015,100.045,100.944,101.288,102.332,102.339,102.27,102.827,103.007,103.777,102.276,100.239,100.382,98.823,96.614,96.34,95.313,93.248,93.124,91.551,90.403,89.982,90.654,90.504,90.194,90.627,91.132,91.463,92.138,90.865,92.07,92.571,93.592,94.359,94.816,94.902,95.057,95.382,95.193,95.717,95.732,96.548,97.292,97.682,98.43,98.987,99.137,101.528,101.242,101.962,101.991,103.047,103.092,104.677,107.884,102.461,101.87,101.702,101.348,101.27,100.485,100.181,99.559,99.813,99.278,99.766,100.985,100.911,100.646,100.882,100.937,100.194,100.277,100.161,99.104,99.146,98.624,97.068,97.025,96.969,97.109,97.441,97.321,97.391,97.288,97.156,97.681,98.566,98.715,99.405,100.266,99.973,99.625,100.136,100.546,101.179,101.991,101.714,101.872,102.049,102.552,102.81,103.384,104.189,104.945,104.985,104.024,103.939,104.11,104.462,104.848
"41","33","    Aircraft","B874RG3",78.594,80.542,79.098,79.203,78.561,80.312,80.803,77.784,78.573,78.524,79.299,79.112,80.104,80.606,82.373,82.078,83.707,82.3,81.653,81.965,85.653,86.07,86.499,86.912,89.767,90.01,90.564,90.623,91.778,92.742,96.493,97.119,99.269,101.691,98.787,99.922,100.701,104.897,106.681,108.264,112.136,118.106,120.364,120.818,120.267,123.572,127.01,125.738,122.276,126.7,124.113,126.262,117.195,110.917,113.296,108.532,104.333,102.512,98.068,89.78,89.589,85.685,81.283,81.217,81.118,79.93,77.6,77.679,78.071,78.425,79.427,75.468,79.23,80.914,85.1,86.898,86.676,88.2,89.54,90.66,90.908,92.412,90.972,92.317,93.019,94.047,97.123,97.597,99.196,110.081,109.613,109.157,108.131,112.297,114.134,121.386,138.318,113.228,111.805,113.283,112.033,110.702,105.704,105.325,104.538,107.306,105.436,111.557,124.303,125.334,124.467,124.427,122.366,118.932,117.206,116.435,113.883,113.686,112.524,104.914,104.876,105.399,107.138,107.583,106.389,105.812,105.691,104.46,103.107,103.185,101.517,102.598,101.985,100.063,98.969,98.983,98.493,98.6,100.595,98.188,97.15,97.543,99.64,101.478,102.125,102.184,102.295,103.427,103.612,104.056,103.813,103.487,104.032
"42","34","    Missiles","B875RG3",100.107,103.803,106.863,112.333,100.224,100.24,101.48,98.791,99.282,100.392,100.74,99.89,98.194,98.855,104.153,110.86,122.331,137.304,135.021,139.69,140.667,145.129,145.534,161.083,161.075,161.375,161.481,153.31,140.191,138.152,127.39,115.4,111.992,115.591,116.688,118.592,122.273,121.442,121.328,120.814,115.795,116.822,119.504,118.251,120.668,123.129,123.565,127.02,126.274,126.928,129.558,132.508,133.705,132.34,130.208,124.699,121.538,122.594,122.587,123.991,120.238,119.791,120.756,116.719,119.196,116.968,117.784,117.096,116.357,115.838,117.731,113.283,113.847,112.808,111.972,111.54,110.908,109.841,107.59,106.478,105.194,106.875,107.329,108.946,108.846,110.822,110.238,112.112,109.766,110.219,106.643,109.876,107.01,106.24,104.726,106.731,105.331,103.931,102.843,98.203,97.015,97.216,97.101,98.043,97.558,99.944,100.467,97.738,95.952,94.72,95.227,94.874,94.892,94.626,94.352,93.929,93.436,93.446,93.428,93.124,92.63,91.984,91.981,92.869,94.223,95.252,95.545,96.37,96.885,97.987,97.856,98.371,99.06,99.907,100.008,101.026,101.297,100.574,100.736,100.884,101.752,101.586,102.48,104.217,103.956,104.719,105.01,106.266,104.912,104.131,105.944,106.454,107.073
"43","35","    Ships","B876RG3",23.382,22.431,23.503,23.561,24.125,24.233,25.035,25.438,25.936,26.527,27.755,28.486,29.398,29.794,30.447,30.644,31.73,32.001,31.809,32.247,34.938,35.81,35.155,36.381,39.313,39.33,40.018,40.591,41.424,42.118,43.154,44.331,45.995,46.769,47.416,48.224,49.846,50.309,51.808,52.564,53.059,53.114,53.307,53.448,54.574,54.788,55.092,55.46,57.659,58.236,58.755,59.377,59.274,59.175,59.388,60.014,60.203,60.695,60.803,61.751,61.7,61.728,62.183,62.65,63.262,63.835,64.576,64.66,66.001,66.783,67.246,67.508,67.869,68.36,68.979,69.251,70.581,71.995,72.879,73.431,73.598,73.759,73.793,74.304,74.872,74.963,75.494,75.65,76.345,77.087,77.966,79.384,81.302,82.057,82.397,82.403,82.21,82.271,82.195,82.276,82.976,83.663,83.924,83.674,83.561,83.471,83.223,82.416,81.812,82.085,82.705,83.11,84.032,84.347,84.879,84.53,84.354,84.591,84.462,84.041,84.157,84.595,85.331,85.388,85.568,85.716,85.742,86.584,89.734,93.435,95.616,97.682,99.582,99.469,98.972,101.977,104.782,107.927,111.365,111.342,111.877,115.033,114.977,115.021,117.944,123.726,128.162,122.342,116.208,114.557,116.659,118.793,120.882
