"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"36","27","  Gross domestic income","A261RC1",236.4,237.8,242.1,251,259.6,268.6,274.1,276.2,269.4,265,265.4,262,271.5,283.2,301.3,313.5,326.5,332.7,338.5,345,347.7,350,356.4,368.2,374.9,378.5,377.8,370.2,372.3,373.2,377.1,386.3,398.6,409.2,417,424.6,429.3,435.9,441.1,450.6,457.7,460.5,465.5,460.9,455.7,457.6,468.9,482.6,494.9,510,507,512.7,526.7,527.2,528.6,527,529.2,539.5,549.2,563.6,575,581.8,588.5,596.1,603.6,613.9,623,633.8,646.5,657.2,669.3,678.5,697.2,709.2,721.9,742.3,763.2,774.4,787.3,801.1,808.7,817.4,834,851.6,874,896.4,916.6,935.1,954.2,972.8,993.9,1005.2,1012,1025.6,1042.6,1045.5,1083,1105.2,1125.9,1149.2,1183.1,1206,1238.1,1288.4,1327.5,1355.4,1385.3,1428.7,1443.6,1472,1509.2,1533.7,1550.4,1587.7,1650.7,1696.8,1750.5,1780.3,1817.3,1856.4,1905.7,1981.9,2045.3,2102.8,2144.5,2250.9,2303.5,2372,2435.1,2480.8,2538,2607.2,2662.1,2669.8,2745.7,2893.9,2993,3048.4,3151,3168.7,3187.9,3241.6,3272.3,3292,3357.7,3438.1,3522,3621.8,3766.1,3869.9,3945.7,4015.6,4093.2,4141.6,4206.4,4259.4,4326.4,4359.9,4411,4472,4551.4,4648.4,4754.9,4859.3,4955.6,5059.1,5157.8,5267.3,5356.3,5395.2,5454.5,5498.1,5611.1,5715.1,5761.3,5777.9,5827.5,5884.4,5941.6,5995.8,6119.3,6204.9,6252.9,6352.1,6391.5,6498.2,6546.5,6690,6802.1,6917.6,7032.5,7153.2,7231.4,7298.3,7417.8,7501.1,7614.9,7763.3,7863.6,8008.5,8146.2,8259.7,8423.7,8555.8,8661.4,8804.6,8967.3,9081.9,9244.5,9339.2,9458.9,9655.5,9930.4,10036.1,10171,10204.4,10376.7,10410.3,10394.8,10376.4,10541.9,10647.2,10681.1,10787.4,10895.5,11037.6,11194.2,11374.8,11567.3,11778.4,11989.3,12167.5,12408.4,12584.5,12809.1,13070.2,13375.7,13538.5,13706.3,13857.5,13916.7,14094.3,14114.9,14243.9,14304.1,14371.1,14478.4,14207.9,13992.5,13989.5,13988.9,14217.6
"37","28","  Gross national income","A023RC1",237.3,238.9,243.2,252.3,261,270.1,275.6,277.6,270.7,266.3,266.6,263.1,272.7,284.5,302.9,315.1,328,334.6,340.5,347.2,349.7,352,358.3,370.1,376.9,380.5,379.6,372.1,374.3,375.2,379.1,388.7,401,411.6,419.5,427.1,432.1,438.8,444,453.1,460.7,463.9,468.7,463.4,458.3,460.3,471.5,485.2,497.5,512.6,509.9,515.7,529.6,530.2,531.8,530.4,532.7,542.9,552.7,567.2,578.6,585.8,592.6,600.8,608.1,618.3,627.5,638.4,651.6,662.1,674.3,683.2,702.6,714.8,727.1,747.1,768.2,779.5,792.3,806.3,814,822.5,839.7,857.2,879.8,902.4,922.9,941.4,960.6,979,999.9,1011.3,1018.3,1032.2,1049.2,1051.6,1090.4,1113.1,1133.1,1156.9,1191.3,1214.2,1247.1,1297.4,1338.2,1367,1399.2,1443,1460.7,1488.4,1524.4,1547,1561.8,1599.3,1663.7,1712.8,1766.2,1796.9,1834.4,1874.3,1926.5,2002.6,2066.2,2121.6,2166.6,2269.6,2324.4,2396.6,2460.7,2510.2,2574.1,2643.7,2700,2705.6,2780.1,2922.4,3024.4,3078.4,3183.7,3206.3,3223.9,3282.5,3307.3,3326.1,3391.8,3474.9,3559.9,3661.5,3803.2,3907.5,3983.1,4048.9,4119.5,4170.2,4230.6,4286.5,4349.9,4376.3,4429.5,4484,4565.5,4666.9,4772.9,4879.2,4980.9,5082.4,5178.9,5291,5379.8,5418.3,5480,5529.8,5641.2,5746.2,5787.8,5827.7,5865.4,5911.4,5965.1,6027.1,6150,6235.2,6280,6380.6,6428.1,6528.4,6583,6711.4,6830.4,6942.1,7054.5,7174.8,7262.9,7332.8,7438.3,7533.2,7653.3,7793.2,7890.1,8040.2,8169.3,8290.6,8446.9,8572.4,8686.8,8827.4,8977,9093.4,9267.3,9367.2,9483.9,9691,9961.4,10070.5,10201.6,10259.5,10417.8,10459.9,10421.7,10466.3,10593,10680,10728.5,10852.6,10947.3,11103.2,11259.8,11466.6,11677.9,11864.2,12086.1,12239.1,12515.3,12680.7,12916.2,13148.6,13456.2,13614,13768.2,13929.2,13980.7,14170.4,14253.4,14428.2,14475.1,14499.9,14639.2,14314.9,14092.5,14082.1,14110.4,14323.3
"38","29","  Gross national factor income \2\","X023RC1",219.3,220.7,224.6,232.6,241.4,249.7,255.3,257.3,250,245,244.9,241.4,250.9,261.8,278.2,291.5,302.7,310.1,315.4,321.3,322.8,324.2,330.2,341.1,347.2,350.1,349.4,341.6,344.3,345.7,349.3,358.1,369.4,379,385.7,392.9,397.3,403.6,408.1,416.4,423.6,426.2,430.4,425.2,420.2,422,433,445.7,456.2,470.5,466.5,471.5,484.1,484.3,485.2,483.6,485.8,495.7,504.8,518,528.4,535.2,540.7,548.4,554.3,563.6,571.8,582,594.4,603.9,614.6,622.1,640.3,652.3,664.7,683.6,705.7,716,728.3,741.2,747.9,754.7,769.9,785.6,805.2,825.7,843.8,860.9,878.5,894.6,913.3,923.1,929.3,942.2,957.1,958.2,993.8,1014.7,1031.9,1053.6,1088.2,1108.4,1139.8,1186.8,1223.7,1250.7,1280.1,1322.6,1337.5,1360.5,1394.3,1417.1,1431.2,1464.2,1524,1570.3,1621.4,1648.9,1684.1,1721.5,1771.2,1844.7,1905.6,1961.9,2001.5,2097,2153.4,2223,2282,2329.8,2391,2457.9,2509.9,2508.8,2576.9,2711.8,2793.4,2841.1,2945.7,2966.5,2984.7,3041.5,3063,3082.5,3143.5,3216.6,3295.3,3387,3517.2,3612.9,3682.5,3741.7,3806.8,3845.3,3905.1,3959.4,4011.5,4044.6,4093.9,4144.9,4222.5,4317.6,4418.7,4519.8,4614.9,4703.8,4792.9,4897,4974,5004.7,5058.1,5108.9,5205.8,5312.3,5347,5379.3,5404.1,5441.3,5485.8,5537,5655.1,5735.8,5775.8,5870.3,5925,6018.3,6067,6178.1,6280.4,6379.5,6484.3,6600.4,6684.1,6755,6854.4,6945.4,7056,7187.7,7279.2,7399.4,7545.8,7650.7,7795.2,7914.7,8018.3,8151.9,8293.2,8394.7,8570.9,8663.3,8768,8961.5,9214.5,9312.9,9439.5,9490.6,9644.7,9692,9657,9674.8,9795.8,9874.3,9909.3,10034.1,10117.7,10277.1,10411.6,10607,10797.8,10970.2,11183.8,11315.8,11571.8,11720.1,11948,12174.2,12459.8,12606.6,12747.4,12897,12925.2,13111.5,13177.2,13340.4,13376.6,13395.7,13524.5,13209.9,13002,12980.8,13036.5,13227.8
"39","30","  Net domestic product","A362RC1",211.6,214.1,217.4,226.7,232.4,239,245.1,246.2,240.7,237,238.5,236,246.1,255.1,271.8,282.1,296.5,303.2,309.2,313,315.8,316.2,321.9,334.1,340.5,343.5,342.2,336.6,335.5,335.6,339.9,348.1,360.9,368.7,376.3,381.8,382.8,387.5,391.5,399.4,407.5,408.7,415.1,409.6,401.7,405.1,418.1,430.7,440.7,453.2,453.7,457.3,470.8,469.8,472.3,466.6,470.5,481.1,491.1,503.6,516.5,523.1,529.2,531.7,540.2,548.2,560.3,569.1,584.5,593,603.7,607.9,626.8,638.1,653.9,674.8,696.7,704.2,715.9,728.1,737.4,740.3,753.2,767.1,792.2,814.7,828,842.8,865.2,878.1,896,901.6,911.5,925.3,941.1,942.2,984.2,1002,1019.9,1030.1,1066.7,1100,1121,1155.3,1200.5,1233,1248,1284.4,1293.4,1325.1,1346.4,1378.1,1387.4,1416.9,1469,1516,1570.5,1598.7,1627.5,1668.9,1716.4,1776.8,1831.2,1869,1899.9,2017.7,2069.8,2142,2180,2233,2295.7,2344.6,2398.1,2390.1,2435.2,2552.8,2676,2696.6,2777.5,2783.8,2762.9,2809.7,2836.2,2869.9,2935.8,3033.8,3134.1,3230.3,3343.4,3435.7,3498.4,3548.7,3623.9,3674.6,3748.8,3800.8,3856.5,3888.7,3948.6,3992.6,4052.7,4120.5,4189.4,4298.5,4353.2,4453.3,4526.7,4624.5,4723.9,4807.2,4876.5,4915.2,5031.3,5110.8,5154.5,5140.7,5166.4,5240.7,5305.4,5358.5,5452,5552,5643.4,5744.4,5782.5,5849.5,5904.7,6020.6,6114.1,6231.5,6307.6,6410.8,6456.3,6491.7,6576.9,6655.9,6742,6893.7,6975,7093.1,7193.4,7319.7,7439.6,7521.4,7603.3,7686.7,7819.3,7982.5,8085.4,8169.4,8300.9,8480.7,8557.9,8774.7,8821.6,8914.4,8931.6,9051.3,9040.8,9096.1,9210.4,9302.4,9391.2,9445.3,9555.2,9662.2,9895.2,10039.7,10200.5,10358.8,10506.1,10674.5,10883.8,10992.6,11185.6,11326,11565.5,11699.7,11777.7,11910.2,12068.8,12247.9,12408.7,12545.1,12560.2,12662.2,12688.5,12466.4,12294.4,12287.2,12391.4,12596.1
"40","31","  Net domestic income","W256RC1",210.8,211.6,215,223.4,231.6,240.3,245.4,247.2,240.1,235.8,236.2,232.8,242.4,253.8,271.2,282.2,294,299.2,304.2,310.1,312.3,314,319.7,331,337.1,340,338.9,330.9,332.5,332.8,336.3,345,356.9,367,373.9,380.4,383.8,389.3,393.4,401.9,408,410,414.2,408.9,403.4,404.8,415.3,428.4,440.1,454.7,451.4,456.7,470.5,470.8,471.9,470,471.7,481.5,490.8,504.6,515.4,521.6,527.6,534.4,541.3,550.9,559.4,569.4,581.4,591.3,602.5,610.8,628.3,639.1,650.5,669.6,689.1,698.8,710.1,722.3,728.4,735.4,750.2,766,786.4,807,825.3,841.7,858.6,874.8,893.7,902.4,906.4,917.8,933.2,935.1,969.2,988.4,1006.7,1027.8,1059.7,1080.4,1109.9,1157.1,1193,1217,1242.6,1281.3,1290.6,1312.3,1341.9,1359,1368.3,1399.5,1457.3,1498.9,1549,1574.8,1607.1,1640.8,1683.7,1753.5,1810.5,1860.9,1895.3,1993.9,2038.1,2098,2151.8,2187.3,2234,2292.3,2336.1,2331.8,2395.8,2531.4,2617.6,2660.7,2751.5,2757.8,2765.9,2810.3,2834.1,2849.3,2912.6,2989.7,3069,3163.9,3302.1,3399.3,3468.2,3530.4,3599.9,3640.5,3696.9,3741.5,3800.5,3825.4,3868.2,3921.3,3993,4082.2,4179.7,4274.7,4360.1,4453.2,4541.6,4640.8,4719.9,4748.8,4798.1,4831.6,4934.3,5028.5,5065.1,5072.6,5113.7,5163.1,5213.4,5261.8,5380.6,5461.7,5506.5,5603,5629.6,5724.9,5762.9,5896.8,5999.8,6104.9,6208.3,6315.8,6380,6434.1,6542.1,6614.4,6718.7,6857,6945.9,7078.6,7202.6,7302.6,7453.4,7571.5,7664.1,7792.7,7939.4,8036.9,8181.4,8256.1,8354.7,8528.5,8778.8,8861.6,8975.2,8989,9143.2,9160.3,9130.4,9099.3,9253.7,9347.7,9370.6,9465.7,9562.4,9691.8,9833.8,9998,10170.6,10358.9,10544.9,10697,10912.8,11060.3,11253.1,11480.5,11757.7,11890.3,12031.1,12156.2,12190,12344.9,12343.7,12451.1,12490.5,12535.5,12620.3,12327,12108.9,12125.5,12138.2,12359.9
"41","32","  Net national factor income \3\","X032RC1",193.7,194.4,197.5,205,213.5,221.5,226.5,228.3,220.8,215.8,215.8,212.2,221.8,232.4,248.1,260.3,270.2,276.7,281.1,286.4,287.4,288.3,293.6,303.8,309.3,311.7,310.5,302.2,304.5,305.3,308.5,316.7,327.8,336.8,342.6,348.7,351.9,357,360.5,367.7,373.9,375.7,379.1,373.3,367.9,369.1,379.3,391.5,401.4,415.3,410.8,415.5,428,427.9,428.5,426.5,428.3,437.7,446.4,459,468.8,475,479.9,486.8,492,500.6,508.1,517.6,529.3,538,547.9,554.4,571.5,582.3,593.3,611,631.6,640.3,651.1,662.4,667.5,672.7,686.1,700,717.6,736.3,752.5,767.4,782.9,796.6,813,820.2,823.7,834.4,847.7,847.8,880,898,912.7,932.2,964.7,982.8,1011.6,1055.5,1089.1,1112.3,1137.4,1175.2,1184.5,1200.8,1227.1,1242.3,1249.2,1276,1330.6,1372.4,1420,1443.4,1474,1505.9,1549.1,1616.3,1670.8,1720.1,1752.3,1839.9,1888,1949,1998.7,2036.4,2087,2143.1,2184,2170.9,2227,2349.3,2418,2453.4,2546.2,2555.6,2562.6,2610.2,2624.8,2639.8,2698.3,2768.2,2842.3,2929.1,3053.1,3142.3,3205,3256.5,3313.5,3344.2,3395.6,3441.4,3485.6,3510,3551.2,3594.2,3664.1,3751.4,3843.5,3935.2,4019.5,4097.9,4176.7,4270.5,4337.6,4358.3,4401.6,4442.3,4528.9,4625.7,4650.8,4674,4690.3,4720,4757.5,4803,4916.4,4992.6,5029.4,5121.2,5163,5245.1,5283.4,5384.9,5478.2,5566.8,5660,5763,5832.7,5890.9,5978.8,6058.7,6159.8,6281.4,6361.5,6469.5,6602.2,6693.6,6825,6930.4,7021,7140,7265.3,7349.7,7507.8,7580.1,7663.8,7834.5,8062.9,8138.5,8243.7,8275.1,8411.3,8442.1,8392.6,8397.8,8507.6,8574.9,8598.8,8712.4,8784.6,8931.2,9051.2,9230.2,9401.1,9550.7,9739.4,9845.3,10076.1,10196,10392,10584.6,10841.8,10958.4,11072.2,11195.7,11198.4,11362.1,11406.1,11547.7,11563,11560.1,11666.4,11329,11118.5,11116.9,11185.8,11370.2
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
