"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"42","35","        Industrial equipment","A680RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.429,28.803,26.644,20.531,23.716,26.628,27.674,30.478,31.419,31.179,34.426,34.858,29.05,29.49,31.797,30.099,31.645,34.185,38.635,45.549,52.383,52.592,51.549,54.973,55.753,51.206,55.212,65.276,70.29,59.598,59.892,63.475,70.624,75.671,72.418,71.267,65.103,59.935,68.594,71.761,71.426,69.649,73.145,78.246,73.721,68.998,70.259,76.223,83.022,91.121,94.502,96.542,100.744,101.365,110.12,102,95.149,94.986,92.321,100,108.304,113.341,109.426,83.675
"43","36","        Transportation equipment","A681RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.069,15.582,16.217,16.125,17.849,17.145,14.155,16.843,14.749,18.773,16.868,18.026,13.147,17.422,17.947,16.965,20.917,20.248,22.907,28.697,31.56,30.517,36.694,38.16,31.31,33.816,39.285,47.243,42.763,36.84,40.96,49.78,55.017,57.434,46.886,45.592,40.396,45.488,54.185,56.309,54.157,51.497,54.293,48.89,48.628,47.324,48.161,57.096,66.885,72.383,75.291,81.565,89.163,104.723,102.466,93.31,84.861,77.279,89.341,100,108.134,97.625,70.937,36.396
"44","37","        Other equipment","A862RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.506,18.069,22.054,18.564,19.627,19.722,19.926,19.455,18.316,21.508,22.195,20.965,21.262,22.836,20.968,20.755,22.144,25.742,28.512,31.678,35.621,33.649,34.068,36.37,37.939,37.821,42.863,50.087,49.446,45.783,46.156,51.93,57.204,58.327,52.428,53.842,46.586,44.89,50.835,51.32,50.386,51.803,54.303,60.615,58.317,49.833,49.568,54.266,58.639,61.797,64.151,70.352,77.545,79.588,84.061,83.419,82.796,86.64,91.887,100,103.659,102.872,100.749,81.089
"45","38","    Residential","B011RA3",9.787,5.949,4.976,2.628,2.147,2.938,4.111,5.206,5.661,5.692,8.063,9.093,9.662,4.888,2.904,2.5,2.94,12.339,15.902,19.027,17.589,24.066,20.146,19.786,20.486,22.184,25.778,23.68,22.231,22.465,28.172,26.167,26.24,28.756,32.145,34.013,33.02,30.065,29.119,33.089,34.066,32.028,40.811,48.064,47.756,37.897,32.977,40.743,49.49,52.606,50.676,39.952,36.749,30.077,42.527,48.839,49.612,55.699,56.811,56.235,54.528,49.823,45.035,51.267,55.454,60.845,58.854,63.554,64.756,69.737,74.098,74.839,75.263,79.21,85.724,94.136,100,92.679,75.49,58.213,46.288
"46","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","  Exports","B020RA3",2.908,2.404,1.998,1.565,1.575,1.751,1.846,1.939,2.442,2.416,2.551,2.902,2.975,1.965,1.656,1.779,2.493,5.384,6.138,4.834,4.789,4.194,5.139,4.917,4.587,4.809,5.323,6.202,6.742,5.831,6.432,7.548,7.588,7.971,8.541,9.547,9.815,10.495,10.737,11.58,12.14,13.445,13.674,14.7,17.471,18.852,18.732,19.55,20.021,22.132,24.326,26.946,27.277,25.193,24.543,26.546,27.352,29.451,32.619,37.844,42.193,45.989,49.042,52.41,54.127,58.847,64.805,70.186,78.55,80.343,83.849,91.054,85.946,84.224,85.574,93.698,100,108.962,118.472,124.842,112.823
"51","44","    Goods","B253RA3",3.122,2.565,2.121,1.644,1.637,1.804,1.891,1.99,2.501,2.541,2.681,3.08,3.159,1.94,1.516,1.627,2.442,5.643,6.489,5.024,4.992,4.314,5.253,4.982,4.645,4.908,5.425,6.361,6.865,5.824,5.783,7.139,7.175,7.494,8.083,9.19,9.239,9.88,9.927,10.713,11.274,12.56,12.511,13.856,17.038,18.391,17.964,18.817,19.063,21.193,23.697,26.521,26.234,23.863,23.177,25.009,25.931,27.263,30.286,35.992,40.281,43.671,46.685,50.177,51.812,56.853,63.505,69.106,79.042,80.805,83.88,93.182,87.414,84.268,85.773,93.025,100,109.416,117.512,124.436,109.268
"52","45","    Services","B646RA3",1.888,1.643,1.411,1.175,1.263,1.49,1.632,1.699,2.164,1.84,1.946,2.099,2.149,1.9,2.007,2.16,2.425,3.939,4.283,3.738,3.64,3.408,4.307,4.294,4.018,4.071,4.534,5.129,5.767,5.404,8.365,8.5,8.552,9.141,9.605,10.18,11.215,11.986,12.932,13.925,14.442,15.729,16.942,16.835,18.025,19.432,20.626,21.236,22.606,24.496,25.25,26.826,29.683,28.86,28.38,30.911,31.279,35.82,39.39,42.939,47.375,52.372,55.505,58.496,60.437,64.275,68.316,73.101,77.436,79.303,83.857,86.102,82.534,84.115,85.107,95.237,100,107.935,120.644,125.759,120.661
"53","46","  Imports","B021RA3",2.423,2.107,1.838,1.525,1.589,1.623,2.127,2.102,2.366,1.839,1.931,1.978,2.432,2.208,2.784,2.914,3.098,2.568,2.438,2.845,2.744,3.244,3.371,3.668,4.012,3.815,4.274,4.621,4.815,5.044,5.575,5.649,5.611,6.248,6.416,6.757,7.476,8.587,9.213,10.586,11.189,11.666,12.289,13.672,14.306,13.982,12.428,14.858,16.483,17.911,18.208,16.999,17.446,17.226,19.4,24.122,25.687,27.883,29.532,30.693,32.045,33.191,33.142,35.466,38.532,43.129,46.58,50.631,57.45,64.165,71.55,80.871,78.596,81.27,84.857,94.231,100,106.086,108.188,104.721,90.146
"54","47","    Goods","B255RA3",2.263,1.908,1.666,1.347,1.513,1.547,2.126,2.048,2.29,1.746,1.901,1.994,2.354,1.633,1.889,1.959,1.952,2.256,2.165,2.481,2.384,2.911,2.854,2.911,3.08,2.844,3.176,3.459,3.559,3.659,4.295,4.224,4.218,4.843,5.039,5.372,6.132,7.099,7.473,9.016,9.51,9.882,10.711,12.168,13.027,12.665,11.069,13.572,15.226,16.591,16.876,15.623,15.945,15.544,17.656,21.927,23.299,25.687,26.878,27.966,29.171,30.02,30.156,32.999,36.301,41.149,44.855,49.06,56.13,62.78,70.609,80.086,77.53,80.409,84.363,93.66,100,105.904,107.709,103.472,86.879
"55","48","    Services","B656RA3",3.458,3.361,2.921,2.586,2.174,2.213,2.376,2.634,3.044,2.54,2.37,2.231,3.166,5.162,7.298,7.721,8.843,4.225,3.887,4.795,4.679,4.976,6.331,8.257,9.756,9.86,11.131,11.849,12.669,13.754,13.483,14.535,14.287,14.954,14.943,15.328,15.779,17.783,19.957,20.315,21.596,22.722,22.075,23.011,22.235,22.21,21.247,22.714,23.846,25.546,25.897,25.319,26.778,28.205,30.483,38.126,41.026,41.488,46.378,47.954,50.278,53.564,52.173,50.768,52.124,54.901,56.556,59.514,64.687,71.721,76.569,84.955,84.292,85.837,87.474,97.252,100,107.059,110.754,111.478,107.455
"56","49","Government consumption expenditures and gross investment","B822RA3",6.181,6.812,7.095,6.86,6.633,7.482,7.687,8.971,8.592,9.252,10.067,10.35,17.205,40.483,60.224,67.771,59.168,20.344,17.281,18.542,20.755,20.779,28.386,34.178,36.627,34.132,32.885,32.912,34.379,35.484,36.688,36.751,38.6,40.977,42.032,42.958,44.25,48.149,51.844,53.472,53.347,52.059,50.926,50.556,50.379,51.648,52.812,53.049,53.63,55.21,56.241,57.337,57.86,58.876,61.027,63.078,67.471,71.573,73.3,74.22,76.24,78.655,79.514,79.885,79.253,79.245,79.705,80.507,82.02,83.759,86.761,88.519,91.917,96.192,98.336,99.668,100,101.359,103.09,106.252,108.215
"57","50","  Federal","B823RA3",2.851,3.158,3.266,3.34,4.13,5.541,5.639,8.514,7.666,8.465,9.077,10.163,26.817,82.37,130.288,148.703,127.726,34.335,25.367,27.378,30.046,28.399,47.155,61.369,66.331,57.637,52.422,51.508,53.343,53.32,54.992,53.496,55.739,60.488,60.526,59.725,59.697,66.303,72.903,73.491,70.969,65.738,60.677,58.197,55.748,56.243,56.426,56.453,57.647,59.092,60.519,63.39,66.42,68.989,73.561,75.829,81.771,86.407,89.477,88.01,89.379,91.185,91,89.351,85.842,82.555,80.353,79.423,78.641,77.758,79.27,79.661,82.901,88.953,94.839,98.71,100,102.127,103.434,111.362,117.154
"58","51","    National defense","B824RA3",2.207,2.368,2.376,2.385,2.311,2.045,2.497,2.973,2.994,3.127,3.444,6.023,32.57,118.968,193.814,221.237,190.581,45.571,30.703,30.979,32.534,32.108,62.009,82.391,87.671,75.095,67.893,67.389,70.237,69.881,68.485,67.385,70.368,74.623,72.838,69.951,68.481,78.306,88.567,90.001,85.556,77.8,68.981,63.588,60.061,59.595,59.03,58.828,59.511,60.019,61.845,64.541,68.628,73.814,79.11,82.971,90.002,95.766,100.301,99.826,99.335,99.305,98.214,93.351,88.401,84.072,80.936,79.856,77.618,75.978,77.386,76.986,79.908,85.782,93.243,98.535,100,101.588,103.806,111.939,117.992
"59","52","      Consumption expenditures","B997RA3",2.905,3.031,2.936,2.981,2.802,2.397,3.056,3.2,3.111,3.313,3.718,5.772,23.447,85.456,157.281,194.337,186.016,56.207,38.382,36.679,36.707,37.523,63.848,82.528,86.241,75.141,70.247,70.419,75.205,73.546,67.967,68.785,70.49,75.345,76.168,74.181,74.436,84.941,96.109,100.214,96.286,87.549,80.747,75.82,70.33,68.066,66.376,65.239,65.905,66.619,67.458,70.094,74.08,79.047,83.255,85.797,90.955,95.114,98.637,99.764,99.046,98.38,98.279,93.189,89.519,85.53,82.457,81.294,80.072,77.935,79.166,78.445,81.296,86.597,94.027,98.936,100,100.823,102.432,109.088,114.456
"60","53","      Gross investment","B788RA3",0.304,0.551,0.85,0.751,0.999,1.139,1.008,2.498,2.837,2.787,2.878,6.961,56.586,207.112,295.384,300.858,208.072,12.448,6.713,13.043,19.073,15.007,53.312,77.13,86.433,70.427,56.927,54.483,51.642,55.043,65.606,59.129,65.581,67.845,58.568,53.156,46.435,53.651,60.558,53.098,47.039,42.803,27.267,20.371,22.968,28.028,31.107,33.921,34.613,34.413,39.345,42.1,46.384,52.164,61.212,69.915,84.168,96.419,105.285,97.43,98.022,101.011,95.168,91.56,80.355,74.465,71.109,70.472,63.019,64.053,66.396,67.779,71.074,80.367,88.002,95.813,100,106.959,113.578,132.547,143.626
"61","54","    Nondefense","B825RA3",4.065,4.661,4.974,5.183,7.785,12.621,11.986,19.712,17.132,19.265,20.48,18.747,16.69,13.315,10.481,11.891,9.15,13.158,15.392,21.082,26.152,21.973,18.679,20.945,25.293,24.081,22.706,20.938,20.768,21.42,29.138,26.83,27.642,33.377,36.946,40.157,42.878,43.32,42.913,41.897,43.019,42.567,44.575,47.722,47.429,49.891,51.594,52.085,54.324,57.7,58.309,61.573,62.396,59.402,62.471,61.279,64.9,67.13,67.081,63.499,68.795,74.465,76.17,81.218,80.687,79.525,79.207,78.577,80.737,81.374,83.095,85.066,88.945,95.357,98.071,99.067,100,103.237,102.653,110.153,115.394
"62","55","      Consumption expenditures","B542RA3",4.762,5.22,5.122,4.579,6.883,12.157,9.289,21.018,18.02,20.926,23.206,20.818,14.891,12.802,9.371,13.904,8.754,15.415,16.621,23.354,28.473,22.089,18.441,21.663,28.24,27.156,26.667,23.415,22.684,22.661,32.777,28.741,28.447,34.662,37.746,40.393,42.261,42.467,44.434,44.473,46.77,46.631,48.822,52.549,51.941,54.832,56.663,56.604,58.962,61.396,62.453,65.701,66.78,63.853,66.223,63.815,67.476,69.933,68.552,65.055,70.701,76.394,77.236,81.762,80.635,81.377,80.157,78.179,80.937,80.174,80.825,84.638,89.317,95.495,98.458,99.664,100,102.578,101.675,108.959,114.214
"63","56","      Gross investment","B798RA3",2.153,2.934,4.037,5.927,8.889,12.21,16.461,14.318,13.019,13.087,11.644,11.618,18.098,12.63,11.489,6.401,8.733,5.35,10.64,12.965,17.404,19.773,17.73,17.218,15.099,13.626,9.752,12.446,13.891,16.481,16.504,19.461,23.548,27.479,32.323,37.079,42.341,43.528,35.365,30.937,28.082,26.605,27.888,28.906,29.706,30.587,31.768,34.094,35.826,42.403,41.389,44.599,44.465,41.322,46.91,50.392,53.81,55.101,60.473,56.566,60.373,65.909,71.33,78.714,80.954,70.633,74.762,80.934,79.962,88.219,95.922,87.287,86.443,94.26,95.384,94.979,100,107.841,109.55,118.607,123.687
"64","57","  State and local","B829RA3",10.62,11.69,12.197,11.629,10.421,10.956,11.306,11.371,11.369,12.035,13.229,12.794,11.982,10.867,9.876,9.525,9.855,10.837,12.329,13.112,15.108,16.349,16.475,16.749,17.578,19.115,20.494,21.156,22.408,24.312,25.232,26.338,27.961,28.818,30.552,32.626,34.813,36.998,38.868,41.168,42.557,43.738,45.077,46.068,47.381,49.164,50.97,51.346,51.532,53.216,53.998,53.958,52.873,52.898,53.514,55.444,58.879,62.669,63.575,65.933,68.34,71.112,72.585,74.156,75.244,77.197,79.247,81.09,83.98,87.291,91.179,93.744,97.236,100.473,100.408,100.234,100,100.91,102.886,103.355,103.172
"65","58","    Consumption expenditures","B991RA3",9.961,10.608,11.221,11.389,11.208,11.486,12.182,9.912,10.747,10.807,11.482,12.153,12.589,12.894,12.779,12.529,12.824,13.222,14.113,14.262,15.525,16.489,16.437,16.66,17.224,17.954,19.137,19.831,20.886,22.518,23.459,24.803,26.163,26.91,28.228,30.09,32.063,34.024,35.589,37.896,40.299,42.714,44.816,46.515,48.127,50.32,52.81,53.54,54.56,55.659,56.025,55.905,55.684,56.506,57.146,58.217,61.25,65.137,65.913,68.142,70.358,72.605,74.067,75.803,77.334,79.292,81.105,82.592,84.794,88.344,91.538,93.537,96.75,99.938,99.628,99.616,100,100.717,102.523,103.255,103.085
"66","59","    Gross investment","B799RA3",12.683,14.837,15.082,12.363,8.125,9.325,8.772,14.688,12.707,14.801,17.219,14.113,10.338,6.074,3.219,2.647,3.068,5.498,8.446,10.703,14.459,16.406,16.973,17.374,18.883,22.555,24.486,25.074,26.875,29.544,30.41,30.818,33.232,34.418,37.446,40.157,42.992,45.858,48.691,50.888,48.766,45.697,44.399,42.95,43.2,43.579,43.18,42.421,39.855,43.451,45.602,45.833,41.935,39.354,39.871,44.753,49.603,52.994,54.371,57.191,60.295,65.051,66.561,67.473,66.779,68.707,71.712,74.989,80.669,83.008,89.751,94.681,99.356,102.802,103.796,102.913,100,101.738,104.431,103.8,103.477
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
