"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"35","27","          Consumption of general government fixed capital \2\","B432RA3",77.053,72.516,68.58,64.949,61.939,58.858,56.071,53.464,51.63,49.673,47.764,45.836,44.126,42.937,41.918,41.211,40.888,41.116,41.703,42.734,44.209,45.693,47.051,48.576,50.09,51.535,52.531,53.684,54.858,55.624,56.25,56.622,56.885,57.053,57.139,57.142,57.261,57.372,57.659,57.655,57.721,57.802,57.824,57.866,57.779,57.83,57.984,58.069,58.512,58.923,59.244,59.796,60.289,60.647,61.068,61.412,61.571,61.988,62.177,62.629,63.341,63.724,64.319,64.724,65.112,65.382,65.749,66.122,66.308,66.413,66.424,66.475,66.291,66.27,66.306,66.159,66.18,66.274,66.535,66.802,67.207,67.554,67.969,68.366,68.607,68.86,69.057,69.063,68.976,68.822,68.685,68.537,68.3,67.998,67.512,66.893,66.23,65.373,64.525,63.351,62.572,61.737,61.002,60.286,59.461,58.783,58.152,57.713,57.195,56.754,56.513,56.226,56.083,55.928,55.791,55.848,55.928,55.924,55.973,56.016,56.092,56.194,56.311,56.326,56.301,56.436,56.551,56.615,56.683,56.864,57.132,57.288,57.571,57.908,58.246,58.552,58.895,59.252,59.695,60.164,60.696,61.289,61.872,62.576,63.274,64.068,64.871,65.864,66.896,67.968,69.179,70.415,71.834,73.297,74.831,76.475,77.991,79.581,81.202,82.86,84.498,85.964,87.395,88.718,89.967,91.148,92.254,93.309,94.283,95.269,96.266,97.218,98.229,99.174,99.98,100.757,101.486,102.136,102.721,103.214,103.698,104.057,104.318,104.509,104.633,104.657,104.6,104.416,104.152,103.915,103.593,103.224,102.762,102.379,102.024,101.647,101.295,100.88,100.539,100.168,99.814,99.431,99.031,98.584,98.122,97.731,97.377,97.082,96.825,96.588,96.351,96.13,95.925,95.713,95.551,95.326,95.067,94.919,94.78,94.693,94.664,94.704,94.789,94.949,95.174,95.503,95.813,96.232,96.68,97.166,97.743,98.332,98.974,99.617,100.345,101.064,101.737,102.474,103.206,103.908,104.613,105.548,106.663,108.004,109.581,110.723,111.471,111.855,113.428,115.34,117.576,121.214
"36","28","        Intermediate goods and services purchased \3\","W087RA3",2.891,3.778,5.777,5.025,7.082,7.896,7.416,9.234,9.474,10.18,10.675,9.273,10.776,11.011,12.247,13.946,24.925,27.633,35.518,37.662,41.582,47.152,49.068,51.615,52.144,50.806,49.871,51.898,41.672,39.234,36.83,33.987,35.591,30.583,35.358,33.783,32.371,36.642,32.653,37.323,39.74,42.094,42.312,42.782,42.755,44.191,40.129,41.214,32.472,32.985,35.478,35.692,34.468,33.745,36.067,35.211,34.923,35.224,36.61,36.574,39.472,39.643,41.067,41.635,40.972,40.474,42.925,42.589,40.868,38.792,38.583,36.078,35.437,36.547,40.144,44.865,45.888,50.523,53.389,54.159,59.329,62.16,62.24,62.19,67.979,67.51,64.162,65.662,60.38,61.439,58.827,59.592,55.553,50.463,49.997,49.444,49.723,46.656,43.947,44.697,47.828,49.906,42.77,40.636,42.074,43.211,38.567,38.514,40.05,41.303,37.195,36.259,37.113,37.056,35.337,35.298,34.031,36.278,34.271,33.801,35.1,37.312,38.024,35.123,36.37,37.612,37.848,36.806,38.563,40.942,37.103,38.988,41.719,42.594,43.43,43.505,45.836,47.156,47.679,48.915,51.318,51.679,54.847,57.601,57.086,58.866,58.168,60.633,59.953,60.678,60.718,62.913,63.97,65.056,69.546,70.282,69.01,74.064,75.828,70.903,74.441,76.184,76.846,77.959,79.125,77.342,75.795,79.517,72.336,76.734,76.053,76.016,76.07,74.179,70.591,74.382,75.828,75.213,72.252,68.408,66.055,66.339,69.603,69.465,65.154,63.517,63.47,64.673,60.544,60.691,64.559,60.936,59.705,59.667,59.917,56.454,58.545,61.426,59.524,61.737,57.812,62.865,59.803,61.791,54.008,59.53,60.881,60.737,60.279,59.573,64.083,68.783,59.052,66.108,62.241,62.287,66.695,66.943,68.135,70.755,73.762,75.26,78.106,82.774,79.182,95.209,91.378,94.728,97.137,98.184,102.678,95.947,98.993,99.741,105.363,95.903,103.014,102.209,101.108,103.6,100.871,103.933,108.965,108.119,110.519,110.626,119.003,119.212,114.695,119.22,121.434,118.43
"37","29","          Durable goods","A998RA3",4.244,4.45,8.176,8.043,13.269,13.098,14.626,16.664,15.77,18.417,19.811,16.875,26.438,27.198,31.314,36.245,48.122,65.541,79.4,97.593,113.063,126.638,133.107,142.415,151.699,160.859,136.417,127.766,111.291,113.374,97.31,97.762,92.559,96.467,88.283,78.57,79.589,90.195,81.412,85.489,85.814,91.294,88.419,86.993,91.006,96.632,88.119,89.351,62.5,64.867,67.598,66.045,56.539,54.038,56.529,54.729,43.789,44.955,46.554,46.754,55.344,56.499,57.359,56.156,58.293,56.629,55.816,56.325,49.633,48.993,46.27,46.913,47.012,52.537,48.035,51.334,59.764,74.201,69.629,86.053,72.676,71.394,71.092,70.611,84.086,81.714,82.535,82.727,74.353,68.913,68.642,64.347,63.674,61.834,60.732,61.125,50.666,44.843,43.15,39.41,58.673,59.563,56.063,53.216,55.238,54.548,48.453,52.015,46.316,51.476,38.458,45.568,47.686,47.051,48.154,45.943,41.326,47.117,38.011,43.078,49.102,61.601,50.72,53.298,58.967,62.968,59.473,58.423,60.167,67.707,62.333,69.013,67.839,68.948,70.956,63.959,74.741,81.786,75.957,84.238,78.727,85.661,87.961,95.035,99.632,104.685,102.69,103.729,107.323,106.921,96.211,104.688,103.451,108.393,119.21,114.353,106.774,122.967,127.437,118.934,119.184,123.384,133.341,129.727,129.95,127.452,126.942,135.455,124.501,129.922,126.684,117.925,122.618,119.813,117.868,120.797,117.277,119.05,114.188,108.631,104.724,100.714,103.664,103.997,94.099,109.18,86.927,85.381,80.281,78.917,85.56,77.336,76.158,68.699,82.573,66.026,68.114,77.322,76.637,69.121,71.426,76.879,71.088,72.952,69.939,71.555,77.715,75.559,70.392,80.012,85.569,77.195,78.496,78.049,78.422,75.103,73.28,79.464,84.41,75.092,76.334,80.655,86.249,81.86,79.534,91.743,92.437,92.919,94.187,100.498,102.166,98.792,96.061,98.812,102.633,102.493,104.979,105.244,109.123,114.091,109.752,116.106,123.747,126.592,130.006,138.458,145.989,149.329,138.631,151.65,162.513,154.569
"38","30","          Nondurable goods","A725RA3",20.615,16.527,15.392,14.527,33.658,32.766,26.589,36.078,49.305,35.568,36.016,32.621,32.128,34.807,45.679,49.886,108.101,107.043,106.139,105.044,127.283,138.49,144.141,147.278,226.15,210.516,226.287,232.06,142.943,142.763,142.956,159.748,72.242,71.74,65.161,61.249,65.492,65.303,69.803,65.917,71.715,74.439,77.527,98.652,86.901,83.218,84.397,73.779,71.344,65.72,69.86,67.613,77.433,70.198,76.066,70.642,91.883,79.335,95.887,96.055,109.664,101.259,127.414,121.55,105.248,85.3,118.031,119.338,122.451,102.728,125.874,121.417,115.058,87.42,143.136,164.848,162.467,204.893,189.666,171.062,266.208,280.12,291.199,282.318,326.104,338.435,306.045,311.643,294.288,296.54,281.75,265.395,220.85,184.501,181.64,205.16,181.767,167.471,151.877,146.5,179.473,177.166,156.944,146.3,140.294,137.308,103.018,109.666,107.206,119.725,100.354,96.406,97.165,97.785,70.158,85.84,74.35,70.002,74.739,67.296,66.974,59.721,73.002,67.856,63.35,66.09,75.422,64.807,65.587,69.371,72.463,70.385,79.188,70.812,76.64,77.112,77.322,81.343,78.694,83.891,78.457,80.303,79.954,81.08,75.726,91.243,88.247,79.701,71.963,80.534,80.397,84.133,87.637,77.017,77.152,69.753,89.929,105.556,95.474,102.058,89.706,91.495,98.817,105.09,96.065,97.414,85.087,92.664,93.011,92.528,91.991,81.991,78.593,81.191,70.074,91.062,94.087,79.403,77.771,75.531,72.025,82.877,78.145,69.238,69.331,70.11,72.786,64.964,61.793,59.564,62.491,68.358,52.828,53.795,52.934,47.012,55.444,59.69,59.671,53.267,59.047,54.787,58.513,57.353,57.364,56.249,63.788,59.905,58.284,64.397,77.697,64.833,77.141,73.84,64.149,63.12,66.064,73.318,69.482,77.326,77.163,83.367,78.891,87.496,92.403,91.923,74.038,86.712,103.491,99.586,109.942,84.447,94.641,103.41,106.435,95.514,96.084,93.031,104.415,91.917,101.046,100.118,106.609,91.842,96.54,101.506,106.172,109.163,105.074,113.25,110.99,95.997
"39","31","          Services","A489RA3",1.021,2.302,3.981,3.204,3.05,4.175,3.826,4.844,4.257,5.606,5.879,5.071,4.962,4.899,4.77,5.485,11.54,11.517,17.66,16.858,16.81,19.72,20.199,20.985,15.1,12.713,15.529,19.144,16.479,13.306,13.739,9.047,18.233,11.63,19.185,19.545,17.412,20.377,17.098,22.167,24.558,26.029,26.654,25.953,25.911,26.727,23.64,25.482,21.005,21.596,23.912,24.803,24.804,25.099,27.043,26.831,27.492,28.657,28.725,28.609,29.139,29.727,29.319,30.827,30.69,32.026,32.907,32.23,31.443,30.388,29.074,26.006,25.619,27.737,29.38,33.054,32.519,31.721,37.693,36.139,39.025,41.889,41.287,41.937,43.079,42.214,40.051,41.489,38.036,40.425,38.257,41.183,39.251,35.781,35.651,33.389,37.656,36.148,34.175,36.18,33.809,36.193,29.675,28.369,30.032,31.734,29.717,28.459,31.761,31.271,30.398,28.121,28.697,28.681,28.86,27.751,28.194,30.326,29.189,28.215,28.661,29.588,31.508,27.702,28.544,29.042,29.206,29.111,30.978,32.1,27.827,29.139,31.9,34.072,33.904,35.393,36.345,36.099,38.504,37.685,43.027,41.752,45.697,47.789,46.732,46.01,45.869,50.141,49.294,49.344,52.031,52.6,53.963,55.55,59.207,62.274,60.055,61.588,63.825,58.667,64.458,65.683,63.609,65.336,67.683,65.724,64.974,67.339,60.14,64.866,64.708,67.491,66.939,64.792,61.636,63.738,66.102,66.455,63.748,60.061,58.089,58.27,62.359,62.943,59.341,54.044,58.291,60.856,56.819,57.477,60.888,57.346,57.326,58.68,56.327,55.646,57.188,58.707,56.393,61.315,55.255,61.099,57.964,60.255,50.891,57.691,57.661,58.167,58.656,55.517,59.14,67.724,53.986,63.366,59.264,60.011,65.662,64.217,65.198,69.455,73.03,73.662,76.658,82.524,77.937,96.122,92.749,95.722,97.018,97.63,101.998,96.653,99.897,99.48,105.691,94.932,103.547,102.836,99.397,103.265,99.405,102.405,106.859,107.265,109.235,107.391,116.471,115.838,112.198,115.077,116.49,115.604
"40","32","      Less: Own-account investment \4\","W088RA3",12.595,12.31,11.801,11.486,15.955,16.108,24.381,24.773,23.477,27.805,27.732,27.196,23.569,32.36,31.897,39.863,37.735,49.238,64.205,71.359,69.177,79.584,86.463,89.129,95.595,87.751,82.187,74.662,81.798,77.629,74.843,64.844,67.672,63.312,60.641,60.785,56.948,65.686,72.074,58.954,67.997,70.711,73.424,72.909,70.447,75.657,78.469,90.806,48.184,60.299,60.581,63.854,63.526,65.318,55.719,58.566,64.318,64.892,56.207,62.095,57.315,59.277,74.131,68.256,33.352,74.053,74.062,59.4,64.394,58.902,55.209,61.019,55.326,67.853,68.948,59.779,60.601,71.63,75.333,85.014,30.012,27.118,28.305,27.478,27.335,27.036,28.937,30.956,29.547,31.8,30.743,29.336,32.199,32.69,29.98,32.917,29.679,30.213,28.825,27.643,27.111,29.892,31.688,41.444,33.152,32.659,34.775,40.299,32.642,35.752,37.075,37.147,42.27,38.639,40.589,46.046,47.73,43.556,41.973,46.063,42.955,44.067,38.882,39.299,40.147,44.525,44.981,45.713,50.73,50.68,50.831,47.39,46.831,48.065,51.848,53.335,53.762,52.876,56.644,56.018,58.294,64.072,69.357,70.221,69.572,73.069,75.718,75.474,76.951,83.241,89.051,89.284,90.685,94.805,104.004,103.079,102.758,101.314,102.897,104.368,106.846,111.692,115.121,114.96,114.173,113.491,113.239,112.724,115.845,126.001,131.397,141.144,138.582,116.495,124.83,123.856,125.473,134.065,136.137,133.451,141.645,133.48,131.198,117.788,127.223,129.844,130.493,120.741,113.388,112.195,119.417,112.821,119.663,111.282,112.999,102.476,102.213,102.797,107.28,101.681,112.849,105.426,92.236,84.248,96.746,107.879,96.191,74.719,55.795,100.943,94.349,85.675,67.506,69.188,69.919,72.131,88.801,81.645,84.243,100.837,114.725,118.429,119.696,123.024,116.074,116.347,110.739,115.635,101.966,106.053,106.767,107.998,98.775,99.664,100.226,101.335,96.489,97.158,97.938,99.847,95.654,93.79,92.571,91.32,97.075,97.741,98.745,96.965,108.739,110.718,112.629,114.643
"41","33","            Sales to other sectors","W089RA3",2.243,2.199,2.229,0,18.017,20.834,20.201,20.53,9.955,10.027,9.25,9.309,8.223,8.092,7.971,7.662,347.451,3.764,2.834,2.811,3.747,0,3.651,2.752,3.613,6.18,3.619,3.631,5.393,10.471,7.893,11.679,63.843,62.749,69.695,68.271,44.07,73.237,36.921,45.726,55.88,48.291,82.675,83.526,92.487,105.193,48.011,111.649,45.761,42.307,39.038,48.689,56.151,59.925,56.805,46.213,37.844,55.161,37.026,31.844,39.119,62.462,46.059,51.973,28.562,41.047,47.15,44.502,49.497,43.857,57.152,65.422,58.068,60.244,96.239,82.758,140.644,193.304,110.84,89.795,67.562,87.61,25.408,29.314,25.339,27.93,22.081,33.641,25.069,35.401,25.133,19.525,35.411,27.518,21.536,13.516,13.946,14.465,33.307,16.591,78.494,121.155,85.63,104.329,99.276,197.401,191.749,132.704,216.399,223.757,201.599,175.809,247.698,189.011,31.953,45.555,39.948,49.469,49.619,30.786,57.044,95.296,75.491,33.298,48.327,52.454,69.531,87.37,70.072,51.075,45.312,72.373,66.065,57.865,90.995,100.792,110.39,63.06,117.39,71.489,110.222,85.819,54.702,134.213,53.861,41.728,23.81,60.225,54.714,46.397,100.206,39.936,32.32,50.556,69.543,49.113,25.623,52.067,62.375,61.265,63.982,59.438,76.783,36.257,56.304,65.054,114.797,44.898,66.617,58.913,60.227,39.618,59.991,59.155,112.101,162.412,84.83,99.623,113.822,49.87,99.229,141.667,128.714,63.494,110.252,115.562,158.992,74.407,179.561,227.526,139.888,225.567,113.246,77.063,70.411,103.724,86.013,102.719,127.222,110.246,72.518,94.856,80.723,76.829,91.34,24.671,110.357,40.898,30.48,59.685,105.094,64.331,120.116,49.859,80.401,37.854,109.979,51.02,60.423,66.28,56.879,44.191,132.194,62.203,68.132,93.002,96.067,59.554,66.376,77.332,111.309,64.671,105.013,103.612,114.914,76.461,103.382,133.839,114.383,75.057,127.884,100.046,138.171,91.678,79.644,83.504,81.454,82.199,81.89,82.225,84.933,82.298
"42","34","    Nondefense consumption expenditures \1\","A542RA3",13.505,19.967,18.608,14.406,15.612,23.514,26.878,27.414,28.569,31.521,27.687,26.115,25.65,26.413,16.388,19.904,17.499,18.983,19.469,17.813,21.846,20.686,22.156,21.962,25.717,31.553,27.585,28.107,30.091,24.757,24.733,29.04,25.091,27.346,28.241,25.988,24.928,24.942,21.034,22.756,25.599,20.484,19.537,25.114,18.459,23.612,22.567,26.006,27.638,34.592,34.911,33.967,27.069,28.115,28.846,30.934,25.574,28.988,29.538,29.689,30.953,33.457,37.024,37.213,36.154,35.374,40.614,38.842,39.792,41.976,40.064,39.74,40.62,41.048,43.96,43.415,41.966,44.814,42.62,40.469,46.933,43.788,42.623,44.393,44.386,42.777,45.211,45.518,46.483,47.069,47.957,45.571,46.143,47.227,46.61,46.545,46.03,49.053,51.057,49.149,52.127,52.981,52.72,52.367,52.284,52.007,52.194,51.281,54.841,50.589,56.462,57.438,55.894,57.002,56.695,57.062,57.054,56.169,55.988,57.207,57.504,58.368,58.79,61.185,60.378,61.514,60.892,62.802,62.909,62.56,62.064,62.281,63.686,69.383,65.376,64.36,65.949,68.468,66.582,66.122,65.03,62.022,62.982,65.377,66.081,67.454,73.565,57.792,58.902,65.504,65.4,65.454,66.606,67.993,68.213,67.093,67.075,68.584,71.44,72.635,70.726,68.292,64.904,70.284,64.919,63.674,63.389,68.239,69.35,70.874,70.985,71.594,74.906,76.13,77.824,76.718,76.547,77.23,77.321,77.847,81.399,81.218,81.739,82.692,81.067,80.353,80.366,80.755,81.676,80.434,81.373,82.024,81.37,81.232,81.312,76.713,77.644,78.638,77.627,78.807,80.61,81.169,81.09,80.879,80.935,81.337,77.086,81.338,81.093,80.131,80.843,81.233,83.345,86.471,84.783,83.953,86.459,89.847,90.181,90.781,92.797,95.295,96.574,97.314,99.241,96.765,99.744,98.081,99.242,99.517,99.117,100.781,100.171,98.753,99.555,101.521,105.35,102.491,103.205,99.266,99.471,100.447,102.306,104.475,106.933,109.1,108.873,110.931,111.598,113.13,114.874,117.256
"43","35","      Gross output of general government","W128RA3",18.539,23.347,19.067,14.959,17.449,23.532,26.752,28.488,28.298,31.126,28.055,26.123,25.621,29.487,16.657,19.981,18.406,19.689,20.226,18.469,22.28,21.989,22.747,22.811,26.529,31.94,28.105,28.536,30.441,26.535,25.176,29.524,25.795,34.476,28.707,26.456,25.407,26.176,21.657,23.223,26.808,22.673,21.36,26.816,19.128,26.566,23.276,26.681,29.89,35.258,35.712,35.521,28.109,29.096,29.821,31.877,26.786,29.875,30.635,30.681,31.984,34.273,37.87,37.972,38.49,35.903,41.438,39.449,41.162,42.25,40.853,40.296,41.333,41.511,44.539,43.965,42.965,45.458,43.103,41.012,47.624,44.171,44.113,45.387,45.343,43.798,46.243,46.63,47.299,48.072,49.027,46.609,47.162,48.135,47.376,47.537,46.925,49.963,51.875,50.131,53.566,54.263,53.968,53.982,53.69,53.368,53.008,52.405,55.999,51.973,57.16,58.354,56.617,57.919,57.497,57.993,57.651,57.895,58.092,57.569,58.986,59.914,61.109,62.442,61.829,63.475,63.446,64.797,64.917,64.795,64.271,66.072,65.42,71.494,67.602,65.924,67.144,69.741,68.448,67.125,66.125,63.206,64.49,66.303,67.172,68.412,75.289,59.886,60.57,67.173,67.087,67.104,68.4,69.62,69.876,68.935,68.898,70.537,73.087,74.471,72.697,70.332,67.157,72.579,67.363,66.396,66.144,70.482,71.678,73.525,73.754,73.824,77.178,78.076,79.882,78.986,79.705,78.967,80.447,80.427,83.977,82.972,84.005,83.674,82.605,82.011,81.536,81.615,82.868,82.693,82.383,82.954,82.671,82.13,82.363,78.41,78.59,79.688,79.373,79.883,81.153,81.504,81.046,80.953,81.094,81.491,81.113,81.011,80.713,80.75,81.01,81.154,83.286,86.521,84.77,85.531,86.015,89.526,89.738,90.688,92.468,94.307,95.56,96.231,98.049,96.191,98.774,97.212,98.146,98.447,98.556,100.351,100.192,98.085,99.699,102.025,104.648,101.866,102.598,98.485,98.511,99.759,101.512,103.495,105.95,108.081,108.913,110.105,111.068,112.697,114.489,116.843
"44","36","        Value added","W129RA3",41.03,42.672,39.971,29.883,40.914,42.037,43.449,43.982,41.533,41.842,41.332,39.464,40.035,43.523,45.7,50.378,41.883,44.25,42.185,39.6,40.819,41.29,41.535,41.127,39.738,38.841,37.639,36.87,36.58,36.892,36.124,37,36.745,36.421,37.253,37.26,37.551,37.174,37.595,38.087,38.528,38.967,38.728,37.546,39.112,39.171,39.903,39.854,39.308,39.568,39.697,39.703,41.6,43.457,42.179,41.951,42.416,43.046,43.788,44.049,44.758,45.463,46.295,46.191,47.877,48.549,49.032,48.84,49.422,50.187,50.622,50.831,50.95,51.512,52.546,52.902,52.831,54.013,55.756,56.502,56.721,57.676,58.748,58.204,59.132,59.782,59.948,59.191,60.117,60.224,60.474,60.473,61.323,61.341,60.975,61.159,63.192,62.97,62.963,62.95,64.529,64.641,64.59,64.917,65.208,65.012,64.481,64.935,67.709,67.856,68.087,67.765,68.278,68.883,69.22,69.911,70.994,71.913,72.834,73.315,73.431,73.793,74.29,74.256,75.341,76.163,76.406,76.244,76.383,76.598,76.651,76.198,77.784,80.524,79.627,77.55,77.89,77.703,77.414,77.043,76.667,76.334,77.061,77.469,77.836,78.679,79.319,78.761,79.025,79.625,80.204,79.919,80.341,80.975,81.249,80.842,81.107,80.968,80.671,80.487,82.441,81.914,82.691,84.565,85.383,84.398,85.227,87.07,86.817,86.307,86.552,87.361,90.73,91.322,92.236,90.575,91.183,91.147,91.697,93.602,94.389,93.79,93.886,93.763,94.915,95.018,94.312,93.568,94.303,92.898,92.292,91.041,90.994,91.737,91.683,85.476,86.925,89.857,89.347,88.426,88.974,89.412,89.213,88.075,89.182,90.254,90.687,92.211,93.299,91.897,90.98,91.256,94.238,98.989,94.245,93.339,95.19,96.204,96.366,95.503,96.49,97.117,98.235,99.643,100.101,100.472,100.183,100.018,99.599,99.665,99.348,100.173,100.246,99.985,99.541,100.228,100.203,100.548,101.244,100.911,101.453,101.381,102.177,102.685,104.043,105.313,106.169,107.897,109.282,111.296,112.506,113.103
"45","37","          Compensation of general government employees","W130RA3",53.788,56.331,52.096,36.148,53.494,55.265,57.366,58.237,54.239,54.645,53.857,50.943,51.72,57.204,60.616,67.904,54.452,58.11,54.949,50.877,52.714,53.346,53.859,53.273,51.105,49.678,47.829,46.804,46.154,46.796,45.539,46.977,46.594,46.146,47.343,47.402,47.921,47.329,47.98,48.725,49.451,50.036,49.702,47.975,50.204,50.4,51.43,51.43,50.608,50.992,51.224,51.224,54.072,56.816,55.001,54.548,55.289,56.163,57.267,57.402,58.341,59.301,60.364,60.038,62.284,63.065,63.575,62.946,63.634,64.429,64.834,64.848,64.658,65.159,66.3,66.507,65.911,67.29,69.526,70.316,70.341,71.498,72.798,71.845,72.96,73.803,73.879,72.594,73.832,73.887,74.119,74.021,75.237,75.18,74.517,74.798,77.658,77.367,77.29,77.295,79.517,79.672,79.534,79.973,80.401,80.027,79.227,79.824,83.757,83.868,84.176,83.646,84.341,85.085,85.503,86.392,87.852,89.097,90.329,90.96,91.027,91.43,92.041,91.782,93.183,94.18,94.396,93.987,94.015,94.102,93.99,93.145,95.166,98.8,97.323,94.138,94.373,93.888,93.262,92.547,91.793,91.107,91.889,92.219,92.426,93.28,93.846,92.741,92.745,93.205,93.65,92.889,93.138,93.681,93.714,92.805,92.859,92.349,91.624,91.057,93.403,92.372,93.157,95.406,96.209,94.574,95.408,97.61,96.999,96.027,96.041,96.846,101.093,101.586,102.478,99.95,100.439,100.112,100.6,102.879,103.697,102.723,102.62,102.287,103.583,103.563,102.489,101.372,102.205,100.25,99.358,97.608,97.431,98.246,98.004,89.822,91.449,94.994,94.103,92.71,93.164,93.481,92.998,91.321,92.509,93.572,93.81,95.384,96.352,94.208,92.714,92.721,96.118,101.761,95.569,94.208,96.359,97.425,97.45,96.208,97.243,97.861,99.1,100.718,101.181,101.536,101.107,100.81,100.241,100.225,99.73,100.59,100.541,100.07,99.377,100.012,99.734,99.924,100.529,99.927,100.408,100.125,100.834,101.185,102.512,103.797,104.682,106.662,107.989,110.043,111.106,111.205
"46","38","          Consumption of general government fixed capital \2\","B546RA3",10.035,10.073,10.063,10.099,10.134,10.164,10.312,10.305,10.367,10.435,10.42,10.435,10.543,10.497,10.498,10.591,10.691,10.737,10.678,10.72,10.783,10.89,10.756,10.711,10.726,10.769,10.771,10.602,10.826,10.645,10.733,10.632,10.623,10.57,10.646,10.59,10.499,10.524,10.505,10.496,10.414,10.508,10.479,10.427,10.571,10.429,10.506,10.41,10.429,10.426,10.365,10.373,10.32,10.337,10.227,10.391,10.313,10.392,10.379,10.737,10.886,10.999,11.23,11.481,11.82,12.12,12.41,12.895,13.143,13.627,13.978,14.416,14.964,15.445,16.001,16.476,17.23,17.757,18.232,18.688,19.136,19.499,19.905,20.143,20.512,20.672,20.928,21.213,21.384,21.54,21.743,21.892,21.919,22.056,22.278,22.25,22.369,22.318,22.432,22.39,22.464,22.474,22.587,22.637,22.612,22.78,22.859,22.953,22.997,23.177,23.218,23.336,23.403,23.618,23.731,23.905,24.062,24.18,24.324,24.418,24.594,24.798,24.972,25.386,25.64,25.958,26.207,26.56,26.89,27.314,27.677,28.083,28.508,28.957,29.369,29.881,30.37,30.811,31.246,31.63,32.085,32.522,33.003,33.493,34.119,34.789,35.473,36.148,36.918,37.722,38.494,39.285,40.02,40.765,41.533,42.299,43,43.721,44.443,45.166,45.947,46.67,47.324,48.074,48.82,49.522,50.239,50.98,51.64,52.344,53.135,53.861,54.637,55.421,56.296,57.064,57.945,58.712,59.384,60.093,60.721,61.226,61.877,62.369,63.023,63.492,63.949,64.4,64.786,65.197,65.528,65.925,66.293,66.773,67.343,68,68.817,69.557,70.391,71.15,72.024,72.888,73.715,74.57,75.369,76.461,77.61,78.908,80.415,81.877,83.215,84.55,85.867,87.058,88.104,89.049,89.671,90.468,91.201,91.918,92.719,93.399,93.983,94.454,94.865,95.291,95.648,96.089,96.401,96.872,97.445,98.092,98.766,99.56,100.365,101.308,102.568,103.713,104.874,105.913,106.77,107.818,109.079,110.413,111.938,113.117,113.82,114.208,115.908,117.691,119.703,123.02
