"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"40","32","  Less: Sale of equipment scrap, excluding autos","B287RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03,9.97,3.75,5.5,8.51,9.16,7.28,10.55,4.74,11.31,12.22,10.57,7.04,12.16,16.37,23.2,24.13,32.11,39.52,48.11,52.13,42.19,43.77,53.33,53.35,46.31,44.44,70.75,85.86,73,86.42,85.06,121.03,186.71,161.72,160.28,80.41,62.35,70.22,66.97,68.86,78.95,66.3,64.45,66.68,56.05,55.28,102.38,92.57,96.82,100,95.22,98.02,87.71,82.09,76.52
"41","33","Residential equipment","B013RA",2.46,2.14,2.04,1.48,1.65,2.04,2.51,2.92,3.24,2.72,3.07,3.55,4.31,2.79,1.19,0.78,1.26,4.53,6.94,7.2,6.75,8.5,7.86,7.82,8.22,8.47,9.64,10.67,10.7,11.37,13.63,12.79,12.82,13.59,15.16,16.24,18.15,18.57,19.04,22.7,25.89,28.19,31.63,37.89,42.63,43.43,40.42,42.53,46.55,50.64,55.48,55.53,55.46,53.3,59.5,65.95,71.15,76.98,80.12,82.84,83.28,80.77,77.61,80.01,85.54,90.65,96.32,100,102.89,108.24,117.48,123.3,123.67
"42",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","34","      Private fixed investment in equipment and software","B327RG",19.33,18.57,17.58,16.55,15.92,16.8,16.64,16.61,17.54,17.95,17.74,18.19,19.34,21.27,21.38,21.78,22.15,25.08,28.36,30.4,31.56,32.33,35.04,35.72,35.83,36.63,36.94,39.57,41.77,42.56,43.32,43.67,43.43,43.21,42.98,42.96,43.01,43.14,44.12,45.32,46.6,48.32,49.79,50.43,51.3,55.12,63.24,67.01,70.97,74.79,79.61,86.49,92.76,96.52,96.86,96.26,96.25,97.87,98.49,99.91,101.39,102.86,104.38,103.66,103.16,102.93,102.09,100,97.34,93.6,91.25,90.19,88.85
"44","35","Nonresidential equipment and software","B010RG",19.03,18.27,17.32,16.34,15.69,16.57,16.42,16.39,17.31,17.72,17.52,17.98,19.11,21.01,21.12,21.51,21.87,24.77,28,30.03,31.22,32,34.69,35.38,35.49,36.31,36.64,39.33,41.56,42.37,43.15,43.51,43.28,43.08,42.86,42.84,42.91,43.05,44.03,45.24,46.52,48.25,49.73,50.37,51.25,55.08,63.24,67.02,71.02,74.84,79.67,86.58,92.86,96.6,96.91,96.29,96.28,97.92,98.53,99.95,101.45,102.93,104.48,103.75,103.24,102.98,102.12,100,97.32,93.54,91.18,90.11,88.76
"45","36","  Information processing equipment and software","B679RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.19,141.36,144.35,145.47,148.49,157.3,154.66,154.22,155.65,157.34,161.75,169.53,171.44,173.1,172.39,170.21,166.5,160.94,158.63,154.83,147.61,146.07,145.37,146.91,148.57,145.67,142.99,144.29,147.58,156.7,158.38,156.49,150.96,149.82,151.42,155.34,157.24,153.39,147.67,142.69,138.92,135.09,133.9,131.75,129.04,127.05,121.12,117.25,113.09,107.91,100,92.98,84.65,79.18,76.62,73.72
"46","37","    Computers and peripheral equipment \1\","B935RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101372.41,79593.23,58800.75,41710.29,27395.08,22916.38,18935.95,13272.76,10784.1,9202.6,8332.26,7484.38,5698.68,4592.35,4354.02,3554.9,3288.45,2746.48,2390.14,1616.81,1339.69,1045.6,918.9,822.28,685.55,554.63,471.5,406.17,345.96,321.35,300.08,272.27,244.6,209.19,178.37,157.29,131.29,100,77.38,56.99,43.6,37.87,30.91
"47","38","    Software \3\","B985RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.17,61.42,62.45,62.86,63.05,64.35,64.9,65.7,66.66,68.3,70.22,72.6,72.77,73,75.15,80.15,84.85,86.71,89.04,90.09,95.24,100.79,106.78,111.75,112.92,113.52,113.45,111.69,112.26,113.52,110.87,109.34,109.99,103.65,103.92,101.61,101.89,100,97.84,95.22,95.96,97.28,99.1
"48","39","    Communication equipment \4\","B275RG",26.48,23.63,21.23,20.14,19.06,21.89,22.23,22.12,22.32,22.11,21.78,22,22.66,23.64,23.43,23.31,23.64,36.5,44.7,44.23,44.24,45.16,47.03,45.53,43.77,44,43.89,44.59,46.35,46.93,47.2,46.86,46.58,46.18,46.49,47.16,46.96,47.45,49,51.43,54.24,56.75,59.59,62.41,63.92,69.27,76.17,80.24,77.95,81.35,82.81,88.48,95.58,100.82,103.18,106.95,109.02,109.84,110.2,110.31,110.48,110.51,110.92,110.15,108.89,106.73,102.54,100,98.96,94.87,91.42,88.3,85.67
"49","40","    Instruments","B284RG",17.83,17.33,16.84,17.48,14.91,15.42,14.76,14.83,14.33,14.92,14.91,15.64,16.81,17.73,17.31,16.74,16.32,15.15,16.58,17.67,17.83,18.59,20.35,20.01,20.68,21.01,21.77,22.94,24.7,25.62,26.25,26.9,27.24,27.57,27.77,27.58,27.62,28.64,29.99,30.87,31.77,32.95,34.15,34.8,35.65,38.27,43.78,46.6,49.74,52.62,55.62,60.16,65.11,69.11,72.11,73.34,74.5,77.47,80.51,82.82,85.43,88.69,91.01,93.6,95.6,97.06,98.63,100,100.49,100.45,100.64,101.24,102.32
