"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"45","36","    Gross government investment","A782RC1",61.5,59.7,59.9,57,59,58.8,60.2,61.1,58,58.3,59.2,58.5,60,61,59.1,62.6,66.2,65.6,64.6,66.2,71,76.1,78.1,79.5,83.1,79.2,85.4,89.9,92.9,89,88.7,87.9,91.5,94.2,93.6,93.3,93.6,105,109.7,113.9,109.8,117,125.4,128.2,135.8,134.7,134.4,138.9,146.4,145.4,145.7,151.9,150.2,156.6,157.5,163.6,164.5,167.3,174.7,178.2,183.8,189.8,194.1,205.1,207.9,218.7,226.7,226.2,228.6,234.7,246.3,242.8,247.4,253.7,259,258.4,253.5,258.5,258.7,262.8,263.4,267.5,275,275.8,286.6,288.4,290.7,295.7,290.7,295.1,295.6,294.9,300.3,297.7,294.3,292.2,288.4,293.3,291.4,294.3,283.3,290.3,302.4,300.7,305.5,310.1,306.7,308.4,314.7,317.9,321.7,325.5,330.4,330,331.3,326.5,324.6,336.9,351.8,352.4,356.3,364.2,370.6,382.8,387.7,386,391.6,395.7,401.7,421.7,406.7,424.4,434.4,439.4,448,452.5,455.3,461,472.2,472.4,475.3,487.6,494.4,496.6,498.2,509.6,519.4,527.4,534.3,553.7,555.8,565.7,575.6,590.7,597.2,605.3,611.4,632.8,645.8,648.6,642.7,651.9,651.4,642.1,635.4,655.3,660.5,656,637.7,639.1,637.5,637.3,623.3,627.7,620.1,606.6,592.4,597.4,598.7,596.7,574.6,591,593,599.7,589
"46","37","    Capital transfer payments","W069RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.5,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.8,0.2,0.2,28.4,4.4,0.6,16,0.2,0.2,0.4,0.2,0.2,2.6,0.2,0.4,0.2,0.1,3.6,1,0.2,0.2,0.2,2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.6,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,17,0.4,0.4,0.5,0.2,0.3,0.2,0.3,0.4,0.4,0.4,0.7,15.1,15.2,20.2,17.4,15.7,16.4,16.5,36.7,17,24.8,16.4,87.1,41,21.8,18.9,16.9,15.9,27,27.3,27.3,18.9,19,19.1,30.7,284.2,241.5,156,71.5,104.9,90.3,109.4,43.3,34.3,32.2,58.4,53.3,73.7,35.3,18.7,20.4,54.3,17.1,13.6,12,9.1,13.5,12.7,10.5,14,8.9
"47","38","    Net purchases of nonproduced assets","AD07RC1",1.1,1.2,1.1,1,0.9,0.7,1,0.7,-0.8,1.8,1.9,1.9,1.9,1.9,1.3,-1.3,-3.6,0.6,-3.1,0.1,-1.9,-12.1,2.1,-3.3,1.2,1.4,1.7,1.8,1,-1.2,-2.6,0.3,1.7,0.6,-1.9,0.2,1.8,-1.4,2.9,1.4,-0.6,1.7,-0.7,-3.8,-0.5,2.9,0.3,-10.3,2.5,-3.1,-10.8,-1.7,-1.3,1.2,1.7,-7.5,2.2,-12.4,-2.9,2.3,-0.4,-3.7,-1.7,0.3,3,2.8,-1.4,3,3.4,-3.8,3.7,-0.7,4,4,3.4,3.5,4.4,6.7,2,3.6,4.7,3.2,4.2,4.4,5.1,4.3,4.4,6,6,6,6,6,6.1,6.1,6,6,6.1,6,6,6.1,6,5.2,7.7,6.3,6.4,3.9,-21.7,6.1,5.1,5.4,4.3,-9.9,4.3,-22,1.8,4.1,3.9,-3.8,-0.7,6.8,8.2,7.9,5.3,8.3,8.1,7.9,7.4,8.5,4.8,9.2,9.9,10.7,10.9,11.1,11.1,10.6,10.6,10,10.5,10.9,11.2,10.7,10.7,9.4,9.3,8.9,5.1,8.9,8.9,8.5,8.7,-39.7,10.7,8.5,13.3,8.7,3.3,-8.1,4,-25.5,-14.8,7.6,10.4,10.4,10.3,8.9,9.2,9.9,9.5,8.7,7.4,7.8,7.3,7.4,7.3,5,7.1,6.2,5.3,7.5,7.3,6.4,1.6,6.4,6.9
"48","39","    Less: Consumption of fixed capital","A264RC1",34.4,35.1,35.7,36.5,37.3,38.1,38.9,39.7,40.5,41,41.5,41.9,42.7,43.1,43.6,44.2,45.1,46.1,47,48.2,49.8,51.9,54.2,56.1,57.4,58.3,59.1,60.1,61.2,62.1,63.2,64.3,65.5,66.6,67.7,69.1,70.6,72.2,73.8,75.2,77,79.1,81.5,84,86.5,89.4,92.5,95.6,98.6,101.8,104.6,107.4,110.2,113.1,115.3,117.2,119,120.6,122.7,124.7,127.4,129.7,132,134.2,136.7,138.9,141.4,143.9,146.3,149.2,151.9,155,157.5,160.1,163,166,169.5,172.6,175.6,178.6,181.5,184.6,187.6,190.4,193.4,196.4,199.5,202,205.1,207.9,210.4,211.7,212.6,214.6,216.3,218.8,220.8,222.8,224.4,226.6,228,229.9,232.2,234.8,237.9,239.4,241.2,242.3,243.7,244.4,245.5,246.3,247.7,249.5,250.6,251.8,252.4,254.1,256.1,258.6,260.7,263.6,265.9,269.6,273,276.4,279.4,281.9,283.8,285.6,287,288.8,290.8,292.9,295.2,297.3,300.4,303.2,306.4,309.4,313.2,318.7,325.4,332.3,337.1,343.3,350.1,356.1,360.9,368,373.8,381.4,389.9,396.2,402.5,408.9,416,422.7,430.1,437.2,441.2,442.1,442.5,445.1,450.2,456,460.5,465.5,471.6,477.4,482.7,486.6,491.5,495.1,498,499.2,501.5,504.5,507.8,511.8,515.2,518.5,521.8,524.2,526
"49","40","  Net lending or net borrowing (-)","AD01RC1",-17.9,-18.6,-24.8,-25.3,-35.9,-45.7,-54.3,-61.2,-57.5,-66.1,-65.8,-62.9,-55,-54.2,-48.8,-50.5,-38.1,-45.2,-36.2,-37.3,-42.6,-40,-53.5,-70.4,-103.9,-154.4,-115.8,-120.1,-107.1,-93.2,-93.1,-92,-80.6,-79.7,-78.9,-82.7,-84.1,-65.3,-74.3,-69.1,-56,-64.1,-71.6,-80.3,-97.6,-125.4,-129.3,-109.9,-105.3,-102.6,-99.4,-147.4,-164.3,-178.2,-215.6,-247.9,-257.4,-227.6,-251.3,-232.7,-208,-213.5,-229.4,-245.5,-210.6,-269.5,-251.3,-260.9,-252.2,-276.6,-295.5,-257.6,-271.1,-209.2,-230.5,-238.8,-227.4,-224.7,-203.5,-215.8,-193,-218.3,-235.8,-255.6,-278.3,-282.9,-284.8,-339.9,-285.5,-347.9,-383,-392.8,-434.3,-442,-455.2,-433.2,-448.3,-405.8,-412.4,-359.5,-337,-314.3,-334.1,-338.1,-338.4,-341.7,-302.3,-294,-293.7,-252.9,-236.5,-193.9,-187.1,-137.8,-117.8,-115.8,-54.4,-44.9,-26.5,-23.7,-9.2,-5.5,6.4,-3.1,110.9,86.6,75.5,51.5,18.5,-68.5,-295.6,-253.2,-465.6,-515.2,-523.9,-588.7,-640.1,-700,-746.7,-650.7,-716.7,-690.9,-666.4,-628.2,-544.4,-542.7,-600.6,-537.6,-436.3,-446.9,-459.1,-376.8,-473.7,-506.1,-566.1,-594.6,-711.1,-1086.4,-1064.8,-1357.5,-1707.7,-1948.9,-1893.5,-1838,-1876.3,-1898.6,-1774,-1727,-1644.3,-1728,-1659.5,-1635.1,-1466.1,-1476.9,-1466.3,-1400.5,-1054.7,-869.7,-1060.6,-845.2,-854.3,-891.1,-885.3,-837,-738.9
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Prior to 1960, interest payments to persons and business (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and interest receipts on line 10 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","included in interest payments (line 24), which is shown net of interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","receipts. Interest payments to persons and business includes interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","accrued on the actuarial liabilities of defined benefit pension plans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","for government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Prior to 1959, subsidies (line 27) and the current surplus of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","enterprises (line 16) are not shown separately; subsidies are presented net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","3. Prior to 1960, government social benefits to the rest of the world are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","included in line 23, ""Other current transfer payments to the rest of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
