"","Table 1AU2# Real Manufacturing and Trade Inventories, Seasonally","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"34","26"," Leather & leather product","WKS310",2156,2125,2141,2180,2202,2194,2326,2278,2402,2423,2242,2323,2330,2262,2141,2187,2120,2069,2104,2104,2091,2119,2036,1887,2110,2124,2127,2120,2128,2101,2092,2106,2038,1841,1921,2000,1975,1995,1962,2043,1960,1997,1950,2057,2140,2173,2127,2107,1995,1941,2031,2002,2130,2262,2036,1985,2011,1934,2108,2155,1954,2119,2095,2044,2085,2140,2121,2148,2120,2120,2139,2083,1943,1904,1996,2057,2141,2002,1987,1947,1962,1966,1891,1946,2000,1889,2081,2021,1990,1991,1956,1972,1914,1964,1979,1837,1744,1629,1545,1618,1617,1674,1649,1700,1645,1557,1533,1460,1480,1499,1543,1541,1575,1609,1559,1509,1543,1493,1521,1550,1480,1552,1548,1584
"35","27","Trade total","WKS50",159625,158446,160071,162681,165073,168878,169467,173192,176099,179092,183658,185987,187114,189861,193174,193180,199474,204710,212040,214438,216057,220503,224606,229161,233750,236845,236617,242241,245000,247872,245251,250092,241183,236920,238762,236754,242281,248450,252839,254561,258996,263013,269227,274503,284242,289575,291103,298118,302467,307062,306284,305534,305019,306083,307697,307720,310982,312836,316257,319977,314300,317545,319382,314598,314987,315708,321419,327747,340325,346133,353017,363271,367099,371665,376700,386113,395458,398496,400287,397775,408390,415640,414278,426666,429144,434551,439970,442253,448765,452656,452593,459563,457114,464061,466956,465760,462487,461325,465228,471007,470721,475814,477187,484231,494983,498313,501586,505661,508979,520933,528715,540016,549813,556851,560862,562602,559088,564444,568410,572215,576624,588818,597480,609187
"36","28","Merchant wholesale","WKS5W0",64697,64302,67010,68408,68685,70347,71134,70789,72579,74500,76012,76630,78685,79864,81938,84123,84141,86316,87973,90565,90440,92408,94782,95700,97337,96514,96286,98094,101672,105033,104219,107767,104629,102172,102582,101488,102162,105763,108320,108946,111408,113545,117327,120495,126208,129263,130009,133841,137862,138973,140754,141096,142358,144422,146748,147522,149911,148498,149061,151083,149587,152403,151241,149484,148063,144794,147175,149604,153107,155466,161442,163542,166009,167741,169370,171153,173962,176346,181312,179227,180019,182398,182073,187198,191550,194183,196687,195066,194269,197412,197537,198239,199375,202694,205206,205714,207748,205518,206300,210278,211045,213602,214251,218754,219971,221269,223798,224884,224324,228850,232828,238772,242976,245586,248261,249146,249194,250678,249048,251444,256785,264354,268517,275273
"37","29","Wholesale less motor vehicle","WKS5WX0",57953,57770,60452,61771,62290,63549,64240,63467,65120,66781,68158,68496,70267,71446,73493,75677,75215,77044,77648,78695,78912,80345,82140,83153,84699,84078,83472,85063,87264,89219,88243,91196,88871,87487,88452,87287,87958,90809,93103,94254,96709,98656,102367,104981,109952,112592,113398,115948,119339,121476,123017,123365,124479,125932,128769,129856,133431,132217,133667,134601,132221,133855,132442,131551,130729,127824,130019,132502,135622,138245,142105,144068,146125,147034,149140,150598,153274,155004,159119,157149,157966,159534,159300,163818,167493,171118,172063,170855,170356,172128,173176,175074,175354,178846,180523,181183,182571,181671,183094,185727,187545,190061,190125,194265,195784,198051,200297,200935,201688,205337,209062,214515,217808,219870,223026,224220,224955,225565,224666,227137,231876,238134,241895,249104
"38","30"," Durable goods","WKS5WD0",38525,38582,39276,40429,40606,41437,41833,42160,43174,44687,45597,45970,47138,47357,48862,49596,50113,51325,52668,54649,54805,56483,57387,59140,60138,61137,61692,62745,64325,66022,67417,69575,69268,67459,66304,66717,67175,69477,70835,70482,72040,73505,75524,77696,81476,83765,84686,87290,89341,89727,91609,91767,92764,94425,94469,96405,97630,98942,98412,99483,99682,100821,99657,96910,94205,92130,93509,95377,97948,99740,103459,105220,105938,106488,106534,107238,108612,110568,112858,111161,111772,113757,112319,115637,118790,118088,121581,120377,120286,122829,122388,121919,122698,123931,125877,125121,126257,123544,122910,125746,124852,127262,128034,129638,130198,130438,132018,133194,132830,136985,139547,143076,146578,148641,150065,152813,153331,154030,155545,155819,159243,165609,167685,171287
"39","31","  Motor vehicles","WKS5010",6816,6594,6611,6689,6434,6850,6948,7392,7529,7793,7929,8217,8506,8503,8526,8522,9013,9366,10442,12016,11665,12211,12802,12700,12782,12567,13006,13216,14791,16420,16623,17228,16341,15156,14523,14612,14605,15396,15657,15076,15061,15253,15304,15880,16637,17062,16988,18351,19006,17856,18106,18098,18253,18930,18314,17966,16714,16528,15626,16739,17606,18773,19009,18152,17566,17196,17385,17331,17718,17441,19605,19742,20158,20997,20510,20839,20974,21636,22493,22374,22355,23160,23070,23687,24369,23364,24951,24529,24225,25631,24683,23456,24331,24148,25001,24845,25497,24159,23519,24866,23819,23864,24452,24821,24520,23555,23839,24289,22964,23849,24107,24604,25535,26097,25598,25281,24567,25474,24719,24636,25157,26392,26750,26272
"40","32","  Furniture & furnishings","WKS5020",1497,1488,1522,1513,1549,1570,1588,1669,1707,1734,1811,1841,1873,1920,1954,1943,2025,2105,2054,2002,1983,2013,2075,2280,2396,2401,2573,2542,2674,2659,2695,2631,2536,2493,2482,2573,2701,2835,2889,2920,2899,2903,3042,3169,3248,3423,3409,3382,3507,3559,3508,3554,3546,3548,3677,3721,3782,3795,3843,3606,3634,3521,3373,3472,3507,3514,3628,3619,3711,3899,3868,4048,4006,4136,4250,4425,4253,4006,4417,4619,4889,5188,5244,5146,5356,5479,5443,5347,5333,5297,5376,5257,5163,5367,5277,5214,5317,5036,5086,5104,5011,5053,4940,5124,5165,5186,5106,5201,5223,5177,5315,5373,5555,5939,5727,5642,5717,5708,5709,5638,5473,5681,5791,5858
"41","33","  Lumber & construction","WKS5030",3345,3472,3544,3457,3504,3576,3751,3759,3845,4145,4279,4239,4212,4275,4337,4340,4351,4285,4329,4252,4621,4648,4540,4821,4793,5152,4975,4942,5037,5191,5001,4852,4617,4444,4816,4695,4605,4572,4689,4797,5100,4816,5032,5085,5268,5475,5546,5504,5514,5866,5837,5829,5895,5672,5505,5477,5557,5944,5706,5382,5233,4929,4973,5259,5382,5516,5870,5984,6099,6095,6140,6255,6230,6260,6461,6401,7045,7391,6978,6900,6770,7133,7185,7226,7561,7413,7581,7513,7681,7596,7542,7560,7672,7754,7568,7510,7162,7098,7127,7212,7034,7058,7205,7232,7425,7093,7123,6925,6910,7281,7322,7496,7659,7393,7446,7633,7718,7708,7995,7787,7839,8109,8263,8274
"42","34","  Professional & commercial","WKS5040",2797,2818,2924,2899,2884,2943,3033,3050,3089,3120,3121,3144,3204,3286,3342,3400,3440,3530,3549,3650,3688,3722,3798,3910,4048,4036,4152,4183,4170,4131,4144,4124,4165,4190,4212,4147,4118,4114,4180,4326,4391,4450,4363,4386,4488,4524,4602,4658,4625,4699,4700,4590,4587,4662,4809,4896,4921,4985,4909,4989,4978,5089,5273,5278,5436,5475,5718,5996,6401,6708,6894,7209,7435,7630,7665,8084,8565,9020,9268,8726,8834,8997,9292,9170,9371,9379,9784,9782,9980,10122,10282,10660,10816,11003,11113,11248,11536,11741,11850,12130,11884,12385,12593,12616,12783,12943,13289,13484,13812,14245,14542,15168,15689,15924,16287,16872,17087,17231,17841,17999,18263,19808,20664,21595
"43","35","  Metals & minerals","WKS5050",4501,4496,4310,4523,4831,5105,5347,5229,4876,4894,4904,5059,5167,5087,5370,5681,5999,6321,6030,5725,5692,5687,5966,6493,6212,6328,6448,6399,6202,6520,6866,7999,9049,8597,7977,7611,7535,7731,7945,8065,7906,7989,8319,8365,9183,9496,9196,8885,9136,9412,10029,10301,10171,10693,10723,11236,11723,12162,12825,12894,13107,13118,12561,12232,11604,11008,11349,11172,11253,11669,11381,11112,10832,9986,10205,10004,9753,9731,9561,9651,9557,9684,9373,9988,10517,11034,11039,10857,10827,10815,10786,10691,10280,10111,10545,10651,10711,10448,10469,10453,10874,10859,10733,10672,10797,11241,11427,11632,11549,12078,12260,12479,12475,12205,12067,11802,11699,11573,11877,12522,13038,13300,13271,13319
"44","36","  Electrical goods","WKS5060",3066,2919,2948,3024,3095,3093,3144,3140,3243,3418,3447,3544,3512,3562,3657,3729,3673,3797,3930,3976,4123,4153,4263,4312,4467,4750,4676,4978,5033,5051,4984,4957,4763,4528,4406,4451,4568,4770,4828,4876,5066,5259,5486,5612,5858,6135,6276,6582,6802,6949,7027,6963,7159,7244,7417,7521,7724,7982,8146,8520,8869,9004,8835,8643,8412,8324,8512,8997,9739,10620,11598,12154,12303,12513,12407,12036,12089,12115,12827,12529,12970,12769,12321,12960,13034,13060,13358,13653,14079,14363,14539,14521,14467,14685,14785,14803,15030,14806,14495,15032,14978,15289,15504,16060,16381,16530,17012,16741,17104,17877,18768,19468,20167,21229,22207,23101,23195,22818,22288,22485,23270,23450,23475,23370
"45","37","  Hardware & plumbing","WKS5070",3424,3470,3597,3646,3569,3580,3641,3856,3893,4102,4094,4025,4185,4124,4232,4213,4256,4355,4408,4500,4642,4954,4997,5249,5430,5518,5566,5800,5804,5774,5820,5780,5371,4906,4996,5157,5057,5190,5431,5414,5540,5800,5830,5953,6323,6487,6539,6671,6888,7112,7081,7160,7273,7021,7094,7362,7476,7769,7533,7447,7183,6962,7060,6829,6728,6636,6651,6900,7019,7075,7499,7700,8033,8142,7827,7758,7989,8222,8115,8172,8091,8003,8053,8197,8141,8201,8566,8427,8717,9086,9393,9433,9545,9864,9342,9606,9474,9313,9287,9426,9476,9807,9970,9809,9952,9800,9902,10233,10529,11006,11545,11680,11898,11558,11598,11677,11752,11766,11938,12316,12148,12424,12530,12546
"46","38","  Machinery equipment","WKS5080",11694,12016,12652,13368,13370,13345,12844,12348,13140,13448,13695,13786,14322,14337,14904,15043,14616,14779,15169,15557,15448,15817,15709,16288,16796,16983,16868,17407,17610,17555,18577,19176,19532,20565,20696,20941,21409,21787,21954,21447,22720,23607,24432,25919,27272,28007,29069,30605,31353,32450,34424,34398,35821,36408,36504,37650,38821,39592,39136,39565,38899,38720,38610,36168,34737,33388,32819,33966,33852,34339,34201,33841,33332,32680,33281,33648,33380,33599,33396,33096,32847,32852,32354,34635,36347,36176,37007,35943,34406,35454,34874,34546,34595,35562,36606,35840,35473,33692,33274,32961,32969,33178,32738,33106,32925,32997,32561,32694,33038,33591,34984,35593,36294,37260,38018,39057,39741,39698,40949,40139,40960,42892,42374,44697
"47","39","  Other durable goods","WKS5090",4358,4564,4612,4811,4800,4917,5065,5184,5409,5599,5960,5699,5957,6083,6483,6695,6728,6762,6775,7178,7075,7583,7481,7543,7724,7773,7897,7700,7629,7522,7775,7904,7773,7708,7552,8017,8096,8690,8957,9133,9218,9423,9808,9736,9823,9866,10013,10000,10006,9374,8731,8689,8191,8407,8487,8795,9274,8691,8900,8430,7899,8305,7540,8170,7892,7912,8324,8255,8794,8297,8644,9346,9626,9994,9828,9698,9938,9996,10677,10421,10590,11189,10277,10093,9901,9649,9585,9738,10036,9697,9888,10354,10378,10078,10325,9848,10202,10877,11321,12016,12385,13214,13219,13588,13541,14318,14818,15081,14592,14820,13760,14162,14227,13978,13961,14486,14566,14757,14833,14790,15087,14808,15291,15965
"48","40"," Nondurable goods","WKS5WN0",25720,25271,27276,27506,27603,28431,28821,28127,28892,29262,29853,30092,30967,31957,32493,33963,33434,34386,34661,35220,34921,35154,36647,35745,36396,34665,33988,34732,36584,38166,36248,37612,34958,34303,35754,34338,34551,35828,36995,37946,38834,39501,41248,42224,44126,44873,44683,45888,47851,48566,48453,48633,48888,49287,51501,50397,51524,48888,49943,50871,49145,50817,50831,51913,53324,52137,53132,53663,54560,55095,57337,57624,59465,60709,62436,63574,65059,65373,68231,67943,68101,68375,69774,71553,72635,76442,75093,74704,73927,74428,75082,76406,76750,78969,79476,80904,81813,82514,84106,85180,87053,87076,86897,89977,90665,91816,92759,92589,92395,92555,93960,96398,96976,97464,98735,96678,96168,96957,93638,95845,97758,98833,100965,104167
"49","41","  Paper products","WKS5110",1678,1689,1645,1734,1715,1796,1748,1752,1763,1792,1818,1844,1883,1819,1865,1858,1833,1834,1827,1813,1879,1906,1950,2008,2141,2089,2172,2246,2258,2326,2187,2203,2007,1973,2000,2077,2098,2121,2158,2203,2318,2398,2398,2391,2427,2434,2515,2573,2682,2710,2806,2800,2855,2833,2810,2952,3028,3097,3159,3203,3125,3079,3129,3078,3207,3292,3553,3714,3734,3830,3852,3880,4018,4155,4214,4305,4309,4283,4266,4431,4250,4217,4227,4387,4539,4614,4738,4781,5079,5192,5273,5279,5322,5488,5734,5859,5791,5943,6189,6362,6528,6743,6931,6919,7052,7244,7308,7771,7923,7941,7763,8103,8181,8143,7875,8198,8277,8844,8979,9104,9353,9484,9968,10017
"50","42","  Drugs & sundries","WKS5120",1204,1196,1240,1258,1281,1352,1442,1437,1468,1526,1495,1570,1657,1596,1583,1557,1561,1578,1642,1791,1748,1825,1910,1956,2007,2049,2038,2225,2608,2878,2614,2543,2453,2422,2349,2326,2271,2393,2397,2501,2580,2637,2752,2906,2947,3164,3356,3244,3443,3401,3422,3144,3075,3004,3194,3317,3337,3532,3673,3888,3874,4145,3924,4027,3838,3911,4176,4195,4430,4256,4339,4502,4798,4929,5289,5185,5778,5729,5826,6013,6198,6347,6638,7064,7124,7334,7366,7499,7375,7595,8016,8083,8348,8347,8417,8563,8657,9573,9713,9862,10392,10599,10838,11383,11628,11386,11880,12275,11787,11935,12099,12663,12897,13217,12988,12275,12464,12726,12585,13837,14148,14456,15267,15568
"51","43","  Apparel & piece goods","WKS5130",2067,1939,2000,2000,2056,2204,2152,2064,2123,2051,2156,2237,2306,2339,2425,2603,2752,3036,3244,3576,3392,3388,3361,3323,3490,3397,3778,3421,3678,3671,3644,3770,3572,3544,3490,3549,3697,3660,3835,3673,3830,3903,3777,3916,3954,4251,4522,5057,5085,5226,5327,5484,5719,5253,5827,5835,6297,6024,6038,5957,5833,6047,6049,6015,6209,6142,5967,6478,6625,6980,7193,7224,7463,7208,7573,7602,7710,8180,8727,8488,8728,8671,8671,8763,8552,9044,8592,8899,9248,9590,10015,10356,10502,10794,10697,10455,10393,9899,9851,10049,10892,10900,10898,11078,10700,11367,12077,11724,11463,11064,11982,12380,12644,12332,12166,11572,11409,11624,11460,11673,12232,12618,12594,13098
"52","44","  Groceries","WKS5140",6221,6218,6468,6374,6194,6439,6470,6464,6745,6551,6506,6517,6671,6789,6836,7001,6872,7020,7340,7172,7357,7413,7689,7552,7430,7599,7561,8333,8744,9521,8449,8602,8243,7717,7708,8107,8598,8863,9301,9554,9498,9802,10251,10169,10082,10222,10365,10231,10193,10247,10098,9921,9908,9888,9717,10182,10513,10167,10232,10172,9888,10052,10195,10547,10577,10502,10852,11170,11536,11548,12212,12035,12356,12913,13027,13567,14605,14755,14546,14968,14533,14862,15390,15367,15019,14892,15549,15301,15673,15655,15265,16326,16308,16328,16833,16784,16956,17358,17271,17756,17895,18493,18405,18396,18326,17732,17590,17685,18023,17696,17630,17638,17513,17669,17947,17399,17716,17512,17407,16946,16939,17130,17061,17906
"53","45","  Farm products","WKS5150",3552,3372,4270,4014,4186,4359,4305,3961,4026,4103,3966,4117,4118,4578,4728,5225,4812,5022,4504,4409,4347,4290,5167,4908,5243,4337,4062,4175,4717,4577,4513,4721,3978,4150,5308,4196,3989,4594,4625,4749,5007,5033,5288,5886,6460,6329,5651,5598,5945,6491,6438,6411,6249,6370,7016,6114,5954,5248,5276,5608,5427,5835,5838,6764,7121,6682,7420,6777,6776,6625,6884,7135,7462,7205,8109,8634,8403,8242,9153,7946,8017,8065,8080,8182,8703,10597,9639,8872,7734,7382,7644,8158,8056,8265,8229,9430,9608,9372,10539,9832,9937,9500,9423,10382,10878,11617,10689,10808,10478,10542,10569,11323,10916,10617,11711,11159,10897,10487,8797,9624,9847,9839,10042,10736
"54","46","  Chemical & allied product","WKS5160",713,716,788,796,851,812,863,812,815,878,889,920,928,882,905,916,938,949,938,972,1054,1068,1065,1098,1131,1149,1177,1256,1167,1205,1233,1233,1218,1161,1154,1163,1234,1200,1254,1304,1357,1412,1444,1452,1592,1700,1765,1891,1904,1929,1847,1738,1714,1678,1747,1858,1773,1734,1856,1778,1874,1976,1982,2150,2122,2294,2337,2356,2486,2443,2674,2750,2758,2588,2763,2736,2761,2775,2734,2886,2882,2915,2922,2968,3093,3088,2975,3122,2827,2920,2970,2797,3059,3019,3137,3319,3115,3078,3259,3342,3568,3665,3492,3559,3715,3823,3990,3908,3792,3844,3954,4013,4176,4326,4421,4348,4434,4336,4439,4614,4731,4913,4923,4915
"55","47","  Petroleum products","WKS5170",754,676,1122,1546,1529,1762,1925,1817,1708,1854,1880,2055,2192,2350,2439,2569,2923,2941,3159,3133,2716,2684,2583,2228,2807,3105,2319,1844,1514,2762,2455,3978,3643,3235,2410,2378,2613,2273,2436,2151,2455,2549,2608,2753,2908,2962,3218,3393,3940,3945,4328,4666,5065,5424,5699,5693,6328,5565,5815,5810,4998,5290,5202,4866,5420,4878,4388,4758,4085,4810,4986,4315,4777,5336,4796,5047,5221,4878,5673,6243,5368,5026,5179,5241,5958,5849,5928,5689,6129,6453,5902,5254,5716,6292,5660,5276,5798,6132,6154,6573,6634,6515,6310,6640,6731,6983,7095,6536,7346,7331,7346,7545,7649,7668,7546,7293,7134,6638,6681,6780,6535,6664,6625,6871
"56","48","  Alcoholic beverages","WKS5180",1768,1762,1711,1858,1816,1819,1976,1982,1988,1992,2174,2100,2252,2306,2186,2324,2377,2405,2718,2560,2607,2687,2579,2690,2605,2830,2745,2793,2906,3035,3033,3033,2942,2754,2729,2860,2662,2738,2815,3043,3122,3403,3521,3385,3520,3593,3783,4114,4531,4312,3932,4257,4369,4293,4490,4365,4079,4327,4451,4542,4703,4568,4504,4557,4348,4381,4217,4174,4344,4050,4343,4399,4383,4676,4645,4653,4604,4680,4531,4606,5114,4846,4886,4703,4503,4467,4584,4688,4587,4623,4635,4757,4667,4726,4766,4832,4991,4898,4851,4928,4610,4662,4644,4618,4615,4577,4588,4731,4654,4864,4896,4930,4863,4889,5126,4992,5034,5210,5165,5105,4790,5015,5117,5456
"57","49","  Other nondurable goods","WKS5190",6345,6408,6401,6694,6629,6524,6730,6800,7145,7537,8100,7843,8158,8286,8493,8556,8408,8441,8503,9121,8991,9112,8907,8527,8178,7693,7646,7745,7522,7730,7427,7101,6979,7089,7032,7150,7078,7054,7328,7936,7700,7421,8248,8005,8601,8769,8651,8988,9388,9080,8993,8815,8506,8944,8953,8814,8771,8664,8903,9317,9235,9397,9542,9193,9358,9321,9269,9501,10374,10211,10475,11105,11015,11458,11568,11091,11083,11153,12046,11999,12485,12863,13302,14528,14790,15391,15043,15481,15494,15450,15590,15217,14641,15644,15859,15949,16054,16068,15779,16256,16334,15839,15796,16742,16755,16708,17364,16841,17009,17451,17778,17684,18264,18981,18779,19403,18789,19720,19114,18852,19531,19101,19806,19896
"58","50","Retail trade","WKS5R0",94441,93665,92809,94052,96086,98226,98088,101943,103118,104249,107254,108927,108148,109716,111013,109014,115072,118122,123672,123602,125282,127760,129529,133093,136041,139854,139873,143699,142815,142227,140423,141601,135821,134061,135505,134607,139529,142036,143821,144913,146858,148704,151093,153159,157106,159345,160121,163263,163516,167025,164381,163260,161405,160319,159517,158703,159495,162931,165847,167508,163260,163592,166719,163688,165588,169788,173116,177031,186213,189665,190355,198645,199952,202794,206227,213971,220563,221144,217749,217379,227375,232280,231236,238495,236397,239131,242014,246102,253681,254307,254105,260531,256791,260384,260678,258909,253396,254572,257733,259452,258359,260866,261588,264057,273679,275713,276419,279418,283368,290790,294562,299851,305427,309859,311140,311980,308342,312245,317997,319360,318430,323197,327780,332669
"59","51","Retail less motor vehicle","WKS5RX0",69495,70245,70331,70796,71721,72394,73328,74282,75249,76635,78193,78967,79074,79957,80743,82241,84255,84957,86537,88613,90266,92646,94525,96798,98243,99996,99190,101419,101189,101727,100728,99285,97059,94837,94653,95580,98836,100903,101346,102036,102554,103373,104316,104757,107353,110270,111438,111580,110369,110998,111195,111498,112171,113696,114411,113785,120850,121571,124335,126297,124368,124155,124232,124972,126252,129392,131598,133781,139547,143303,145047,148482,149702,150988,154487,156064,159359,159727,162047,160931,162474,166336,167481,170704,173276,173780,175691,176205,178400,181561,184388,185757,186941,188248,186916,185672,185414,185817,187225,190007,188548,190042,191168,193180,197472,198553,201274,204446,205407,212049,214260,217224,219198,221839,224381,223574,223888,224632,226625,228361,228736,232747,235549,237359
"60","52"," Durable goods","WKS5RD0",43769,42618,41911,42642,43911,45999,45239,48574,49051,48960,51087,52222,51420,52089,52666,49496,53958,56579,61021,59410,60292,61309,62170,64982,66953,70283,71524,72999,73099,72075,70838,73940,69515,69892,71904,70723,72722,74189,76431,77503,79143,80255,82229,83759,86187,86444,86439,89475,90867,93756,90962,89116,86622,83876,81925,81385,80693,83520,84004,84300,81067,80933,84077,80757,82092,84136,85906,88292,92913,93834,92999,99108,100138,102064,103179,109490,114240,114863,110160,109587,118055,121286,119560,125296,121658,124306,126475,130604,136191,134279,132567,137677,133776,136717,137739,136413,129998,130514,132680,131529,130935,132470,131797,132782,138910,140411,139719,141966,145673,148854,151663,155357,159496,162449,163213,164379,161471,165136,169141,169207,168627,171187,174341,178023
"61","53","  Automotives","WKS550",24555,22676,21552,22445,23692,25384,24037,27419,27593,27187,28796,29807,28743,29492,30033,25868,30400,33059,37535,34927,34854,34816,34569,35922,37592,39931,41005,42754,41991,40582,39709,42971,38927,39629,41560,39366,41095,41477,42995,43415,45001,46123,47707,49511,50915,49996,49494,52882,54608,57855,54613,52976,50074,46997,45246,45118,42841,45902,45784,45174,43213,43327,46274,42453,43094,44395,46010,47762,51328,50929,49800,54757,55017,56612,56719,63255,66515,66974,60696,61616,70432,71353,69216,73525,68573,70939,71992,75711,81294,78672,75571,80840,75611,78120,79838,79503,73922,74471,76180,74906,74934,76127,75712,76339,82016,82955,80921,80595,83692,84634,86354,88828,92488,94337,93161,94866,91083,94481,98226,98069,96953,97929,99700,102807
"62","54","   Motor vehicle dealers","WKS55X0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38418,41451,41488,41065,38583,39182,42486,38397,39031,40088,41238,43042,46556,46152,45000,50076,50143,51758,51615,58119,61535,61761,55692,56502,65314,66346,64044,68216,63271,65605,66595,70334,75954,73215,69945,75293,69992,72410,74191,73654,68035,68854,70690,69511,69927,70964,70515,70958,76440,77395,75277,75056,78100,78855,80416,82739,86332,88122,86868,88508,84569,87724,91483,91104,89906,90680,92460,95562
"63","55","   Auto & home supply stores","WKS5530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4189,4281,4166,4017,4355,4001,3796,3919,3938,4150,4541,4530,4630,4628,4630,4607,4769,4775,4983,5099,5009,5210,4956,5060,5156,5068,5188,5349,5294,5346,5412,5429,5451,5527,5642,5627,5635,5740,5704,5876,5852,5623,5529,5435,5092,5238,5263,5433,5649,5639,5707,5604,5668,5850,6009,6162,6236,6298,6372,6438,6585,6830,6823,7041,7166,7385,7405,7433
"64","56","  Lumber & building stores","WKS520",9549,9775,9919,9897,9833,9759,9815,9725,9635,9767,9848,9736,9375,9317,9493,9822,10333,10623,10747,11313,11541,11698,12011,12479,13368,14008,14593,12860,14079,13556,12799,12135,11662,11838,11823,12088,12273,12386,13051,13157,13417,13523,13731,13947,14118,14401,14183,14263,14097,14322,14459,14222,14386,14204,14378,14363,14638,14739,14623,14497,13821,13783,13451,13869,14353,14512,15019,15587,16074,16536,16796,17033,17016,17050,17816,17959,18328,18140,18827,18164,18378,19206,18898,18892,19346,19103,19419,20105,20310,20344,20410,20487,20509,20805,20414,20132,19581,19300,19204,19374,19569,19607,19836,19434,19736,19452,19694,20205,20647,21331,21605,22126,22179,22401,23283,23331,23564,23917,23496,23871,23957,24347,24822,24994
"65","57","  Furniture & furnishings","WKS570",4341,4444,4491,4497,4596,4687,4720,4770,4835,4779,4911,5031,5034,5091,5146,5195,5241,5283,5344,5421,5726,5942,6180,6456,6551,6713,6663,6736,6865,6937,6988,6920,6531,6549,6730,7030,6960,7062,7162,7262,7395,7379,7310,7466,7714,7971,8236,8384,8617,8668,8939,8784,8768,8927,8831,8693,8995,8905,8808,8896,8566,8484,8671,8623,9181,9313,9546,9593,9692,10168,10051,10352,10647,10848,10898,11201,11374,11608,11644,11604,11260,11538,11875,12062,12367,12614,13051,12877,13064,13228,13398,13533,13938,14063,14176,13732,13694,14050,14070,14001,14014,14005,13848,14317,14337,14912,15409,16154,15995,16989,17633,18248,18392,18761,19202,19205,19459,19731,20094,19672,20038,20386,20585,20778
"66","58","  Other durable goods","WKS59X0",5940,5947,5968,5948,5989,6566,6861,7365,7655,7963,8405,8516,8943,8885,8716,8779,8786,8767,9120,9136,9262,9781,10135,10879,10394,10849,10731,12202,11574,12123,12238,13317,13595,13150,13142,13063,13554,14476,14589,15059,14766,14808,15345,14723,15363,15741,15949,15644,15280,15006,14510,14586,14518,14389,14018,13852,14436,14536,15352,16178,15855,15770,16178,16132,15606,16099,15557,15739,16470,16634,16824,17647,17999,18084,18372,17952,19111,19101,19628,18811,19341,20595,20646,22059,22232,22504,22766,23065,22954,23232,24103,24028,24404,24560,24186,24045,23427,23201,23799,23794,23011,23379,23108,23235,23665,23780,24141,25240,25777,26149,26237,26294,26673,27170,27701,27178,27402,27127,27467,27829,28321,29159,29901,30178
"67","59"," Nondurable goods","WKS5RN0",49861,50223,50077,50579,51335,51393,51995,52515,53199,54391,55269,55803,55817,56702,57408,58538,60110,60533,61626,63139,63923,65356,66250,67011,67996,68591,67504,69768,68864,69246,68671,66936,65531,63472,62971,63221,66093,67128,66720,66754,67069,67798,68221,68752,70265,72220,72995,73100,71981,72605,72742,73455,74097,75736,76872,76626,78111,78704,81133,82499,81526,81995,81929,82282,82828,84968,86508,88007,92527,95079,96651,98714,98967,99848,102181,103473,105211,105148,106628,106853,108153,109773,110514,111911,113572,113587,114261,114115,116007,118611,120170,121408,121619,122241,121501,121068,122023,122677,123647,126543,126051,127006,128417,129895,133299,133799,135240,135926,136044,140280,141156,142642,143942,145344,145846,145461,144825,144933,146576,147902,147665,149821,151347,152526
