"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"61","53","      Autos","B143RX0",66483,67425,71075,70927,74362,73952,75177,74992,74925,73089,72193,69995,72810,78745,78603,77781,72237,74943,72085,77965,74293,72899,77864,73577,70303,69832,71438,75644,76259,76295,80715,84474,74877,77126,83084,77685,81244,79668,78839,71718,43366,44593,61968,69998,62719,74231,80132,78891,81894,68124,84291,88121,95647,94431,95309,98559,100599,106937,108681,107635,100941,108952,107830,111502,118239,125139
"62","54","      Trucks","B707RX0",56593,58623,60077,62086,66709,64333,65056,63477,62046,63538,65284,64285,64925,63325,67110,69987,68177,71874,65488,69563,73633,80416,73971,75318,76547,79095,79746,85064,90182,89160,80495,84529,85606,82204,83569,80559,79163,76560,58988,44040,31379,30544,40485,50614,55354,59967,54138,56868,59513,53896,61574,62286,69900,67292,71225,68124,62248,64746,71391,71178,71394,75446,74349,74334,72283,73485
"63","55","Change in private inventories","AB65RX0",20282,-1223,4462,25201,5445,24761,9307,3010,-26438,4488,4440,-38075,11102,16278,1915,23075,9675,13852,-8427,12675,12877,5955,1147,-13911,-5118,-12967,-7610,20517,8346,5550,-1590,-5494,-2323,-509,5086,-19896,-8151,1799,-10541,-8197,-57367,-46782,-16489,27726,22245,21342,23614,-9530,5084,-5618,10672,13293,28667,23494,21104,8825,5037,16185,10892,22349,13584,9344,11401,3604,15161,24179
"64","56","  Autos","A145RX0",6733,-4006,-4069,10349,-131,8115,8570,-1550,-7870,1392,1453,-10508,15006,7174,-4348,10494,-8181,3890,-6860,334,-3335,-768,-2757,-9787,-580,-5831,-7018,6284,4597,2910,-774,6548,2522,-2257,2462,-12291,441,-4340,14973,13596,-22163,-11119,-15582,15025,12314,13522,7158,-10619,-2904,-3968,9007,10295,13067,12847,15762,8868,10286,14426,6285,11070,8319,44,3207,1922,8219,10469
"65","57","    New","B146RX0",4645,-1741,-2845,4697,-1537,2459,2256,1535,-11689,-3822,1560,-13153,15305,9454,-2060,9471,-8811,7195,-5863,2033,82,222,-434,-6283,2982,-4854,-7448,4896,4740,4319,-2614,4588,-1282,-2762,404,-11974,716,-2401,14032,13846,-20692,-12759,-19180,3977,4809,10904,5209,-7176,-4744,-7772,3744,6489,6267,9196,12214,3379,4907,10418,-530,6176,3709,-5844,-2256,-3703,817,2940
"66","58","      Domestic","AB71RX0",4253,-3103,-2952,1454,-2466,2504,1797,722,-13314,-3288,-448,-12424,14465,8556,287,3778,-5195,3947,-3412,167,710,608,-2329,-1257,792,-4683,-5233,6581,2547,2639,-1243,2141,38,540,-2943,-9826,-3369,-2352,10519,12903,-15762,-10890,-12469,3136,6042,3956,4746,-4765,-3120,-1635,1777,6027,3976,6036,9197,3789,3255,6223,153,5386,2781,-3508,-207,-2396,2545,2140
"67","59","      Foreign","AB72RX0",356,1436,155,3358,1006,-84,450,832,1843,-515,2046,-699,843,911,-2335,5694,-3614,3248,-2449,1850,-618,-380,1836,-4936,2164,-196,-2214,-1624,2181,1674,-1365,2431,-1286,-3209,3231,-2196,3942,-40,3552,1017,-4934,-1854,-6719,837,-1207,6901,485,-2403,-1629,-5970,1911,523,2267,3132,3045,-329,1639,4123,-648,850,937,-2303,-1990,-1301,-1665,805
"68","60","    Used","B147RX0",2215,-2163,-1302,5422,1152,5240,5825,-2650,2457,4260,93,1240,992,-1285,-2198,1613,-53,-2457,-1277,-1455,-3094,-838,-2024,-3545,-2591,-1336,-493,1694,346,-798,1322,2063,3374,299,1952,-802,-144,-1889,933,-613,-2092,1541,4642,10725,7687,2812,2003,-3701,1647,3414,5278,3982,6876,3924,3916,5502,5451,4308,6652,5021,4651,5604,5327,5502,7367,7524
"69","61","  Trucks","B709RX0",13942,3304,9455,15038,5961,17123,140,4916,-19074,3160,3034,-28103,-4495,9175,6522,12617,18019,9983,-1509,12375,16427,6879,4147,-3736,-4700,-7096,-176,14432,3602,2555,-832,-12662,-4987,1849,2647,-7495,-8688,6099,-25407,-21495,-35190,-35228,-1353,12698,9927,7794,16360,944,7924,-1660,1696,3057,15571,10663,5465,73,-5025,1972,4648,11285,5318,9112,8082,1683,6964,13621
"70","62","    New trucks","W244RX0",12665,7846,10039,10423,4762,13787,-4259,7023,-23162,-758,3188,-31097,-5877,10726,8783,11336,19259,12429,-3635,7951,15879,5725,1621,-2886,-1865,-8646,-2918,13743,-249,2927,-673,-12731,-6811,2500,999,-8702,-9674,4667,-28266,-20888,-32210,-33416,-3260,2886,7868,8223,16294,1783,9219,200,484,1320,16432,11545,7597,-1196,-5779,2518,3966,9760,3347,6115,5526,-459,336,6692
"71","63","      Domestic","AB73RX0",11424,8565,11495,7843,5062,11769,-2567,2972,-21589,260,3330,-31873,-5896,10672,7189,6792,17931,11322,-1565,8051,14170,3999,1853,501,-2180,-9249,-2453,11619,-1041,2565,-1140,-14246,-5476,2963,1253,-7928,-11519,-219,-32555,-14140,-24659,-27407,-210,979,7084,6588,16054,1049,9049,2533,-479,807,13835,10145,6247,-155,-5619,1808,4037,9693,4427,5651,5967,-1845,-649,2749
"72","64","      Foreign","AB74RX0",1172,-500,-1070,2284,-208,1900,-1506,3604,-1622,-862,-79,324,-53,94,1534,4452,1342,1127,-2125,-116,1722,1765,-251,-3489,332,644,-473,2149,812,366,475,1525,-1335,-457,-248,-776,1802,4812,4180,-6699,-7532,-6026,-3110,1965,778,1640,216,739,153,-2322,948,508,2596,1395,1351,-1048,-147,721,-82,38,-1135,450,-496,1455,1043,4175
"73","65","    Used \1\","W245RX0",1835,-3214,179,4410,1274,3585,3298,-1256,1833,3174,21,902,970,-924,-1695,1545,-855,-2151,1824,4312,487,1174,2597,-848,-2845,1501,2679,794,3767,-328,-159,-54,1749,-651,1636,1127,874,1426,2953,-363,-3077,-1077,1579,9502,2016,-350,345,-877,-1057,-1792,1194,1727,-471,-638,-1974,1206,663,-499,733,1646,2004,3063,2615,2173,6775,7086
"74",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","66","  Final sales of motor vehicles to domestic purchasers","AB75RX0",417264,441927,452349,441079,470902,436646,437651,431923,445088,434982,431996,485061,457007,459310,487625,454799,452713,470521,488694,478404,482647,486534,503719,513851,501931,518692,536267,481520,510893,505923,510758,512122,506614,501458,499843,497429,472513,435638,402687,326501,308570,310857,348232,325599,349208,378865,393991,413581,424591,406443,420778,441499,460316,469549,479064,486582,500220,505728,505371,511917,518324,544723,558504,561320,565039,575598
"76","67","  Private fixed investment in new autos and new light trucks","AB76RX0",155551,157507,167553,165684,172745,162135,161924,152440,159446,155418,149935,145749,145539,152962,156109,146843,141554,138846,150060,151120,146600,153754,165638,170402,161579,168746,183658,178618,194731,182786,182027,187035,188721,184305,190539,187692,180488,162964,149365,109094,85193,95491,101275,117306,130333,139621,145243,146704,153794,148109,160592,161254,170410,171723,175036,186360,195592,195569,197348,201151,205623,217705,219006,219067,228574,230464
"77","68","  Domestic output of new autos \2\","B148RX0",112012,111906,113351,115309,120330,117886,114218,107417,104566,108540,105867,107961,113553,114410,111723,104692,98442,99485,96494,99100,97415,96252,96060,101143,107928,106366,108541,112513,116130,109931,106990,105713,105736,107029,104814,106775,108615,102169,110632,85796,41825,49659,69236,78752,77576,78427,78720,74615,77738,79829,84024,93760,108176,108540,112955,113453,118111,115776,112626,117138,113109,113233,118200,118128,110481,114287
"78","69","  Sales of imported new autos \3\","B149RX0",70450,74446,75882,81495,83692,80091,79273,79075,77775,78753,76474,82421,83537,84453,87820,84685,84648,83111,84724,80892,83645,86983,84491,89871,83864,84961,90337,90207,94278,94015,97042,98908,100730,101804,98188,98560,93366,104649,89171,71053,67196,69940,83285,75349,78336,83495,88292,87748,96942,92451,87568,90490,104103,97666,95993,102304,102813,102178,105604,106704,104159,110770,110739,107284,105787,104346
"79","70","    Imports from Canada","GAP900",23838,21273,22658,22894,23263,19803,18203,17441,14551,15387,14587,14011,17609,18895,20140,19825,17730,21541,20250,19304,20336,21551,20148,19781,18417,13587,15614,17056,16004,13416,14799,14472,16489,20320,16794,14555,15265,16059,13837,12700,9746,8450,12434,14855,16307,20248,20696,16938,22955,20342,19062,21790,26427,24206,24558,24427,24849,26157,24497,25785,24061,26469,27992,26463,27958,28393
"80","71","      Sales","GAP1090",23053,21798,23178,22641,23681,19430,17950,17337,16232,15815,14644,15521,15623,17638,20094,19192,18597,20792,20880,19275,20205,21432,20575,19999,18292,14145,16305,16160,15692,13123,14955,14208,16483,20227,17239,15876,15741,16412,12545,10929,12958,9965,14389,14341,15228,19404,19668,17882,23715,20696,18705,20555,25441,23031,22794,23702,24220,24876,24595,24701,23525,27253,28005,26988,27402,27978
"81","72","      Inventory change","GAP1110",785,-524,-520,253,-418,373,253,103,-1681,-428,-57,-1510,1986,1256,46,633,-866,749,-630,29,131,119,-427,-218,124,-557,-690,896,312,293,-156,264,5,93,-445,-1321,-475,-353,1292,1771,-3211,-1515,-1955,514,1080,843,1028,-944,-760,-354,357,1235,986,1175,1764,725,630,1281,-98,1084,536,-784,-13,-525,556,415
"82","73","    Imports from Mexico","GAP1270",6598,6672,6049,7099,8200,9544,10551,10119,9433,8884,9988,9330,11593,11621,10163,9865,7525,8890,8181,7836,7691,8388,9221,9589,9266,11851,12288,15389,19698,17483,17424,18114,17791,15521,16865,15940,13837,17658,18780,17322,8257,13822,13359,15949,17974,16137,17409,17018,18174,18141,17717,17825,18882,18579,17959,18887,19928,19673,19711,19401,20436,21122,23241,23241,23157,22930
"83","74","      Sales","GAP1300",6381,6836,6188,7020,8348,9364,10405,10059,10523,9131,10027,10336,10286,10848,10140,9550,7892,8581,8435,7824,7642,8341,9417,9695,9204,12337,12832,14580,19315,17101,17608,17784,17785,15450,17312,17387,14268,18047,17027,14907,10982,16303,15462,15396,16784,15465,16545,17967,18775,18457,17385,16815,18294,17662,16598,18295,19434,18725,19635,18578,20001,21728,23299,23700,22685,22569
"84","75","      Inventory change","GAP1320",217,-164,-139,78,-148,180,146,60,-1090,-247,-39,-1006,1308,773,23,315,-368,309,-255,12,50,46,-195,-106,63,-486,-543,809,384,382,-184,330,6,71,-447,-1447,-431,-389,1754,2416,-2725,-2481,-2103,553,1190,672,864,-949,-601,-316,332,1011,589,917,1361,592,493,948,76,823,435,-606,-58,-459,472,361
"85","76","  Exports of used autos","GAP990",850,891,710,699,658,632,603,596,545,599,656,617,598,666,696,671,659,842,918,1193,1360,1725,2146,2495,2784,3238,3120,3148,3299,3765,3931,4825,4841,6222,6246,7357,7755,10079,10292,8941,5581,6269,6424,7009,6331,6851,5857,7315,7303,8557,7323,7963,7367,7534,6490,7246,7342,7630,6338,6854,6341,7084,6461,5991,4697,5027
"86","77","  Imports of used autos","GAP1020",428,496,587,698,769,796,866,861,817,790,784,790,837,951,924,943,575,545,522,362,272,437,353,212,199,243,337,263,196,220,223,224,207,235,357,319,363,342,386,267,230,220,373,188,126,191,324,262,175,290,349,273,188,416,583,393,324,392,637,415,443,636,984,588,747,857
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","3. Consists of sales of imported new autos in personal consumption expenditures, in private fixed investment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Chain-type quantity indexes for the series in this table are shown in table NIPA table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","This table is based on annual and quarterly data published in NIPA table 7.2.6B with underlying detail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
