"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234"
"25","17","        Intermediate goods and services purchased \3\","W113RG3",15.935,16.262,17.342,17.475,18.022,17.692,18.028,17.759,18.321,18.236,17.864,17.932,18.331,18.859,18.296,18.984,19.98,19.551,19.846,20.245,18.515,19.172,19.313,19.909,19.419,19.459,19.413,19.712,20.223,19.952,20.32,20.435,21.12,21.289,21.435,21.769,21.757,21.99,21.983,21.99,22.772,22.787,22.801,22.961,23.212,23.298,23.154,23.209,22.058,21.514,20.778,20.898,20.817,21.117,21.174,21.834,21.632,21.659,21.488,21.663,22.162,22.311,22.328,22.094,22.159,22.072,21.909,22.399,22.406,22.428,23.081,22.826,23.042,23.063,23.348,23.733,23.637,23.364,24.456,24.534,24.564,24.859,25.222,25.177,25.43,25.868,25.934,26.396,26.397,27.06,27.226,27.676,27.386,27.419,28.013,28.119,28.461,28.957,29.462,29.91,29.922,30.23,30.48,30.714,31.521,32.197,32.954,33.264,34.139,35.48,37.287,38.572,39.39,39.876,40.987,41.592,42.297,42.822,43.823,44.714,45.35,45.894,46.31,47.36,48.034,48.725,49.746,50.727,51.812,52.734,54.659,56.851,58.83,60.803,62.25,63.892,65.259,66.407,67.27,68.45,69.321,69.894,70.704,71.869,72.523,72.608,73.25,73.365,73.685,74.728,75.351,75.22,75.42,75.792,76.103,77.148,76.848,76.11,76.34,76.842,76.915,77.554,78.518,78.491,78.503,78.624,78.121,78.234,79.038,79.313,80.165,80.82,81.707,82.316,83.539,85.455,85.203,84.863,85.422,86.258,85.858,86.036,87.273,87.573,87.541,88.079,88.468,88.789,88.85,89.457,90.046,90.524,90.858,91.444,91.904,92.185,92.393,92.828,93.291,93.988,94.375,94.412,94.71,95.251,94.753,95.004,95.397,95.717,95.723,96.225,97.029,97.923,99.025,99.486,100.335,101.153,101.495,101.657,101.966,101.659,102.011,102.722,104.073,104.673,105.925,105.796,106.242,106.766,107.58,108.979,109.918
"26","18","          Durable goods","W114RG3",17.563,17.648,19.023,19.073,19.093,19.072,19.908,19.827,20.259,19.565,19.497,19.601,20.069,20.243,20.415,21.868,21.737,21.769,21.774,21.973,22.123,22.351,22.61,22.868,22.768,22.936,22.835,23.019,22.887,23.145,23.813,24.288,23.785,23.921,24.438,25.243,25.614,25.924,26.012,26.341,27.048,27.193,27.488,27.887,27.819,27.711,27.913,28.145,28.242,28.401,28.558,28.653,28.643,28.622,28.698,28.669,28.725,28.793,28.896,29.018,29.11,29.242,29.413,29.891,30.114,30.329,30.107,30.086,30.099,30.165,30.079,30.134,30.137,30.245,30.314,30.342,30.453,30.651,30.828,31.089,31.005,31.201,31.58,31.47,32.137,32.461,32.711,33.1,33.202,33.665,33.942,34.478,34.75,35.263,35.636,36.183,36.932,37.351,37.389,37.198,36.303,36.174,36.029,36.063,37.028,37.908,38.39,38.449,39.141,39.916,41.679,43.144,44.544,45.052,45.848,47.151,47.435,48.503,50.605,51.892,52.715,52.828,52.231,55.469,55.706,56.679,57.776,59.392,60.618,61.58,63.556,64.979,65.667,66.934,67.81,69.048,70.771,72.187,74.545,75.594,78.336,79.643,80.919,83.054,85.174,86.389,87.7,88.843,90.911,93.362,93.932,93.175,92.976,93.193,93.471,94.201,94.058,94.761,95.436,96.336,95.162,95.204,95.15,94.345,92.198,91.874,91.398,91.408,91.202,91.319,91.447,92.071,92.783,93.312,93.752,94.329,95.701,95.657,96.188,96.608,97.095,97.43,97.972,98.257,99.049,99.403,100.034,100.657,100.993,100.834,100.654,100.874,101.049,101.171,101.152,101.539,101.667,101.22,100.643,100.765,100.914,100.786,100.502,100.044,99.982,99.89,99.462,99.604,99.762,99.472,99.326,99.715,100.162,100.036,99.946,99.856,99.873,99.981,99.78,99.739,99.925,99.916,99.772,99.887,100.24,100.289,100.204,100.328,100.636,101.213,101.41
"27","19","          Nondurable goods","W115RG3",23.819,26.274,25.068,25.55,30.193,26.548,24.718,23.378,23.099,24.594,26.385,30.162,37.324,38.866,22.654,4.554,29.549,25.918,23.035,22.189,22.745,23.549,23.999,24.199,22.864,22.799,22.709,22.899,25.177,25.199,25.14,25.204,27.395,27.26,26.825,27.157,26.884,26.8,27.215,26.335,27.382,27.773,27.052,27.399,27.134,26.67,26.326,26.239,27.419,26.428,25.392,25.194,25.575,25.84,25.837,25.951,26.711,25.381,25.201,25.129,25.693,25.712,25.785,25.868,25.258,25.072,25.435,24.973,25,25.348,26.309,26.178,26.452,25.616,25.907,26.298,26.952,26.787,27.673,27.699,27.234,27.337,27.416,26.455,27.412,27.685,27.836,27.998,28.117,28.129,28.282,28.403,28.617,28.795,28.792,28.567,28.823,29.073,29.192,29.46,29.332,29.892,30.275,30.521,32.507,33.36,35.445,36.567,38.27,40.889,44.945,48.398,48.198,47.567,50.448,50.168,51.321,52.394,53.307,53.808,55.038,56.093,56.725,57.856,58.407,59.166,59.833,60.763,62.645,65.453,70.676,77.762,84.218,91.431,93.159,94.478,97.73,99.952,98.414,98.918,97.941,97.004,97.326,99.724,99.554,97.817,99.464,95.755,92.101,94.815,95.28,94.729,94.379,94.144,93.699,95.624,91.7,82.877,79.595,79.419,80.167,83.221,86.825,87.079,85.923,85.995,81.159,68.75,75.542,79.239,80.311,83.297,84.208,82.966,86.555,96.475,89.458,83.302,84.17,85.042,80.487,82.033,84.227,83.562,82.218,83.324,81.307,81.361,79.501,81.046,82.311,83.198,82.152,83.408,83.468,84.62,86.555,87.728,88.586,92.321,91.479,88.641,87.887,88.884,85.445,84.463,83.406,83.219,81.925,85.293,89.073,92.843,97.639,97.189,100.752,104.42,99.767,98.945,97.681,90.043,87.975,89.978,97.508,98.598,104.404,96.141,95.789,95.707,93.654,100.111,103.424
"28","20","          Services","W116RG3",15.332,15.165,16.997,16.892,17.033,17.171,17.82,17.578,18.033,17.976,17.695,17.483,17.93,18.553,18.266,19.104,21.77,20.152,20.554,21.052,17.752,19.133,19.323,20.717,19.884,19.932,20.006,20.59,20.494,19.393,19.836,19.673,20.7,21.083,21.278,21.377,21.174,21.465,21.305,21.294,22.177,22.073,22.052,22.11,22.664,22.945,22.664,22.697,20.069,19.348,18.287,18.577,18.351,18.782,18.861,19.881,19.393,19.62,19.391,19.636,20.233,20.437,20.403,19.892,20.101,19.963,19.706,20.519,20.518,20.462,21.199,20.856,21.117,21.281,21.628,22.102,21.784,21.368,22.772,22.808,22.97,23.358,23.822,24.091,24.022,24.588,24.576,25.207,25.125,26.15,26.3,26.885,26.274,26.157,26.993,27.113,27.426,28.007,28.702,29.307,29.518,29.845,30.139,30.406,30.879,31.479,32.022,32.202,32.917,34.133,35.485,36.235,37.218,37.956,38.781,39.434,40.125,40.465,41.328,42.232,42.712,43.243,43.815,44.454,45.247,45.871,46.961,47.838,48.754,49.329,50.64,52.061,53.482,54.578,56.116,57.937,58.853,59.723,60.875,62.291,63.137,63.855,64.661,65.382,65.806,66.028,66.376,66.826,67.209,67.801,68.539,68.653,68.99,69.483,69.904,70.886,71.162,71.498,72.294,72.814,72.955,73.369,74.309,74.48,75.193,75.538,75.43,76.529,77.114,77.092,78.233,78.637,79.511,80.334,81.419,82.523,82.841,83.234,83.743,84.671,84.614,84.596,85.858,86.293,86.253,86.75,87.435,87.734,87.991,88.609,89.248,89.718,90.247,90.825,91.402,91.567,91.587,92.072,92.661,93.091,93.652,94.059,94.572,95.21,95.021,95.482,96.192,96.6,96.729,97.022,97.617,98.25,99.009,99.682,100.347,100.963,101.953,102.248,102.844,103.419,104.117,104.767,105.495,106.121,106.974,107.79,108.393,109.031,110.239,111.179,111.971
"29","21","      Less: Own-account investment \4\","W117RG3",9.278,9.483,9.894,10.084,9.63,9.53,9.434,9.357,9.995,9.923,9.983,10.254,10.154,9.886,9.986,9.824,11.197,10.836,10.704,10.749,11.12,11.229,11.226,11.387,11.426,11.588,11.404,11.57,11.514,11.685,11.61,11.707,11.851,12.107,12.012,12.036,12.17,12.421,12.502,12.538,12.682,12.774,12.892,13.054,13.499,13.764,13.805,13.813,13.916,13.96,14.012,14.065,14.118,14.137,14.613,14.753,14.814,14.817,14.823,14.878,15.039,14.995,15.031,15.418,15.453,15.505,15.52,15.693,15.989,16.037,16.287,16.289,16.397,16.485,16.598,16.834,16.95,17,17.161,17.176,17.284,17.375,17.461,18.063,18.209,18.363,18.772,19.085,19.192,19.328,19.898,20.163,20.95,21.259,21.565,21.78,22.39,22.847,23.131,23.326,23.025,23.238,23.468,23.79,24.315,24.698,25.189,25.717,26.124,26.725,27.353,28.145,28.837,29.272,30.08,30.759,31.046,31.445,32.024,32.714,33.623,34.281,34.667,35.528,35.847,36.256,36.859,37.786,38.229,38.67,39.49,40.82,41.614,42.457,43.279,45.03,45.894,46.579,47.324,48.286,49.035,49.727,50.334,51.312,51.627,52.134,52.524,53.159,53.692,54.089,54.739,54.967,55.344,55.839,56.075,56.631,56.833,57.301,57.841,58.34,58.695,58.908,59.745,60.344,60.993,62.294,63.225,63.608,64.364,65.278,66.43,66.599,66.75,67.94,68.825,69.871,70.793,71.33,71.986,72.166,73.093,73.717,74.833,75.454,76.493,77.314,78.604,79.072,80.048,81.233,81.353,81.943,83.347,83.35,83.972,85.881,87.102,86.301,86.736,87.642,88.822,89.408,90.118,90.955,91.63,92.152,92.881,93.151,94.303,95.358,96.431,96.846,98.727,98.803,100.965,101.505,101.972,102.83,104.058,105.117,107.323,107.897,108.411,108.83,111.137,111.856,112.43,112.636,115.365,115.989,116.812
"30","22","            Sales to other sectors","W118RG3",10.731,14.482,12.84,13.845,12.973,13.578,13.908,13.111,14.03,13.898,13.238,13.11,13.53,13.595,13.893,14.015,14.765,14.824,14.707,14.603,14.541,15.124,14.664,14.441,14.549,14.655,14.677,14.283,15.193,14.582,14.683,14.838,15.264,15.513,15.218,15.451,15.394,15.765,15.798,16.149,16.484,16.42,16.454,16.375,16.978,16.96,16.818,16.873,16.799,16.972,16.956,17.161,17.157,17.184,16.992,16.889,16.981,16.916,16.838,16.895,17.109,17.13,17.198,17.193,17.346,17.302,17.605,17.821,17.845,18.108,18.087,18.066,18.135,18.088,18.202,18.407,18.355,18.577,18.633,18.685,18.607,18.727,19.146,19.593,19.895,20.345,20.892,21.798,22.951,22.735,21.479,21.761,21.322,21.265,21.519,22.029,22.788,23.644,24.773,25.095,23.803,24.095,24.574,25.007,26.04,27.128,27.928,28.503,28.747,30.156,30.638,31.198,31.487,31.682,32.115,33.015,34.477,35.476,35.742,36.795,38.933,39.057,40.669,42.265,43.817,44.528,45.28,46.708,47.477,48.756,51.593,51.91,56.785,56.823,59.008,61.621,62.765,63.562,62.572,63.506,63.275,62.962,63.195,64.073,63.808,64.46,63.398,63.848,64.249,63.224,63.804,63.674,63.711,62.744,63.177,63.427,61.481,56.72,56.588,59.362,61.081,61.725,63.221,63.403,64.086,64.879,64.708,64.381,66.422,68.811,69.186,69.988,70.993,69.874,71.588,76.335,71.909,72.955,74.849,76.552,77.313,77.901,78.328,79.21,83.286,84.395,82.507,83.347,84.075,84.862,84.562,84.95,85.68,85.791,86.35,87.144,87.835,88.702,88.771,91.738,93.569,92.457,91.736,94.127,94.95,95.156,94.976,95.383,96.665,97.43,98.186,98.255,99.294,99.376,100.017,101.313,102.149,102.283,102.501,102.211,104.036,104.596,105.382,105.888,107.455,108.085,108.698,109.335,110.99,111.287,111.76
"31","23","    Defense consumption expenditures \1\","A997RG3",11.354,11.359,10.367,10.362,10.57,10.662,10.839,10.91,11.168,11.14,11.008,11.155,11.086,10.915,11.085,11.173,11.608,11.275,11.293,11.449,11.113,11.369,11.461,11.691,11.515,11.598,11.517,11.652,11.862,11.872,11.987,12.081,12.299,12.683,12.864,13.01,13.148,13.372,13.399,13.433,13.789,13.843,13.943,14.067,14.321,14.47,14.634,14.693,14.461,14.359,14.208,14.253,14.263,14.325,14.523,14.761,14.66,14.712,14.663,14.723,14.892,14.952,15.035,15.128,15.33,15.317,15.235,15.717,15.822,15.823,16.099,16.101,16.203,16.271,16.536,16.943,16.92,16.867,17.39,17.347,17.313,17.537,17.737,18.162,18.276,18.508,18.877,19.117,19.127,19.407,20.06,20.29,20.863,21.032,21.414,21.654,22.512,22.946,23.327,23.958,25.055,25.271,25.422,26.135,26.594,27.078,27.744,28.33,28.846,29.434,30.567,31.831,32.456,32.809,33.435,34.386,34.819,35.243,35.79,36.888,37.601,38.044,38.239,39.745,40.175,40.617,41.236,42.408,43.058,43.736,44.749,46.841,47.823,49.031,49.81,52.591,53.352,54.295,54.867,57.017,57.757,58.447,58.919,59.947,60.25,60.773,61.192,61.498,65.194,65.866,66.375,66.393,67.545,67.584,67.492,68.508,68.405,68.191,68.397,68.801,69.441,69.762,70.111,70.16,70.966,71.534,71.639,71.908,73.245,73.353,73.757,73.589,74.997,75.565,76.229,77.612,78.343,78.409,79.316,80.246,81.64,82.293,82.959,82.035,82.92,83.533,84.167,84.547,84.995,85.723,85.888,86.525,87.386,87.547,87.98,88.761,90.458,90.71,91.177,91.856,92.696,92.716,92.803,93.209,93.783,93.894,94.114,94.363,95.611,96.134,96.647,97.191,99.424,99.418,100.439,100.719,101.819,102.038,102.828,103.296,105.313,105.76,106.619,108.871,111.507,111.419,111.75,112.169,113.879,114.805,115.393
"32","24","      Gross output of general government","W085RG3",11.363,11.369,10.379,10.377,10.582,10.675,10.854,10.923,11.182,11.153,11.021,11.168,11.099,10.928,11.099,11.187,11.624,11.298,11.315,11.47,11.137,11.391,11.483,11.712,11.538,11.622,11.539,11.674,11.883,11.894,12.009,12.103,12.32,12.703,12.879,13.026,13.162,13.386,13.412,13.447,13.802,13.857,13.957,14.079,14.334,14.482,14.646,14.704,14.478,14.377,14.228,14.273,14.284,14.344,14.543,14.779,14.678,14.73,14.682,14.741,14.909,14.968,15.051,15.144,15.345,15.332,15.251,15.73,15.835,15.836,16.111,16.112,16.214,16.282,16.544,16.947,16.923,16.873,17.389,17.347,17.315,17.537,17.737,18.162,18.277,18.508,18.877,19.116,19.127,19.407,20.059,20.289,20.86,21.03,21.412,21.652,22.511,22.945,23.324,23.952,25.013,25.229,25.377,26.084,26.545,27.025,27.697,28.276,28.788,29.405,30.536,31.811,32.433,32.778,33.4,34.349,34.787,35.211,35.756,36.853,37.56,38.003,38.202,39.703,40.138,40.58,41.2,42.371,43.019,43.697,44.707,46.794,47.776,48.981,49.76,52.528,53.296,54.236,54.808,56.948,57.694,58.383,58.857,59.88,60.187,60.709,61.125,61.432,65.108,65.779,66.29,66.309,67.459,67.498,67.409,68.424,68.323,68.114,68.32,68.722,69.361,69.68,70.031,70.085,70.891,71.458,71.564,71.832,73.165,73.286,73.697,73.535,74.937,75.509,76.161,77.528,78.289,78.363,79.271,80.204,81.605,82.263,82.928,82.02,82.921,83.533,84.156,84.529,84.982,85.702,85.872,86.501,87.363,87.525,87.963,88.735,90.435,90.689,91.154,91.832,92.675,92.701,92.794,93.201,93.778,93.892,94.118,94.366,95.614,96.138,96.654,97.192,99.416,99.416,100.442,100.725,101.83,102.054,102.851,103.322,105.336,105.785,106.644,108.875,111.509,111.427,111.758,112.176,113.892,114.816,115.407
"33","25","        Value added","W086RG3",8.92,8.916,8.009,8.003,8.131,8.208,8.298,8.381,8.589,8.614,8.507,8.661,8.556,8.306,8.458,8.359,8.642,8.41,8.381,8.49,8.612,8.717,8.79,8.866,8.811,8.915,8.826,8.914,8.954,9.104,9.097,9.185,9.292,9.681,9.777,9.846,9.991,10.186,10.26,10.281,10.466,10.552,10.669,10.789,11.038,11.217,11.439,11.5,11.648,11.68,11.711,11.719,11.774,11.757,11.986,12.041,12.021,12.037,12.031,12.048,12.133,12.145,12.252,12.499,12.649,12.673,12.669,13.096,13.226,13.288,13.417,13.527,13.579,13.624,13.858,14.252,14.322,14.391,14.605,14.562,14.487,14.69,14.82,15.382,15.526,15.667,16.213,16.356,16.415,16.492,17.348,17.47,18.426,18.72,18.97,19.252,20.285,20.683,20.98,21.653,23.083,23.259,23.38,24.241,24.545,24.888,25.378,26.074,26.394,26.762,27.467,28.605,29.198,29.532,30.034,31.153,31.421,31.846,32.208,33.269,33.917,34.305,34.414,35.925,36.235,36.594,37.001,38.203,38.627,39.208,39.758,41.594,42.083,42.825,43.367,46.68,47.251,47.866,48.137,50.836,51.481,52.201,52.555,53.736,53.899,54.518,54.882,55.08,60.312,60.841,61.333,61.552,63.315,63.218,62.927,64.032,64.063,64.307,64.412,64.722,65.669,65.736,65.706,65.785,67.145,67.874,68.169,68.2,70.038,70.272,70.447,69.811,71.356,71.925,72.104,72.864,74.51,75.037,76.077,76.972,79.399,80.317,80.485,79.067,80.539,81.086,81.773,82.164,82.935,83.658,83.568,84.269,85.528,85.406,85.813,86.81,89.243,89.424,89.914,90.549,91.722,91.825,91.808,92.122,93.272,93.356,93.504,93.71,95.822,96.298,96.556,96.798,99.766,99.469,100.466,100.299,101.973,102.205,103.27,104.486,107.924,108.259,108.381,111.716,115.47,115.608,115.923,116.198,118.994,119.39,119.564
"34","26","          Compensation of general government employees","B237RG3",7.302,7.248,5.657,5.522,5.791,5.89,5.889,5.96,6.161,6.302,6.235,6.434,6.31,6.021,6.128,5.859,6.119,5.88,5.838,5.917,6.042,6.139,6.186,6.247,6.207,6.275,6.229,6.312,6.339,6.452,6.43,6.468,6.576,6.999,7.05,7.05,7.117,7.293,7.334,7.309,7.419,7.489,7.563,7.66,8.005,8.196,8.38,8.407,8.584,8.619,8.633,8.635,8.69,8.666,8.916,8.978,8.95,8.965,8.939,8.933,9.011,9.039,9.079,9.292,9.458,9.454,9.47,9.987,10.144,10.211,10.369,10.482,10.529,10.554,10.792,11.234,11.309,11.339,11.512,11.436,11.333,11.523,11.624,12.208,12.323,12.463,13.027,13.127,13.138,13.161,14.076,14.159,15.155,15.413,15.61,15.839,16.9,17.277,17.565,18.289,19.743,19.915,19.961,20.809,21.053,21.316,21.741,22.524,22.719,22.945,23.443,24.537,25.137,25.434,25.808,26.893,27.021,27.334,27.557,28.579,29.072,29.381,29.523,31.014,31.043,31.268,31.538,32.876,33.29,33.704,34.058,35.982,36.417,36.874,37.317,40.833,41.156,41.572,41.62,44.524,44.941,45.505,45.7,47.037,47.133,47.747,47.828,48.01,53.965,54.508,55.12,55.251,57.431,57.491,57.076,58.451,58.72,58.914,59.039,59.495,60.599,60.914,60.927,60.981,62.559,63.382,63.683,63.502,65.734,65.962,66.045,65.038,66.852,67.489,67.552,68.223,70.146,70.763,71.884,72.955,76.213,77.286,77.438,75.176,76.708,77.25,77.947,78.272,79.12,79.687,79.28,79.613,81.136,80.907,81.455,82.727,86.169,86.355,86.966,87.847,89.563,89.692,89.734,89.98,91.719,91.672,91.865,92.091,94.96,95.449,95.6,95.734,99.68,99.247,100.628,100.445,102.738,102.943,104.378,106.34,110.972,111.434,111.538,115.961,121.426,121.537,121.788,122.248,125.775,125.783,125.818
"35","27","          Consumption of general government fixed capital \2\","B432RG3",17.681,17.835,18.193,18.595,18.428,18.525,18.973,19.151,19.436,19.024,18.734,18.708,18.631,18.515,18.867,19.705,20.037,20.104,20.259,20.515,20.432,20.484,20.693,20.813,20.691,20.982,20.638,20.692,20.809,21.106,21.208,21.569,21.603,21.563,21.891,22.357,22.913,23.138,23.38,23.671,24.228,24.367,24.691,24.894,24.497,24.551,24.911,25.141,25.093,25.103,25.216,25.257,25.293,25.317,25.39,25.397,25.421,25.44,25.539,25.675,25.777,25.7,26.134,26.5,26.545,26.701,26.597,26.492,26.474,26.498,26.464,26.543,26.62,26.752,26.932,27.005,27.02,27.277,27.647,27.806,27.926,28.135,28.393,28.638,28.901,28.996,29.244,29.591,29.91,30.279,30.494,30.802,31.235,31.651,32.122,32.619,33.223,33.624,33.891,34.118,35.081,35.239,35.727,36.454,36.996,37.681,38.386,38.475,39.369,40.394,42.015,43.108,43.521,43.971,45.024,46.057,46.989,47.901,48.902,49.923,51.218,51.923,51.843,53.126,54.798,55.763,56.781,57.031,57.414,58.716,60.135,61.161,61.823,63.827,64.755,66.401,68.088,69.567,70.9,72.029,73.68,75.028,76.105,76.303,76.762,77.298,78.948,79.189,80.212,80.591,80.458,81.04,80.722,79.956,80.235,80.078,79.137,79.561,79.579,79.289,79.55,78.678,78.49,78.66,79.151,79.509,79.769,80.527,80.943,81.181,81.654,82.271,82.862,83.183,83.726,84.735,85.441,85.665,86.426,86.771,86.709,87.157,87.367,88.352,89.614,90.163,90.811,91.379,91.948,93.074,93.812,95.449,96.017,96.157,96.2,96.505,96.466,96.629,96.82,96.858,96.737,96.778,96.622,97.096,96.859,97.251,97.291,97.45,97.812,98.255,98.76,99.251,99.964,99.983,100.089,99.964,100.206,100.502,100.703,100.18,100.806,100.829,100.987,101.707,101.317,101.515,101.986,101.807,102.808,104.167,104.684
"36","28","        Intermediate goods and services purchased \3\","W087RG3",13.68,13.845,15.076,15.029,15.626,15.622,16.335,16.113,16.413,15.983,15.845,15.769,16.116,16.68,16.777,17.902,18.662,18.049,18.193,18.451,16.832,17.49,17.631,18.232,17.752,17.78,17.724,17.974,18.626,18.211,18.701,18.792,19.33,19.56,19.97,20.345,20.41,20.671,20.527,20.598,21.414,21.368,21.404,21.51,21.746,21.798,21.793,21.852,20.572,20.062,19.358,19.52,19.376,19.684,19.737,20.507,20.172,20.326,20.152,20.331,20.722,20.911,20.901,20.539,20.854,20.738,20.439,21,21.014,20.827,21.501,21.15,21.391,21.521,21.824,22.196,21.932,21.574,22.8,22.763,22.826,23.078,23.42,23.522,23.577,23.992,23.977,24.415,24.324,25.05,25.182,25.648,25.256,25.092,25.775,25.878,26.21,26.696,27.257,27.694,27.737,28.031,28.235,28.455,29.297,30.091,31.18,31.379,32.367,33.589,35.761,37.288,37.937,38.283,39.18,39.514,40.399,40.765,41.778,42.842,43.641,44.193,44.617,45.926,46.666,47.293,48.433,49.394,50.596,51.471,53.601,56.156,58.294,60.535,61.826,63.104,64.308,65.951,67.181,67.988,68.922,69.527,70.236,70.936,71.519,71.848,72.353,72.856,73.56,74.486,75.026,74.673,74.704,74.996,75.267,76.129,75.783,74.805,75.179,75.739,75.876,76.616,77.594,77.605,77.519,77.828,77.623,78.276,78.784,78.719,79.526,80.158,81.327,81.902,83.38,85.811,85.021,84.307,84.989,86.001,85.53,85.72,87.309,87.312,87.167,87.904,88.408,88.749,88.598,89.31,89.964,90.46,90.56,91.263,91.763,92.118,92.443,92.839,93.267,94.027,94.27,94.167,94.448,95.027,94.593,94.772,95.138,95.461,95.282,95.89,96.819,97.801,98.874,99.34,100.402,101.384,101.597,101.801,102.197,101.611,101.705,102.319,104.146,105.006,106.253,105.915,106.264,106.835,107.385,108.85,109.856
"37","29","          Durable goods","A998RG3",16.937,17.096,17.736,18.006,18.197,18.297,19.136,19.21,19.465,18.788,18.742,18.875,19.353,19.502,19.683,21.111,20.954,21.011,21.015,21.23,21.358,21.584,21.836,22.087,21.987,22.155,22.048,22.227,22.098,22.36,23.008,23.473,22.976,23.106,23.61,24.405,24.768,25.071,25.156,25.48,26.17,26.311,26.596,26.984,26.913,26.807,27.002,27.224,27.302,27.447,27.601,27.681,27.657,27.619,27.687,27.65,27.702,27.759,27.887,27.981,28.052,28.175,28.36,28.813,29.008,29.215,28.989,28.93,28.856,28.837,28.843,28.921,29.009,29.176,29.268,29.273,29.39,29.577,29.752,30.001,29.907,30.102,30.48,30.349,30.996,31.313,31.557,31.933,32.033,32.494,32.773,33.286,33.542,34.05,34.419,34.946,35.681,36.098,36.129,35.92,35.038,34.903,34.76,34.795,35.748,36.621,37.107,37.166,37.842,38.588,40.303,41.746,43.133,43.566,44.359,45.685,45.907,46.901,49.04,50.304,51.155,51.26,50.638,53.924,54.165,55.084,56.239,57.855,59.038,60.031,61.955,63.369,64.094,65.215,66.061,67.4,69.079,70.502,72.748,73.729,76.471,77.784,79.092,81.237,83.399,84.636,85.963,87.142,89.236,91.715,92.292,91.527,91.326,91.547,91.825,92.57,92.443,93.15,93.821,94.704,93.539,93.587,93.532,92.695,90.503,90.157,89.661,89.645,89.393,89.487,89.599,90.247,90.937,91.47,91.889,92.471,93.889,93.851,94.423,94.871,95.371,95.7,96.302,96.615,97.391,97.796,98.467,99.112,99.465,99.302,99.126,99.388,99.588,99.705,99.734,100.213,100.464,100.146,99.61,99.834,100.106,100.027,99.817,99.394,99.426,99.416,99.066,99.306,99.47,99.254,99.163,99.616,100.126,100.016,99.956,99.902,100.021,100.167,100.007,100.01,100.329,100.391,100.315,100.5,100.936,101.009,100.936,101.107,101.463,102.108,102.374
"38","30","          Nondurable goods","A725RG3",10.907,11.851,12.393,13.328,15.019,15.064,15.3,15.173,14.628,13.823,13.598,13.542,13.459,13.663,14.535,15.335,14.329,14.391,14.367,14.381,13.227,13.185,13.19,13.217,12.721,12.622,12.558,12.606,14.63,14.651,14.591,14.758,16.232,16.339,16.596,16.922,17.267,17.405,17.353,17.312,18.243,18.246,17.896,17.643,17.279,16.87,17.116,17.076,17.359,17.089,16.992,16.923,17.123,17.288,17.395,17.407,17.281,17.117,17.034,17.004,17.04,16.977,17.039,16.96,16.69,16.612,16.647,16.552,16.548,16.446,16.57,16.507,16.721,16.691,16.876,16.919,17.085,17.2,17.617,17.367,17.369,17.401,17.439,17.493,17.482,17.552,17.582,17.65,17.785,17.839,17.922,17.959,18.01,18.052,18.102,18.088,18.189,18.306,18.37,18.437,18.593,18.988,19.115,19.489,20.823,21.642,24.646,25.895,28.304,29.65,34.343,39.053,38.161,37.149,40.011,39.598,41.285,41.418,42.135,42.638,43.994,44.959,45.544,46.807,47.233,47.707,48.327,49.305,51.744,54.862,61.886,71.677,79.544,90.547,90.394,90.456,93.738,100.431,100.534,98.539,97.065,95.948,95.214,95.268,92.001,89.572,89.806,89.883,88.284,88.249,88.208,87.054,85.784,85.915,85.704,86.561,81.346,68.222,64.521,64.27,66.88,70.753,73.331,74.89,73.811,76.101,78.525,76.342,79.34,81.049,79.906,82.294,85.82,84.267,90.488,107.613,94.154,83.299,85.263,86.681,80.686,82.443,85.822,84.446,81.502,83.352,80.801,80.788,77.086,79.553,81.198,82.624,79.806,81.548,81.565,83.65,86.539,87.769,88.823,94.411,92.448,87.139,85.403,87.033,80.606,78.751,77.053,76.832,74.201,79.244,84.645,90.049,96.423,95.351,101.117,107.109,99.204,97.317,95.621,83.987,80.668,80.857,93.593,96.577,102.768,90.044,87.608,88.725,83.809,93.055,97.92
