"","Table 5#2#3# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"46","39","  Equals: Net equipment and software","A901RA3",-2.931,-4.28,-3.042,-5.02,-4.882,3.1,4.156,-0.015,0.98,4.144,4.685,3.927,155.22,698.152,1351.903,1354.968,704.354,-450.73,-369.415,-253.979,-157.049,-148.515,63.131,152.731,176.81,65.829,-12.421,-21.827,-40.306,-28.151,39.568,0.532,39.575,61.581,11.024,-8.854,-41.655,6.007,34.267,-38.012,-84.539,-108.57,-215.269,-231.552,-190.072,-127.93,-106.592,-85.502,-87.551,-82.128,-36.292,-21.125,-6.46,20.295,91.087,152.633,233.389,275.943,292.574,207.288,238.511,245.396,165.927,119.526,5.435,-53.203,-57.358,-39.444,-63.661,17.259,92.745,100,127.014,202.798,243.73
"47","40","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            State and local","B907RA3",3.264,1.344,1.846,0.819,-0.888,-1.236,-1.197,-1.347,0.468,0.817,1.603,-0.554,-2.55,-3.695,-4.315,-3.764,-3.374,-0.912,1.654,3.21,3.003,2.441,2.219,2.479,2.533,3.218,2.006,3.02,5.624,4.329,4.499,5.735,4.967,5.025,7.117,8.895,8.831,9.96,8.825,8.124,8.953,8.409,6.557,9.922,13.474,15.522,10.383,6.254,2.515,4.225,8.071,9.595,5.542,6.833,14.298,24.999,34.538,37.184,33.377,35.407,52.728,54.685,37.796,34.873,29.868,40.642,46.557,41.63,56.478,80.271,97.273,100,100.465,96.047,88.329
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RA3",5.981,4.983,3.848,2.569,2.186,2.752,3.318,4.49,4.825,4.258,4.951,5.568,8.086,11.725,14.341,14.894,12.545,8.933,10.685,12.129,11.886,13.812,14.773,15.479,16.666,16.559,17.695,17.755,17.689,17.159,19.346,19.304,19.792,21.316,22.475,24.16,26.07,27.751,27.722,28.967,29.842,28.886,29.882,32.358,34.957,33.447,30.663,33.148,36.809,41,43.348,41.168,41.712,39.182,42.069,48.836,52.114,53.473,54.288,55.669,57.445,57.18,54.279,56.912,60.307,64.701,68.397,73.935,79.885,87.142,94.29,100,98.251,95.177,99.484
"53","45","  Less: Consumption of fixed capital","A262RA3",6.291,6.464,6.459,6.313,6.118,5.991,5.972,6.076,6.259,6.373,6.449,6.626,7.031,7.887,9.284,10.903,11.926,12.018,11.725,11.631,11.685,11.869,12.298,12.879,13.576,14.211,14.737,15.234,15.709,16.298,16.375,17.058,17.565,18.101,18.954,19.637,20.647,21.967,23.011,24.036,25.449,26.433,27.077,28.6,29.969,31.433,32.364,33.405,34.975,36.938,38.867,40.346,41.637,43.28,44.738,47.246,50.12,51.54,53.843,55.735,58.733,60.956,63.763,66.049,67.376,71.433,74.173,77.572,82.332,87.644,93.712,100,107.354,109.245,112.502
"54","46","  Equals: Net domestic fixed investment","W173RA3",7.551,4.242,0.873,-2.615,-3.396,-1.528,0.241,3.477,4.352,2.338,4.294,5.936,12.178,19.727,24.498,23.449,14.996,3.29,8.172,12.163,11.92,16.381,18.885,20.148,22.136,20.723,22.372,21.788,20.968,19.057,24.399,23.179,23.877,26.84,28.34,31.428,34.58,36.94,35.459,36.857,36.691,32.751,34.056,37.857,42.312,36.402,28.078,32.711,39.415,46.939,49.962,42.467,41.828,33.144,38.173,51.291,55.272,56.608,55.282,55.786,55.78,52.002,40.733,43.793,50.008,54.769,59.862,68.564,76.25,86.379,95.152,100,84.65,74.135,80.017
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. Chain-type quantity indexes for net investment are computed from chained (2000) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","estimates of net investment by scaling the chained-dollar estimates to 100 in the reference year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","(2000). Chained (2000) dollar estimates of net investment beginning with 1967 appear in table 5.2.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
