"","Table 2AUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"108","30"," Durable goods","PS5WD3",91.423,91.715,92.095,92.365,92.432,92.615,92.552,92.692,92.656,92.615,92.837,92.857,92.762,92.822,92.702,92.829,93.029,93.072,93.096,93.241,92.818,93.404,93.55,93.722,93.757,93.745,93.794,94.097,94.301,94.577,95.072,95.449,95.716,96.437,96.541,96.492,96.697,96.531,96.76,97.08,97.362,97.589,97.979,98.159,98.422,99.006,99.262,99.27,99.653,99.822,100.203,100.542,100.834,101.021,101.186,101.348,101.307,101.521,101.728,102.009,102.284,102.482,102.593,102.503,102.574,102.464,102.311,102.297,102.336,102.386,102.028,101.918,101.842,101.598,101.672,101.751,101.76,101.722,101.87,102.293,102.805,102.854,102.659,102.625,102.649,102.402,102.223,102.089,101.686,101.543,101.216,100.987,100.88,101.029,101.057,101.118,100.996,101.103,101.139,101.106,101.054,100.592,100.515,100.567,100.388,100.226,100.073,100.22,100.452,100.885,100.886,100.835,100.767,100.592,100.664,100.529,100.561,100.467,100.695,100.946,101.238,101.221,101.331,101.341,101.451,101.72,102.166,102.299,102.344,102.326,102.603,102.808,103.115,103.222,103.274,103.63,103.686,103.225,103.099,102.669,102.295,102.012,101.658,101.47,101.192,100.864,100.498,100.188,100.129,99.923,99.674,99.817,99.829,99.493,99.376,99.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","31","  Motor vehicles","PS5013",78.563,78.519,78.761,78.842,78.817,78.844,78.869,78.915,78.873,78.274,78.429,78.534,78.85,79.063,79.137,78.995,79.252,79.297,79.373,79.595,78.098,79.668,79.994,80.106,80.047,80.438,80.695,81.255,81.333,81.586,81.85,81.923,81.365,83.46,83.762,83.931,84.174,83.357,84.053,84.765,84.729,84.761,84.922,84.858,84.742,85.232,85.056,84.6,84.982,85.168,85.642,85.907,86.308,86.528,86.775,87.26,87.09,87.455,87.445,88.06,88.354,88.508,88.379,88.052,88.586,88.655,88.101,88.312,88.841,89.1,89.1,89.281,88.825,88.736,88.899,88.723,88.698,89.224,89.487,89.564,90.358,90.165,90.631,90.998,91.414,91.851,92.13,92.038,91.882,91.716,91.804,92.1,92.393,93.101,93.226,93.229,93.302,93.07,93.421,93.507,93.63,93.601,93.772,93.887,93.682,93.727,93.947,93.967,94.1,94.371,94.608,94.96,95.155,95.526,95.689,95.905,95.804,95.552,95.945,96.219,96.523,96.508,96.67,96.925,97.431,97.594,97.921,98.324,98.222,98.082,98.322,98.625,98.859,98.988,99.185,99.475,99.719,99.682,99.861,99.809,99.55,100.121,100.545,100.558,99.989,99.914,99.954,99.914,100.185,100.171,100.005,100.231,100.218,99.762,99.702,99.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","32","  Furniture & furnishings","PS5023",73.381,73.765,74.004,74.291,74.731,75.143,75.159,75.196,75.35,75.417,75.408,75.554,75.672,75.739,75.801,76.023,76.03,76.143,76.151,76.315,76.337,76.423,76.777,76.864,77.117,77.396,77.506,77.602,77.705,77.727,77.835,77.957,78.113,78.589,78.706,78.788,79.135,79.439,79.753,79.934,80.166,80.446,80.536,80.679,80.855,81.131,81.282,81.464,82.195,82.303,83.13,83.315,83.672,83.899,84.301,84.533,84.746,84.792,84.995,85.325,85.488,85.923,86.227,86.622,86.88,87.316,87.719,87.972,88.196,88.383,88.617,88.654,88.924,89.123,88.809,89,89.102,88.909,88.836,89.116,89.2,89.381,89.546,89.84,90.146,90.346,90.346,90.347,90.282,90.298,90.428,90.54,90.585,90.38,90.405,90.498,90.781,90.927,91.142,91.183,91.479,91.331,91.727,91.933,92,91.977,92.252,92.361,92.219,92.899,92.875,93.068,93.455,93.759,93.896,94.162,94.161,94.314,94.38,94.496,94.779,94.829,94.946,95.265,96.266,96.436,96.75,96.684,96.548,96.778,97.141,97.21,97.348,97.585,97.664,98.089,98.12,98.423,98.402,98.7,98.618,99.059,99.297,99.353,99.322,99.689,99.557,99.651,99.676,99.685,100.072,100.013,100.316,100.533,100.673,100.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","33","  Lumber & construction","PS5033",70.464,71.033,71.156,70.699,69.787,69.618,69.222,70.29,70.421,70.648,70.9,71.112,71.186,70.621,70.446,70.174,71.361,72.388,72.043,71.769,71.094,71.348,71.106,71.151,71.136,70.826,71.358,72.498,72.577,72.239,72.419,72.659,73.098,73.004,72.992,72.73,72.656,73.168,73.53,73.511,73.47,73.655,73.98,74.718,76.018,75.735,75.998,75.804,75.783,75.825,76.361,76.547,76.738,77.067,77.546,77.213,76.956,76.984,76.782,76.512,76.939,78.061,78.64,79.886,80.294,80.287,80.445,80.142,79.788,79.88,78.929,78.947,79.229,79.452,79.946,80.575,80.255,79.611,79.631,79.503,79.447,79.244,79.283,79.246,79.441,79.249,79.583,80.279,81.169,83.43,83.838,81.999,82.115,82.049,82.116,83.145,84.188,86.27,87.54,88.152,88.226,87.382,86.898,86.615,87.324,87.255,87.975,90.149,93.009,97.352,101.622,102.038,99.901,97.245,95.938,96.721,98.131,98.759,100.437,102.429,104.088,102.795,102.687,100.497,99.788,100.619,99.434,99.585,99.531,99.308,100.068,99.486,99.917,99.09,99.35,98.97,98.685,97.889,98.881,98.637,99.375,98.504,97.274,97.018,96.736,96.931,97.313,98.016,100.011,101.144,100.339,101.307,102.485,100.883,102.68,102.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","34","  Professional & commercial","PS5043",169.744,171.078,172.539,175.072,176.963,178.484,180.262,182.105,183.389,185.469,187.267,188.362,189.564,190.385,191.19,192.783,193.739,194.558,195.605,196.527,197.02,198.191,198.415,198.048,198.133,197.283,197.396,198.167,199.882,201.139,203.814,204.791,205.972,207.583,208.158,206.953,203.485,200.184,197.489,196.898,196.041,194.325,193.368,192.074,191.756,192.907,194.015,194.035,193.981,193.372,193.647,193.314,193.296,193.017,193.495,193.421,193.524,193.947,194.714,194.522,195.055,195.549,195.035,193.588,192.958,191.642,191.511,191.45,190.616,189.974,188.599,186.963,191.921,189.825,188.321,188.288,188.082,187.866,187.865,187.865,187.703,186.368,185.351,184.604,183.56,181.926,180.303,179.173,176.356,173.894,170.94,169.687,168.455,167.578,166.556,165.635,165.323,163.389,160.211,158.653,157.611,152.579,150.82,150.629,148.385,147.435,146.058,145.604,144.827,144.383,141.169,139.673,139.113,136.678,136.275,134.037,133.698,131.578,131.163,130.566,130.023,129.559,129.004,128.708,127.966,127.525,126.766,126.04,125.325,123.609,121.945,121.77,120.668,119.254,118.126,117.906,117.153,115.331,114.859,112.868,111.484,110.252,108.979,108.347,107.12,105.171,103.58,101.66,100.656,99.673,98.657,98.529,97.799,96.975,95.813,94.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","35","  Metals & minerals","PS5053",83.506,83.749,84.179,84.533,84.724,84.832,84.892,84.846,84.71,84.505,84.696,84.565,84.078,83.992,84.027,84.168,84.25,84.025,83.652,83.698,83.511,83.267,83.151,83.358,82.076,81.735,81.329,80.77,80.8,80.73,80.444,80.638,80.99,81.094,81.079,81.185,81.803,81.804,81.811,82.004,82.718,83.052,84.162,84.654,85.099,86.56,87.27,87.896,89.146,89.038,89.494,91.341,92.21,93.438,93.659,93.78,94.041,95.112,95.925,96.354,96.844,96.696,97.187,97.048,96.639,96.068,95.759,95.512,95.534,95.558,95.074,94.398,94.141,93.603,93.683,93.627,93.689,93.329,93.809,94.573,94.651,94.812,94.304,93.629,93.49,93.215,92.77,92.259,91.75,91.823,91.251,90.792,90.619,90.443,90.489,90.493,90.081,90.476,90.639,90.49,90.486,90.768,90.751,90.685,90.304,89.855,89.375,89.358,89.315,89.365,89.349,89.467,89.423,89.748,90.207,90.495,90.515,90.623,90.575,90.804,91.396,92.017,92.411,92.799,93.076,93.557,94.263,94.63,95.571,96.445,97.658,98.27,100.518,102.45,103.026,103.415,103.19,102.902,103.199,103.171,103.024,102.349,101.996,101.717,100.995,100.468,100.395,100.228,100.673,100.603,99.731,99.575,99.471,99.336,99.171,99.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","36","  Electrical goods","PS5063",92.516,92.312,92.509,92.661,92.478,92.635,92.47,92.313,92.171,92.238,92.265,92.174,91.865,92.151,91.863,91.563,91.392,91.16,91.109,91.076,90.933,91.072,91.134,91.424,91.827,92.102,92.329,92.613,92.96,93.343,94.364,94.616,94.968,94.924,95.038,95.149,95.427,95.605,95.946,95.928,95.923,95.939,96.223,96.169,96.074,96.347,96.49,96.885,96.935,97.286,97.066,97.15,97.662,97.631,97.727,97.913,98.077,98.214,98.438,98.604,99.111,99.37,99.575,99.609,99.732,100.009,100.107,100.184,100.185,100.293,100.118,99.927,100.071,99.877,100.01,99.991,99.952,99.999,100.163,99.911,99.978,100.026,100.137,100.268,100.509,100.604,100.633,100.645,100.497,100.567,100.477,100.417,100.306,100.319,100.341,100.389,100.2,100.446,100.708,100.637,100.605,100.522,100.511,100.495,100.519,100.539,100.529,100.64,100.609,100.828,100.857,101.082,101.078,101.151,101.184,101.318,101.383,101.397,101.452,101.346,101.407,101.41,101.564,101.566,101.675,101.707,101.718,101.525,101.321,101.222,101.244,101.177,101.229,101.464,101.319,101.583,101.578,101.492,101.418,101.424,101.354,101.336,101.379,101.328,101.284,101.138,100.692,100.202,99.853,99.603,99.697,99.671,99.685,99.462,99.355,99.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","37","  Hardware & plumbing","PS5073",69.884,70.205,70.476,70.752,70.835,70.964,71.306,71.279,71.546,71.691,71.856,71.956,71.9,71.714,71.596,72.019,72.133,72.085,72.009,72.135,72.202,72.278,72.274,72.794,72.985,72.659,72.382,72.429,72.532,73.085,73.229,73.442,73.348,73.781,73.884,74.045,74.14,74.295,74.331,74.414,74.814,74.881,75.29,75.646,75.925,76.197,76.769,76.782,77.023,77.344,78.265,78.781,79.165,79.604,80.03,80.671,80.956,81.549,82.082,82.622,82.893,83.4,83.773,83.905,84.133,84.417,84.716,84.91,85.193,85.521,85.801,86.047,86.335,86.553,86.672,86.995,87.22,87.505,87.803,88.057,88.594,88.872,88.975,89.252,89.731,89.914,90.019,89.941,90.033,90.023,90.201,90.318,90.411,90.568,90.693,91.049,91.132,91.157,91.132,91.445,91.606,91.742,91.966,92.144,92.252,92.266,92.293,92.367,92.457,92.5,92.709,92.859,93.059,93.287,93.411,93.62,93.821,93.835,93.921,93.978,93.989,94.037,94.157,94.394,94.544,94.702,94.902,95.077,95.393,95.645,95.919,95.945,96.305,97.284,97.392,97.65,97.842,97.983,98.197,98.403,98.52,98.691,98.871,98.973,99.383,99.664,99.665,99.759,99.69,99.781,100.039,100.22,100.249,100.506,100.515,100.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","38","  Machinery equipment","PS5083",73.214,73.126,73.131,73.302,73.395,73.406,73.426,73.517,73.483,73.462,73.415,73.366,73.373,73.351,73.307,73.294,73.297,73.426,73.466,73.4,73.463,73.58,73.643,73.774,73.966,74.083,74.188,74.326,74.315,74.391,74.554,74.634,74.632,74.685,74.735,74.859,75.13,75.337,75.533,75.382,75.514,75.638,75.735,75.739,75.844,76.154,76.383,76.609,76.886,77.147,77.421,77.769,78.03,78.316,78.637,78.93,79.205,79.563,80.104,80.436,80.591,80.934,81.269,81.413,81.685,81.944,82.143,82.446,82.677,82.867,83.057,83.26,83.576,83.895,84.169,84.388,84.595,84.826,85.113,85.508,85.912,86.156,86.49,86.81,87.249,87.567,87.727,87.814,87.971,88.257,88.443,88.595,88.77,88.957,89.179,89.352,89.517,89.638,89.819,90.137,90.277,90.472,90.736,90.947,91.248,91.28,91.399,91.515,91.722,91.869,91.986,92.092,92.292,92.379,92.586,92.729,92.888,93.083,93.221,93.481,93.638,93.732,93.926,94.086,94.262,94.444,94.678,94.901,95.144,95.433,95.679,95.911,96.203,96.502,96.788,97.077,97.468,97.673,97.873,98.002,98.187,98.416,98.707,98.905,99.162,99.355,99.524,99.654,99.752,99.881,100,100.195,100.425,100.595,100.66,100.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","39","  Other durable goods","PS5093",79.607,80.706,81.634,81.89,81.934,82.285,81.168,80.639,79.926,79.719,80.087,79.671,78.624,78.693,77.867,78.584,78.421,77.842,78.082,78.565,78.671,79.266,79.658,79.844,80.27,79.95,79.434,79.399,79.57,80.074,80.907,82.358,84.091,84.327,84.1,83.509,84.653,85.219,85.695,87.153,88.74,90.516,91.815,92.798,93.555,94.669,94.793,94.576,94.944,95.091,95.637,96.02,96.03,95.822,95.685,95.495,95.1,94.308,94.557,94.904,95.255,95.095,95.205,95.244,95.107,94.312,93.716,93.211,93.16,93.327,92.841,93.689,94.135,93.536,94.032,94.036,94.009,93.036,92.561,94.942,96.863,98.129,95.871,94.913,94.529,92.322,91.15,90.737,89.89,89.118,89.278,89.502,88.987,89.609,89.856,89.794,88.98,89.388,89.831,89.794,89.642,90.056,90.342,90.531,90.554,90.314,89.614,89.452,89.808,89.799,89.541,89.24,89.688,90.887,91.58,91.16,90.65,91.562,91.938,92.47,93.165,93.668,94.105,94.694,95.094,96.215,99.886,100.636,101.085,102.048,103.97,105.228,106.239,106.529,107.256,109.205,110.01,108.752,106.901,105.62,104.025,102.873,101.279,100.526,100.744,100.742,100.044,100.472,100.015,99.232,99.395,99.778,100.002,99.918,99.925,99.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","40"," Nondurable goods","PS5WN3",86.497,86.171,87.614,86.894,86.495,86.239,85.987,85.383,84.45,83.644,83.24,82.844,82.75,82.741,82.448,82.662,82.18,81.813,81.907,80.595,79.977,80.257,81.794,82.788,81.418,77.959,74.991,73.967,74.707,74.211,72.202,71.297,72.197,72.237,72.486,72.841,73.794,74.799,74.781,75.819,77.202,77.761,77.975,77.663,77.503,77.83,78.697,78.573,78.382,78.248,77.784,78.187,78.401,80.666,81.849,81.964,82.594,82.303,82.579,83.06,84.58,85.061,85.954,86.56,87.344,86.329,86.132,84.911,85.275,86.116,86.002,86.802,90.189,89.679,88.538,87.701,87.515,87.294,87.573,89.721,91.971,94.428,94.118,92.611,91.954,90.007,88.756,88.953,89.311,88.545,87.787,88.665,88.736,89.078,89.71,88.513,88.275,89.07,88.893,88.69,89.432,90.044,89.524,89.346,89.746,90.108,89.419,89.326,89.305,89.485,89.687,90.834,90.571,88.435,89.013,88.331,88.373,89.021,89.832,89.795,89.385,89.658,89.334,89.108,89.32,89.699,90.163,90.593,90.565,90.334,91.641,92.426,92.239,92.837,93.532,94.68,95.068,94.768,95.077,95.036,96.229,95.811,96.694,97.598,98.228,97.991,99.255,100.862,101.84,101.081,101.471,101.369,100.331,99.854,98.89,98.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","41","  Paper products","PS5113",70.784,71.149,71.45,72.561,72.945,73.295,73.733,73.798,74.182,73.986,74.187,74.161,74.163,73.903,73.603,73.468,73.466,73.551,73.417,73.454,73.414,73.011,73.127,73.185,73.335,73.377,73.521,73.718,73.973,74.037,74.245,74.585,75.074,75.556,76.287,76.476,76.913,77.201,77.014,77.219,77.246,77.333,77.56,77.793,78.066,78.87,79.238,79.506,80.727,81.076,81.811,82.506,83.295,83.775,84.513,84.941,85.419,85.967,86.424,86.815,87.193,87.86,88.261,88.701,88.886,89,89.003,89.076,88.949,88.739,88.586,88.439,88.42,88.356,88.195,88.261,88.306,88.442,88.414,88.526,88.571,88.715,88.941,88.712,88.718,88.666,88.313,87.499,86.67,86.294,86.059,85.881,85.851,85.881,86.064,86.016,85.798,85.578,85.423,85.312,85.592,85.489,85.553,85.601,85.781,85.52,85.529,84.866,84.889,84.779,84.936,85.162,85.164,85.228,85.212,85.151,84.886,85.014,84.936,85.008,84.769,85.013,84.919,84.858,85.175,85.872,86.283,86.875,88.33,89.978,91.544,93.111,95.711,98.555,100.889,102.991,104.742,106.881,108.271,109.107,109.473,109.881,109.761,109.263,107.875,106.444,104.218,101.852,100.009,98.953,98.333,97.08,97.021,96.4,96.099,95.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","42","  Drugs & sundries","PS5123",60.479,60.289,61.162,61.774,62.063,61.949,62.623,62.833,63,63.338,63.129,63.526,63.459,64.26,63.382,64.954,65.047,65.374,65.92,65.623,66.124,64.744,66.109,65.466,67.138,66.067,67.441,67.997,67.843,68.503,68.248,67.181,68.701,68.879,69.05,68.671,68.751,69.402,69.314,69.556,69.884,69.875,69.767,70.244,70.591,70.398,70.976,71.37,71.669,72.16,72.649,72.977,73.545,73.911,74.615,74.942,75.653,75.927,76.553,76.854,77.696,77.852,78.414,78.705,78.637,79.45,79.618,80.069,80.119,80.47,80.59,80.967,81.467,81.921,82.265,82.424,82.633,82.801,83.108,83.407,83.82,84.301,84.862,85.373,85.711,86.069,85.917,86.618,86.715,87.102,87.763,88.112,88.269,88.908,89.055,89.418,89.862,90.419,90.815,91.289,91.619,91.846,92.208,92.567,92.891,93.355,93.383,93.831,93.956,94.261,94.441,94.797,95.033,95.487,95.606,95.771,95.933,96.139,96.113,95.897,95.982,95.852,95.894,95.952,96.264,96.31,96.378,96.678,96.795,96.906,97.266,97.788,97.696,97.565,97.935,98.396,98.611,98.604,98.643,98.749,99.094,99.495,99.944,100.278,100.047,99.923,99.677,99.46,99.548,99.621,99.836,100.023,100.248,100.316,100.437,100.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","43","  Apparel & piece goods","PS5133",80.977,81.234,81.364,81.391,81.59,81.673,81.693,81.744,81.866,81.842,81.947,82.033,81.935,82.148,82.143,82.273,82.279,82.093,82.443,82.698,82.634,82.741,82.706,82.705,82.616,82.799,83.227,83.159,83.279,83.224,83.41,83.456,83.495,83.7,83.775,83.723,83.971,84.104,84.519,85.322,85.266,85.469,85.725,86.069,86.158,86.601,86.78,87.249,87.603,87.944,88.304,88.452,88.626,89.094,89.388,89.475,89.593,89.651,89.841,90.095,90.245,90.39,90.278,90.539,90.665,90.85,91.127,91.544,91.738,92.114,92.266,92.463,93.074,93.374,93.569,93.856,93.999,94.222,94.456,94.696,94.865,94.963,94.962,94.762,94.829,94.944,95.159,95.309,95.364,95.49,95.592,95.671,95.69,95.839,95.908,96.198,96.628,96.848,96.911,96.84,96.944,97.179,97.395,97.666,97.973,97.965,97.941,97.853,97.802,97.659,97.581,97.778,97.78,97.82,97.937,97.856,97.754,97.695,97.638,97.504,97.486,97.09,97.151,97.143,97.343,97.365,97.575,97.565,97.733,97.724,97.84,97.997,98.092,98.593,98.734,98.72,99.052,99.105,99.27,99.167,99.454,99.526,99.206,99.362,99.681,99.789,99.969,99.918,99.954,100.067,100.022,99.865,100.103,100.268,100.151,100.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","44","  Groceries","PS5143",82.573,84.34,84.447,81.9,80.418,81.065,81.537,81.701,81.276,79.734,79.134,79.26,79.734,81.287,80.411,79.742,77.987,78.369,79.337,78.503,76.687,77.349,78.64,80.477,79.812,78.419,78.193,79.428,80.87,80.414,82.209,82.998,82.569,84.351,83.371,83.06,81.518,82.161,82.908,82.986,83.734,84.7,84.911,82.983,83.224,83.07,85.548,84.253,85.314,83.036,83.28,83.496,83.942,85.551,87.548,86.569,88.466,87.893,89.121,88.546,88.7,90.532,90.538,90.223,92.138,91.674,91.443,89.682,88.858,90.254,89.446,90.48,94.653,97.02,94.734,91.637,92.03,92.626,94.244,92.842,92.386,92.712,93.69,92.206,92.544,92.6,92.99,94.314,96.275,95.709,94.119,92.112,91.59,90.965,92.156,89.752,90.801,91.743,91.623,90.411,90.454,89.494,89.437,90.63,89.924,91.75,91.31,92.006,91.834,92.14,91.743,94.423,94.778,91.467,91.942,91.727,92.026,91.075,93.991,95.39,94.082,92.534,93.168,92.898,93.342,92.781,93.231,92.844,93.047,93.295,95.12,97.328,95.022,94.853,95.205,96.177,95.833,94.003,94.63,94.441,96.698,95.225,97.612,97.993,98.067,97.699,100.229,98.786,98.682,101.024,100.184,99.979,101.419,102.444,101.16,100.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","45","  Farm products","PS5153",86.798,80.906,85.886,87.524,87.03,84.623,83.368,81.762,78.471,75.764,74.693,73.319,73.783,73.335,72.425,72.969,71.453,71.809,71.747,66.353,64.164,63.974,68.005,68.783,67.815,67.536,67.031,67.145,69.003,67.262,62.004,55.24,53.778,53.874,56.762,57.274,55.835,55.929,55.521,58.658,64.005,63.376,61.146,58.602,60.139,60.777,60.764,63.233,62.429,66.501,64.344,64.814,63.229,73.139,76.868,78.716,80.475,81.381,78.119,78.28,81.471,79.892,80.882,78.156,77.923,74.25,75.016,75.7,75.708,75.384,77.378,76.426,75.189,75.768,74.368,78.194,77.496,78.637,76.381,72.933,70.708,70.031,69.345,69.682,67.802,69.458,71.279,71.571,69.905,67.591,65.576,70.742,70.514,71.801,71.599,71.107,72.619,74.464,74.316,71.89,72.356,72.737,70.31,68.709,70.155,68.488,67.172,68.069,67.699,66.575,66.709,68.912,67.344,62.873,68.141,71.732,70.914,73.168,77.905,82.018,82.088,82.352,79.108,77.96,76.189,76.504,72.881,72.646,74.618,72.553,73.721,75.87,76.483,78.09,79.435,80.833,81.117,83.124,87.032,86.967,89.79,92.201,94.681,95.93,96.381,98.279,97.224,105.74,115.937,110.696,115.099,113.356,96.899,86.46,83.207,80.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
