"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"57","49","      Consumption expenditures","B991RG3",70.735,71.273,71.547,71.775,72.547,72.611,73.031,73.555,74.058,74.152,74.415,74.938,74.936,75.203,75.669,76.257,76.965,78.037,79.023,79.858,80.915,81.597,82.406,83.428,84.306,84.827,85.059,84.95,85.274,86.123,86.98,88.161,90.103,90.381,91.097,91.645,92.604,93.534,94.772,96.461,97.669,98.983,100.76,102.588,103.331,104.782,105.762,106.315,107.739,109.266,110.324,112.435,114.379,116.655,118.193,115.003,113.738,114.15
"58","50","      Gross investment","B799RG3",75.537,76.071,76.485,76.937,77.226,77.312,77.719,78.027,77.958,78.591,78.948,79.634,79.448,79.436,79.887,80.313,80.614,81.207,81.563,82.281,82.892,83.872,84.544,85.19,85.532,85.768,86.057,86.538,86.954,87.46,87.749,87.922,88.63,88.711,88.83,89.104,89.75,91.475,93.979,96.294,97.176,99.032,101.197,102.594,103.213,105.493,106.965,109.355,111.887,112.856,113.92,115.266,116.598,117.808,119.75,122.372,123.579,122.674
"59",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","51","  Final sales of computers to domestic purchasers \2\","W489RG3",915.698,875.493,820.301,765.635,705.952,643.612,606.241,568.171,521.194,488.96,456.018,427.343,387.843,356.159,324.225,299.58,279.246,263.629,249.925,239.733,232.017,222.699,215.38,208.004,190.073,180.55,170.31,160.958,154.123,150.113,144.71,138.341,132.925,128.581,124.055,121.481,119.624,117.612,114.226,109.982,105.844,102.143,97.894,94.119,91.016,87.261,84.423,82.432,80.735,78.395,75.455,73.051,70.997,69.241,67.363,65.536,64.021,62.098
"61","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RG3",78.607,79.071,79.429,79.861,80.374,80.746,81.173,81.705,82.165,82.393,82.664,83.011,83.079,83.302,83.657,83.995,84.42,84.96,85.439,85.958,86.804,87.23,87.837,88.369,89.012,89.475,89.669,89.789,90.141,90.753,91.192,91.82,92.77,92.872,93.447,93.966,94.933,95.807,96.606,97.567,98.492,99.305,100.565,101.638,102.39,103.341,104.12,104.4,105.502,106.338,106.954,108.198,109.134,110.22,111.414,110.347,109.969,110.202
"62","53","  Food \3\","B981RG3",80.894,81.552,81.751,82.072,82.678,83.505,84.44,85.003,85.014,85.148,85.415,85.595,85.82,86.023,86.315,86.82,87.165,87.401,87.735,88.231,88.732,89.317,90.157,90.522,91.362,91.94,92.724,93.138,93.672,93.766,93.509,93.737,94.265,94.871,95.625,96.78,97.258,98.27,98.681,99.375,99.065,100.06,100.135,100.74,101.206,101.193,101.899,102.447,103.716,105.081,106.182,107.448,108.509,110.497,113.021,114.812,114.498,113.531
"63","54","  Energy goods and services","B982RG3",59.142,59.087,58.786,58.387,60.074,62.079,61.343,62.755,63.938,61.283,61.659,61.93,58.364,56.982,56.547,55.753,55.005,58.242,60.857,62.907,67.327,69.024,71.229,72.745,74.377,75.526,71.74,65.269,63.526,67.523,68.473,70.697,77.997,73.184,76.488,76.736,81.126,82.572,85.062,91.113,91.014,92.34,105.933,110.713,110.101,112.452,116.01,106.564,111.004,116.953,117.296,127.43,133.286,139.459,149.168,117.304,104.867,104.359
"64","55","  Gross domestic purchases excluding food and energy","B983RG3",82.047,82.486,82.823,83.233,83.59,83.744,84.129,84.54,84.888,85.184,85.359,85.636,85.745,85.936,86.208,86.484,86.869,87.218,87.529,87.92,88.583,88.888,89.365,89.815,90.283,90.643,90.911,91.24,91.617,92.08,92.489,93.016,93.668,93.92,94.325,94.794,95.616,96.433,97.143,97.856,98.838,99.574,100.345,101.243,102.022,102.913,103.538,104.153,105.073,105.635,106.187,107.04,107.743,108.544,109.317,109.151,109.215,109.51
"65","56","  Gross domestic product","B191RG3",80.985,81.346,81.691,82.11,82.554,82.859,83.269,83.65,84.075,84.45,84.686,85.007,85.134,85.344,85.663,85.888,86.252,86.615,86.919,87.275,87.939,88.386,88.908,89.359,89.977,90.603,90.891,91.144,91.469,91.873,92.282,92.828,93.501,93.78,94.304,94.813,95.624,96.441,97.146,97.864,98.774,99.445,100.47,101.312,102.071,102.98,103.763,104.237,105.327,106.026,106.46,107.072,107.577,108.061,109.13,109.155,109.661,109.726
"66","57","      Gross domestic product excluding final sales of computers","BB00RG3",78.834,79.227,79.634,80.112,80.632,81.019,81.49,81.945,82.458,82.897,83.203,83.576,83.794,84.086,84.522,84.823,85.269,85.681,86.04,86.448,87.162,87.652,88.215,88.694,89.415,90.083,90.417,90.713,91.086,91.525,91.972,92.558,93.261,93.565,94.119,94.64,95.466,96.288,97.016,97.77,98.719,99.426,100.487,101.367,102.154,103.103,103.92,104.422,105.537,106.271,106.755,107.404,107.932,108.455,109.558,109.606,110.134,110.227
"67","58","      Food \3\","BB10RG3",80.242,81.262,82.054,82.926,83.847,85.142,85.837,85.51,85.509,85.56,85.696,85.749,85.704,85.775,86.061,86.419,86.823,87.004,87.355,87.735,88.235,88.956,89.565,90.166,91.064,91.658,92.729,92.905,93.494,93.482,93.581,93.723,94.246,95.016,95.84,97.561,98.224,99.521,99.138,99.305,99.018,100.087,100.281,100.614,101.01,100.99,101.885,102.705,104.387,105.696,107.011,108.969,110.995,113.391,115.831,115.703,115.433,114.898
"68","59","      Energy goods and services","BB11RG3",86.13,85.206,86.749,86.271,86.52,87.878,86.124,84.973,86.413,88.699,89.97,90.444,88.493,88.685,89.541,88.635,87.93,87.54,86.619,84.137,84.237,87.874,88.845,86.594,92.761,102.899,100.453,95.258,90.805,88.706,89.771,90.129,90.998,93.355,99.294,97.394,98.283,97.69,99.228,98.556,98.041,94.027,106.687,101.245,100.632,103.879,111.487,103.424,108.493,114.047,108.045,92.581,82.004,72.48,84.42,99.311,121.249,112.212
"69","60","      Gross domestic product excluding food and energy","BB03RG3",80.915,81.268,81.548,81.963,82.382,82.592,83.042,83.51,83.937,84.282,84.497,84.831,85.022,85.242,85.55,85.797,86.186,86.578,86.908,87.329,88.013,88.372,88.879,89.383,89.859,90.27,90.575,90.958,91.374,91.856,92.268,92.841,93.518,93.722,94.111,94.606,95.424,96.245,96.993,97.769,98.774,99.518,100.36,101.349,102.155,103.071,103.718,104.346,105.332,105.899,106.396,107.225,107.858,108.448,109.234,109.019,109.144,109.446
"70","61","  Final sales of domestic product","B190RG3",80.826,81.189,81.537,81.966,82.421,82.728,83.137,83.525,83.954,84.339,84.589,84.916,85.06,85.278,85.604,85.83,86.199,86.569,86.877,87.236,87.907,88.36,88.884,89.339,89.951,90.583,90.87,91.12,91.438,91.846,92.261,92.81,93.49,93.768,94.293,94.804,95.614,96.431,97.137,97.854,98.766,99.442,100.475,101.318,102.075,102.985,103.767,104.237,105.325,106.032,106.465,107.08,107.623,108.127,109.202,109.078,109.566,109.623
"71","62","  Final sales to domestic purchasers","B713RG3",80.955,81.386,81.69,82.067,82.512,82.793,83.158,83.631,84.001,84.165,84.367,84.644,84.614,84.743,84.992,85.237,85.578,86.051,86.465,86.934,87.745,88.126,88.691,89.182,89.711,90.119,90.252,90.312,90.61,91.194,91.599,92.181,93.093,93.161,93.699,94.196,95.14,95.991,96.756,97.671,98.552,99.33,100.546,101.571,102.28,103.179,103.914,104.161,105.228,106.03,106.598,107.795,108.723,109.785,110.94,109.718,109.311,109.502
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
