"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"57","48","  Exports of durable goods","B332RA3",55.517,56.956,59.42,60.856,62.027,63.637,65.146,68.732,72.153,76.304,79.12,78.879,79.615,77.429,77.936,81.381,80.02,80.715,83.84,86.891,89.476,93.156,96.398,95.188,93.542,88.017,82.188,79.319,78.746,81.961,82.711,80.214,79.768,80.525,81.972,87.09,89.028,91.055,92.368,93.043,95.534,98.999,100.457,105.01,108.545,110.129,110.173,114.064,115.459,117.152,121.376,125.57,125.352,129.357,129.151,118.014,101.991,97.376
"58","49","  Exports of nondurable goods","B339RA3",76.11,75.919,78.044,77.448,79.369,77.712,78.304,82.403,82.53,84.314,85.262,86.307,85.177,83.974,83.147,85.59,83.29,84.784,86.205,88.246,88.512,89.011,94.627,92.629,92.376,91.556,89.222,89.819,91.146,93.101,92.54,91.729,94.084,92.064,94.071,95.01,95.289,95.629,96.443,99.735,100.389,102.922,98.816,97.872,103.864,106.585,106.65,109.062,108.665,110.491,114.111,116.36,120.41,124.822,123.654,118.5,111.957,113.619
"59","50","  Exports of agricultural goods \2\","B181RA3",92.56,91.204,92.916,87.284,92.286,85.833,85.731,91.259,88.299,89.091,91.262,94.043,93.553,89.179,85.622,94.149,84.958,90.738,96.779,92.602,96.008,96.574,104.176,98.042,100.069,102.112,101.307,103.606,102.441,102.14,97.449,94.763,98.703,99.064,103.903,100.404,94.598,89.581,93.746,102.574,99.339,100.979,98.076,101.606,107.032,110.444,108.791,107.505,106.596,113.036,122.775,121.749,124.182,125.435,122.641,122.458,116.605,119.649
"60","51","  Exports of nonagricultural goods","B182RA3",58.824,60.005,62.431,63.823,64.904,66.221,67.596,71.184,74.141,77.863,80.176,80.085,80.362,78.628,79.049,81.833,80.76,81.325,83.755,87.014,88.861,91.812,95.476,94.361,92.881,88.234,83.084,80.865,80.878,83.976,84.73,82.759,82.857,82.79,84.145,88.62,90.639,92.697,93.6,94.499,96.85,100.166,100.106,102.878,107.083,108.905,109.086,112.891,113.877,115.218,118.738,122.684,123.804,128.253,127.912,117.971,104.426,101.339
"61","52","  Imports of durable goods","B333RA3",40.459,41.244,41.237,42.018,43.591,44.915,46.571,47.543,50.291,52.431,54.368,55.662,58.075,59.538,60.04,63.139,64.686,67.697,70.538,72.932,76.138,78.834,81.482,81.421,78.71,74.571,72.896,72.042,74.54,77.833,78.999,79.332,78.551,80.083,80.3,85.098,86.799,91.598,93.735,96.505,97.206,99.073,100.292,103.429,107.593,108.157,108.918,110.427,111.326,109.995,111.597,111.717,110.405,109.452,107.046,97.984,81.465,78.239
"62","53","  Imports of nondurable goods","B340RA3",52.527,52.649,53.017,52.779,54.466,55.274,56.814,58.546,59.454,61.171,63.318,64.574,66.131,67.443,68.658,68.987,71.311,72.03,74.424,75.319,77.451,79.316,82.419,82.643,84.277,82.883,81.846,81.586,80.919,84.132,86.248,88.706,87.54,90.766,91.336,90.859,93.635,95.939,96.389,98.328,99.418,99.468,99.291,101.823,99.79,102.055,104.397,100.732,102.628,103.86,103.482,101.025,100.596,99.083,99.643,98.255,92.209,87.945
"63","54","  Imports of nonpetroleum goods","B187RA3",42.599,43.391,43.295,43.797,45.373,46.532,48.182,49.352,51.681,53.895,55.952,57.123,59.319,60.786,61.456,63.801,65.596,68.106,70.958,73.232,75.836,78.584,81.498,81.277,79.479,76.387,75.138,74.147,76.057,79.437,81.076,81.746,81.134,82.689,82.963,86.598,88.158,92.83,94.443,96.581,97.849,99.293,100.081,102.777,105.819,107.117,107.767,108.849,110.406,109.423,110.538,109.92,108.825,107.931,106.419,98.699,85.029,82.047
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
